INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT
20001	10007	2	1	0	0	110	0	0	0	0	0	0	0	0
20001	10008	2	1	0	0	25	0	0	0	0	0	0	0	0
20001	10009	2	1	0	0	25	0	0	0	0	0	0	0	0
20001	10010	2	1	0	0	210	0	0	0	0	0	0	0	0
20002	10012	2	1	0	0	210	0	0	0	0	0	0	0	0
20002	10013	2	1	0	0	210	0	0	0	0	0	0	0	0
20002	10014	2	1	0	0	100	0	0	0	0	0	0	0	0
20002	10015	2	1	0	0	110	0	0	0	0	0	0	0	0
20002	10017	2	1	0	0	110	0	0	0	0	0	0	0	0
20002	10018	2	1	0	0	25	0	0	0	0	0	0	0	0
20002	10019	2	1	0	0	25	0	0	0	0	0	0	0	0
20002	10020	2	1	0	0	210	0	0	0	0	0	0	0	0
20003	10022	2	1	0	0	210	0	0	0	0	0	0	0	0
20003	10023	2	1	0	0	210	0	0	0	0	0	0	0	0
20003	10024	2	1	0	0	100	0	0	0	0	0	0	0	0
20003	10025	2	1	0	0	110	0	0	0	0	0	0	0	0
20003	10027	2	1	0	0	110	0	0	0	0	0	0	0	0
20003	10028	2	1	0	0	25	0	0	0	0	0	0	0	0
20003	10029	2	1	0	0	25	0	0	0	0	0	0	0	0
20003	10030	2	1	0	0	210	0	0	0	0	0	0	0	0
20004	10032	2	1	0	0	210	0	0	0	0	0	0	0	0
20004	10033	2	1	0	0	210	0	0	0	0	0	0	0	0
20004	10034	2	1	0	0	100	0	0	0	0	0	0	0	0
20004	10035	2	1	0	0	110	0	0	0	0	0	0	0	0
20004	10037	2	1	0	0	110	0	0	0	0	0	0	0	0
20004	10038	2	1	0	0	25	0	0	0	0	0	0	0	0
20004	10039	2	1	0	0	25	0	0	0	0	0	0	0	0
20004	10040	2	1	0	0	210	0	0	0	0	0	0	0	0
20005	10042	2	1	0	0	210	0	0	0	0	0	0	0	0
20005	10043	2	1	0	0	210	0	0	0	0	0	0	0	0
20005	10044	2	1	0	0	100	0	0	0	0	0	0	0	0
20005	10045	2	1	0	0	110	0	0	0	0	0	0	0	0
20005	10047	2	1	0	0	110	0	0	0	0	0	0	0	0
20005	10048	2	1	0	0	25	0	0	0	0	0	0	0	0
20005	10049	2	1	0	0	25	0	0	0	0	0	0	0	0
20005	10050	2	1	0	0	210	0	0	0	0	0	0	0	0
20006	10052	2	1	0	0	210	0	0	0	0	0	0	0	0
20006	10053	2	1	0	0	210	0	0	0	0	0	0	0	0
20006	10054	2	1	0	0	100	0	0	0	0	0	0	0	0
20006	10055	2	1	0	0	110	0	0	0	0	0	0	0	0
20006	10057	2	1	0	0	110	0	0	0	0	0	0	0	0
20006	10058	2	1	0	0	25	0	0	0	0	0	0	0	0
20006	10059	2	1	0	0	25	0	0	0	0	0	0	0	0
20006	10060	2	1	0	0	210	0	0	0	0	0	0	0	0
20007	10062	2	1	0	0	210	0	0	0	0	0	0	0	0
20007	10063	2	1	0	0	210	0	0	0	0	0	0	0	0
20007	10064	2	1	0	0	100	0	0	0	0	0	0	0	0
20007	10065	2	1	0	0	110	0	0	0	0	0	0	0	0
20007	10067	2	1	0	0	110	0	0	0	0	0	0	0	0
20007	10068	2	1	0	0	25	0	0	0	0	0	0	0	0
20007	10069	2	1	0	0	25	0	0	0	0	0	0	0	0
20007	10070	2	1	0	0	210	0	0	0	0	0	0	0	0
20008	10072	2	1	0	0	210	0	0	0	0	0	0	0	0
20008	10073	2	1	0	0	210	0	0	0	0	0	0	0	0
20008	10074	2	1	0	0	100	0	0	0	0	0	0	0	0
20008	10075	2	1	0	0	110	0	0	0	0	0	0	0	0
20008	10077	2	1	0	0	110	0	0	0	0	0	0	0	0
20008	10078	2	1	0	0	25	0	0	0	0	0	0	0	0
20008	10079	2	1	0	0	25	0	0	0	0	0	0	0	0
20008	10080	2	1	0	0	210	0	0	0	0	0	0	0	0
20009	10082	2	1	0	0	210	0	0	0	0	0	0	0	0
20009	10083	2	1	0	0	210	0	0	0	0	0	0	0	0
20009	10084	2	1	0	0	100	0	0	0	0	0	0	0	0
20009	10085	2	1	0	0	110	0	0	0	0	0	0	0	0
20009	10087	2	1	0	0	110	0	0	0	0	0	0	0	0
20009	10088	2	1	0	0	25	0	0	0	0	0	0	0	0
20009	10089	2	1	0	0	25	0	0	0	0	0	0	0	0
20009	10090	2	1	0	0	210	0	0	0	0	0	0	0	0
20010	10092	2	1	0	0	210	0	0	0	0	0	0	0	0
20010	10093	2	1	0	0	210	0	0	0	0	0	0	0	0
20010	10094	2	1	0	0	100	0	0	0	0	0	0	0	0
20010	10095	2	1	0	0	110	0	0	0	0	0	0	0	0
20010	10097	2	1	0	0	110	0	0	0	0	0	0	0	0
20010	10098	2	1	0	0	25	0	0	0	0	0	0	0	0
20010	10099	2	1	0	0	25	0	0	0	0	0	0	0	0
20010	10100	2	1	0	0	210	0	0	0	0	0	0	0	0
20011	10102	2	1	0	0	210	0	0	0	0	0	0	0	0
20011	10103	2	1	0	0	210	0	0	0	0	0	0	0	0
20011	10104	2	1	0	0	100	0	0	0	0	0	0	0	0
20011	10105	2	1	0	0	110	0	0	0	0	0	0	0	0
20011	10107	2	1	0	0	110	0	0	0	0	0	0	0	0
20011	10108	2	1	0	0	25	0	0	0	0	0	0	0	0
20011	10109	2	1	0	0	25	0	0	0	0	0	0	0	0
20011	10110	2	1	0	0	210	0	0	0	0	0	0	0	0
20012	10112	2	1	0	0	210	0	0	0	0	0	0	0	0
20012	10113	2	1	0	0	210	0	0	0	0	0	0	0	0
20012	10114	2	1	0	0	100	0	0	0	0	0	0	0	0
20012	10115	2	1	0	0	110	0	0	0	0	0	0	0	0
20012	10117	2	1	0	0	110	0	0	0	0	0	0	0	0
20012	10118	2	1	0	0	25	0	0	0	0	0	0	0	0
20012	10119	2	1	0	0	25	0	0	0	0	0	0	0	0
20012	10120	2	1	0	0	210	0	0	0	0	0	0	0	0
20013	10122	2	1	0	0	210	0	0	0	0	0	0	0	0
20013	10123	2	1	0	0	210	0	0	0	0	0	0	0	0
20013	10124	2	1	0	0	100	0	0	0	0	0	0	0	0
20013	10125	2	1	0	0	110	0	0	0	0	0	0	0	0
20013	10127	2	1	0	0	110	0	0	0	0	0	0	0	0
20013	10128	2	1	0	0	25	0	0	0	0	0	0	0	0
20013	10129	2	1	0	0	25	0	0	0	0	0	0	0	0
20013	10130	2	1	0	0	210	0	0	0	0	0	0	0	0
20014	10132	2	1	0	0	210	0	0	0	0	0	0	0	0
20014	10133	2	1	0	0	210	0	0	0	0	0	0	0	0
20014	10134	2	1	0	0	100	0	0	0	0	0	0	0	0
20014	10135	2	1	0	0	110	0	0	0	0	0	0	0	0
20014	10137	2	1	0	0	110	0	0	0	0	0	0	0	0
20014	10138	2	1	0	0	25	0	0	0	0	0	0	0	0
20014	10139	2	1	0	0	25	0	0	0	0	0	0	0	0
20014	10140	2	1	0	0	210	0	0	0	0	0	0	0	0
20015	10142	2	1	0	0	210	0	0	0	0	0	0	0	0
20015	10143	2	1	0	0	210	0	0	0	0	0	0	0	0
20015	10144	2	1	0	0	100	0	0	0	0	0	0	0	0
20015	10145	2	1	0	0	110	0	0	0	0	0	0	0	0
20015	10147	2	1	0	0	110	0	0	0	0	0	0	0	0
20015	10148	2	1	0	0	25	0	0	0	0	0	0	0	0
20015	10149	2	1	0	0	25	0	0	0	0	0	0	0	0
20015	10150	2	1	0	0	210	0	0	0	0	0	0	0	0
20016	10152	2	1	0	0	210	0	0	0	0	0	0	0	0
20016	10153	2	1	0	0	210	0	0	0	0	0	0	0	0
20016	10154	2	1	0	0	100	0	0	0	0	0	0	0	0
20016	10155	2	1	0	0	110	0	0	0	0	0	0	0	0
20016	10157	2	1	0	0	110	0	0	0	0	0	0	0	0
20016	10158	2	1	0	0	25	0	0	0	0	0	0	0	0
20016	10159	2	1	0	0	25	0	0	0	0	0	0	0	0
20016	10160	2	1	0	0	210	0	0	0	0	0	0	0	0
20017	10162	2	1	0	0	210	0	0	0	0	0	0	0	0
20017	10163	2	1	0	0	210	0	0	0	0	0	0	0	0
20017	10164	2	1	0	0	100	0	0	0	0	0	0	0	0
20017	10165	2	1	0	0	110	0	0	0	0	0	0	0	0
20017	10167	2	1	0	0	110	0	0	0	0	0	0	0	0
20017	10168	2	1	0	0	25	0	0	0	0	0	0	0	0
20017	10169	2	1	0	0	25	0	0	0	0	0	0	0	0
20017	10170	2	1	0	0	210	0	0	0	0	0	0	0	0
20018	10172	2	1	0	0	210	0	0	0	0	0	0	0	0
20018	10173	2	1	0	0	210	0	0	0	0	0	0	0	0
20018	10174	2	1	0	0	100	0	0	0	0	0	0	0	0
20018	10175	2	1	0	0	110	0	0	0	0	0	0	0	0
20018	10177	2	1	0	0	110	0	0	0	0	0	0	0	0
20018	10178	2	1	0	0	25	0	0	0	0	0	0	0	0
20018	10179	2	1	0	0	25	0	0	0	0	0	0	0	0
20018	10180	2	1	0	0	210	0	0	0	0	0	0	0	0
20019	10182	2	1	0	0	210	0	0	0	0	0	0	0	0
20019	10183	2	1	0	0	210	0	0	0	0	0	0	0	0
20019	10184	2	1	0	0	100	0	0	0	0	0	0	0	0
20019	10185	2	1	0	0	110	0	0	0	0	0	0	0	0
20019	10187	2	1	0	0	110	0	0	0	0	0	0	0	0
20019	10188	2	1	0	0	25	0	0	0	0	0	0	0	0
20019	10189	2	1	0	0	25	0	0	0	0	0	0	0	0
20019	10190	2	1	0	0	210	0	0	0	0	0	0	0	0
20020	10192	2	1	0	0	210	0	0	0	0	0	0	0	0
20020	10193	2	1	0	0	210	0	0	0	0	0	0	0	0
20020	10194	2	1	0	0	100	0	0	0	0	0	0	0	0
20020	10195	2	1	0	0	110	0	0	0	0	0	0	0	0
20020	10197	2	1	0	0	110	0	0	0	0	0	0	0	0
20020	10198	2	1	0	0	25	0	0	0	0	0	0	0	0
20020	10199	2	1	0	0	25	0	0	0	0	0	0	0	0
20020	10200	2	1	0	0	210	0	0	0	0	0	0	0	0
20021	10202	2	1	0	0	210	0	0	0	0	0	0	0	0
20021	10203	2	1	0	0	210	0	0	0	0	0	0	0	0
20021	10204	2	1	0	0	100	0	0	0	0	0	0	0	0
20021	10205	2	1	0	0	110	0	0	0	0	0	0	0	0
20021	10207	2	1	0	0	110	0	0	0	0	0	0	0	0
20021	10208	2	1	0	0	25	0	0	0	0	0	0	0	0
20021	10209	2	1	0	0	25	0	0	0	0	0	0	0	0
20021	10210	2	1	0	0	210	0	0	0	0	0	0	0	0
20022	10212	2	1	0	0	210	0	0	0	0	0	0	0	0
20022	10213	2	1	0	0	210	0	0	0	0	0	0	0	0
20022	10214	2	1	0	0	100	0	0	0	0	0	0	0	0
20022	10215	2	1	0	0	110	0	0	0	0	0	0	0	0
20022	10217	2	1	0	0	110	0	0	0	0	0	0	0	0
20022	10218	2	1	0	0	25	0	0	0	0	0	0	0	0
20022	10219	2	1	0	0	25	0	0	0	0	0	0	0	0
20022	10220	2	1	0	0	210	0	0	0	0	0	0	0	0
20023	10222	2	1	0	0	210	0	0	0	0	0	0	0	0
20023	10223	2	1	0	0	210	0	0	0	0	0	0	0	0
20023	10224	2	1	0	0	100	0	0	0	0	0	0	0	0
20023	10225	2	1	0	0	110	0	0	0	0	0	0	0	0
20023	10227	2	1	0	0	110	0	0	0	0	0	0	0	0
20023	10228	2	1	0	0	25	0	0	0	0	0	0	0	0
20023	10229	2	1	0	0	25	0	0	0	0	0	0	0	0
20023	10230	2	1	0	0	210	0	0	0	0	0	0	0	0
20024	10232	2	1	0	0	210	0	0	0	0	0	0	0	0
20024	10233	2	1	0	0	210	0	0	0	0	0	0	0	0
20024	10234	2	1	0	0	100	0	0	0	0	0	0	0	0
20024	10235	2	1	0	0	110	0	0	0	0	0	0	0	0
20024	10237	2	1	0	0	110	0	0	0	0	0	0	0	0
20024	10238	2	1	0	0	25	0	0	0	0	0	0	0	0
20024	10239	2	1	0	0	25	0	0	0	0	0	0	0	0
20024	10240	2	1	0	0	210	0	0	0	0	0	0	0	0
20025	10242	2	1	0	0	210	0	0	0	0	0	0	0	0
20025	10243	2	1	0	0	210	0	0	0	0	0	0	0	0
20025	10244	2	1	0	0	100	0	0	0	0	0	0	0	0
20025	10245	2	1	0	0	110	0	0	0	0	0	0	0	0
20025	10247	2	1	0	0	110	0	0	0	0	0	0	0	0
20025	10248	2	1	0	0	25	0	0	0	0	0	0	0	0
20025	10249	2	1	0	0	25	0	0	0	0	0	0	0	0
20025	10250	2	1	0	0	210	0	0	0	0	0	0	0	0
20026	10252	2	1	0	0	210	0	0	0	0	0	0	3	0
20026	10253	2	1	0	0	210	0	0	0	0	0	0	4	0
20026	10254	2	1	0	0	100	0	0	0	0	0	0	5	0
20026	10255	2	1	0	0	110	0	0	0	0	0	0	6	0
20026	10257	2	1	0	0	110	0	0	0	0	0	0	7	0
20026	10258	2	1	0	0	25	0	0	0	0	0	0	8	0
20026	10259	2	1	0	0	25	0	0	0	0	0	0	9	0
20026	10260	2	1	0	0	210	0	0	0	0	0	0	10	0
20027	10262	2	1	0	0	210	0	0	0	0	0	0	11	0
20027	10263	2	1	0	0	210	0	0	0	0	0	0	12	0
20027	10264	2	1	0	0	100	0	0	0	0	0	0	13	0
20027	10265	2	1	0	0	110	0	0	0	0	0	0	14	0
20027	10267	2	1	0	0	110	0	0	0	0	0	0	15	0
20027	10268	2	1	0	0	25	0	0	0	0	0	0	16	0
20027	10269	2	1	0	0	25	0	0	0	0	0	0	17	0
20027	10270	2	1	0	0	210	0	0	0	0	0	0	18	0
20028	10272	2	1	0	0	210	0	0	0	0	0	0	19	0
20028	10273	2	1	0	0	210	0	0	0	0	0	0	20	0
20028	10274	2	1	0	0	100	0	0	0	0	0	0	21	0
20028	10275	2	1	0	0	110	0	0	0	0	0	0	22	0
20028	10277	2	1	0	0	110	0	0	0	0	0	0	23	0
20028	10278	2	1	0	0	25	0	0	0	0	0	0	24	0
20028	10279	2	1	0	0	25	0	0	0	0	0	0	25	0
20028	10280	2	1	0	0	210	0	0	0	0	0	0	26	0
20029	10282	2	1	0	0	210	0	0	0	0	0	0	27	0
20029	10283	2	1	0	0	210	0	0	0	0	0	0	28	0
20029	10284	2	1	0	0	100	0	0	0	0	0	0	29	0
20029	10285	2	1	0	0	110	0	0	0	0	0	0	30	0
20029	10287	2	1	0	0	110	0	0	0	0	0	0	31	0
20029	10288	2	1	0	0	25	0	0	0	0	0	0	32	0
20029	10289	2	1	0	0	25	0	0	0	0	0	0	33	0
20029	10290	2	1	0	0	210	0	0	0	0	0	0	34	0
20030	10292	2	1	0	0	210	0	0	0	0	0	0	35	0
20030	10293	2	1	0	0	210	0	0	0	0	0	0	36	0
20030	10294	2	1	0	0	100	0	0	0	0	0	0	37	0
20030	10295	2	1	0	0	110	0	0	0	0	0	0	38	0
20030	10297	2	1	0	0	110	0	0	0	0	0	0	39	0
20030	10298	2	1	0	0	25	0	0	0	0	0	0	40	0
20030	10299	2	1	0	0	25	0	0	0	0	0	0	41	0
20030	10300	2	1	0	0	210	0	0	0	0	0	0	42	0
20031	10302	2	1	0	0	210	0	0	0	0	0	0	43	0
20031	10303	2	1	0	0	210	0	0	0	0	0	0	44	0
20031	10304	2	1	0	0	100	0	0	0	0	0	0	45	0
20031	10305	2	1	0	0	110	0	0	0	0	0	0	46	0
20031	10307	2	1	0	0	110	0	0	0	0	0	0	47	0
20031	10308	2	1	0	0	25	0	0	0	0	0	0	48	0
20031	10309	2	1	0	0	25	0	0	0	0	0	0	49	0
20031	10310	2	1	0	0	210	0	0	0	0	0	0	50	0
20032	10312	2	1	0	0	210	0	0	0	0	0	0	51	0
20032	10313	2	1	0	0	210	0	0	0	0	0	0	52	0
20032	10314	2	1	0	0	100	0	0	0	0	0	0	53	0
20032	10315	2	1	0	0	110	0	0	0	0	0	0	54	0
20032	10317	2	1	0	0	110	0	0	0	0	0	0	55	0
20032	10318	2	1	0	0	25	0	0	0	0	0	0	56	0
20032	10319	2	1	0	0	25	0	0	0	0	0	0	57	0
20032	10320	2	1	0	0	210	0	0	0	0	0	0	58	0
20033	10322	2	1	0	0	210	0	0	0	0	0	0	59	0
20033	10323	2	1	0	0	210	0	0	0	0	0	0	60	0
20033	10324	2	1	0	0	100	0	0	0	0	0	0	61	0
20033	10325	2	1	0	0	110	0	0	0	0	0	0	62	0
20033	10327	2	1	0	0	110	0	0	0	0	0	0	63	0
20033	10328	2	1	0	0	25	0	0	0	0	0	0	64	0
20033	10329	2	1	0	0	25	0	0	0	0	0	0	65	0
20033	10330	2	1	0	0	210	0	0	0	0	0	0	66	0
20034	10332	2	1	0	0	210	0	0	0	0	0	0	67	0
20034	10333	2	1	0	0	210	0	0	0	0	0	0	68	0
20034	10334	2	1	0	0	100	0	0	0	0	0	0	69	0
20034	10335	2	1	0	0	110	0	0	0	0	0	0	70	0
20034	10337	2	1	0	0	110	0	0	0	0	0	0	71	0
20034	10338	2	1	0	0	25	0	0	0	0	0	0	72	0
20034	10339	2	1	0	0	25	0	0	0	0	0	0	73	0
20034	10340	2	1	0	0	210	0	0	0	0	0	0	74	0
20035	10342	2	1	0	0	210	0	0	0	0	0	0	75	0
20035	10343	2	1	0	0	210	0	0	0	0	0	0	76	0
20035	10344	2	1	0	0	100	0	0	0	0	0	0	77	0
20035	10345	2	1	0	0	110	0	0	0	0	0	0	78	0
20035	10347	2	1	0	0	110	0	0	0	0	0	0	79	0
20035	10348	2	1	0	0	25	0	0	0	0	0	0	80	0
20035	10349	2	1	0	0	25	0	0	0	0	0	0	81	0
