INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING
10027	6:606|7:1941	5	0	7	2	1240	0	1195	10028	0	坚甲	jianjia_lv	#f7ab00|命格属性|n防御: 606-1941	绿色命格，可提取到命格背包内镶嵌。
10028	6:973|7:3115	5	0	8	2	2435	0	2295	10029	0	坚甲	jianjia_lv	#f7ab00|命格属性|n防御: 973-3115	绿色命格，可提取到命格背包内镶嵌。
10029	6:1560|7:4994	5	0	9	2	4730	0	4360	10030	0	坚甲	jianjia_lv	#f7ab00|命格属性|n防御: 1560-4994	绿色命格，可提取到命格背包内镶嵌。
10030	6:2499|7:8000	5	0	10	2	9090	0	-1	-1	0	坚甲	jianjia_lv	#f7ab00|命格属性|n防御: 2499-8000	绿色命格，可提取到命格背包内镶嵌。
20001	4:62|5:200	3	0	1	3	20	0	40	20002	0	锋锐	fengrui_lan	#f7ab00|命格属性|n攻击: 62-200	蓝色命格，可提取到命格背包内镶嵌。
20002	4:106|5:340	3	0	2	3	60	0	80	20003	0	锋锐	fengrui_lan	#f7ab00|命格属性|n攻击: 106-340	蓝色命格，可提取到命格背包内镶嵌。
20003	4:176|5:564	3	0	3	3	140	0	165	20004	0	锋锐	fengrui_lan	#f7ab00|命格属性|n攻击: 176-564	蓝色命格，可提取到命格背包内镶嵌。
20004	4:288|5:922	3	0	4	3	305	0	340	20005	0	锋锐	fengrui_lan	#f7ab00|命格属性|n攻击: 288-922	蓝色命格，可提取到命格背包内镶嵌。
20005	4:467|5:1495	3	0	5	3	645	0	690	20006	0	锋锐	fengrui_lan	#f7ab00|命格属性|n攻击: 467-1495	蓝色命格，可提取到命格背包内镶嵌。
20006	4:754|5:2412	3	0	6	3	1335	0	1385	20007	0	锋锐	fengrui_lan	#f7ab00|命格属性|n攻击: 754-2412	蓝色命格，可提取到命格背包内镶嵌。
20007	4:1213|5:3880	3	0	7	3	2720	0	2755	20008	0	锋锐	fengrui_lan	#f7ab00|命格属性|n攻击: 1213-3880	蓝色命格，可提取到命格背包内镶嵌。
20008	4:1947|5:6229	3	0	8	3	5475	0	5425	20009	0	锋锐	fengrui_lan	#f7ab00|命格属性|n攻击: 1947-6229	蓝色命格，可提取到命格背包内镶嵌。
20009	4:3121|5:9987	3	0	9	3	10900	0	10580	20010	0	锋锐	fengrui_lan	#f7ab00|命格属性|n攻击: 3121-9987	蓝色命格，可提取到命格背包内镶嵌。
20010	4:5000|5:16000	3	0	10	3	21480	0	-1	-1	0	锋锐	fengrui_lan	#f7ab00|命格属性|n攻击: 5000-16000	蓝色命格，可提取到命格背包内镶嵌。
20011	1:4496	4	0	1	3	20	0	40	20012	0	血滴	xuechi_lan	#f7ab00|命格属性|n生命: 4496	蓝色命格，可提取到命格背包内镶嵌。
20012	1:7646	4	0	2	3	60	0	80	20013	0	血滴	xuechi_lan	#f7ab00|命格属性|n生命: 7646	蓝色命格，可提取到命格背包内镶嵌。
20013	1:12686	4	0	3	3	140	0	165	20014	0	血滴	xuechi_lan	#f7ab00|命格属性|n生命: 12686	蓝色命格，可提取到命格背包内镶嵌。
20014	1:20749	4	0	4	3	305	0	340	20015	0	血滴	xuechi_lan	#f7ab00|命格属性|n生命: 20749	蓝色命格，可提取到命格背包内镶嵌。
20015	1:33651	4	0	5	3	645	0	690	20016	0	血滴	xuechi_lan	#f7ab00|命格属性|n生命: 33651	蓝色命格，可提取到命格背包内镶嵌。
20016	1:54294	4	0	6	3	1335	0	1385	20017	0	血滴	xuechi_lan	#f7ab00|命格属性|n生命: 54294	蓝色命格，可提取到命格背包内镶嵌。
20017	1:87322	4	0	7	3	2720	0	2755	20018	0	血滴	xuechi_lan	#f7ab00|命格属性|n生命: 87322	蓝色命格，可提取到命格背包内镶嵌。
20018	1:140167	4	0	8	3	5475	0	5425	20019	0	血滴	xuechi_lan	#f7ab00|命格属性|n生命: 140167	蓝色命格，可提取到命格背包内镶嵌。
20019	1:224719	4	0	9	3	10900	0	10580	20020	0	血滴	xuechi_lan	#f7ab00|命格属性|n生命: 224719	蓝色命格，可提取到命格背包内镶嵌。
20020	1:360002	4	0	10	3	21480	0	-1	-1	0	血滴	xuechi_lan	#f7ab00|命格属性|n生命: 360002	蓝色命格，可提取到命格背包内镶嵌。
20021	6:62|7:200	5	0	1	3	20	0	40	20022	0	坚甲	jianjia_lan	#f7ab00|命格属性|n防御: 62-200	蓝色命格，可提取到命格背包内镶嵌。
20022	6:106|7:340	5	0	2	3	60	0	80	20023	0	坚甲	jianjia_lan	#f7ab00|命格属性|n防御: 106-340	蓝色命格，可提取到命格背包内镶嵌。
20023	6:176|7:564	5	0	3	3	140	0	165	20024	0	坚甲	jianjia_lan	#f7ab00|命格属性|n防御: 176-564	蓝色命格，可提取到命格背包内镶嵌。
20024	6:288|7:922	5	0	4	3	305	0	340	20025	0	坚甲	jianjia_lan	#f7ab00|命格属性|n防御: 288-922	蓝色命格，可提取到命格背包内镶嵌。
20025	6:467|7:1495	5	0	5	3	645	0	690	20026	0	坚甲	jianjia_lan	#f7ab00|命格属性|n防御: 467-1495	蓝色命格，可提取到命格背包内镶嵌。
20026	6:754|7:2412	5	0	6	3	1335	0	1385	20027	0	坚甲	jianjia_lan	#f7ab00|命格属性|n防御: 754-2412	蓝色命格，可提取到命格背包内镶嵌。
20027	6:1213|7:3880	5	0	7	3	2720	0	2755	20028	0	坚甲	jianjia_lan	#f7ab00|命格属性|n防御: 1213-3880	蓝色命格，可提取到命格背包内镶嵌。
20028	6:1947|7:6229	5	0	8	3	5475	0	5425	20029	0	坚甲	jianjia_lan	#f7ab00|命格属性|n防御: 1947-6229	蓝色命格，可提取到命格背包内镶嵌。
20029	6:3121|7:9987	5	0	9	3	10900	0	10580	20030	0	坚甲	jianjia_lan	#f7ab00|命格属性|n防御: 3121-9987	蓝色命格，可提取到命格背包内镶嵌。
20030	6:5000|7:16000	5	0	10	3	21480	0	-1	-1	0	坚甲	jianjia_lan	#f7ab00|命格属性|n防御: 5000-16000	蓝色命格，可提取到命格背包内镶嵌。
20031	8:16	6	0	1	3	20	0	40	20032	0	鹰眼	yingyan_lan	#f7ab00|命格属性|n准确: 16	蓝色命格，可提取到命格背包内镶嵌。
20032	8:33	6	0	2	3	60	0	80	20033	0	鹰眼	yingyan_lan	#f7ab00|命格属性|n准确: 33	蓝色命格，可提取到命格背包内镶嵌。
20033	8:51	6	0	3	3	140	0	165	20034	0	鹰眼	yingyan_lan	#f7ab00|命格属性|n准确: 51	蓝色命格，可提取到命格背包内镶嵌。
20034	8:70	6	0	4	3	305	0	340	20035	0	鹰眼	yingyan_lan	#f7ab00|命格属性|n准确: 70	蓝色命格，可提取到命格背包内镶嵌。
20035	8:90	6	0	5	3	645	0	690	20036	0	鹰眼	yingyan_lan	#f7ab00|命格属性|n准确: 90	蓝色命格，可提取到命格背包内镶嵌。
20036	8:110	6	0	6	3	1335	0	1385	20037	0	鹰眼	yingyan_lan	#f7ab00|命格属性|n准确: 110	蓝色命格，可提取到命格背包内镶嵌。
20037	8:131	6	0	7	3	2720	0	2755	20038	0	鹰眼	yingyan_lan	#f7ab00|命格属性|n准确: 131	蓝色命格，可提取到命格背包内镶嵌。
20038	8:153	6	0	8	3	5475	0	5425	20039	0	鹰眼	yingyan_lan	#f7ab00|命格属性|n准确: 153	蓝色命格，可提取到命格背包内镶嵌。
20039	8:176	6	0	9	3	10900	0	10580	20040	0	鹰眼	yingyan_lan	#f7ab00|命格属性|n准确: 176	蓝色命格，可提取到命格背包内镶嵌。
20040	8:200	6	0	10	3	21480	0	-1	-1	0	鹰眼	yingyan_lan	#f7ab00|命格属性|n准确: 200	蓝色命格，可提取到命格背包内镶嵌。
20041	9:16	7	0	1	3	20	0	40	20042	0	迅捷	xunjie_lan	#f7ab00|命格属性|n敏捷: 16	蓝色命格，可提取到命格背包内镶嵌。
20042	9:33	7	0	2	3	60	0	80	20043	0	迅捷	xunjie_lan	#f7ab00|命格属性|n敏捷: 33	蓝色命格，可提取到命格背包内镶嵌。
20043	9:51	7	0	3	3	140	0	165	20044	0	迅捷	xunjie_lan	#f7ab00|命格属性|n敏捷: 51	蓝色命格，可提取到命格背包内镶嵌。
20044	9:70	7	0	4	3	305	0	340	20045	0	迅捷	xunjie_lan	#f7ab00|命格属性|n敏捷: 70	蓝色命格，可提取到命格背包内镶嵌。
20045	9:90	7	0	5	3	645	0	690	20046	0	迅捷	xunjie_lan	#f7ab00|命格属性|n敏捷: 90	蓝色命格，可提取到命格背包内镶嵌。
20046	9:110	7	0	6	3	1335	0	1385	20047	0	迅捷	xunjie_lan	#f7ab00|命格属性|n敏捷: 110	蓝色命格，可提取到命格背包内镶嵌。
20047	9:131	7	0	7	3	2720	0	2755	20048	0	迅捷	xunjie_lan	#f7ab00|命格属性|n敏捷: 131	蓝色命格，可提取到命格背包内镶嵌。
20048	9:153	7	0	8	3	5475	0	5425	20049	0	迅捷	xunjie_lan	#f7ab00|命格属性|n敏捷: 153	蓝色命格，可提取到命格背包内镶嵌。
20049	9:176	7	0	9	3	10900	0	10580	20050	0	迅捷	xunjie_lan	#f7ab00|命格属性|n敏捷: 176	蓝色命格，可提取到命格背包内镶嵌。
20050	9:200	7	0	10	3	21480	0	-1	-1	0	迅捷	xunjie_lan	#f7ab00|命格属性|n敏捷: 200	蓝色命格，可提取到命格背包内镶嵌。
30001	4:183|5:586	3	0	1	4	40	0	80	30002	0	锋锐	fengrui_zi	#f7ab00|命格属性|n攻击: 183-586	紫色命格，可提取到命格背包内镶嵌。
30002	4:311|5:997	3	0	2	4	120	0	170	30003	0	锋锐	fengrui_zi	#f7ab00|命格属性|n攻击: 311-997	紫色命格，可提取到命格背包内镶嵌。
30003	4:516|5:1654	3	0	3	4	290	0	355	30004	0	锋锐	fengrui_zi	#f7ab00|命格属性|n攻击: 516-1654	紫色命格，可提取到命格背包内镶嵌。
30004	4:844|5:2705	3	0	4	4	645	0	745	30005	0	锋锐	fengrui_zi	#f7ab00|命格属性|n攻击: 844-2705	紫色命格，可提取到命格背包内镶嵌。
30005	4:1370|5:4387	3	0	5	4	1390	0	1550	30006	0	锋锐	fengrui_zi	#f7ab00|命格属性|n攻击: 1370-4387	紫色命格，可提取到命格背包内镶嵌。
30006	4:2158|5:6910	3	0	6	4	2940	0	3195	30007	0	锋锐	fengrui_zi	#f7ab00|命格属性|n攻击: 2158-6910	紫色命格，可提取到命格背包内镶嵌。
30007	4:3262|5:10442	3	0	7	4	6135	0	6520	30008	0	锋锐	fengrui_zi	#f7ab00|命格属性|n攻击: 3262-10442	紫色命格，可提取到命格背包内镶嵌。
30008	4:4807|5:15387	3	0	8	4	12655	0	13170	30009	0	锋锐	fengrui_zi	#f7ab00|命格属性|n攻击: 4807-15387	紫色命格，可提取到命格背包内镶嵌。
30009	4:6970|5:22310	3	0	9	4	25825	0	26340	30010	0	锋锐	fengrui_zi	#f7ab00|命格属性|n攻击: 6970-22310	紫色命格，可提取到命格背包内镶嵌。
30010	4:9999|5:32002	3	0	10	4	52165	0	-1	-1	0	锋锐	fengrui_zi	#f7ab00|命格属性|n攻击: 9999-32002	紫色命格，可提取到命格背包内镶嵌。
30011	1:13186	4	0	1	4	40	0	80	30012	0	血滴	xuechi_zi	#f7ab00|命格属性|n生命: 13186	紫色命格，可提取到命格背包内镶嵌。
30012	1:22425	4	0	2	4	120	0	170	30013	0	血滴	xuechi_zi	#f7ab00|命格属性|n生命: 22425	紫色命格，可提取到命格背包内镶嵌。
30013	1:37207	4	0	3	4	290	0	355	30014	0	血滴	xuechi_zi	#f7ab00|命格属性|n生命: 37207	紫色命格，可提取到命格背包内镶嵌。
30014	1:60858	4	0	4	4	645	0	745	30015	0	血滴	xuechi_zi	#f7ab00|命格属性|n生命: 60858	紫色命格，可提取到命格背包内镶嵌。
30015	1:98700	4	0	5	4	1390	0	1550	30016	0	血滴	xuechi_zi	#f7ab00|命格属性|n生命: 98700	紫色命格，可提取到命格背包内镶嵌。
30016	1:155463	4	0	6	4	2940	0	3195	30017	0	血滴	xuechi_zi	#f7ab00|命格属性|n生命: 155463	紫色命格，可提取到命格背包内镶嵌。
30017	1:234931	4	0	7	4	6135	0	6520	30018	0	血滴	xuechi_zi	#f7ab00|命格属性|n生命: 234931	紫色命格，可提取到命格背包内镶嵌。
30018	1:346186	4	0	8	4	12655	0	13170	30019	0	血滴	xuechi_zi	#f7ab00|命格属性|n生命: 346186	紫色命格，可提取到命格背包内镶嵌。
30019	1:501943	4	0	9	4	25825	0	26340	30020	0	血滴	xuechi_zi	#f7ab00|命格属性|n生命: 501943	紫色命格，可提取到命格背包内镶嵌。
30020	1:720002	4	0	10	4	52165	0	-1	-1	0	血滴	xuechi_zi	#f7ab00|命格属性|n生命: 720002	紫色命格，可提取到命格背包内镶嵌。
30021	6:183|7:586	5	0	1	4	40	0	80	30022	0	坚甲	jianjia_zi	#f7ab00|命格属性|n防御: 183-586	紫色命格，可提取到命格背包内镶嵌。
30022	6:311|7:997	5	0	2	4	120	0	170	30023	0	坚甲	jianjia_zi	#f7ab00|命格属性|n防御: 311-997	紫色命格，可提取到命格背包内镶嵌。
30023	6:516|7:1654	5	0	3	4	290	0	355	30024	0	坚甲	jianjia_zi	#f7ab00|命格属性|n防御: 516-1654	紫色命格，可提取到命格背包内镶嵌。
30024	6:844|7:2705	5	0	4	4	645	0	745	30025	0	坚甲	jianjia_zi	#f7ab00|命格属性|n防御: 844-2705	紫色命格，可提取到命格背包内镶嵌。
30025	6:1370|7:4387	5	0	5	4	1390	0	1550	30026	0	坚甲	jianjia_zi	#f7ab00|命格属性|n防御: 1370-4387	紫色命格，可提取到命格背包内镶嵌。
30026	6:2158|7:6910	5	0	6	4	2940	0	3195	30027	0	坚甲	jianjia_zi	#f7ab00|命格属性|n防御: 2158-6910	紫色命格，可提取到命格背包内镶嵌。
30027	6:3262|7:10442	5	0	7	4	6135	0	6520	30028	0	坚甲	jianjia_zi	#f7ab00|命格属性|n防御: 3262-10442	紫色命格，可提取到命格背包内镶嵌。
30028	6:4807|7:15387	5	0	8	4	12655	0	13170	30029	0	坚甲	jianjia_zi	#f7ab00|命格属性|n防御: 4807-15387	紫色命格，可提取到命格背包内镶嵌。
30029	6:6970|7:22310	5	0	9	4	25825	0	26340	30030	0	坚甲	jianjia_zi	#f7ab00|命格属性|n防御: 6970-22310	紫色命格，可提取到命格背包内镶嵌。
30030	6:9999|7:32002	5	0	10	4	52165	0	-1	-1	0	坚甲	jianjia_zi	#f7ab00|命格属性|n防御: 9999-32002	紫色命格，可提取到命格背包内镶嵌。
30031	8:33	6	0	1	4	40	0	80	30032	0	鹰眼	yingyan_zi	#f7ab00|命格属性|n准确: 33	紫色命格，可提取到命格背包内镶嵌。
30032	8:67	6	0	2	4	120	0	170	30033	0	鹰眼	yingyan_zi	#f7ab00|命格属性|n准确: 67	紫色命格，可提取到命格背包内镶嵌。
30033	8:103	6	0	3	4	290	0	355	30034	0	鹰眼	yingyan_zi	#f7ab00|命格属性|n准确: 103	紫色命格，可提取到命格背包内镶嵌。
30034	8:141	6	0	4	4	645	0	745	30035	0	鹰眼	yingyan_zi	#f7ab00|命格属性|n准确: 141	紫色命格，可提取到命格背包内镶嵌。
30035	8:180	6	0	5	4	1390	0	1550	30036	0	鹰眼	yingyan_zi	#f7ab00|命格属性|n准确: 180	紫色命格，可提取到命格背包内镶嵌。
30036	8:221	6	0	6	4	2940	0	3195	30037	0	鹰眼	yingyan_zi	#f7ab00|命格属性|n准确: 221	紫色命格，可提取到命格背包内镶嵌。
30037	8:263	6	0	7	4	6135	0	6520	30038	0	鹰眼	yingyan_zi	#f7ab00|命格属性|n准确: 263	紫色命格，可提取到命格背包内镶嵌。
30038	8:307	6	0	8	4	12655	0	13170	30039	0	鹰眼	yingyan_zi	#f7ab00|命格属性|n准确: 307	紫色命格，可提取到命格背包内镶嵌。
30039	8:353	6	0	9	4	25825	0	26340	30040	0	鹰眼	yingyan_zi	#f7ab00|命格属性|n准确: 353	紫色命格，可提取到命格背包内镶嵌。
30040	8:400	6	0	10	4	52165	0	-1	-1	0	鹰眼	yingyan_zi	#f7ab00|命格属性|n准确: 400	紫色命格，可提取到命格背包内镶嵌。
30041	9:33	7	0	1	4	40	0	80	30042	0	迅捷	xunjie_zi	#f7ab00|命格属性|n敏捷: 33	紫色命格，可提取到命格背包内镶嵌。
30042	9:67	7	0	2	4	120	0	170	30043	0	迅捷	xunjie_zi	#f7ab00|命格属性|n敏捷: 67	紫色命格，可提取到命格背包内镶嵌。
30043	9:103	7	0	3	4	290	0	355	30044	0	迅捷	xunjie_zi	#f7ab00|命格属性|n敏捷: 103	紫色命格，可提取到命格背包内镶嵌。
30044	9:141	7	0	4	4	645	0	745	30045	0	迅捷	xunjie_zi	#f7ab00|命格属性|n敏捷: 141	紫色命格，可提取到命格背包内镶嵌。
30045	9:180	7	0	5	4	1390	0	1550	30046	0	迅捷	xunjie_zi	#f7ab00|命格属性|n敏捷: 180	紫色命格，可提取到命格背包内镶嵌。
30046	9:221	7	0	6	4	2940	0	3195	30047	0	迅捷	xunjie_zi	#f7ab00|命格属性|n敏捷: 221	紫色命格，可提取到命格背包内镶嵌。
30047	9:263	7	0	7	4	6135	0	6520	30048	0	迅捷	xunjie_zi	#f7ab00|命格属性|n敏捷: 263	紫色命格，可提取到命格背包内镶嵌。
30048	9:307	7	0	8	4	12655	0	13170	30049	0	迅捷	xunjie_zi	#f7ab00|命格属性|n敏捷: 307	紫色命格，可提取到命格背包内镶嵌。
30049	9:353	7	0	9	4	25825	0	26340	30050	0	迅捷	xunjie_zi	#f7ab00|命格属性|n敏捷: 353	紫色命格，可提取到命格背包内镶嵌。
30050	9:400	7	0	10	4	52165	0	-1	-1	0	迅捷	xunjie_zi	#f7ab00|命格属性|n敏捷: 400	紫色命格，可提取到命格背包内镶嵌。
30051	10:1538	8	0	1	4	40	0	80	30052	0	暴徒	baotu_zi	#f7ab00|命格属性|n暴伤: 1538	紫色命格，可提取到命格背包内镶嵌。
30052	10:2616	8	0	2	4	120	0	170	30053	0	暴徒	baotu_zi	#f7ab00|命格属性|n暴伤: 2616	紫色命格，可提取到命格背包内镶嵌。
30053	10:4341	8	0	3	4	290	0	355	30054	0	暴徒	baotu_zi	#f7ab00|命格属性|n暴伤: 4341	紫色命格，可提取到命格背包内镶嵌。
30054	10:7100	8	0	4	4	645	0	745	30055	0	暴徒	baotu_zi	#f7ab00|命格属性|n暴伤: 7100	紫色命格，可提取到命格背包内镶嵌。
30055	10:11515	8	0	5	4	1390	0	1550	30056	0	暴徒	baotu_zi	#f7ab00|命格属性|n暴伤: 11515	紫色命格，可提取到命格背包内镶嵌。
30056	10:18137	8	0	6	4	2940	0	3195	30057	0	暴徒	baotu_zi	#f7ab00|命格属性|n暴伤: 18137	紫色命格，可提取到命格背包内镶嵌。
30057	10:27408	8	0	7	4	6135	0	6520	30058	0	暴徒	baotu_zi	#f7ab00|命格属性|n暴伤: 27408	紫色命格，可提取到命格背包内镶嵌。
30058	10:40388	8	0	8	4	12655	0	13170	30059	0	暴徒	baotu_zi	#f7ab00|命格属性|n暴伤: 40388	紫色命格，可提取到命格背包内镶嵌。
30059	10:58560	8	0	9	4	25825	0	26340	30060	0	暴徒	baotu_zi	#f7ab00|命格属性|n暴伤: 58560	紫色命格，可提取到命格背包内镶嵌。
30060	10:84000	8	0	10	4	52165	0	-1	-1	0	暴徒	baotu_zi	#f7ab00|命格属性|n暴伤: 84000	紫色命格，可提取到命格背包内镶嵌。
30061	33:1538	9	0	1	4	40	0	80	30062	0	蔓藤	manteng_zi	#f7ab00|命格属性|n韧性: 1538	紫色命格，可提取到命格背包内镶嵌。
30062	33:2616	9	0	2	4	120	0	170	30063	0	蔓藤	manteng_zi	#f7ab00|命格属性|n韧性: 2616	紫色命格，可提取到命格背包内镶嵌。
30063	33:4341	9	0	3	4	290	0	355	30064	0	蔓藤	manteng_zi	#f7ab00|命格属性|n韧性: 4341	紫色命格，可提取到命格背包内镶嵌。
30064	33:7100	9	0	4	4	645	0	745	30065	0	蔓藤	manteng_zi	#f7ab00|命格属性|n韧性: 7100	紫色命格，可提取到命格背包内镶嵌。
30065	33:11515	9	0	5	4	1390	0	1550	30066	0	蔓藤	manteng_zi	#f7ab00|命格属性|n韧性: 11515	紫色命格，可提取到命格背包内镶嵌。
30066	33:18137	9	0	6	4	2940	0	3195	30067	0	蔓藤	manteng_zi	#f7ab00|命格属性|n韧性: 18137	紫色命格，可提取到命格背包内镶嵌。
30067	33:27408	9	0	7	4	6135	0	6520	30068	0	蔓藤	manteng_zi	#f7ab00|命格属性|n韧性: 27408	紫色命格，可提取到命格背包内镶嵌。
30068	33:40388	9	0	8	4	12655	0	13170	30069	0	蔓藤	manteng_zi	#f7ab00|命格属性|n韧性: 40388	紫色命格，可提取到命格背包内镶嵌。
30069	33:58560	9	0	9	4	25825	0	26340	30070	0	蔓藤	manteng_zi	#f7ab00|命格属性|n韧性: 58560	紫色命格，可提取到命格背包内镶嵌。
30070	33:84000	9	0	10	4	52165	0	-1	-1	0	蔓藤	manteng_zi	#f7ab00|命格属性|n韧性: 84000	紫色命格，可提取到命格背包内镶嵌。
30071	3:13605	10	0	1	4	40	0	80	30072	0	自然守护	ziran_zi	#f7ab00|命格属性|n生命恢复: 13605	紫色命格，可提取到命格背包内镶嵌。
30072	3:27891	10	0	2	4	120	0	170	30073	0	自然守护	ziran_zi	#f7ab00|命格属性|n生命恢复: 27891	紫色命格，可提取到命格背包内镶嵌。
30073	3:42857	10	0	3	4	290	0	355	30074	0	自然守护	ziran_zi	#f7ab00|命格属性|n生命恢复: 42857	紫色命格，可提取到命格背包内镶嵌。
30074	3:58503	10	0	4	4	645	0	745	30075	0	自然守护	ziran_zi	#f7ab00|命格属性|n生命恢复: 58503	紫色命格，可提取到命格背包内镶嵌。
