INT	INT	INT	INT	STRING	INT	STRING	STRING	STRING
4	2	35	1081400	4:6065|5:7599|6:3308|7:4635|1:412600|33:9923|35:30	0	4:322|5:404|6:176|7:246|1:21900|33:527	4重2星	gongming_2
4	3	36	1142000	4:6398|5:8016|6:3490|7:4889|1:435200|33:10468|35:30	0	4:333|5:417|6:182|7:254|1:22600|33:545	4重3星	gongming_3
4	4	37	1204300	4:6742|5:8446|6:3677|7:5151|1:458600|33:11030|35:30	0	4:344|5:430|6:187|7:262|1:23400|33:562	4重4星	gongming_4
4	5	38	1268600	4:7096|5:8890|6:3870|7:5422|1:482700|33:11610|35:30	0	4:354|5:444|6:193|7:271|1:24100|33:580	4重5星	gongming_5
4	6	39	1334800	4:7461|5:9348|6:4069|7:5701|1:507600|33:12208|35:30	0	4:365|5:458|6:199|7:279|1:24900|33:598	4重6星	gongming_6
4	7	40	1402900	4:7837|5:9819|6:4274|7:5988|1:533200|33:12824|35:30	0	4:376|5:471|6:205|7:287|1:25600|33:616	4重7星	gongming_7
4	8	41	1473200	4:8224|5:10304|6:4485|7:6284|1:559600|33:13458|35:30	0	4:387|5:485|6:211|7:296|1:26400|33:634	4重8星	gongming_8
4	9	42	1545500	4:8623|5:10803|6:4702|7:6588|1:586700|33:14110|35:30	0	4:399|5:499|6:217|7:304|1:27100|33:652	4重9星	gongming_9
4	10	43	1620100	4:9033|5:11317|6:4926|7:6901|1:614600|33:14781|35:40	0	4:410|5:514|6:224|7:313|1:27900|33:671|35:10	4重10星	gongming_10
5	0	44	1702900	4:9455|5:11846|6:5156|7:7223|1:643300|33:15472|35:40	536	4:422|5:529|6:230|7:322|1:28700|33:691	#00ff00|5重	-1
5	1	45	1788200	4:9889|5:12390|6:5393|7:7555|1:672800|33:16183|35:40	0	4:434|5:544|6:237|7:332|1:29500|33:711	5重1星	gongming_1
5	2	46	1876100	4:10335|5:12949|6:5637|7:7896|1:703200|33:16914|35:40	0	4:446|5:559|6:244|7:341|1:30400|33:731	5重2星	gongming_2
5	3	47	1966600	4:10794|5:13524|6:5887|7:8246|1:734400|33:17665|35:40	0	4:459|5:575|6:250|7:350|1:31200|33:751	5重3星	gongming_3
5	4	48	2059800	4:11265|5:14114|6:6144|7:8606|1:766500|33:18436|35:40	0	4:471|5:590|6:257|7:360|1:32100|33:771	5重4星	gongming_4
5	5	49	2155900	4:11749|5:14720|6:6408|7:8976|1:799400|33:19228|35:40	0	4:484|5:606|6:264|7:370|1:32900|33:792	5重5星	gongming_5
5	6	50	2254900	4:12246|5:15342|6:6679|7:9355|1:833200|33:20041|35:40	0	4:497|5:622|6:271|7:379|1:33800|33:813	5重6星	gongming_6
5	7	51	2356800	4:12756|5:15980|6:6957|7:9744|1:867900|33:20875|35:40	0	4:510|5:638|6:278|7:389|1:34700|33:834	5重7星	gongming_7
5	8	52	2461800	4:13279|5:16634|6:7242|7:10143|1:903400|33:21730|35:40	0	4:523|5:654|6:285|7:399|1:35500|33:855	5重8星	gongming_8
5	9	53	2570000	4:13815|5:17305|6:7534|7:10552|1:939800|33:22606|35:40	0	4:536|5:671|6:292|7:409|1:36400|33:876	5重9星	gongming_9
5	10	54	2681500	4:14364|5:17992|6:7833|7:10971|1:977100|33:23504|35:50	0	4:549|5:687|6:299|7:419|1:37300|33:898|35:10	5重10星	gongming_10
6	0	55	2802300	4:14927|5:18697|6:8140|7:11401|1:1015400|33:24425|35:50	536	4:563|5:705|6:307|7:430|1:38300|33:921	#00ff00|6重	-1
6	1	56	2926800	4:15504|5:19420|6:8455|7:11842|1:1054600|33:25369|35:50	0	4:577|5:723|6:315|7:441|1:39200|33:944	6重1星	gongming_1
6	2	57	3055000	4:16095|5:20160|6:8777|7:12293|1:1094800|33:26336|35:50	0	4:591|5:740|6:322|7:451|1:40200|33:967	6重2星	gongming_2
6	3	58	3187100	4:16700|5:20918|6:9107|7:12755|1:1136000|33:27327|35:50	0	4:605|5:758|6:330|7:462|1:41200|33:991	6重3星	gongming_3
6	4	59	3323200	4:17320|5:21694|6:9445|7:13228|1:1178200|33:28341|35:50	0	4:620|5:776|6:338|7:473|1:42200|33:1014	6重4星	gongming_4
6	5	60	3463400	4:17955|5:22489|6:9791|7:13713|1:1221400|33:29379|35:50	0	4:635|5:795|6:346|7:485|1:43200|33:1038	6重5星	gongming_5
6	6	61	3607800	4:18604|5:23302|6:10145|7:14209|1:1265600|33:30441|35:50	0	4:649|5:813|6:354|7:496|1:44200|33:1062	6重6星	gongming_6
6	7	62	3756600	4:19268|5:24134|6:10507|7:14716|1:1310800|33:31528|35:50	0	4:664|5:832|6:362|7:507|1:45200|33:1087	6重7星	gongming_7
6	8	63	3909800	4:19947|5:24985|6:10878|7:15235|1:1357000|33:32640|35:50	0	4:679|5:851|6:371|7:519|1:46200|33:1112	6重8星	gongming_8
6	9	64	4067700	4:20641|5:25855|6:11257|7:15765|1:1404300|33:33776|35:50	0	4:694|5:870|6:379|7:530|1:47300|33:1136	6重9星	gongming_9
6	10	65	4230300	4:21351|5:26744|6:11644|7:16307|1:1452600|33:34938|35:60	0	4:710|5:889|6:387|7:542|1:48300|33:1162|35:10	6重10星	gongming_10
7	0	66	4403900	4:22077|5:27653|6:12040|7:16861|1:1502000|33:36126|35:60	536	4:726|5:909|6:396|7:554|1:49400|33:1188	#00ff00|7重	-1
7	1	67	4582600	4:22819|5:28583|6:12445|7:17428|1:1552500|33:37340|35:60	0	4:742|5:930|6:405|7:567|1:50500|33:1214	7重1星	gongming_1
7	2	68	4766800	4:23577|5:29533|6:12859|7:18007|1:1604100|33:38581|35:60	0	4:758|5:950|6:414|7:579|1:51600|33:1241	7重2星	gongming_2
7	3	69	4956600	4:24352|5:30504|6:13282|7:18599|1:1656800|33:39849|35:60	0	4:775|5:971|6:423|7:592|1:52700|33:1268	7重3星	gongming_3
7	4	70	5152000	4:25144|5:31496|6:13714|7:19204|1:1710700|33:41145|35:60	0	4:792|5:992|6:432|7:605|1:53900|33:1296	7重4星	gongming_4
7	5	71	5353400	4:25953|5:32509|6:14155|7:19821|1:1765700|33:42468|35:60	0	4:809|5:1013|6:441|7:617|1:55000|33:1323	7重5星	gongming_5
7	6	72	5560800	4:26779|5:33543|6:14605|7:20451|1:1821900|33:43819|35:60	0	4:826|5:1034|6:450|7:630|1:56200|33:1351	7重6星	gongming_6
7	7	73	5774400	4:27622|5:34599|6:15065|7:21095|1:1879200|33:45198|35:60	0	4:843|5:1056|6:460|7:644|1:57300|33:1379	7重7星	gongming_7
7	8	74	5994500	4:28482|5:35676|6:15534|7:21752|1:1937700|33:46606|35:60	0	4:860|5:1077|6:469|7:657|1:58500|33:1408	7重8星	gongming_8
7	9	75	6221300	4:29360|5:36775|6:16013|7:22422|1:1997400|33:48042|35:60	0	4:878|5:1099|6:479|7:670|1:59700|33:1436	7重9星	gongming_9
7	10	76	6454900	4:30256|5:37897|6:16501|7:23106|1:2058300|33:49507|35:70	0	4:896|5:1122|6:488|7:684|1:60900|33:1465|35:10	7重10星	gongming_10
8	0	77	6701500	4:31170|5:39042|6:17000|7:23804|1:2120500|33:51003|35:70	536	4:914|5:1145|6:499|7:698|1:62200|33:1496	#00ff00|8重	-1
8	1	78	6955600	4:32103|5:40210|6:17509|7:24516|1:2183900|33:52529|35:70	0	4:933|5:1168|6:509|7:712|1:63400|33:1526	8重1星	gongming_1
8	2	79	7217400	4:33054|5:41402|6:18028|7:25243|1:2248600|33:54086|35:70	0	4:951|5:1192|6:519|7:727|1:64700|33:1557	8重2星	gongming_2
8	3	80	7487000	4:34024|5:42617|6:18557|7:25984|1:2314600|33:55674|35:70	0	4:970|5:1215|6:529|7:741|1:66000|33:1588	8重3星	gongming_3
8	4	81	7764800	4:35014|5:43856|6:19097|7:26740|1:2381900|33:57293|35:70	0	4:990|5:1239|6:540|7:756|1:67300|33:1619	8重4星	gongming_4
8	5	82	8050900	4:36023|5:45120|6:19647|7:27510|1:2450500|33:58944|35:70	0	4:1009|5:1264|6:550|7:770|1:68600|33:1651	8重5星	gongming_5
8	6	83	8345700	4:37051|5:46408|6:20208|7:28295|1:2520500|33:60627|35:70	0	4:1028|5:1288|6:561|7:785|1:70000|33:1683	8重6星	gongming_6
8	7	84	8649400	4:38099|5:47721|6:20780|7:29095|1:2591800|33:62342|35:70	0	4:1048|5:1313|6:572|7:800|1:71300|33:1715	8重7星	gongming_7
8	8	85	8962200	4:39167|5:49059|6:21363|7:29911|1:2664500|33:64090|35:70	0	4:1068|5:1338|6:583|7:816|1:72700|33:1748	8重8星	gongming_8
8	9	86	9284400	4:40255|5:50422|6:21957|7:30742|1:2738500|33:65871|35:70	0	4:1088|5:1363|6:594|7:831|1:74000|33:1781	8重9星	gongming_9
8	10	87	9616400	4:41364|5:51811|6:22562|7:31589|1:2813900|33:67685|35:80	0	4:1109|5:1389|6:605|7:847|1:75400|33:1814|35:10	8重10星	gongming_10
9	0	88	9964400	4:42494|5:53226|6:23178|7:32452|1:2890800|33:69534|35:80	536	4:1130|5:1415|6:616|7:863|1:76900|33:1849	#00ff00|9重	-1
9	1	89	10322900	4:43645|5:54668|6:23806|7:33331|1:2969100|33:71418|35:80	0	4:1151|5:1442|6:628|7:879|1:78300|33:1884	9重1星	gongming_1
9	2	90	10692100	4:44818|5:56137|6:24446|7:34226|1:3048900|33:73337|35:80	0	4:1173|5:1469|6:640|7:895|1:79800|33:1919	9重2星	gongming_2
9	3	91	11072600	4:46012|5:57633|6:25097|7:35138|1:3130200|33:75291|35:80	0	4:1194|5:1496|6:651|7:912|1:81300|33:1954	9重3星	gongming_3
9	4	92	11464500	4:47228|5:59156|6:25760|7:36067|1:3213000|33:77281|35:80	0	4:1216|5:1523|6:663|7:929|1:82800|33:1990	9重4星	gongming_4
9	5	93	11868200	4:48467|5:60707|6:26436|7:37013|1:3297300|33:79308|35:80	0	4:1239|5:1551|6:676|7:946|1:84300|33:2027	9重5星	gongming_5
9	6	94	12284100	4:49728|5:62286|6:27124|7:37976|1:3383100|33:81371|35:80	0	4:1261|5:1579|6:688|7:963|1:85800|33:2063	9重6星	gongming_6
9	7	95	12712500	4:51012|5:63894|6:27824|7:38956|1:3470400|33:83471|35:80	0	4:1284|5:1608|6:700|7:980|1:87300|33:2100	9重7星	gongming_7
9	8	96	13153800	4:52318|5:65530|6:28537|7:39954|1:3559300|33:85609|35:80	0	4:1306|5:1636|6:713|7:998|1:88900|33:2138	9重8星	gongming_8
9	9	97	13608500	4:53647|5:67195|6:29262|7:40969|1:3649700|33:87784|35:80	0	4:1329|5:1665|6:725|7:1015|1:90400|33:2175	9重9星	gongming_9
9	10	98	14108400	4:55000|5:68889|6:30000|7:42002|1:3741700|33:89998|35:90	0	4:1353|5:1694|6:738|7:1033|1:92000|33:2214|35:10	9重10星	gongming_10
