INT	INT	STRING	INT	STRING	INT
14	51	776:1:19	320	#00afec|【注能lv14】猎首魔符属性提升32%	-1
15	51	776:1:21	350	#00afec|【注能lv15】猎首魔符属性提升35%	532
16	51	776:1:23	380	#00afec|【注能lv16】猎首魔符属性提升38%	-1
17	51	776:1:25	410	#00afec|【注能lv17】猎首魔符属性提升41%	-1
18	51	776:1:27	440	#00afec|【注能lv18】猎首魔符属性提升44%	-1
19	51	776:1:30	470	#00afec|【注能lv19】猎首魔符属性提升47%	-1
20	51	776:1:33	500	#00afec|【注能lv20】猎首魔符属性提升50%	532
21	51	776:1:36	540	#00afec|【注能lv21】猎首魔符属性提升54%	-1
22	51	776:1:40	580	#00afec|【注能lv22】猎首魔符属性提升58%	-1
23	51	776:1:44	620	#00afec|【注能lv23】猎首魔符属性提升62%	-1
24	51	776:1:48	660	#00afec|【注能lv24】猎首魔符属性提升66%	-1
25	51	776:1:53	700	#00afec|【注能lv25】猎首魔符属性提升70%	532
26	51	776:1:58	740	#00afec|【注能lv26】猎首魔符属性提升74%	-1
27	51	776:1:64	780	#00afec|【注能lv27】猎首魔符属性提升78%	-1
28	51	776:1:70	820	#00afec|【注能lv28】猎首魔符属性提升82%	-1
29	51	776:1:77	860	#00afec|【注能lv29】猎首魔符属性提升86%	-1
30	51	776:1:85	900	#00afec|【注能lv30】猎首魔符属性提升90%	532
31	51	776:1:93	950	#00afec|【注能lv31】猎首魔符属性提升95%	-1
32	51	776:1:102	1000	#00afec|【注能lv32】猎首魔符属性提升100%	-1
33	51	776:1:113	1050	#00afec|【注能lv33】猎首魔符属性提升105%	-1
34	51	776:1:124	1100	#00afec|【注能lv34】猎首魔符属性提升110%	-1
35	51	776:1:136	1150	#00afec|【注能lv35】猎首魔符属性提升115%	532
36	51	776:1:150	1200	#00afec|【注能lv36】猎首魔符属性提升120%	-1
37	51	776:1:165	1250	#00afec|【注能lv37】猎首魔符属性提升125%	-1
38	51	776:1:181	1300	#00afec|【注能lv38】猎首魔符属性提升130%	-1
39	51	776:1:199	1350	#00afec|【注能lv39】猎首魔符属性提升135%	-1
40	51	776:1:219	1400	#00afec|【注能lv40】猎首魔符属性提升140%	532
41	51	776:1:241	1470	#00afec|【注能lv41】猎首魔符属性提升147%	-1
42	51	776:1:265	1540	#00afec|【注能lv42】猎首魔符属性提升154%	-1
43	51	776:1:291	1610	#00afec|【注能lv43】猎首魔符属性提升161%	-1
44	51	776:1:320	1680	#00afec|【注能lv44】猎首魔符属性提升168%	-1
45	51	776:1:352	1750	#00afec|【注能lv45】猎首魔符属性提升175%	532
46	51	776:1:387	1820	#00afec|【注能lv46】猎首魔符属性提升182%	-1
47	51	776:1:426	1890	#00afec|【注能lv47】猎首魔符属性提升189%	-1
48	51	776:1:468	1960	#00afec|【注能lv48】猎首魔符属性提升196%	-1
49	51	776:1:515	2030	#00afec|【注能lv49】猎首魔符属性提升203%	-1
50	51	776:1:567	2100	#00afec|【注能lv50】猎首魔符属性提升210%	532
51	51	776:1:623	2190	#00afec|【注能lv51】猎首魔符属性提升219%	-1
52	51	776:1:685	2280	#00afec|【注能lv52】猎首魔符属性提升228%	-1
53	51	776:1:754	2370	#00afec|【注能lv53】猎首魔符属性提升237%	-1
54	51	776:1:829	2460	#00afec|【注能lv54】猎首魔符属性提升246%	-1
55	51	776:1:912	2550	#00afec|【注能lv55】猎首魔符属性提升255%	532
56	51	776:1:1003	2640	#00afec|【注能lv56】猎首魔符属性提升264%	-1
57	51	776:1:1104	2730	#00afec|【注能lv57】猎首魔符属性提升273%	-1
58	51	776:1:1214	2820	#00afec|【注能lv58】猎首魔符属性提升282%	-1
59	51	776:1:1335	2910	#00afec|【注能lv59】猎首魔符属性提升291%	-1
60	51	-1	3000	#00afec|【注能lv60】猎首魔符属性提升300%	532
0	52	776:1:6	0	#00afec|【注能lv0】獠牙魔符属性提升0%	-1
1	52	776:1:6	20	#00afec|【注能lv1】獠牙魔符属性提升2%	-1
2	52	776:1:6	40	#00afec|【注能lv2】獠牙魔符属性提升4%	-1
3	52	776:1:7	60	#00afec|【注能lv3】獠牙魔符属性提升6%	-1
4	52	776:1:8	80	#00afec|【注能lv4】獠牙魔符属性提升8%	-1
5	52	776:1:8	100	#00afec|【注能lv5】獠牙魔符属性提升10%	532
6	52	776:1:9	120	#00afec|【注能lv6】獠牙魔符属性提升12%	-1
7	52	776:1:10	140	#00afec|【注能lv7】獠牙魔符属性提升14%	-1
8	52	776:1:11	160	#00afec|【注能lv8】獠牙魔符属性提升16%	-1
9	52	776:1:12	180	#00afec|【注能lv9】獠牙魔符属性提升18%	-1
10	52	776:1:13	200	#00afec|【注能lv10】獠牙魔符属性提升20%	532
11	52	776:1:14	230	#00afec|【注能lv11】獠牙魔符属性提升23%	-1
12	52	776:1:16	260	#00afec|【注能lv12】獠牙魔符属性提升26%	-1
13	52	776:1:17	290	#00afec|【注能lv13】獠牙魔符属性提升29%	-1
14	52	776:1:19	320	#00afec|【注能lv14】獠牙魔符属性提升32%	-1
15	52	776:1:21	350	#00afec|【注能lv15】獠牙魔符属性提升35%	532
16	52	776:1:23	380	#00afec|【注能lv16】獠牙魔符属性提升38%	-1
17	52	776:1:25	410	#00afec|【注能lv17】獠牙魔符属性提升41%	-1
18	52	776:1:27	440	#00afec|【注能lv18】獠牙魔符属性提升44%	-1
19	52	776:1:30	470	#00afec|【注能lv19】獠牙魔符属性提升47%	-1
20	52	776:1:33	500	#00afec|【注能lv20】獠牙魔符属性提升50%	532
21	52	776:1:36	540	#00afec|【注能lv21】獠牙魔符属性提升54%	-1
22	52	776:1:40	580	#00afec|【注能lv22】獠牙魔符属性提升58%	-1
23	52	776:1:44	620	#00afec|【注能lv23】獠牙魔符属性提升62%	-1
24	52	776:1:48	660	#00afec|【注能lv24】獠牙魔符属性提升66%	-1
25	52	776:1:53	700	#00afec|【注能lv25】獠牙魔符属性提升70%	532
26	52	776:1:58	740	#00afec|【注能lv26】獠牙魔符属性提升74%	-1
27	52	776:1:64	780	#00afec|【注能lv27】獠牙魔符属性提升78%	-1
28	52	776:1:70	820	#00afec|【注能lv28】獠牙魔符属性提升82%	-1
29	52	776:1:77	860	#00afec|【注能lv29】獠牙魔符属性提升86%	-1
30	52	776:1:85	900	#00afec|【注能lv30】獠牙魔符属性提升90%	532
31	52	776:1:93	950	#00afec|【注能lv31】獠牙魔符属性提升95%	-1
32	52	776:1:102	1000	#00afec|【注能lv32】獠牙魔符属性提升100%	-1
33	52	776:1:113	1050	#00afec|【注能lv33】獠牙魔符属性提升105%	-1
34	52	776:1:124	1100	#00afec|【注能lv34】獠牙魔符属性提升110%	-1
35	52	776:1:136	1150	#00afec|【注能lv35】獠牙魔符属性提升115%	532
36	52	776:1:150	1200	#00afec|【注能lv36】獠牙魔符属性提升120%	-1
37	52	776:1:165	1250	#00afec|【注能lv37】獠牙魔符属性提升125%	-1
38	52	776:1:181	1300	#00afec|【注能lv38】獠牙魔符属性提升130%	-1
39	52	776:1:199	1350	#00afec|【注能lv39】獠牙魔符属性提升135%	-1
40	52	776:1:219	1400	#00afec|【注能lv40】獠牙魔符属性提升140%	532
41	52	776:1:241	1470	#00afec|【注能lv41】獠牙魔符属性提升147%	-1
42	52	776:1:265	1540	#00afec|【注能lv42】獠牙魔符属性提升154%	-1
43	52	776:1:291	1610	#00afec|【注能lv43】獠牙魔符属性提升161%	-1
44	52	776:1:320	1680	#00afec|【注能lv44】獠牙魔符属性提升168%	-1
45	52	776:1:352	1750	#00afec|【注能lv45】獠牙魔符属性提升175%	532
46	52	776:1:387	1820	#00afec|【注能lv46】獠牙魔符属性提升182%	-1
47	52	776:1:426	1890	#00afec|【注能lv47】獠牙魔符属性提升189%	-1
48	52	776:1:468	1960	#00afec|【注能lv48】獠牙魔符属性提升196%	-1
49	52	776:1:515	2030	#00afec|【注能lv49】獠牙魔符属性提升203%	-1
50	52	776:1:567	2100	#00afec|【注能lv50】獠牙魔符属性提升210%	532
51	52	776:1:623	2190	#00afec|【注能lv51】獠牙魔符属性提升219%	-1
52	52	776:1:685	2280	#00afec|【注能lv52】獠牙魔符属性提升228%	-1
53	52	776:1:754	2370	#00afec|【注能lv53】獠牙魔符属性提升237%	-1
54	52	776:1:829	2460	#00afec|【注能lv54】獠牙魔符属性提升246%	-1
55	52	776:1:912	2550	#00afec|【注能lv55】獠牙魔符属性提升255%	532
56	52	776:1:1003	2640	#00afec|【注能lv56】獠牙魔符属性提升264%	-1
57	52	776:1:1104	2730	#00afec|【注能lv57】獠牙魔符属性提升273%	-1
58	52	776:1:1214	2820	#00afec|【注能lv58】獠牙魔符属性提升282%	-1
59	52	776:1:1335	2910	#00afec|【注能lv59】獠牙魔符属性提升291%	-1
60	52	-1	3000	#00afec|【注能lv60】獠牙魔符属性提升300%	532
0	53	776:1:6	0	#00afec|【注能lv0】脊甲魔符属性提升0%	-1
1	53	776:1:6	20	#00afec|【注能lv1】脊甲魔符属性提升2%	-1
2	53	776:1:6	40	#00afec|【注能lv2】脊甲魔符属性提升4%	-1
3	53	776:1:7	60	#00afec|【注能lv3】脊甲魔符属性提升6%	-1
4	53	776:1:8	80	#00afec|【注能lv4】脊甲魔符属性提升8%	-1
5	53	776:1:8	100	#00afec|【注能lv5】脊甲魔符属性提升10%	532
6	53	776:1:9	120	#00afec|【注能lv6】脊甲魔符属性提升12%	-1
7	53	776:1:10	140	#00afec|【注能lv7】脊甲魔符属性提升14%	-1
8	53	776:1:11	160	#00afec|【注能lv8】脊甲魔符属性提升16%	-1
9	53	776:1:12	180	#00afec|【注能lv9】脊甲魔符属性提升18%	-1
10	53	776:1:13	200	#00afec|【注能lv10】脊甲魔符属性提升20%	532
11	53	776:1:14	230	#00afec|【注能lv11】脊甲魔符属性提升23%	-1
12	53	776:1:16	260	#00afec|【注能lv12】脊甲魔符属性提升26%	-1
13	53	776:1:17	290	#00afec|【注能lv13】脊甲魔符属性提升29%	-1
14	53	776:1:19	320	#00afec|【注能lv14】脊甲魔符属性提升32%	-1
15	53	776:1:21	350	#00afec|【注能lv15】脊甲魔符属性提升35%	532
16	53	776:1:23	380	#00afec|【注能lv16】脊甲魔符属性提升38%	-1
17	53	776:1:25	410	#00afec|【注能lv17】脊甲魔符属性提升41%	-1
18	53	776:1:27	440	#00afec|【注能lv18】脊甲魔符属性提升44%	-1
19	53	776:1:30	470	#00afec|【注能lv19】脊甲魔符属性提升47%	-1
20	53	776:1:33	500	#00afec|【注能lv20】脊甲魔符属性提升50%	532
21	53	776:1:36	540	#00afec|【注能lv21】脊甲魔符属性提升54%	-1
22	53	776:1:40	580	#00afec|【注能lv22】脊甲魔符属性提升58%	-1
23	53	776:1:44	620	#00afec|【注能lv23】脊甲魔符属性提升62%	-1
24	53	776:1:48	660	#00afec|【注能lv24】脊甲魔符属性提升66%	-1
25	53	776:1:53	700	#00afec|【注能lv25】脊甲魔符属性提升70%	532
26	53	776:1:58	740	#00afec|【注能lv26】脊甲魔符属性提升74%	-1
27	53	776:1:64	780	#00afec|【注能lv27】脊甲魔符属性提升78%	-1
28	53	776:1:70	820	#00afec|【注能lv28】脊甲魔符属性提升82%	-1
29	53	776:1:77	860	#00afec|【注能lv29】脊甲魔符属性提升86%	-1
30	53	776:1:85	900	#00afec|【注能lv30】脊甲魔符属性提升90%	532
31	53	776:1:93	950	#00afec|【注能lv31】脊甲魔符属性提升95%	-1
32	53	776:1:102	1000	#00afec|【注能lv32】脊甲魔符属性提升100%	-1
33	53	776:1:113	1050	#00afec|【注能lv33】脊甲魔符属性提升105%	-1
34	53	776:1:124	1100	#00afec|【注能lv34】脊甲魔符属性提升110%	-1
35	53	776:1:136	1150	#00afec|【注能lv35】脊甲魔符属性提升115%	532
36	53	776:1:150	1200	#00afec|【注能lv36】脊甲魔符属性提升120%	-1
37	53	776:1:165	1250	#00afec|【注能lv37】脊甲魔符属性提升125%	-1
38	53	776:1:181	1300	#00afec|【注能lv38】脊甲魔符属性提升130%	-1
39	53	776:1:199	1350	#00afec|【注能lv39】脊甲魔符属性提升135%	-1
40	53	776:1:219	1400	#00afec|【注能lv40】脊甲魔符属性提升140%	532
41	53	776:1:241	1470	#00afec|【注能lv41】脊甲魔符属性提升147%	-1
42	53	776:1:265	1540	#00afec|【注能lv42】脊甲魔符属性提升154%	-1
43	53	776:1:291	1610	#00afec|【注能lv43】脊甲魔符属性提升161%	-1
44	53	776:1:320	1680	#00afec|【注能lv44】脊甲魔符属性提升168%	-1
45	53	776:1:352	1750	#00afec|【注能lv45】脊甲魔符属性提升175%	532
46	53	776:1:387	1820	#00afec|【注能lv46】脊甲魔符属性提升182%	-1
47	53	776:1:426	1890	#00afec|【注能lv47】脊甲魔符属性提升189%	-1
48	53	776:1:468	1960	#00afec|【注能lv48】脊甲魔符属性提升196%	-1
49	53	776:1:515	2030	#00afec|【注能lv49】脊甲魔符属性提升203%	-1
50	53	776:1:567	2100	#00afec|【注能lv50】脊甲魔符属性提升210%	532
51	53	776:1:623	2190	#00afec|【注能lv51】脊甲魔符属性提升219%	-1
52	53	776:1:685	2280	#00afec|【注能lv52】脊甲魔符属性提升228%	-1
53	53	776:1:754	2370	#00afec|【注能lv53】脊甲魔符属性提升237%	-1
54	53	776:1:829	2460	#00afec|【注能lv54】脊甲魔符属性提升246%	-1
55	53	776:1:912	2550	#00afec|【注能lv55】脊甲魔符属性提升255%	532
56	53	776:1:1003	2640	#00afec|【注能lv56】脊甲魔符属性提升264%	-1
57	53	776:1:1104	2730	#00afec|【注能lv57】脊甲魔符属性提升273%	-1
58	53	776:1:1214	2820	#00afec|【注能lv58】脊甲魔符属性提升282%	-1
59	53	776:1:1335	2910	#00afec|【注能lv59】脊甲魔符属性提升291%	-1
60	53	-1	3000	#00afec|【注能lv60】脊甲魔符属性提升300%	532
0	54	776:1:6	0	#00afec|【注能lv0】圣羽魔符属性提升0%	-1
1	54	776:1:6	20	#00afec|【注能lv1】圣羽魔符属性提升2%	-1
2	54	776:1:6	40	#00afec|【注能lv2】圣羽魔符属性提升4%	-1
3	54	776:1:7	60	#00afec|【注能lv3】圣羽魔符属性提升6%	-1
4	54	776:1:8	80	#00afec|【注能lv4】圣羽魔符属性提升8%	-1
5	54	776:1:8	100	#00afec|【注能lv5】圣羽魔符属性提升10%	532
6	54	776:1:9	120	#00afec|【注能lv6】圣羽魔符属性提升12%	-1
7	54	776:1:10	140	#00afec|【注能lv7】圣羽魔符属性提升14%	-1
8	54	776:1:11	160	#00afec|【注能lv8】圣羽魔符属性提升16%	-1
9	54	776:1:12	180	#00afec|【注能lv9】圣羽魔符属性提升18%	-1
10	54	776:1:13	200	#00afec|【注能lv10】圣羽魔符属性提升20%	532
11	54	776:1:14	230	#00afec|【注能lv11】圣羽魔符属性提升23%	-1
12	54	776:1:16	260	#00afec|【注能lv12】圣羽魔符属性提升26%	-1
13	54	776:1:17	290	#00afec|【注能lv13】圣羽魔符属性提升29%	-1
14	54	776:1:19	320	#00afec|【注能lv14】圣羽魔符属性提升32%	-1
15	54	776:1:21	350	#00afec|【注能lv15】圣羽魔符属性提升35%	532
16	54	776:1:23	380	#00afec|【注能lv16】圣羽魔符属性提升38%	-1
17	54	776:1:25	410	#00afec|【注能lv17】圣羽魔符属性提升41%	-1
18	54	776:1:27	440	#00afec|【注能lv18】圣羽魔符属性提升44%	-1
19	54	776:1:30	470	#00afec|【注能lv19】圣羽魔符属性提升47%	-1
20	54	776:1:33	500	#00afec|【注能lv20】圣羽魔符属性提升50%	532
21	54	776:1:36	540	#00afec|【注能lv21】圣羽魔符属性提升54%	-1
22	54	776:1:40	580	#00afec|【注能lv22】圣羽魔符属性提升58%	-1
23	54	776:1:44	620	#00afec|【注能lv23】圣羽魔符属性提升62%	-1
24	54	776:1:48	660	#00afec|【注能lv24】圣羽魔符属性提升66%	-1
25	54	776:1:53	700	#00afec|【注能lv25】圣羽魔符属性提升70%	532
26	54	776:1:58	740	#00afec|【注能lv26】圣羽魔符属性提升74%	-1
27	54	776:1:64	780	#00afec|【注能lv27】圣羽魔符属性提升78%	-1
28	54	776:1:70	820	#00afec|【注能lv28】圣羽魔符属性提升82%	-1
29	54	776:1:77	860	#00afec|【注能lv29】圣羽魔符属性提升86%	-1
30	54	776:1:85	900	#00afec|【注能lv30】圣羽魔符属性提升90%	532
31	54	776:1:93	950	#00afec|【注能lv31】圣羽魔符属性提升95%	-1
32	54	776:1:102	1000	#00afec|【注能lv32】圣羽魔符属性提升100%	-1
33	54	776:1:113	1050	#00afec|【注能lv33】圣羽魔符属性提升105%	-1
34	54	776:1:124	1100	#00afec|【注能lv34】圣羽魔符属性提升110%	-1
35	54	776:1:136	1150	#00afec|【注能lv35】圣羽魔符属性提升115%	532
36	54	776:1:150	1200	#00afec|【注能lv36】圣羽魔符属性提升120%	-1
37	54	776:1:165	1250	#00afec|【注能lv37】圣羽魔符属性提升125%	-1
38	54	776:1:181	1300	#00afec|【注能lv38】圣羽魔符属性提升130%	-1
39	54	776:1:199	1350	#00afec|【注能lv39】圣羽魔符属性提升135%	-1
40	54	776:1:219	1400	#00afec|【注能lv40】圣羽魔符属性提升140%	532
41	54	776:1:241	1470	#00afec|【注能lv41】圣羽魔符属性提升147%	-1
42	54	776:1:265	1540	#00afec|【注能lv42】圣羽魔符属性提升154%	-1
43	54	776:1:291	1610	#00afec|【注能lv43】圣羽魔符属性提升161%	-1
44	54	776:1:320	1680	#00afec|【注能lv44】圣羽魔符属性提升168%	-1
45	54	776:1:352	1750	#00afec|【注能lv45】圣羽魔符属性提升175%	532
46	54	776:1:387	1820	#00afec|【注能lv46】圣羽魔符属性提升182%	-1
47	54	776:1:426	1890	#00afec|【注能lv47】圣羽魔符属性提升189%	-1
48	54	776:1:468	1960	#00afec|【注能lv48】圣羽魔符属性提升196%	-1
49	54	776:1:515	2030	#00afec|【注能lv49】圣羽魔符属性提升203%	-1
50	54	776:1:567	2100	#00afec|【注能lv50】圣羽魔符属性提升210%	532
51	54	776:1:623	2190	#00afec|【注能lv51】圣羽魔符属性提升219%	-1
52	54	776:1:685	2280	#00afec|【注能lv52】圣羽魔符属性提升228%	-1
53	54	776:1:754	2370	#00afec|【注能lv53】圣羽魔符属性提升237%	-1
54	54	776:1:829	2460	#00afec|【注能lv54】圣羽魔符属性提升246%	-1
55	54	776:1:912	2550	#00afec|【注能lv55】圣羽魔符属性提升255%	532
56	54	776:1:1003	2640	#00afec|【注能lv56】圣羽魔符属性提升264%	-1
57	54	776:1:1104	2730	#00afec|【注能lv57】圣羽魔符属性提升273%	-1
58	54	776:1:1214	2820	#00afec|【注能lv58】圣羽魔符属性提升282%	-1
59	54	776:1:1335	2910	#00afec|【注能lv59】圣羽魔符属性提升291%	-1
60	54	-1	3000	#00afec|【注能lv60】圣羽魔符属性提升300%	532
0	55	776:1:6	0	#00afec|【注能lv0】利爪魔符属性提升0%	-1
1	55	776:1:6	20	#00afec|【注能lv1】利爪魔符属性提升2%	-1
2	55	776:1:6	40	#00afec|【注能lv2】利爪魔符属性提升4%	-1
3	55	776:1:7	60	#00afec|【注能lv3】利爪魔符属性提升6%	-1
4	55	776:1:8	80	#00afec|【注能lv4】利爪魔符属性提升8%	-1
5	55	776:1:8	100	#00afec|【注能lv5】利爪魔符属性提升10%	532
6	55	776:1:9	120	#00afec|【注能lv6】利爪魔符属性提升12%	-1
7	55	776:1:10	140	#00afec|【注能lv7】利爪魔符属性提升14%	-1
8	55	776:1:11	160	#00afec|【注能lv8】利爪魔符属性提升16%	-1
9	55	776:1:12	180	#00afec|【注能lv9】利爪魔符属性提升18%	-1
10	55	776:1:13	200	#00afec|【注能lv10】利爪魔符属性提升20%	532
11	55	776:1:14	230	#00afec|【注能lv11】利爪魔符属性提升23%	-1
12	55	776:1:16	260	#00afec|【注能lv12】利爪魔符属性提升26%	-1
13	55	776:1:17	290	#00afec|【注能lv13】利爪魔符属性提升29%	-1
14	55	776:1:19	320	#00afec|【注能lv14】利爪魔符属性提升32%	-1
15	55	776:1:21	350	#00afec|【注能lv15】利爪魔符属性提升35%	532
16	55	776:1:23	380	#00afec|【注能lv16】利爪魔符属性提升38%	-1
17	55	776:1:25	410	#00afec|【注能lv17】利爪魔符属性提升41%	-1
18	55	776:1:27	440	#00afec|【注能lv18】利爪魔符属性提升44%	-1
19	55	776:1:30	470	#00afec|【注能lv19】利爪魔符属性提升47%	-1
20	55	776:1:33	500	#00afec|【注能lv20】利爪魔符属性提升50%	532
21	55	776:1:36	540	#00afec|【注能lv21】利爪魔符属性提升54%	-1
22	55	776:1:40	580	#00afec|【注能lv22】利爪魔符属性提升58%	-1
23	55	776:1:44	620	#00afec|【注能lv23】利爪魔符属性提升62%	-1
24	55	776:1:48	660	#00afec|【注能lv24】利爪魔符属性提升66%	-1
25	55	776:1:53	700	#00afec|【注能lv25】利爪魔符属性提升70%	532
26	55	776:1:58	740	#00afec|【注能lv26】利爪魔符属性提升74%	-1
27	55	776:1:64	780	#00afec|【注能lv27】利爪魔符属性提升78%	-1
28	55	776:1:70	820	#00afec|【注能lv28】利爪魔符属性提升82%	-1
29	55	776:1:77	860	#00afec|【注能lv29】利爪魔符属性提升86%	-1
30	55	776:1:85	900	#00afec|【注能lv30】利爪魔符属性提升90%	532
31	55	776:1:93	950	#00afec|【注能lv31】利爪魔符属性提升95%	-1
32	55	776:1:102	1000	#00afec|【注能lv32】利爪魔符属性提升100%	-1
33	55	776:1:113	1050	#00afec|【注能lv33】利爪魔符属性提升105%	-1
