INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING
1	2000	9999	1	663	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	215000	合服集字-【欢】
1	2000	9999	1	660	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	123000	合服集字-【合】
1	2000	9999	1	661	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	123000	合服集字-【服】
1	2000	9999	1	658	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	22000	合服集字-【传】
1	2000	9999	1	659	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	22000	合服集字-【说】
3	300	799	1	680	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	28000	运营活动-【灭】
3	300	799	1	681	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	28000	运营活动-【神】
3	300	799	1	686	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	3110	运营活动-【狂】
3	300	799	1	687	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	3110	运营活动-【欢】
3	800	1199	1	680	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	115500	运营活动-【灭】
3	800	1199	1	681	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	115500	运营活动-【神】
3	800	1199	1	686	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	62600	运营活动-【狂】
3	800	1199	1	687	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	62600	运营活动-【欢】
3	800	1199	1	684	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	20000	运营活动-【公】
3	800	1199	1	685	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	20000	运营活动-【测】
3	1200	1999	1	680	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	386000	运营活动-【灭】
3	1200	1999	1	681	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	386000	运营活动-【神】
3	1200	1999	1	686	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	200000	运营活动-【狂】
3	1200	1999	1	687	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	200000	运营活动-【欢】
3	1200	1999	1	684	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	70000	运营活动-【公】
3	1200	1999	1	685	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	70000	运营活动-【测】
3	1200	1999	1	682	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	5000	运营活动-【传】
3	1200	1999	1	683	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	5000	运营活动-【说】
3	2000	9999	1	680	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	396000	运营活动-【灭】
3	2000	9999	1	681	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	396000	运营活动-【神】
3	2000	9999	1	686	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	215000	运营活动-【狂】
3	2000	9999	1	687	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	215000	运营活动-【欢】
3	2000	9999	1	684	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	123000	运营活动-【公】
3	2000	9999	1	685	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	123000	运营活动-【测】
3	2000	9999	1	682	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	22000	运营活动-【传】
3	2000	9999	1	683	1	1	1	2018-09-21 00:00:00	2018-09-24 23:59:59	22000	运营活动-【说】
2	300	799	1	688	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	28000	万圣节活动-【牛奶糖】
2	300	799	1	689	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	28000	万圣节活动-【水果糖】
2	300	799	1	690	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	3110	万圣节活动-【巧克力】
2	300	799	1	691	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	3110	万圣节活动-【棒棒糖】
2	800	1199	1	688	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	115500	万圣节活动-【牛奶糖】
2	800	1199	1	689	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	115500	万圣节活动-【水果糖】
2	800	1199	1	690	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	62600	万圣节活动-【巧克力】
2	800	1199	1	691	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	62600	万圣节活动-【棒棒糖】
2	800	1199	1	692	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	20000	万圣节活动-【太妃糖】
2	800	1199	1	693	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	20000	万圣节活动-【彩虹糖】
2	1200	1999	1	688	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	386000	万圣节活动-【牛奶糖】
2	1200	1999	1	689	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	386000	万圣节活动-【水果糖】
2	1200	1999	1	690	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	200000	万圣节活动-【巧克力】
2	1200	1999	1	691	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	200000	万圣节活动-【棒棒糖】
2	1200	1999	1	692	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	70000	万圣节活动-【太妃糖】
2	1200	1999	1	693	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	70000	万圣节活动-【彩虹糖】
2	1200	1999	1	694	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	5000	万圣节活动-【夹心糖】
2	1200	1999	1	695	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	5000	万圣节活动-【果冻】
2	2000	9999	1	688	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	396000	万圣节活动-【牛奶糖】
2	2000	9999	1	689	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	396000	万圣节活动-【水果糖】
2	2000	9999	1	690	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	215000	万圣节活动-【巧克力】
2	2000	9999	1	691	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	215000	万圣节活动-【棒棒糖】
2	2000	9999	1	692	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	123000	万圣节活动-【太妃糖】
2	2000	9999	1	693	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	123000	万圣节活动-【彩虹糖】
2	2000	9999	1	694	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	22000	万圣节活动-【夹心糖】
2	2000	9999	1	695	1	1	1	2019-10-31 00:00:00	2019-11-03 23:59:59	22000	万圣节活动-【果冻】
