INT	INT	STRING	STRING	INT	INT	INT
49	28	4:1833|5:4582|33:12833	758:1:73	200000	5	0
49	29	4:1948|5:4870|33:13640	758:1:79	210000	5	0
49	30	4:2067|5:5167|33:14471	758:1:85	220000	6	507
49	31	4:2189|5:5472|33:15326	758:1:93	220000	6	0
49	32	4:2315|5:5786|33:16205	758:1:100	230000	6	0
49	33	4:2444|5:6109|33:17108	758:1:108	240000	6	0
49	34	4:2576|5:6440|33:18035	758:1:117	250000	6	0
49	35	4:2712|5:6780|33:18986	758:1:126	260000	7	507
49	36	4:2851|5:7128|33:19961	758:1:136	260000	7	0
49	37	4:2994|5:7485|33:20960	758:1:147	270000	7	0
49	38	4:3140|5:7851|33:21983	758:1:158	280000	7	0
49	39	4:3290|5:8225|33:23030	758:1:170	290000	7	0
49	40	4:3443|5:8608|33:24102	758:1:183	300000	8	507
49	41	4:3600|5:8999|33:25198	758:1:197	300000	8	0
49	42	4:3760|5:9399|33:26318	758:1:212	310000	8	0
49	43	4:3923|5:9807|33:27462	758:1:227	320000	8	0
49	44	4:4090|5:10224|33:28630	758:1:244	330000	8	0
49	45	4:4260|5:10650|33:29822	758:1:262	340000	9	507
49	46	4:4434|5:11084|33:31038	758:1:281	350000	9	0
49	47	4:4611|5:11527|33:32278	758:1:302	360000	9	0
49	48	4:4792|5:11978|33:33542	758:1:324	360000	9	0
49	49	4:4976|5:12438|33:34830	758:1:347	370000	9	0
49	50	4:5163|5:12907|33:36142	758:1:372	380000	10	507
49	51	4:5354|5:13384|33:37478	758:1:398	390000	10	0
49	52	4:5548|5:13870|33:38838	758:1:427	400000	10	0
49	53	4:5746|5:14364|33:40222	758:1:457	410000	10	0
49	54	4:5947|5:14867|33:41630	758:1:489	420000	10	0
49	55	4:6152|5:15379|33:43062	758:1:523	430000	11	507
49	56	4:6360|5:15899|33:44518	758:1:560	440000	11	0
49	57	4:6571|5:16428|33:45998	758:1:598	450000	11	0
49	58	4:6786|5:16965|33:47502	758:1:640	460000	11	0
49	59	4:7004|5:17511|33:49030	758:1:684	470000	11	0
49	60	4:7226|5:18065|33:50583	758:1:731	480000	12	507
