INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	STRING
10009	联军传说	1	0	0	10008	10010	10	0	1	9999	0	1012	1013	0	-1	0	1000	0	0	0	0	0	308:1:1:1	-1	圣人组建了一支联军，准备反攻魔物大军，你的实力还是太弱了，在真正的魔物面前，连充当炮灰的资格都没有。去城里转一圈吧，认识一下这些最后的人类哈哈哈。	任务回复：<l><n>1013</n></l>	任务回复：<l><n>1013</n></l>	无对话	圣人组建了一支联军，准备反攻魔物大军，你的实力还是太弱了，在真正的魔物面前，连充当炮灰的资格都没有。去城里转一圈吧，认识一下这些最后的人类哈哈哈。	-1	-1	-1	0	0	1	-1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10010	逃难之人	1	0	0	10009	10011	11	0	1	9999	0	1013	1001	0	-1	0	1000	0	0	0	0	0	-1	-1	就凭你也想对抗魔物？你身上穿的是一阶装备吧，连切割，诅咒都没有，竟然也妄图对抗魔物，请立刻消失。	任务回复：<l><n>1001</n></l>	任务回复：<l><n>1001</n></l>	无对话	就凭你也想对抗魔物？你身上穿的是一阶装备吧，连切割，诅咒都没有，竟然也妄图对抗魔物，请立刻消失。	-1	-1	-1	0	0	1	-1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10011	寻找英雄	1	0	0	10010	10012	12	0	1	9999	0	1001	1014	0	-1	0	1000	0	0	0	0	0	308:1:1:1	-1	别在意那位军爷的话，他只是不希望你去白白送死，圣城物资稀缺，根本无法为你打造装备。但如果你有锋锐的切割神物，那就有了一切的可能。你做好准备了吗？	任务回复：<l><n>1014</n></l>	任务回复：<l><n>1014</n></l>	无对话	别在意那位军爷的话，他只是不希望你去白白送死，圣城物资稀缺，根本无法为你打造装备。但如果你有锋锐的切割神物，那就有了一切的可能。你做好准备了吗？	-1	-1	-1	0	0	1	-1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10012	希望种子	1	0	0	10011	10013	13	0	1	9999	0	1014	1015	0	-1	0	1000	0	0	0	0	0	34:1:1:1	-1	太好了，又一个希望的种子。这里的试炼只有两个结果，死或者成为强者，我们开始吧。	任务回复：<l><n>1015</n></l>	任务回复：<l><n>1015</n></l>	无对话	太好了，又一个希望的种子。这里的试炼只有两个结果，死或者成为强者，我们开始吧。	-1	-1	-1	0	0	1	-1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10013	幻象空间	1	0	0	10012	10014	14	0	1	9999	0	1015	1016	0	-1	0	1000	0	0	0	0	0	-1	-1	这里虽然是幻象空间，但你受到的所有伤害都是真实存在的。活下来，或者成为他们的一员。	任务回复：<l><n>1016</n></l>	任务回复：<l><n>1016</n></l>	无对话	这里虽然是幻象空间，但你受到的所有伤害都是真实存在的。活下来，或者成为他们的一员。	-1	-1	-1	0	0	1	-1	1	-1	0	0	50039:22:116	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10014	试炼之地	1	0	0	10013	10015	15	0	1	9999	0	1016	1017	0	-1	0	1000	0	0	0	0	0	403:1:1:1	-1	是的，它们都是曾经的试炼者，被永久的禁锢在此。	消灭：<l><g>9008</g></l> <c/>	任务回复：<l><n>1017</n></l>	无对话	是的，它们都是曾经的试炼者，被永久的禁锢在此。	-1	-1	-1	0	0	4	9008:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30001	0	0	-1	-1
10015	污染逼近	1	0	0	10014	10016	16	0	1	9999	0	1017	1018	0	-1	0	1000	0	0	0	0	0	308:1:2:1	-1	我看到了希望的种子，为了人类的未来，请不要在这里倒下，拜托了！	消灭：<l><g>9009</g></l> <c/>	任务回复：<l><n>1018</n></l>	无对话	我看到了希望的种子，为了人类的未来，请不要在这里倒下，拜托了！	-1	-1	-1	0	0	4	9009:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30001,1|1:30002	0	0	-1	-1
10016	留在这里	1	0	0	10015	10017	17	0	1	9999	0	1018	1019	0	-1	0	1000	0	0	0	0	0	308:1:2:1	-1	他们都是骗子，你也上当了！根本没人能活着通过这里，哈哈哈哈	消灭：<l><g>9010</g></l> <c/>	任务回复：<l><n>1019</n></l>	无对话	他们都是骗子，你也上当了！根本没人能活着通过这里，哈哈哈哈	-1	-1	-1	0	0	4	9010:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30002,1|1:30003	0	0	-1	-1
10017	王的永生	1	0	0	10016	10018	18	0	1	9999	0	1019	1020	0	-1	0	1000	0	0	0	0	0	308:1:2:1	-1	你想要力量么，加入我们的军团，聆听王的低语，向王献出灵魂，你将获得强大的力量以及…永生。	消灭：<l><g>9011</g></l> <c/>	任务回复：<l><n>1020</n></l>	无对话	你想要力量么，加入我们的军团，聆听王的低语，向王献出灵魂，你将获得强大的力量以及…永生。	-1	-1	-1	0	0	4	9011:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30002,1|1:30003	0	0	-1	-1
10018	魔物大军	1	0	0	10017	10019	19	0	1	9999	0	1020	1021	0	-1	0	1000	0	0	0	0	0	308:1:2:1	-1	看到我们的大军了吗，这里早已是魔物的天下，加入我们吧。	消灭：<l><g>9012</g></l> <c/>	任务回复：<l><n>1021</n></l>	无对话	看到我们的大军了吗，这里早已是魔物的天下，加入我们吧。	-1	-1	-1	0	0	4	9012:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30003,1|1:30004	0	0	-1	-1
10019	绝望选择	1	0	0	10018	10020	20	0	1	9999	0	1021	1022	0	-1	0	1000	0	0	0	0	0	308:1:2:1	-1	你的身体有强大的潜能，吾王会很满意，最后一次了。加入我们，或者，被磨灭。	消灭：<l><g>9013</g></l> <c/>	任务回复：<l><n>1022</n></l>	无对话	你的身体有强大的潜能，吾王会很满意，最后一次了。加入我们，或者，被磨灭。	-1	-1	-1	0	0	4	9013:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30001,1|1:30004	0	0	-1	-1
10020	亡灵之主	1	0	0	10019	10023	21	0	1	9999	0	1045	1015	2001	-1	0	1000	0	0	0	0	0	308:1:5:1	-1	敌人比我们想象中还要强大，不过我是坚决不会放弃的。	调查：<l><a n = \"50039:35:27\">魅影尸魔</a></l>	任务回复：<l><n>1015</n></l>	无对话	敌人比我们想象中还要强大，不过我是坚决不会放弃的。	-1	-1	-1	0	0	14	2001	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10021	死里逃生	1	0	0	10020	10022	22	0	1	9999	0	1045	1015	0	-1	0	1000	0	0	0	0	0	-1	-1	魔物的力量已经侵蚀了幻象空间吗，太可怕了！圣地也要破灭了吗，人类，真的没有希望了么。。。无论如何，你回来了。	任务回复：<l><n>1015</n></l>	任务回复：<l><n>1015</n></l>	无对话	魔物的力量已经侵蚀了幻象空间吗，太可怕了！圣地也要破灭了吗，人类，真的没有希望了么。。。无论如何，你回来了，带上切割吧，她的强大无法想象。	-1	-1	-1	0	0	1	-1	1	-1	0	0	50001:73:105	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10022	钻石回收	1	0	0	10020	10023	23	0	1	9999	0	1015	1047	0	-1	0	1000	0	0	0	0	0	-1	-1	你的事迹已经传遍了这里，我们正在架设通向各个大陆的单向传送门，吹响反攻的号角吧！	任务回复：<l><n>1077</n></l>	任务回复：<l><n>1047</n></l>	无对话	你的事迹已经传遍了这里，我们正在架设通向各个大陆的单向传送门，吹响反攻的号角吧！	-1	-1	-1	0	0	42	1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10023	新的消息	1	0	0	10020	10024	24	0	1	9999	0	1015	100	0	-1	0	1000	0	0	0	0	0	308:1:1:1|10001:2:1:1	-1	喂，这里有几个废物对你有盲目的乐观，你连真正的魔物都没有见识过，人类还是那么愚蠢。	任务回复：<l><n>1015</n></l>	任务回复：<l><n>100</n></l>	无对话	喂，这里有几个废物对你有盲目的乐观，你连真正的魔物都没有见识过，人类还是那么愚蠢。	-1	-1	-1	0	0	1	-1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10024	装备回收	1	0	0	10023	10026	25	0	1	9999	0	100	100	0	-1	0	1000	0	0	0	0	0	11:1:50:1|12:1:50:1|308:1:1:1	-1	嗯，虽然增加的力量微乎其微，但我似乎看到了未来？	任务回复：<l><n>1076</n></l>	任务回复：<l><n>100</n></l>	无对话	嗯，虽然增加的力量微乎其微，但我似乎看到了未来？	-1	-1	-1	0	0	40	1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10025	空间之力	1	0	0	99999	99999	26	0	1	9999	0	100	1002	0	-1	0	1000	0	0	0	0	0	-1	-1	传送门已经架设完毕了，一旦踏入便无法回头，想要回圣城的话，请使用空间卷轴。	购买:<l><p n = \"gameShopPanel\" m = \"4\">回城卷轴</p></l> <c/>	任务回复：<l><n>1002</n></l>	无对话	传送门已经架设完毕了，一旦踏入便无法回头，想要回圣城的话，请使用空间卷轴。	-1	-1	-1	0	0	2	11:1:1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10026	请活下来	1	0	0	10024	10027	27	0	1	9999	0	100	1002	0	-1	0	1000	0	0	0	0	0	34:1:1:1	-1	魔物的强大你无法想象，即使做了再多准备，稍有不慎就会被撕成碎片。你将跟随我们的先头部队和魔物斥候进行一次真正的交锋，请务必活下来。	任务回复：<l><n>100</n></l>	任务回复：<l><n>1002</n></l>	无对话	魔物的强大你无法想象，即使做了再多准备，稍有不慎就会被撕成碎片。你将跟随我们的先头部队和魔物斥候进行一次真正的交锋，请务必活下来。	-1	-1	-1	0	0	1	-1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10027	蛮荒之地	1	0	0	10026	10028	28	0	1	9999	0	1002	1049	0	-1	0	1000	0	0	0	0	0	-1	-1	你就是那位通过试炼的家伙，真是幸运，小心，它们来了！	任务回复：<l><n>1049</n></l>	任务回复：<l><n>1049</n></l>	无对话	你就是那位通过试炼的家伙，真是幸运，只有切割能对抗魔物。快召唤出来，它们来了！	-1	-1	-1	0	0	1	-1	1	-1	0	0	50040:26:95	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10028	切割之威	1	0	0	10027	10029	29	0	1	9999	0	1049	1050	0	-1	0	1000	0	0	0	0	0	308:1:5:1	-1	这就是切割的力量么，魔物居然毫无还手之力。	消灭：<l><g>9014</g></l> <c/>	任务回复：<l><n>1050</n></l>	无对话	这就是切割的力量么，魔物居然毫无还手之力。	-1	-1	-1	0	0	4	9014:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30011	0	0	-1	-1
10029	弱鸡主人	1	0	0	10028	10030	30	0	1	9999	0	1050	1051	0	-1	0	1000	0	0	0	0	0	405:1:1:1	-1	可恶啊，为什么我们人类这么脆弱，这就是传说中能和魔物对抗的切割圣物么。可是，作为她的主人也太弱鸡了，小心魔物的爪子!	消灭：<l><g>9015</g></l> <c/>	任务回复：<l><n>1051</n></l>	无对话	可恶啊，为什么我们人类这么脆弱，这就是传说中能和魔物对抗的切割圣物么。可是，作为她的主人也太弱鸡了，小心魔物的爪子!	-1	-1	-1	0	0	4	9015:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30011,1|1:30012	0	0	-1	-1
10030	魔化生物	1	0	0	10029	10031	31	0	1	9999	0	1051	1052	0	-1	0	1000	0	0	0	0	0	308:1:5:1	-1	魔物被封印了几千年，传说中它们只是一群无比强大又混乱的生物，但这是什么！！！魔法的力量~~天啊	消灭：<l><g>9016</g></l> <c/>	任务回复：<l><n>1052</n></l>	无对话	魔物被封印了几千年，传说中它们只是一群无比强大又混乱的生物，但这是什么！！！魔法的力量~~天啊	-1	-1	-1	0	0	4	9016:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30012,1|1:30013	0	0	-1	-1
10031	邪恶魔法	1	0	0	10030	10032	32	0	1	9999	0	1052	1053	0	-1	0	1000	0	0	0	0	0	308:1:5:1	-1	这里是圣城的地基，魔物正在进行邪恶的魔法仪式，我感应到了地脉的震动，以及翻涌不息的岩浆。。。	消灭：<l><g>9017</g></l> <c/>	任务回复：<l><n>1053</n></l>	无对话	这里是圣城的地基，魔物正在进行邪恶的魔法仪式，我感应到了地脉的震动，以及翻涌不息的岩浆。。。	-1	-1	-1	0	0	4	9017:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30012,1|1:30013	0	0	-1	-1
10032	最后防线	1	0	0	10031	10034	33	0	1	9999	0	1053	1054	0	-1	0	1000	0	0	0	0	0	308:1:5:1	-1	我们的军队已经到极限了，前方涌动着污秽的气息，圣城绝不能有危险。我们会坚守这道防线，请一定要消灭它们！	消灭：<l><g>9018</g></l> <c/>	任务回复：<l><n>1054</n></l>	无对话	我们的军队已经到极限了，前方涌动着污秽的气息，圣城绝不能有危险。我们会坚守这道防线，请一定要消灭它们！	-1	-1	-1	0	0	4	9018:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30013,1|1:30014	0	0	-1	-1
10033	毁灭重生	1	0	0	10032	10034	34	0	1	9999	0	1054	1055	0	-1	0	1000	0	0	0	0	0	-1	-1	毁灭！重生！不朽！	消灭：<l><g>9019</g></l> <c/>	任务回复：<l><n>1055</n></l>	无对话	毁灭！重生！不朽！	-1	-1	-1	0	0	4	9019:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	1|1:30011,1|1:30014	0	0	-1	-1
10034	九幽密谋	1	0	0	10032	10036	35	0	1	9999	0	1054	1002	2002	-1	0	1000	0	0	0	0	0	10001:2:1:1	-1	毁灭！重生！不朽！在岩浆炼狱中，也请相信胜利终究属于我们！	调查：<l><a n = \"50040:99:37\">九幽圣使</a></l>	任务回复：<l><n>1002</n></l>	无对话	毁灭！重生！不朽！在岩浆炼狱中，也请相信胜利终究属于我们！	-1	-1	-1	0	0	14	2002	5	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10035	劫后余生	1	0	0	10034	10036	36	0	1	9999	0	1055	1002	0	-1	0	1000	0	0	0	0	0	-1	-1	无论如何，我们又能活蹦乱跳几天了，谢谢你。	任务回复：<l><n>1002</n></l>	任务回复：<l><n>1002</n></l>	无对话	无论如何，我们又能活蹦乱跳几天了，谢谢你。	-1	-1	-1	0	0	1	-1	1	-1	0	0	50001:121:103	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10036	装备回收	1	0	0	10034	10037	37	0	1	9999	0	1002	100	0	-1	0	1000	0	0	0	0	0	308:1:1:1	-1	无论如何，我们又能活蹦乱跳几天了，谢谢你。	任务回复：<l><n>1076</n></l>	任务回复：<l><n>100</n></l>	无对话	无论如何，我们又能活蹦乱跳几天了，谢谢你。	-1	-1	-1	0	0	40	1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10037	防御之道	1	0	0	10036	10038	38	0	1	9999	0	100	1046	0	-1	0	1000	0	0	0	0	0	-1	-1	如果我们都能或者这神圣之力的护佑，或许，魔物也不会那么不可战胜。但是你太弱小了，我敢打赌凭你力量无法伤到魔物一根毫毛，哪怕一次。	任务回复：<l><n>1015</n></l>	任务回复：<l><n>1046</n></l>	无对话	如果我们都能或者这神圣之力的护佑，或许，魔物也不会那么不可战胜。但是你太弱小了，我敢打赌凭你力量无法伤到魔物一根毫毛，哪怕一次。	-1	-1	-1	0	0	1	-1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10038	等级提升	1	0	0	10037	10039	39	0	1	9999	0	1046	100	0	-1	0	1000	0	0	0	0	0	300:1:5:1|10001:2:1:1	-1	罪恶之地已经被邪恶的妖怪给占领，需要伟大的勇士前去消灭敌人。提升至100级，在艰难和困苦中提升自己！	等级提升到100级<c/>	任务回复：<l><n>100</n></l>	无对话	罪恶之地已经被邪恶的妖怪给占领，需要伟大的勇士前去消灭敌人。提升至100级，在艰难和困苦中提升自己！	-1	-1	升级只能靠等级丹提升，打怪可以快速获得	0	0	6	100	1	-1	0	0	-1	-1	-1	0	1	获得方式：<l><n>1111</n></l>	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10039	装备回收	1	0	0	10038	10040	40	0	1	9999	0	100	1047	0	-1	0	60000	0	0	0	0	0	300:1:2:1	-1	嗯，虽然增加的力量微乎其微，但我似乎看到了未来？	任务回复：<l><n>1076</n></l>	任务回复：<l><n>1047</n></l>	无对话	嗯，虽然增加的力量微乎其微，但我似乎看到了未来？	-1	-1	-1	0	0	40	1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
