INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1101075	10240:2:1	1	1820	0	1	0	0	0	1	1	3	0
1101076	10242:2:1	1	1820	0	1	0	0	0	1	1	3	1
1101077	10243:2:1	1	1820	0	1	0	0	0	1	1	3	1
1101078	10244:2:1	1	1820	0	1	0	0	0	1	1	3	1
1101079	10245:2:1	1	1560	0	1	0	0	0	1	1	3	1
1101080	10247:2:1	1	1560	0	1	0	0	0	1	1	3	1
1101081	10248:2:1	1	1300	0	1	0	0	0	1	1	3	1
1101082	10249:2:1	1	1300	0	1	0	0	0	1	1	3	1
1101083	10250:2:1	1	1820	0	1	0	0	0	1	1	3	1
1101084	10252:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101085	10253:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101086	10254:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101087	10255:2:1	1	1320	0	1	1	0	0	1	1	3	1
1101088	10257:2:1	1	1320	0	1	1	0	0	1	1	3	1
1101089	10258:2:1	1	1100	0	1	1	0	0	1	1	3	1
1101090	10259:2:1	1	1100	0	1	1	0	0	1	1	3	1
1101091	10260:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101092	10262:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101093	10263:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101094	10264:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101095	10265:2:1	1	1320	0	1	1	0	0	1	1	3	1
1101096	10267:2:1	1	1320	0	1	1	0	0	1	1	3	1
1101097	10268:2:1	1	1100	0	1	1	0	0	1	1	3	1
1101098	10269:2:1	1	1100	0	1	1	0	0	1	1	3	1
1101099	10270:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101100	10272:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101101	10273:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101102	10274:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101103	10275:2:1	1	1320	0	1	1	0	0	1	1	3	1
1101104	10277:2:1	1	1320	0	1	1	0	0	1	1	3	1
1101105	10278:2:1	1	1100	0	1	1	0	0	1	1	3	1
1101106	10279:2:1	1	1100	0	1	1	0	0	1	1	3	1
1101107	10280:2:1	1	1540	0	1	1	0	0	1	1	3	1
1101108	10282:2:1	1	980	0	1	1	0	0	1	1	3	1
1101109	10283:2:1	1	980	0	1	1	0	0	1	1	3	1
1101110	10284:2:1	1	980	0	1	1	0	0	1	1	3	1
1101111	10285:2:1	1	840	0	1	1	0	0	1	1	3	1
1101112	10287:2:1	1	840	0	1	1	0	0	1	1	3	1
1101113	10288:2:1	1	700	0	1	1	0	0	1	1	3	1
1101114	10289:2:1	1	700	0	1	1	0	0	1	1	3	1
1101115	10290:2:1	1	980	0	1	1	0	0	1	1	3	1
1101116	10292:2:1	1	700	0	1	1	0	0	1	1	3	0
1101117	10293:2:1	1	700	0	1	1	0	0	1	1	3	0
1101118	10294:2:1	1	700	0	1	1	0	0	1	1	3	0
1101119	10295:2:1	1	600	0	1	1	0	0	1	1	3	0
1101120	10297:2:1	1	600	0	1	1	0	0	1	1	3	0
1101121	10298:2:1	1	500	0	1	1	0	0	1	1	3	0
1101122	10299:2:1	1	500	0	1	1	0	0	1	1	3	0
1101123	10300:2:1	1	700	0	1	1	0	0	1	1	3	0
1101124	10302:2:1	1	252	0	1	1	414	0	1	1	3	0
1101125	10303:2:1	1	252	0	1	1	414	0	1	1	3	0
1101126	10304:2:1	1	252	0	1	1	414	0	1	1	3	0
1101127	10305:2:1	1	216	0	1	1	414	0	1	1	3	0
1101128	10307:2:1	1	216	0	1	1	414	0	1	1	3	0
1101129	10308:2:1	1	180	0	1	1	414	0	1	1	3	0
1101130	10309:2:1	1	180	0	1	1	414	0	1	1	3	0
1101131	10310:2:1	1	252	0	1	1	414	0	1	1	3	0
1101132	10312:2:1	1	224	0	1	1	414	0	1	1	3	0
1101133	10313:2:1	1	224	0	1	1	414	0	1	1	3	0
1101134	10314:2:1	1	224	0	1	1	414	0	1	1	3	0
1101135	10315:2:1	1	192	0	1	1	414	0	1	1	3	0
1101136	10317:2:1	1	192	0	1	1	414	0	1	1	3	0
1101137	10318:2:1	1	160	0	1	1	414	0	1	1	3	0
1101138	10319:2:1	1	160	0	1	1	414	0	1	1	3	0
1101139	10320:2:1	1	224	0	1	1	414	0	1	1	3	0
1101140	10322:2:1	1	196	50	1	1	414	0	1	1	3	0
1101141	10323:2:1	1	196	50	1	1	414	0	1	1	3	0
1101142	10324:2:1	1	196	50	1	1	414	0	1	1	3	0
1101143	10325:2:1	1	168	50	1	1	414	0	1	1	3	0
1101144	10327:2:1	1	168	50	1	1	414	0	1	1	3	0
1101145	10328:2:1	1	140	50	1	1	414	0	1	1	3	0
1101146	10329:2:1	1	140	50	1	1	414	0	1	1	3	0
1101147	10330:2:1	1	196	50	1	1	414	0	1	1	3	0
1101148	10332:2:1	1	168	100	1	1	414	0	1	1	3	0
1101149	10333:2:1	1	168	100	1	1	414	0	1	1	3	0
1101150	10334:2:1	1	168	100	1	1	414	0	1	1	3	0
1101151	10335:2:1	1	144	100	1	1	414	0	1	1	3	0
1101152	10337:2:1	1	144	100	1	1	414	0	1	1	3	0
1101153	10338:2:1	1	120	100	1	1	414	0	1	1	3	0
1101154	10339:2:1	1	120	100	1	1	414	0	1	1	3	0
1101155	10340:2:1	1	168	100	1	1	414	0	1	1	3	0
1101156	10342:2:1	1	140	150	1	1	414	0	1	1	3	0
1101157	10343:2:1	1	140	150	1	1	414	0	1	1	3	0
1101158	10344:2:1	1	140	150	1	1	414	0	1	1	3	0
1101159	10345:2:1	1	120	150	1	1	414	0	1	1	3	0
1101160	10347:2:1	1	120	150	1	1	414	0	1	1	3	0
1101161	10348:2:1	1	100	150	1	1	414	0	1	1	3	0
1101162	10349:2:1	1	100	150	1	1	414	0	1	1	3	0
1101163	10350:2:1	1	140	150	1	1	414	0	1	1	3	0
1101164	10352:2:1	1	112	200	1	1	414	8	1	1	3	0
1101165	10353:2:1	1	112	200	1	1	414	0	1	1	3	0
1101166	10354:2:1	1	112	200	1	1	414	0	1	1	3	0
1101167	10355:2:1	1	96	200	1	1	414	0	1	1	3	0
1101168	10357:2:1	1	96	200	1	1	414	11	1	1	3	0
1101169	10358:2:1	1	80	200	1	1	414	9	1	1	3	0
1101170	10359:2:1	1	80	200	1	1	414	12	1	1	3	0
1101171	10360:2:1	1	112	200	1	1	414	0	1	1	3	0
1110001	20002:2:1	10	1	100	1	1	414	0	1	1	3	0
1110002	20003:2:1	10	1	100	1	1	414	0	1	1	3	0
1110003	20004:2:1	10	1	100	1	1	414	0	1	1	3	0
1110004	20006:2:1	10	1	100	1	1	414	0	1	1	3	0
1110005	20007:2:1	10	1	100	1	1	414	0	1	1	3	0
1110006	20008:2:1	10	1	100	1	1	414	0	1	1	3	0
1110007	10252:2:1	10	1	0	1	0	0	0	1	1	3	1
1110008	10253:2:1	10	1	0	1	0	0	0	1	1	3	1
1110009	10254:2:1	10	1	0	1	0	0	0	1	1	3	1
1110010	10255:2:1	10	1	0	1	0	0	0	1	1	3	1
1110011	10257:2:1	10	1	0	1	0	0	0	1	1	3	1
1110012	10258:2:1	10	1	0	1	0	0	0	1	1	3	1
1110013	10259:2:1	10	1	0	1	0	0	0	1	1	3	1
1110014	10260:2:1	10	1	0	1	0	0	0	1	1	3	1
1201001	100:1:1	1	300000	0	1	0	0	0	1	8	14	0
1201002	101:1:1	1	400000	0	1	0	0	0	1	8	14	0
1201003	102:1:1	1	200000	0	1	0	0	0	1	8	14	0
1201004	103:1:1	1	40000	0	1	0	0	0	1	8	14	0
1201005	104:1:1	1	8000	0	1	0	0	0	1	8	14	0
1201006	105:1:1	1	2000	0	1	1	0	0	1	8	14	0
1201007	106:1:1	1	600	0	1	1	414	0	1	8	14	0
1201008	107:1:1	1	300	0	1	1	414	17	1	8	14	0
1201009	150:1:1	1	300000	0	1	0	0	0	1	8	14	0
1201010	151:1:1	1	400000	0	1	0	0	0	1	8	14	0
1201011	152:1:1	1	150000	0	1	0	0	0	1	8	14	0
1201012	153:1:1	1	60000	0	1	0	0	0	1	8	14	0
1201013	154:1:1	1	15000	0	1	0	0	0	1	8	14	0
1201014	155:1:1	1	3000	0	1	1	0	0	1	8	14	0
1201015	156:1:1	1	900	0	1	1	414	0	1	8	14	0
1201016	157:1:1	1	450	0	1	1	414	0	1	8	14	0
1201017	565:1:1	1	55200	0	1	0	0	18	1	8	14	0
1201018	20001:2:1	1	200	200	1	1	414	13	1	8	14	0
1201019	20002:2:1	1	600	100	1	1	414	1	1	8	14	0
1201020	20003:2:1	1	600	100	1	1	414	2	1	8	14	0
1201021	20004:2:1	1	600	100	1	1	414	3	1	8	14	0
1201022	20005:2:1	1	200	200	1	1	414	14	1	8	14	0
1201023	20006:2:1	1	600	100	1	1	414	4	1	8	14	0
1201024	20007:2:1	1	600	100	1	1	414	5	1	8	14	0
1201025	20008:2:1	1	600	100	1	1	414	6	1	8	14	0
1201026	10151:2:1	1	4000	0	1	0	0	0	1	8	14	0
1201027	10156:2:1	1	6000	0	1	0	0	0	1	8	14	0
1201028	10161:2:1	1	4000	0	1	0	0	0	1	8	14	0
1201029	10166:2:1	1	6000	0	1	0	0	0	1	8	14	0
1201030	10171:2:1	1	4000	0	1	1	0	0	1	8	14	0
1201031	10176:2:1	1	6000	0	1	1	0	0	1	8	14	0
1201032	10181:2:1	1	1600	0	1	1	0	0	1	8	14	1
1201033	10186:2:1	1	2400	0	1	1	0	0	1	8	14	1
1201034	10191:2:1	1	1200	0	1	1	0	0	1	8	14	1
1201035	10196:2:1	1	1800	0	1	1	0	0	1	8	14	1
1201036	10201:2:1	1	760	0	1	1	414	0	1	8	14	1
1201037	10206:2:1	1	1140	0	1	1	414	0	1	8	14	1
1201038	10211:2:1	1	640	0	1	1	414	0	1	8	14	1
1201039	10216:2:1	1	960	0	1	1	414	0	1	8	14	1
1201040	10221:2:1	1	520	0	1	1	414	0	1	8	14	1
1201041	10226:2:1	1	780	0	1	1	414	0	1	8	14	1
1201042	10231:2:1	1	400	0	1	1	414	0	1	8	14	0
1201043	10236:2:1	1	600	0	1	1	414	0	1	8	14	0
1201044	10241:2:1	1	280	50	1	1	414	0	1	8	14	0
1201045	10246:2:1	1	420	50	1	1	414	0	1	8	14	0
1201046	10251:2:1	1	200	100	1	1	414	0	1	8	14	0
1201047	10256:2:1	1	300	100	1	1	414	0	1	8	14	0
1201048	10261:2:1	1	120	150	1	1	414	0	1	8	14	0
1201049	10266:2:1	1	180	150	1	1	414	0	1	8	14	0
1201050	10271:2:1	1	60	200	1	1	414	0	1	8	14	0
1201051	10276:2:1	1	90	200	1	1	414	0	1	8	14	0
1201052	10281:2:1	1	48	200	1	1	414	0	1	8	14	0
1201053	10286:2:1	1	72	200	1	1	414	0	1	8	14	0
1201054	10291:2:1	1	40	200	1	1	414	7	1	8	14	0
1201055	10296:2:1	1	60	200	1	1	414	10	1	8	14	0
1202001	10202:2:1	2	1820	0	1	0	0	0	1	8	14	0
1202002	10203:2:1	2	1820	0	1	0	0	0	1	8	14	0
1202003	10204:2:1	2	1820	0	1	0	0	0	1	8	14	0
1202004	10205:2:1	2	1560	0	1	0	0	0	1	8	14	0
1202005	10207:2:1	2	1560	0	1	0	0	0	1	8	14	0
1202006	10208:2:1	2	1300	0	1	0	0	0	1	8	14	0
1202007	10209:2:1	2	1300	0	1	0	0	0	1	8	14	0
1202008	10210:2:1	2	1820	0	1	0	0	0	1	8	14	0
1201056	10212:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201057	10213:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201058	10214:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201059	10215:2:1	1	1560	0	1	0	0	0	1	8	14	0
1201060	10217:2:1	1	1560	0	1	0	0	0	1	8	14	0
1201061	10218:2:1	1	1300	0	1	0	0	0	1	8	14	0
1201062	10219:2:1	1	1300	0	1	0	0	0	1	8	14	0
1201063	10220:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201064	10222:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201065	10223:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201066	10224:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201067	10225:2:1	1	1560	0	1	0	0	0	1	8	14	0
1201068	10227:2:1	1	1560	0	1	0	0	0	1	8	14	0
1201069	10228:2:1	1	1300	0	1	0	0	0	1	8	14	0
1201070	10229:2:1	1	1300	0	1	0	0	0	1	8	14	0
1201071	10230:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201072	10232:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201073	10233:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201074	10234:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201075	10235:2:1	1	1560	0	1	0	0	0	1	8	14	0
1201076	10237:2:1	1	1560	0	1	0	0	0	1	8	14	0
1201077	10238:2:1	1	1300	0	1	0	0	0	1	8	14	0
1201078	10239:2:1	1	1300	0	1	0	0	0	1	8	14	0
1201079	10240:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201080	10242:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201081	10243:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201082	10244:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201083	10245:2:1	1	1560	0	1	0	0	0	1	8	14	0
1201084	10247:2:1	1	1560	0	1	0	0	0	1	8	14	0
1201085	10248:2:1	1	1300	0	1	0	0	0	1	8	14	0
1201086	10249:2:1	1	1300	0	1	0	0	0	1	8	14	0
1201087	10250:2:1	1	1820	0	1	0	0	0	1	8	14	0
1201088	10252:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201089	10253:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201090	10254:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201091	10255:2:1	1	1320	0	1	1	0	0	1	8	14	1
1201092	10257:2:1	1	1320	0	1	1	0	0	1	8	14	1
1201093	10258:2:1	1	1100	0	1	1	0	0	1	8	14	1
1201094	10259:2:1	1	1100	0	1	1	0	0	1	8	14	1
1201095	10260:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201096	10262:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201097	10263:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201098	10264:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201099	10265:2:1	1	1320	0	1	1	0	0	1	8	14	1
1201100	10267:2:1	1	1320	0	1	1	0	0	1	8	14	1
1201101	10268:2:1	1	1100	0	1	1	0	0	1	8	14	1
1201102	10269:2:1	1	1100	0	1	1	0	0	1	8	14	1
1201103	10270:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201104	10272:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201105	10273:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201106	10274:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201107	10275:2:1	1	1320	0	1	1	0	0	1	8	14	1
1201108	10277:2:1	1	1320	0	1	1	0	0	1	8	14	1
1201109	10278:2:1	1	1100	0	1	1	0	0	1	8	14	1
1201110	10279:2:1	1	1100	0	1	1	0	0	1	8	14	1
1201111	10280:2:1	1	1540	0	1	1	0	0	1	8	14	1
1201112	10282:2:1	1	980	0	1	1	0	0	1	8	14	1
1201113	10283:2:1	1	980	0	1	1	0	0	1	8	14	1
1201114	10284:2:1	1	980	0	1	1	0	0	1	8	14	1
1201115	10285:2:1	1	840	0	1	1	0	0	1	8	14	1
1201116	10287:2:1	1	840	0	1	1	0	0	1	8	14	1
1201117	10288:2:1	1	700	0	1	1	0	0	1	8	14	1
1201118	10289:2:1	1	700	0	1	1	0	0	1	8	14	1
1201119	10290:2:1	1	980	0	1	1	0	0	1	8	14	1
1201120	10292:2:1	1	700	0	1	1	0	0	1	8	14	1
1201121	10293:2:1	1	700	0	1	1	0	0	1	8	14	1
1201122	10294:2:1	1	700	0	1	1	0	0	1	8	14	1
1201123	10295:2:1	1	600	0	1	1	0	0	1	8	14	1
1201124	10297:2:1	1	600	0	1	1	0	0	1	8	14	1
1201125	10298:2:1	1	500	0	1	1	0	0	1	8	14	1
1201126	10299:2:1	1	500	0	1	1	0	0	1	8	14	1
1201127	10300:2:1	1	700	0	1	1	0	0	1	8	14	1
1201128	10302:2:1	1	252	0	1	1	414	0	1	8	14	0
1201129	10303:2:1	1	252	0	1	1	414	0	1	8	14	0
1201130	10304:2:1	1	252	0	1	1	414	0	1	8	14	0
1201131	10305:2:1	1	216	0	1	1	414	0	1	8	14	0
1201132	10307:2:1	1	216	0	1	1	414	0	1	8	14	0
1201133	10308:2:1	1	180	0	1	1	414	0	1	8	14	0
1201134	10309:2:1	1	180	0	1	1	414	0	1	8	14	0
1201135	10310:2:1	1	252	0	1	1	414	0	1	8	14	0
1201136	10312:2:1	1	224	0	1	1	414	0	1	8	14	0
1201137	10313:2:1	1	224	0	1	1	414	0	1	8	14	0
1201138	10314:2:1	1	224	0	1	1	414	0	1	8	14	0
1201139	10315:2:1	1	192	0	1	1	414	0	1	8	14	0
1201140	10317:2:1	1	192	0	1	1	414	0	1	8	14	0
1201141	10318:2:1	1	160	0	1	1	414	0	1	8	14	0
1201142	10319:2:1	1	160	0	1	1	414	0	1	8	14	0
1201143	10320:2:1	1	224	0	1	1	414	0	1	8	14	0
1201144	10322:2:1	1	196	50	1	1	414	0	1	8	14	0
1201145	10323:2:1	1	196	50	1	1	414	0	1	8	14	0
1201146	10324:2:1	1	196	50	1	1	414	0	1	8	14	0
1201147	10325:2:1	1	168	50	1	1	414	0	1	8	14	0
1201148	10327:2:1	1	168	50	1	1	414	0	1	8	14	0
1201149	10328:2:1	1	140	50	1	1	414	0	1	8	14	0
1201150	10329:2:1	1	140	50	1	1	414	0	1	8	14	0
1201151	10330:2:1	1	196	50	1	1	414	0	1	8	14	0
1201152	10332:2:1	1	168	70	1	1	414	0	1	8	14	0
1201153	10333:2:1	1	168	70	1	1	414	0	1	8	14	0
1201154	10334:2:1	1	168	70	1	1	414	0	1	8	14	0
1201155	10335:2:1	1	144	70	1	1	414	0	1	8	14	0
1201156	10337:2:1	1	144	70	1	1	414	0	1	8	14	0
1201157	10338:2:1	1	120	70	1	1	414	0	1	8	14	0
1201158	10339:2:1	1	120	70	1	1	414	0	1	8	14	0
1201159	10340:2:1	1	168	70	1	1	414	0	1	8	14	0
1201160	10342:2:1	1	140	100	1	1	414	0	1	8	14	0
1201161	10343:2:1	1	140	100	1	1	414	0	1	8	14	0
1201162	10344:2:1	1	140	100	1	1	414	0	1	8	14	0
1201163	10345:2:1	1	120	100	1	1	414	0	1	8	14	0
1201164	10347:2:1	1	120	100	1	1	414	0	1	8	14	0
1201165	10348:2:1	1	100	100	1	1	414	0	1	8	14	0
1201166	10349:2:1	1	100	100	1	1	414	0	1	8	14	0
1201167	10350:2:1	1	140	100	1	1	414	0	1	8	14	0
1201168	10352:2:1	1	112	150	1	1	414	0	1	8	14	0
1201169	10353:2:1	1	112	150	1	1	414	0	1	8	14	0
1201170	10354:2:1	1	112	150	1	1	414	0	1	8	14	0
1201171	10355:2:1	1	96	150	1	1	414	0	1	8	14	0
1201172	10357:2:1	1	96	150	1	1	414	0	1	8	14	0
1201173	10358:2:1	1	80	150	1	1	414	0	1	8	14	0
1201174	10359:2:1	1	80	150	1	1	414	0	1	8	14	0
1201175	10360:2:1	1	112	150	1	1	414	0	1	8	14	0
1201176	10362:2:1	1	56	200	1	1	414	8	1	8	14	0
1201177	10363:2:1	1	56	200	1	1	414	0	1	8	14	0
1201178	10364:2:1	1	56	200	1	1	414	0	1	8	14	0
1201179	10365:2:1	1	48	200	1	1	414	0	1	8	14	0
1201180	10367:2:1	1	48	200	1	1	414	11	1	8	14	0
1201181	10368:2:1	1	40	200	1	1	414	9	1	8	14	0
1201182	10369:2:1	1	40	200	1	1	414	12	1	8	14	0
1201183	10370:2:1	1	56	200	1	1	414	0	1	8	14	0
1210001	20002:2:1	10	1	100	1	1	414	0	1	8	14	0
1210002	20003:2:1	10	1	100	1	1	414	0	1	8	14	0
1210003	20004:2:1	10	1	100	1	1	414	0	1	8	14	0
1210004	20006:2:1	10	1	100	1	1	414	0	1	8	14	0
1210005	20007:2:1	10	1	100	1	1	414	0	1	8	14	0
1210006	20008:2:1	10	1	100	1	1	414	0	1	8	14	0
1210007	10262:2:1	10	1	0	1	0	0	0	1	8	14	1
1210008	10263:2:1	10	1	0	1	0	0	0	1	8	14	1
1210009	10264:2:1	10	1	0	1	0	0	0	1	8	14	1
1210010	10265:2:1	10	1	0	1	0	0	0	1	8	14	1
1210011	10267:2:1	10	1	0	1	0	0	0	1	8	14	1
1210012	10268:2:1	10	1	0	1	0	0	0	1	8	14	1
1210013	10269:2:1	10	1	0	1	0	0	0	1	8	14	1
1210014	10270:2:1	10	1	0	1	0	0	0	1	8	14	1
1301001	100:1:1	1	300000	0	1	0	0	0	1	15	30	0
1301002	101:1:1	1	400000	0	1	0	0	0	1	15	30	0
1301003	102:1:1	1	200000	0	1	0	0	0	1	15	30	0
1301004	103:1:1	1	40000	0	1	0	0	0	1	15	30	0
1301005	104:1:1	1	8000	0	1	0	0	0	1	15	30	0
1301006	105:1:1	1	2000	0	1	1	0	0	1	15	30	0
1301007	106:1:1	1	600	0	1	1	414	0	1	15	30	0
1301008	107:1:1	1	300	0	1	1	414	17	1	15	30	0
1301009	150:1:1	1	300000	0	1	0	0	0	1	15	30	0
1301010	151:1:1	1	400000	0	1	0	0	0	1	15	30	0
1301011	152:1:1	1	150000	0	1	0	0	0	1	15	30	0
1301012	153:1:1	1	60000	0	1	0	0	0	1	15	30	0
1301013	154:1:1	1	15000	0	1	0	0	0	1	15	30	0
1301014	155:1:1	1	3000	0	1	1	0	0	1	15	30	0
1301015	156:1:1	1	900	0	1	1	414	0	1	15	30	0
1301016	157:1:1	1	450	0	1	1	414	0	1	15	30	0
1301017	565:1:1	1	55200	0	1	0	0	18	1	15	30	0
