INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	INT	STRING	INT
101	玩灭神上33456游戏	5	1	33456	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用33456平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
102	玩灭神上51wanla	5	1	51wanla	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用51wanla平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	勤劳致富	7	1734	-1	0	0	1	41	1:4200|4:60|5:150|6:20|7:40	-1	使用勤劳致富称号卡即可获得	QL_zf	70	#00ff00	30	120	320	-1	1
105	天道酬勤	7	1735	-1	0	0	1	41	1:2200|4:30|5:70|6:10|7:20	-1	使用天道酬勤称号卡即可获得	TD_cq	70	#00ff00	30	120	320	-1	1
106	喜鹊联缘	7	1736	-1	0	0	1	41	1:2200|4:30|5:70|6:10|7:20	-1	使用喜鹊联缘称号卡即可获得	QX_ly	70	#00ff00	30	120	320	-1	1
107	玩灭神上7youxi	5	1	7youxi	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用7游平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
108	360拳打新手村	7	1737	-1	0	0	1	51	1:8800|4:120|5:310|6:50|7:90	-1	360卫士特权获得	360QuanDa_title	70	#00ff00	40	120	350	-1	1
109	360脚踢圣妖城	7	1738	-1	0	0	1	50	1:17600|4:240|5:620|6:100|7:180	-1	360卫士特权获得	360JiaoTi_title	70	#00ff00	40	120	320	-1	1
110	无双圣灵	7	1703	-1	0	0	1	41	1:8800|4:188|5:388|6:188|7:288	-1	只能在30日投资中获得	wuShuangShenLing_title	70	#00ff00	30	100	310	-1	1
111	小狗吸尘器	7	1739	-1	0	0	1	45	1:2200|4:30|5:70|6:10|7:20	-1	小狗吸尘器活动中获得	xiaogou	70	#00ff00	30	120	320	-1	1
112	勇者归来称号	7	1740	-1	0	0	1	45	1:12700|4:170|5:440|6:70|7:130	-1	老用户回归获得	YZ_GL	70	#00ff00	30	120	320	-1	1
113	仙尊驾临称号	7	1741	-1	0	0	1	45	1:12700|4:170|5:440|6:70|7:130	-1	用游戏玩家活动	XZ_JL	70	#00ff00	30	120	320	-1	1
114	玩灭神上191game	5	1	191game	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
115	9377游戏节名人	7	1743	-1	0	0	1	41	1:12700|4:170|5:440|6:70|7:130	-1	使用平台登录可获得	9377mingren	70	#00ff00	30	120	320	-1	1
116	华人聚集地191game	7	1744	-1	0	0	1	42	1:12700|4:170|5:440|6:70|7:130	-1	使用平台登录可获得	191game_2	70	#00ff00	30	120	320	-1	1
117	玩灭神上六房间	5	1	6rooms	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
118	玩圣妖传上妖豆游戏	5	1	yaodou	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	yaodou_2	70	#00ff00	30	120	320	-1	1
119	玩灭神上中游	5	1	chinagames	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
120	全服我最狂	7	1745	-1	0	0	1	38	1:6300|4:90|5:220|6:30|7:70	-1	使用称号卡可获得	yilewanV1	70	#00ff00	30	120	320	-1	1
121	一刀砍倒神	7	1746	-1	0	0	1	37	1:10600|4:140|5:370|6:60|7:110	-1	使用称号卡可获得	yilewanV2	70	#00ff00	30	120	320	-1	1
122	宇宙最强男人	7	1747	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160	-1	使用称号卡可获得	yilewanV3	70	#00ff00	30	120	320	-1	1
123	玩灭神上1666游戏	5	1	1666	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
124	玩灭神上熊猫游戏	5	1	pdsso	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
125	玩灭神上Aotian.com	5	1	aotion	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
126	玩灭神上5599	5	1	5599	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
127	玩灭神上501wan	5	1	501wan	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
128	十三亿少女的梦	7	1748	-1	0	0	1	39	1:6300|4:90|5:220|6:30|7:70	-1	使用称号卡可获得	13yishaonv	70	#00ff00	30	120	320	-1	1
129	五道杠学长	7	1749	-1	0	0	1	38	1:6300|4:90|5:220|6:30|7:70	-1	使用称号卡可获得	5daogang	70	#00ff00	30	120	320	-1	1
130	一刀一个小朋友	7	1750	-1	0	0	1	40	1:6300|4:90|5:220|6:30|7:70	-1	使用称号卡可获得	xiaopengyou	70	#00ff00	30	120	320	-1	1
131	玩灭神上乐都游戏	5	1	ledu	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
132	三好小学生	7	1751	-1	0	0	1	41	1:2200|4:30|5:70|6:10|7:20	-1	使用三好学生称号卡即可获得	SH_XS	70	#00ff00	30	120	320	-1	1
133	天天向上	7	1752	-1	0	0	1	41	1:2200|4:30|5:70|6:10|7:20	-1	使用天天向上称号卡即可获得	TT_XS	70	#00ff00	30	120	320	-1	1
134	360喜迎国庆(30天)	7	1753	-1	0	0	1	51	1:8800|4:120|5:310|6:50|7:90	-1	360卫士特权获得	360_xygq	70	#00ff00	40	110	350	-1	1
135	360爱我中华	7	1754	-1	0	0	1	50	1:17600|4:240|5:620|6:100|7:180	-1	360卫士特权获得	360_awzh	70	#00ff00	40	120	320	-1	1
136	玩灭神上PP158	5	1	pp158	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
137	37刀刀倍攻切割	5	1	37wan	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用37登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
138	迷失传说灭神欢度国庆	7	1755	-1	0	0	1	41	1:2200|4:30|5:70|6:10|7:20	-1	使用称号卡即可获得	MS_Guoqing	70	#00ff00	30	120	320	-1	1
139	烈斩灭神欢度国庆	7	1756	-1	0	0	1	41	1:2200|4:30|5:70|6:10|7:20	-1	使用称号卡即可获得	LZ_Guoqing	70	#00ff00	30	120	320	-1	1
141	360喜迎国庆(30天)	7	1757	-1	0	0	1	51	1:8800|4:120|5:310|6:50|7:90	-1	360获得	360_xyJJ	70	#00ff00	40	110	350	-1	1
142	高端玩家	7	1758	-1	0	0	1	51	1:4200|4:60|5:150|6:20|7:40	-1	使用高端玩家称号卡可获得	GD_WJ	70	#00ff00	40	110	350	-1	1
143	跨服斗士(7天)	7	1759	-1	0	0	1	5	1:8888|4:240|5:620|6:100|7:180	-1	王权之塔获得	kuafu_Fighter	70	#00ff00	40	110	350	-1	1
144	跨服王者(7天)	9	1	-1	0	0	1	5	4:388|5:1088|6:388|7:1088|20:50	-1	王权之塔内夺得的全服唯一王者称号，限时7天	kuafu_King	70	#00ff00	20	110	350	-1	1
145	玩灭神上7K7K游戏	5	1	youxi567	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
146	购物车杀手(30天)	7	1760	-1	0	0	1	51	1:8800|4:120|5:310|6:50|7:90	-1	360卫士特权获得	GWC_SS	70	#00ff00	40	110	350	-1	1
147	万年单身狗	7	1761	-1	0	0	1	50	1:17600|4:240|5:620|6:100|7:180	-1	360卫士特权获得	WN_DSG	70	#00ff00	40	120	320	-1	1
148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
149	不给糖就捣蛋	7	1762	-1	0	0	1	50	1:8800|4:188|5:388|6:188|7:288	-1	使用万圣节称号卡可获得	Daodan	70	#00ff00	40	120	320	-1	1
150	2217新手指导员	7	1763	-1	0	0	1	50	1:176000|4:2400|5:6200|6:1000|7:1800	-1	使用GM称号卡可获得	2217GM	70	#00ff00	40	120	320	-1	1
151	玩灭神上欢乐园	5	1	hly	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
152	灭神我最大(30天)	7	1764	-1	0	0	1	51	1:8800|4:120|5:310|6:50|7:90	-1	运营活动获得	MS_WZD	70	#00ff00	40	110	350	-1	1
153	超玩大神	7	1765	-1	0	0	1	51	1:21300|4:290|5:740|6:110|7:230	-1	运营活动获得	CW_DS	70	#00ff00	40	110	350	-1	1
154	初入凡尘	7	1766	-1	0	0	1	38	1:6300|4:90|5:220|6:30|7:70	-1	使用称号卡可获得	LDS_CRFC	70	#00ff00	30	120	320	-1	1
155	独步九州	7	1767	-1	0	0	1	37	1:10600|4:140|5:370|6:60|7:110	-1	使用称号卡可获得	LDS_DBJZ	70	#00ff00	30	120	320	-1	1
156	傲视天下	7	1768	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160	-1	使用称号卡可获得	LDS_ASTX	70	#00ff00	30	120	320	-1	1
157	C超会玩贵宾	7	1769	-1	0	0	1	37	1:10600|4:140|5:370|6:60|7:110	-1	使用称号卡可获得	LDS_GB	70	#00ff00	30	120	320	-1	1
158	C钻石超会玩	7	1770	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160	-1	使用称号卡可获得	LDS_ZS	70	#00ff00	30	120	320	-1	1
159	养鲲大户（7天）	7	1771	-1	0	0	1	51	1:4200|4:60|5:150|6:20|7:40	-1	运营活动获得	YK_DH	70	#00ff00	40	110	350	-1	1
160	爷不差钱（7天）	7	1772	-1	0	0	1	51	1:12700|4:170|5:440|6:70|7:130	-1	运营活动获得	YB_CQ	70	#00ff00	40	110	350	-1	1
161	7k7k灭神霸主	7	1773	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160	-1	使用称号卡可获得	7K7K_BZ	70	#00ff00	30	120	320	-1	1
162	百服霸主	7	1774	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160	-1	使用称号卡可获得	37_BZ	70	#00ff00	30	120	320	-1	1
163	360傻小子火力壮(15天)	7	1775	-1	0	0	1	51	1:8800|4:120|5:310|6:50|7:90	-1	360卫士特权获得	360_sxz	70	#00ff00	40	110	350	-1	1
164	360冬天里得一把火(15天)	7	1776	-1	0	0	1	50	1:17600|4:240|5:620|6:100|7:180	-1	360卫士特权获得	360_ybh	70	#00ff00	40	120	320	-1	1
165	幸运儿（7天）	7	1777	-1	0	0	1	51	1:21300|4:290|5:740|6:110|7:230	-1	运营活动获得	XY_ER	70	#00ff00	40	110	350	-1	1
166	福运满满（30天）	7	1778	-1	0	0	1	51	1:8800|4:120|5:310|6:50|7:90	-1	运营活动获得	FY_MM	70	#00ff00	40	110	350	-1	1
167	大明星	7	1779	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160	-1	使用称号卡可获得	37_DMX	70	#00ff00	30	120	320	-1	1
168	守护神	7	1780	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160	-1	使用称号卡可获得	37_SHS	70	#00ff00	30	120	320	-1	1
169	锦鲤	7	1781	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160	-1	使用称号卡可获得	37_JL	70	#00ff00	30	120	320	-1	1
170	37灭神霸主	7	1782	-1	0	0	1	36	1:8888|4:240|5:620|6:100|7:180	-1	使用称号卡可获得	37_MSBZ	70	#00ff00	30	120	320	-1	1
171	六韬三略（30天）	7	1783	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160|16:5	-1	使用称号卡可获得	37_LTSL	70	#00ff00	30	120	320	-1	1
172	七步成诗（30天）	7	1784	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160|16:10	-1	使用称号卡可获得	37_QBCS	70	#00ff00	30	120	320	-1	1
173	八斗之才（30天）	7	1785	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160|16:15	-1	使用称号卡可获得	37_BDZC	70	#00ff00	30	120	320	-1	1
174	九五之尊（30天）	7	1786	-1	0	0	1	36	1:18888|4:240|5:620|6:100|7:180|16:20	-1	使用称号卡可获得	37_JWZZ	70	#00ff00	30	120	320	-1	1
175	YY皇帝	7	1787	-1	0	0	1	36	1:21300|4:290|5:740|6:110|7:230|18:10	-1	使用称号卡可获得	YY_HD	70	#00ff00	30	120	320	-1	1
