INT	INT	STRING	INT	INT	INT
46	1	564:1:10|931:1:3	50	0	0
46	2	564:1:12|931:1:4	100	0	0
46	3	564:1:14|931:1:5	150	0	0
46	4	564:1:17|931:1:6	200	0	0
46	5	564:1:20|931:1:7	250	1	543
46	6	564:1:23|931:1:8	320	1	0
46	7	564:1:27|931:1:9	390	1	0
46	8	564:1:32|931:1:11	460	1	0
46	9	564:1:38|931:1:13	530	1	0
46	10	564:1:45|931:1:15	600	2	543
46	11	564:1:53|931:1:18	690	2	0
46	12	564:1:62|931:1:21	780	2	0
46	13	564:1:74|931:1:25	870	2	0
46	14	564:1:87|931:1:29	960	2	0
46	15	564:1:102|931:1:34	1050	3	543
46	16	564:1:121|931:1:40	1160	3	0
46	17	564:1:143|931:1:48	1270	3	0
46	18	564:1:168|931:1:56	1380	3	0
46	19	564:1:199|931:1:66	1490	3	0
46	20	564:1:234|931:1:78	1600	4	543
46	21	564:1:277|931:1:92	1730	4	0
46	22	564:1:326|931:1:109	1860	4	0
46	23	564:1:385|931:1:128	1990	4	0
46	24	564:1:455|931:1:152	2120	4	0
46	25	564:1:536|931:1:179	2250	5	543
46	26	564:1:633|931:1:211	2400	5	0
46	27	564:1:747|931:1:249	2550	5	0
46	28	564:1:881|931:1:294	2700	5	0
46	29	564:1:1040|931:1:347	2850	5	0
46	30	564:1:1227|931:1:409	3000	6	543
47	1	564:1:10|931:1:3	50	0	0
47	2	564:1:12|931:1:4	100	0	0
47	3	564:1:14|931:1:5	150	0	0
47	4	564:1:17|931:1:6	200	0	0
47	5	564:1:20|931:1:7	250	1	543
47	6	564:1:23|931:1:8	320	1	0
47	7	564:1:27|931:1:9	390	1	0
47	8	564:1:32|931:1:11	460	1	0
47	9	564:1:38|931:1:13	530	1	0
47	10	564:1:45|931:1:15	600	2	543
47	11	564:1:53|931:1:18	690	2	0
47	12	564:1:62|931:1:21	780	2	0
47	13	564:1:74|931:1:25	870	2	0
47	14	564:1:87|931:1:29	960	2	0
47	15	564:1:102|931:1:34	1050	3	543
47	16	564:1:121|931:1:40	1160	3	0
47	17	564:1:143|931:1:48	1270	3	0
47	18	564:1:168|931:1:56	1380	3	0
47	19	564:1:199|931:1:66	1490	3	0
47	20	564:1:234|931:1:78	1600	4	543
47	21	564:1:277|931:1:92	1730	4	0
47	22	564:1:326|931:1:109	1860	4	0
47	23	564:1:385|931:1:128	1990	4	0
47	24	564:1:455|931:1:152	2120	4	0
47	25	564:1:536|931:1:179	2250	5	543
47	26	564:1:633|931:1:211	2400	5	0
47	27	564:1:747|931:1:249	2550	5	0
47	28	564:1:881|931:1:294	2700	5	0
47	29	564:1:1040|931:1:347	2850	5	0
47	30	564:1:1227|931:1:409	3000	6	543
48	1	564:1:10|931:1:3	50	0	0
48	2	564:1:12|931:1:4	100	0	0
48	3	564:1:14|931:1:5	150	0	0
48	4	564:1:17|931:1:6	200	0	0
48	5	564:1:20|931:1:7	250	1	543
48	6	564:1:23|931:1:8	320	1	0
48	7	564:1:27|931:1:9	390	1	0
48	8	564:1:32|931:1:11	460	1	0
48	9	564:1:38|931:1:13	530	1	0
48	10	564:1:45|931:1:15	600	2	543
48	11	564:1:53|931:1:18	690	2	0
48	12	564:1:62|931:1:21	780	2	0
48	13	564:1:74|931:1:25	870	2	0
48	14	564:1:87|931:1:29	960	2	0
48	15	564:1:102|931:1:34	1050	3	543
48	16	564:1:121|931:1:40	1160	3	0
48	17	564:1:143|931:1:48	1270	3	0
48	18	564:1:168|931:1:56	1380	3	0
48	19	564:1:199|931:1:66	1490	3	0
48	20	564:1:234|931:1:78	1600	4	543
48	21	564:1:277|931:1:92	1730	4	0
48	22	564:1:326|931:1:109	1860	4	0
48	23	564:1:385|931:1:128	1990	4	0
48	24	564:1:455|931:1:152	2120	4	0
48	25	564:1:536|931:1:179	2250	5	543
48	26	564:1:633|931:1:211	2400	5	0
48	27	564:1:747|931:1:249	2550	5	0
48	28	564:1:881|931:1:294	2700	5	0
48	29	564:1:1040|931:1:347	2850	5	0
48	30	564:1:1227|931:1:409	3000	6	543
49	1	564:1:10|931:1:3	50	0	0
49	2	564:1:12|931:1:4	100	0	0
49	3	564:1:14|931:1:5	150	0	0
49	4	564:1:17|931:1:6	200	0	0
49	5	564:1:20|931:1:7	250	1	543
49	6	564:1:23|931:1:8	320	1	0
49	7	564:1:27|931:1:9	390	1	0
49	8	564:1:32|931:1:11	460	1	0
49	9	564:1:38|931:1:13	530	1	0
49	10	564:1:45|931:1:15	600	2	543
49	11	564:1:53|931:1:18	690	2	0
49	12	564:1:62|931:1:21	780	2	0
49	13	564:1:74|931:1:25	870	2	0
49	14	564:1:87|931:1:29	960	2	0
49	15	564:1:102|931:1:34	1050	3	543
49	16	564:1:121|931:1:40	1160	3	0
49	17	564:1:143|931:1:48	1270	3	0
49	18	564:1:168|931:1:56	1380	3	0
49	19	564:1:199|931:1:66	1490	3	0
49	20	564:1:234|931:1:78	1600	4	543
49	21	564:1:277|931:1:92	1730	4	0
49	22	564:1:326|931:1:109	1860	4	0
49	23	564:1:385|931:1:128	1990	4	0
49	24	564:1:455|931:1:152	2120	4	0
49	25	564:1:536|931:1:179	2250	5	543
49	26	564:1:633|931:1:211	2400	5	0
49	27	564:1:747|931:1:249	2550	5	0
49	28	564:1:881|931:1:294	2700	5	0
49	29	564:1:1040|931:1:347	2850	5	0
49	30	564:1:1227|931:1:409	3000	6	543
