INT	STRING	INT	INT	INT	STRING
10018	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
10019	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
10020	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
10021	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
10022	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
10023	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
10024	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
10025	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
10026	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
10027	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
10028	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:523|101:470|201:423|301:381|501:267|601:240|701:216|801:194|1001:233|401:26|901:21|1401:5
10029	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:507|101:456|201:410|301:369|501:258|601:233|701:209|801:188|1001:113|1101:203|401:28|901:20|1401:5
10030	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:493|101:443|201:399|301:359|501:251|601:226|701:204|801:183|1001:110|1101:99|1201:178|401:30|901:20|1401:5
10031	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:481|101:433|201:390|301:351|501:246|601:221|701:199|801:179|1001:107|1101:97|1201:87|1301:153|401:31|901:19|1401:5
10032	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
10033	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
10034	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
10035	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
10036	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
10037	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
10038	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
10039	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
10040	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
10041	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
10042	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
10043	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
10044	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:507|101:456|201:410|301:369|501:258|601:233|701:209|801:188|1001:113|1101:203|401:28|901:20|1401:5
10045	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:493|101:443|201:399|301:359|501:251|601:226|701:204|801:183|1001:110|1101:99|1201:178|401:30|901:20|1401:5
10046	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:481|101:433|201:390|301:351|501:246|601:221|701:199|801:179|1001:107|1101:97|1201:87|1301:153|401:31|901:19|1401:5
10047	11002:4737|9901:3158|11003:2105	9801	14400	10000	11001:0|11002:2625|9901:2625|11003:1750|1:173|101:173|201:173|301:173|501:432|601:388|701:350|801:315|1001:189|1101:170|1201:153|1301:138|1501:55|401:78|901:35|1401:9
10048	11002:4737|9901:3158|11003:2105	9801	14400	10000	11001:0|11002:2625|9901:2625|11003:1750|1:173|101:173|201:173|301:173|501:432|601:388|701:350|801:315|1001:189|1101:170|1201:153|1301:138|1501:55|401:78|901:35|1401:9
11004	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:2970|401:30
11005	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:1060|101:1908|401:32
11006	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:843|101:758|201:1365|401:34
11007	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:711|101:640|201:576|301:1037|401:36
11008	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:664|101:597|201:538|301:484|501:677|401:33|901:7
11009	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:608|101:547|201:492|301:443|501:310|601:558|401:30|901:12
11010	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:564|101:508|201:457|301:411|501:288|601:259|701:466|401:28|901:17
11011	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:530|101:477|201:430|301:387|501:271|601:244|701:219|801:394|401:27|901:21
11012	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:523|101:470|201:423|301:381|501:267|601:240|701:216|801:194|1001:233|401:26|901:21|1401:5
11013	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:507|101:456|201:410|301:369|501:258|601:233|701:209|801:188|1001:113|1101:203|401:28|901:20|1401:5
11014	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:493|101:443|201:399|301:359|501:251|601:226|701:204|801:183|1001:110|1101:99|1201:178|401:30|901:20|1401:5
11015	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:481|101:433|201:390|301:351|501:246|601:221|701:199|801:179|1001:107|1101:97|1201:87|1301:153|401:31|901:19|1401:5
11016	11002:4737|9901:3158|11003:2105	9801	14400	10000	11001:0|11002:2625|9901:2625|11003:1750|1:173|101:173|201:173|301:173|501:432|601:388|701:350|801:315|1001:189|1101:170|1201:153|1301:138|1501:55|401:78|901:35|1401:9
12004	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:2970|401:30
12005	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:1060|101:1908|401:32
12006	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:843|101:758|201:1365|401:34
12007	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:711|101:640|201:576|301:1037|401:36
12008	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:664|101:597|201:538|301:484|501:677|401:33|901:7
12009	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:608|101:547|201:492|301:443|501:310|601:558|401:30|901:12
12010	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:564|101:508|201:457|301:411|501:288|601:259|701:466|401:28|901:17
12011	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:530|101:477|201:430|301:387|501:271|601:244|701:219|801:394|401:27|901:21
12012	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:523|101:470|201:423|301:381|501:267|601:240|701:216|801:194|1001:233|401:26|901:21|1401:5
12013	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:523|101:470|201:423|301:381|501:267|601:240|701:216|801:194|1001:233|401:26|901:21|1401:5
12014	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:523|101:470|201:423|301:381|501:267|601:240|701:216|801:194|1001:233|401:26|901:21|1401:5
14009	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:608|101:547|201:492|301:443|501:310|601:558|401:30|901:12
14010	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:564|101:508|201:457|301:411|501:288|601:259|701:466|401:28|901:17
14011	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:530|101:477|201:430|301:387|501:271|601:244|701:219|801:394|401:27|901:21
14012	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:523|101:470|201:423|301:381|501:267|601:240|701:216|801:194|1001:233|401:26|901:21|1401:5
14013	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:507|101:456|201:410|301:369|501:258|601:233|701:209|801:188|1001:113|1101:203|401:28|901:20|1401:5
14014	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:493|101:443|201:399|301:359|501:251|601:226|701:204|801:183|1001:110|1101:99|1201:178|401:30|901:20|1401:5
14015	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:481|101:433|201:390|301:351|501:246|601:221|701:199|801:179|1001:107|1101:97|1201:87|1301:153|401:31|901:19|1401:5
14016	11002:4737|9901:3158|11003:2105	9801	14400	10000	11001:0|11002:2625|9901:2625|11003:1750|1:173|101:173|201:173|301:173|501:432|601:388|701:350|801:315|1001:189|1101:170|1201:153|1301:138|1501:55|401:78|901:35|1401:9
14017	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
14018	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
14019	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
14020	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
14021	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
14022	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
14023	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
14024	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
14025	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
14026	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
14027	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
14028	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:167|101:167|201:167|301:167|501:417|601:375|701:338|801:304|1001:182|1101:164|1201:148|1301:133|1501:53|1601:37|1701:26|1801:18|401:75|901:50|1401:13
14029	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:163|101:163|201:163|301:163|501:407|601:367|701:330|801:297|1001:178|1101:160|1201:144|1301:130|1501:104|1601:72|401:73|901:56|1401:29
14030	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:159|101:159|201:159|301:159|501:397|601:358|701:322|801:290|1001:174|1101:156|1201:141|1301:127|1501:101|1601:71|1701:49|401:83|901:62|1401:33
14031	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:156|101:156|201:156|301:156|501:390|601:351|701:316|801:284|1001:170|1101:153|1201:138|1301:124|1501:99|1601:69|1701:48|1801:34|401:94|901:68|1401:37
20005	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:2970|401:30
20006	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:1060|101:1908|401:32
20007	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:843|101:758|201:1365|401:34
20008	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:711|101:640|201:576|301:1037|401:36
20009	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:664|101:597|201:538|301:484|501:677|401:33|901:7
20010	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:608|101:547|201:492|301:443|501:310|601:558|401:30|901:12
20011	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:564|101:508|201:457|301:411|501:288|601:259|701:466|401:28|901:17
20012	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:530|101:477|201:430|301:387|501:271|601:244|701:219|801:394|401:27|901:21
20013	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:523|101:470|201:423|301:381|501:267|601:240|701:216|801:194|1001:233|401:26|901:21|1401:5
20014	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:507|101:456|201:410|301:369|501:258|601:233|701:209|801:188|1001:113|1101:203|401:28|901:20|1401:5
20015	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:493|101:443|201:399|301:359|501:251|601:226|701:204|801:183|1001:110|1101:99|1201:178|401:30|901:20|1401:5
20016	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:481|101:433|201:390|301:351|501:246|601:221|701:199|801:179|1001:107|1101:97|1201:87|1301:153|401:31|901:19|1401:5
20017	11002:4737|9901:3158|11003:2105	9801	14400	10000	11001:0|11002:2625|9901:2625|11003:1750|1:173|101:173|201:173|301:173|501:432|601:388|701:350|801:315|1001:189|1101:170|1201:153|1301:138|1501:55|401:78|901:35|1401:9
20018	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
20019	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
20020	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
