INT	INT	STRING	STRING
8	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
8	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
8	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
8	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
8	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
9	0	961:1:10	1:0|4:0|5:0|6:0|7:0
9	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
9	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
9	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
9	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
9	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
10	0	961:1:10	1:0|4:0|5:0|6:0|7:0
10	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
10	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
10	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
10	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
10	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
11	0	961:1:10	1:0|4:0|5:0|6:0|7:0
11	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
11	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
11	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
11	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
11	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
12	0	961:1:10	1:0|4:0|5:0|6:0|7:0
12	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
12	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
12	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
12	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
12	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
13	0	961:1:10	1:0|4:0|5:0|6:0|7:0
13	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
13	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
13	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
13	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
13	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
14	0	961:1:10	1:0|4:0|5:0|6:0|7:0
14	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
14	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
14	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
14	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
14	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
15	0	961:1:10	1:0|4:0|5:0|6:0|7:0
15	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
15	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
15	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
15	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
15	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
16	0	961:1:10	1:0|4:0|5:0|6:0|7:0
16	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
16	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
16	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
16	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
16	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
17	0	961:1:10	1:0|4:0|5:0|6:0|7:0
17	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
17	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
17	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
17	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
17	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
18	0	961:1:10	1:0|4:0|5:0|6:0|7:0
18	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
18	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
18	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
18	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
18	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
19	0	961:1:10	1:0|4:0|5:0|6:0|7:0
19	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
19	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
19	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
19	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
19	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
20	0	961:1:10	1:0|4:0|5:0|6:0|7:0
20	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
20	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
20	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
20	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
20	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
21	0	961:1:10	1:0|4:0|5:0|6:0|7:0
21	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
21	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
21	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
21	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
21	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
22	0	961:1:10	1:0|4:0|5:0|6:0|7:0
22	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
22	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
22	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
22	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
22	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
24	0	961:1:10	1:0|4:0|5:0|6:0|7:0
24	1	961:1:10	1:18000|4:250|5:620|6:90|7:190
24	2	961:1:20	1:49900|4:690|5:1730|6:260|7:530
24	3	961:1:35	1:93000|4:1280|5:3220|6:490|7:980
24	4	961:1:65	1:152800|4:2110|5:5290|6:800|7:1610
24	5	961:1:120	1:242600|4:3340|5:8390|6:1280|7:2550
101	0	962:1:5	1:0|4:0|5:0|6:0|7:0
101	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
101	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
101	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
101	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
101	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
102	0	962:1:5	1:0|4:0|5:0|6:0|7:0
102	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
102	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
102	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
102	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
102	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
103	0	962:1:5	1:0|4:0|5:0|6:0|7:0
103	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
103	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
103	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
103	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
103	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
104	0	962:1:5	1:0|4:0|5:0|6:0|7:0
104	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
104	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
104	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
104	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
104	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
105	0	962:1:5	1:0|4:0|5:0|6:0|7:0
105	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
105	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
105	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
105	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
105	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
106	0	962:1:5	1:0|4:0|5:0|6:0|7:0
106	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
106	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
106	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
106	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
106	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
107	0	962:1:5	1:0|4:0|5:0|6:0|7:0
107	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
107	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
107	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
107	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
107	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
108	0	962:1:5	1:0|4:0|5:0|6:0|7:0
108	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
108	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
108	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
108	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
108	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
109	0	962:1:5	1:0|4:0|5:0|6:0|7:0
109	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
109	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
109	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
109	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
109	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
110	0	962:1:5	1:0|4:0|5:0|6:0|7:0
110	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
110	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
110	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
110	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
110	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
111	0	962:1:5	1:0|4:0|5:0|6:0|7:0
111	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
111	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
111	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
111	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
111	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
112	0	962:1:5	1:0|4:0|5:0|6:0|7:0
112	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
112	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
112	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
112	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
112	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
113	0	962:1:5	1:0|4:0|5:0|6:0|7:0
113	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
113	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
113	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
113	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
113	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
114	0	962:1:5	1:0|4:0|5:0|6:0|7:0
114	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
114	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
114	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
114	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
114	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
115	0	962:1:5	1:0|4:0|5:0|6:0|7:0
115	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
115	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
115	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
115	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
115	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
116	0	962:1:5	1:0|4:0|5:0|6:0|7:0
116	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
116	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
116	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
116	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
116	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
117	0	962:1:5	1:0|4:0|5:0|6:0|7:0
117	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
117	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
117	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
117	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
117	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
118	0	962:1:5	1:0|4:0|5:0|6:0|7:0
118	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
118	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
118	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
118	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
118	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
119	0	962:1:5	1:0|4:0|5:0|6:0|7:0
119	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
119	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
119	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
119	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
119	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
120	0	962:1:5	1:0|4:0|5:0|6:0|7:0
120	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
120	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
120	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
120	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
120	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
121	0	962:1:5	1:0|4:0|5:0|6:0|7:0
121	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
121	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
121	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
121	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
121	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
122	0	962:1:5	1:0|4:0|5:0|6:0|7:0
122	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
122	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
122	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
122	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
122	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
123	0	962:1:5	1:0|4:0|5:0|6:0|7:0
123	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
123	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
123	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
123	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
123	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
124	0	962:1:5	1:0|4:0|5:0|6:0|7:0
124	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
124	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
124	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
124	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
124	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
125	0	962:1:5	1:0|4:0|5:0|6:0|7:0
125	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
125	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
125	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
125	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
125	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
126	0	962:1:5	1:0|4:0|5:0|6:0|7:0
126	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
126	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
126	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
126	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
126	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
127	0	962:1:5	1:0|4:0|5:0|6:0|7:0
127	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
127	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
127	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
127	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
127	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
128	0	962:1:5	1:0|4:0|5:0|6:0|7:0
128	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
128	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
128	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
128	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
128	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
129	0	962:1:5	1:0|4:0|5:0|6:0|7:0
129	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
129	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
129	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
129	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
129	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
130	0	962:1:5	1:0|4:0|5:0|6:0|7:0
130	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
130	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
130	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
130	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
130	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
131	0	962:1:5	1:0|4:0|5:0|6:0|7:0
131	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
131	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
131	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
131	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
131	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
132	0	962:1:5	1:0|4:0|5:0|6:0|7:0
132	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
132	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
132	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
132	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
132	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
133	0	962:1:5	1:0|4:0|5:0|6:0|7:0
133	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
133	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
133	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
133	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
133	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
134	0	962:1:5	1:0|4:0|5:0|6:0|7:0
134	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
134	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
134	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
134	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
134	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
135	0	962:1:5	1:0|4:0|5:0|6:0|7:0
135	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
135	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
135	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
135	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
135	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
136	0	962:1:5	1:0|4:0|5:0|6:0|7:0
136	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
136	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
136	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
136	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
136	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
137	0	962:1:5	1:0|4:0|5:0|6:0|7:0
137	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
137	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
137	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
137	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
137	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
138	0	962:1:5	1:0|4:0|5:0|6:0|7:0
138	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
138	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
138	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
138	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
138	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
139	0	962:1:5	1:0|4:0|5:0|6:0|7:0
139	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
139	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
139	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
139	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
139	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
140	0	962:1:5	1:0|4:0|5:0|6:0|7:0
140	1	962:1:10	1:9000|4:125|5:310|6:45|7:95
140	2	962:1:20	1:24950|4:345|5:865|6:130|7:265
140	3	962:1:35	1:46500|4:640|5:1610|6:245|7:490
140	4	962:1:65	1:76400|4:1055|5:2645|6:400|7:805
140	5	962:1:120	1:121300|4:1670|5:4195|6:640|7:1275
202	0	963:1:5	1:0|4:0|5:0|6:0|7:0
202	1	963:1:10	1:10800|4:80|5:120|6:40|7:140
202	2	963:1:20	1:28800|4:180|5:420|6:140|7:240
202	3	963:1:35	1:54900|4:380|5:820|6:140|7:440
202	4	963:1:65	1:89100|4:580|5:1420|6:340|7:840
202	5	963:1:120	1:136800|4:880|5:2120|6:440|7:1240
203	0	963:1:5	1:0|4:0|5:0|6:0|7:0
203	1	963:1:10	1:10800|4:80|5:120|6:40|7:140
203	2	963:1:20	1:28800|4:180|5:420|6:140|7:240
203	3	963:1:35	1:54900|4:380|5:820|6:140|7:440
203	4	963:1:65	1:89100|4:580|5:1420|6:340|7:840
203	5	963:1:120	1:136800|4:880|5:2120|6:440|7:1240
