INT	INT	STRING	STRING
40	1	1:5030|4:80|5:200|6:48|7:120|8:21|9:20|12:220|45:1000	0
41	1	1:5189|4:82|5:205|6:49|7:123|8:21|9:21|12:220|45:1000	0
42	1	1:5350|4:84|5:211|6:50|7:126|8:22|9:21|12:220|45:1000	0
43	1	1:5513|4:86|5:216|6:51|7:129|8:22|9:22|12:220|45:1000	0
44	1	1:5677|4:88|5:222|6:53|7:133|8:23|9:22|12:220|45:1000	0
45	1	1:5843|4:91|5:227|6:54|7:136|8:23|9:23|12:220|45:1000	0
46	1	1:6011|4:93|5:233|6:55|7:139|8:24|9:23|12:220|45:1000	0
47	1	1:6180|4:95|5:238|6:57|7:143|8:24|9:24|12:220|45:1000	0
48	1	1:6352|4:97|5:244|6:58|7:146|8:25|9:24|12:220|45:1000	0
49	1	1:6525|4:100|5:250|6:60|7:150|8:25|9:25|12:220|45:1000	0
50	1	1:6699|4:102|5:255|6:61|7:153|8:26|9:25|12:220|45:1000	0
51	1	1:6876|4:104|5:261|6:62|7:157|8:26|9:26|12:220|45:1000	0
52	1	1:7054|4:107|5:267|6:64|7:160|8:27|9:26|12:220|45:1000	0
53	1	1:7233|4:109|5:273|6:65|7:164|8:27|9:27|12:220|45:1000	0
54	1	1:7414|4:111|5:279|6:67|7:167|8:28|9:27|12:220|45:1000	0
55	1	1:7597|4:114|5:285|6:68|7:171|8:28|9:28|12:220|45:1000	0
56	1	1:7781|4:116|5:291|6:70|7:175|8:29|9:28|12:220|45:1000	0
57	1	1:7967|4:119|5:298|6:71|7:178|8:29|9:29|12:220|45:1000	0
58	1	1:8155|4:121|5:304|6:73|7:182|8:30|9:29|12:220|45:1000	0
59	1	1:8344|4:124|5:310|6:74|7:186|8:30|9:30|12:220|45:1000	0
60	1	1:8534|4:126|5:316|6:76|7:190|8:31|9:30|12:220|45:1000	0
61	1	1:8726|4:129|5:323|6:77|7:193|8:31|9:31|12:220|45:1000	0
62	1	1:8920|4:131|5:329|6:79|7:197|8:32|9:31|12:220|45:1000	0
63	1	1:9115|4:134|5:336|6:80|7:201|8:32|9:32|12:220|45:1000	0
64	1	1:9312|4:137|5:342|6:82|7:205|8:33|9:32|12:220|45:1000	0
65	1	1:9510|4:139|5:349|6:83|7:209|8:33|9:33|12:220|45:1000	0
66	1	1:9709|4:142|5:355|6:85|7:213|8:34|9:33|12:220|45:1000	0
67	1	1:9910|4:145|5:362|6:87|7:217|8:34|9:34|12:220|45:1000	0
68	1	1:10112|4:147|5:369|6:88|7:221|8:35|9:34|12:220|45:1000	0
69	1	1:10316|4:150|5:376|6:90|7:225|8:35|9:35|12:220|45:1000	0
70	1	1:10521|4:153|5:382|6:91|7:229|8:36|9:35|12:220|45:1000	0
71	1	1:10728|4:155|5:389|6:93|7:233|8:36|9:36|12:220|45:1000	0
72	1	1:10936|4:158|5:396|6:95|7:238|8:37|9:36|12:220|45:1000	0
73	1	1:11145|4:161|5:403|6:96|7:242|8:37|9:37|12:220|45:1000	0
74	1	1:11356|4:164|5:410|6:98|7:246|8:38|9:37|12:220|45:1000	0
75	1	1:11568|4:167|5:417|6:100|7:250|8:38|9:38|12:220|45:1000	0
76	1	1:11782|4:169|5:424|6:101|7:254|8:39|9:38|12:220|45:1000	0
77	1	1:11997|4:172|5:431|6:103|7:259|8:39|9:39|12:220|45:1000	0
78	1	1:12213|4:175|5:439|6:105|7:263|8:40|9:39|12:220|45:1000	0
79	1	1:12431|4:178|5:446|6:107|7:267|8:40|9:40|12:220|45:1000	0
80	1	1:12650|4:181|5:453|6:108|7:272|8:41|9:40|12:220|45:1000	0
81	1	1:12870|4:184|5:460|6:110|7:276|8:41|9:41|12:220|45:1000	0
82	1	1:13091|4:187|5:468|6:112|7:280|8:42|9:41|12:220|45:1000	0
83	1	1:13314|4:190|5:475|6:114|7:285|8:42|9:42|12:220|45:1000	0
84	1	1:13538|4:193|5:483|6:115|7:289|8:43|9:42|12:220|45:1000	0
85	1	1:13764|4:196|5:490|6:117|7:294|8:43|9:43|12:220|45:1000	0
86	1	1:13991|4:199|5:498|6:119|7:298|8:44|9:43|12:220|45:1000	0
87	1	1:14219|4:202|5:505|6:121|7:303|8:44|9:44|12:220|45:1000	0
88	1	1:14448|4:205|5:513|6:123|7:308|8:45|9:44|12:220|45:1000	0
89	1	1:14678|4:208|5:521|6:125|7:312|8:45|9:45|12:220|45:1000	0
90	1	1:14910|4:211|5:528|6:126|7:317|8:46|9:45|12:220|45:1000	0
91	1	1:15143|4:214|5:536|6:128|7:321|8:46|9:46|12:220|45:1000	0
92	1	1:15378|4:217|5:544|6:130|7:326|8:47|9:46|12:220|45:1000	0
93	1	1:15613|4:220|5:552|6:132|7:331|8:47|9:47|12:220|45:1000	0
94	1	1:15850|4:223|5:559|6:134|7:335|8:48|9:47|12:220|45:1000	0
95	1	1:16088|4:227|5:567|6:136|7:340|8:48|9:48|12:220|45:1000	0
96	1	1:16327|4:230|5:575|6:138|7:345|8:49|9:48|12:220|45:1000	0
97	1	1:16568|4:233|5:583|6:140|7:350|8:49|9:49|12:220|45:1000	0
98	1	1:16809|4:236|5:591|6:142|7:355|8:50|9:49|12:220|45:1000	0
99	1	1:17052|4:239|5:599|6:143|7:359|8:50|9:50|12:220|45:1000	0
100	1	1:17296|4:243|5:608|6:145|7:364|8:51|9:50|12:220|45:1000	0
101	1	1:17541|4:246|5:616|6:147|7:369|8:51|9:51|12:220|45:1000	0
102	1	1:17788|4:249|5:624|6:149|7:374|8:52|9:51|12:220|45:1000	0
103	1	1:18035|4:253|5:632|6:151|7:379|8:52|9:52|12:220|45:1000	0
104	1	1:18284|4:256|5:640|6:153|7:384|8:53|9:52|12:220|45:1000	0
105	1	1:18534|4:259|5:649|6:155|7:389|8:53|9:53|12:220|45:1000	0
106	1	1:18785|4:262|5:657|6:157|7:394|8:54|9:53|12:220|45:1000	0
107	1	1:19037|4:266|5:665|6:159|7:399|8:54|9:54|12:220|45:1000	0
108	1	1:19290|4:269|5:674|6:161|7:404|8:55|9:54|12:220|45:1000	0
109	1	1:19545|4:273|5:682|6:163|7:409|8:55|9:55|12:220|45:1000	0
110	1	1:19801|4:276|5:691|6:165|7:414|8:56|9:55|12:220|45:1000	0
111	1	1:20057|4:279|5:699|6:167|7:419|8:56|9:56|12:220|45:1000	0
112	1	1:20315|4:283|5:708|6:169|7:424|8:57|9:56|12:220|45:1000	0
113	1	1:20574|4:286|5:716|6:172|7:430|8:57|9:57|12:220|45:1000	0
114	1	1:20834|4:290|5:725|6:174|7:435|8:58|9:57|12:220|45:1000	0
115	1	1:21096|4:293|5:734|6:176|7:440|8:58|9:58|12:220|45:1000	0
116	1	1:21358|4:297|5:742|6:178|7:445|8:59|9:58|12:220|45:1000	0
117	1	1:21622|4:300|5:751|6:180|7:451|8:59|9:59|12:220|45:1000	0
118	1	1:21886|4:304|5:760|6:182|7:456|8:60|9:59|12:220|45:1000	0
119	1	1:22152|4:307|5:769|6:184|7:461|8:60|9:60|12:220|45:1000	0
120	1	1:22419|4:311|5:778|6:186|7:466|8:61|9:60|12:220|45:1000	0
121	1	1:22686|4:314|5:787|6:188|7:472|8:61|9:61|12:220|45:1000	0
122	1	1:22955|4:318|5:796|6:191|7:477|8:62|9:61|12:220|45:1000	0
123	1	1:23225|4:321|5:804|6:193|7:482|8:62|9:62|12:220|45:1000	0
124	1	1:23496|4:325|5:814|6:195|7:488|8:63|9:62|12:220|45:1000	0
125	1	1:23769|4:329|5:823|6:197|7:493|8:63|9:63|12:220|45:1000	0
126	1	1:24042|4:332|5:832|6:199|7:499|8:64|9:63|12:220|45:1000	0
127	1	1:24316|4:336|5:841|6:201|7:504|8:64|9:64|12:220|45:1000	0
128	1	1:24591|4:340|5:850|6:204|7:510|8:65|9:64|12:220|45:1000	0
129	1	1:24868|4:343|5:859|6:206|7:515|8:65|9:65|12:220|45:1000	0
130	1	1:25145|4:347|5:868|6:208|7:521|8:66|9:65|12:220|45:1000	0
131	1	1:25424|4:351|5:878|6:210|7:526|8:66|9:66|12:220|45:1000	0
132	1	1:25703|4:354|5:887|6:212|7:532|8:67|9:66|12:220|45:1000	0
133	1	1:25984|4:358|5:896|6:215|7:537|8:67|9:67|12:220|45:1000	0
134	1	1:26265|4:362|5:905|6:217|7:543|8:68|9:67|12:220|45:1000	0
135	1	1:26548|4:366|5:915|6:219|7:549|8:68|9:68|12:220|45:1000	0
136	1	1:26832|4:369|5:924|6:221|7:554|8:69|9:68|12:220|45:1000	0
137	1	1:27116|4:373|5:934|6:224|7:560|8:69|9:69|12:220|45:1000	0
138	1	1:27402|4:377|5:943|6:226|7:566|8:70|9:69|12:220|45:1000	0
139	1	1:27689|4:381|5:953|6:228|7:571|8:70|9:70|12:220|45:1000	0
140	1	1:27976|4:385|5:962|6:231|7:577|8:71|9:70|12:220|45:1000	0
141	1	1:28265|4:388|5:972|6:233|7:583|8:71|9:71|12:220|45:1000	0
142	1	1:28555|4:392|5:982|6:235|7:589|8:72|9:71|12:220|45:1000	0
143	1	1:28846|4:396|5:991|6:238|7:595|8:72|9:72|12:220|45:1000	0
144	1	1:29137|4:400|5:1001|6:240|7:600|8:73|9:72|12:220|45:1000	0
145	1	1:29430|4:404|5:1011|6:242|7:606|8:73|9:73|12:220|45:1000	0
146	1	1:29724|4:408|5:1020|6:245|7:612|8:74|9:73|12:220|45:1000	0
147	1	1:30018|4:412|5:1030|6:247|7:618|8:74|9:74|12:220|45:1000	0
148	1	1:30314|4:416|5:1040|6:249|7:624|8:75|9:74|12:220|45:1000	0
149	1	1:30611|4:420|5:1050|6:252|7:630|8:75|9:75|12:220|45:1000	0
150	1	1:30908|4:424|5:1060|6:254|7:636|8:76|9:75|12:220|45:1000	0
151	1	1:31207|4:428|5:1070|6:256|7:642|8:76|9:76|12:220|45:1000	0
152	1	1:31507|4:432|5:1080|6:259|7:648|8:77|9:76|12:220|45:1000	0
153	1	1:31807|4:436|5:1090|6:261|7:654|8:77|9:77|12:220|45:1000	0
154	1	1:32109|4:440|5:1100|6:264|7:660|8:78|9:77|12:220|45:1000	0
155	1	1:32411|4:444|5:1110|6:266|7:666|8:78|9:78|12:220|45:1000	0
156	1	1:32715|4:448|5:1120|6:268|7:672|8:79|9:78|12:220|45:1000	0
157	1	1:33019|4:452|5:1130|6:271|7:678|8:79|9:79|12:220|45:1000	0
158	1	1:33324|4:456|5:1140|6:273|7:684|8:80|9:79|12:220|45:1000	0
159	1	1:33631|4:460|5:1150|6:276|7:690|8:80|9:80|12:220|45:1000	0
160	1	1:33938|4:464|5:1160|6:278|7:696|8:81|9:80|12:220|45:1000	0
161	1	1:34246|4:468|5:1171|6:281|7:702|8:81|9:81|12:220|45:1000	0
162	1	1:34555|4:472|5:1181|6:283|7:708|8:82|9:81|12:220|45:1000	0
163	1	1:34865|4:476|5:1191|6:286|7:715|8:82|9:82|12:220|45:1000	0
164	1	1:35176|4:480|5:1202|6:288|7:721|8:83|9:82|12:220|45:1000	0
165	1	1:35488|4:484|5:1212|6:290|7:727|8:83|9:83|12:220|45:1000	0
166	1	1:35801|4:489|5:1222|6:293|7:733|8:84|9:83|12:220|45:1000	0
167	1	1:36115|4:493|5:1233|6:295|7:739|8:84|9:84|12:220|45:1000	0
168	1	1:36430|4:497|5:1243|6:298|7:746|8:85|9:84|12:220|45:1000	0
169	1	1:36745|4:501|5:1254|6:300|7:752|8:85|9:85|12:220|45:1000	0
170	1	1:37062|4:505|5:1264|6:303|7:758|8:86|9:85|12:220|45:1000	0
171	1	1:37379|4:510|5:1275|6:306|7:765|8:86|9:86|12:220|45:1000	0
172	1	1:37698|4:514|5:1285|6:308|7:771|8:87|9:86|12:220|45:1000	0
173	1	1:38017|4:518|5:1296|6:311|7:777|8:87|9:87|12:220|45:1000	0
174	1	1:38337|4:522|5:1307|6:313|7:784|8:88|9:87|12:220|45:1000	0
175	1	1:38658|4:527|5:1317|6:316|7:790|8:88|9:88|12:220|45:1000	0
176	1	1:38980|4:531|5:1328|6:318|7:797|8:89|9:88|12:220|45:1000	0
177	1	1:39303|4:535|5:1339|6:321|7:803|8:89|9:89|12:220|45:1000	0
178	1	1:39627|4:539|5:1349|6:323|7:809|8:90|9:89|12:220|45:1000	0
179	1	1:39952|4:544|5:1360|6:326|7:816|8:90|9:90|12:220|45:1000	0
180	1	1:40277|4:548|5:1371|6:329|7:822|8:91|9:90|12:220|45:1000	0
181	1	1:40604|4:552|5:1382|6:331|7:829|8:91|9:91|12:220|45:1000	0
182	1	1:40931|4:557|5:1393|6:334|7:835|8:92|9:91|12:220|45:1000	0
183	1	1:41259|4:561|5:1404|6:336|7:842|8:92|9:92|12:220|45:1000	0
184	1	1:41589|4:566|5:1415|6:339|7:849|8:93|9:92|12:220|45:1000	0
185	1	1:41919|4:570|5:1426|6:342|7:855|8:93|9:93|12:220|45:1000	0
186	1	1:42250|4:574|5:1437|6:344|7:862|8:94|9:93|12:220|45:1000	0
187	1	1:42581|4:579|5:1448|6:347|7:868|8:94|9:94|12:220|45:1000	0
188	1	1:42914|4:583|5:1459|6:350|7:875|8:95|9:94|12:220|45:1000	0
189	1	1:43247|4:588|5:1470|6:352|7:882|8:95|9:95|12:220|45:1000	0
190	1	1:43582|4:592|5:1481|6:355|7:888|8:96|9:95|12:220|45:1000	0
191	1	1:43917|4:596|5:1492|6:358|7:895|8:96|9:96|12:220|45:1000	0
192	1	1:44253|4:601|5:1503|6:360|7:902|8:97|9:96|12:220|45:1000	0
193	1	1:44590|4:605|5:1514|6:363|7:908|8:97|9:97|12:220|45:1000	0
194	1	1:44928|4:610|5:1526|6:366|7:915|8:98|9:97|12:220|45:1000	0
195	1	1:45267|4:614|5:1537|6:368|7:922|8:98|9:98|12:220|45:1000	0
196	1	1:45606|4:619|5:1548|6:371|7:929|8:99|9:98|12:220|45:1000	0
197	1	1:45947|4:623|5:1559|6:374|7:935|8:99|9:99|12:220|45:1000	0
198	1	1:46288|4:628|5:1571|6:377|7:942|8:100|9:99|12:220|45:1000	0
199	1	1:46630|4:633|5:1582|6:379|7:949|8:100|9:100|12:220|45:1000	0
200	1	1:46973|4:637|5:1593|6:382|7:956|8:101|9:100|12:220|45:1000	0
201	1	1:47317|4:642|5:1605|6:385|7:963|8:101|9:101|12:220|45:1000	0
202	1	1:47662|4:646|5:1616|6:388|7:970|8:102|9:101|12:220|45:1000	0
203	1	1:48007|4:651|5:1628|6:390|7:976|8:102|9:102|12:220|45:1000	0
204	1	1:48354|4:655|5:1639|6:393|7:983|8:103|9:102|12:220|45:1000	0
205	1	1:48701|4:660|5:1651|6:396|7:990|8:103|9:103|12:220|45:1000	0
206	1	1:49049|4:665|5:1662|6:399|7:997|8:104|9:103|12:220|45:1000	0
207	1	1:49398|4:669|5:1674|6:401|7:1004|8:104|9:104|12:220|45:1000	0
208	1	1:49747|4:674|5:1686|6:404|7:1011|8:105|9:104|12:220|45:1000	0
209	1	1:50098|4:679|5:1697|6:407|7:1018|8:105|9:105|12:220|45:1000	0
210	1	1:50449|4:683|5:1709|6:410|7:1025|8:106|9:105|12:220|45:1000	0
211	1	1:50801|4:688|5:1721|6:413|7:1032|8:106|9:106|12:220|45:1000	0
212	1	1:51154|4:693|5:1732|6:415|7:1039|8:107|9:106|12:220|45:1000	0
213	1	1:51508|4:697|5:1744|6:418|7:1046|8:107|9:107|12:220|45:1000	0
214	1	1:51863|4:702|5:1756|6:421|7:1053|8:108|9:107|12:220|45:1000	0
215	1	1:52218|4:707|5:1768|6:424|7:1060|8:108|9:108|12:220|45:1000	0
216	1	1:52575|4:712|5:1780|6:427|7:1068|8:109|9:108|12:220|45:1000	0
217	1	1:52932|4:716|5:1791|6:430|7:1075|8:109|9:109|12:220|45:1000	0
218	1	1:53290|4:721|5:1803|6:432|7:1082|8:110|9:109|12:220|45:1000	0
219	1	1:53648|4:726|5:1815|6:435|7:1089|8:110|9:110|12:220|45:1000	0
220	1	1:54008|4:731|5:1827|6:438|7:1096|8:111|9:110|12:220|45:1000	0
221	1	1:54368|4:735|5:1839|6:441|7:1103|8:111|9:111|12:220|45:1000	0
222	1	1:54729|4:740|5:1851|6:444|7:1110|8:112|9:111|12:220|45:1000	0
223	1	1:55091|4:745|5:1863|6:447|7:1118|8:112|9:112|12:220|45:1000	0
224	1	1:55454|4:750|5:1875|6:450|7:1125|8:113|9:112|12:220|45:1000	0
225	1	1:55817|4:755|5:1887|6:453|7:1132|8:113|9:113|12:220|45:1000	0
226	1	1:56182|4:759|5:1899|6:455|7:1139|8:114|9:113|12:220|45:1000	0
227	1	1:56547|4:764|5:1912|6:458|7:1147|8:114|9:114|12:220|45:1000	0
228	1	1:56913|4:769|5:1924|6:461|7:1154|8:115|9:114|12:220|45:1000	0
229	1	1:57280|4:774|5:1936|6:464|7:1161|8:115|9:115|12:220|45:1000	0
230	1	1:57647|4:779|5:1948|6:467|7:1169|8:116|9:115|12:220|45:1000	0
231	1	1:58015|4:784|5:1960|6:470|7:1176|8:116|9:116|12:220|45:1000	0
232	1	1:58384|4:789|5:1973|6:473|7:1183|8:117|9:116|12:220|45:1000	0
233	1	1:58754|4:794|5:1985|6:476|7:1191|8:117|9:117|12:220|45:1000	0
234	1	1:59125|4:799|5:1997|6:479|7:1198|8:118|9:117|12:220|45:1000	0
235	1	1:59496|4:803|5:2009|6:482|7:1205|8:118|9:118|12:220|45:1000	0
236	1	1:59869|4:808|5:2022|6:485|7:1213|8:119|9:118|12:220|45:1000	0
237	1	1:60242|4:813|5:2034|6:488|7:1220|8:119|9:119|12:220|45:1000	0
238	1	1:60615|4:818|5:2047|6:491|7:1228|8:120|9:119|12:220|45:1000	0
239	1	1:60990|4:823|5:2059|6:494|7:1235|8:120|9:120|12:220|45:1000	0
240	1	1:61365|4:828|5:2072|6:497|7:1243|8:121|9:120|12:220|45:1000	0
241	1	1:61741|4:833|5:2084|6:500|7:1250|8:121|9:121|12:220|45:1000	0
242	1	1:62118|4:838|5:2097|6:503|7:1258|8:122|9:121|12:220|45:1000	0
243	1	1:62496|4:843|5:2109|6:506|7:1265|8:122|9:122|12:220|45:1000	0
244	1	1:62874|4:848|5:2122|6:509|7:1273|8:123|9:122|12:220|45:1000	0
245	1	1:63253|4:853|5:2134|6:512|7:1280|8:123|9:123|12:220|45:1000	0
246	1	1:63633|4:858|5:2147|6:515|7:1288|8:124|9:123|12:220|45:1000	0
247	1	1:64014|4:864|5:2160|6:518|7:1296|8:124|9:124|12:220|45:1000	0
248	1	1:64396|4:869|5:2172|6:521|7:1303|8:125|9:124|12:220|45:1000	0
249	1	1:64778|4:874|5:2185|6:524|7:1311|8:125|9:125|12:220|45:1000	0
250	1	1:65161|4:879|5:2198|6:527|7:1318|8:126|9:125|12:220|45:1000	0
251	1	1:65545|4:884|5:2210|6:530|7:1326|8:126|9:126|12:220|45:1000	0
252	1	1:65929|4:889|5:2223|6:533|7:1334|8:127|9:126|12:220|45:1000	0
253	1	1:66314|4:894|5:2236|6:536|7:1341|8:127|9:127|12:220|45:1000	0
254	1	1:66700|4:899|5:2249|6:539|7:1349|8:128|9:127|12:220|45:1000	0
255	1	1:67087|4:904|5:2262|6:542|7:1357|8:128|9:128|12:220|45:1000	0
256	1	1:67475|4:910|5:2275|6:546|7:1365|8:129|9:128|12:220|45:1000	0
257	1	1:67863|4:915|5:2287|6:549|7:1372|8:129|9:129|12:220|45:1000	0
258	1	1:68252|4:920|5:2300|6:552|7:1380|8:130|9:129|12:220|45:1000	0
259	1	1:68642|4:925|5:2313|6:555|7:1388|8:130|9:130|12:220|45:1000	0
260	1	1:69032|4:930|5:2326|6:558|7:1396|8:131|9:130|12:220|45:1000	0
261	1	1:69423|4:935|5:2339|6:561|7:1403|8:131|9:131|12:220|45:1000	0
262	1	1:69815|4:941|5:2352|6:564|7:1411|8:132|9:131|12:220|45:1000	0
263	1	1:70208|4:946|5:2365|6:567|7:1419|8:132|9:132|12:220|45:1000	0
264	1	1:70602|4:951|5:2378|6:570|7:1427|8:133|9:132|12:220|45:1000	0
265	1	1:70996|4:956|5:2392|6:574|7:1435|8:133|9:133|12:220|45:1000	0
266	1	1:71391|4:962|5:2405|6:577|7:1443|8:134|9:133|12:220|45:1000	0
267	1	1:71786|4:967|5:2418|6:580|7:1450|8:134|9:134|12:220|45:1000	0
268	1	1:72183|4:972|5:2431|6:583|7:1458|8:135|9:134|12:220|45:1000	0
269	1	1:72580|4:977|5:2444|6:586|7:1466|8:135|9:135|12:220|45:1000	0
270	1	1:72978|4:983|5:2457|6:589|7:1474|8:136|9:135|12:220|45:1000	0
271	1	1:73376|4:988|5:2471|6:593|7:1482|8:136|9:136|12:220|45:1000	0
272	1	1:73776|4:993|5:2484|6:596|7:1490|8:137|9:136|12:220|45:1000	0
273	1	1:74176|4:999|5:2497|6:599|7:1498|8:137|9:137|12:220|45:1000	0
274	1	1:74577|4:1004|5:2510|6:602|7:1506|8:138|9:137|12:220|45:1000	0
275	1	1:74978|4:1009|5:2524|6:605|7:1514|8:138|9:138|12:220|45:1000	0
276	1	1:75380|4:1015|5:2537|6:609|7:1522|8:139|9:138|12:220|45:1000	0
277	1	1:75783|4:1020|5:2551|6:612|7:1530|8:139|9:139|12:220|45:1000	0
278	1	1:76187|4:1025|5:2564|6:615|7:1538|8:140|9:139|12:220|45:1000	0
279	1	1:76591|4:1031|5:2577|6:618|7:1546|8:140|9:140|12:220|45:1000	0
280	1	1:76996|4:1036|5:2591|6:621|7:1554|8:141|9:140|12:220|45:1000	0
281	1	1:77402|4:1041|5:2604|6:625|7:1562|8:141|9:141|12:220|45:1000	0
282	1	1:77809|4:1047|5:2618|6:628|7:1571|8:142|9:141|12:220|45:1000	0
283	1	1:78216|4:1052|5:2631|6:631|7:1579|8:142|9:142|12:220|45:1000	0
284	1	1:78624|4:1058|5:2645|6:634|7:1587|8:143|9:142|12:220|45:1000	0
285	1	1:79033|4:1063|5:2659|6:638|7:1595|8:143|9:143|12:220|45:1000	0
286	1	1:79442|4:1069|5:2672|6:641|7:1603|8:144|9:143|12:220|45:1000	0
287	1	1:79852|4:1074|5:2686|6:644|7:1611|8:144|9:144|12:220|45:1000	0
288	1	1:80263|4:1079|5:2699|6:647|7:1619|8:145|9:144|12:220|45:1000	0
289	1	1:80674|4:1085|5:2713|6:651|7:1628|8:145|9:145|12:220|45:1000	0
290	1	1:81087|4:1090|5:2727|6:654|7:1636|8:146|9:145|12:220|45:1000	0
291	1	1:81499|4:1096|5:2740|6:657|7:1644|8:146|9:146|12:220|45:1000	0
292	1	1:81913|4:1101|5:2754|6:661|7:1652|8:147|9:146|12:220|45:1000	0
293	1	1:82327|4:1107|5:2768|6:664|7:1661|8:147|9:147|12:220|45:1000	0
294	1	1:82742|4:1112|5:2782|6:667|7:1669|8:148|9:147|12:220|45:1000	0
295	1	1:83158|4:1118|5:2796|6:671|7:1677|8:148|9:148|12:220|45:1000	0
296	1	1:83575|4:1123|5:2809|6:674|7:1685|8:149|9:148|12:220|45:1000	0
297	1	1:83992|4:1129|5:2823|6:677|7:1694|8:149|9:149|12:220|45:1000	0
298	1	1:84409|4:1135|5:2837|6:681|7:1702|8:150|9:149|12:220|45:1000	0
299	1	1:84828|4:1140|5:2851|6:684|7:1710|8:150|9:150|12:220|45:1000	0
300	1	1:85247|4:1146|5:2865|6:687|7:1719|8:151|9:150|12:220|45:1000	0
301	1	1:85667|4:1151|5:2879|6:691|7:1727|8:151|9:151|12:220|45:1000	0
302	1	1:86088|4:1157|5:2893|6:694|7:1736|8:152|9:151|12:220|45:1000	0
303	1	1:86509|4:1162|5:2907|6:697|7:1744|8:152|9:152|12:220|45:1000	0
304	1	1:86931|4:1168|5:2921|6:701|7:1752|8:153|9:152|12:220|45:1000	0
305	1	1:87354|4:1174|5:2935|6:704|7:1761|8:153|9:153|12:220|45:1000	0
306	1	1:87777|4:1179|5:2949|6:707|7:1769|8:154|9:153|12:220|45:1000	0
307	1	1:88201|4:1185|5:2963|6:711|7:1778|8:154|9:154|12:220|45:1000	0
308	1	1:88626|4:1191|5:2977|6:714|7:1786|8:155|9:154|12:220|45:1000	0
309	1	1:89051|4:1196|5:2991|6:718|7:1795|8:155|9:155|12:220|45:1000	0
310	1	1:89477|4:1202|5:3006|6:721|7:1803|8:156|9:155|12:220|45:1000	0
