INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT
35	34	10000	1	0	-1	0	1:187242|4:1389|5:4195|6:1389|7:4195	0	-1	1397000 	0 
35	35	10000	1	0	-1	0	1:203419|4:1510|5:4558|6:1510|7:4558	0	-1	1536000 	0 
35	36	10000	1	0	-1	0	1:220884|4:1640|5:4950|6:1640|7:4950	0	-1	1691000 	0 
35	37	10000	1	0	-1	0	1:239743|4:1781|5:5374|6:1781|7:5374	0	-1	1865000 	0 
35	38	10000	1	0	-1	0	1:260113|4:1933|5:5832|6:1933|7:5832	0	-1	2054000 	0 
35	39	10000	1	0	-1	0	1:282111|4:2097|5:6326|6:2097|7:6326	0	-1	2261000 	0 
35	40	10000	1	0	-1	0	1:305867|4:2275|5:6860|6:2275|7:6860	0	-1	2494000 	0 
35	41	10000	1	0	-1	0	1:331520|4:2467|5:7437|6:2467|7:7437	0	-1	2747000 	0 
35	42	10000	1	0	-1	0	1:359223|4:2674|5:8060|6:2674|7:8060	0	-1	3025000 	0 
35	43	10000	1	0	-1	0	1:389140|4:2898|5:8733|6:2898|7:8733	0	-1	3334000 	0 
35	44	10000	1	0	-1	0	1:421447|4:3140|5:9459|6:3140|7:9459	0	-1	3671000 	0 
35	45	10000	1	0	-1	0	1:456343|4:3401|5:10244|6:3401|7:10244	0	-1	4045000 	0 
35	46	10000	1	0	-1	0	1:494027|4:3683|5:11091|6:3683|7:11091	0	-1	4454000 	0 
35	47	10000	1	0	-1	0	1:534721|4:3988|5:12006|6:3988|7:12006	0	-1	4908000 	0 
35	48	10000	1	0	-1	0	1:578672|4:4317|5:12994|6:4317|7:12994	0	-1	5406000 	0 
35	49	10000	1	0	-1	0	1:626137|4:4672|5:14061|6:4672|7:14061	0	-1	5954000 	0 
35	50	-1	0	0	-1	0	1:677397|4:5056|5:15214|6:5056|7:15214	0	-1	6562000	0
36	0	10000	1	0	-1	0	1:0|4:0|5:0|6:0|7:0	0	-1	1000 	0 
36	1	10000	1	0	-1	0	1:1171|4:8|5:26|6:8|7:26	0	-1	52000 	0 
36	2	10000	1	0	-1	0	1:2436|4:17|5:54|6:17|7:54	0	-1	62000 	0 
36	3	10000	1	0	-1	0	1:3806|4:27|5:84|6:27|7:84	0	-1	68000 	0 
36	4	10000	1	0	-1	0	1:5281|4:38|5:117|6:38|7:117	0	-1	76000 	0 
36	5	10000	1	0	-1	0	1:6874|4:49|5:152|6:49|7:152	0	-1	82000 	0 
36	6	10000	1	0	-1	0	1:8595|4:61|5:190|6:61|7:190	0	-1	90000 	0 
36	7	10000	1	0	-1	0	1:10457|4:74|5:231|6:74|7:231	0	-1	100000 	0 
36	8	10000	1	0	-1	0	1:12471|4:89|5:276|6:89|7:276	0	-1	112000 	0 
36	9	10000	1	0	-1	0	1:14649|4:105|5:325|6:105|7:325	0	-1	123000 	0 
36	10	10000	1	0	-1	0	1:17003|4:122|5:377|6:122|7:377	0	-1	134000 	0 
36	11	10000	1	0	-1	0	1:19544|4:141|5:434|6:141|7:434	0	-1	150000 	0 
36	12	10000	1	0	-1	0	1:22285|4:161|5:495|6:161|7:495	0	-1	164000 	0 
36	13	10000	1	0	-1	0	1:25248|4:183|5:561|6:183|7:561	0	-1	181000 	0 
36	14	10000	1	0	-1	0	1:28445|4:206|5:632|6:206|7:632	0	-1	198000 	0 
36	15	10000	1	0	-1	0	1:31900|4:231|5:709|6:231|7:709	0	-1	219000 	0 
36	16	10000	1	0	-1	0	1:35636|4:259|5:793|6:259|7:793	0	-1	244000 	0 
36	17	10000	1	0	-1	0	1:39677|4:289|5:883|6:289|7:883	0	-1	267000 	0 
36	18	10000	1	0	-1	0	1:44046|4:321|5:981|6:321|7:981	0	-1	295000 	0 
36	19	10000	1	0	-1	0	1:48766|4:356|5:1087|6:356|7:1087	0	-1	326000 	0 
36	20	10000	1	0	-1	0	1:53861|4:394|5:1201|6:394|7:1201	0	-1	359000 	0 
36	21	10000	1	0	-1	0	1:59366|4:435|5:1324|6:435|7:1324	0	-1	395000 	0 
36	22	10000	1	0	-1	0	1:65316|4:479|5:1457|6:479|7:1457	0	-1	435000 	0 
36	23	10000	1	0	-1	0	1:71747|4:527|5:1601|6:527|7:1601	0	-1	481000 	0 
36	24	10000	1	0	-1	0	1:78693|4:579|5:1757|6:579|7:1757	0	-1	531000 	0 
36	25	10000	1	0	-1	0	1:86189|4:635|5:1925|6:635|7:1925	0	-1	584000 	0 
36	26	10000	1	0	-1	0	1:94283|4:695|5:2107|6:695|7:2107	0	-1	643000 	0 
36	27	10000	1	0	-1	0	1:103021|4:760|5:2303|6:760|7:2303	0	-1	708000 	0 
36	28	10000	1	0	-1	0	1:112462|4:830|5:2515|6:830|7:2515	0	-1	780000 	0 
36	29	10000	1	0	-1	0	1:122653|4:906|5:2744|6:906|7:2744	0	-1	860000 	0 
36	30	10000	1	0	-1	0	1:133664|4:988|5:2991|6:988|7:2991	0	-1	946000 	0 
36	31	10000	1	0	-1	0	1:145553|4:1077|5:3258|6:1077|7:3258	0	-1	1044000 	0 
36	32	10000	1	0	-1	0	1:158391|4:1173|5:3546|6:1173|7:3546	0	-1	1149000 	0 
36	33	10000	1	0	-1	0	1:172260|4:1277|5:3858|6:1277|7:3858	0	-1	1268000 	0 
36	34	10000	1	0	-1	0	1:187242|4:1389|5:4195|6:1389|7:4195	0	-1	1397000 	0 
36	35	10000	1	0	-1	0	1:203419|4:1510|5:4558|6:1510|7:4558	0	-1	1536000 	0 
36	36	10000	1	0	-1	0	1:220884|4:1640|5:4950|6:1640|7:4950	0	-1	1691000 	0 
36	37	10000	1	0	-1	0	1:239743|4:1781|5:5374|6:1781|7:5374	0	-1	1865000 	0 
36	38	10000	1	0	-1	0	1:260113|4:1933|5:5832|6:1933|7:5832	0	-1	2054000 	0 
36	39	10000	1	0	-1	0	1:282111|4:2097|5:6326|6:2097|7:6326	0	-1	2261000 	0 
36	40	10000	1	0	-1	0	1:305867|4:2275|5:6860|6:2275|7:6860	0	-1	2494000 	0 
36	41	10000	1	0	-1	0	1:331520|4:2467|5:7437|6:2467|7:7437	0	-1	2747000 	0 
36	42	10000	1	0	-1	0	1:359223|4:2674|5:8060|6:2674|7:8060	0	-1	3025000 	0 
36	43	10000	1	0	-1	0	1:389140|4:2898|5:8733|6:2898|7:8733	0	-1	3334000 	0 
36	44	10000	1	0	-1	0	1:421447|4:3140|5:9459|6:3140|7:9459	0	-1	3671000 	0 
36	45	10000	1	0	-1	0	1:456343|4:3401|5:10244|6:3401|7:10244	0	-1	4045000 	0 
36	46	10000	1	0	-1	0	1:494027|4:3683|5:11091|6:3683|7:11091	0	-1	4454000 	0 
36	47	10000	1	0	-1	0	1:534721|4:3988|5:12006|6:3988|7:12006	0	-1	4908000 	0 
36	48	10000	1	0	-1	0	1:578672|4:4317|5:12994|6:4317|7:12994	0	-1	5406000 	0 
36	49	10000	1	0	-1	0	1:626137|4:4672|5:14061|6:4672|7:14061	0	-1	5954000 	0 
36	50	-1	0	0	-1	0	1:677397|4:5056|5:15214|6:5056|7:15214	0	-1	6562000	0
37	0	10000	1	0	-1	0	1:0|4:0|5:0|6:0|7:0	0	-1	1000 	0 
37	1	10000	1	0	-1	0	1:1171|4:8|5:26|6:8|7:26	0	-1	52000 	0 
37	2	10000	1	0	-1	0	1:2436|4:17|5:54|6:17|7:54	0	-1	62000 	0 
37	3	10000	1	0	-1	0	1:3806|4:27|5:84|6:27|7:84	0	-1	68000 	0 
37	4	10000	1	0	-1	0	1:5281|4:38|5:117|6:38|7:117	0	-1	76000 	0 
37	5	10000	1	0	-1	0	1:6874|4:49|5:152|6:49|7:152	0	-1	82000 	0 
37	6	10000	1	0	-1	0	1:8595|4:61|5:190|6:61|7:190	0	-1	90000 	0 
37	7	10000	1	0	-1	0	1:10457|4:74|5:231|6:74|7:231	0	-1	100000 	0 
37	8	10000	1	0	-1	0	1:12471|4:89|5:276|6:89|7:276	0	-1	112000 	0 
37	9	10000	1	0	-1	0	1:14649|4:105|5:325|6:105|7:325	0	-1	123000 	0 
37	10	10000	1	0	-1	0	1:17003|4:122|5:377|6:122|7:377	0	-1	134000 	0 
37	11	10000	1	0	-1	0	1:19544|4:141|5:434|6:141|7:434	0	-1	150000 	0 
37	12	10000	1	0	-1	0	1:22285|4:161|5:495|6:161|7:495	0	-1	164000 	0 
37	13	10000	1	0	-1	0	1:25248|4:183|5:561|6:183|7:561	0	-1	181000 	0 
37	14	10000	1	0	-1	0	1:28445|4:206|5:632|6:206|7:632	0	-1	198000 	0 
37	15	10000	1	0	-1	0	1:31900|4:231|5:709|6:231|7:709	0	-1	219000 	0 
37	16	10000	1	0	-1	0	1:35636|4:259|5:793|6:259|7:793	0	-1	244000 	0 
37	17	10000	1	0	-1	0	1:39677|4:289|5:883|6:289|7:883	0	-1	267000 	0 
37	18	10000	1	0	-1	0	1:44046|4:321|5:981|6:321|7:981	0	-1	295000 	0 
37	19	10000	1	0	-1	0	1:48766|4:356|5:1087|6:356|7:1087	0	-1	326000 	0 
37	20	10000	1	0	-1	0	1:53861|4:394|5:1201|6:394|7:1201	0	-1	359000 	0 
37	21	10000	1	0	-1	0	1:59366|4:435|5:1324|6:435|7:1324	0	-1	395000 	0 
37	22	10000	1	0	-1	0	1:65316|4:479|5:1457|6:479|7:1457	0	-1	435000 	0 
37	23	10000	1	0	-1	0	1:71747|4:527|5:1601|6:527|7:1601	0	-1	481000 	0 
37	24	10000	1	0	-1	0	1:78693|4:579|5:1757|6:579|7:1757	0	-1	531000 	0 
37	25	10000	1	0	-1	0	1:86189|4:635|5:1925|6:635|7:1925	0	-1	584000 	0 
37	26	10000	1	0	-1	0	1:94283|4:695|5:2107|6:695|7:2107	0	-1	643000 	0 
37	27	10000	1	0	-1	0	1:103021|4:760|5:2303|6:760|7:2303	0	-1	708000 	0 
37	28	10000	1	0	-1	0	1:112462|4:830|5:2515|6:830|7:2515	0	-1	780000 	0 
37	29	10000	1	0	-1	0	1:122653|4:906|5:2744|6:906|7:2744	0	-1	860000 	0 
37	30	10000	1	0	-1	0	1:133664|4:988|5:2991|6:988|7:2991	0	-1	946000 	0 
37	31	10000	1	0	-1	0	1:145553|4:1077|5:3258|6:1077|7:3258	0	-1	1044000 	0 
37	32	10000	1	0	-1	0	1:158391|4:1173|5:3546|6:1173|7:3546	0	-1	1149000 	0 
37	33	10000	1	0	-1	0	1:172260|4:1277|5:3858|6:1277|7:3858	0	-1	1268000 	0 
37	34	10000	1	0	-1	0	1:187242|4:1389|5:4195|6:1389|7:4195	0	-1	1397000 	0 
37	35	10000	1	0	-1	0	1:203419|4:1510|5:4558|6:1510|7:4558	0	-1	1536000 	0 
37	36	10000	1	0	-1	0	1:220884|4:1640|5:4950|6:1640|7:4950	0	-1	1691000 	0 
37	37	10000	1	0	-1	0	1:239743|4:1781|5:5374|6:1781|7:5374	0	-1	1865000 	0 
37	38	10000	1	0	-1	0	1:260113|4:1933|5:5832|6:1933|7:5832	0	-1	2054000 	0 
37	39	10000	1	0	-1	0	1:282111|4:2097|5:6326|6:2097|7:6326	0	-1	2261000 	0 
37	40	10000	1	0	-1	0	1:305867|4:2275|5:6860|6:2275|7:6860	0	-1	2494000 	0 
37	41	10000	1	0	-1	0	1:331520|4:2467|5:7437|6:2467|7:7437	0	-1	2747000 	0 
37	42	10000	1	0	-1	0	1:359223|4:2674|5:8060|6:2674|7:8060	0	-1	3025000 	0 
37	43	10000	1	0	-1	0	1:389140|4:2898|5:8733|6:2898|7:8733	0	-1	3334000 	0 
37	44	10000	1	0	-1	0	1:421447|4:3140|5:9459|6:3140|7:9459	0	-1	3671000 	0 
37	45	10000	1	0	-1	0	1:456343|4:3401|5:10244|6:3401|7:10244	0	-1	4045000 	0 
37	46	10000	1	0	-1	0	1:494027|4:3683|5:11091|6:3683|7:11091	0	-1	4454000 	0 
37	47	10000	1	0	-1	0	1:534721|4:3988|5:12006|6:3988|7:12006	0	-1	4908000 	0 
37	48	10000	1	0	-1	0	1:578672|4:4317|5:12994|6:4317|7:12994	0	-1	5406000 	0 
37	49	10000	1	0	-1	0	1:626137|4:4672|5:14061|6:4672|7:14061	0	-1	5954000 	0 
37	50	-1	0	0	-1	0	1:677397|4:5056|5:15214|6:5056|7:15214	0	-1	6562000	0
38	0	10000	1	0	-1	0	1:0|4:0|5:0|6:0|7:0	0	-1	1000 	0 
38	1	10000	1	0	-1	0	1:1171|4:8|5:26|6:8|7:26	0	-1	52000 	0 
38	2	10000	1	0	-1	0	1:2436|4:17|5:54|6:17|7:54	0	-1	62000 	0 
38	3	10000	1	0	-1	0	1:3806|4:27|5:84|6:27|7:84	0	-1	68000 	0 
38	4	10000	1	0	-1	0	1:5281|4:38|5:117|6:38|7:117	0	-1	76000 	0 
38	5	10000	1	0	-1	0	1:6874|4:49|5:152|6:49|7:152	0	-1	82000 	0 
38	6	10000	1	0	-1	0	1:8595|4:61|5:190|6:61|7:190	0	-1	90000 	0 
38	7	10000	1	0	-1	0	1:10457|4:74|5:231|6:74|7:231	0	-1	100000 	0 
38	8	10000	1	0	-1	0	1:12471|4:89|5:276|6:89|7:276	0	-1	112000 	0 
38	9	10000	1	0	-1	0	1:14649|4:105|5:325|6:105|7:325	0	-1	123000 	0 
38	10	10000	1	0	-1	0	1:17003|4:122|5:377|6:122|7:377	0	-1	134000 	0 
38	11	10000	1	0	-1	0	1:19544|4:141|5:434|6:141|7:434	0	-1	150000 	0 
38	12	10000	1	0	-1	0	1:22285|4:161|5:495|6:161|7:495	0	-1	164000 	0 
38	13	10000	1	0	-1	0	1:25248|4:183|5:561|6:183|7:561	0	-1	181000 	0 
38	14	10000	1	0	-1	0	1:28445|4:206|5:632|6:206|7:632	0	-1	198000 	0 
38	15	10000	1	0	-1	0	1:31900|4:231|5:709|6:231|7:709	0	-1	219000 	0 
38	16	10000	1	0	-1	0	1:35636|4:259|5:793|6:259|7:793	0	-1	244000 	0 
38	17	10000	1	0	-1	0	1:39677|4:289|5:883|6:289|7:883	0	-1	267000 	0 
38	18	10000	1	0	-1	0	1:44046|4:321|5:981|6:321|7:981	0	-1	295000 	0 
38	19	10000	1	0	-1	0	1:48766|4:356|5:1087|6:356|7:1087	0	-1	326000 	0 
38	20	10000	1	0	-1	0	1:53861|4:394|5:1201|6:394|7:1201	0	-1	359000 	0 
38	21	10000	1	0	-1	0	1:59366|4:435|5:1324|6:435|7:1324	0	-1	395000 	0 
38	22	10000	1	0	-1	0	1:65316|4:479|5:1457|6:479|7:1457	0	-1	435000 	0 
38	23	10000	1	0	-1	0	1:71747|4:527|5:1601|6:527|7:1601	0	-1	481000 	0 
38	24	10000	1	0	-1	0	1:78693|4:579|5:1757|6:579|7:1757	0	-1	531000 	0 
38	25	10000	1	0	-1	0	1:86189|4:635|5:1925|6:635|7:1925	0	-1	584000 	0 
38	26	10000	1	0	-1	0	1:94283|4:695|5:2107|6:695|7:2107	0	-1	643000 	0 
38	27	10000	1	0	-1	0	1:103021|4:760|5:2303|6:760|7:2303	0	-1	708000 	0 
38	28	10000	1	0	-1	0	1:112462|4:830|5:2515|6:830|7:2515	0	-1	780000 	0 
38	29	10000	1	0	-1	0	1:122653|4:906|5:2744|6:906|7:2744	0	-1	860000 	0 
38	30	10000	1	0	-1	0	1:133664|4:988|5:2991|6:988|7:2991	0	-1	946000 	0 
38	31	10000	1	0	-1	0	1:145553|4:1077|5:3258|6:1077|7:3258	0	-1	1044000 	0 
38	32	10000	1	0	-1	0	1:158391|4:1173|5:3546|6:1173|7:3546	0	-1	1149000 	0 
38	33	10000	1	0	-1	0	1:172260|4:1277|5:3858|6:1277|7:3858	0	-1	1268000 	0 
38	34	10000	1	0	-1	0	1:187242|4:1389|5:4195|6:1389|7:4195	0	-1	1397000 	0 
38	35	10000	1	0	-1	0	1:203419|4:1510|5:4558|6:1510|7:4558	0	-1	1536000 	0 
38	36	10000	1	0	-1	0	1:220884|4:1640|5:4950|6:1640|7:4950	0	-1	1691000 	0 
38	37	10000	1	0	-1	0	1:239743|4:1781|5:5374|6:1781|7:5374	0	-1	1865000 	0 
38	38	10000	1	0	-1	0	1:260113|4:1933|5:5832|6:1933|7:5832	0	-1	2054000 	0 
38	39	10000	1	0	-1	0	1:282111|4:2097|5:6326|6:2097|7:6326	0	-1	2261000 	0 
38	40	10000	1	0	-1	0	1:305867|4:2275|5:6860|6:2275|7:6860	0	-1	2494000 	0 
38	41	10000	1	0	-1	0	1:331520|4:2467|5:7437|6:2467|7:7437	0	-1	2747000 	0 
38	42	10000	1	0	-1	0	1:359223|4:2674|5:8060|6:2674|7:8060	0	-1	3025000 	0 
38	43	10000	1	0	-1	0	1:389140|4:2898|5:8733|6:2898|7:8733	0	-1	3334000 	0 
38	44	10000	1	0	-1	0	1:421447|4:3140|5:9459|6:3140|7:9459	0	-1	3671000 	0 
38	45	10000	1	0	-1	0	1:456343|4:3401|5:10244|6:3401|7:10244	0	-1	4045000 	0 
38	46	10000	1	0	-1	0	1:494027|4:3683|5:11091|6:3683|7:11091	0	-1	4454000 	0 
38	47	10000	1	0	-1	0	1:534721|4:3988|5:12006|6:3988|7:12006	0	-1	4908000 	0 
38	48	10000	1	0	-1	0	1:578672|4:4317|5:12994|6:4317|7:12994	0	-1	5406000 	0 
38	49	10000	1	0	-1	0	1:626137|4:4672|5:14061|6:4672|7:14061	0	-1	5954000 	0 
38	50	-1	0	0	-1	0	1:677397|4:5056|5:15214|6:5056|7:15214	0	-1	6562000	0
39	0	10000	1	0	-1	0	1:0|4:0|5:0|6:0|7:0	0	-1	1000 	0 
39	1	10000	1	0	-1	0	1:1171|4:8|5:26|6:8|7:26	0	-1	52000 	0 
39	2	10000	1	0	-1	0	1:2436|4:17|5:54|6:17|7:54	0	-1	62000 	0 
39	3	10000	1	0	-1	0	1:3806|4:27|5:84|6:27|7:84	0	-1	68000 	0 
39	4	10000	1	0	-1	0	1:5281|4:38|5:117|6:38|7:117	0	-1	76000 	0 
39	5	10000	1	0	-1	0	1:6874|4:49|5:152|6:49|7:152	0	-1	82000 	0 
39	6	10000	1	0	-1	0	1:8595|4:61|5:190|6:61|7:190	0	-1	90000 	0 
39	7	10000	1	0	-1	0	1:10457|4:74|5:231|6:74|7:231	0	-1	100000 	0 
39	8	10000	1	0	-1	0	1:12471|4:89|5:276|6:89|7:276	0	-1	112000 	0 
39	9	10000	1	0	-1	0	1:14649|4:105|5:325|6:105|7:325	0	-1	123000 	0 
39	10	10000	1	0	-1	0	1:17003|4:122|5:377|6:122|7:377	0	-1	134000 	0 
39	11	10000	1	0	-1	0	1:19544|4:141|5:434|6:141|7:434	0	-1	150000 	0 
39	12	10000	1	0	-1	0	1:22285|4:161|5:495|6:161|7:495	0	-1	164000 	0 
39	13	10000	1	0	-1	0	1:25248|4:183|5:561|6:183|7:561	0	-1	181000 	0 
39	14	10000	1	0	-1	0	1:28445|4:206|5:632|6:206|7:632	0	-1	198000 	0 
39	15	10000	1	0	-1	0	1:31900|4:231|5:709|6:231|7:709	0	-1	219000 	0 
39	16	10000	1	0	-1	0	1:35636|4:259|5:793|6:259|7:793	0	-1	244000 	0 
39	17	10000	1	0	-1	0	1:39677|4:289|5:883|6:289|7:883	0	-1	267000 	0 
39	18	10000	1	0	-1	0	1:44046|4:321|5:981|6:321|7:981	0	-1	295000 	0 
39	19	10000	1	0	-1	0	1:48766|4:356|5:1087|6:356|7:1087	0	-1	326000 	0 
39	20	10000	1	0	-1	0	1:53861|4:394|5:1201|6:394|7:1201	0	-1	359000 	0 
39	21	10000	1	0	-1	0	1:59366|4:435|5:1324|6:435|7:1324	0	-1	395000 	0 
39	22	10000	1	0	-1	0	1:65316|4:479|5:1457|6:479|7:1457	0	-1	435000 	0 
39	23	10000	1	0	-1	0	1:71747|4:527|5:1601|6:527|7:1601	0	-1	481000 	0 
39	24	10000	1	0	-1	0	1:78693|4:579|5:1757|6:579|7:1757	0	-1	531000 	0 
39	25	10000	1	0	-1	0	1:86189|4:635|5:1925|6:635|7:1925	0	-1	584000 	0 
39	26	10000	1	0	-1	0	1:94283|4:695|5:2107|6:695|7:2107	0	-1	643000 	0 
39	27	10000	1	0	-1	0	1:103021|4:760|5:2303|6:760|7:2303	0	-1	708000 	0 
39	28	10000	1	0	-1	0	1:112462|4:830|5:2515|6:830|7:2515	0	-1	780000 	0 
39	29	10000	1	0	-1	0	1:122653|4:906|5:2744|6:906|7:2744	0	-1	860000 	0 
39	30	10000	1	0	-1	0	1:133664|4:988|5:2991|6:988|7:2991	0	-1	946000 	0 
39	31	10000	1	0	-1	0	1:145553|4:1077|5:3258|6:1077|7:3258	0	-1	1044000 	0 
39	32	10000	1	0	-1	0	1:158391|4:1173|5:3546|6:1173|7:3546	0	-1	1149000 	0 
39	33	10000	1	0	-1	0	1:172260|4:1277|5:3858|6:1277|7:3858	0	-1	1268000 	0 
39	34	10000	1	0	-1	0	1:187242|4:1389|5:4195|6:1389|7:4195	0	-1	1397000 	0 
39	35	10000	1	0	-1	0	1:203419|4:1510|5:4558|6:1510|7:4558	0	-1	1536000 	0 
39	36	10000	1	0	-1	0	1:220884|4:1640|5:4950|6:1640|7:4950	0	-1	1691000 	0 
39	37	10000	1	0	-1	0	1:239743|4:1781|5:5374|6:1781|7:5374	0	-1	1865000 	0 
39	38	10000	1	0	-1	0	1:260113|4:1933|5:5832|6:1933|7:5832	0	-1	2054000 	0 
39	39	10000	1	0	-1	0	1:282111|4:2097|5:6326|6:2097|7:6326	0	-1	2261000 	0 
39	40	10000	1	0	-1	0	1:305867|4:2275|5:6860|6:2275|7:6860	0	-1	2494000 	0 
39	41	10000	1	0	-1	0	1:331520|4:2467|5:7437|6:2467|7:7437	0	-1	2747000 	0 
39	42	10000	1	0	-1	0	1:359223|4:2674|5:8060|6:2674|7:8060	0	-1	3025000 	0 
39	43	10000	1	0	-1	0	1:389140|4:2898|5:8733|6:2898|7:8733	0	-1	3334000 	0 
39	44	10000	1	0	-1	0	1:421447|4:3140|5:9459|6:3140|7:9459	0	-1	3671000 	0 
39	45	10000	1	0	-1	0	1:456343|4:3401|5:10244|6:3401|7:10244	0	-1	4045000 	0 
39	46	10000	1	0	-1	0	1:494027|4:3683|5:11091|6:3683|7:11091	0	-1	4454000 	0 
39	47	10000	1	0	-1	0	1:534721|4:3988|5:12006|6:3988|7:12006	0	-1	4908000 	0 
39	48	10000	1	0	-1	0	1:578672|4:4317|5:12994|6:4317|7:12994	0	-1	5406000 	0 
39	49	10000	1	0	-1	0	1:626137|4:4672|5:14061|6:4672|7:14061	0	-1	5954000 	0 
39	50	-1	0	0	-1	0	1:677397|4:5056|5:15214|6:5056|7:15214	0	-1	6562000	0
0	0	10000	1	0	926:1:21	0	-1	0	-1	0 	0 
0	1	10000	1	0	926:1:32	0	-1	0	-1	0 	30 
0	2	10000	1	0	926:1:43	0	-1	0	-1	0 	60 
0	3	10000	1	0	926:1:54	0	-1	0	-1	0 	90 
0	4	10000	1	0	926:1:66	0	-1	0	-1	0 	120 
0	5	10000	1	0	926:1:78	0	-1	0	-1	0 	150 
0	6	10000	1	0	926:1:90	0	-1	0	-1	0 	180 
0	7	10000	1	0	926:1:103	0	-1	0	-1	0 	210 
0	8	10000	1	0	926:1:116	0	-1	0	-1	0 	240 
0	9	10000	1	0	926:1:129	0	-1	0	-1	0 	270 
0	10	10000	1	0	926:1:143	0	-1	0	-1	0 	300 
0	11	10000	1	0	926:1:156	0	-1	0	-1	0 	330 
0	12	10000	1	0	926:1:171	0	-1	0	-1	0 	360 
0	13	10000	1	0	926:1:185	0	-1	0	-1	0 	390 
0	14	10000	1	0	926:1:200	0	-1	0	-1	0 	420 
0	15	10000	1	0	926:1:215	0	-1	0	-1	0 	450 
0	16	10000	1	0	926:1:231	0	-1	0	-1	0 	480 
0	17	10000	1	0	926:1:247	0	-1	0	-1	0 	510 
0	18	10000	1	0	926:1:263	0	-1	0	-1	0 	540 
0	19	10000	1	0	926:1:280	0	-1	0	-1	0 	570 
0	20	10000	1	0	926:1:297	0	-1	0	-1	0 	600 
0	21	10000	1	0	926:1:315	0	-1	0	-1	0 	640 
