INT	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	STRING	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING	INT
1019	邪老	-1	-1	99	0	50039	113	42	1	0	0	0	我的背包中有三百卷画圈，你相信不。都是自己画的，有点羡慕毕加索，生前的画就已经登堂入室！	-1	344	npc106	gwdx01	4	阿克曼	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1020	方德天	-1	-1	99	0	50039	70	44	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	325	npc106	gwdx01	5	沃纳	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1021	萨而谦	-1	-1	99	0	50039	45	71	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	316	npc106	gwdx01	6	莉达	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1022	范铭	-1	-1	99	0	50039	28	44	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	322	npc106	gwdx01	7	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1023	孙志	-1	-1	99	0	50095	99	91	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	323	npc106	gwdx01	1	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1024	朱义群	-1	-1	99	0	50095	68	55	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	324	npc106	gwdx01	2	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1025	秦生	-1	-1	99	0	50095	93	30	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	325	npc106	gwdx01	3	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1026	庞辉	-1	-1	99	0	50095	42	38	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	326	npc106	gwdx01	4	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1027	刘铭	-1	-1	99	0	50095	33	10	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	327	npc106	gwdx01	5	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1028	马思源	-1	-1	99	0	50095	37	82	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	328	npc106	gwdx01	6	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1029	宋仲	-1	-1	99	0	50095	59	112	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	331	npc106	gwdx01	7	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1033	赏金猎人	-1	NpcTitle_3	99	0	50001	131	138	1	1083	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	332	npc106	gwdx01	1	赏金任务使者	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
1034	金不换	-1	NpcTitle_4	99	0	50001	88	94	1	1084	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	302	npc106	gwdx01	1	回收任务使者	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
1036	舞娘	极限挑战1层	-1	99	0	50041	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1037	舞娘	极限挑战2层	-1	99	0	50043	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1038	舞娘	极限挑战3层	-1	99	0	50044	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1039	舞娘	极限挑战4层	-1	99	0	50045	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1040	舞娘	极限挑战5层	-1	99	0	50046	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1041	舞娘	极限挑战6层	-1	99	0	50047	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1042	舞娘	极限挑战7层	-1	99	0	50048	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1043	舞娘	极限挑战8层	-1	99	0	50049	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1044	舞娘	极限挑战9层	-1	99	0	50050	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1045	李老头	-1	-1	99	0	50039	27	15	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	332	npc106	gwdx01	3	托兰	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1046	宋宣	-1	-1	99	0	50001	74	124	1	0	0	0	一杯敬故乡，一杯敬远方。守着我的善良，催着我成长。	-1	325	npc106	gwdx01	3	尼雅	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1047	铸剑大师	-1	-1	99	0	50001	91	147	1	0	0	0	我手中打过多少把剑，我已记不清了。但是我仍旧要打出最强的一把剑，哪怕需要融合我的灵魂。	-1	342	npc106	gwdx01	3	胡克	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1048	陈烽	-1	-1	99	0	50001	37	129	1	0	0	0	我的背包中有三百卷画圈，你相信不。都是自己画的，有点羡慕毕加索，生前的画就已经登堂入室！	-1	331	npc106	gwdx01	3	古德	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1049	杨帆	-1	-1	99	0	50040	37	90	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	329	npc106	gwdx01	1	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1050	浣碧	-1	-1	99	0	50040	35	68	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	333	npc106	gwdx01	2	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1051	鬼老头	-1	-1	99	0	50040	15	46	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	344	npc106	gwdx01	3	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1052	顾聪	-1	-1	99	0	50040	56	71	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	313	npc106	gwdx01	4	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1053	刘铭	-1	-1	99	0	50040	99	88	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	311	npc106	gwdx01	5	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1054	马思源	-1	-1	99	0	50040	98	48	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	310	npc106	gwdx01	6	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1055	小朱	-1	-1	99	0	50040	77	28	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	320	npc106	gwdx01	7	汉萨	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1060	总镖头	-1	NpcTitle_5	99	0	50001	155	51	1	1087	1	0	0	-1	309	npc106	gwdx01	3	押镖使者	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
1061	副镖头	-1	NpcTitle_6	99	0	50040	102	18	1	1088	1	0	0	-1	310	npc106	gwdx01	4	交镖使者	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
1062	星脉地图	-1	NpcTitle_44	99	0	50001	109	127	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	362	npc106	gwdx01	1	星脉地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1063	星脉地图	-1	NpcTitle_44	99	0	50096	45	29	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	362	npc106	gwdx01	1	星脉地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1064	星脉地图	-1	NpcTitle_44	99	0	50097	51	33	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	362	npc106	gwdx01	1	星脉地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1065	星脉地图	-1	NpcTitle_44	99	0	50156	46	36	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	362	npc106	gwdx01	1	星脉地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1066	星脉地图	-1	NpcTitle_44	99	0				1	0	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	362	npc106	gwdx01	1	星脉地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1067	守护地图	-1	NpcTitle_43	99	0	50001	105	130	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	368	npc106	gwdx01	1	守护地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1068	守护地图	-1	NpcTitle_43	99	0	50096	47	32	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	368	npc106	gwdx01	1	守护地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1069	守护地图	-1	NpcTitle_43	99	0	50097	51	39	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	368	npc106	gwdx01	1	守护地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1070	守护地图	-1	NpcTitle_43	99	0	50156	43	39	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	368	npc106	gwdx01	1	守护地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1071	爵位地图	-1	NpcTitle_42	99	0	50001	101	133	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	364	npc106	gwdx01	1	爵位地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1072	爵位地图	-1	NpcTitle_42	99	0	50096	48	37	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	364	npc106	gwdx01	1	爵位地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1073	爵位地图	-1	NpcTitle_42	99	0	50097	51	45	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	364	npc106	gwdx01	1	爵位地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1074	爵位地图	-1	NpcTitle_42	99	0	50156	40	42	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	364	npc106	gwdx01	1	爵位地图	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1075	仓库管理员	-1	NpcTitle_7	99	0	50001	113	116	1	1089	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	344	npc106	gwdx01	1	仓库管理员	仓库	-1	3	0	20	0	-1	-1	0	0	-1	4
1076	奇奇	-1	NpcTitle_8	99	0	50001	97	135	1	1091	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	225	npc106	gwdx01	1	元宝回收使者	回收	-1	3	0	20	0	-1	-1	0	0	-1	4
1077	条条	-1	NpcTitle_9	99	0	50001	97	101	1	1090	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	337	npc106	gwdx01	1	钻石回收使者	钻石回收	-1	3	0	40	0	-1	-1	0	0	-1	4
1078	守护地图	-1	NpcTitle_43	99	0	50168	48	44	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	368	npc106	gwdx01	1	守护地图	-1	-1	3	0	20	0	-1	-1	0	-1	-1	2
1079	困惑魔殿	-1	NpcTitle_10	99	0	50001	91	104	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	357	npc106	gwdx01	1	困惑魔殿	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1080	魔源峰谷	-1	NpcTitle_11	99	0	50001	88	107	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	357	npc106	gwdx01	1	魔源峰谷	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1081	绝情海岛	-1	NpcTitle_12	99	0	50001	85	110	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	357	npc106	gwdx01	1	绝情海岛	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1082	幽冥地宫	-1	NpcTitle_13	99	0	50001	82	113	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	357	npc106	gwdx01	1	幽冥地宫	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1083	魔界一层	-1	NpcTitle_14	99	0	50001	81	123	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	358	npc106	gwdx01	1	魔界一层	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1084	特权副本	-1	NpcTitle_15	99	0	-1	40	97	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	232	npc106	gwdx01	1	特权副本	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1085	地下宫殿	-1	NpcTitle_16	99	0	50001	112	124	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	361	npc106	gwdx01	1	地下宫殿	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1086	地下宫殿	-1	NpcTitle_16	99	0	50096	46	41	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	361	npc106	gwdx01	1	地下宫殿	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1087	地下宫殿	-1	NpcTitle_16	99	0	50097	51	51	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	361	npc107	gwdx02	1	地下宫殿	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1088	地下宫殿	-1	NpcTitle_16	99	0	50156	37	45	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	361	npc107	gwdx02	1	地下宫殿	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1089	地下宫殿	-1	NpcTitle_16	99	0	50168	54	39	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	361	npc107	gwdx02	1	地下宫殿	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1090	冰峰雪域	-1	NpcTitle_17	99	0	50001	87	129	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	366	npc106	gwdx01	1	冰峰雪域	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1091	烈焰战场	-1	NpcTitle_17	99	0	50001	90	132	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	360	npc106	gwdx01	1	烈焰战场	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1092	镜霖	-1	-1	99	0	50001	138	134	1	0	0	0	有时候命运很爱捉弄人，而我只是想守一个喜欢的人而已。	-1	322	npc106	gwdx01	3	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1093	剑雨生	-1	NpcTitle_18	99	0	50001	151	114	1	1059	0	0	那是一个风雨交加的夜晚，而我却只能屈居第二。悲哉悲哉！！！	-1	322	npc106	gwdx01	3	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1094	天无痕	-1	-1	99	0	50001	108	76	1	0	0	0	别人经常叫我天爷，而我更喜欢别人叫我无痕剑客。而圣妖世界里，最让人害怕的名字其实是“炼狱刀狂”。其实我已经很久不用刀了！	-1	308	npc106	gwdx01	3	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1095	周倩	-1	-1	99	0	50106	206	66	1	0	0	0	面朝大海，春暖花开。未有他人伴，不知哪人是否过的可好。	-1	314	npc106	gwdx01	4	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1096	醉晓生	-1	-1	99	0	50106	181	43	1	0	0	0	他们都以为我整天醉醺醺的，其实我才是最清醒。你去帮她问问看到底为何，不过不要直接找他。	-1	317	npc106	gwdx01	5	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1097	贵族	-1	-1	99	0	50106	156	69	1	0	0	0	单身贵族最精神，我什么都不知道。知道了也不会说，听说他经常在圣坛附近出没。	-1	319	npc106	gwdx01	6	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1098	朱开	-1	-1	99	0	50106	150	120	1	0	0	0	可能我是入了魔咒，可能我命犯天煞孤星。当初把她赶走，到底是对是错！	-1	332	npc106	gwdx01	7	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1099	拓跋虹	-1	-1	99	0	50107	108	116	1	0	0	0	刁萌任性！我生了孩子，我最大，你就得听我的。	-1	340	npc106	gwdx01	4	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1100	塞冥	-1	-1	99	0	50105	162	102	1	0	0	0	你知道吗，曾经不可一世的拓跋王，现在整天都在换尿布。哈哈哈哈哈	-1	330	npc106	gwdx01	5	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1101	舟可	-1	-1	99	0	50105	142	65	1	0	0	0	水至清则无鱼，人至察则无徒。何为不惑，年轻人总是迷失在不惑上面。	-1	328	npc106	gwdx01	6	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1102	拓跋永庆	-1	-1	99	0	50105	203	27	1	0	0	0	生死有命，富贵在天。出来混的最重要是要讲信用！	-1	312	npc106	gwdx01	7	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1103	廉狂	-1	NpcTitle_19	99	0	50001	154	111	1	1092	0	0	那是一个风雨交加的夜晚，而我却只能屈居第二。悲哉悲哉！！！	-1	311	npc106	gwdx01	3	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1104	欧阳笑笑	-1	NpcTitle_20	99	0	50001	141	108	1	1057	0	0	那是一个风雨交加的夜晚，而我却只能屈居第二。悲哉悲哉！！！	-1	313	npc106	gwdx01	3	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1105	皇城守卫	-1	-1	99	0	50129	38	9	1	1094	0	0	那是一个风雨交加的夜晚，而我却只能屈居第二。悲哉悲哉！！！	-1	322	npc106	gwdx01	3	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1106	圣域战场	-1	NpcTitle_21	99	0	50001	84	126	1	1055	0	0	那是一个风雨交加的夜晚，而我却只能屈居第二。悲哉悲哉！！！	-1	359	npc106	gwdx01	3	圣域战场	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1107	兑换使者	-1	NpcTitle_22	99	0	50096	55	44	1	1093	0	0	生死有命，富贵在天。出来混的最重要是要讲信用！	-1	328	npc106	gwdx01	3	圣妖币兑换	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
1108	舞娘	极限挑战10层	-1	99	0	50051	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1109	舞娘	极限挑战11层	-1	99	0	50135	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1110	舞娘	极限挑战12层	-1	99	0	50136	89	65	1	1086	1	0	别理我，我想静静	-1	307	npc106	gwdx01	1	一生全靠浪	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1111	罪恶之地	-1	NpcTitle_46	99	0	50001	94	101	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	357	npc106	gwdx01	1	罪恶之地	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1112	魔界二层	-1	NpcTitle_14	99	0	50096	32	41	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	358	npc106	gwdx01	1	魔界二层	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1113	魔界三层	-1	NpcTitle_14	99	0	50097	31	33	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	358	npc106	gwdx01	1	魔界三层	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1114	魔界四层	-1	NpcTitle_14	99	0	50156	21	38	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	358	npc106	gwdx01	1	魔界四层	-1	-1	3	0	20	0	-1	-1	0	1	-1	2
1115	游侠	-1	NpcTitle_48	99	0	50096	22	33	1	1095	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	338	npc106	gwdx01	1	幸运值使者	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
1116	异界使者	-1	NpcTitle_49	99	0	50096	25	33	1	1096	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	333	npc126	gwdx01	1	异界使者	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
1117	赌神	-1	-1	99	0		21	31	1	1097	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	326	npc126	gwdx01	1	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1118	周倩	-1	-1	99	0	50074	44	121	1	0	1	0	刀呢，我的开山大砍刀呢。等下又可以做一票了！	-1	334	npc106	gwdx01	6	-1	-1	-1	3	0	20	0	-1	-1	0	-1	-1	4
1119	降魔道人	-1	NpcTitle_50	99	0	50001	80	91	1	1098	0	0	有时候命运很爱捉弄人，而我只是想守一个喜欢的人而已。	-1	233	npc106	gwdx01	1	降魔道人	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
1120	试炼道人	-1	NpcTitle_51	99	0	50001	63	134	1	1099	1	0	刀呢，我的开山大砍刀呢。等下又可以做一票了！	-1	311	npc126	gwdx01	1	试炼道人	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
1121	神秘商人	-1	NpcTitle_54	99	0	50096	43	44	1	1100	1	0	刀呢，我的开山大砍刀呢。等下又可以做一票了！	-1	238	npc106	gwdx01	1	神秘商人	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
1122	神秘商人	-1	NpcTitle_54	99	0	50097	47	51	1	1100	1	0	刀呢，我的开山大砍刀呢。等下又可以做一票了！	-1	238	npc106	gwdx01	1	神秘商人	-1	-1	3	0	20	0	-1	-1	0	0	-1	4
