INT	INT	STRING	INT
1	12	10372:2:1:0:417|10373:2:1:0:417|10374:2:1:0:417|10375:2:1:0:417|10377:2:1:0:417|10378:2:1:0:417|10379:2:1:0:417|10380:2:1:0:417|10382:2:1:0:417|10383:2:1:0:417|10384:2:1:0:417|10385:2:1:0:417|10387:2:1:0:417|10388:2:1:0:417|10389:2:1:0:417|10390:2:1:0:417|10392:2:1:0:416|10393:2:1:0:416|10394:2:1:0:416|10395:2:1:0:416|10397:2:1:0:416|10398:2:1:0:416|10399:2:1:0:416|10400:2:1:0:416	1000
1	13	10382:2:1:0:625|10383:2:1:0:625|10384:2:1:0:625|10385:2:1:0:625|10387:2:1:0:625|10388:2:1:0:625|10389:2:1:0:625|10390:2:1:0:625|10392:2:1:0:625|10393:2:1:0:625|10394:2:1:0:625|10395:2:1:0:625|10397:2:1:0:625|10398:2:1:0:625|10399:2:1:0:625|10400:2:1:0:625	1000
1	14	10392:2:1:0:625|10393:2:1:0:625|10394:2:1:0:625|10395:2:1:0:625|10397:2:1:0:625|10398:2:1:0:625|10399:2:1:0:625|10400:2:1:0:625|10402:2:1:0:625|10403:2:1:0:625|10404:2:1:0:625|10405:2:1:0:625|10407:2:1:0:625|10408:2:1:0:625|10409:2:1:0:625|10410:2:1:0:625	1000
2	7	10352:2:1:0:625|10353:2:1:0:625|10354:2:1:0:625|10355:2:1:0:625|10357:2:1:0:625|10358:2:1:0:625|10359:2:1:0:625|10360:2:1:0:625|10362:2:1:0:625|10363:2:1:0:625|10364:2:1:0:625|10365:2:1:0:625|10367:2:1:0:625|10368:2:1:0:625|10369:2:1:0:625|10370:2:1:0:625	1000
2	8	10251:2:1:0:6000|10261:2:1:0:4000	1000
2	9	10276:2:1:0:4500|10286:2:1:0:3500|10296:2:1:0:2000	1000
2	10	10281:2:1:0:4500|10291:2:1:0:3500|10301:2:1:0:2000	1000
2	11	10306:2:1:0:5000|10316:2:1:0:3000|10326:2:1:0:2000	1000
2	12	10311:2:1:0:5000|10321:2:1:0:3000|10331:2:1:0:2000	1000
2	13	10326:2:1:0:6000|10336:2:1:0:4000	1000
2	14	10321:2:1:0:5000|10331:2:1:0:5000	1000
