INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT
2	10	2	3200	6:950|7:2845	100000	200	2	·ÀÓùÐÞÁ¶	2
2	11	2	3600	6:1061|7:3179	110000	250	2	·ÀÓùÐÞÁ¶	2
2	12	2	3700	6:1175|7:3521	115000	250	2	·ÀÓùÐÞÁ¶	2
2	13	2	3900	6:1292|7:3871	121000	250	2	·ÀÓùÐÞÁ¶	2
2	14	2	4100	6:1411|7:4229	126000	250	2	·ÀÓùÐÞÁ¶	2
2	15	2	4300	6:1533|7:4595	132000	250	2	·ÀÓùÐÞÁ¶	2
2	16	2	4500	6:1658|7:4969	138000	250	2	·ÀÓùÐÞÁ¶	2
2	17	2	4700	6:1785|7:5351	144000	250	2	·ÀÓùÐÞÁ¶	2
2	18	2	4900	6:1915|7:5741	150000	250	2	·ÀÓùÐÞÁ¶	2
2	19	2	5100	6:2048|7:6139	157000	250	2	·ÀÓùÐÞÁ¶	2
2	20	2	5300	6:2183|7:6545	163000	250	2	·ÀÓùÐÞÁ¶	2
2	21	3	5700	6:2328|7:6979	178000	300	2	·ÀÓùÐÞÁ¶	2
2	22	3	6000	6:2476|7:7423	185000	300	2	·ÀÓùÐÞÁ¶	2
2	23	3	6300	6:2628|7:7878	193000	300	2	·ÀÓùÐÞÁ¶	2
2	24	3	6500	6:2783|7:8343	202000	300	2	·ÀÓùÐÞÁ¶	2
2	25	3	6800	6:2941|7:8818	210000	300	2	·ÀÓùÐÞÁ¶	2
2	26	3	7100	6:3103|7:9304	218000	300	2	·ÀÓùÐÞÁ¶	2
2	27	3	7300	6:3268|7:9800	227000	300	2	·ÀÓùÐÞÁ¶	2
2	28	3	7600	6:3437|7:10307	236000	300	2	·ÀÓùÐÞÁ¶	2
2	29	3	7900	6:3609|7:10824	245000	300	2	·ÀÓùÐÞÁ¶	2
2	30	3	8200	6:3785|7:11352	254000	300	2	·ÀÓùÐÞÁ¶	2
2	31	4	8900	6:3973|7:11916	276000	350	2	·ÀÓùÐÞÁ¶	2
2	32	4	9300	6:4166|7:12494	287000	350	2	·ÀÓùÐÞÁ¶	2
2	33	4	9700	6:4363|7:13085	299000	350	2	·ÀÓùÐÞÁ¶	2
2	34	4	10000	6:4565|7:13690	310000	350	2	·ÀÓùÐÞÁ¶	2
2	35	4	10400	6:4771|7:14308	322000	350	2	·ÀÓùÐÞÁ¶	2
2	36	4	10800	6:4982|7:14940	334000	350	2	·ÀÓùÐÞÁ¶	2
2	37	4	11200	6:5197|7:15585	347000	350	2	·ÀÓùÐÞÁ¶	2
2	38	4	11600	6:5417|7:16244	359000	350	2	·ÀÓùÐÞÁ¶	2
2	39	4	12000	6:5641|7:16916	372000	350	2	·ÀÓùÐÞÁ¶	2
2	40	4	12400	6:5870|7:17602	385000	350	2	·ÀÓùÐÞÁ¶	2
2	41	5	13500	6:6114|7:18335	417000	400	2	·ÀÓùÐÞÁ¶	2
2	42	5	14000	6:6364|7:19086	433000	400	2	·ÀÓùÐÞÁ¶	2
2	43	5	14500	6:6620|7:19854	450000	400	2	·ÀÓùÐÞÁ¶	2
2	44	5	15100	6:6882|7:20640	466000	400	2	·ÀÓùÐÞÁ¶	2
2	45	5	15600	6:7150|7:21444	483000	400	2	·ÀÓùÐÞÁ¶	2
2	46	5	16200	6:7424|7:22265	500000	400	2	·ÀÓùÐÞÁ¶	2
2	47	5	16700	6:7704|7:23104	518000	400	2	·ÀÓùÐÞÁ¶	2
2	48	5	17300	6:7989|7:23960	535000	400	2	·ÀÓùÐÞÁ¶	2
2	49	5	17900	6:8280|7:24834	553000	400	2	·ÀÓùÐÞÁ¶	2
2	50	5	18500	6:8577|7:25726	572000	400	2	·ÀÓùÐÞÁ¶	2
2	51	6	20000	6:8895|7:26679	619000	450	2	·ÀÓùÐÞÁ¶	2
2	52	6	20700	6:9220|7:27655	641000	450	2	·ÀÓùÐÞÁ¶	2
2	53	6	21500	6:9553|7:28654	664000	450	2	·ÀÓùÐÞÁ¶	2
2	54	6	22200	6:9894|7:29676	688000	450	2	·ÀÓùÐÞÁ¶	2
2	55	6	23000	6:10242|7:30721	712000	450	2	·ÀÓùÐÞÁ¶	2
2	56	6	23800	6:10598|7:31789	736000	450	2	·ÀÓùÐÞÁ¶	2
2	57	6	24600	6:10961|7:32879	760000	450	2	·ÀÓùÐÞÁ¶	2
2	58	6	25400	6:11332|7:33992	785000	450	2	·ÀÓùÐÞÁ¶	2
2	59	6	26200	6:11711|7:35128	810000	450	2	·ÀÓùÐÞÁ¶	2
2	60	6	27000	6:12097|7:36287	836000	450	2	·ÀÓùÐÞÁ¶	2
3	1	3	2700	4:103|5:308	82000	200	3	¹¥»÷ÐÞÁ¶	3
3	2	3	2800	4:208|5:623	87000	200	3	¹¥»÷ÐÞÁ¶	3
3	3	3	3000	4:316|5:946	91000	200	3	¹¥»÷ÐÞÁ¶	3
3	4	3	3100	4:426|5:1276	96000	200	3	¹¥»÷ÐÞÁ¶	3
3	5	3	3300	4:539|5:1614	101000	200	3	¹¥»÷ÐÞÁ¶	3
3	6	3	3400	4:654|5:1959	107000	200	3	¹¥»÷ÐÞÁ¶	3
3	7	3	3600	4:771|5:2311	112000	200	3	¹¥»÷ÐÞÁ¶	3
3	8	3	3800	4:891|5:2671	117000	200	3	¹¥»÷ÐÞÁ¶	3
3	9	3	4000	4:1013|5:3038	123000	200	3	¹¥»÷ÐÞÁ¶	3
3	10	3	4200	4:1138|5:3413	128000	200	3	¹¥»÷ÐÞÁ¶	3
3	11	3	4600	4:1271|5:3813	141000	250	3	¹¥»÷ÐÞÁ¶	3
3	12	3	4800	4:1408|5:4223	148000	250	3	¹¥»÷ÐÞÁ¶	3
3	13	3	5000	4:1548|5:4643	155000	250	3	¹¥»÷ÐÞÁ¶	3
3	14	3	5200	4:1691|5:5072	162000	250	3	¹¥»÷ÐÞÁ¶	3
3	15	3	5500	4:1837|5:5511	169000	250	3	¹¥»÷ÐÞÁ¶	3
3	16	3	5700	4:1987|5:5960	177000	250	3	¹¥»÷ÐÞÁ¶	3
3	17	3	6000	4:2140|5:6418	184000	250	3	¹¥»÷ÐÞÁ¶	3
3	18	3	6200	4:2296|5:6886	192000	250	3	¹¥»÷ÐÞÁ¶	3
3	19	3	6500	4:2455|5:7363	200000	250	3	¹¥»÷ÐÞÁ¶	3
3	20	3	6700	4:2617|5:7850	209000	250	3	¹¥»÷ÐÞÁ¶	3
3	21	3	7400	4:2791|5:8371	227000	300	3	¹¥»÷ÐÞÁ¶	3
3	22	3	7700	4:2969|5:8904	237000	300	3	¹¥»÷ÐÞÁ¶	3
3	23	3	8000	4:3151|5:9450	248000	300	3	¹¥»÷ÐÞÁ¶	3
3	24	3	8300	4:3337|5:10008	258000	300	3	¹¥»÷ÐÞÁ¶	3
3	25	3	8700	4:3527|5:10579	269000	300	3	¹¥»÷ÐÞÁ¶	3
3	26	3	9000	4:3721|5:11162	280000	300	3	¹¥»÷ÐÞÁ¶	3
3	27	3	9400	4:3920|5:11758	291000	300	3	¹¥»÷ÐÞÁ¶	3
3	28	3	9800	4:4123|5:12366	302000	300	3	¹¥»÷ÐÞÁ¶	3
3	29	3	10100	4:4330|5:12987	313000	300	3	¹¥»÷ÐÞÁ¶	3
3	30	3	10500	4:4541|5:13620	325000	300	3	¹¥»÷ÐÞÁ¶	3
3	31	4	11400	4:4767|5:14297	353000	350	3	¹¥»÷ÐÞÁ¶	3
3	32	4	11900	4:4998|5:14990	368000	350	3	¹¥»÷ÐÞÁ¶	3
3	33	4	12400	4:5234|5:15699	382000	350	3	¹¥»÷ÐÞÁ¶	3
3	34	4	12800	4:5476|5:16425	397000	350	3	¹¥»÷ÐÞÁ¶	3
3	35	4	13300	4:5723|5:17167	412000	350	3	¹¥»÷ÐÞÁ¶	3
3	36	4	13800	4:5976|5:17925	428000	350	3	¹¥»÷ÐÞÁ¶	3
3	37	4	14300	4:6234|5:18699	444000	350	3	¹¥»÷ÐÞÁ¶	3
3	38	4	14900	4:6497|5:19489	460000	350	3	¹¥»÷ÐÞÁ¶	3
3	39	4	15400	4:6766|5:20296	476000	350	3	¹¥»÷ÐÞÁ¶	3
3	40	4	15900	4:7040|5:21119	493000	350	3	¹¥»÷ÐÞÁ¶	3
3	41	5	17300	4:7333|5:21999	534000	400	3	¹¥»÷ÐÞÁ¶	3
3	42	5	17900	4:7633|5:22900	555000	400	3	¹¥»÷ÐÞÁ¶	3
3	43	5	18600	4:7940|5:23822	576000	400	3	¹¥»÷ÐÞÁ¶	3
3	44	5	19300	4:8254|5:24765	597000	400	3	¹¥»÷ÐÞÁ¶	3
3	45	5	20000	4:8575|5:25729	618000	400	3	¹¥»÷ÐÞÁ¶	3
3	46	5	20700	4:8903|5:26714	640000	400	3	¹¥»÷ÐÞÁ¶	3
3	47	5	21400	4:9239|5:27721	663000	400	3	¹¥»÷ÐÞÁ¶	3
3	48	5	22200	4:9582|5:28749	685000	400	3	¹¥»÷ÐÞÁ¶	3
3	49	5	22900	4:9932|5:29798	708000	400	3	¹¥»÷ÐÞÁ¶	3
3	50	5	23700	4:10289|5:30868	732000	400	3	¹¥»÷ÐÞÁ¶	3
3	51	6	25600	4:10670|5:32012	792000	450	3	¹¥»÷ÐÞÁ¶	3
3	52	6	26500	4:11060|5:33183	821000	450	3	¹¥»÷ÐÞÁ¶	3
3	53	6	27500	4:11460|5:34382	850000	450	3	¹¥»÷ÐÞÁ¶	3
3	54	6	28500	4:11869|5:35608	880000	450	3	¹¥»÷ÐÞÁ¶	3
3	55	6	29500	4:12287|5:36862	911000	450	3	¹¥»÷ÐÞÁ¶	3
3	56	6	30500	4:12714|5:38143	942000	450	3	¹¥»÷ÐÞÁ¶	3
3	57	6	31500	4:13150|5:39451	973000	450	3	¹¥»÷ÐÞÁ¶	3
3	58	6	32500	4:13595|5:40787	1005000	450	3	¹¥»÷ÐÞÁ¶	3
3	59	6	33500	4:14049|5:42150	1037000	450	3	¹¥»÷ÐÞÁ¶	3
3	60	6	34600	4:14513|5:43541	1070000	450	3	¹¥»÷ÐÞÁ¶	3
4	1	4	3400	10:986	105000	200	5	±©ÉËÐÞÁ¶	4
4	2	4	3600	10:1995	111000	200	5	±©ÉËÐÞÁ¶	4
4	3	4	3800	10:3028	117000	200	5	±©ÉËÐÞÁ¶	4
4	4	4	4000	10:4085	123000	200	5	±©ÉËÐÞÁ¶	4
4	5	4	4200	10:5165	130000	200	5	±©ÉËÐÞÁ¶	4
4	6	4	4400	10:6269	136000	200	5	±©ÉËÐÞÁ¶	4
4	7	4	4600	10:7397	143000	200	5	±©ÉËÐÞÁ¶	4
4	8	4	4900	10:8548	150000	200	5	±©ÉËÐÞÁ¶	4
4	9	4	5100	10:9723	157000	200	5	±©ÉËÐÞÁ¶	4
4	10	4	5300	10:10922	164000	200	5	±©ÉËÐÞÁ¶	4
4	11	4	5800	10:12203	180000	250	5	±©ÉËÐÞÁ¶	4
4	12	4	6100	10:13515	189000	250	5	±©ÉËÐÞÁ¶	4
4	13	4	6400	10:14858	198000	250	5	±©ÉËÐÞÁ¶	4
4	14	4	6700	10:16232	207000	250	5	±©ÉËÐÞÁ¶	4
4	15	4	7000	10:17637	217000	250	5	±©ÉËÐÞÁ¶	4
4	16	4	7300	10:19072	226000	250	5	±©ÉËÐÞÁ¶	4
4	17	4	7600	10:20538	236000	250	5	±©ÉËÐÞÁ¶	4
4	18	4	8000	10:22035	246000	250	5	±©ÉËÐÞÁ¶	4
4	19	4	8300	10:23563	256000	250	5	±©ÉËÐÞÁ¶	4
4	20	4	8600	10:25121	267000	250	5	±©ÉËÐÞÁ¶	4
4	21	4	9400	10:26787	291000	300	5	±©ÉËÐÞÁ¶	4
4	22	4	9800	10:28493	304000	300	5	±©ÉËÐÞÁ¶	4
4	23	4	10200	10:30239	317000	300	5	±©ÉËÐÞÁ¶	4
4	24	4	10700	10:32025	330000	300	5	±©ÉËÐÞÁ¶	4
4	25	4	11100	10:33851	344000	300	5	±©ÉËÐÞÁ¶	4
4	26	4	11600	10:35717	358000	300	5	±©ÉËÐÞÁ¶	4
4	27	4	12000	10:37623	372000	300	5	±©ÉËÐÞÁ¶	4
4	28	4	12500	10:39569	386000	300	5	±©ÉËÐÞÁ¶	4
4	29	4	13000	10:41555	401000	300	5	±©ÉËÐÞÁ¶	4
4	30	4	13500	10:43581	416000	300	5	±©ÉËÐÞÁ¶	4
4	31	4	14600	10:45747	452000	350	5	±©ÉËÐÞÁ¶	4
4	32	4	15200	10:47965	471000	350	5	±©ÉËÐÞÁ¶	4
4	33	4	15800	10:50235	489000	350	5	±©ÉËÐÞÁ¶	4
4	34	4	16400	10:52557	509000	350	5	±©ÉËÐÞÁ¶	4
4	35	4	17100	10:54931	528000	350	5	±©ÉËÐÞÁ¶	4
4	36	4	17700	10:57357	548000	350	5	±©ÉËÐÞÁ¶	4
4	37	4	18400	10:59835	568000	350	5	±©ÉËÐÞÁ¶	4
4	38	4	19000	10:62365	589000	350	5	±©ÉËÐÞÁ¶	4
4	39	4	19700	10:64947	609000	350	5	±©ÉËÐÞÁ¶	4
4	40	4	20400	10:67581	631000	350	5	±©ÉËÐÞÁ¶	4
4	41	5	22100	10:70396	684000	400	5	±©ÉËÐÞÁ¶	4
4	42	5	23000	10:73279	710000	400	5	±©ÉËÐÞÁ¶	4
4	43	5	23800	10:76230	737000	400	5	±©ÉËÐÞÁ¶	4
4	44	5	24700	10:79248	764000	400	5	±©ÉËÐÞÁ¶	4
4	45	5	25600	10:82334	792000	400	5	±©ÉËÐÞÁ¶	4
4	46	5	26500	10:85487	820000	400	5	±©ÉËÐÞÁ¶	4
4	47	5	27400	10:88708	848000	400	5	±©ÉËÐÞÁ¶	4
4	48	5	28400	10:91996	877000	400	5	±©ÉËÐÞÁ¶	4
4	49	5	29300	10:95352	907000	400	5	±©ÉËÐÞÁ¶	4
4	50	5	30300	10:98776	937000	400	5	±©ÉËÐÞÁ¶	4
4	51	6	32800	10:102436	1014000	450	5	±©ÉËÐÞÁ¶	4
4	52	6	34000	10:106184	1051000	450	5	±©ÉËÐÞÁ¶	4
4	53	6	35200	10:110020	1089000	450	5	±©ÉËÐÞÁ¶	4
4	54	6	36400	10:113944	1127000	450	5	±©ÉËÐÞÁ¶	4
4	55	6	37700	10:117955	1166000	450	5	±©ÉËÐÞÁ¶	4
4	56	6	39000	10:122054	1205000	450	5	±©ÉËÐÞÁ¶	4
4	57	6	40300	10:126241	1245000	450	5	±©ÉËÐÞÁ¶	4
4	58	6	41600	10:130516	1286000	450	5	±©ÉËÐÞÁ¶	4
4	59	6	42900	10:134879	1327000	450	5	±©ÉËÐÞÁ¶	4
4	60	6	44300	10:139330	1369000	450	5	±©ÉËÐÞÁ¶	4
5	1	5	4300	33:1183	134000	200	4	ÈÍÐÔÐÞÁ¶	5
5	2	5	4600	33:2394	142000	200	4	ÈÍÐÔÐÞÁ¶	5
5	3	5	4800	33:3634	150000	200	4	ÈÍÐÔÐÞÁ¶	5
5	4	5	5100	33:4902	158000	200	4	ÈÍÐÔÐÞÁ¶	5
5	5	5	5400	33:6198	166000	200	4	ÈÍÐÔÐÞÁ¶	5
5	6	5	5600	33:7523	175000	200	4	ÈÍÐÔÐÞÁ¶	5
5	7	5	5900	33:8876	183000	200	4	ÈÍÐÔÐÞÁ¶	5
5	8	5	6200	33:10258	192000	200	4	ÈÍÐÔÐÞÁ¶	5
5	9	5	6500	33:11668	201000	200	4	ÈÍÐÔÐÞÁ¶	5
5	10	5	6800	33:13106	211000	200	4	ÈÍÐÔÐÞÁ¶	5
5	11	5	7500	33:14644	231000	250	4	ÈÍÐÔÐÞÁ¶	5
5	12	5	7800	33:16219	242000	250	4	ÈÍÐÔÐÞÁ¶	5
5	13	5	8200	33:17831	253000	250	4	ÈÍÐÔÐÞÁ¶	5
5	14	5	8600	33:19480	265000	250	4	ÈÍÐÔÐÞÁ¶	5
5	15	5	9000	33:21165	277000	250	4	ÈÍÐÔÐÞÁ¶	5
5	16	5	9400	33:22887	290000	250	4	ÈÍÐÔÐÞÁ¶	5
5	17	5	9800	33:24646	302000	250	4	ÈÍÐÔÐÞÁ¶	5
5	18	5	10200	33:26442	315000	250	4	ÈÍÐÔÐÞÁ¶	5
5	19	5	10600	33:28275	328000	250	4	ÈÍÐÔÐÞÁ¶	5
5	20	5	11000	33:30145	342000	250	4	ÈÍÐÔÐÞÁ¶	5
5	21	5	12000	33:32144	373000	300	4	ÈÍÐÔÐÞÁ¶	5
5	22	5	12600	33:34191	389000	300	4	ÈÍÐÔÐÞÁ¶	5
5	23	5	13100	33:36286	406000	300	4	ÈÍÐÔÐÞÁ¶	5
5	24	5	13700	33:38429	423000	300	4	ÈÍÐÔÐÞÁ¶	5
5	25	5	14200	33:40620	440000	300	4	ÈÍÐÔÐÞÁ¶	5
5	26	5	14800	33:42859	458000	300	4	ÈÍÐÔÐÞÁ¶	5
5	27	5	15400	33:45146	476000	300	4	ÈÍÐÔÐÞÁ¶	5
5	28	5	16000	33:47481	495000	300	4	ÈÍÐÔÐÞÁ¶	5
5	29	5	16600	33:49864	513000	300	4	ÈÍÐÔÐÞÁ¶	5
5	30	5	17200	33:52295	533000	300	4	ÈÍÐÔÐÞÁ¶	5
5	31	5	18700	33:54894	579000	350	4	ÈÍÐÔÐÞÁ¶	5
5	32	5	19500	33:57555	602000	350	4	ÈÍÐÔÐÞÁ¶	5
5	33	5	20300	33:60279	626000	350	4	ÈÍÐÔÐÞÁ¶	5
5	34	5	21000	33:63065	651000	350	4	ÈÍÐÔÐÞÁ¶	5
5	35	5	21900	33:65913	676000	350	4	ÈÍÐÔÐÞÁ¶	5
5	36	5	22700	33:68824	701000	350	4	ÈÍÐÔÐÞÁ¶	5
5	37	5	23500	33:71797	727000	350	4	ÈÍÐÔÐÞÁ¶	5
5	38	5	24400	33:74832	753000	350	4	ÈÍÐÔÐÞÁ¶	5
5	39	5	25200	33:77930	780000	350	4	ÈÍÐÔÐÞÁ¶	5
5	40	5	26100	33:81090	807000	350	4	ÈÍÐÔÐÞÁ¶	5
5	41	5	28300	33:84469	875000	400	4	ÈÍÐÔÐÞÁ¶	5
5	42	5	29400	33:87929	909000	400	4	ÈÍÐÔÐÞÁ¶	5
5	43	5	30500	33:91470	943000	400	4	ÈÍÐÔÐÞÁ¶	5
5	44	5	31600	33:95092	978000	400	4	ÈÍÐÔÐÞÁ¶	5
5	45	5	32800	33:98795	1013000	400	4	ÈÍÐÔÐÞÁ¶	5
5	46	5	33900	33:102579	1049000	400	4	ÈÍÐÔÐÞÁ¶	5
5	47	5	35100	33:106444	1086000	400	4	ÈÍÐÔÐÞÁ¶	5
5	48	5	36300	33:110390	1123000	400	4	ÈÍÐÔÐÞÁ¶	5
5	49	5	37500	33:114417	1161000	400	4	ÈÍÐÔÐÞÁ¶	5
5	50	5	38800	33:118525	1199000	400	4	ÈÍÐÔÐÞÁ¶	5
5	51	6	42000	33:122917	1298000	450	4	ÈÍÐÔÐÞÁ¶	5
5	52	6	43500	33:127415	1345000	450	4	ÈÍÐÔÐÞÁ¶	5
5	53	6	45100	33:132018	1393000	450	4	ÈÍÐÔÐÞÁ¶	5
5	54	6	46600	33:136726	1442000	450	4	ÈÍÐÔÐÞÁ¶	5
5	55	6	48300	33:141540	1492000	450	4	ÈÍÐÔÐÞÁ¶	5
5	56	6	49900	33:146459	1543000	450	4	ÈÍÐÔÐÞÁ¶	5
5	57	6	51500	33:151484	1594000	450	4	ÈÍÐÔÐÞÁ¶	5
5	58	6	53200	33:156614	1646000	450	4	ÈÍÐÔÐÞÁ¶	5
5	59	6	54900	33:161849	1699000	450	4	ÈÍÐÔÐÞÁ¶	5
5	60	6	56700	33:167190	1753000	450	4	ÈÍÐÔÐÞÁ¶	5
6	1	7	4300	0	10000	200	6	ÁéÇÉÐÞÁ¶	7
6	2	7	4600	0	10000	200	6	ÁéÇÉÐÞÁ¶	7
6	3	7	4800	0	10000	200	6	ÁéÇÉÐÞÁ¶	7
6	4	7	5100	0	10000	200	6	ÁéÇÉÐÞÁ¶	7
6	5	7	5400	0	10000	200	6	ÁéÇÉÐÞÁ¶	7
6	6	7	5600	0	10000	200	6	ÁéÇÉÐÞÁ¶	7
6	7	7	5900	0	10000	200	6	ÁéÇÉÐÞÁ¶	7
6	8	7	6200	0	10000	200	6	ÁéÇÉÐÞÁ¶	7
6	9	7	6500	0	10000	200	6	ÁéÇÉÐÞÁ¶	7
6	10	7	6800	0	10000	200	6	ÁéÇÉÐÞÁ¶	7
6	11	7	7500	0	10000	250	6	ÁéÇÉÐÞÁ¶	7
6	12	7	7800	0	10000	250	6	ÁéÇÉÐÞÁ¶	7
6	13	7	8200	0	10000	250	6	ÁéÇÉÐÞÁ¶	7
6	14	7	8600	0	10000	250	6	ÁéÇÉÐÞÁ¶	7
6	15	7	9000	0	10000	250	6	ÁéÇÉÐÞÁ¶	7
6	16	7	9400	0	10000	250	6	ÁéÇÉÐÞÁ¶	7
6	17	7	9800	0	10000	250	6	ÁéÇÉÐÞÁ¶	7
6	18	7	10200	0	10000	250	6	ÁéÇÉÐÞÁ¶	7
6	19	7	10600	0	10000	250	6	ÁéÇÉÐÞÁ¶	7
6	20	7	11000	0	10000	250	6	ÁéÇÉÐÞÁ¶	7
6	21	7	12000	0	10000	300	6	ÁéÇÉÐÞÁ¶	7
6	22	7	12600	0	10000	300	6	ÁéÇÉÐÞÁ¶	7
6	23	7	13100	0	10000	300	6	ÁéÇÉÐÞÁ¶	7
6	24	7	13700	0	10000	300	6	ÁéÇÉÐÞÁ¶	7
6	25	7	14200	0	10000	300	6	ÁéÇÉÐÞÁ¶	7
6	26	7	14800	0	10000	300	6	ÁéÇÉÐÞÁ¶	7
6	27	7	15400	0	10000	300	6	ÁéÇÉÐÞÁ¶	7
6	28	7	16000	0	10000	300	6	ÁéÇÉÐÞÁ¶	7
6	29	7	16600	0	10000	300	6	ÁéÇÉÐÞÁ¶	7
6	30	7	17200	0	10000	300	6	ÁéÇÉÐÞÁ¶	7
