INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
213	3	1	-1	-1	10317	2	1	0	4	100	10307:2:1	29	1	1
214	3	1	-1	-1	10318	2	1	0	4	100	10308:2:1	30	1	1
215	3	1	-1	-1	10319	2	1	0	4	100	10309:2:1	31	1	1
216	3	1	-1	-1	10320	2	1	0	4	100	10310:2:1	32	1	1
217	3	300	-1	-1	10322	2	1	0	4	200	10312:2:1	33	1	1
218	3	300	-1	-1	10323	2	1	0	4	200	10313:2:1	34	1	1
219	3	300	-1	-1	10324	2	1	0	4	200	10314:2:1	35	1	1
220	3	300	-1	-1	10325	2	1	0	4	200	10315:2:1	36	1	1
221	3	300	-1	-1	10327	2	1	0	4	200	10317:2:1	37	1	1
222	3	300	-1	-1	10328	2	1	0	4	200	10318:2:1	38	1	1
223	3	300	-1	-1	10329	2	1	0	4	200	10319:2:1	39	1	1
224	3	300	-1	-1	10330	2	1	0	4	200	10320:2:1	40	1	1
225	3	350	-1	-1	10332	2	1	0	4	400	10322:2:1	41	1	1
226	3	350	-1	-1	10333	2	1	0	4	400	10323:2:1	42	1	1
227	3	350	-1	-1	10334	2	1	0	4	400	10324:2:1	43	1	1
228	3	350	-1	-1	10335	2	1	0	4	400	10325:2:1	44	1	1
229	3	350	-1	-1	10337	2	1	0	4	400	10327:2:1	45	1	1
230	3	350	-1	-1	10338	2	1	0	4	400	10328:2:1	46	1	1
231	3	350	-1	-1	10339	2	1	0	4	400	10329:2:1	47	1	1
232	3	350	-1	-1	10340	2	1	0	4	400	10330:2:1	48	1	1
233	3	400	-1	-1	10342	2	1	0	4	800	10332:2:1	49	1	15
234	3	400	-1	-1	10343	2	1	0	4	800	10333:2:1	50	1	15
235	3	400	-1	-1	10344	2	1	0	4	800	10334:2:1	51	1	15
236	3	400	-1	-1	10345	2	1	0	4	800	10335:2:1	52	1	15
237	3	400	-1	-1	10347	2	1	0	4	800	10337:2:1	53	1	15
238	3	400	-1	-1	10348	2	1	0	4	800	10338:2:1	54	1	15
239	3	400	-1	-1	10349	2	1	0	4	800	10339:2:1	55	1	15
240	3	400	-1	-1	10350	2	1	0	4	800	10340:2:1	56	1	15
241	3	400	-1	-1	10352	2	1	0	4	1200	10342:2:1	57	1	30
242	3	400	-1	-1	10353	2	1	0	4	1200	10343:2:1	58	1	30
243	3	400	-1	-1	10354	2	1	0	4	1200	10344:2:1	59	1	30
244	3	400	-1	-1	10355	2	1	0	4	1200	10345:2:1	60	1	30
245	3	400	-1	-1	10357	2	1	0	4	1200	10347:2:1	61	1	30
246	3	400	-1	-1	10358	2	1	0	4	1200	10348:2:1	62	1	30
247	3	400	-1	-1	10359	2	1	0	4	1200	10349:2:1	63	1	30
248	3	400	-1	-1	10360	2	1	0	4	1200	10350:2:1	64	1	30
301	4	1	-1	-1	512	1	1	1	4	200	-1	1	0	1
302	4	1	-1	-1	509	1	1	1	4	200	-1	2	0	1
303	4	1	-1	-1	511	1	1	1	4	20	-1	3	0	1
304	4	1	-1	-1	508	1	1	1	4	20	-1	4	0	1
305	4	1	-1	-1	13	1	1	1	4	2	-1	5	0	1
306	4	1	-1	-1	731	1	6	1	4	2	-1	6	0	30
307	4	1	-1	-1	732	1	6	1	4	2	-1	7	0	30
308	4	1	-1	-1	733	1	1	1	4	3	-1	8	0	30
309	4	1	-1	-1	734	1	1	1	4	10	-1	9	0	30
310	4	1	-1	-1	5119	1	1	1	4	8000	-1	10	0	30
311	4	1	-1	-1	5120	1	1	1	4	8000	-1	11	0	30
312	4	1	-1	-1	727	1	1	1	4	500	-1	12	0	1
313	4	1	-1	-1	20001	2	1	1	4	5000	-1	13	0	1
314	4	1	-1	-1	20002	2	1	1	4	1000	-1	14	0	1
315	4	1	-1	-1	20003	2	1	1	4	1000	-1	15	0	1
316	4	1	-1	-1	20004	2	1	1	4	1000	-1	16	0	1
317	4	1	-1	-1	20005	2	1	1	4	5000	-1	17	0	1
318	4	1	-1	-1	20006	2	1	1	4	1000	-1	18	0	1
319	4	1	-1	-1	20007	2	1	1	4	1000	-1	19	0	1
320	4	1	-1	-1	20008	2	1	1	4	1000	-1	20	0	1
321	4	1	-1	-1	735	1	1	1	4	5000	-1	21	0	1
322	4	1	-1	-1	736	1	1	1	4	5000	-1	22	0	1
323	4	1	-1	-1	737	1	1	1	4	1000	-1	23	0	1
324	4	1	-1	-1	738	1	1	1	4	1000	-1	24	0	1
325	4	1	-1	-1	739	1	1	1	4	1000	-1	25	0	1
326	4	1	-1	-1	740	1	1	1	4	1000	-1	26	0	1
327	4	1	-1	-1	741	1	1	1	4	1000	-1	27	0	1
328	4	1	-1	-1	742	1	1	1	4	1000	-1	28	0	1
329	4	1	-1	-1	762	1	1	1	4	500	-1	28	0	1
330	4	1	-1	-1	765	1	1	1	4	500	-1	28	0	1
401	5	200	1	1	51000	2	1	1	11	164000	-1	1	0	1
402	5	200	1	1	51010	2	1	1	11	240000	-1	2	0	1
403	5	200	1	1	51020	2	1	1	11	380000	-1	3	0	1
404	5	200	1	1	51030	2	1	1	11	760000	-1	4	0	1
405	5	200	1	1	51040	2	1	1	11	1520000	-1	5	0	1
406	5	200	1	5	727	1	1	1	11	20000	-1	6	0	1
407	5	450	1	50	769	1	1	1	11	5000	-1	7	0	30
408	5	400	1	10	931	1	1	1	11	10000	-1	8	0	40
