INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING
22	3	133210	1:289874|4:558|5:1674	506	60	100	3論2陎	3492	3	name_3	badge_3	level_3
23	3	133210	1:307576|4:592|5:1776	506	60	100	3論3陎	3492	3	name_3	badge_3	level_3
24	3	133210	1:325278|4:626|5:1878	506	60	100	3論4陎	3492	3	name_3	badge_3	level_3
25	3	133210	1:342980|4:660|5:1980	506	60	100	3論5陎	3492	3	name_3	badge_3	level_3
26	3	133210	1:360682|4:694|5:2082	506	60	100	3論6陎	3492	3	name_3	badge_3	level_3
27	3	133210	1:378384|4:728|5:2184	506	60	100	3論7陎	3492	3	name_3	badge_3	level_3
28	3	133210	1:396086|4:762|5:2286	506	60	100	3論8陎	3492	3	name_3	badge_3	level_3
29	3	133210	1:413788|4:796|5:2388	506	60	100	3論9陎	3492	3	name_3	badge_3	level_3
30	3	133210	1:431490|4:830|5:2490	506	60	100	3論10陎	3492	3	name_3	badge_3	level_3
31	3	228220	1:452511|4:870|5:2611	506	80	100	4論1陎	3493	4	name_4	badge_4	level_4
32	3	228220	1:473532|4:910|5:2732	506	80	100	4論2陎	3493	4	name_4	badge_4	level_4
33	3	228220	1:494553|4:950|5:2853	506	80	100	4論3陎	3493	4	name_4	badge_4	level_4
34	3	228220	1:515574|4:990|5:2974	506	80	100	4論4陎	3493	4	name_4	badge_4	level_4
35	3	228220	1:536595|4:1030|5:3095	506	80	100	4論5陎	3493	4	name_4	badge_4	level_4
36	3	228220	1:557616|4:1070|5:3216	506	80	100	4論6陎	3493	4	name_4	badge_4	level_4
37	3	228220	1:578637|4:1110|5:3337	506	80	100	4論7陎	3493	4	name_4	badge_4	level_4
38	3	228220	1:599658|4:1150|5:3458	506	80	100	4論8陎	3493	4	name_4	badge_4	level_4
39	3	228220	1:620679|4:1190|5:3579	506	80	100	4論9陎	3493	4	name_4	badge_4	level_4
40	4	228220	1:641700|4:1230|5:3700	506	80	100	4論10陎	3493	4	name_4	badge_4	level_4
41	4	381240	1:666040|4:1277|5:3840	506	100	100	5論1陎	3494	5	name_5	badge_5	level_5
42	4	381240	1:690380|4:1324|5:3980	506	100	100	5論2陎	3494	5	name_5	badge_5	level_5
43	4	381240	1:714720|4:1371|5:4120	506	100	100	5論3陎	3494	5	name_5	badge_5	level_5
44	4	381240	1:739060|4:1418|5:4260	506	100	100	5論4陎	3494	5	name_5	badge_5	level_5
45	4	381240	1:763400|4:1465|5:4400	506	100	100	5論5陎	3494	5	name_5	badge_5	level_5
46	4	381240	1:787740|4:1512|5:4540	506	100	100	5論6陎	3494	5	name_5	badge_5	level_5
47	4	381240	1:812080|4:1559|5:4680	506	100	100	5論7陎	3494	5	name_5	badge_5	level_5
48	4	381240	1:836420|4:1606|5:4820	506	100	100	5論8陎	3494	5	name_5	badge_5	level_5
49	4	381240	1:860760|4:1653|5:4960	506	100	100	5論9陎	3494	5	name_5	badge_5	level_5
50	4	381240	1:885100|4:1700|5:5100	506	100	100	5論10陎	3494	5	name_5	badge_5	level_5
51	4	625040	1:912760|4:1753|5:5260	506	120	100	6論1陎	3495	6	name_6	badge_6	level_6
52	4	625040	1:940420|4:1806|5:5420	506	120	100	6論2陎	3495	6	name_6	badge_6	level_6
53	4	625040	1:968080|4:1859|5:5580	506	120	100	6論3陎	3495	6	name_6	badge_6	level_6
54	4	625040	1:995740|4:1912|5:5740	506	120	100	6論4陎	3495	6	name_6	badge_6	level_6
55	4	625040	1:1023400|4:1965|5:5900	506	120	100	6論5陎	3495	6	name_6	badge_6	level_6
56	4	625040	1:1051060|4:2018|5:6060	506	120	100	6論6陎	3495	6	name_6	badge_6	level_6
57	4	625040	1:1078720|4:2071|5:6220	506	120	100	6論7陎	3495	6	name_6	badge_6	level_6
58	4	625040	1:1106380|4:2124|5:6380	506	120	100	6論8陎	3495	6	name_6	badge_6	level_6
59	4	625040	1:1134040|4:2177|5:6540	506	120	100	6論9陎	3495	6	name_6	badge_6	level_6
60	7	625040	1:1161700|4:2230|5:6700	506	120	100	6論10陎	3495	6	name_6	badge_6	level_6
61	7	1009980	1:1192679|4:2290|5:6879	506	140	100	7論1陎	3496	7	name_7	badge_7	level_7
62	7	1009980	1:1223658|4:2350|5:7058	506	140	100	7論2陎	3496	7	name_7	badge_7	level_7
63	7	1009980	1:1254637|4:2410|5:7237	506	140	100	7論3陎	3496	7	name_7	badge_7	level_7
64	7	1009980	1:1285616|4:2470|5:7416	506	140	100	7論4陎	3496	7	name_7	badge_7	level_7
65	7	1009980	1:1316595|4:2530|5:7595	506	140	100	7論5陎	3496	7	name_7	badge_7	level_7
66	7	1009980	1:1347574|4:2590|5:7774	506	140	100	7論6陎	3496	7	name_7	badge_7	level_7
67	7	1009980	1:1378553|4:2650|5:7953	506	140	100	7論7陎	3496	7	name_7	badge_7	level_7
68	7	1009980	1:1409532|4:2710|5:8132	506	140	100	7論8陎	3496	7	name_7	badge_7	level_7
69	7	1009980	1:1440511|4:2770|5:8311	506	140	100	7論9陎	3496	7	name_7	badge_7	level_7
70	7	1009980	1:1471490|4:2830|5:8490	506	140	100	7論10陎	3496	7	name_7	badge_7	level_7
71	7	1613260	1:1505788|4:2896|5:8688	506	160	100	8論1陎	3497	8	name_8	badge_8	level_8
72	7	1613260	1:1540086|4:2962|5:8886	506	160	100	8論2陎	3497	8	name_8	badge_8	level_8
73	7	1613260	1:1574384|4:3028|5:9084	506	160	100	8論3陎	3497	8	name_8	badge_8	level_8
74	7	1613260	1:1608682|4:3094|5:9282	506	160	100	8論4陎	3497	8	name_8	badge_8	level_8
75	7	1613260	1:1642980|4:3160|5:9480	506	160	100	8論5陎	3497	8	name_8	badge_8	level_8
76	7	1613260	1:1677278|4:3226|5:9678	506	160	100	8論6陎	3497	8	name_8	badge_8	level_8
77	7	1613260	1:1711576|4:3292|5:9876	506	160	100	8論7陎	3497	8	name_8	badge_8	level_8
78	7	1613260	1:1745874|4:3358|5:10074	506	160	100	8論8陎	3497	8	name_8	badge_8	level_8
79	7	1613260	1:1780172|4:3424|5:10272	506	160	100	8論9陎	3497	8	name_8	badge_8	level_8
80	7	1613260	1:1814470|4:3490|5:10470	506	160	100	8論10陎	3497	8	name_8	badge_8	level_8
81	7	2552760	1:1852087|4:3562|5:10687	506	180	100	9論1陎	3498	9	name_9	badge_9	level_9
82	7	2552760	1:1889704|4:3634|5:10904	506	180	100	9論2陎	3498	9	name_9	badge_9	level_9
83	7	2552760	1:1927321|4:3706|5:11121	506	180	100	9論3陎	3498	9	name_9	badge_9	level_9
84	7	2552760	1:1964938|4:3778|5:11338	506	180	100	9論4陎	3498	9	name_9	badge_9	level_9
85	7	2552760	1:2002555|4:3850|5:11555	506	180	100	9論5陎	3498	9	name_9	badge_9	level_9
86	7	2552760	1:2040172|4:3922|5:11772	506	180	100	9論6陎	3498	9	name_9	badge_9	level_9
87	7	2552760	1:2077789|4:3994|5:11989	506	180	100	9論7陎	3498	9	name_9	badge_9	level_9
88	7	2552760	1:2115406|4:4066|5:12206	506	180	100	9論8陎	3498	9	name_9	badge_9	level_9
89	7	2552760	1:2153023|4:4138|5:12423	506	180	100	9論9陎	3498	9	name_9	badge_9	level_9
90	7	2552760	1:2190640|4:4210|5:12640	506	180	100	9論10陎	3498	9	name_9	badge_9	level_9
91	7	4007940	1:2231576|4:4289|5:12876	506	200	100	10論1陎	3499	10	name_10	badge_10	level_10
92	7	4007940	1:2272512|4:4368|5:13112	506	200	100	10論2陎	3499	10	name_10	badge_10	level_10
93	7	4007940	1:2313448|4:4447|5:13348	506	200	100	10論3陎	3499	10	name_10	badge_10	level_10
94	7	4007940	1:2354384|4:4526|5:13584	506	200	100	10論4陎	3499	10	name_10	badge_10	level_10
95	7	4007940	1:2395320|4:4605|5:13820	506	200	100	10論5陎	3499	10	name_10	badge_10	level_10
96	7	4007940	1:2436256|4:4684|5:14056	506	200	100	10論6陎	3499	10	name_10	badge_10	level_10
97	7	4007940	1:2477192|4:4763|5:14292	506	200	100	10論7陎	3499	10	name_10	badge_10	level_10
98	7	4007940	1:2518128|4:4842|5:14528	506	200	100	10論8陎	3499	10	name_10	badge_10	level_10
99	7	4007940	1:2559064|4:4921|5:14764	506	200	100	10論9陎	3499	10	name_10	badge_10	level_10
100	7	4007940	1:2600000|4:5000|5:15000	506	200	100	10論10陎	3499	10	name_10	badge_10	level_10
