INT	STRING	INT	INT	INT	INT	INT	INT
68	贝克	180	2	2	586	585	128
69	贝基	180	2	1	586	585	128
70	比尔博姆	180	3	2	594	593	128
71	贝尔	180	1	1	578	577	128
72	贝拉米	180	2	2	586	585	128
73	贝尔	180	1	1	578	577	128
74	贝洛克	180	1	2	578	577	128
75	本	180	3	1	594	593	128
76	本尼迪克特	180	2	2	586	585	127
77	本杰明	180	2	1	586	585	127
78	贝内特	180	3	2	594	593	127
79	本森	180	1	1	578	577	127
80	本瑟姆	180	2	2	586	585	127
81	伯克利	180	1	1	578	577	127
82	边沁	180	1	2	578	577	127
83	贝克莱	180	3	1	594	593	127
84	伯纳尔	180	2	2	586	585	127
85	伯纳德	180	2	1	586	585	127
86	伯纳尔德	180	3	2	594	593	127
87	伯特	180	1	1	578	577	127
88	伯莎	180	2	2	586	585	127
89	伯蒂	180	1	1	578	577	127
90	伯特伦	180	1	2	578	577	127
91	贝色麦	180	3	1	594	593	127
92	贝丝	180	2	2	586	585	127
93	贝西墨	180	2	1	586	585	127
94	贝西	180	3	2	594	593	127
95	比顿	180	1	1	578	577	127
96	白求恩	180	2	2	586	585	127
97	贝齐	180	1	1	578	577	127
98	贝蒂	180	1	2	578	577	127
99	比尔	180	3	1	594	593	127
100	比利	180	2	2	586	585	127
101	比勒尔	180	2	1	586	585	126
102	布莱克	180	3	2	594	593	126
103	布莱克	180	1	1	578	577	126
104	布卢默	180	2	2	586	585	126
105	布洛姆菲尔德	180	1	1	578	577	126
106	布龙菲尔德	180	1	2	578	577	126
107	布卢尔	180	3	1	594	593	126
108	布劳	180	2	2	586	585	126
109	布卢姆	180	2	1	586	585	126
110	鲍勃	180	3	2	594	593	126
111	博比	180	1	1	578	577	126
112	博斯韦尔	180	2	2	586	585	126
113	鲍恩	180	1	1	578	577	126
114	波义耳	180	1	2	578	577	126
115	鲍曼	180	3	1	594	593	126
116	波伊尔	180	2	2	586	585	126
117	布拉德利	180	2	1	586	585	126
118	布雷	180	3	2	594	593	126
119	布鲁斯特	180	1	1	578	577	126
120	布里奇斯	180	2	2	586	585	126
121	布赖特	180	1	1	578	577	126
122	布罗德	180	1	2	578	577	126
123	白朗蒂	180	3	1	594	593	126
124	勃朗特	180	2	2	586	585	126
125	布鲁克	180	2	1	586	585	126
126	布朗	180	3	2	594	593	125
127	布朗	180	1	1	578	577	125
128	布朗宁	180	2	2	586	585	125
129	勃朗宁	180	1	1	578	577	125
130	布鲁斯	180	1	2	578	577	125
131	布鲁诺	180	3	1	594	593	125
132	布赖恩	180	2	2	586	585	125
133	布赖斯	180	2	1	586	585	125
134	巴克	180	3	2	594	593	125
135	巴克耳	180	1	1	578	577	125
136	布尔沃	180	2	2	586	585	125
137	布尔韦尔	180	1	1	578	577	125
138	布尼安	180	1	2	578	577	125
139	伯克	180	3	1	594	593	125
140	琼斯	180	2	2	586	585	125
141	伯恩	180	2	1	586	585	125
142	伯恩斯	180	3	2	594	593	125
143	彭斯	180	1	1	578	577	125
144	巴特勒	180	2	2	586	585	125
145	勃特勒	180	1	1	578	577	125
146	拜伦	180	1	2	578	577	125
147	卡拉米	180	3	1	594	593	125
148	坎普	180	2	2	586	585	125
149	凯雷	180	2	1	586	585	125
150	凯里	180	3	2	594	593	125
151	卡尔	180	1	1	578	577	124
152	卡莱尔	180	2	2	586	585	124
153	卡门	180	1	1	578	577	124
154	卡内基	180	1	2	578	577	124
155	卡罗琳	180	3	1	594	593	124
156	卡彭特	180	2	2	586	585	124
157	查理	180	2	1	586	585	124
158	卡丽	180	3	2	594	593	124
159	嘉利	180	1	1	578	577	124
160	卡罗尔	180	2	2	586	585	124
161	卡特	180	1	1	578	577	124
162	凯瑟琳	180	1	2	578	577	124
163	塞西利亚	180	3	1	594	593	124
164	张伯伦	180	2	2	586	585	124
165	卓别麟	180	2	1	586	585	124
166	查普林	180	3	2	594	593	124
167	查普曼	180	1	1	578	577	124
168	查尔斯	180	2	2	586	585	124
169	查利	180	1	1	578	577	124
170	夏洛特	180	1	2	578	577	124
171	夏洛蒂	180	3	1	594	593	124
172	查理	180	2	2	586	585	124
173	查尔斯	180	2	1	586	585	124
174	乔叟	180	3	2	594	593	124
175	切斯特顿	180	1	1	578	577	124
176	蔡尔德	180	2	2	586	585	123
177	蔡尔德	180	1	1	578	577	123
178	克赖斯特	180	1	2	578	577	123
179	克里琴斯	180	3	1	594	593	123
180	克里斯蒂安娜	180	2	2	586	585	123
181	克里斯蒂	180	2	1	586	585	123
182	克里斯托弗	180	3	2	594	593	123
183	克里斯蒂	180	1	1	578	577	123
184	丘奇	180	2	2	586	585	123
185	丘吉尔	180	1	1	578	577	123
186	锡西	180	1	2	578	577	123
187	克拉彭	180	3	1	594	593	123
188	克拉拉	180	2	2	586	585	123
189	克莱尔	180	2	1	586	585	123
190	克拉丽莎	180	3	2	594	593	123
191	克拉克	180	1	1	578	577	123
192	克莱门斯	180	2	2	586	585	123
193	克里曼斯	180	1	1	578	577	123
194	克莱门特	180	1	2	578	577	123
195	科克尔	180	3	1	594	593	123
196	科菲	180	2	2	586	585	123
197	科尔克拉夫	180	2	1	586	585	123
198	科尔里奇	180	3	2	594	593	123
199	柯勒律治	180	1	1	578	577	123
200	柯林斯	180	2	2	586	585	123
201	康芒斯	180	1	1	578	577	122
202	科南	179	1	2	578	577	122
203	康格里夫	179	3	1	594	593	122
204	康尼	179	2	2	586	585	122
205	康纳	179	2	1	586	585	122
206	康拉德	179	3	2	594	593	122
207	康斯坦斯	179	1	1	578	577	122
208	库克	179	2	2	586	585	122
209	库珀	179	1	1	578	577	122
210	科波菲尔	179	1	2	578	577	122
211	柯顿	179	3	1	594	593	122
212	科弗代尔	178	2	2	586	585	122
213	考珀	178	2	1	586	585	122
214	克雷吉	178	3	2	594	593	122
215	克兰	178	1	1	578	577	122
216	克赖顿	178	2	2	586	585	122
217	克罗夫特	178	1	1	578	577	122
218	克罗夫茨	178	1	2	578	577	122
219	克伦威尔	178	3	1	594	593	122
220	克罗宁	178	2	2	586	585	122
221	克洛宁	178	2	1	586	585	122
222	坎伯兰	177	3	2	594	593	122
223	柯姆	177	1	1	578	577	122
224	戴西	177	2	2	586	585	122
225	道尔顿	177	1	1	578	577	122
226	丹	177	1	2	578	577	121
227	丹尼尔	177	3	1	594	593	121
228	丹聂耳	177	2	2	586	585	121
229	丹尼尔	177	2	1	586	585	121
230	达尔文	177	3	2	594	593	121
231	戴维	177	1	1	578	577	121
232	戴维	176	2	2	586	585	121
233	迪福	176	1	1	578	577	121
234	迪莉娅	176	1	2	578	577	121
235	丹尼斯	176	3	1	594	593	121
236	杜瓦	176	2	2	586	585	121
237	昆西	176	2	1	586	585	121
238	迪尤尔	176	3	2	594	593	121
239	杜威	176	1	1	578	577	121
240	迪克	176	2	2	586	585	121
241	狄更斯	176	1	1	578	577	121
242	迪肯斯	175	1	2	578	577	121
243	迪基	175	3	1	594	593	121
244	狄龙	175	2	2	586	585	121
245	多宾	175	2	1	586	585	121
246	多德	175	3	2	594	593	121
247	道尔蒂	175	1	1	578	577	121
248	陶赫蒂	175	2	2	586	585	121
249	多利	175	1	1	578	577	121
250	多恩	175	1	2	578	577	121
251	多拉	175	3	1	594	593	120
252	陶丽思	174	2	2	586	585	120
253	多丽丝	174	2	1	586	585	120
254	多萝西娅	174	3	2	594	593	120
255	多萝西	174	1	1	578	577	120
256	道格拉斯	174	2	2	586	585	120
257	道尔	174	1	1	578	577	120
258	多伊尔	174	1	2	578	577	120
259	德莱登	174	3	1	594	593	120
260	德莱塞	174	2	2	586	585	120
261	屈莱顿	174	2	1	586	585	120
262	杜波依斯	173	3	2	594	593	120
263	杜勒斯	173	1	1	578	577	120
264	邓巴	173	2	2	586	585	120
265	邓肯	173	1	1	578	577	120
266	邓洛普	173	1	2	578	577	120
267	杜邦	173	3	1	594	593	120
268	杜德	173	2	2	586	585	120
269	达特	173	2	1	586	585	120
270	埃迪	173	3	2	594	593	120
271	艾登	173	1	1	578	577	120
272	埃奇沃思	172	2	2	586	585	120
273	伊迪	172	1	1	578	577	120
274	爱迪生	172	1	2	578	577	120
275	伊迪丝	172	3	1	594	593	120
276	埃德蒙	172	2	2	466	465	119
277	爱德华	172	2	1	466	465	119
278	埃菲	172	3	2	474	473	119
279	艾泼斯坦	172	1	1	458	457	119
280	艾森豪威尔	172	2	2	466	465	119
281	埃兰娜	172	1	1	458	457	119
282	埃利诺	171	1	2	458	457	119
283	伊利克特拉	171	3	1	474	473	119
284	埃利诺	171	2	2	466	465	119
285	爱略特	171	2	1	466	465	119
286	埃利奥特	171	3	2	474	473	119
287	艾略特	171	1	1	458	457	119
288	伊丽莎白	171	2	2	466	465	119
289	埃拉	171	1	1	458	457	119
290	埃伦	171	1	2	458	457	119
291	艾利斯	171	3	1	474	473	119
292	埃尔西	170	2	2	466	465	119
293	埃墨森	170	2	1	466	465	119
294	埃米莉	170	3	2	474	473	119
295	艾米丽	170	1	1	458	457	119
296	埃玛	170	2	2	466	465	119
297	埃米	170	1	1	458	457	119
298	欧内斯特	170	1	2	458	457	119
299	埃丝特	170	3	1	474	473	119
300	尤金	170	2	2	466	465	119
301	尤金	170	2	1	466	465	118
302	尤菲米娅	169	3	2	474	473	118
303	伊娃	169	1	1	458	457	118
304	埃文	169	2	2	466	465	118
305	埃文思	169	1	1	458	457	118
306	伊夫	169	1	2	458	457	118
307	埃维莉娜	169	3	1	474	473	118
308	伊夫琳	169	2	2	466	465	118
309	伊齐基尔	169	2	1	466	465	118
310	范妮	169	3	2	474	473	118
311	法拉第	169	1	1	458	457	118
312	法斯特	168	2	2	466	465	118
313	福克纳	168	1	1	458	457	118
314	费利克斯	168	1	2	458	457	118
315	费尔顿	168	3	1	474	473	118
316	费迪南德	168	2	2	466	465	118
317	福开森	168	2	1	466	465	118
318	弗格森	168	3	2	474	473	118
319	弗格森	168	1	1	458	457	118
320	菲尔德	168	2	2	466	465	118
321	菲尔丁	168	1	1	458	457	118
322	芬恩	167	1	2	458	457	118
323	菲茨杰拉德	167	3	1	474	473	118
324	弗劳尔	167	2	2	466	465	118
325	弗林	167	2	1	466	465	118
326	弗琳	167	3	2	474	473	117
327	福特	167	1	1	458	457	117
328	福斯特	167	2	2	466	465	117
329	福斯特	167	1	1	458	457	117
330	福勒	167	1	2	458	457	117
331	福克斯	167	3	1	474	473	117
332	弗朗西丝	166	2	2	466	465	117
333	弗朗西斯	166	2	1	466	465	117
334	法兰西斯	166	3	2	474	473	117
335	弗兰克	166	1	1	458	457	117
336	富兰克林	166	2	2	466	465	117
337	弗雷德	166	1	1	458	457	117
338	弗雷德里克	166	1	2	458	457	117
339	弗里曼	166	3	1	474	473	117
340	芬克	166	2	2	466	465	117
341	加布里埃尔	166	2	1	466	465	117
342	加布尔雷思	165	3	2	474	473	117
343	加拉赫	165	1	1	458	457	117
344	盖洛普	165	2	2	466	465	117
345	高尔斯沃西	165	1	1	458	457	117
346	加西亚	165	1	2	458	457	117
347	加登	165	3	1	474	473	117
348	加德纳	165	2	2	466	465	117
349	加斯克尔	165	2	1	466	465	117
350	杰弗里	165	3	2	474	473	117
351	乔迪	165	1	1	458	457	116
352	乔治	164	2	2	466	465	116
353	吉本	164	1	1	458	457	116
354	吉布森	164	1	2	458	457	116
355	吉尔伯特	164	3	1	474	473	116
356	詹理斯	164	2	2	466	465	116
357	贾尔斯	164	2	1	466	465	116
358	吉尔	164	3	2	474	473	116
359	季星	164	1	1	458	457	116
360	格拉德斯通	164	2	2	466	465	116
361	格莱斯顿	164	1	1	458	457	116
362	戈德温	163	1	2	458	457	116
363	葛德文	163	3	1	474	473	116
364	戈尔德	163	2	2	466	465	116
365	高尔德	163	2	1	466	465	116
366	戈德史密斯	163	3	2	474	473	116
367	哥尔斯密	163	1	1	458	457	116
368	戈斯	163	2	2	466	465	116
369	格雷斯	163	1	1	458	457	116
370	格雷西	163	1	2	458	457	116
371	格雷汉姆	163	3	1	474	473	116
372	格兰汉	162	2	2	466	465	116
373	格雷厄姆	162	2	1	466	465	116
374	格兰特	162	3	2	474	473	116
375	格兰瑟姆	162	1	1	458	457	116
376	格雷	162	2	2	466	465	115
377	格林	162	1	1	458	457	115
378	格雷戈里	162	1	2	458	457	115
379	格雷沙姆	162	3	1	474	473	115
380	格雷	162	2	2	466	465	115
381	格罗特	162	2	1	466	465	115
382	冈特	161	3	2	474	473	115
383	冈瑟	161	1	1	458	457	115
384	格斯	161	2	2	466	465	115
385	盖伊	161	1	1	458	457	115
386	哈巴卡克	161	1	2	458	457	115
387	哈该	161	3	1	474	473	115
388	哈尔	161	2	2	466	465	115
389	哈利法克斯	161	2	1	466	465	115
390	哈密尔敦	161	3	2	474	473	115
391	汉森尔顿	161	1	1	458	457	115
392	哈姆雷特	160	2	2	466	465	115
393	汉森	160	1	1	458	457	115
394	汉森	160	1	2	458	457	115
395	汉萨	160	3	1	474	473	115
396	哈代哈迪	160	2	2	466	465	115
397	哈罗德	160	2	1	466	465	115
398	哈珀	160	3	2	474	473	115
399	哈里曼	160	1	1	458	457	115
400	哈林顿	160	2	2	466	465	115
401	哈灵顿	160	1	1	458	457	114
402	哈里森	159	1	2	458	457	114
403	哈罗德	159	3	1	474	473	114
404	哈里	159	2	2	466	465	114
405	哈特	159	2	1	466	465	114
406	哈特	159	3	2	474	473	114
407	哈维	159	1	1	458	457	114
408	霍索恩	159	2	2	466	465	114
409	海登	159	1	1	458	457	114
410	海伍德	159	1	2	458	457	114
411	黑兹利特	159	3	1	474	473	114
412	赫士列特	158	2	2	466	465	114
413	赫斯特	158	2	1	466	465	114
414	娜	158	3	2	474	473	114
415	赫莉	158	1	1	458	457	114
416	海明威	158	2	2	466	465	114
417	亨利	158	1	1	458	457	114
418	亨里埃塔	158	1	2	458	457	114
419	赫伯特	158	3	1	474	473	114
420	赫蒂	158	2	2	466	465	114
421	休利特	158	2	1	466	465	114
422	希克斯	157	3	2	474	473	114
423	希尔	157	1	1	458	457	114
424	霍布斯	157	2	2	466	465	114
425	霍布森	157	1	1	458	457	114
426	霍奇	157	1	2	458	457	113
427	霍奇森	157	3	1	474	473	113
428	霍姆斯	157	2	2	466	465	113
429	?福尔摩斯	157	2	1	466	465	113
430	霍尔特	157	3	2	474	473	113
431	胡德	157	1	1	458	457	113
432	胡佛	156	2	2	466	465	113
433	霍普	156	1	1	458	457	113
434	霍普斯	156	1	2	458	457	113
435	霍普金	156	3	1	474	473	113
436	霍勒斯	156	2	2	466	465	113
437	贺拉斯	156	2	1	466	465	113
438	霍勒斯	156	3	2	474	473	113
439	贺拉斯	156	1	1	458	457	113
440	霍雷肖	156	2	2	466	465	113
441	霍恩比	156	1	1	458	457	113
442	霍齐亚	155	1	2	458	457	113
443	豪斯	155	3	1	474	473	113
444	豪斯曼	155	2	2	466	465	113
445	休斯敦	155	2	1	466	465	113
446	霍华德	155	3	2	474	473	113
447	豪厄斯	155	1	1	458	457	113
448	豪厄尔	155	2	2	466	465	113
449	霍伊尔	155	1	1	458	457	113
450	哈伯德	155	1	2	458	457	113
451	赫德森	155	3	1	474	473	112
452	哈金斯	154	2	2	466	465	112
453	休	154	2	1	466	465	112
454	休士	154	3	2	474	473	112
455	休斯	154	1	1	458	457	112
456	休姆	154	2	2	466	465	112
457	休谟	154	1	1	458	457	112
458	汉弗莱	154	1	2	458	457	112
459	亨廷顿	154	3	1	474	473	112
460	赫特	154	2	2	466	465	112
461	赫胥黎	154	2	1	466	465	112
462	赫克利斯	153	3	2	474	473	112
463	英格索尔	153	1	1	458	457	112
464	欧文	153	2	2	466	465	112
465	艾萨克	153	1	1	458	457	112
466	伊莎贝尔	153	1	2	458	457	112
467	艾塞亚	153	3	1	474	473	112
468	伊凡	153	2	2	466	465	112
469	杰克	153	2	1	466	465	112
470	杰克逊	153	3	2	474	473	112
471	雅各布	153	1	1	458	457	112
472	詹姆斯	152	2	2	466	465	112
473	简	152	1	1	458	457	112
474	贾斯帕	152	1	2	458	457	112
475	杰姆斯	152	3	1	474	473	112
476	琼	152	2	2	466	465	111
477	杰斐逊	152	2	1	466	465	111
478	杰弗逊	152	3	2	474	473	111
479	詹斯	152	1	1	458	457	111
480	詹金	152	2	2	466	465	111
481	詹宁斯	152	1	1	458	457	111
482	珍妮	151	1	2	458	457	111
483	杰里迈亚	151	3	1	474	473	111
484	杰里米	151	2	2	466	465	111
485	杰罗姆	151	2	1	466	465	111
486	杰里	151	3	2	474	473	111
487	杰西	151	1	1	458	457	111
488	吉姆	151	2	2	466	465	111
489	杰米	151	1	1	458	457	111
490	琼	151	1	2	458	457	111
491	乔布	151	3	1	474	473	111
492	乔	150	2	2	466	465	111
493	乔尔	150	2	1	466	465	111
494	约翰	150	3	2	474	473	111
495	约翰尼	150	1	1	458	457	111
496	约翰逊	150	2	2	466	465	111
497	约翰斯顿	150	1	1	458	457	111
498	乔纳	150	1	2	458	457	111
499	乔纳森	150	3	1	474	473	111
500	琼斯	150	2	2	466	465	111
501	琼森	150	2	1	466	465	110
502	乔丹	149	3	2	474	473	110
503	约瑟夫	149	1	1	458	457	110
504	乔希	149	2	2	466	465	110
505	乔舒亚	149	1	1	458	457	110
506	焦尔	149	1	2	458	457	110
507	乔伊斯	149	3	1	474	473	110
508	贾德	149	2	2	466	465	110
509	朱迪思	149	2	1	466	465	110
510	贾德森	149	3	2	474	473	110
511	朱莉娅	149	1	1	458	457	110
512	朱利安	148	2	2	466	465	110
513	朱莉安娜	148	1	1	458	457	110
514	朱丽叶	148	1	2	458	457	110
515	朱利叶斯	148	3	1	474	473	110
516	凯特	148	2	2	466	465	110
517	凯瑟琳	148	2	1	466	465	110
518	凯瑟琳	148	3	2	474	473	110
519	卡特琳	148	1	1	458	457	110
520	基茨	148	2	2	466	465	110
521	凯利	148	1	1	458	457	110
522	凯洛格	147	1	2	458	457	110
523	凯尔森	147	3	1	474	473	110
524	凯尔文	147	2	2	466	465	110
525	凯南	147	2	1	466	465	110
526	肯尼迪	147	3	2	474	473	109
527	凯佩尔	147	1	1	458	457	109
528	凯恩斯	147	2	2	466	465	109
529	金斯利	147	1	1	458	457	109
530	基普林	147	1	2	458	457	109
531	基特	147	3	1	474	473	109
532	基托	146	2	2	466	465	109
533	基蒂	146	2	1	466	465	109
534	拉姆	146	3	2	474	473	109
535	兰姆	146	1	1	458	457	109
536	朗伯	146	2	2	466	465	109
537	兰伯特	146	1	1	458	457	109
538	兰斯洛特	146	1	2	458	457	109
539	兰登	146	3	1	474	473	109
540	拉金	146	2	2	466	465	109
541	拉铁摩尔	146	2	1	466	465	109
542	劳里	145	3	2	474	473	109
543	劳	145	1	1	458	457	109
544	劳伦斯	145	2	2	466	465	109
545	劳逊	145	1	1	458	457	109
546	劳森	145	1	2	458	457	109
547	李科克	145	3	1	474	473	109
548	利科克	145	2	2	466	465	109
549	李	145	2	1	466	465	109
550	利	145	3	2	474	473	109
551	莱顿	145	1	1	458	457	108
552	莉娜	144	2	2	466	465	108
553	伦纳德	144	1	1	458	457	108
554	利奥波德	144	1	2	458	457	108
555	卢	144	3	1	474	473	108
556	刘易斯	144	2	2	466	465	108
557	刘易士	144	2	1	466	465	108
558	莉莉	144	3	2	474	473	108
559	林肯	144	1	1	458	457	108
560	林德伯格	144	2	2	466	465	108
561	林塞	144	1	1	458	457	108
562	利齐	143	1	2	458	457	108
563	劳埃德	143	3	1	474	473	108
564	洛克	143	2	2	466	465	108
565	伦敦	143	2	1	466	465	108
566	朗费罗	143	3	2	474	473	108
567	朗曼	143	1	1	458	457	108
568	路易	143	2	2	466	465	108
569	路易斯	143	1	1	458	457	108
570	路易莎	143	1	2	458	457	108
571	路易丝	143	3	1	474	473	108
572	罗厄尔	142	2	2	466	465	108
573	罗威尔	142	2	1	466	465	108
574	卢卡斯	142	3	2	474	473	108
575	露西亚	142	1	1	458	457	108
576	卢修斯	142	2	2	466	465	107
577	露西	142	1	1	458	457	107
578	卢克	142	1	2	458	457	107
579	利利	142	3	1	474	473	107
580	林奇	142	2	2	466	465	107
581	林德	142	2	1	466	465	107
582	李顿	141	3	2	474	473	107
583	麦克亚当	141	1	1	458	457	107
584	麦克阿瑟	141	2	2	466	465	107
585	麦考利	141	1	1	458	457	107
586	利顿	141	1	2	458	457	107
587	麦克唐纳	141	3	1	474	473	107
588	麦金托什	141	2	2	466	465	107
589	麦克弗森	141	2	1	466	465	107
590	麦克米伦	141	3	2	474	473	107
591	麦克菲尔逊	141	1	1	458	457	107
592	马奇	140	2	2	466	465	107
593	玛吉	140	1	1	458	457	107
594	玛拉基	140	1	2	458	457	107
595	马伦	140	3	1	474	473	107
596	马洛里	140	2	2	466	465	107
597	马尔茨	140	2	1	466	465	107
598	马尔萨斯	140	3	2	474	473	107
599	马尔兹	140	1	1	458	457	107
600	曼斯菲尔德	140	2	2	466	465	107
601	马塞勒斯	140	1	1	458	457	106
602	马库斯	139	1	2	458	457	106
603	玛格丽塔	139	3	1	474	473	106
604	马杰里	139	2	2	466	465	106
605	玛丽亚	139	2	1	466	465	106
606	马里恩	139	3	2	474	473	106
607	马乔里	139	1	1	458	457	106
608	马克	139	2	2	466	465	106
609	马洛	139	1	1	458	457	106
610	马南	139	1	2	458	457	106
611	马歇尔	139	3	1	474	473	106
612	马莎	138	2	2	466	465	106
613	马丁	138	2	1	466	465	106
614	玛丽	138	3	2	474	473	106
615	梅斯菲尔德	138	1	1	458	457	106
616	马蒂尔达	138	2	2	466	465	106
617	马修	138	1	1	458	457	106
618	莫德	138	1	2	458	457	106
619	莫姆	138	3	1	474	473	106
620	莫里斯	138	2	2	466	465	106
621	马克斯	138	2	1	466	465	106
622	马克斯韦尔	137	3	2	474	473	106
623	梅	137	1	1	458	457	106
624	麦卡锡	137	2	2	466	465	106
625	麦克唐纳	137	1	1	458	457	106
626	梅格	137	1	2	458	457	105
627	梅尔维尔	137	3	1	474	473	105
628	梅雷迪斯	137	2	2	466	465	105
629	梅瑞狄斯	137	2	1	466	465	105
630	迈卡	137	3	2	474	473	105
631	迈克尔	137	1	1	458	457	105
632	迈克尔孙	136	2	2	466	465	105
633	米切尔森	136	1	1	458	457	105
634	密德尔顿	136	1	2	458	457	105
635	迈克	136	3	1	474	473	105
636	米尔	136	2	2	466	465	105
637	米尔恩	136	2	1	466	465	105
638	米尔顿	136	3	2	474	473	105
639	明妮	136	1	1	458	457	105
640	莫尔	136	2	2	466	465	105
641	蒙德	136	1	1	458	457	105
642	门罗	135	1	2	458	457	105
643	蒙哥马利	135	3	1	474	473	105
644	穆尔	135	2	2	466	465	105
645	莫尔	135	2	1	466	465	105
646	摩根	135	3	2	474	473	105
647	摩利	135	1	1	458	457	105
648	莫里斯	135	2	2	466	465	105
649	莫里森	135	1	1	458	457	105
650	莫尔斯	135	1	2	458	457	105
651	摩顿	135	3	1	474	473	104
652	莫尔顿	134	2	2	466	465	104
653	摩西	134	2	1	466	465	104
654	莫特利	134	3	2	474	473	104
655	莫尔顿	134	1	1	458	457	104
656	默里	134	2	2	466	465	104
657	内厄姆	134	1	1	458	457	104
658	南希	134	1	2	458	457	104
659	纳撒尼尔	134	3	1	474	473	104
660	尼达姆	134	2	2	466	465	104
661	尼赫迈亚	134	2	1	466	465	104
662	内尔	133	3	2	474	473	104
663	内利	133	1	1	458	457	104
664	奈尔孙	133	2	2	466	465	104
665	纽曼	133	1	1	458	457	104
666	牛顿	133	1	2	458	457	104
667	尼古拉斯	133	3	1	474	473	104
668	尼科斯	133	2	2	466	465	104
669	尼科尔	133	2	1	466	465	104
670	尼克	133	3	2	474	473	104
671	尼科尔	133	1	1	458	457	104
672	尼克松	132	2	2	466	465	104
673	诺厄	132	1	1	458	457	104
674	诺埃尔	132	1	2	458	457	104
675	诺拉	132	3	1	474	473	104
676	娜拉	132	2	2	466	465	103
677	诺里斯	132	2	1	466	465	103
678	诺思	132	3	2	474	473	103
679	诺顿	132	1	1	458	457	103
680	诺伊斯	132	2	2	466	465	103
681	奥巴代亚	132	1	1	458	457	103
682	奥卡西	131	1	2	458	457	103
683	奥凯西	131	3	1	474	473	103
684	奥卡姆	131	2	2	466	465	103
685	奥康纳	131	2	1	466	465	103
686	奥利弗	131	3	2	474	473	103
687	奥尼尔	131	1	1	458	457	103
688	奥尼恩斯	131	2	2	466	465	103
689	奥兰多	131	1	1	458	457	103
690	奥斯卡	131	1	2	458	457	103
691	欧文	131	3	1	474	473	103
692	帕尔默	130	2	2	466	465	103
693	潘西	130	2	1	466	465	103
694	帕克	130	3	2	474	473	103
695	帕特里奇	130	1	1	458	457	103
696	佩德	130	2	2	466	465	103
697	佩特	130	1	1	458	457	103
698	佩兴斯	130	1	2	458	457	103
699	帕特里克	130	3	1	474	473	103
700	保罗	130	2	2	466	465	103
701	皮科尔	130	2	1	466	465	102
702	皮尔逊	130	3	2	474	473	102
703	佩格	130	1	1	458	457	102
704	佩吉	130	2	2	466	465	102
705	佩恩	130	1	1	458	457	102
706	皮普斯	130	1	2	458	457	102
707	佩皮斯	130	3	1	474	473	102
