INT	STRING	INT	STRING	STRING	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	STRING
10	发现密道	8	10007:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
11	到达圣城	8	10008:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
12	联军传说	8	10009:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
13	逃难之人	8	10010:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
14	寻找切割	8	10011:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
15	希望种子	8	10012:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
16	幻象空间	8	10013:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
17	试炼之地	8	10014:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
18	污染逼近	8	10015:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
19	留在这里	8	10016:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
20	王的永生	8	10017:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
21	魔兽大军	8	10018:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
22	绝望选择	8	10019:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
23	副本	8	10020:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
24	死里逃生	8	10021:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
25	钻石回收	1	10022:3	attach	moneyRecycleEquipPanel	0	btn	0	0	3	1	679	153	0	0	0	0	0	0	0	0	0	0	0	点击回收获得钻石	10	0	0	0	0
26	新的消息	8	10023:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
27	装备回收1	1	10024:3	attach	recycleEquipPanel	0	btn	0	0	3	1	117	-125	0	0	0	0	0	0	0	0	0	0	0	回收装备获得元宝	10	0	0	0	0
28	装备回收	8	10024:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
29	空间之力1	1	10025:3	attach	taskTrace	0	_tuijianText	0	0	2	2	82	62	0	0	0	0	0	0	0	0	0	0	0	请点击	10	0	0	1	1
30	空间之力2	5	29	attach	gameShopPanel	0	btnBuy	0	0	3	1	216	192	0	0	0	0	0	0	0	0	0	0	0	请点击	10	0	0	0	0
31	空间之力4	5	30	attach	shopBuyPanel	0	btnOk	0	0	2	2	97	278	0	0	0	0	0	0	0	0	0	0	0	请点击	10	0	0	0	0
32	空间之力5	8	10025:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
33	请活下来	8	10026:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
34	蛮荒之地	8	10027:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
35	切割之威	8	10028:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
36	弱鸡主人	8	10029:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
37	魔法生物	8	10030:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
38	邪恶魔法	8	10031:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
39	最后防线	8	10032:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
40	毁灭重生	8	10033:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
41	副本	8	10034:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
42	劫后余生	8	10035:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
43	装备回收	1	10036:3	attach	recycleEquipPanel	0	btn	0	0	3	1	117	-125	0	0	0	0	0	0	0	0	0	0	0	回收装备获得元宝	10	0	0	0	0
44	装备回收	8	10036:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
45	防御之道1	8	10037:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
46	等级提升|罪恶之地	1	10038:3	attach	taskTrace	0	_tuijianText	0	0	2	1	117	63	0	0	0	0	0	0	0	0	0	0	0	点击前往罪恶之地	10	0	0	1	1
47	等级提升|罪恶之地	5	46	attach	transportOperatorPanel	0	txtMap1_1	0	0	2	1	4	103	0	0	0	0	0	0	0	0	0	0	0	点击前往罪恶之地	10	0	0	1	0:50141:29:98
48	等级提升|罪恶之地	5	47	attach	operatorBar	0	hangUpBtn	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	点击挂机自动打怪	1	0	0	0	0
49	等级提升4	8	10038:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
50	装备回收1	1	10039:3	attach	recycleEquipPanel	0	btn	0	0	3	1	117	-125	0	0	0	0	0	0	0	0	0	0	0	回收装备获得元宝	10	0	0	0	0
51	装备回收2	8	10039:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
52	提升切割|1阶3星	1	10040:3	attach	taskTrace	0	_contentText	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	点击打开切割界面	10	1	0	1	1
53	提升切割|1阶3星	5	52	attach	tianLingPanel	0	upStarBtn	0	0	3	1	602	467	0	0	0	0	0	0	0	0	0	0	0	点击升级切割	10	0	0	0	0
54	提升切割|1阶3星	5	53	attach	tianLingPanel	0	upStarBtn	0	0	3	1	602	467	0	0	0	0	0	0	0	0	0	0	0	点击升级切割	1	0	0	0	0
55	提升切割|1阶3星	5	54	attach	tianLingPanel	0	closeBtn	0	0	3	1	357	-249	0	0	0	0	0	0	0	0	0	0	0	点击关闭界面	10	0	0	0	0
56	提升宠物1	8	10040:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
57	灵丹妙药	8	10041:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
58	穿戴装备1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	请点击	10	0	0	0	0
59	穿戴装备2	8	10042:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	235	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
60	救赎之道	8	10043:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
61	等级提升110级	1	10044:3	attach	taskTrace	0	_tuijianText	0	0	2	1	107	63	0	0	0	0	0	0	0	0	0	0	0	点击打开等级界面	10	0	0	1	1
62	等级提升110级	5	61	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	10	0	0	0	0
63	等级提升110级	5	62	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
64	等级提升110级	5	63	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
65	等级提升110级	5	64	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
66	等级提升110级	5	65	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
67	等级提升110级	5	66	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
68	等级提升110级	5	67	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
69	等级提升110级	5	68	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
70	等级提升110级	5	69	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
71	等级提升110级	5	70	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
72	等级提升110级	5	71	attach	levelPanel	0	closeBtn	0	0	3	1	328	-242	0	0	0	0	0	0	0	0	0	0	0	点击关闭界面	1	0	0	0	0
73	等级提升110级	8	10044:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
74	救赎之道	8	10045:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
75	劫后余生	8	10046:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
76	劫后余生	8	10047:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
77	劫后余生	8	10048:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
78	劫后余生	8	10049:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
79	劫后余生	8	10050:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
80	劫后余生	8	10051:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
81	灵丹妙药	8	10052:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
82	穿戴装备2	8	10053:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
83	装备回收2	1	10054:3	attach	recycleEquipPanel	0	btn	0	0	3	1	117	-125	0	0	0	0	0	0	0	0	0	0	0	回收装备获得元宝	10	0	0	0	0
84	装备回收2	8	10054:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
85	寻找答案	8	10055:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
86	等级提升120级	1	10056:3	attach	taskTrace	0	_tuijianText	0	0	2	1	117	63	0	0	0	0	0	0	0	0	0	0	0	点击打开等级界面	10	0	0	1	1
87	等级提升120级	5	86	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	10	0	0	0	0
88	等级提升120级	5	87	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	10	0	0	0	0
89	等级提升120级	5	88	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
90	等级提升120级	5	89	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
91	等级提升120级	5	90	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
92	等级提升120级	5	91	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
93	等级提升120级	5	92	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
94	等级提升120级	5	93	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
95	等级提升120级	5	94	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
96	等级提升120级	5	95	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
97	等级提升120级	5	96	attach	levelPanel	0	closeBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
98	等级提升120级	8	10056:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
99	再回地宫	8	10057:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
100	人间失格	8	10058:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
101	迷失心性	8	10059:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
102	杀戮之心	8	10060:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
103	彼岸森林	8	10061:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
104	黑夜前行	8	10062:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
105	毁灭之王	8	10063:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
106	装备回收	1	10064:3	attach	recycleEquipPanel	0	btn	0	0	3	1	117	-125	0	0	0	0	0	0	0	0	0	0	0	回收装备获得元宝	10	0	0	0	0
107	装备回收	8	10064:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
108	力量源泉	8	10065:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
109	等级提升130级	1	10066:3	attach	taskTrace	0	_tuijianText	0	0	2	1	107	63	0	0	0	0	0	0	0	0	0	0	0	点击关闭界面	10	0	0	1	1
110	等级提升130级	5	109	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击打开等级界面	10	0	0	0	0
111	等级提升130级	5	110	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	10	0	0	0	0
112	等级提升130级	5	111	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
113	等级提升130级	5	112	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
114	等级提升130级	5	113	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
115	等级提升130级	5	114	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
116	等级提升130级	5	115	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
117	等级提升130级	5	116	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
118	等级提升130级	5	117	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
119	等级提升130级	5	118	attach	levelPanel	0	upBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
120	等级提升130级	5	119	attach	levelPanel	0	closeBtn	0	0	3	1	-15	196	0	0	0	0	0	0	0	0	0	0	0	点击可升级	5	0	0	0	0
121	等级提升130级	8	10066:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
122	新的信仰	8	10067:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
123	赏金任务	1	10068:3	attach	taskTrace	0	_tuijianText	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	请点击	10	0	0	0	0
124	提升切割2	5	121	attach	TianLingPanel	0	upBtn	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	请点击	10	0	0	0	0
125	提升切割2	8	10073:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
126	等级提升4	1	10076:3	attach	taskTrace	0	_tuijianText	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	请点击	10	0	0	0	0
127	等级提升5	1	10084:3	attach	taskTrace	0	_tuijianText	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	请点击	10	0	0	0	0
128	阵营状态切换	11	0	attach	roleInfo	0	mcPkState	0	0	3	1	44	96	0	0	0	0	0	0	0	0	0	0	0	点击切换攻击模式	10	0	0	0	0
129	金币悬赏	1	10099:5	attach	coinsRewardPanel	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
130	神器打开	13	146	open	shenQiPanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0
131	神器激活	5	130	attach	shenQiPanel	0	btnJi	0	0	3	1	84	222	0	0	0	0	0	0	0	0	0	0	0	点击激活神器	10	1	0	0	0
132	神器关闭	5	131	attach	shenQiPanel	0	closeBtn	0	0	3	1	357	-202	0	0	0	0	0	0	0	0	0	0	0	点击关闭界面	10	1	1	0	0
133	诅咒打开	13	149	open	zuZhouPanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0
134	诅咒激活	5	133	attach	zuZhouPanel	0	upBtn	0	0	3	1	290	204	0	0	0	0	0	0	0	0	0	0	0	点击激活诅咒	10	1	0	0	0
135	诅咒关闭	5	134	attach	zuZhouPanel	0	closeBtn	0	0	3	1	330	-247	0	0	0	0	0	0	0	0	0	0	0	点击关闭界面	10	1	1	0	0
136	翅膀打开	13	105	open	wingPanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0
137	翅膀激活	5	136	attach	wingPanel	0	jiHuoBtn	0	0	2	1	-105	40	0	0	0	0	0	0	0	0	0	0	0	点击激活翅膀	10	1	0	0	0
138	翅膀关闭	5	137	attach	wingPanel	0	closeBtn	0	0	3	1	327	-240	0	0	0	0	0	0	0	0	0	0	0	点击关闭界面	10	1	1	0	0
139	天书打开	13	81	open	magicTianShuPanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0
140	天书激活	5	139	attach	magicTianShuPanel	0	jiHuoBtn	0	0	2	1	-105	-30	0	0	0	0	0	0	0	0	0	0	0	点击激活天书	10	1	0	0	0
141	天书关闭	5	140	attach	magicTianShuPanel	0	closeBtn	0	0	3	1	350	-245	0	0	0	0	0	0	0	0	0	0	0	点击关闭界面	10	1	1	0	0
142	印记打开	13	82	open	magicYinJiPanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0
143	印记激活	5	142	attach	magicYinJiPanel	0	jiHuoBtn	0	0	2	1	-105	-30	0	0	0	0	0	0	0	0	0	0	0	点击激活印记	10	1	0	0	0
144	印记关闭	5	143	attach	magicYinJiPanel	0	closeBtn	0	0	3	1	350	-245	0	0	0	0	0	0	0	0	0	0	0	点击关闭印记	10	1	1	0	0
145	符文打开	13	83	open	magicFuWenPanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0
146	符文激活	5	145	attach	magicFuWenPanel	0	jiHuoBtn	0	0	2	1	-105	-30	0	0	0	0	0	0	0	0	0	0	0	点击激活符文	10	1	0	0	0
147	符文关闭	5	146	attach	magicFuWenPanel	0	closeBtn	0	0	3	1	350	-245	0	0	0	0	0	0	0	0	0	0	0	点击关闭符文	10	1	1	0	0
148	魂珠打开	13	84	open	magicHunZhuPanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0
149	魂珠激活	5	148	attach	magicHunZhuPanel	0	jiHuoBtn	0	0	2	1	-105	-30	0	0	0	0	0	0	0	0	0	0	0	点击激活魂珠	10	1	0	0	0
150	魂珠关闭	5	149	attach	magicHunZhuPanel	0	closeBtn	0	0	3	1	350	-245	0	0	0	0	0	0	0	0	0	0	0	点击关闭魂珠	10	1	1	0	0
151	微端提示	2	120	open	weiDuanLoadPanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	首充浮窗打开1	1	10011:5	open	firstChargeNoticePanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	首充浮窗关闭1	5	152	attach	firstChargeNoticePanel	0	closeBtn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
154	首充浮窗打开2	4	50141	open	firstChargeNoticePanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	首充浮窗关闭2	5	154	attach	firstChargeNoticePanel	0	closeBtn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
156	首充浮窗打开3	1	10047:3	open	firstChargeNoticePanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	首充浮窗关闭3	5	156	attach	firstChargeNoticePanel	0	closeBtn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
158	超值特惠打开1	12	2003	open	chaoZhiTeHuiGiftGroupIconNoticePanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	超值特惠关闭1	5	158	attach	chaoZhiTeHuiGiftGroupIconNoticePanel	0	closeBtn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
160	超值特惠打开2	1	10105:3	open	chaoZhiTeHuiGiftGroupIconNoticePanel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
