INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING	INT	INT	INT
4	3	10009	10212:2:1:1|13:1:4:1:0:6|502:1:10:1|504:1:10:1|567:1:1:1	2034	-1	1_5|1_6	仙级Boss:[700级]|神级Boss:[800级]	神仙BOSS	50106	31	29
4	4	11009	10212:2:1:1|13:1:4:1:0:6|502:1:10:1|504:1:10:1|567:1:1:1	2027	-1	1_5|1_6	仙级Boss:[700级]|神级Boss:[800级]	神仙BOSS	50140	105	12
5	1	10010	10237:2:1:1|13:1:5:1:0:6|502:1:15:1|504:1:15:1|567:1:1:1	2070	-1	1_7|1_8	鸿蒙Boss:[1000级]|盘古Boss:[1100级]	鸿蒙BOSS	50106	214	218
5	2	11010	10237:2:1:1|13:1:5:1:0:6|502:1:15:1|504:1:15:1|567:1:1:1	2041	-1	1_7|1_8	鸿蒙Boss:[1000级]|盘古Boss:[1100级]	鸿蒙BOSS	50140	36	202
5	3	10011	10237:2:1:1|13:1:5:1:0:6|502:1:15:1|504:1:15:1|567:1:1:1	2055	-1	1_7|1_8	鸿蒙Boss:[1000级]|盘古Boss:[1100级]	鸿蒙BOSS	50106	31	29
5	4	11011	10237:2:1:1|13:1:5:1:0:6|502:1:15:1|504:1:15:1|567:1:1:1	27	-1	1_7|1_8	鸿蒙Boss:[1000级]|盘古Boss:[1100级]	鸿蒙BOSS	50140	105	12
6	1	10012	10252:2:1:1|13:1:6:1:0:6|502:1:15:1|504:1:15:1|568:1:1:1	8	-1	1_9|1_10	上古Boss:[1200级]|远古Boss:[1300级]	上古BOSS	50106	214	218
6	2	11012	10252:2:1:1|13:1:6:1:0:6|502:1:15:1|504:1:15:1|568:1:1:1	28	-1	1_9|1_10	上古Boss:[1200级]|远古Boss:[1300级]	上古BOSS	50140	36	202
6	3	10013	10252:2:1:1|13:1:6:1:0:6|502:1:15:1|504:1:15:1|568:1:1:1	2053	-1	1_9|1_10	上古Boss:[1200级]|远古Boss:[1300级]	上古BOSS	50106	31	29
6	4	11013	10252:2:1:1|13:1:6:1:0:6|502:1:15:1|504:1:15:1|568:1:1:1	29	-1	1_9|1_10	上古Boss:[1200级]|远古Boss:[1300级]	上古BOSS	50140	105	12
7	1	10014	10277:2:1:1|13:1:7:1:0:6|502:1:20:1|504:1:20:1|568:1:1:1	6	-1	1_11|1_12	太古Boss:[1500级]|创世Boss:[1700级]	太古BOSS	50106	214	218
7	2	11014	10277:2:1:1|13:1:7:1:0:6|502:1:20:1|504:1:20:1|568:1:1:1	2065	-1	1_11|1_12	太古Boss:[1500级]|创世Boss:[1700级]	太古BOSS	50140	36	202
7	3	10015	10277:2:1:1|13:1:7:1:0:6|502:1:20:1|504:1:20:1|568:1:1:1	13	-1	1_11|1_12	太古Boss:[1500级]|创世Boss:[1700级]	太古BOSS	50106	31	29
7	4	11015	10277:2:1:1|13:1:7:1:0:6|502:1:20:1|504:1:20:1|568:1:1:1	2025	-1	1_11|1_12	太古Boss:[1500级]|创世Boss:[1700级]	太古BOSS	50140	105	12
8	1	10016	10302:2:1:1|13:1:8:1:0:6|502:1:20:1|504:1:20:1|568:1:1:1	7	-1	1_14	星级Boss:[2000级]	星级BOSS	50106	214	218
8	2	10017	10302:2:1:1|13:1:8:1:0:6|502:1:20:1|504:1:20:1|568:1:1:1	14	-1	1_14	星级Boss:[2000级]	星级BOSS	50140	36	202
8	3	10018	10302:2:1:1|13:1:8:1:0:6|502:1:20:1|504:1:20:1|568:1:1:1	17	-1	1_14	星级Boss:[2000级]	星级BOSS	50106	31	29
8	4	10019	10302:2:1:1|13:1:8:1:0:6|502:1:20:1|504:1:20:1|568:1:1:1	4	-1	1_14	星级Boss:[2000级]	星级BOSS	50140	105	12
