INT	STRING
3043	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3044	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3045	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3046	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3051	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3052	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3053	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3054	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3055	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3056	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3061	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3062	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3063	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3064	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3065	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3066	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3071	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3072	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3073	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3074	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3075	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3076	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3081	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3082	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3083	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3084	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3085	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
3086	#00ff00|您可以在乾坤境副本中体验史上著名的重大战役及事件，同时获取大量的坐骑进阶丹和经验奖励。|n|#F6be71|副本目标|n|#F6be71|1.消灭副本中的全部怪物
4001	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|祝融|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4002	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|许褚|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4003	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|周泰|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4004	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|张角|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4005	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|小乔|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4006	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|黄盖|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4011	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|夏侯惇|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4012	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|庞统|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4013	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|孙尚香|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4014	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|曹仁|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4015	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|张飞|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4016	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|司马懿|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4021	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|黄忠|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4022	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|关羽|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4023	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|马超|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4024	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|陆逊|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4025	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|吕布|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4026	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|貂蝉|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4031	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|诸葛亮|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4032	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双月英|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4033	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双许褚|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4034	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双周泰|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4035	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双张角|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4036	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双祝融|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4041	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双黄盖|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4042	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双夏侯惇|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4043	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双庞统|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4044	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双小乔|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4045	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双曹仁|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4046	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双张飞|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4051	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双司马懿|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
