INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING
11	9	10:5840	565:1:17	0	#00ff00|制钢Lv2|n|#f7ab00|暴伤+ 830|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv3|n|#f7ab00|暴伤+ 2050|n韧性+ 1480	#00ff00|精炼Lv2|n|#f7ab00|暴伤+ 970|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790	#00ff00|锻造Lv2|n|#f7ab00|暴伤+ 1130|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140	#00ff00|淬火Lv1|n|#f7ab00|暴伤+ 510|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv2|n|#f7ab00|暴伤+ 1320	#00ff00|打磨Lv1|n|#f7ab00|暴伤+ 600|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv2|n|#f7ab00|暴伤+ 1530	#00ff00|镶嵌Lv1|n|#f7ab00|暴伤+ 710|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv2|n|#f7ab00|暴伤+ 1770
11	10	10:7160	565:1:22	539	#00ff00|制钢Lv2|n|#f7ab00|暴伤+ 830|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv3|n|#f7ab00|暴伤+ 2050|n韧性+ 1480	#00ff00|精炼Lv2|n|#f7ab00|暴伤+ 970|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790	#00ff00|锻造Lv2|n|#f7ab00|暴伤+ 1130|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140	#00ff00|淬火Lv2|n|#f7ab00|暴伤+ 1320|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550	#00ff00|打磨Lv1|n|#f7ab00|暴伤+ 600|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv2|n|#f7ab00|暴伤+ 1530	#00ff00|镶嵌Lv1|n|#f7ab00|暴伤+ 710|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv2|n|#f7ab00|暴伤+ 1770
11	11	10:8690	565:1:28	0	#00ff00|制钢Lv2|n|#f7ab00|暴伤+ 830|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv3|n|#f7ab00|暴伤+ 2050|n韧性+ 1480	#00ff00|精炼Lv2|n|#f7ab00|暴伤+ 970|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790	#00ff00|锻造Lv2|n|#f7ab00|暴伤+ 1130|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140	#00ff00|淬火Lv2|n|#f7ab00|暴伤+ 1320|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550	#00ff00|打磨Lv2|n|#f7ab00|暴伤+ 1530|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010	#00ff00|镶嵌Lv1|n|#f7ab00|暴伤+ 710|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv2|n|#f7ab00|暴伤+ 1770
11	12	10:10460	565:1:35	0	#00ff00|制钢Lv2|n|#f7ab00|暴伤+ 830|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv3|n|#f7ab00|暴伤+ 2050|n韧性+ 1480	#00ff00|精炼Lv2|n|#f7ab00|暴伤+ 970|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790	#00ff00|锻造Lv2|n|#f7ab00|暴伤+ 1130|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140	#00ff00|淬火Lv2|n|#f7ab00|暴伤+ 1320|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550	#00ff00|打磨Lv2|n|#f7ab00|暴伤+ 1530|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010	#00ff00|镶嵌Lv2|n|#f7ab00|暴伤+ 1770|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550
11	13	10:12510|33:1480	565:1:43	0	#00ff00|制钢Lv3|n|#f7ab00|暴伤+ 2050|n韧性+ 1480|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv4|n|#f7ab00|暴伤+ 4800|n韧性+ 4160	#00ff00|精炼Lv2|n|#f7ab00|暴伤+ 970|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790	#00ff00|锻造Lv2|n|#f7ab00|暴伤+ 1130|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140	#00ff00|淬火Lv2|n|#f7ab00|暴伤+ 1320|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550	#00ff00|打磨Lv2|n|#f7ab00|暴伤+ 1530|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010	#00ff00|镶嵌Lv2|n|#f7ab00|暴伤+ 1770|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550
11	14	10:14870|33:3270	565:1:54	0	#00ff00|制钢Lv3|n|#f7ab00|暴伤+ 2050|n韧性+ 1480|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv4|n|#f7ab00|暴伤+ 4800|n韧性+ 4160	#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv4|n|#f7ab00|暴伤+ 5510|n韧性+ 4860	#00ff00|锻造Lv2|n|#f7ab00|暴伤+ 1130|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140	#00ff00|淬火Lv2|n|#f7ab00|暴伤+ 1320|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550	#00ff00|打磨Lv2|n|#f7ab00|暴伤+ 1530|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010	#00ff00|镶嵌Lv2|n|#f7ab00|暴伤+ 1770|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550
11	15	10:17600|33:5410	565:1:68	539	#00ff00|制钢Lv3|n|#f7ab00|暴伤+ 2050|n韧性+ 1480|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv4|n|#f7ab00|暴伤+ 4800|n韧性+ 4160	#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv4|n|#f7ab00|暴伤+ 5510|n韧性+ 4860	#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv4|n|#f7ab00|暴伤+ 6340|n韧性+ 5660	#00ff00|淬火Lv2|n|#f7ab00|暴伤+ 1320|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550	#00ff00|打磨Lv2|n|#f7ab00|暴伤+ 1530|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010	#00ff00|镶嵌Lv2|n|#f7ab00|暴伤+ 1770|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550
11	16	10:20740|33:7960	565:1:85	0	#00ff00|制钢Lv3|n|#f7ab00|暴伤+ 2050|n韧性+ 1480|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv4|n|#f7ab00|暴伤+ 4800|n韧性+ 4160	#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv4|n|#f7ab00|暴伤+ 5510|n韧性+ 4860	#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv4|n|#f7ab00|暴伤+ 6340|n韧性+ 5660	#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv4|n|#f7ab00|暴伤+ 7280|n韧性+ 6580	#00ff00|打磨Lv2|n|#f7ab00|暴伤+ 1530|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010	#00ff00|镶嵌Lv2|n|#f7ab00|暴伤+ 1770|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550
11	17	10:24360|33:10970	565:1:107	0	#00ff00|制钢Lv3|n|#f7ab00|暴伤+ 2050|n韧性+ 1480|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv4|n|#f7ab00|暴伤+ 4800|n韧性+ 4160	#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv4|n|#f7ab00|暴伤+ 5510|n韧性+ 4860	#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv4|n|#f7ab00|暴伤+ 6340|n韧性+ 5660	#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv4|n|#f7ab00|暴伤+ 7280|n韧性+ 6580	#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv4|n|#f7ab00|暴伤+ 8360|n韧性+ 7630	#00ff00|镶嵌Lv2|n|#f7ab00|暴伤+ 1770|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550
11	18	10:28530|33:14520	565:1:134	0	#00ff00|制钢Lv3|n|#f7ab00|暴伤+ 2050|n韧性+ 1480|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv4|n|#f7ab00|暴伤+ 4800|n韧性+ 4160	#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv4|n|#f7ab00|暴伤+ 5510|n韧性+ 4860	#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv4|n|#f7ab00|暴伤+ 6340|n韧性+ 5660	#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv4|n|#f7ab00|暴伤+ 7280|n韧性+ 6580	#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv4|n|#f7ab00|暴伤+ 8360|n韧性+ 7630	#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv4|n|#f7ab00|暴伤+ 9600|n韧性+ 8840
11	19	10:33330|33:18680	565:1:168	0	#00ff00|制钢Lv4|n|#f7ab00|暴伤+ 4800|n韧性+ 4160|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv5|n|#f7ab00|暴伤+ 11020|n韧性+ 10220	#00ff00|精炼Lv3|n|#f7ab00|暴伤+ 2360|n韧性+ 1790|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv4|n|#f7ab00|暴伤+ 5510|n韧性+ 4860	#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv4|n|#f7ab00|暴伤+ 6340|n韧性+ 5660	#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv4|n|#f7ab00|暴伤+ 7280|n韧性+ 6580	#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv4|n|#f7ab00|暴伤+ 8360|n韧性+ 7630	#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv4|n|#f7ab00|暴伤+ 9600|n韧性+ 8840
11	20	10:38840|33:23540	565:1:210	539	#00ff00|制钢Lv4|n|#f7ab00|暴伤+ 4800|n韧性+ 4160|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv5|n|#f7ab00|暴伤+ 11020|n韧性+ 10220	#00ff00|精炼Lv4|n|#f7ab00|暴伤+ 5510|n韧性+ 4860|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv5|n|#f7ab00|暴伤+ 12650|n韧性+ 11810	#00ff00|锻造Lv3|n|#f7ab00|暴伤+ 2730|n韧性+ 2140|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv4|n|#f7ab00|暴伤+ 6340|n韧性+ 5660	#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv4|n|#f7ab00|暴伤+ 7280|n韧性+ 6580	#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv4|n|#f7ab00|暴伤+ 8360|n韧性+ 7630	#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv4|n|#f7ab00|暴伤+ 9600|n韧性+ 8840
11	21	10:45180|33:29200	565:1:262	0	#00ff00|制钢Lv4|n|#f7ab00|暴伤+ 4800|n韧性+ 4160|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv5|n|#f7ab00|暴伤+ 11020|n韧性+ 10220	#00ff00|精炼Lv4|n|#f7ab00|暴伤+ 5510|n韧性+ 4860|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv5|n|#f7ab00|暴伤+ 12650|n韧性+ 11810	#00ff00|锻造Lv4|n|#f7ab00|暴伤+ 6340|n韧性+ 5660|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv5|n|#f7ab00|暴伤+ 14520|n韧性+ 13630	#00ff00|淬火Lv3|n|#f7ab00|暴伤+ 3140|n韧性+ 2550|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv4|n|#f7ab00|暴伤+ 7280|n韧性+ 6580	#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv4|n|#f7ab00|暴伤+ 8360|n韧性+ 7630	#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv4|n|#f7ab00|暴伤+ 9600|n韧性+ 8840
11	22	10:52460|33:35780	565:1:328	0	#00ff00|制钢Lv4|n|#f7ab00|暴伤+ 4800|n韧性+ 4160|n|n|#0fe7e6|下一级|n|n|#00ff00|制钢Lv5|n|#f7ab00|暴伤+ 11020|n韧性+ 10220	#00ff00|精炼Lv4|n|#f7ab00|暴伤+ 5510|n韧性+ 4860|n|n|#0fe7e6|下一级|n|n|#00ff00|精炼Lv5|n|#f7ab00|暴伤+ 12650|n韧性+ 11810	#00ff00|锻造Lv4|n|#f7ab00|暴伤+ 6340|n韧性+ 5660|n|n|#0fe7e6|下一级|n|n|#00ff00|锻造Lv5|n|#f7ab00|暴伤+ 14520|n韧性+ 13630	#00ff00|淬火Lv4|n|#f7ab00|暴伤+ 7280|n韧性+ 6580|n|n|#0fe7e6|下一级|n|n|#00ff00|淬火Lv5|n|#f7ab00|暴伤+ 16660|n韧性+ 15710	#00ff00|打磨Lv3|n|#f7ab00|暴伤+ 3620|n韧性+ 3010|n|n|#0fe7e6|下一级|n|n|#00ff00|打磨Lv4|n|#f7ab00|暴伤+ 8360|n韧性+ 7630	#00ff00|镶嵌Lv3|n|#f7ab00|暴伤+ 4170|n韧性+ 3550|n|n|#0fe7e6|下一级|n|n|#00ff00|镶嵌Lv4|n|#f7ab00|暴伤+ 9600|n韧性+ 8840
