INT	STRING	STRING	INT	STRING
301	1:8884|4:355|5:888|6:222|7:533|36:35534|37:10768	1501:1601:1701:1801:1901	5	µç¡¤ÊÞ»êÌ×lv1
302	1:17768|4:710|5:1776|6:444|7:1066|36:71068|37:21536	1502:1602:1702:1802:1902	5	µç¡¤ÊÞ»êÌ×lv2
303	1:33758|4:1350|5:3375|6:844|7:2025|36:135030|37:40918	1503:1603:1703:1803:1903	5	µç¡¤ÊÞ»êÌ×lv3
304	1:62186|4:2487|5:6218|6:1555|7:3731|36:248740|37:75376	1504:1604:1704:1804:1904	5	µç¡¤ÊÞ»êÌ×lv4
305	1:106604|4:4264|5:10660|6:2665|7:6396|36:426412|37:129216	1505:1605:1705:1805:1905	5	µç¡¤ÊÞ»êÌ×lv5
306	1:106604|4:4264|5:10660|6:2665|7:6396|36:426412|37:129216	1506:1606:1706:1806:1906	5	µç¡¤ÊÞ»êÌ×lv6
307	1:106604|4:4264|5:10660|6:2665|7:6396|36:426412|37:129216	1507:1607:1707:1807:1907	5	µç¡¤ÊÞ»êÌ×lv7
308	1:106604|4:4264|5:10660|6:2665|7:6396|36:426412|37:129216	1508:1608:1708:1808:1908	5	µç¡¤ÊÞ»êÌ×lv8
309	1:106604|4:4264|5:10660|6:2665|7:6396|36:426412|37:129216	1509:1609:1709:1809:1909	5	µç¡¤ÊÞ»êÌ×lv9
310	1:106604|4:4264|5:10660|6:2665|7:6396|36:426412|37:129216	1510:1610:1710:1810:1910	5	µç¡¤ÊÞ»êÌ×lv10
