INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	STRING	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
2020	深渊魔窟（困难）	#f7ab00|1.公会|#00ff00|3级|#f7ab00|后，每天|#00ff00|00:00至22:00|#f7ab00|可开启该副本|n2.|#00ff00|会长、副会长|#f7ab00|每周可开启|#00ff00|两次|#f7ab00|，每天最多|#00ff00|一次|#f7ab00||n3.副本难度可选择，不同难度进入|#00ff00|战力要求|#f7ab00|不同|n4.副本开启后持续半小时，公会成员可随意进出|n5.副本内击杀怪物，|#00ff00|怪物附近|#f7ab00|的成员均会获得|#00ff00|贡献|#f7ab00|奖励|n6.击败最终Boss后开启传说中的|#00ff00|深渊宝库|n|#f7ab00|7.难度越高，|#00ff00|击杀怪物获得的贡献越多|n|#f7ab00|8.难度越高，宝库内|#00ff00|免费随机次数越多	10	50175	6	110	25	-1	3047	1800	0	300	9999	0	1	10	1234567	0	22	1	-1	0	0	0	0	1	-1	0	1800	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【深渊魔窟】</font>	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	#f7ab00|n|◆怪物被击杀后，怪物视野内的玩家均可获得|#00ff00|公会贡献|n|#f7ab00|◆精英小怪和巡逻巨士击杀后只会获得贡献|n◆越强大的怪物给与的公会贡献值越高|n◆当地图内所有怪物被击杀后，开启进入|#00ff00|深渊宝库|#f7ab00|入口	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	1	0	-1
2021	深渊魔窟（噩梦）	#f7ab00|1.公会|#00ff00|3级|#f7ab00|后，每天|#00ff00|00:00至22:00|#f7ab00|可开启该副本|n2.|#00ff00|会长、副会长|#f7ab00|每周可开启|#00ff00|两次|#f7ab00|，每天最多|#00ff00|一次|#f7ab00||n3.副本难度可选择，不同难度进入|#00ff00|战力要求|#f7ab00|不同|n4.副本开启后持续半小时，公会成员可随意进出|n5.副本内击杀怪物，|#00ff00|怪物附近|#f7ab00|的成员均会获得|#00ff00|贡献|#f7ab00|奖励|n6.击败最终Boss后开启传说中的|#00ff00|深渊宝库|n|#f7ab00|7.难度越高，|#00ff00|击杀怪物获得的贡献越多|n|#f7ab00|8.难度越高，宝库内|#00ff00|免费随机次数越多	10	50175	6	110	25	-1	3047	1800	0	300	9999	0	1	10	1234567	0	22	1	-1	0	0	0	0	1	-1	0	1800	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【深渊魔窟】</font>	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	#f7ab00|n|◆怪物被击杀后，怪物视野内的玩家均可获得|#00ff00|公会贡献|n|#f7ab00|◆精英小怪和巡逻巨士击杀后只会获得贡献|n◆越强大的怪物给与的公会贡献值越高|n◆当地图内所有怪物被击杀后，开启进入|#00ff00|深渊宝库|#f7ab00|入口	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	1	0	-1
2022	深渊魔窟（地狱）	#f7ab00|1.公会|#00ff00|3级|#f7ab00|后，每天|#00ff00|00:00至22:00|#f7ab00|可开启该副本|n2.|#00ff00|会长、副会长|#f7ab00|每周可开启|#00ff00|两次|#f7ab00|，每天最多|#00ff00|一次|#f7ab00||n3.副本难度可选择，不同难度进入|#00ff00|战力要求|#f7ab00|不同|n4.副本开启后持续半小时，公会成员可随意进出|n5.副本内击杀怪物，|#00ff00|怪物附近|#f7ab00|的成员均会获得|#00ff00|贡献|#f7ab00|奖励|n6.击败最终Boss后开启传说中的|#00ff00|深渊宝库|n|#f7ab00|7.难度越高，|#00ff00|击杀怪物获得的贡献越多|n|#f7ab00|8.难度越高，宝库内|#00ff00|免费随机次数越多	10	50175	6	110	25	-1	3047	1800	0	300	9999	0	1	10	1234567	0	22	1	-1	0	0	0	0	1	-1	0	1800	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【深渊魔窟】</font>	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	#f7ab00|n|◆怪物被击杀后，怪物视野内的玩家均可获得|#00ff00|公会贡献|n|#f7ab00|◆精英小怪和巡逻巨士击杀后只会获得贡献|n◆越强大的怪物给与的公会贡献值越高|n◆当地图内所有怪物被击杀后，开启进入|#00ff00|深渊宝库|#f7ab00|入口	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	1	0	-1
2023	深渊宝库（普通）	#f7ab00|1.公会|#00ff00|3级|#f7ab00|后，每天|#00ff00|00:00至22:00|#f7ab00|可开启该副本|n2.|#00ff00|会长、副会长|#f7ab00|每周可开启|#00ff00|两次|#f7ab00|，每天最多|#00ff00|一次|#f7ab00||n3.副本难度可选择，不同难度进入|#00ff00|战力要求|#f7ab00|不同|n4.副本开启后持续半小时，公会成员可随意进出|n5.副本内击杀怪物，|#00ff00|怪物附近|#f7ab00|的成员均会获得|#00ff00|贡献|#f7ab00|奖励|n6.击败最终Boss后开启传说中的|#00ff00|深渊宝库|n|#f7ab00|7.难度越高，|#00ff00|击杀怪物获得的贡献越多|n|#f7ab00|8.难度越高，宝库内|#00ff00|免费随机次数越多	1	50176	31	28	35	-1	3047	600	0	300	9999	0	1	10	1234567	0	23	1	-1	0	0	0	0	1	-1	0	600	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【深渊魔窟】</font>	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	0	0	-1
2024	深渊宝库（一般）	#f7ab00|1.公会|#00ff00|3级|#f7ab00|后，每天|#00ff00|00:00至22:00|#f7ab00|可开启该副本|n2.|#00ff00|会长、副会长|#f7ab00|每周可开启|#00ff00|两次|#f7ab00|，每天最多|#00ff00|一次|#f7ab00||n3.副本难度可选择，不同难度进入|#00ff00|战力要求|#f7ab00|不同|n4.副本开启后持续半小时，公会成员可随意进出|n5.副本内击杀怪物，|#00ff00|怪物附近|#f7ab00|的成员均会获得|#00ff00|贡献|#f7ab00|奖励|n6.击败最终Boss后开启传说中的|#00ff00|深渊宝库|n|#f7ab00|7.难度越高，|#00ff00|击杀怪物获得的贡献越多|n|#f7ab00|8.难度越高，宝库内|#00ff00|免费随机次数越多	1	50176	31	28	35	-1	3047	600	0	300	9999	0	1	10	1234567	0	23	1	-1	0	0	0	0	1	-1	0	600	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【深渊魔窟】</font>	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	0	0	-1
2025	深渊宝库（困难）	#f7ab00|1.公会|#00ff00|3级|#f7ab00|后，每天|#00ff00|00:00至22:00|#f7ab00|可开启该副本|n2.|#00ff00|会长、副会长|#f7ab00|每周可开启|#00ff00|两次|#f7ab00|，每天最多|#00ff00|一次|#f7ab00||n3.副本难度可选择，不同难度进入|#00ff00|战力要求|#f7ab00|不同|n4.副本开启后持续半小时，公会成员可随意进出|n5.副本内击杀怪物，|#00ff00|怪物附近|#f7ab00|的成员均会获得|#00ff00|贡献|#f7ab00|奖励|n6.击败最终Boss后开启传说中的|#00ff00|深渊宝库|n|#f7ab00|7.难度越高，|#00ff00|击杀怪物获得的贡献越多|n|#f7ab00|8.难度越高，宝库内|#00ff00|免费随机次数越多	1	50176	31	28	35	-1	3047	600	0	300	9999	0	1	10	1234567	0	23	1	-1	0	0	0	0	1	-1	0	600	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【深渊魔窟】</font>	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	0	0	-1
2026	深渊宝库（噩梦）	#f7ab00|1.公会|#00ff00|3级|#f7ab00|后，每天|#00ff00|00:00至22:00|#f7ab00|可开启该副本|n2.|#00ff00|会长、副会长|#f7ab00|每周可开启|#00ff00|两次|#f7ab00|，每天最多|#00ff00|一次|#f7ab00||n3.副本难度可选择，不同难度进入|#00ff00|战力要求|#f7ab00|不同|n4.副本开启后持续半小时，公会成员可随意进出|n5.副本内击杀怪物，|#00ff00|怪物附近|#f7ab00|的成员均会获得|#00ff00|贡献|#f7ab00|奖励|n6.击败最终Boss后开启传说中的|#00ff00|深渊宝库|n|#f7ab00|7.难度越高，|#00ff00|击杀怪物获得的贡献越多|n|#f7ab00|8.难度越高，宝库内|#00ff00|免费随机次数越多	1	50176	31	28	35	-1	3047	600	0	300	9999	0	1	10	1234567	0	23	1	-1	0	0	0	0	1	-1	0	600	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【深渊魔窟】</font>	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	0	0	-1
2027	深渊宝库（地狱）	#f7ab00|1.公会|#00ff00|3级|#f7ab00|后，每天|#00ff00|00:00至22:00|#f7ab00|可开启该副本|n2.|#00ff00|会长、副会长|#f7ab00|每周可开启|#00ff00|两次|#f7ab00|，每天最多|#00ff00|一次|#f7ab00||n3.副本难度可选择，不同难度进入|#00ff00|战力要求|#f7ab00|不同|n4.副本开启后持续半小时，公会成员可随意进出|n5.副本内击杀怪物，|#00ff00|怪物附近|#f7ab00|的成员均会获得|#00ff00|贡献|#f7ab00|奖励|n6.击败最终Boss后开启传说中的|#00ff00|深渊宝库|n|#f7ab00|7.难度越高，|#00ff00|击杀怪物获得的贡献越多|n|#f7ab00|8.难度越高，宝库内|#00ff00|免费随机次数越多	1	50176	31	28	35	-1	3047	600	0	300	9999	0	1	10	1234567	0	23	1	-1	0	0	0	0	1	-1	0	600	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【深渊魔窟】</font>	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	0	0	-1
2028	兽神祭坛	#f7ab00|上穷碧落下黄泉，两处茫茫皆不见。忽闻海上有神坛，坛在虚无缥渺间。	1	50177	27	41	36	-1	3048	1200	0	400	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	1200	12	797:1:5	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【兽神祭坛】</font>	0	0	-1	-1	0	0	0	-1	2	-1	0	-1	#f7ab00|上穷碧落下黄泉，两处茫茫皆不见。忽闻海上有神坛，坛在虚无缥渺间。|n|n1.进入兽神祭坛挑战鲲王之王，必定获得|#00ff00|共鸣装备|n|#f7ab00|2.进入兽神祭坛副本会记录玩家当前兽神值，在兽神祭坛内兽神值不会增长。	0	0	-1	0	-1	-1	-1	0	-1	0	0	0	0	12	-1
2047	充值专属副本	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	1	70001	32	34	39	-1	3049	1200	0	1	9999	0	1	1	1234567	0	23	1	-1	0	0	0	0	1	-1	0	1200	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【充值副本】</font>	0	0	-1	-1	0	0	0	-1	1	-1	0	-1	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	0	0	-1	0	-1	-1	-1	0	-1	50001	112	118	1	0	-1
2048	充值专属副本	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	1	70002	32	34	39	-1	3050	1200	0	1	9999	0	1	1	1234567	0	23	1	-1	0	0	0	0	1	-1	0	1200	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【充值副本】</font>	0	0	-1	-1	0	0	0	-1	1	-1	0	-1	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	0	0	-1	0	-1	-1	-1	0	-1	50001	112	118	1	0	-1
2049	充值专属副本	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	1	70003	32	34	39	-1	3051	1200	0	1	9999	0	1	1	1234567	0	23	1	-1	0	0	0	0	1	-1	0	1200	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【充值副本】</font>	0	0	-1	-1	0	0	0	-1	1	-1	0	-1	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	0	0	-1	0	-1	-1	-1	0	-1	50001	112	118	1	0	-1
2050	充值专属副本	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	1	70004	32	34	39	-1	3049	1200	0	1	9999	0	1	1	1234567	0	23	1	-1	0	0	0	0	1	-1	0	1200	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【充值副本】</font>	0	0	-1	-1	0	0	0	-1	1	-1	0	-1	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	0	0	-1	0	-1	-1	-1	0	-1	50001	112	118	1	0	-1
2051	充值专属副本	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	1	70005	32	34	39	-1	3050	1200	0	1	9999	0	1	1	1234567	0	23	1	-1	0	0	0	0	1	-1	0	1200	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【充值副本】</font>	0	0	-1	-1	0	0	0	-1	1	-1	0	-1	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	0	0	-1	0	-1	-1	-1	0	-1	50001	112	118	1	0	-1
2052	充值专属副本	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	1	70006	32	34	39	-1	3051	1200	0	1	9999	0	1	1	1234567	0	23	1	-1	0	0	0	0	1	-1	0	1200	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【充值副本】</font>	0	0	-1	-1	0	0	0	-1	1	-1	0	-1	#f7ab00|充值专属副本-每日充值金额达到指定额度可进入。|n可掉落各种极品道具材料。|n副本越高级，掉落材料越多越稀有！	0	0	-1	0	-1	-1	-1	0	-1	50001	112	118	1	0	-1
