INT	INT	STRING	STRING	INT	STRING	STRING
28	23	733:1:56	1:27094|6:230|7:581|33:1626	0	Ë«Óã¹¬	2¶Î3ÐÇ
28	24	733:1:59	1:28728|6:244|7:616|33:1724	0	Ë«Óã¹¬	2¶Î4ÐÇ
28	25	733:1:62	1:30400|6:258|7:652|33:1824	0	Ë«Óã¹¬	2¶Î5ÐÇ
28	26	733:1:65	1:32110|6:273|7:689|33:1927	0	Ë«Óã¹¬	2¶Î6ÐÇ
28	27	733:1:68	1:33858|6:288|7:726|33:2032	0	Ë«Óã¹¬	2¶Î7ÐÇ
28	28	733:1:71	1:35644|6:303|7:764|33:2139	0	Ë«Óã¹¬	2¶Î8ÐÇ
28	29	733:1:75	1:37468|6:319|7:803|33:2248	0	Ë«Óã¹¬	2¶Î9ÐÇ
28	30	733:1:79	1:39330|6:335|7:843|33:2360	0	Ë«Óã¹¬	2¶Î10ÐÇ
28	31	733:1:82	1:41230|6:351|7:884|33:2474	1	Ë«Óã¹¬	3¶Î1ÐÇ
28	32	733:1:86	1:43168|6:368|7:926|33:2590	1	Ë«Óã¹¬	3¶Î2ÐÇ
28	33	733:1:90	1:45144|6:385|7:968|33:2709	1	Ë«Óã¹¬	3¶Î3ÐÇ
28	34	733:1:95	1:47158|6:402|7:1011|33:2830	1	Ë«Óã¹¬	3¶Î4ÐÇ
28	35	733:1:99	1:49210|6:420|7:1055|33:2953	1	Ë«Óã¹¬	3¶Î5ÐÇ
28	36	733:1:104	1:51300|6:438|7:1100|33:3078	1	Ë«Óã¹¬	3¶Î6ÐÇ
28	37	733:1:109	1:53428|6:456|7:1146|33:3206	1	Ë«Óã¹¬	3¶Î7ÐÇ
28	38	733:1:114	1:55594|6:475|7:1192|33:3336	1	Ë«Óã¹¬	3¶Î8ÐÇ
28	39	733:1:119	1:57798|6:494|7:1239|33:3468	1	Ë«Óã¹¬	3¶Î9ÐÇ
28	40	733:1:124	1:60040|6:513|7:1287|33:3603	1	Ë«Óã¹¬	3¶Î10ÐÇ
28	41	733:1:130	1:62320|6:532|7:1336|33:3740	2	Ë«Óã¹¬	4¶Î1ÐÇ
28	42	733:1:135	1:64638|6:552|7:1386|33:3879	2	Ë«Óã¹¬	4¶Î2ÐÇ
28	43	733:1:141	1:66994|6:572|7:1437|33:4020	2	Ë«Óã¹¬	4¶Î3ÐÇ
28	44	733:1:148	1:69388|6:592|7:1488|33:4164	2	Ë«Óã¹¬	4¶Î4ÐÇ
28	45	733:1:154	1:71820|6:613|7:1540|33:4310	2	Ë«Óã¹¬	4¶Î5ÐÇ
28	46	733:1:161	1:74290|6:634|7:1593|33:4458	2	Ë«Óã¹¬	4¶Î6ÐÇ
28	47	733:1:168	1:76798|6:655|7:1647|33:4608	2	Ë«Óã¹¬	4¶Î7ÐÇ
28	48	733:1:175	1:79344|6:677|7:1702|33:4761	2	Ë«Óã¹¬	4¶Î8ÐÇ
28	49	733:1:183	1:81928|6:699|7:1757|33:4916	2	Ë«Óã¹¬	4¶Î9ÐÇ
28	50	733:1:190	1:84550|6:721|7:1813|33:5073	2	Ë«Óã¹¬	4¶Î10ÐÇ
28	51	733:1:198	1:87210|6:744|7:1870|33:5233	3	Ë«Óã¹¬	5¶Î1ÐÇ
28	52	733:1:207	1:89908|6:767|7:1928|33:5395	3	Ë«Óã¹¬	5¶Î2ÐÇ
28	53	733:1:215	1:92644|6:790|7:1987|33:5559	3	Ë«Óã¹¬	5¶Î3ÐÇ
28	54	733:1:224	1:95418|6:814|7:2047|33:5725	3	Ë«Óã¹¬	5¶Î4ÐÇ
28	55	733:1:234	1:98230|6:838|7:2107|33:5894	3	Ë«Óã¹¬	5¶Î5ÐÇ
28	56	733:1:243	1:101080|6:862|7:2168|33:6065	3	Ë«Óã¹¬	5¶Î6ÐÇ
28	57	733:1:253	1:103968|6:887|7:2230|33:6238	3	Ë«Óã¹¬	5¶Î7ÐÇ
28	58	733:1:264	1:106894|6:912|7:2293|33:6414	3	Ë«Óã¹¬	5¶Î8ÐÇ
28	59	733:1:275	1:109858|6:937|7:2357|33:6592	3	Ë«Óã¹¬	5¶Î9ÐÇ
28	60	733:1:303	1:115140|6:982|7:2470|33:6909	3	Ë«Óã¹¬	5¶Î10ÐÇ
28	61	733:1:291|734:1:7	1:120498|6:1028|7:2585|33:7230	4	Ë«Óã¹¬	6¶Î1ÐÇ
28	62	733:1:313|734:1:7	1:125932|6:1074|7:2702|33:7556	4	Ë«Óã¹¬	6¶Î2ÐÇ
28	63	733:1:336|734:1:7	1:131442|6:1121|7:2820|33:7887	4	Ë«Óã¹¬	6¶Î3ÐÇ
28	64	733:1:326|734:1:8	1:137028|6:1169|7:2940|33:8222	4	Ë«Óã¹¬	6¶Î4ÐÇ
28	65	733:1:351|734:1:8	1:142690|6:1217|7:3061|33:8562	4	Ë«Óã¹¬	6¶Î5ÐÇ
28	66	733:1:376|734:1:8	1:148428|6:1266|7:3184|33:8906	4	Ë«Óã¹¬	6¶Î6ÐÇ
28	67	733:1:369|734:1:9	1:154242|6:1316|7:3309|33:9255	4	Ë«Óã¹¬	6¶Î7ÐÇ
28	68	733:1:397|734:1:9	1:160132|6:1366|7:3435|33:9608	4	Ë«Óã¹¬	6¶Î8ÐÇ
28	69	733:1:425|734:1:9	1:166098|6:1417|7:3563|33:9966	4	Ë«Óã¹¬	6¶Î9ÐÇ
28	70	733:1:421|734:1:10	1:172140|6:1469|7:3693|33:10329	4	Ë«Óã¹¬	6¶Î10ÐÇ
28	71	733:1:452|734:1:10	1:178258|6:1521|7:3824|33:10696	5	Ë«Óã¹¬	7¶Î1ÐÇ
28	72	733:1:450|734:1:11	1:184452|6:1574|7:3957|33:11068	5	Ë«Óã¹¬	7¶Î2ÐÇ
28	73	733:1:483|734:1:11	1:190722|6:1628|7:4091|33:11444	5	Ë«Óã¹¬	7¶Î3ÐÇ
28	74	733:1:517|734:1:11	1:197068|6:1682|7:4227|33:11825	5	Ë«Óã¹¬	7¶Î4ÐÇ
28	75	733:1:518|734:1:12	1:203490|6:1737|7:4365|33:12210	5	Ë«Óã¹¬	7¶Î5ÐÇ
28	76	733:1:555|734:1:12	1:209988|6:1793|7:4504|33:12600	5	Ë«Óã¹¬	7¶Î6ÐÇ
28	77	733:1:559|734:1:13	1:216562|6:1849|7:4645|33:12994	5	Ë«Óã¹¬	7¶Î7ÐÇ
28	78	733:1:598|734:1:13	1:223212|6:1906|7:4788|33:13393	5	Ë«Óã¹¬	7¶Î8ÐÇ
28	79	733:1:605|734:1:14	1:229938|6:1964|7:4932|33:13797	5	Ë«Óã¹¬	7¶Î9ÐÇ
28	80	733:1:647|734:1:14	1:236740|6:2022|7:5078|33:14205	5	Ë«Óã¹¬	7¶Î10ÐÇ
28	81	733:1:657|734:1:15	1:243618|6:2081|7:5226|33:14618	6	Ë«Óã¹¬	8¶Î1ÐÇ
28	82	733:1:669|734:1:16	1:250572|6:2140|7:5375|33:15035	6	Ë«Óã¹¬	8¶Î2ÐÇ
28	83	733:1:716|734:1:16	1:257602|6:2200|7:5526|33:15457	6	Ë«Óã¹¬	8¶Î3ÐÇ
28	84	733:1:731|734:1:17	1:264708|6:2261|7:5678|33:15883	6	Ë«Óã¹¬	8¶Î4ÐÇ
28	85	733:1:781|734:1:17	1:271890|6:2322|7:5832|33:16314	6	Ë«Óã¹¬	8¶Î5ÐÇ
28	86	733:1:799|734:1:18	1:279148|6:2384|7:5988|33:16749	6	Ë«Óã¹¬	8¶Î6ÐÇ
28	87	733:1:819|734:1:19	1:286482|6:2447|7:6145|33:17189	6	Ë«Óã¹¬	8¶Î7ÐÇ
28	88	733:1:874|734:1:19	1:293892|6:2510|7:6304|33:17634	6	Ë«Óã¹¬	8¶Î8ÐÇ
28	89	733:1:898|734:1:20	1:301378|6:2574|7:6465|33:18083	6	Ë«Óã¹¬	8¶Î9ÐÇ
28	90	733:1:925|734:1:21	1:308940|6:2639|7:6627|33:18537	6	Ë«Óã¹¬	8¶Î10ÐÇ
28	91	733:1:953|734:1:22	1:316578|6:2704|7:6791|33:18995	7	Ë«Óã¹¬	9¶Î1ÐÇ
28	92	733:1:983|734:1:23	1:324292|6:2770|7:6956|33:19458	7	Ë«Óã¹¬	9¶Î2ÐÇ
28	93	733:1:1049|734:1:23	1:332082|6:2837|7:7123|33:19925	7	Ë«Óã¹¬	9¶Î3ÐÇ
28	94	733:1:1084|734:1:24	1:339948|6:2904|7:7292|33:20397	7	Ë«Óã¹¬	9¶Î4ÐÇ
28	95	733:1:1121|734:1:25	1:347890|6:2972|7:7462|33:20874	7	Ë«Óã¹¬	9¶Î5ÐÇ
28	96	733:1:1160|734:1:26	1:355908|6:3041|7:7634|33:21355	7	Ë«Óã¹¬	9¶Î6ÐÇ
28	97	733:1:1202|734:1:27	1:364002|6:3110|7:7808|33:21841	7	Ë«Óã¹¬	9¶Î7ÐÇ
28	98	733:1:1247|734:1:28	1:372172|6:3180|7:7983|33:22331	7	Ë«Óã¹¬	9¶Î8ÐÇ
28	99	733:1:1295|734:1:29	1:380418|6:3251|7:8160|33:22826	7	Ë«Óã¹¬	9¶Î9ÐÇ
28	100	733:1:1345|734:1:30	1:388740|6:3322|7:8339|33:23325	8	Ë«Óã¹¬	9¶Î10ÐÇ
27	0	-1	-1	0	Ë®Æ¿¹¬	0¶Î0ÐÇ
27	1	733:1:15	1:760|6:6|7:16|33:46	0	Ë®Æ¿¹¬	0¶Î1ÐÇ
27	2	733:1:16	1:1558|6:13|7:33|33:94	0	Ë®Æ¿¹¬	0¶Î2ÐÇ
27	3	733:1:17	1:2394|6:20|7:51|33:144	0	Ë®Æ¿¹¬	0¶Î3ÐÇ
27	4	733:1:18	1:3268|6:27|7:70|33:196	0	Ë®Æ¿¹¬	0¶Î4ÐÇ
27	5	733:1:20	1:4180|6:35|7:90|33:251	0	Ë®Æ¿¹¬	0¶Î5ÐÇ
27	6	733:1:21	1:5130|6:43|7:110|33:308	0	Ë®Æ¿¹¬	0¶Î6ÐÇ
27	7	733:1:22	1:6118|6:51|7:131|33:367	0	Ë®Æ¿¹¬	0¶Î7ÐÇ
27	8	733:1:24	1:7144|6:60|7:153|33:429	0	Ë®Æ¿¹¬	0¶Î8ÐÇ
27	9	733:1:25	1:8208|6:69|7:176|33:493	0	Ë®Æ¿¹¬	0¶Î9ÐÇ
27	10	733:1:27	1:9310|6:78|7:200|33:559	0	Ë®Æ¿¹¬	0¶Î10ÐÇ
27	11	733:1:29	1:10450|6:88|7:224|33:627	0	Ë®Æ¿¹¬	1¶Î1ÐÇ
27	12	733:1:30	1:11628|6:98|7:249|33:698	0	Ë®Æ¿¹¬	1¶Î2ÐÇ
27	13	733:1:32	1:12844|6:108|7:275|33:771	0	Ë®Æ¿¹¬	1¶Î3ÐÇ
27	14	733:1:34	1:14098|6:119|7:302|33:846	0	Ë®Æ¿¹¬	1¶Î4ÐÇ
27	15	733:1:36	1:15390|6:130|7:330|33:924	0	Ë®Æ¿¹¬	1¶Î5ÐÇ
27	16	733:1:38	1:16720|6:141|7:359|33:1004	0	Ë®Æ¿¹¬	1¶Î6ÐÇ
27	17	733:1:41	1:18088|6:153|7:388|33:1086	0	Ë®Æ¿¹¬	1¶Î7ÐÇ
27	18	733:1:43	1:19494|6:165|7:418|33:1170	0	Ë®Æ¿¹¬	1¶Î8ÐÇ
27	19	733:1:45	1:20938|6:177|7:449|33:1257	0	Ë®Æ¿¹¬	1¶Î9ÐÇ
27	20	733:1:48	1:22420|6:190|7:481|33:1346	0	Ë®Æ¿¹¬	1¶Î10ÐÇ
27	21	733:1:50	1:23940|6:203|7:514|33:1437	0	Ë®Æ¿¹¬	2¶Î1ÐÇ
27	22	733:1:53	1:25498|6:216|7:547|33:1530	0	Ë®Æ¿¹¬	2¶Î2ÐÇ
27	23	733:1:56	1:27094|6:230|7:581|33:1626	0	Ë®Æ¿¹¬	2¶Î3ÐÇ
27	24	733:1:59	1:28728|6:244|7:616|33:1724	0	Ë®Æ¿¹¬	2¶Î4ÐÇ
27	25	733:1:62	1:30400|6:258|7:652|33:1824	0	Ë®Æ¿¹¬	2¶Î5ÐÇ
27	26	733:1:65	1:32110|6:273|7:689|33:1927	0	Ë®Æ¿¹¬	2¶Î6ÐÇ
27	27	733:1:68	1:33858|6:288|7:726|33:2032	0	Ë®Æ¿¹¬	2¶Î7ÐÇ
27	28	733:1:71	1:35644|6:303|7:764|33:2139	0	Ë®Æ¿¹¬	2¶Î8ÐÇ
27	29	733:1:75	1:37468|6:319|7:803|33:2248	0	Ë®Æ¿¹¬	2¶Î9ÐÇ
27	30	733:1:79	1:39330|6:335|7:843|33:2360	0	Ë®Æ¿¹¬	2¶Î10ÐÇ
27	31	733:1:82	1:41230|6:351|7:884|33:2474	1	Ë®Æ¿¹¬	3¶Î1ÐÇ
27	32	733:1:86	1:43168|6:368|7:926|33:2590	1	Ë®Æ¿¹¬	3¶Î2ÐÇ
27	33	733:1:90	1:45144|6:385|7:968|33:2709	1	Ë®Æ¿¹¬	3¶Î3ÐÇ
27	34	733:1:95	1:47158|6:402|7:1011|33:2830	1	Ë®Æ¿¹¬	3¶Î4ÐÇ
27	35	733:1:99	1:49210|6:420|7:1055|33:2953	1	Ë®Æ¿¹¬	3¶Î5ÐÇ
27	36	733:1:104	1:51300|6:438|7:1100|33:3078	1	Ë®Æ¿¹¬	3¶Î6ÐÇ
27	37	733:1:109	1:53428|6:456|7:1146|33:3206	1	Ë®Æ¿¹¬	3¶Î7ÐÇ
27	38	733:1:114	1:55594|6:475|7:1192|33:3336	1	Ë®Æ¿¹¬	3¶Î8ÐÇ
27	39	733:1:119	1:57798|6:494|7:1239|33:3468	1	Ë®Æ¿¹¬	3¶Î9ÐÇ
27	40	733:1:124	1:60040|6:513|7:1287|33:3603	1	Ë®Æ¿¹¬	3¶Î10ÐÇ
27	41	733:1:130	1:62320|6:532|7:1336|33:3740	2	Ë®Æ¿¹¬	4¶Î1ÐÇ
27	42	733:1:135	1:64638|6:552|7:1386|33:3879	2	Ë®Æ¿¹¬	4¶Î2ÐÇ
27	43	733:1:141	1:66994|6:572|7:1437|33:4020	2	Ë®Æ¿¹¬	4¶Î3ÐÇ
27	44	733:1:148	1:69388|6:592|7:1488|33:4164	2	Ë®Æ¿¹¬	4¶Î4ÐÇ
27	45	733:1:154	1:71820|6:613|7:1540|33:4310	2	Ë®Æ¿¹¬	4¶Î5ÐÇ
27	46	733:1:161	1:74290|6:634|7:1593|33:4458	2	Ë®Æ¿¹¬	4¶Î6ÐÇ
27	47	733:1:168	1:76798|6:655|7:1647|33:4608	2	Ë®Æ¿¹¬	4¶Î7ÐÇ
27	48	733:1:175	1:79344|6:677|7:1702|33:4761	2	Ë®Æ¿¹¬	4¶Î8ÐÇ
27	49	733:1:183	1:81928|6:699|7:1757|33:4916	2	Ë®Æ¿¹¬	4¶Î9ÐÇ
27	50	733:1:190	1:84550|6:721|7:1813|33:5073	2	Ë®Æ¿¹¬	4¶Î10ÐÇ
27	51	733:1:198	1:87210|6:744|7:1870|33:5233	3	Ë®Æ¿¹¬	5¶Î1ÐÇ
27	52	733:1:207	1:89908|6:767|7:1928|33:5395	3	Ë®Æ¿¹¬	5¶Î2ÐÇ
27	53	733:1:215	1:92644|6:790|7:1987|33:5559	3	Ë®Æ¿¹¬	5¶Î3ÐÇ
27	54	733:1:224	1:95418|6:814|7:2047|33:5725	3	Ë®Æ¿¹¬	5¶Î4ÐÇ
27	55	733:1:234	1:98230|6:838|7:2107|33:5894	3	Ë®Æ¿¹¬	5¶Î5ÐÇ
27	56	733:1:243	1:101080|6:862|7:2168|33:6065	3	Ë®Æ¿¹¬	5¶Î6ÐÇ
27	57	733:1:253	1:103968|6:887|7:2230|33:6238	3	Ë®Æ¿¹¬	5¶Î7ÐÇ
27	58	733:1:264	1:106894|6:912|7:2293|33:6414	3	Ë®Æ¿¹¬	5¶Î8ÐÇ
27	59	733:1:275	1:109858|6:937|7:2357|33:6592	3	Ë®Æ¿¹¬	5¶Î9ÐÇ
27	60	733:1:303	1:115140|6:982|7:2470|33:6909	3	Ë®Æ¿¹¬	5¶Î10ÐÇ
27	61	733:1:291|734:1:7	1:120498|6:1028|7:2585|33:7230	4	Ë®Æ¿¹¬	6¶Î1ÐÇ
27	62	733:1:313|734:1:7	1:125932|6:1074|7:2702|33:7556	4	Ë®Æ¿¹¬	6¶Î2ÐÇ
27	63	733:1:336|734:1:7	1:131442|6:1121|7:2820|33:7887	4	Ë®Æ¿¹¬	6¶Î3ÐÇ
27	64	733:1:326|734:1:8	1:137028|6:1169|7:2940|33:8222	4	Ë®Æ¿¹¬	6¶Î4ÐÇ
27	65	733:1:351|734:1:8	1:142690|6:1217|7:3061|33:8562	4	Ë®Æ¿¹¬	6¶Î5ÐÇ
27	66	733:1:376|734:1:8	1:148428|6:1266|7:3184|33:8906	4	Ë®Æ¿¹¬	6¶Î6ÐÇ
27	67	733:1:369|734:1:9	1:154242|6:1316|7:3309|33:9255	4	Ë®Æ¿¹¬	6¶Î7ÐÇ
27	68	733:1:397|734:1:9	1:160132|6:1366|7:3435|33:9608	4	Ë®Æ¿¹¬	6¶Î8ÐÇ
27	69	733:1:425|734:1:9	1:166098|6:1417|7:3563|33:9966	4	Ë®Æ¿¹¬	6¶Î9ÐÇ
27	70	733:1:421|734:1:10	1:172140|6:1469|7:3693|33:10329	4	Ë®Æ¿¹¬	6¶Î10ÐÇ
27	71	733:1:452|734:1:10	1:178258|6:1521|7:3824|33:10696	5	Ë®Æ¿¹¬	7¶Î1ÐÇ
27	72	733:1:450|734:1:11	1:184452|6:1574|7:3957|33:11068	5	Ë®Æ¿¹¬	7¶Î2ÐÇ
27	73	733:1:483|734:1:11	1:190722|6:1628|7:4091|33:11444	5	Ë®Æ¿¹¬	7¶Î3ÐÇ
27	74	733:1:517|734:1:11	1:197068|6:1682|7:4227|33:11825	5	Ë®Æ¿¹¬	7¶Î4ÐÇ
27	75	733:1:518|734:1:12	1:203490|6:1737|7:4365|33:12210	5	Ë®Æ¿¹¬	7¶Î5ÐÇ
27	76	733:1:555|734:1:12	1:209988|6:1793|7:4504|33:12600	5	Ë®Æ¿¹¬	7¶Î6ÐÇ
27	77	733:1:559|734:1:13	1:216562|6:1849|7:4645|33:12994	5	Ë®Æ¿¹¬	7¶Î7ÐÇ
27	78	733:1:598|734:1:13	1:223212|6:1906|7:4788|33:13393	5	Ë®Æ¿¹¬	7¶Î8ÐÇ
27	79	733:1:605|734:1:14	1:229938|6:1964|7:4932|33:13797	5	Ë®Æ¿¹¬	7¶Î9ÐÇ
27	80	733:1:647|734:1:14	1:236740|6:2022|7:5078|33:14205	5	Ë®Æ¿¹¬	7¶Î10ÐÇ
27	81	733:1:657|734:1:15	1:243618|6:2081|7:5226|33:14618	6	Ë®Æ¿¹¬	8¶Î1ÐÇ
27	82	733:1:669|734:1:16	1:250572|6:2140|7:5375|33:15035	6	Ë®Æ¿¹¬	8¶Î2ÐÇ
27	83	733:1:716|734:1:16	1:257602|6:2200|7:5526|33:15457	6	Ë®Æ¿¹¬	8¶Î3ÐÇ
27	84	733:1:731|734:1:17	1:264708|6:2261|7:5678|33:15883	6	Ë®Æ¿¹¬	8¶Î4ÐÇ
27	85	733:1:781|734:1:17	1:271890|6:2322|7:5832|33:16314	6	Ë®Æ¿¹¬	8¶Î5ÐÇ
27	86	733:1:799|734:1:18	1:279148|6:2384|7:5988|33:16749	6	Ë®Æ¿¹¬	8¶Î6ÐÇ
27	87	733:1:819|734:1:19	1:286482|6:2447|7:6145|33:17189	6	Ë®Æ¿¹¬	8¶Î7ÐÇ
27	88	733:1:874|734:1:19	1:293892|6:2510|7:6304|33:17634	6	Ë®Æ¿¹¬	8¶Î8ÐÇ
27	89	733:1:898|734:1:20	1:301378|6:2574|7:6465|33:18083	6	Ë®Æ¿¹¬	8¶Î9ÐÇ
27	90	733:1:925|734:1:21	1:308940|6:2639|7:6627|33:18537	6	Ë®Æ¿¹¬	8¶Î10ÐÇ
27	91	733:1:953|734:1:22	1:316578|6:2704|7:6791|33:18995	7	Ë®Æ¿¹¬	9¶Î1ÐÇ
27	92	733:1:983|734:1:23	1:324292|6:2770|7:6956|33:19458	7	Ë®Æ¿¹¬	9¶Î2ÐÇ
27	93	733:1:1049|734:1:23	1:332082|6:2837|7:7123|33:19925	7	Ë®Æ¿¹¬	9¶Î3ÐÇ
27	94	733:1:1084|734:1:24	1:339948|6:2904|7:7292|33:20397	7	Ë®Æ¿¹¬	9¶Î4ÐÇ
27	95	733:1:1121|734:1:25	1:347890|6:2972|7:7462|33:20874	7	Ë®Æ¿¹¬	9¶Î5ÐÇ
27	96	733:1:1160|734:1:26	1:355908|6:3041|7:7634|33:21355	7	Ë®Æ¿¹¬	9¶Î6ÐÇ
27	97	733:1:1202|734:1:27	1:364002|6:3110|7:7808|33:21841	7	Ë®Æ¿¹¬	9¶Î7ÐÇ
27	98	733:1:1247|734:1:28	1:372172|6:3180|7:7983|33:22331	7	Ë®Æ¿¹¬	9¶Î8ÐÇ
27	99	733:1:1295|734:1:29	1:380418|6:3251|7:8160|33:22826	7	Ë®Æ¿¹¬	9¶Î9ÐÇ
27	100	733:1:1345|734:1:30	1:388740|6:3322|7:8339|33:23325	8	Ë®Æ¿¹¬	9¶Î10ÐÇ
17	0	-1	-1	0	°×Ñò¹¬	0¶Î0ÐÇ
17	1	731:1:15	1:380|6:10|7:24	0	°×Ñò¹¬	0¶Î1ÐÇ
17	2	731:1:16	1:779|6:20|7:50	0	°×Ñò¹¬	0¶Î2ÐÇ
17	3	731:1:17	1:1197|6:31|7:77	0	°×Ñò¹¬	0¶Î3ÐÇ
17	4	731:1:18	1:1634|6:42|7:105	0	°×Ñò¹¬	0¶Î4ÐÇ
17	5	731:1:20	1:2090|6:54|7:134	0	°×Ñò¹¬	0¶Î5ÐÇ
17	6	731:1:21	1:2565|6:66|7:165	0	°×Ñò¹¬	0¶Î6ÐÇ
17	7	731:1:22	1:3059|6:79|7:197	0	°×Ñò¹¬	0¶Î7ÐÇ
17	8	731:1:24	1:3572|6:92|7:230	0	°×Ñò¹¬	0¶Î8ÐÇ
17	9	731:1:25	1:4104|6:106|7:264	0	°×Ñò¹¬	0¶Î9ÐÇ
17	10	731:1:27	1:4655|6:120|7:299	0	°×Ñò¹¬	0¶Î10ÐÇ
17	11	731:1:29	1:5225|6:135|7:336	0	°×Ñò¹¬	1¶Î1ÐÇ
17	12	731:1:30	1:5814|6:150|7:374	0	°×Ñò¹¬	1¶Î2ÐÇ
17	13	731:1:32	1:6422|6:166|7:413	0	°×Ñò¹¬	1¶Î3ÐÇ
17	14	731:1:34	1:7049|6:182|7:453	0	°×Ñò¹¬	1¶Î4ÐÇ
17	15	731:1:36	1:7695|6:199|7:495	0	°×Ñò¹¬	1¶Î5ÐÇ
17	16	731:1:38	1:8360|6:216|7:538	0	°×Ñò¹¬	1¶Î6ÐÇ
17	17	731:1:41	1:9044|6:234|7:582	0	°×Ñò¹¬	1¶Î7ÐÇ
17	18	731:1:43	1:9747|6:252|7:627	0	°×Ñò¹¬	1¶Î8ÐÇ
17	19	731:1:45	1:10469|6:271|7:673	0	°×Ñò¹¬	1¶Î9ÐÇ
17	20	731:1:48	1:11210|6:290|7:721	0	°×Ñò¹¬	1¶Î10ÐÇ
17	21	731:1:50	1:11970|6:309|7:770	0	°×Ñò¹¬	2¶Î1ÐÇ
17	22	731:1:53	1:12749|6:329|7:820	0	°×Ñò¹¬	2¶Î2ÐÇ
17	23	731:1:56	1:13547|6:349|7:871	0	°×Ñò¹¬	2¶Î3ÐÇ
17	24	731:1:59	1:14364|6:370|7:924	0	°×Ñò¹¬	2¶Î4ÐÇ
17	25	731:1:62	1:15200|6:391|7:978	0	°×Ñò¹¬	2¶Î5ÐÇ
17	26	731:1:65	1:16055|6:413|7:1033	0	°×Ñò¹¬	2¶Î6ÐÇ
17	27	731:1:68	1:16929|6:435|7:1089	0	°×Ñò¹¬	2¶Î7ÐÇ
17	28	731:1:71	1:17822|6:458|7:1146	0	°×Ñò¹¬	2¶Î8ÐÇ
17	29	731:1:75	1:18734|6:481|7:1205	0	°×Ñò¹¬	2¶Î9ÐÇ
17	30	731:1:79	1:19665|6:505|7:1265	0	°×Ñò¹¬	2¶Î10ÐÇ
17	31	731:1:82	1:20615|6:529|7:1326	1	°×Ñò¹¬	3¶Î1ÐÇ
17	32	731:1:86	1:21584|6:554|7:1388	1	°×Ñò¹¬	3¶Î2ÐÇ
17	33	731:1:90	1:22572|6:579|7:1452	1	°×Ñò¹¬	3¶Î3ÐÇ
17	34	731:1:95	1:23579|6:605|7:1517	1	°×Ñò¹¬	3¶Î4ÐÇ
17	35	731:1:99	1:24605|6:631|7:1583	1	°×Ñò¹¬	3¶Î5ÐÇ
17	36	731:1:104	1:25650|6:658|7:1650	1	°×Ñò¹¬	3¶Î6ÐÇ
17	37	731:1:109	1:26714|6:685|7:1718	1	°×Ñò¹¬	3¶Î7ÐÇ
17	38	731:1:114	1:27797|6:713|7:1788	1	°×Ñò¹¬	3¶Î8ÐÇ
