INT	INT	INT	STRING	STRING	INT	STRING
81	25	9500	4:281|5:702|1:10530	21:1:14	0	#00ff00|淬炼成功率：95%
81	26	9500	4:302|5:756|1:11340	21:1:18	0	#00ff00|淬炼成功率：95%
81	27	9500	4:324|5:810|1:12150	21:1:18	0	#00ff00|淬炼成功率：95%
81	28	9500	4:346|5:864|1:12960	21:1:18	0	#00ff00|淬炼成功率：95%
81	29	9500	4:367|5:918|1:13770	21:1:18	0	#00ff00|淬炼成功率：95%
81	30	9500	4:389|5:972|1:14580	21:1:18	0	#00ff00|淬炼成功率：95%
81	31	9000	4:410|5:1026|1:15390	21:1:26	0	#00ff00|淬炼成功率：90%
81	32	9000	4:432|5:1080|1:16200	21:1:26	0	#00ff00|淬炼成功率：90%
81	33	9000	4:454|5:1134|1:17010	21:1:26	0	#00ff00|淬炼成功率：90%
81	34	9000	4:475|5:1188|1:17820	21:1:26	0	#00ff00|淬炼成功率：90%
81	35	9000	4:497|5:1242|1:18630	21:1:26	0	#00ff00|淬炼成功率：90%
81	36	8500	4:518|5:1296|1:19440	21:1:34	0	#00ff00|淬炼成功率：85%
81	37	8500	4:540|5:1350|1:20250	21:1:34	0	#00ff00|淬炼成功率：85%
81	38	8500	4:562|5:1404|1:21060	21:1:34	0	#00ff00|淬炼成功率：85%
81	39	8500	4:583|5:1458|1:21870	21:1:34	0	#00ff00|淬炼成功率：85%
81	40	8500	4:605|5:1512|1:22680	21:1:34	0	#00ff00|淬炼成功率：85%
81	41	8000	4:648|5:1620|1:24300	21:1:46	0	#00ff00|淬炼成功率：80%
81	42	8000	4:691|5:1728|1:25920	21:1:46	0	#00ff00|淬炼成功率：80%
81	43	8000	4:734|5:1836|1:27540	21:1:46	0	#00ff00|淬炼成功率：80%
81	44	8000	4:778|5:1944|1:29160	21:1:46	0	#00ff00|淬炼成功率：80%
81	45	8000	4:821|5:2052|1:30780	21:1:46	0	#00ff00|淬炼成功率：80%
81	46	7500	4:864|5:2160|1:32400	21:1:58	0	#00ff00|淬炼成功率：75%
81	47	7500	4:907|5:2268|1:34020	21:1:58	0	#00ff00|淬炼成功率：75%
81	48	7500	4:950|5:2376|1:35640	21:1:58	0	#00ff00|淬炼成功率：75%
81	49	7500	4:994|5:2484|1:37260	21:1:58	0	#00ff00|淬炼成功率：75%
81	50	7500	4:1037|5:2592|1:38880	21:1:58	0	#00ff00|淬炼成功率：75%
81	51	7000	4:1080|5:2700|1:40500	21:1:74	0	#00ff00|淬炼成功率：70%
81	52	7000	4:1123|5:2808|1:42120	21:1:74	0	#00ff00|淬炼成功率：70%
81	53	7000	4:1166|5:2916|1:43740	21:1:74	0	#00ff00|淬炼成功率：70%
81	54	7000	4:1210|5:3024|1:45360	21:1:74	0	#00ff00|淬炼成功率：70%
81	55	7000	4:1253|5:3132|1:46980	21:1:74	0	#00ff00|淬炼成功率：70%
81	56	6500	4:1296|5:3240|1:48600	21:1:90	0	#00ff00|淬炼成功率：65%
81	57	6500	4:1339|5:3348|1:50220	21:1:90	0	#00ff00|淬炼成功率：65%
81	58	6500	4:1382|5:3456|1:51840	21:1:90	0	#00ff00|淬炼成功率：65%
81	59	6500	4:1426|5:3564|1:53460	21:1:90	0	#00ff00|淬炼成功率：65%
81	60	6500	4:1469|5:3672|1:55080	21:1:90	0	#00ff00|淬炼成功率：65%
81	61	6000	4:1534|5:3834|1:57510	21:1:110	0	#00ff00|淬炼成功率：60%
81	62	6000	4:1598|5:3996|1:59940	21:1:110	0	#00ff00|淬炼成功率：60%
81	63	6000	4:1663|5:4158|1:62370	21:1:110	0	#00ff00|淬炼成功率：60%
81	64	6000	4:1728|5:4320|1:64800	21:1:110	0	#00ff00|淬炼成功率：60%
81	65	6000	4:1793|5:4482|1:67230	21:1:110	0	#00ff00|淬炼成功率：60%
81	66	5500	4:1858|5:4644|1:69660	21:1:130	0	#00ff00|淬炼成功率：55%
81	67	5500	4:1922|5:4806|1:72090	21:1:130	0	#00ff00|淬炼成功率：55%
81	68	5500	4:1987|5:4968|1:74520	21:1:130	0	#00ff00|淬炼成功率：55%
81	69	5500	4:2052|5:5130|1:76950	21:1:130	0	#00ff00|淬炼成功率：55%
81	70	5500	4:2117|5:5292|1:79380	21:1:130	0	#00ff00|淬炼成功率：55%
81	71	5000	4:2182|5:5454|1:81810	21:1:150	0	#00ff00|淬炼成功率：50%
81	72	5000	4:2246|5:5616|1:84240	21:1:150	0	#00ff00|淬炼成功率：50%
81	73	5000	4:2311|5:5778|1:86670	21:1:150	0	#00ff00|淬炼成功率：50%
81	74	5000	4:2376|5:5940|1:89100	21:1:150	0	#00ff00|淬炼成功率：50%
81	75	5000	4:2441|5:6102|1:91530	21:1:150	0	#00ff00|淬炼成功率：50%
81	76	4500	4:2506|5:6264|1:93960	21:1:170	0	#00ff00|淬炼成功率：45%
81	77	4500	4:2570|5:6426|1:96390	21:1:170	0	#00ff00|淬炼成功率：45%
81	78	4500	4:2635|5:6588|1:98820	21:1:170	0	#00ff00|淬炼成功率：45%
81	79	4500	4:2700|5:6750|1:101250	21:1:170	0	#00ff00|淬炼成功率：45%
81	80	4500	4:2765|5:6912|1:103680	21:1:170	0	#00ff00|淬炼成功率：45%
81	81	4000	4:2843|5:7106|1:106596	21:1:190	0	#00ff00|淬炼成功率：40%
81	82	4000	4:2920|5:7301|1:109512	21:1:190	0	#00ff00|淬炼成功率：40%
81	83	4000	4:2998|5:7495|1:112428	21:1:190	0	#00ff00|淬炼成功率：40%
81	84	4000	4:3076|5:7690|1:115344	21:1:190	0	#00ff00|淬炼成功率：40%
81	85	4000	4:3154|5:7884|1:118260	21:1:190	0	#00ff00|淬炼成功率：40%
81	86	3500	4:3231|5:8078|1:121176	21:1:210	0	#00ff00|淬炼成功率：35%
81	87	3500	4:3309|5:8273|1:124092	21:1:210	0	#00ff00|淬炼成功率：35%
81	88	3500	4:3387|5:8467|1:127008	21:1:210	0	#00ff00|淬炼成功率：35%
81	89	3500	4:3465|5:8662|1:129924	21:1:210	0	#00ff00|淬炼成功率：35%
81	90	3500	4:3542|5:8856|1:132840	21:1:210	0	#00ff00|淬炼成功率：35%
81	91	3000	4:3620|5:9050|1:135756	21:1:230	0	#00ff00|淬炼成功率：30%
81	92	3000	4:3698|5:9245|1:138672	21:1:230	0	#00ff00|淬炼成功率：30%
81	93	3000	4:3776|5:9439|1:141588	21:1:230	0	#00ff00|淬炼成功率：30%
81	94	3000	4:3853|5:9634|1:144504	21:1:230	0	#00ff00|淬炼成功率：30%
81	95	3000	4:3931|5:9828|1:147420	21:1:230	0	#00ff00|淬炼成功率：30%
81	96	2500	4:4009|5:10022|1:150336	21:1:250	0	#00ff00|淬炼成功率：25%
81	97	2500	4:4087|5:10217|1:153252	21:1:250	0	#00ff00|淬炼成功率：25%
81	98	2500	4:4164|5:10411|1:156168	21:1:250	0	#00ff00|淬炼成功率：25%
81	99	2500	4:4242|5:10606|1:159084	21:1:250	0	#00ff00|淬炼成功率：25%
81	100	2500	4:4320|5:10800|1:162000	21:1:250	0	#00ff00|淬炼成功率：25%
82	1	10000	7:6|4:9|5:22|6:3	21:1:4	0	#00ff00|淬炼成功率：100%
82	2	10000	7:13|4:17|5:43|6:5	21:1:4	0	#00ff00|淬炼成功率：100%
82	3	10000	7:19|4:26|5:65|6:8	21:1:4	0	#00ff00|淬炼成功率：100%
82	4	10000	7:26|4:35|5:86|6:10	21:1:4	0	#00ff00|淬炼成功率：100%
82	5	10000	7:32|4:43|5:108|6:13	21:1:4	0	#00ff00|淬炼成功率：100%
82	6	10000	7:39|4:52|5:130|6:16	21:1:6	0	#00ff00|淬炼成功率：100%
82	7	10000	7:45|4:60|5:151|6:18	21:1:6	0	#00ff00|淬炼成功率：100%
82	8	10000	7:52|4:69|5:173|6:21	21:1:6	0	#00ff00|淬炼成功率：100%
82	9	10000	7:58|4:78|5:194|6:23	21:1:6	0	#00ff00|淬炼成功率：100%
82	10	10000	7:65|4:86|5:216|6:26	21:1:6	0	#00ff00|淬炼成功率：100%
82	11	10000	7:71|4:95|5:238|6:29	21:1:8	0	#00ff00|淬炼成功率：100%
82	12	10000	7:78|4:104|5:259|6:31	21:1:8	0	#00ff00|淬炼成功率：100%
82	13	10000	7:84|4:112|5:281|6:34	21:1:8	0	#00ff00|淬炼成功率：100%
82	14	10000	7:91|4:121|5:302|6:36	21:1:8	0	#00ff00|淬炼成功率：100%
82	15	10000	7:97|4:130|5:324|6:39	21:1:8	0	#00ff00|淬炼成功率：100%
82	16	10000	7:104|4:138|5:346|6:41	21:1:10	0	#00ff00|淬炼成功率：100%
82	17	10000	7:110|4:147|5:367|6:44	21:1:10	0	#00ff00|淬炼成功率：100%
82	18	10000	7:117|4:156|5:389|6:47	21:1:10	0	#00ff00|淬炼成功率：100%
82	19	10000	7:123|4:164|5:410|6:49	21:1:10	0	#00ff00|淬炼成功率：100%
82	20	10000	7:130|4:173|5:432|6:52	21:1:10	0	#00ff00|淬炼成功率：100%
82	21	9500	7:146|4:194|5:486|6:58	21:1:14	0	#00ff00|淬炼成功率：95%
82	22	9500	7:162|4:216|5:540|6:65	21:1:14	0	#00ff00|淬炼成功率：95%
82	23	9500	7:178|4:238|5:594|6:71	21:1:14	0	#00ff00|淬炼成功率：95%
82	24	9500	7:194|4:259|5:648|6:78	21:1:14	0	#00ff00|淬炼成功率：95%
82	25	9500	7:211|4:281|5:702|6:84	21:1:14	0	#00ff00|淬炼成功率：95%
82	26	9500	7:227|4:302|5:756|6:91	21:1:18	0	#00ff00|淬炼成功率：95%
82	27	9500	7:243|4:324|5:810|6:97	21:1:18	0	#00ff00|淬炼成功率：95%
82	28	9500	7:259|4:346|5:864|6:104	21:1:18	0	#00ff00|淬炼成功率：95%
82	29	9500	7:275|4:367|5:918|6:110	21:1:18	0	#00ff00|淬炼成功率：95%
82	30	9500	7:292|4:389|5:972|6:117	21:1:18	0	#00ff00|淬炼成功率：95%
82	31	9000	7:308|4:410|5:1026|6:123	21:1:26	0	#00ff00|淬炼成功率：90%
82	32	9000	7:324|4:432|5:1080|6:130	21:1:26	0	#00ff00|淬炼成功率：90%
82	33	9000	7:340|4:454|5:1134|6:136	21:1:26	0	#00ff00|淬炼成功率：90%
82	34	9000	7:356|4:475|5:1188|6:143	21:1:26	0	#00ff00|淬炼成功率：90%
82	35	9000	7:373|4:497|5:1242|6:149	21:1:26	0	#00ff00|淬炼成功率：90%
82	36	8500	7:389|4:518|5:1296|6:156	21:1:34	0	#00ff00|淬炼成功率：85%
82	37	8500	7:405|4:540|5:1350|6:162	21:1:34	0	#00ff00|淬炼成功率：85%
82	38	8500	7:421|4:562|5:1404|6:168	21:1:34	0	#00ff00|淬炼成功率：85%
82	39	8500	7:437|4:583|5:1458|6:175	21:1:34	0	#00ff00|淬炼成功率：85%
82	40	8500	7:454|4:605|5:1512|6:181	21:1:34	0	#00ff00|淬炼成功率：85%
82	41	8000	7:486|4:648|5:1620|6:194	21:1:46	0	#00ff00|淬炼成功率：80%
82	42	8000	7:518|4:691|5:1728|6:207	21:1:46	0	#00ff00|淬炼成功率：80%
82	43	8000	7:551|4:734|5:1836|6:220	21:1:46	0	#00ff00|淬炼成功率：80%
82	44	8000	7:583|4:778|5:1944|6:233	21:1:46	0	#00ff00|淬炼成功率：80%
82	45	8000	7:616|4:821|5:2052|6:246	21:1:46	0	#00ff00|淬炼成功率：80%
82	46	7500	7:648|4:864|5:2160|6:259	21:1:58	0	#00ff00|淬炼成功率：75%
82	47	7500	7:680|4:907|5:2268|6:272	21:1:58	0	#00ff00|淬炼成功率：75%
82	48	7500	7:713|4:950|5:2376|6:285	21:1:58	0	#00ff00|淬炼成功率：75%
82	49	7500	7:745|4:994|5:2484|6:298	21:1:58	0	#00ff00|淬炼成功率：75%
82	50	7500	7:778|4:1037|5:2592|6:311	21:1:58	0	#00ff00|淬炼成功率：75%
82	51	7000	7:810|4:1080|5:2700|6:324	21:1:74	0	#00ff00|淬炼成功率：70%
82	52	7000	7:842|4:1123|5:2808|6:337	21:1:74	0	#00ff00|淬炼成功率：70%
82	53	7000	7:875|4:1166|5:2916|6:350	21:1:74	0	#00ff00|淬炼成功率：70%
82	54	7000	7:907|4:1210|5:3024|6:363	21:1:74	0	#00ff00|淬炼成功率：70%
82	55	7000	7:940|4:1253|5:3132|6:376	21:1:74	0	#00ff00|淬炼成功率：70%
82	56	6500	7:972|4:1296|5:3240|6:389	21:1:90	0	#00ff00|淬炼成功率：65%
82	57	6500	7:1004|4:1339|5:3348|6:402	21:1:90	0	#00ff00|淬炼成功率：65%
82	58	6500	7:1037|4:1382|5:3456|6:415	21:1:90	0	#00ff00|淬炼成功率：65%
82	59	6500	7:1069|4:1426|5:3564|6:428	21:1:90	0	#00ff00|淬炼成功率：65%
82	60	6500	7:1102|4:1469|5:3672|6:441	21:1:90	0	#00ff00|淬炼成功率：65%
82	61	6000	7:1150|4:1534|5:3834|6:460	21:1:110	0	#00ff00|淬炼成功率：60%
82	62	6000	7:1199|4:1598|5:3996|6:480	21:1:110	0	#00ff00|淬炼成功率：60%
82	63	6000	7:1247|4:1663|5:4158|6:499	21:1:110	0	#00ff00|淬炼成功率：60%
82	64	6000	7:1296|4:1728|5:4320|6:518	21:1:110	0	#00ff00|淬炼成功率：60%
82	65	6000	7:1345|4:1793|5:4482|6:538	21:1:110	0	#00ff00|淬炼成功率：60%
82	66	5500	7:1393|4:1858|5:4644|6:557	21:1:130	0	#00ff00|淬炼成功率：55%
82	67	5500	7:1442|4:1922|5:4806|6:577	21:1:130	0	#00ff00|淬炼成功率：55%
82	68	5500	7:1490|4:1987|5:4968|6:596	21:1:130	0	#00ff00|淬炼成功率：55%
82	69	5500	7:1539|4:2052|5:5130|6:616	21:1:130	0	#00ff00|淬炼成功率：55%
82	70	5500	7:1588|4:2117|5:5292|6:635	21:1:130	0	#00ff00|淬炼成功率：55%
82	71	5000	7:1636|4:2182|5:5454|6:654	21:1:150	0	#00ff00|淬炼成功率：50%
82	72	5000	7:1685|4:2246|5:5616|6:674	21:1:150	0	#00ff00|淬炼成功率：50%
82	73	5000	7:1733|4:2311|5:5778|6:693	21:1:150	0	#00ff00|淬炼成功率：50%
82	74	5000	7:1782|4:2376|5:5940|6:713	21:1:150	0	#00ff00|淬炼成功率：50%
82	75	5000	7:1831|4:2441|5:6102|6:732	21:1:150	0	#00ff00|淬炼成功率：50%
82	76	4500	7:1879|4:2506|5:6264|6:752	21:1:170	0	#00ff00|淬炼成功率：45%
82	77	4500	7:1928|4:2570|5:6426|6:771	21:1:170	0	#00ff00|淬炼成功率：45%
82	78	4500	7:1976|4:2635|5:6588|6:791	21:1:170	0	#00ff00|淬炼成功率：45%
82	79	4500	7:2025|4:2700|5:6750|6:810	21:1:170	0	#00ff00|淬炼成功率：45%
82	80	4500	7:2074|4:2765|5:6912|6:829	21:1:170	0	#00ff00|淬炼成功率：45%
82	81	4000	7:2132|4:2843|5:7106|6:853	21:1:190	0	#00ff00|淬炼成功率：40%
82	82	4000	7:2190|4:2920|5:7301|6:876	21:1:190	0	#00ff00|淬炼成功率：40%
82	83	4000	7:2249|4:2998|5:7495|6:899	21:1:190	0	#00ff00|淬炼成功率：40%
82	84	4000	7:2307|4:3076|5:7690|6:923	21:1:190	0	#00ff00|淬炼成功率：40%
82	85	4000	7:2365|4:3154|5:7884|6:946	21:1:190	0	#00ff00|淬炼成功率：40%
82	86	3500	7:2424|4:3231|5:8078|6:969	21:1:210	0	#00ff00|淬炼成功率：35%
82	87	3500	7:2482|4:3309|5:8273|6:993	21:1:210	0	#00ff00|淬炼成功率：35%
82	88	3500	7:2540|4:3387|5:8467|6:1016	21:1:210	0	#00ff00|淬炼成功率：35%
82	89	3500	7:2598|4:3465|5:8662|6:1039	21:1:210	0	#00ff00|淬炼成功率：35%
82	90	3500	7:2657|4:3542|5:8856|6:1063	21:1:210	0	#00ff00|淬炼成功率：35%
82	91	3000	7:2715|4:3620|5:9050|6:1086	21:1:230	0	#00ff00|淬炼成功率：30%
82	92	3000	7:2773|4:3698|5:9245|6:1109	21:1:230	0	#00ff00|淬炼成功率：30%
82	93	3000	7:2832|4:3776|5:9439|6:1133	21:1:230	0	#00ff00|淬炼成功率：30%
82	94	3000	7:2890|4:3853|5:9634|6:1156	21:1:230	0	#00ff00|淬炼成功率：30%
82	95	3000	7:2948|4:3931|5:9828|6:1179	21:1:230	0	#00ff00|淬炼成功率：30%
82	96	2500	7:3007|4:4009|5:10022|6:1203	21:1:250	0	#00ff00|淬炼成功率：25%
82	97	2500	7:3065|4:4087|5:10217|6:1226	21:1:250	0	#00ff00|淬炼成功率：25%
82	98	2500	7:3123|4:4164|5:10411|6:1249	21:1:250	0	#00ff00|淬炼成功率：25%
82	99	2500	7:3182|4:4242|5:10606|6:1273	21:1:250	0	#00ff00|淬炼成功率：25%
82	100	2500	7:3240|4:4320|5:10800|6:1296	21:1:250	0	#00ff00|淬炼成功率：25%
83	1	10000	7:6|6:3|1:1944	21:1:4	0	#00ff00|淬炼成功率：100%
83	2	10000	7:13|6:5|1:3888	21:1:4	0	#00ff00|淬炼成功率：100%
83	3	10000	7:19|6:8|1:5832	21:1:4	0	#00ff00|淬炼成功率：100%
83	4	10000	7:26|6:10|1:7776	21:1:4	0	#00ff00|淬炼成功率：100%
83	5	10000	7:32|6:13|1:9720	21:1:4	0	#00ff00|淬炼成功率：100%
83	6	10000	7:39|6:16|1:11664	21:1:6	0	#00ff00|淬炼成功率：100%
83	7	10000	7:45|6:18|1:13608	21:1:6	0	#00ff00|淬炼成功率：100%
83	8	10000	7:52|6:21|1:15552	21:1:6	0	#00ff00|淬炼成功率：100%
83	9	10000	7:58|6:23|1:17496	21:1:6	0	#00ff00|淬炼成功率：100%
83	10	10000	7:65|6:26|1:19440	21:1:6	0	#00ff00|淬炼成功率：100%
83	11	10000	7:71|6:29|1:21384	21:1:8	0	#00ff00|淬炼成功率：100%
83	12	10000	7:78|6:31|1:23328	21:1:8	0	#00ff00|淬炼成功率：100%
83	13	10000	7:84|6:34|1:25272	21:1:8	0	#00ff00|淬炼成功率：100%
83	14	10000	7:91|6:36|1:27216	21:1:8	0	#00ff00|淬炼成功率：100%
83	15	10000	7:97|6:39|1:29160	21:1:8	0	#00ff00|淬炼成功率：100%
83	16	10000	7:104|6:41|1:31104	21:1:10	0	#00ff00|淬炼成功率：100%
83	17	10000	7:110|6:44|1:33048	21:1:10	0	#00ff00|淬炼成功率：100%
83	18	10000	7:117|6:47|1:34992	21:1:10	0	#00ff00|淬炼成功率：100%
83	19	10000	7:123|6:49|1:36936	21:1:10	0	#00ff00|淬炼成功率：100%
83	20	10000	7:130|6:52|1:38880	21:1:10	0	#00ff00|淬炼成功率：100%
83	21	9500	7:146|6:58|1:43740	21:1:14	0	#00ff00|淬炼成功率：95%
83	22	9500	7:162|6:65|1:48600	21:1:14	0	#00ff00|淬炼成功率：95%
83	23	9500	7:178|6:71|1:53460	21:1:14	0	#00ff00|淬炼成功率：95%
83	24	9500	7:194|6:78|1:58320	21:1:14	0	#00ff00|淬炼成功率：95%
83	25	9500	7:211|6:84|1:63180	21:1:14	0	#00ff00|淬炼成功率：95%
83	26	9500	7:227|6:91|1:68040	21:1:18	0	#00ff00|淬炼成功率：95%
83	27	9500	7:243|6:97|1:72900	21:1:18	0	#00ff00|淬炼成功率：95%
83	28	9500	7:259|6:104|1:77760	21:1:18	0	#00ff00|淬炼成功率：95%
83	29	9500	7:275|6:110|1:82620	21:1:18	0	#00ff00|淬炼成功率：95%
83	30	9500	7:292|6:117|1:87480	21:1:18	0	#00ff00|淬炼成功率：95%
83	31	9000	7:308|6:123|1:92340	21:1:26	0	#00ff00|淬炼成功率：90%
83	32	9000	7:324|6:130|1:97200	21:1:26	0	#00ff00|淬炼成功率：90%
83	33	9000	7:340|6:136|1:102060	21:1:26	0	#00ff00|淬炼成功率：90%
83	34	9000	7:356|6:143|1:106920	21:1:26	0	#00ff00|淬炼成功率：90%
83	35	9000	7:373|6:149|1:111780	21:1:26	0	#00ff00|淬炼成功率：90%
83	36	8500	7:389|6:156|1:116640	21:1:34	0	#00ff00|淬炼成功率：85%
83	37	8500	7:405|6:162|1:121500	21:1:34	0	#00ff00|淬炼成功率：85%
83	38	8500	7:421|6:168|1:126360	21:1:34	0	#00ff00|淬炼成功率：85%
83	39	8500	7:437|6:175|1:131220	21:1:34	0	#00ff00|淬炼成功率：85%
83	40	8500	7:454|6:181|1:136080	21:1:34	0	#00ff00|淬炼成功率：85%
83	41	8000	7:486|6:194|1:145800	21:1:46	0	#00ff00|淬炼成功率：80%
83	42	8000	7:518|6:207|1:155520	21:1:46	0	#00ff00|淬炼成功率：80%
83	43	8000	7:551|6:220|1:165240	21:1:46	0	#00ff00|淬炼成功率：80%
83	44	8000	7:583|6:233|1:174960	21:1:46	0	#00ff00|淬炼成功率：80%
83	45	8000	7:616|6:246|1:184680	21:1:46	0	#00ff00|淬炼成功率：80%
83	46	7500	7:648|6:259|1:194400	21:1:58	0	#00ff00|淬炼成功率：75%
83	47	7500	7:680|6:272|1:204120	21:1:58	0	#00ff00|淬炼成功率：75%
83	48	7500	7:713|6:285|1:213840	21:1:58	0	#00ff00|淬炼成功率：75%
83	49	7500	7:745|6:298|1:223560	21:1:58	0	#00ff00|淬炼成功率：75%
83	50	7500	7:778|6:311|1:233280	21:1:58	0	#00ff00|淬炼成功率：75%
83	51	7000	7:810|6:324|1:243000	21:1:74	0	#00ff00|淬炼成功率：70%
83	52	7000	7:842|6:337|1:252720	21:1:74	0	#00ff00|淬炼成功率：70%
83	53	7000	7:875|6:350|1:262440	21:1:74	0	#00ff00|淬炼成功率：70%
83	54	7000	7:907|6:363|1:272160	21:1:74	0	#00ff00|淬炼成功率：70%
83	55	7000	7:940|6:376|1:281880	21:1:74	0	#00ff00|淬炼成功率：70%
83	56	6500	7:972|6:389|1:291600	21:1:90	0	#00ff00|淬炼成功率：65%
83	57	6500	7:1004|6:402|1:301320	21:1:90	0	#00ff00|淬炼成功率：65%
83	58	6500	7:1037|6:415|1:311040	21:1:90	0	#00ff00|淬炼成功率：65%
83	59	6500	7:1069|6:428|1:320760	21:1:90	0	#00ff00|淬炼成功率：65%
83	60	6500	7:1102|6:441|1:330480	21:1:90	0	#00ff00|淬炼成功率：65%
83	61	6000	7:1150|6:460|1:345060	21:1:110	0	#00ff00|淬炼成功率：60%
83	62	6000	7:1199|6:480|1:359640	21:1:110	0	#00ff00|淬炼成功率：60%
83	63	6000	7:1247|6:499|1:374220	21:1:110	0	#00ff00|淬炼成功率：60%
83	64	6000	7:1296|6:518|1:388800	21:1:110	0	#00ff00|淬炼成功率：60%
83	65	6000	7:1345|6:538|1:403380	21:1:110	0	#00ff00|淬炼成功率：60%
83	66	5500	7:1393|6:557|1:417960	21:1:130	0	#00ff00|淬炼成功率：55%
83	67	5500	7:1442|6:577|1:432540	21:1:130	0	#00ff00|淬炼成功率：55%
83	68	5500	7:1490|6:596|1:447120	21:1:130	0	#00ff00|淬炼成功率：55%
83	69	5500	7:1539|6:616|1:461700	21:1:130	0	#00ff00|淬炼成功率：55%
83	70	5500	7:1588|6:635|1:476280	21:1:130	0	#00ff00|淬炼成功率：55%
83	71	5000	7:1636|6:654|1:490860	21:1:150	0	#00ff00|淬炼成功率：50%
83	72	5000	7:1685|6:674|1:505440	21:1:150	0	#00ff00|淬炼成功率：50%
83	73	5000	7:1733|6:693|1:520020	21:1:150	0	#00ff00|淬炼成功率：50%
83	74	5000	7:1782|6:713|1:534600	21:1:150	0	#00ff00|淬炼成功率：50%
83	75	5000	7:1831|6:732|1:549180	21:1:150	0	#00ff00|淬炼成功率：50%
83	76	4500	7:1879|6:752|1:563760	21:1:170	0	#00ff00|淬炼成功率：45%
83	77	4500	7:1928|6:771|1:578340	21:1:170	0	#00ff00|淬炼成功率：45%
83	78	4500	7:1976|6:791|1:592920	21:1:170	0	#00ff00|淬炼成功率：45%
83	79	4500	7:2025|6:810|1:607500	21:1:170	0	#00ff00|淬炼成功率：45%
83	80	4500	7:2074|6:829|1:622080	21:1:170	0	#00ff00|淬炼成功率：45%
83	81	4000	7:2132|6:853|1:639576	21:1:190	0	#00ff00|淬炼成功率：40%
83	82	4000	7:2190|6:876|1:657072	21:1:190	0	#00ff00|淬炼成功率：40%
83	83	4000	7:2249|6:899|1:674568	21:1:190	0	#00ff00|淬炼成功率：40%
83	84	4000	7:2307|6:923|1:692064	21:1:190	0	#00ff00|淬炼成功率：40%
83	85	4000	7:2365|6:946|1:709560	21:1:190	0	#00ff00|淬炼成功率：40%
83	86	3500	7:2424|6:969|1:727056	21:1:210	0	#00ff00|淬炼成功率：35%
83	87	3500	7:2482|6:993|1:744552	21:1:210	0	#00ff00|淬炼成功率：35%
83	88	3500	7:2540|6:1016|1:762048	21:1:210	0	#00ff00|淬炼成功率：35%
83	89	3500	7:2598|6:1039|1:779544	21:1:210	0	#00ff00|淬炼成功率：35%
83	90	3500	7:2657|6:1063|1:797040	21:1:210	0	#00ff00|淬炼成功率：35%
83	91	3000	7:2715|6:1086|1:814536	21:1:230	0	#00ff00|淬炼成功率：30%
83	92	3000	7:2773|6:1109|1:832032	21:1:230	0	#00ff00|淬炼成功率：30%
83	93	3000	7:2832|6:1133|1:849528	21:1:230	0	#00ff00|淬炼成功率：30%
83	94	3000	7:2890|6:1156|1:867024	21:1:230	0	#00ff00|淬炼成功率：30%
83	95	3000	7:2948|6:1179|1:884520	21:1:230	0	#00ff00|淬炼成功率：30%
