INT	STRING	STRING
60553	932:1:6	60563:204|60573:224|60583:247|60593:173|60603:86|60613:39|60623:16|60633:7|60643:3|60653:1
60554	932:1:6	60564:204|60574:224|60584:247|60594:173|60604:86|60614:39|60624:16|60634:7|60644:3|60654:1
60555	932:1:6	60565:204|60575:224|60585:247|60595:173|60605:86|60615:39|60625:16|60635:7|60645:3|60655:1
60556	932:1:6	60566:204|60576:224|60586:247|60596:173|60606:86|60616:39|60626:16|60636:7|60646:3|60656:1
60557	932:1:6	60567:204|60577:224|60587:247|60597:173|60607:86|60617:39|60627:16|60637:7|60647:3|60657:1
60558	932:1:6	60568:204|60578:224|60588:247|60598:173|60608:86|60618:39|60628:16|60638:7|60648:3|60658:1
60559	932:1:6	60569:204|60579:224|60589:247|60599:173|60609:86|60619:39|60629:16|60639:7|60649:3|60659:1
60560	932:1:6	60570:204|60580:224|60590:247|60600:173|60610:86|60620:39|60630:16|60640:7|60650:3|60660:1
60661	932:1:7	60671:210|60681:231|60691:255|60701:165|60711:83|60721:33|60731:13|60741:6|60751:3|60761:1
60662	932:1:7	60672:210|60682:231|60692:255|60702:165|60712:83|60722:33|60732:13|60742:6|60752:3|60762:1
60663	932:1:7	60673:210|60683:231|60693:255|60703:165|60713:83|60723:33|60733:13|60743:6|60753:3|60763:1
60664	932:1:7	60674:210|60684:231|60694:255|60704:165|60714:83|60724:33|60734:13|60744:6|60754:3|60764:1
60665	932:1:7	60675:210|60685:231|60695:255|60705:165|60715:83|60725:33|60735:13|60745:6|60755:3|60765:1
60666	932:1:7	60676:210|60686:231|60696:255|60706:165|60716:83|60726:33|60736:13|60746:6|60756:3|60766:1
60667	932:1:7	60677:210|60687:231|60697:255|60707:165|60717:83|60727:33|60737:13|60747:6|60757:3|60767:1
60668	932:1:7	60678:210|60688:231|60698:255|60708:165|60718:83|60728:33|60738:13|60748:6|60758:3|60768:1
60669	932:1:7	60679:210|60689:231|60699:255|60709:165|60719:83|60729:33|60739:13|60749:6|60759:3|60769:1
60670	932:1:7	60680:210|60690:231|60700:255|60710:165|60720:83|60730:33|60740:13|60750:6|60760:3|60770:1
60771	932:1:8	60781:216|60791:237|60801:261|60811:157|60821:78|60831:31|60841:12|60851:5|60861:2|60871:1
60772	932:1:8	60782:216|60792:237|60802:261|60812:157|60822:78|60832:31|60842:12|60852:5|60862:2|60872:1
60773	932:1:8	60783:216|60793:237|60803:261|60813:157|60823:78|60833:31|60843:12|60853:5|60863:2|60873:1
60774	932:1:8	60784:216|60794:237|60804:261|60814:157|60824:78|60834:31|60844:12|60854:5|60864:2|60874:1
60775	932:1:8	60785:216|60795:237|60805:261|60815:157|60825:78|60835:31|60845:12|60855:5|60865:2|60875:1
60776	932:1:8	60786:216|60796:237|60806:261|60816:157|60826:78|60836:31|60846:12|60856:5|60866:2|60876:1
60777	932:1:8	60787:216|60797:237|60807:261|60817:157|60827:78|60837:31|60847:12|60857:5|60867:2|60877:1
60778	932:1:8	60788:216|60798:237|60808:261|60818:157|60828:78|60838:31|60848:12|60858:5|60868:2|60878:1
60779	932:1:8	60789:216|60799:237|60809:261|60819:157|60829:78|60839:31|60849:12|60859:5|60869:2|60879:1
60780	932:1:8	60790:216|60800:237|60810:261|60820:157|60830:78|60840:31|60850:12|60860:5|60870:2|60880:1
