INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT
138	15	40015:10000	31	19	10	0	-1	-1	-1	0	-1	31:19|38:21|42:25|42:30|39:35|31:37|26:35|19:30|19:25|22:21	3
139	16	40016:10000	31	23	1	0	-1	-1	-1	0	-1	-1	3
140	17	40017:10000	31	19	10	0	-1	-1	-1	0	-1	31:19|38:21|42:25|42:30|39:35|31:37|26:35|19:30|19:25|22:21	3
141	18	40018:10000	31	23	1	0	-1	-1	-1	0	-1	-1	3
142	19	40019:10000	31	19	10	0	-1	-1	-1	0	-1	31:19|38:21|42:25|42:30|39:35|31:37|26:35|19:30|19:25|22:21	3
143	20	40020:10000	31	23	1	0	-1	-1	-1	0	-1	-1	3
144	0	40021:10000	31	19	1	1	-1	-1	-1	0	-1	-1	-1
201	1	37100:10000	34	34	1	0	-1	-1	-1	0	-1	-1	-1
1001	1	51001:10000	15	117	64	0	-1	-1	-1	0	-1	15:117|17:115|19:113|22:116|20:118|18:120|39:95|42:98|43:91|46:94|45:89|48:92|47:87|50:90|51:82|54:85|10:73|11:69|15:68|19:69|20:74|17:77|13:77|54:108|62:103|60:110|62:108|62:112|64:110|54:78|58:81|57:75|61:78|62:65|64:63|66:61|65:68|67:66|69:64|68:59|71:62|41:35|45:37|46:42|42:45|38:43|37:39|100:80|108:80|114:84|114:90|108:95|100:95|94:91|94:84|83:54|83:58|87:54|87:58|81:40|87:45|25:106|30:109|22:120	-1
1002	1	52001:10000	38	98	1	0	-1	-1	-1	0	-1	-1	3
1003	1	52001:10000	50	49	1	0	-1	-1	-1	0	-1	-1	3
1004	1	52001:10000	90	79	1	0	-1	-1	-1	0	-1	-1	3
1005	1	52001:10000	84	43	1	0	-1	-1	-1	0	-1	-1	3
1006	1	53001:10000	15	73	1	0	-1	-1	-1	0	-1	-1	5
1007	1	54001:10000	67	114	1	0	-1	-1	-1	0	-1	-1	5
1008	1	55001:10000	103	87	1	0	-1	-1	-1	0	-1	-1	5
1009	1	56001:10000	42	40	1	0	-1	-1	-1	0	-1	-1	5
1010	2	52001:10000	88	31	6	0	-1	-1	-1	0	-1	88:31|92:26|96:22|105:30|101:34|96:38	-1
1011	2	57001:10000	96	30	1	0	-1	-1	-1	0	-1	-1	-1
2001	1	51002:10000	15	117	64	0	-1	-1	-1	0	-1	15:117|17:115|19:113|22:116|20:118|18:120|39:95|42:98|43:91|46:94|45:89|48:92|47:87|50:90|51:82|54:85|10:73|11:69|15:68|19:69|20:74|17:77|13:77|54:108|62:103|60:110|62:108|62:112|64:110|54:78|58:81|57:75|61:78|62:65|64:63|66:61|65:68|67:66|69:64|68:59|71:62|41:35|45:37|46:42|42:45|38:43|37:39|100:80|108:80|114:84|114:90|108:95|100:95|94:91|94:84|83:54|83:58|87:54|87:58|81:40|87:45|25:106|30:109|22:120	-1
2002	1	52002:10000	38	98	1	0	-1	-1	-1	0	-1	-1	3
2003	1	52002:10000	50	49	1	0	-1	-1	-1	0	-1	-1	3
2004	1	52002:10000	90	79	1	0	-1	-1	-1	0	-1	-1	3
2005	1	52002:10000	84	43	1	0	-1	-1	-1	0	-1	-1	3
2006	1	53002:10000	15	73	1	0	-1	-1	-1	0	-1	-1	5
2007	1	54002:10000	67	114	1	0	-1	-1	-1	0	-1	-1	5
2008	1	55002:10000	103	87	1	0	-1	-1	-1	0	-1	-1	5
2009	1	56002:10000	42	40	1	0	-1	-1	-1	0	-1	-1	5
2010	2	52002:10000	88	31	6	0	-1	-1	-1	0	-1	88:31|92:26|96:22|105:30|101:34|96:38	-1
2011	2	57002:10000	96	30	1	0	-1	-1	-1	0	-1	-1	-1
3001	1	51003:10000	15	117	64	0	-1	-1	-1	0	-1	15:117|17:115|19:113|22:116|20:118|18:120|39:95|42:98|43:91|46:94|45:89|48:92|47:87|50:90|51:82|54:85|10:73|11:69|15:68|19:69|20:74|17:77|13:77|54:108|62:103|60:110|62:108|62:112|64:110|54:78|58:81|57:75|61:78|62:65|64:63|66:61|65:68|67:66|69:64|68:59|71:62|41:35|45:37|46:42|42:45|38:43|37:39|100:80|108:80|114:84|114:90|108:95|100:95|94:91|94:84|83:54|83:58|87:54|87:58|81:40|87:45|25:106|30:109|22:120	-1
3002	1	52003:10000	38	98	1	0	-1	-1	-1	0	-1	-1	3
3003	1	52003:10000	50	49	1	0	-1	-1	-1	0	-1	-1	3
3004	1	52003:10000	90	79	1	0	-1	-1	-1	0	-1	-1	3
3005	1	52003:10000	84	43	1	0	-1	-1	-1	0	-1	-1	3
3006	1	53003:10000	15	73	1	0	-1	-1	-1	0	-1	-1	5
3007	1	54003:10000	67	114	1	0	-1	-1	-1	0	-1	-1	5
3008	1	55003:10000	103	87	1	0	-1	-1	-1	0	-1	-1	5
3009	1	56003:10000	42	40	1	0	-1	-1	-1	0	-1	-1	5
3010	2	52003:10000	88	31	6	0	-1	-1	-1	0	-1	88:31|92:26|96:22|105:30|101:34|96:38	-1
3011	2	57003:10000	96	30	1	0	-1	-1	-1	0	-1	-1	-1
4001	1	51004:10000	15	117	64	0	-1	-1	-1	0	-1	15:117|17:115|19:113|22:116|20:118|18:120|39:95|42:98|43:91|46:94|45:89|48:92|47:87|50:90|51:82|54:85|10:73|11:69|15:68|19:69|20:74|17:77|13:77|54:108|62:103|60:110|62:108|62:112|64:110|54:78|58:81|57:75|61:78|62:65|64:63|66:61|65:68|67:66|69:64|68:59|71:62|41:35|45:37|46:42|42:45|38:43|37:39|100:80|108:80|114:84|114:90|108:95|100:95|94:91|94:84|83:54|83:58|87:54|87:58|81:40|87:45|25:106|30:109|22:120	-1
4002	1	52004:10000	38	98	1	0	-1	-1	-1	0	-1	-1	3
4003	1	52004:10000	50	49	1	0	-1	-1	-1	0	-1	-1	3
4004	1	52004:10000	90	79	1	0	-1	-1	-1	0	-1	-1	3
4005	1	52004:10000	84	43	1	0	-1	-1	-1	0	-1	-1	3
4006	1	53004:10000	15	73	1	0	-1	-1	-1	0	-1	-1	5
4007	1	54004:10000	67	114	1	0	-1	-1	-1	0	-1	-1	5
4008	1	55004:10000	103	87	1	0	-1	-1	-1	0	-1	-1	5
4009	1	56004:10000	42	40	1	0	-1	-1	-1	0	-1	-1	5
4010	2	52004:10000	88	31	6	0	-1	-1	-1	0	-1	88:31|92:26|96:22|105:30|101:34|96:38	-1
4011	2	57004:10000	96	30	1	0	-1	-1	-1	0	-1	-1	-1
5001	1	51005:10000	15	117	64	0	-1	-1	-1	0	-1	15:117|17:115|19:113|22:116|20:118|18:120|39:95|42:98|43:91|46:94|45:89|48:92|47:87|50:90|51:82|54:85|10:73|11:69|15:68|19:69|20:74|17:77|13:77|54:108|62:103|60:110|62:108|62:112|64:110|54:78|58:81|57:75|61:78|62:65|64:63|66:61|65:68|67:66|69:64|68:59|71:62|41:35|45:37|46:42|42:45|38:43|37:39|100:80|108:80|114:84|114:90|108:95|100:95|94:91|94:84|83:54|83:58|87:54|87:58|81:40|87:45|25:106|30:109|22:120	-1
5002	1	52005:10000	38	98	1	0	-1	-1	-1	0	-1	-1	3
5003	1	52005:10000	50	49	1	0	-1	-1	-1	0	-1	-1	3
5004	1	52005:10000	90	79	1	0	-1	-1	-1	0	-1	-1	3
5005	1	52005:10000	84	43	1	0	-1	-1	-1	0	-1	-1	3
5006	1	53005:10000	15	73	1	0	-1	-1	-1	0	-1	-1	5
5007	1	54005:10000	67	114	1	0	-1	-1	-1	0	-1	-1	5
5008	1	55005:10000	103	87	1	0	-1	-1	-1	0	-1	-1	5
5009	1	56005:10000	42	40	1	0	-1	-1	-1	0	-1	-1	5
5010	2	52005:10000	88	31	6	0	-1	-1	-1	0	-1	88:31|92:26|96:22|105:30|101:34|96:38	-1
5011	2	57005:10000	96	30	1	0	-1	-1	-1	0	-1	-1	-1
7001	1	16001:10000	30	26	1	0	-1	-1	-1	0	-1	-1	-1
7002	1	16002:10000	30	26	1	0	-1	-1	-1	0	-1	-1	-1
7003	1	16003:10000	30	26	1	0	-1	-1	-1	0	-1	-1	-1
7004	1	16004:10000	30	26	1	0	-1	-1	-1	0	-1	-1	-1
7005	1	16005:10000	30	26	1	0	-1	-1	-1	0	-1	-1	-1
7006	1	16006:10000	30	26	1	0	-1	-1	-1	0	-1	-1	-1
