INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING
2019	2	0	2	1	3	2010:2011	1	宝库守护者出现了！	1	-1
2019	3	0	2	2	21	102:10000	1	挑战成功，宝库传送门开启！	1	-1
2019	4	0	2	2	24	0	1		1	-1
2019	5	0	1	1800	2	0	1		1	-1
2020	1	0	1	1	3	3001:3002:3003:3004:3005:3006:3007:3008:3009	1	-1	1	-1
2020	2	0	2	1	3	3010:3011	1	宝库守护者出现了！	1	-1
2020	3	0	2	2	21	102:10000	1	挑战成功，宝库传送门开启！	1	-1
2020	4	0	2	2	24	0	1		1	-1
2020	5	0	1	1800	2	0	1		1	-1
2021	1	0	1	1	3	4001:4002:4003:4004:4005:4006:4007:4008:4009	1	-1	1	-1
2021	2	0	2	1	3	4010:4011	1	宝库守护者出现了！	1	-1
2021	3	0	2	2	21	102:10000	1	挑战成功，宝库传送门开启！	1	-1
2021	4	0	2	2	24	0	1		1	-1
2021	5	0	1	1800	2	0	1		1	-1
2022	1	0	1	1	3	5001:5002:5003:5004:5005:5006:5007:5008:5009	1	-1	1	-1
2022	2	0	2	1	3	5010:5011	1	宝库守护者出现了！	1	-1
2022	3	0	2	2	21	102:10000	1	挑战成功，宝库传送门开启！	1	-1
2022	4	0	2	2	24	0	1		1	-1
2022	5	0	1	1800	2	0	1		1	-1
2028	1	0	1	1	3	201	1	鲲王出现了，小心应对！！！	1	-1
2028	2	0	2	1	1	30	1	战斗胜利！	1	-1
2028	3	0	1	1200	2	0	1	时间到达，副本失败	1	-1
2029	1	0	1	1	3	201	1	鲲王出现了，小心应对！！！	1	-1
2029	2	0	2	1	1	30	1	战斗胜利！	1	-1
2029	3	0	1	1200	2	0	1	时间到达，副本失败	1	-1
2047	1	0	1	1	3	7001	1	-1	1	-1
2047	2	0	2	1	1	30	1	战斗胜利！	1	-1
2047	3	0	1	1200	2	0	1	时间到达！	1	-1
2048	1	0	1	1	3	7002	1	-1	1	-1
2048	2	0	2	1	1	30	1	战斗胜利！	1	-1
2048	3	0	1	1200	2	0	1	时间到达！	1	-1
2049	1	0	1	1	3	7003	1	-1	1	-1
2049	2	0	2	1	1	30	1	战斗胜利！	1	-1
2049	3	0	1	1200	2	0	1	时间到达！	1	-1
2050	1	0	1	1	3	7004	1	-1	1	-1
2050	2	0	2	1	1	30	1	战斗胜利！	1	-1
2050	3	0	1	1200	2	0	1	时间到达！	1	-1
2051	1	0	1	1	3	7005	1	-1	1	-1
2051	2	0	2	1	1	30	1	战斗胜利！	1	-1
2051	3	0	1	1200	2	0	1	时间到达！	1	-1
2052	1	0	1	1	3	7006	1	-1	1	-1
2052	2	0	2	1	1	30	1	战斗胜利！	1	-1
2052	3	0	1	1200	2	0	1	时间到达！	1	-1
