INT	INT	INT	INT	INT	INT	INT	INT	INT
11053	50034	3	81	42	0	0	0	0
11054	50034	3	74	44	0	0	0	0
11055	50034	3	80	45	0	0	0	0
11056	50034	3	78	46	0	0	0	0
11057	50034	3	72	47	0	0	0	0
11058	50034	3	74	48	0	0	0	0
11059	50034	3	77	49	0	0	0	0
11060	50034	3	77	52	0	0	0	0
11061	50034	4	110	25	0	0	0	0
11062	50034	4	115	27	0	0	0	0
11063	50034	4	109	29	0	0	0	0
11064	50034	4	112	29	0	0	0	0
11065	50034	4	116	30	0	0	0	0
11066	50034	4	114	31	0	0	0	0
11067	50034	4	119	31	0	0	0	0
11068	50034	4	106	32	0	0	0	0
11069	50034	4	109	33	0	0	0	0
11070	50034	4	118	34	0	0	0	0
11071	50034	4	113	35	0	0	0	0
11072	50034	4	109	36	0	0	0	0
11073	50034	4	115	36	0	0	0	0
11074	50034	4	116	38	0	0	0	0
11075	50034	4	110	39	0	0	0	0
11076	50034	4	113	40	0	0	0	0
11077	50034	4	119	41	0	0	0	0
11078	50034	4	108	42	0	0	0	0
11079	50034	4	116	42	0	0	0	0
11080	50034	4	111	43	0	0	0	0
11081	50034	5	120	63	0	0	0	0
11082	50034	5	115	65	0	0	0	0
11083	50034	5	126	65	0	0	0	0
11084	50034	5	112	67	0	0	0	0
11085	50034	5	118	67	0	0	0	0
11086	50034	5	122	66	0	0	0	0
11087	50034	5	125	68	0	0	0	0
11088	50034	5	130	68	0	0	0	0
11089	50034	5	114	70	0	0	0	0
11090	50034	5	119	70	0	0	0	0
11091	50034	5	127	71	0	0	0	0
11092	50034	5	132	72	0	0	0	0
11093	50034	5	116	73	0	0	0	0
11094	50034	5	127	75	0	0	0	0
11095	50034	5	117	76	0	0	0	0
11096	50034	5	121	77	0	0	0	0
11097	50034	5	124	77	0	0	0	0
11098	50034	5	130	77	0	0	0	0
11099	50034	5	116	79	0	0	0	0
11100	50034	5	126	80	0	0	0	0
11101	50034	6	139	79	0	0	0	0
11102	50034	6	145	80	0	0	0	0
11103	50034	6	135	82	0	0	0	0
11104	50034	6	141	82	0	0	0	0
11105	50034	6	148	83	0	0	0	0
11106	50034	6	138	84	0	0	0	0
11107	50034	6	144	84	0	0	0	0
11108	50034	6	134	85	0	0	0	0
11109	50034	6	152	85	0	0	0	0
11110	50034	6	133	87	0	0	0	0
11111	50034	6	136	87	0	0	0	0
11112	50034	6	142	87	0	0	0	0
11113	50034	6	147	88	0	0	0	0
11114	50034	6	150	89	0	0	0	0
11115	50034	6	131	89	0	0	0	0
11116	50034	6	138	90	0	0	0	0
11117	50034	6	135	91	0	0	0	0
11118	50034	6	143	92	0	0	0	0
11119	50034	6	147	92	0	0	0	0
11120	50034	6	139	95	0	0	0	0
12001	50039	9008	68	125	0	0	0	0
12002	50039	9008	72	117	0	0	0	0
12003	50039	9008	76	121	0	0	0	0
12004	50039	9008	71	121	0	0	0	0
12005	50039	9008	68	120	0	0	0	0
12006	50039	9008	72	124	0	0	0	0
12007	50039	9008	74	126	0	0	0	0
12008	50039	9008	72	128	0	0	0	0
12009	50039	9008	79	118	0	0	0	0
12010	50039	9008	79	125	0	0	0	0
12021	50039	9009	116	114	0	0	0	0
12022	50039	9009	111	109	0	0	0	0
12023	50039	9009	117	107	0	0	0	0
12024	50039	9009	114	111	0	0	0	0
12025	50039	9009	118	113	0	0	0	0
12026	50039	9009	112	112	0	0	0	0
12027	50039	9009	112	108	0	0	0	0
12028	50039	9009	118	105	0	0	0	0
12029	50039	9009	121	108	0	0	0	0
12030	50039	9009	110	115	0	0	0	0
12031	50039	9009	108	109	0	0	0	0
12041	50039	9010	94	84	0	0	0	0
12042	50039	9010	85	86	0	0	0	0
12043	50039	9010	92	89	0	0	0	0
12044	50039	9010	88	89	0	0	0	0
12045	50039	9010	86	84	0	0	0	0
12046	50039	9010	92	84	0	0	0	0
12047	50039	9010	95	85	0	0	0	0
12048	50039	9010	97	86	0	0	0	0
12049	50039	9010	96	89	0	0	0	0
12050	50039	9010	95	92	0	0	0	0
12061	50039	9011	91	33	0	0	0	0
12062	50039	9011	98	32	0	0	0	0
12063	50039	9011	94	26	0	0	0	0
12064	50039	9011	92	32	0	0	0	0
12065	50039	9011	99	31	0	0	0	0
12066	50039	9011	98	27	0	0	0	0
12067	50039	9011	97	37	0	0	0	0
12068	50039	9011	93	30	0	0	0	0
12069	50039	9011	90	31	0	0	0	0
12070	50039	9011	88	29	0	0	0	0
12081	50039	9012	66	59	0	0	0	0
12082	50039	9012	60	60	0	0	0	0
12083	50039	9012	64	62	0	0	0	0
12084	50039	9012	65	56	0	0	0	0
12085	50039	9012	68	57	0	0	0	0
12086	50039	9012	68	60	0	0	0	0
12087	50039	9012	63	53	0	0	0	0
12088	50039	9012	62	56	0	0	0	0
12089	50039	9012	58	56	0	0	0	0
12090	50039	9012	59	64	0	0	0	0
12101	50039	9013	20	75	0	0	0	0
12102	50039	9013	21	73	0	0	0	0
12103	50039	9013	27	77	0	0	0	0
12104	50039	9013	22	72	0	0	0	0
12105	50039	9013	25	73	0	0	0	0
12106	50039	9013	27	71	0	0	0	0
12107	50039	9013	29	71	0	0	0	0
12108	50039	9013	30	73	0	0	0	0
12109	50039	9013	25	68	0	0	0	0
12110	50039	9013	23	74	0	0	0	0
12501	50040	9014	23	97	0	0	0	0
12502	50040	9014	19	91	0	0	0	0
12503	50040	9014	25	88	0	0	0	0
12504	50040	9014	25	90	0	0	0	0
12505	50040	9014	28	87	0	0	0	0
12506	50040	9014	27	94	0	0	0	0
12507	50040	9014	30	95	0	0	0	0
12508	50040	9014	22	86	0	0	0	0
12509	50040	9014	21	94	0	0	0	0
12510	50040	9014	31	91	0	0	0	0
12521	50040	9015	15	58	0	0	0	0
12522	50040	9015	19	60	0	0	0	0
12523	50040	9015	24	61	0	0	0	0
12524	50040	9015	16	62	0	0	0	0
12525	50040	9015	19	63	0	0	0	0
12526	50040	9015	22	63	0	0	0	0
12527	50040	9015	21	65	0	0	0	0
12528	50040	9015	17	66	0	0	0	0
12529	50040	9015	23	67	0	0	0	0
12530	50040	9015	19	69	0	0	0	0
12541	50040	9016	25	31	0	0	0	0
12542	50040	9016	26	24	0	0	0	0
12543	50040	9016	32	29	0	0	0	0
12544	50040	9016	32	26	0	0	0	0
12545	50040	9016	29	29	0	0	0	0
12546	50040	9016	36	29	0	0	0	0
12547	50040	9016	35	24	0	0	0	0
12548	50040	9016	30	21	0	0	0	0
12549	50040	9016	22	29	0	0	0	0
12550	50040	9016	31	25	0	0	0	0
12561	50040	9017	93	98	0	0	0	0
12562	50040	9017	99	94	0	0	0	0
12563	50040	9017	93	90	0	0	0	0
12564	50040	9017	96	96	0	0	0	0
12565	50040	9017	90	97	0	0	0	0
12566	50040	9017	99	98	0	0	0	0
12567	50040	9017	96	87	0	0	0	0
12568	50040	9017	91	94	0	0	0	0
12569	50040	9017	95	104	0	0	0	0
12570	50040	9017	100	102	0	0	0	0
12581	50040	9018	107	72	0	0	0	0
12582	50040	9018	105	64	0	0	0	0
12583	50040	9018	98	69	0	0	0	0
12584	50040	9018	107	65	0	0	0	0
12585	50040	9018	95	68	0	0	0	0
12586	50040	9018	95	72	0	0	0	0
12587	50040	9018	99	74	0	0	0	0
12588	50040	9018	103	74	0	0	0	0
12589	50040	9018	100	68	0	0	0	0
12590	50040	9018	110	70	0	0	0	0
20001	50095	1001	60	68	0	0	0	0
20002	50095	1001	61	65	0	0	0	0
20003	50095	1001	64	60	0	0	0	0
20004	50095	1001	67	58	0	0	0	0
20005	50095	1001	73	55	0	0	0	0
20006	50095	1001	78	58	0	0	0	0
20007	50095	1001	74	59	0	0	0	0
20008	50095	1001	70	60	0	0	0	0
20009	50095	1001	61	73	0	0	0	0
20010	50095	1001	64	69	0	0	0	0
20011	50095	1001	66	66	0	0	0	0
20012	50095	1001	67	63	0	0	0	0
20013	50095	1001	76	62	0	0	0	0
20014	50095	1001	81	61	0	0	0	0
20015	50095	1001	79	64	0	0	0	0
20016	50095	1001	70	65	0	0	0	0
20017	50095	1001	73	65	0	0	0	0
20018	50095	1001	77	67	0	0	0	0
20019	50095	1001	71	68	0	0	0	0
20020	50095	1001	75	68	0	0	0	0
20021	50095	1001	82	68	0	0	0	0
20022	50095	1001	68	69	0	0	0	0
20023	50095	1001	66	72	0	0	0	0
20024	50095	1001	78	71	0	0	0	0
20025	50095	1001	74	73	0	0	0	0
20026	50095	1001	70	73	0	0	0	0
20027	50095	1001	82	73	0	0	0	0
20028	50095	1001	77	76	0	0	0	0
20029	50095	1001	72	77	0	0	0	0
20030	50095	1001	66	77	0	0	0	0
20031	50095	1002	93	31	0	0	0	0
20032	50095	1002	97	29	0	0	0	0
20033	50095	1002	99	25	0	0	0	0
20034	50095	1002	103	24	0	0	0	0
20035	50095	1002	96	34	0	0	0	0
20036	50095	1002	101	30	0	0	0	0
20037	50095	1002	103	28	0	0	0	0
20038	50095	1002	107	26	0	0	0	0
20039	50095	1002	110	24	0	0	0	0
20040	50095	1002	110	29	0	0	0	0
20041	50095	1002	114	29	0	0	0	0
20042	50095	1002	106	30	0	0	0	0
20043	50095	1002	103	33	0	0	0	0
20044	50095	1002	106	33	0	0	0	0
20045	50095	1002	110	33	0	0	0	0
20046	50095	1002	100	35	0	0	0	0
20047	50095	1002	104	36	0	0	0	0
20048	50095	1002	108	35	0	0	0	0
20049	50095	1002	113	35	0	0	0	0
20050	50095	1002	97	39	0	0	0	0
20051	50095	1002	102	39	0	0	0	0
20052	50095	1002	111	39	0	0	0	0
20053	50095	1002	116	38	0	0	0	0
20054	50095	1002	107	40	0	0	0	0
20055	50095	1002	101	42	0	0	0	0
20056	50095	1002	104	43	0	0	0	0
20057	50095	1002	109	43	0	0	0	0
20058	50095	1002	114	42	0	0	0	0
20059	50095	1002	106	46	0	0	0	0
20060	50095	1002	110	48	0	0	0	0
20061	50095	1003	54	12	0	0	0	0
20062	50095	1003	55	8	0	0	0	0
20063	50095	1003	59	4	0	0	0	0
20064	50095	1003	64	4	0	0	0	0
20065	50095	1003	69	3	0	0	0	0
20066	50095	1003	67	6	0	0	0	0
20067	50095	1003	71	6	0	0	0	0
20068	50095	1003	73	7	0	0	0	0
20069	50095	1003	76	7	0	0	0	0
20070	50095	1003	62	8	0	0	0	0
20071	50095	1003	59	10	0	0	0	0
20072	50095	1003	69	9	0	0	0	0
20073	50095	1003	65	10	0	0	0	0
20074	50095	1003	75	10	0	0	0	0
20075	50095	1003	78	11	0	0	0	0
20076	50095	1003	62	12	0	0	0	0
20077	50095	1003	66	12	0	0	0	0
20078	50095	1003	72	12	0	0	0	0
20079	50095	1003	75	14	0	0	0	0
20080	50095	1003	79	15	0	0	0	0
20081	50095	1003	60	15	0	0	0	0
20082	50095	1003	65	14	0	0	0	0
20083	50095	1003	71	15	0	0	0	0
20084	50095	1003	63	18	0	0	0	0
20085	50095	1003	68	18	0	0	0	0
20086	50095	1003	73	19	0	0	0	0
20087	50095	1003	77	19	0	0	0	0
20088	50095	1003	70	22	0	0	0	0
20089	50095	1003	68	24	0	0	0	0
20090	50095	1003	73	24	0	0	0	0
20091	50095	1004	16	3	0	0	0	0
20092	50095	1004	25	4	0	0	0	0
20093	50095	1004	21	5	0	0	0	0
20094	50095	1004	14	7	0	0	0	0
20095	50095	1004	21	7	0	0	0	0
20096	50095	1004	28	7	0	0	0	0
20097	50095	1004	18	8	0	0	0	0
20098	50095	1004	9	10	0	0	0	0
20099	50095	1004	12	10	0	0	0	0
20100	50095	1004	15	11	0	0	0	0
20101	50095	1004	21	11	0	0	0	0
20102	50095	1004	24	10	0	0	0	0
20103	50095	1004	29	11	0	0	0	0
20104	50095	1004	18	12	0	0	0	0
20105	50095	1004	4	15	0	0	0	0
20106	50095	1004	6	18	0	0	0	0
20107	50095	1004	8	15	0	0	0	0
20108	50095	1004	9	18	0	0	0	0
20109	50095	1004	10	22	0	0	0	0
20110	50095	1004	12	13	0	0	0	0
20111	50095	1004	16	15	0	0	0	0
20112	50095	1004	13	18	0	0	0	0
20113	50095	1004	20	16	0	0	0	0
20114	50095	1004	23	16	0	0	0	0
20115	50095	1004	27	16	0	0	0	0
20116	50095	1004	17	20	0	0	0	0
20117	50095	1004	22	21	0	0	0	0
20118	50095	1004	19	24	0	0	0	0
20119	50095	1004	14	23	0	0	0	0
20120	50095	1004	15	26	0	0	0	0
20121	50095	1005	15	49	0	0	0	0
20122	50095	1005	12	52	0	0	0	0
20123	50095	1005	8	54	0	0	0	0
20124	50095	1005	15	54	0	0	0	0
20125	50095	1005	19	53	0	0	0	0
20126	50095	1005	11	56	0	0	0	0
20127	50095	1005	4	60	0	0	0	0
20128	50095	1005	3	66	0	0	0	0
20129	50095	1005	7	58	0	0	0	0
20130	50095	1005	8	63	0	0	0	0
20131	50095	1005	10	61	0	0	0	0
20132	50095	1005	13	59	0	0	0	0
20133	50095	1005	17	57	0	0	0	0
20134	50095	1005	21	56	0	0	0	0
20135	50095	1005	15	60	0	0	0	0
20136	50095	1005	18	62	0	0	0	0
20137	50095	1005	21	61	0	0	0	0
20138	50095	1005	26	62	0	0	0	0
20139	50095	1005	14	64	0	0	0	0
20140	50095	1005	11	67	0	0	0	0
20141	50095	1005	7	70	0	0	0	0
20142	50095	1005	10	72	0	0	0	0
20143	50095	1005	14	72	0	0	0	0
20144	50095	1005	16	68	0	0	0	0
20145	50095	1005	20	66	0	0	0	0
20146	50095	1005	19	70	0	0	0	0
20147	50095	1005	26	68	0	0	0	0
20148	50095	1005	23	71	0	0	0	0
20149	50095	1005	18	74	0	0	0	0
20150	50095	1005	14	78	0	0	0	0
20151	50095	1006	17	105	0	0	0	0
20152	50095	1006	18	109	0	0	0	0
20153	50095	1006	23	110	0	0	0	0
20154	50095	1006	14	111	0	0	0	0
20155	50095	1006	11	111	0	0	0	0
20156	50095	1006	12	115	0	0	0	0
20157	50095	1006	15	114	0	0	0	0
20158	50095	1006	19	112	0	0	0	0
20159	50095	1006	8	118	0	0	0	0
20160	50095	1006	5	118	0	0	0	0
20161	50095	1006	8	120	0	0	0	0
20162	50095	1006	13	120	0	0	0	0
20163	50095	1006	15	117	0	0	0	0
20164	50095	1006	19	116	0	0	0	0
20165	50095	1006	22	114	0	0	0	0
20166	50095	1006	26	115	0	0	0	0
20167	50095	1006	19	119	0	0	0	0
20168	50095	1006	23	119	0	0	0	0
20169	50095	1006	12	124	0	0	0	0
20170	50095	1006	16	124	0	0	0	0
20171	50095	1006	21	124	0	0	0	0
20172	50095	1006	28	118	0	0	0	0
20173	50095	1006	31	117	0	0	0	0
20174	50095	1006	28	121	0	0	0	0
20175	50095	1006	26	122	0	0	0	0
20176	50095	1006	29	126	0	0	0	0
20177	50095	1006	24	127	0	0	0	0
20178	50095	1006	19	127	0	0	0	0
20179	50095	1006	32	123	0	0	0	0
20180	50095	1006	35	124	0	0	0	0
20181	50095	1007	55	120	0	0	0	0
20182	50095	1007	54	125	0	0	0	0
20183	50095	1007	58	121	0	0	0	0
20184	50095	1007	58	125	0	0	0	0
20185	50095	1007	62	117	0	0	0	0
20186	50095	1007	62	122	0	0	0	0
20187	50095	1007	59	129	0	0	0	0
20188	50095	1007	64	126	0	0	0	0
20189	50095	1007	66	129	0	0	0	0
20190	50095	1007	67	125	0	0	0	0
20191	50095	1007	66	122	0	0	0	0
20192	50095	1007	65	118	0	0	0	0
20193	50095	1007	67	115	0	0	0	0
20194	50095	1007	69	111	0	0	0	0
20195	50095	1007	70	114	0	0	0	0
20196	50095	1007	73	113	0	0	0	0
20197	50095	1007	76	116	0	0	0	0
20198	50095	1007	73	118	0	0	0	0
20199	50095	1007	70	118	0	0	0	0
20200	50095	1007	68	120	0	0	0	0
20201	50095	1007	70	123	0	0	0	0
20202	50095	1007	73	124	0	0	0	0
20203	50095	1007	71	127	0	0	0	0
20204	50095	1007	75	128	0	0	0	0
20205	50095	1007	78	128	0	0	0	0
20206	50095	1007	80	125	0	0	0	0
20207	50095	1007	79	120	0	0	0	0
20208	50095	1007	76	119	0	0	0	0
20209	50095	1007	73	121	0	0	0	0
20210	50095	1007	76	124	0	0	0	0
20211	50017	1008	60	68	0	0	0	0
20212	50017	1008	61	65	0	0	0	0
20213	50017	1008	64	60	0	0	0	0
20214	50017	1008	67	58	0	0	0	0
20215	50017	1008	73	55	0	0	0	0
20216	50017	1008	78	58	0	0	0	0
20217	50017	1008	74	59	0	0	0	0
20218	50017	1008	70	60	0	0	0	0
20219	50017	1008	61	73	0	0	0	0
20220	50017	1008	64	69	0	0	0	0
20221	50017	1008	66	66	0	0	0	0
20222	50017	1008	67	63	0	0	0	0
20223	50017	1008	76	62	0	0	0	0
20224	50017	1008	81	61	0	0	0	0
20225	50017	1008	79	64	0	0	0	0
20226	50017	1008	70	65	0	0	0	0
20227	50017	1008	73	65	0	0	0	0
20228	50017	1008	77	67	0	0	0	0
20229	50017	1008	71	68	0	0	0	0
20230	50017	1008	75	68	0	0	0	0
20231	50017	1008	82	68	0	0	0	0
20232	50017	1008	68	69	0	0	0	0
20233	50017	1008	66	72	0	0	0	0
20234	50017	1008	78	71	0	0	0	0
20235	50017	1008	74	73	0	0	0	0
20236	50017	1008	70	73	0	0	0	0
20237	50017	1008	82	73	0	0	0	0
20238	50017	1008	77	76	0	0	0	0
20239	50017	1008	72	77	0	0	0	0
20240	50017	1008	66	77	0	0	0	0
20241	50017	1009	93	31	0	0	0	0
20242	50017	1009	97	29	0	0	0	0
20243	50017	1009	99	25	0	0	0	0
20244	50017	1009	103	24	0	0	0	0
20245	50017	1009	96	34	0	0	0	0
20246	50017	1009	101	30	0	0	0	0
20247	50017	1009	103	28	0	0	0	0
20248	50017	1009	107	26	0	0	0	0
20249	50017	1009	110	24	0	0	0	0
20250	50017	1009	110	29	0	0	0	0
20251	50017	1009	114	29	0	0	0	0
20252	50017	1009	106	30	0	0	0	0
20253	50017	1009	103	33	0	0	0	0
20254	50017	1009	106	33	0	0	0	0
20255	50017	1009	110	33	0	0	0	0
20256	50017	1009	100	35	0	0	0	0
20257	50017	1009	104	36	0	0	0	0
20258	50017	1009	108	35	0	0	0	0
20259	50017	1009	113	35	0	0	0	0
20260	50017	1009	97	39	0	0	0	0
20261	50017	1009	102	39	0	0	0	0
20262	50017	1009	111	39	0	0	0	0
20263	50017	1009	116	38	0	0	0	0
20264	50017	1009	107	40	0	0	0	0
20265	50017	1009	101	42	0	0	0	0
20266	50017	1009	104	43	0	0	0	0
20267	50017	1009	109	43	0	0	0	0
20268	50017	1009	114	42	0	0	0	0
20269	50017	1009	106	46	0	0	0	0
20270	50017	1009	110	48	0	0	0	0
20271	50017	1010	54	12	0	0	0	0
20272	50017	1010	55	8	0	0	0	0
20273	50017	1010	59	4	0	0	0	0
20274	50017	1010	64	4	0	0	0	0
20275	50017	1010	69	3	0	0	0	0
20276	50017	1010	67	6	0	0	0	0
20277	50017	1010	71	6	0	0	0	0
20278	50017	1010	73	7	0	0	0	0
20279	50017	1010	76	7	0	0	0	0
20280	50017	1010	62	8	0	0	0	0
20281	50017	1010	59	10	0	0	0	0
20282	50017	1010	69	9	0	0	0	0
20283	50017	1010	65	10	0	0	0	0
20284	50017	1010	75	10	0	0	0	0
20285	50017	1010	78	11	0	0	0	0
20286	50017	1010	62	12	0	0	0	0
20287	50017	1010	66	12	0	0	0	0
20288	50017	1010	72	12	0	0	0	0
20289	50017	1010	75	14	0	0	0	0
20290	50017	1010	79	15	0	0	0	0
20291	50017	1010	60	15	0	0	0	0
20292	50017	1010	65	14	0	0	0	0
20293	50017	1010	71	15	0	0	0	0
20294	50017	1010	63	18	0	0	0	0
20295	50017	1010	68	18	0	0	0	0
20296	50017	1010	73	19	0	0	0	0
20297	50017	1010	77	19	0	0	0	0
20298	50017	1010	70	22	0	0	0	0
20299	50017	1010	68	24	0	0	0	0
20300	50017	1010	73	24	0	0	0	0
20301	50017	1011	16	3	0	0	0	0
20302	50017	1011	25	4	0	0	0	0
20303	50017	1011	21	5	0	0	0	0
20304	50017	1011	14	7	0	0	0	0
20305	50017	1011	21	7	0	0	0	0
20306	50017	1011	28	7	0	0	0	0
20307	50017	1011	18	8	0	0	0	0
20308	50017	1011	9	10	0	0	0	0
20309	50017	1011	12	10	0	0	0	0
20310	50017	1011	15	11	0	0	0	0
20311	50017	1011	21	11	0	0	0	0
20312	50017	1011	24	10	0	0	0	0
20313	50017	1011	29	11	0	0	0	0
20314	50017	1011	18	12	0	0	0	0
20315	50017	1011	4	15	0	0	0	0
20316	50017	1011	6	18	0	0	0	0
20317	50017	1011	8	15	0	0	0	0
20318	50017	1011	9	18	0	0	0	0
20319	50017	1011	10	22	0	0	0	0
20320	50017	1011	12	13	0	0	0	0
20321	50017	1011	16	15	0	0	0	0
20322	50017	1011	13	18	0	0	0	0
20323	50017	1011	20	16	0	0	0	0
20324	50017	1011	23	16	0	0	0	0
20325	50017	1011	27	16	0	0	0	0
20326	50017	1011	17	20	0	0	0	0
20327	50017	1011	22	21	0	0	0	0
20328	50017	1011	19	24	0	0	0	0
20329	50017	1011	14	23	0	0	0	0
20330	50017	1011	15	26	0	0	0	0
20331	50017	1012	15	49	0	0	0	0
20332	50017	1012	12	52	0	0	0	0
20333	50017	1012	8	54	0	0	0	0
20334	50017	1012	15	54	0	0	0	0
20335	50017	1012	19	53	0	0	0	0
20336	50017	1012	11	56	0	0	0	0
20337	50017	1012	4	60	0	0	0	0
20338	50017	1012	3	66	0	0	0	0
20339	50017	1012	7	58	0	0	0	0
20340	50017	1012	8	63	0	0	0	0
20341	50017	1012	10	61	0	0	0	0
20342	50017	1012	13	59	0	0	0	0
20343	50017	1012	17	57	0	0	0	0
20344	50017	1012	21	56	0	0	0	0
20345	50017	1012	15	60	0	0	0	0
20346	50017	1012	18	62	0	0	0	0
20347	50017	1012	21	61	0	0	0	0
20348	50017	1012	26	62	0	0	0	0
20349	50017	1012	14	64	0	0	0	0
20350	50017	1012	11	67	0	0	0	0
20351	50017	1012	7	70	0	0	0	0
20352	50017	1012	10	72	0	0	0	0
20353	50017	1012	14	72	0	0	0	0
20354	50017	1012	16	68	0	0	0	0
20355	50017	1012	20	66	0	0	0	0
20356	50017	1012	19	70	0	0	0	0
20357	50017	1012	26	68	0	0	0	0
20358	50017	1012	23	71	0	0	0	0
20359	50017	1012	18	74	0	0	0	0
20360	50017	1012	14	78	0	0	0	0
20361	50017	1013	17	105	0	0	0	0
20362	50017	1013	18	109	0	0	0	0
20363	50017	1013	23	110	0	0	0	0
20364	50017	1013	14	111	0	0	0	0
20365	50017	1013	11	111	0	0	0	0
20366	50017	1013	12	115	0	0	0	0
20367	50017	1013	15	114	0	0	0	0
20368	50017	1013	19	112	0	0	0	0
20369	50017	1013	8	118	0	0	0	0
20370	50017	1013	5	118	0	0	0	0
20371	50017	1013	8	120	0	0	0	0
20372	50017	1013	13	120	0	0	0	0
20373	50017	1013	15	117	0	0	0	0
20374	50017	1013	19	116	0	0	0	0
20375	50017	1013	22	114	0	0	0	0
20376	50017	1013	26	115	0	0	0	0
20377	50017	1013	19	119	0	0	0	0
20378	50017	1013	23	119	0	0	0	0
20379	50017	1013	12	124	0	0	0	0
20380	50017	1013	16	124	0	0	0	0
20381	50017	1013	21	124	0	0	0	0
20382	50017	1013	28	118	0	0	0	0
20383	50017	1013	31	117	0	0	0	0
20384	50017	1013	28	121	0	0	0	0
20385	50017	1013	26	122	0	0	0	0
20386	50017	1013	29	126	0	0	0	0
20387	50017	1013	24	127	0	0	0	0
20388	50017	1013	19	127	0	0	0	0
20389	50017	1013	32	123	0	0	0	0
20390	50017	1013	35	124	0	0	0	0
20391	50017	1014	55	120	0	0	0	0
20392	50017	1014	54	125	0	0	0	0
20393	50017	1014	58	121	0	0	0	0
20394	50017	1014	58	125	0	0	0	0
20395	50017	1014	62	117	0	0	0	0
20396	50017	1014	62	122	0	0	0	0
20397	50017	1014	59	129	0	0	0	0
20398	50017	1014	64	126	0	0	0	0
20399	50017	1014	66	129	0	0	0	0
20400	50017	1014	67	125	0	0	0	0
20401	50017	1014	66	122	0	0	0	0
20402	50017	1014	65	118	0	0	0	0
20403	50017	1014	67	115	0	0	0	0
20404	50017	1014	69	111	0	0	0	0
20405	50017	1014	70	114	0	0	0	0
20406	50017	1014	73	113	0	0	0	0
20407	50017	1014	76	116	0	0	0	0
20408	50017	1014	73	118	0	0	0	0
20409	50017	1014	70	118	0	0	0	0
20410	50017	1014	68	120	0	0	0	0
20411	50017	1014	70	123	0	0	0	0
20412	50017	1014	73	124	0	0	0	0
20413	50017	1014	71	127	0	0	0	0
20414	50017	1014	75	128	0	0	0	0
20415	50017	1014	78	128	0	0	0	0
20416	50017	1014	80	125	0	0	0	0
20417	50017	1014	79	120	0	0	0	0
20418	50017	1014	76	119	0	0	0	0
20419	50017	1014	73	121	0	0	0	0
20420	50017	1014	76	124	0	0	0	0
20421	50018	1015	60	68	0	0	0	0
20422	50018	1015	61	65	0	0	0	0
20423	50018	1015	64	60	0	0	0	0
20424	50018	1015	67	58	0	0	0	0
20425	50018	1015	73	55	0	0	0	0
20426	50018	1015	78	58	0	0	0	0
20427	50018	1015	74	59	0	0	0	0
20428	50018	1015	70	60	0	0	0	0
20429	50018	1015	61	73	0	0	0	0
20430	50018	1015	64	69	0	0	0	0
20431	50018	1015	66	66	0	0	0	0
20432	50018	1015	67	63	0	0	0	0
20433	50018	1015	76	62	0	0	0	0
20434	50018	1015	81	61	0	0	0	0
20435	50018	1015	79	64	0	0	0	0
20436	50018	1015	70	65	0	0	0	0
20437	50018	1015	73	65	0	0	0	0
