INT	STRING	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT
40	â¡â¥	2000000	-1	1:49000000|27:145000|6:61300|7:91880|3:950000|22:150	1:4900|4:196|5:490|6:196|7:490	1:0:0:0:0:0:0	405	402	5	4	5:30|6:30|7:40	0
41	—ƒè»	2800000	-1	1:50000000|27:150000|6:62500|7:93750|3:1000000|22:200	1:5000|4:200|5:500|6:200|7:500	1:0:0:0:0:0:0	406	-1	6	5	5:30|6:30|7:40	0
42	—ƒè»	2800000	-1	1:51000000|27:155000|6:63800|7:95630|3:1100000|22:200	1:5100|4:204|5:510|6:204|7:510	1:0:0:0:0:0:0	406	-1	6	5	5:30|6:30|7:40	0
43	—ƒè»	2800000	-1	1:52000000|27:160000|6:65000|7:97500|3:1200000|22:200	1:5200|4:208|5:520|6:208|7:520	1:0:0:0:0:0:0	406	-1	6	5	5:30|6:30|7:40	0
44	—ƒè»	2800000	-1	1:53000000|27:165000|6:66300|7:99380|3:1300000|22:200	1:5300|4:212|5:530|6:212|7:530	1:0:0:0:0:0:0	406	-1	6	5	5:30|6:30|7:40	0
45	—ƒè»	2800000	-1	1:54000000|27:170000|6:67500|7:101250|3:1400000|22:200	1:5400|4:216|5:540|6:216|7:540	1:0:0:0:0:0:0	406	-1	6	5	5:30|6:30|7:40	0
46	—ƒè»	2800000	-1	1:55000000|27:175000|6:68800|7:103130|3:1500000|22:200	1:5500|4:220|5:550|6:220|7:550	1:0:0:0:0:0:0	406	-1	6	5	5:30|6:30|7:40	0
47	—ƒè»	2800000	-1	1:56000000|27:180000|6:70000|7:105000|3:1600000|22:200	1:5600|4:224|5:560|6:224|7:560	1:0:0:0:0:0:0	406	-1	6	5	5:30|6:30|7:40	0
48	—ƒè»	2800000	-1	1:57000000|27:185000|6:71300|7:106880|3:1700000|22:200	1:5700|4:228|5:570|6:228|7:570	1:0:0:0:0:0:0	406	-1	6	5	5:30|6:30|7:40	0
49	—ƒè»	2800000	-1	1:58000000|27:190000|6:72500|7:108750|3:1800000|22:200	1:5800|4:232|5:580|6:232|7:580	1:0:0:0:0:0:0	406	-1	6	5	5:30|6:30|7:40	0
50	—ƒè»	2800000	-1	1:59000000|27:195000|6:73800|7:110630|3:1900000|22:200	1:5900|4:236|5:590|6:236|7:590	1:0:0:0:0:0:0	406	402	6	5	5:30|6:30|7:40	0
51	Òú»¢	3800000	-1	1:60000000|27:200000|6:75000|7:112500|3:2000000|22:250	1:6000|4:240|5:600|6:240|7:600	1:0:0:0:0:0:0	407	-1	8	6	4:40|5:20|6:20|7:20	0
52	Òú»¢	3800000	-1	1:61000000|27:205000|6:76300|7:114380|3:2300000|22:250	1:6200|4:248|5:620|6:248|7:620	1:0:0:0:0:0:0	407	-1	8	6	4:40|5:20|6:20|7:20	0
53	Òú»¢	3800000	-1	1:62000000|27:210000|6:77500|7:116250|3:2600000|22:250	1:6400|4:256|5:640|6:256|7:640	1:0:0:0:0:0:0	407	-1	8	6	4:40|5:20|6:20|7:20	0
54	Òú»¢	3800000	-1	1:63000000|27:215000|6:78800|7:118130|3:2900000|22:250	1:6600|4:264|5:660|6:264|7:660	1:0:0:0:0:0:0	407	-1	8	6	4:40|5:20|6:20|7:20	0
55	Òú»¢	3800000	-1	1:64000000|27:220000|6:80000|7:120000|3:3200000|22:250	1:6800|4:272|5:680|6:272|7:680	1:0:0:0:0:0:0	407	-1	8	6	4:40|5:20|6:20|7:20	0
56	Òú»¢	3800000	-1	1:65000000|27:225000|6:81300|7:121880|3:3500000|22:250	1:7000|4:280|5:700|6:280|7:700	1:0:0:0:0:0:0	407	-1	8	6	4:40|5:20|6:20|7:20	0
57	Òú»¢	3800000	-1	1:66000000|27:230000|6:82500|7:123750|3:3800000|22:250	1:7200|4:288|5:720|6:288|7:720	1:0:0:0:0:0:0	407	-1	8	6	4:40|5:20|6:20|7:20	0
58	Òú»¢	3800000	-1	1:67000000|27:235000|6:83800|7:125630|3:4100000|22:250	1:7400|4:296|5:740|6:296|7:740	1:0:0:0:0:0:0	407	-1	8	6	4:40|5:20|6:20|7:20	0
59	Òú»¢	3800000	-1	1:68000000|27:240000|6:85000|7:127500|3:4400000|22:250	1:7600|4:304|5:760|6:304|7:760	1:0:0:0:0:0:0	407	-1	8	6	4:40|5:20|6:20|7:20	0
60	Òú»¢	3800000	-1	1:69000000|27:245000|6:86300|7:129380|3:4700000|22:250	1:7800|4:312|5:780|6:312|7:780	1:0:0:0:0:0:0	407	402	8	6	4:40|5:20|6:20|7:20	0
61	ÇîÆæ	4800000	-1	1:70000000|27:250000|6:87500|7:131250|3:5000000|22:300	1:8000|4:320|5:800|6:320|7:800	1:0:0:0:0:0:0	408	-1	7	7	4:40|5:20|6:20|7:20	0
62	ÇîÆæ	4800000	-1	1:71000000|27:255000|6:88800|7:133130|3:5500000|22:350	1:8200|4:328|5:820|6:328|7:820	1:0:0:0:0:0:0	408	-1	7	7	4:40|5:20|6:20|7:20	0
63	ÇîÆæ	4800000	-1	1:72000000|27:260000|6:90000|7:135000|3:6000000|22:400	1:8400|4:336|5:840|6:336|7:840	1:0:0:0:0:0:0	408	-1	7	7	4:40|5:20|6:20|7:20	0
64	ÇîÆæ	4800000	-1	1:73000000|27:265000|6:91300|7:136880|3:6500000|22:450	1:8600|4:344|5:860|6:344|7:860	1:0:0:0:0:0:0	408	-1	7	7	4:40|5:20|6:20|7:20	0
65	ÇîÆæ	4800000	-1	1:74000000|27:270000|6:92500|7:138750|3:7000000|22:500	1:8800|4:352|5:880|6:352|7:880	1:0:0:0:0:0:0	408	-1	7	7	4:40|5:20|6:20|7:20	0
66	ÇîÆæ	4800000	-1	1:75000000|27:275000|6:93800|7:140630|3:7500000|22:550	1:9000|4:360|5:900|6:360|7:900	1:0:0:0:0:0:0	408	-1	7	7	4:40|5:20|6:20|7:20	0
67	ÇîÆæ	4800000	-1	1:76000000|27:280000|6:95000|7:142500|3:8000000|22:600	1:9200|4:368|5:920|6:368|7:920	1:0:0:0:0:0:0	408	-1	7	7	4:40|5:20|6:20|7:20	0
68	ÇîÆæ	4800000	-1	1:77000000|27:285000|6:96300|7:144380|3:8500000|22:650	1:9400|4:376|5:940|6:376|7:940	1:0:0:0:0:0:0	408	-1	7	7	4:40|5:20|6:20|7:20	0
69	ÇîÆæ	4800000	-1	1:78000000|27:290000|6:97500|7:146250|3:9000000|22:700	1:9600|4:384|5:960|6:384|7:960	1:0:0:0:0:0:0	408	-1	7	7	4:40|5:20|6:20|7:20	0
70	ÇîÆæ	0	-1	1:80000000|27:300000|6:100000|7:150000|3:10000000|22:700	1:10000|4:400|5:1000|6:400|7:1000	1:0:0:0:0:0:0	408	547	7	7	4:40|5:20|6:20|7:20	8888
71	ÓÄÚ¤»¢	0	-1	1:80000000|27:300000|6:100000|7:150000|3:10000000|22:700	1:10000|4:400|5:1000|6:400|7:1000	1:0:0:0:0:0:0	419	547	9	8	4:40|5:20|6:20|7:20	0
