INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
1001	2	30001|30002|30003|30004|30005|30006|30007|30008|30009|30010|30011|30012	1	5888	-1	-1	7	ÊØ»¤ÆÕÍ¨Ì×	1	1	0	0	0
1002	2	50000|50001|50002|50003|50004|50005|50006	1	1000	-1	-1	7	Ê¯»¯1~7Ì×	1	0	0	0	0
1003	2	50010|50011|50012|50013|50014|50015|50016	1	1000	-1	-1	7	³àÑæ1~7Ì×	1	0	0	0	0
1004	2	50020|50021|50022|50023|50024|50025|50026	1	1000	-1	-1	7	×Ïµç1~7Ì×	1	0	0	0	0
1005	2	50030|50031|50032|50033|50034|50035|50036	1	1000	-1	-1	7	ÖØÉú1~7Ì×	1	0	0	0	0
1006	2	50040|50041|50042|50043|50044|50045|50046	1	1000	-1	-1	7	¾ÅÏö1~7Ì×	1	0	0	0	0
1007	2	50050|50051|50052|50053|50054|50055|50056	1	1000	-1	-1	7	¾ÈÊê1~7Ì×	1	0	0	0	0
1008	2	10202|10203|10204|10205|10207|10208|10209|10210	1	500	-1	-1	7	21½×Ê×ÊÎÌ×	1	0	0	0	0
1009	2	10212|10213|10214|10215|10217|10218|10219|10220	1	600	-1	-1	7	22½×Ê×ÊÎÌ×	1	0	0	0	0
1010	2	10222|10223|10224|10225|10227|10228|10229|10230	1	700	-1	-1	7	23½×Ê×ÊÎÌ×	1	0	0	0	0
1011	2	10232|10233|10234|10235|10237|10238|10239|10240	1	800	-1	-1	7	24½×Ê×ÊÎÌ×	1	0	0	0	0
1012	2	10242|10243|10244|10245|10247|10248|10249|10250	1	900	-1	-1	7	25½×Ê×ÊÎÌ×	1	0	0	0	0
1013	2	10252|10253|10254|10255|10257|10258|10259|10260	1	1000	-1	-1	7	26½×Ê×ÊÎÌ×	1	0	0	0	0
1014	2	10262|10263|10264|10265|10267|10268|10269|10270	1	1500	-1	-1	7	27½×Ê×ÊÎÌ×	1	0	0	0	0
1015	2	10272|10273|10274|10275|10277|10278|10279|10280	1	2000	-1	-1	7	28½×Ê×ÊÎÌ×	1	0	0	0	0
1016	2	10282|10283|10284|10285|10287|10288|10289|10290	1	2500	-1	-1	7	29½×Ê×ÊÎÌ×	1	0	0	0	0
1017	2	10292|10293|10294|10295|10297|10298|10299|10300	1	3000	-1	-1	7	30½×Ê×ÊÎÌ×	1	0	0	0	0
1018	2	10302|10303|10304|10305|10307|10308|10309|10310	1	5000	-1	-1	7	31½×Ê×ÊÎÌ×	1	1	0	0	0
1019	2	10312|10313|10314|10315|10317|10318|10319|10320	1	6000	-1	-1	7	32½×Ê×ÊÎÌ×	1	1	0	0	0
1020	2	10322|10323|10324|10325|10327|10328|10329|10330	1	7000	-1	-1	7	33½×Ê×ÊÎÌ×	1	1	0	0	0
1021	2	10332|10333|10334|10335|10337|10338|10339|10340	1	8000	-1	-1	7	34½×Ê×ÊÎÌ×	1	1	0	0	0
1022	2	10342|10343|10344|10345|10347|10348|10349|10350	1	10000	-1	-1	7	35½×Ê×ÊÎÌ×	1	1	0	0	0
2001	3	10152	1	20	-1	-1	3	-1	1	0	0	0	0
2002	3	10153	1	20	-1	-1	3	-1	1	0	0	0	0
2003	3	10154	1	20	-1	-1	3	-1	1	0	0	0	0
2004	3	10155	1	20	-1	-1	3	-1	1	0	0	0	0
2005	3	10157	1	20	-1	-1	3	-1	1	0	0	0	0
2006	3	10158	1	20	-1	-1	3	-1	1	0	0	0	0
2007	3	10159	1	20	-1	-1	3	-1	1	0	0	0	0
2008	3	10160	1	20	-1	-1	3	-1	1	0	0	0	0
2009	3	10162	1	40	-1	-1	3	-1	1	0	0	0	0
2010	3	10163	1	40	-1	-1	3	-1	1	0	0	0	0
2011	3	10164	1	40	-1	-1	3	-1	1	0	0	0	0
2012	3	10165	1	40	-1	-1	3	-1	1	0	0	0	0
2013	3	10167	1	40	-1	-1	3	-1	1	0	0	0	0
2014	3	10168	1	40	-1	-1	3	-1	1	0	0	0	0
2015	3	10169	1	40	-1	-1	3	-1	1	0	0	0	0
2016	3	10170	1	40	-1	-1	3	-1	1	0	0	0	0
2017	3	10172	1	60	-1	-1	3	-1	1	0	0	0	0
2018	3	10173	1	60	-1	-1	3	-1	1	0	0	0	0
2019	3	10174	1	60	-1	-1	3	-1	1	0	0	0	0
2020	3	10175	1	60	-1	-1	3	-1	1	0	0	0	0
2021	3	10177	1	60	-1	-1	3	-1	1	0	0	0	0
2022	3	10178	1	60	-1	-1	3	-1	1	0	0	0	0
2023	3	10179	1	60	-1	-1	3	-1	1	0	0	0	0
2024	3	10180	1	60	-1	-1	3	-1	1	0	0	0	0
2025	3	10182	1	80	-1	-1	3	-1	1	0	0	0	0
2026	3	10183	1	80	-1	-1	3	-1	1	0	0	0	0
2027	3	10184	1	80	-1	-1	3	-1	1	0	0	0	0
2028	3	10185	1	80	-1	-1	3	-1	1	0	0	0	0
2029	3	10187	1	80	-1	-1	3	-1	1	0	0	0	0
2030	3	10188	1	80	-1	-1	3	-1	1	0	0	0	0
2031	3	10189	1	80	-1	-1	3	-1	1	0	0	0	0
2032	3	10190	1	80	-1	-1	3	-1	1	0	0	0	0
2033	3	10192	1	100	-1	-1	3	-1	1	0	0	0	0
2034	3	10193	1	100	-1	-1	3	-1	1	0	0	0	0
2035	3	10194	1	100	-1	-1	3	-1	1	0	0	0	0
2036	3	10195	1	100	-1	-1	3	-1	1	0	0	0	0
2037	3	10197	1	100	-1	-1	3	-1	1	0	0	0	0
2038	3	10198	1	100	-1	-1	3	-1	1	0	0	0	0
2039	3	10199	1	100	-1	-1	3	-1	1	0	0	0	0
2040	3	10200	1	100	-1	-1	3	-1	1	0	0	0	0
2041	3	10202	1	120	-1	-1	3	-1	1	0	0	0	0
2042	3	10203	1	120	-1	-1	3	-1	1	0	0	0	0
2043	3	10204	1	120	-1	-1	3	-1	1	0	0	0	0
2044	3	10205	1	120	-1	-1	3	-1	1	0	0	0	0
2045	3	10207	1	120	-1	-1	3	-1	1	0	0	0	0
2046	3	10208	1	120	-1	-1	3	-1	1	0	0	0	0
2047	3	10209	1	120	-1	-1	3	-1	1	0	0	0	0
2048	3	10210	1	120	-1	-1	3	-1	1	0	0	0	0
2049	3	10212	1	140	-1	-1	3	-1	1	0	0	0	0
2050	3	10213	1	140	-1	-1	3	-1	1	0	0	0	0
2051	3	10214	1	140	-1	-1	3	-1	1	0	0	0	0
2052	3	10215	1	140	-1	-1	3	-1	1	0	0	0	0
2053	3	10217	1	140	-1	-1	3	-1	1	0	0	0	0
2054	3	10218	1	140	-1	-1	3	-1	1	0	0	0	0
2055	3	10219	1	140	-1	-1	3	-1	1	0	0	0	0
2056	3	10220	1	140	-1	-1	3	-1	1	0	0	0	0
2057	3	10222	1	160	-1	-1	3	-1	1	0	0	0	0
2058	3	10223	1	160	-1	-1	3	-1	1	0	0	0	0
2059	3	10224	1	160	-1	-1	3	-1	1	0	0	0	0
2060	3	10225	1	160	-1	-1	3	-1	1	0	0	0	0
2061	3	10227	1	160	-1	-1	3	-1	1	0	0	0	0
2062	3	10228	1	160	-1	-1	3	-1	1	0	0	0	0
2063	3	10229	1	160	-1	-1	3	-1	1	0	0	0	0
2064	3	10230	1	160	-1	-1	3	-1	1	0	0	0	0
2065	3	10232	1	180	-1	-1	3	-1	1	0	0	0	0
2066	3	10233	1	180	-1	-1	3	-1	1	0	0	0	0
2067	3	10234	1	180	-1	-1	3	-1	1	0	0	0	0
2068	3	10235	1	180	-1	-1	3	-1	1	0	0	0	0
2069	3	10237	1	180	-1	-1	3	-1	1	0	0	0	0
2070	3	10238	1	180	-1	-1	3	-1	1	0	0	0	0
2071	3	10239	1	180	-1	-1	3	-1	1	0	0	0	0
2072	3	10240	1	180	-1	-1	3	-1	1	0	0	0	0
2073	3	10242	1	200	-1	-1	3	-1	1	0	0	0	0
2074	3	10243	1	200	-1	-1	3	-1	1	0	0	0	0
2075	3	10244	1	200	-1	-1	3	-1	1	0	0	0	0
2076	3	10245	1	200	-1	-1	3	-1	1	0	0	0	0
2077	3	10247	1	200	-1	-1	3	-1	1	0	0	0	0
2078	3	10248	1	200	-1	-1	3	-1	1	0	0	0	0
2079	3	10249	1	200	-1	-1	3	-1	1	0	0	0	0
2080	3	10250	1	200	-1	-1	3	-1	1	0	0	0	0
2081	3	10252	1	300	-1	-1	3	-1	1	0	0	0	0
2082	3	10253	1	300	-1	-1	3	-1	1	0	0	0	0
2083	3	10254	1	300	-1	-1	3	-1	1	0	0	0	0
2084	3	10255	1	300	-1	-1	3	-1	1	0	0	0	0
2085	3	10257	1	300	-1	-1	3	-1	1	0	0	0	0
2086	3	10258	1	300	-1	-1	3	-1	1	0	0	0	0
2087	3	10259	1	300	-1	-1	3	-1	1	0	0	0	0
2088	3	10260	1	300	-1	-1	3	-1	1	0	0	0	0
2089	3	10262	1	300	-1	-1	3	-1	1	0	0	0	0
2090	3	10263	1	300	-1	-1	3	-1	1	0	0	0	0
2091	3	10264	1	300	-1	-1	3	-1	1	0	0	0	0
2092	3	10265	1	300	-1	-1	3	-1	1	0	0	0	0
2093	3	10267	1	300	-1	-1	3	-1	1	0	0	0	0
2094	3	10268	1	300	-1	-1	3	-1	1	0	0	0	0
2095	3	10269	1	300	-1	-1	3	-1	1	0	0	0	0
2096	3	10270	1	300	-1	-1	3	-1	1	0	0	0	0
2097	3	10272	1	300	-1	-1	3	-1	1	0	0	0	0
2098	3	10273	1	300	-1	-1	3	-1	1	0	0	0	0
2099	3	10274	1	300	-1	-1	3	-1	1	0	0	0	0
2100	3	10275	1	300	-1	-1	3	-1	1	0	0	0	0
2101	3	10277	1	300	-1	-1	3	-1	1	0	0	0	0
2102	3	10278	1	300	-1	-1	3	-1	1	0	0	0	0
2103	3	10279	1	300	-1	-1	3	-1	1	0	0	0	0
2104	3	10280	1	300	-1	-1	3	-1	1	0	0	0	0
2105	3	10282	1	300	-1	-1	3	-1	1	0	0	0	0
2106	3	10283	1	300	-1	-1	3	-1	1	0	0	0	0
2107	3	10284	1	300	-1	-1	3	-1	1	0	0	0	0
2108	3	10285	1	300	-1	-1	3	-1	1	0	0	0	0
2109	3	10287	1	300	-1	-1	3	-1	1	0	0	0	0
2110	3	10288	1	300	-1	-1	3	-1	1	0	0	0	0
2111	3	10289	1	300	-1	-1	3	-1	1	0	0	0	0
2112	3	10290	1	300	-1	-1	3	-1	1	0	0	0	0
2113	3	10292	1	300	-1	-1	3	-1	1	0	0	0	0
2114	3	10293	1	300	-1	-1	3	-1	1	0	0	0	0
2115	3	10294	1	300	-1	-1	3	-1	1	0	0	0	0
2116	3	10295	1	300	-1	-1	3	-1	1	0	0	0	0
2117	3	10297	1	300	-1	-1	3	-1	1	0	0	0	0
2118	3	10298	1	300	-1	-1	3	-1	1	0	0	0	0
2119	3	10299	1	300	-1	-1	3	-1	1	0	0	0	0
2120	3	10300	1	300	-1	-1	3	-1	1	0	0	0	0
2121	3	10302	1	500	-1	-1	3	-1	1	0	0	0	0
2122	3	10303	1	500	-1	-1	3	-1	1	0	0	0	0
2123	3	10304	1	500	-1	-1	3	-1	1	0	0	0	0
2124	3	10305	1	500	-1	-1	3	-1	1	0	0	0	0
2125	3	10307	1	500	-1	-1	3	-1	1	0	0	0	0
2126	3	10308	1	500	-1	-1	3	-1	1	0	0	0	0
2127	3	10309	1	500	-1	-1	3	-1	1	0	0	0	0
2128	3	10310	1	500	-1	-1	3	-1	1	0	0	0	0
2129	3	10312	1	600	-1	-1	3	-1	1	0	0	0	0
2130	3	10313	1	600	-1	-1	3	-1	1	0	0	0	0
2131	3	10314	1	600	-1	-1	3	-1	1	0	0	0	0
2132	3	10315	1	600	-1	-1	3	-1	1	0	0	0	0
2133	3	10317	1	600	-1	-1	3	-1	1	0	0	0	0
2134	3	10318	1	600	-1	-1	3	-1	1	0	0	0	0
2135	3	10319	1	600	-1	-1	3	-1	1	0	0	0	0
2136	3	10320	1	600	-1	-1	3	-1	1	0	0	0	0
2137	3	10322	1	700	-1	-1	3	-1	1	0	0	0	0
2138	3	10323	1	700	-1	-1	3	-1	1	0	0	0	0
2139	3	10324	1	700	-1	-1	3	-1	1	0	0	0	0
2140	3	10325	1	700	-1	-1	3	-1	1	0	0	0	0
2141	3	10327	1	700	-1	-1	3	-1	1	0	0	0	0
2142	3	10328	1	700	-1	-1	3	-1	1	0	0	0	0
2143	3	10329	1	700	-1	-1	3	-1	1	0	0	0	0
2144	3	10330	1	700	-1	-1	3	-1	1	0	0	0	0
2145	3	10332	1	800	-1	-1	3	-1	1	0	0	0	0
2146	3	10333	1	800	-1	-1	3	-1	1	0	0	0	0
2147	3	10334	1	800	-1	-1	3	-1	1	0	0	0	0
2148	3	10335	1	800	-1	-1	3	-1	1	0	0	0	0
2149	3	10337	1	800	-1	-1	3	-1	1	0	0	0	0
2150	3	10338	1	800	-1	-1	3	-1	1	0	0	0	0
2151	3	10339	1	800	-1	-1	3	-1	1	0	0	0	0
2152	3	10340	1	800	-1	-1	3	-1	1	0	0	0	0
2153	3	10342	1	1000	-1	-1	3	-1	1	1	0	0	0
2154	3	10343	1	1000	-1	-1	3	-1	1	1	0	0	0
2155	3	10344	1	1000	-1	-1	3	-1	1	1	0	0	0
2156	3	10345	1	1000	-1	-1	3	-1	1	1	0	0	0
2157	3	10347	1	1000	-1	-1	3	-1	1	1	0	0	0
2158	3	10348	1	1000	-1	-1	3	-1	1	1	0	0	0
2159	3	10349	1	1000	-1	-1	3	-1	1	1	0	0	0
2160	3	10350	1	1000	-1	-1	3	-1	1	1	0	0	0
2161	3	10352	1	1500	-1	-1	3	-1	1	1	0	0	0
2162	3	10353	1	1500	-1	-1	3	-1	1	1	0	0	0
2163	3	10354	1	1500	-1	-1	3	-1	1	1	0	0	0
2164	3	10355	1	1500	-1	-1	3	-1	1	1	0	0	0
2165	3	10357	1	1500	-1	-1	3	-1	1	1	0	0	0
2166	3	10358	1	1500	-1	-1	3	-1	1	1	0	0	0
2167	3	10359	1	1500	-1	-1	3	-1	1	1	0	0	0
2168	3	10360	1	1500	-1	-1	3	-1	1	1	0	0	0
2169	3	10362	1	2000	-1	-1	3	-1	1	1	0	0	0
2170	3	10363	1	2000	-1	-1	3	-1	1	1	0	0	0
2171	3	10364	1	2000	-1	-1	3	-1	1	1	0	0	0
2172	3	10365	1	2000	-1	-1	3	-1	1	1	0	0	0
2173	3	10367	1	2000	-1	-1	3	-1	1	1	0	0	0
2174	3	10368	1	2000	-1	-1	3	-1	1	1	0	0	0
2175	3	10369	1	2000	-1	-1	3	-1	1	1	0	0	0
2176	3	10370	1	2000	-1	-1	3	-1	1	1	0	0	0
2177	3	10372	1	3000	-1	-1	3	-1	1	1	0	0	0
2178	3	10373	1	3000	-1	-1	3	-1	1	1	0	0	0
2179	3	10374	1	3000	-1	-1	3	-1	1	1	0	0	0
2180	3	10375	1	3000	-1	-1	3	-1	1	1	0	0	0
2181	3	10377	1	3000	-1	-1	3	-1	1	1	0	0	0
2182	3	10378	1	3000	-1	-1	3	-1	1	1	0	0	0
2183	3	10379	1	3000	-1	-1	3	-1	1	1	0	0	0
2184	3	10380	1	3000	-1	-1	3	-1	1	1	0	0	0
2185	3	10382	1	4000	-1	-1	3	-1	1	1	0	0	0
2186	3	10383	1	4000	-1	-1	3	-1	1	1	0	0	0
2187	3	10384	1	4000	-1	-1	3	-1	1	1	0	0	0
2188	3	10385	1	4000	-1	-1	3	-1	1	1	0	0	0
2189	3	10387	1	4000	-1	-1	3	-1	1	1	0	0	0
2190	3	10388	1	4000	-1	-1	3	-1	1	1	0	0	0
2191	3	10389	1	4000	-1	-1	3	-1	1	1	0	0	0
2192	3	10390	1	4000	-1	-1	3	-1	1	1	0	0	0
2193	3	10392	1	5000	-1	-1	3	-1	1	1	0	0	0
2194	3	10393	1	5000	-1	-1	3	-1	1	1	0	0	0
2195	3	10394	1	5000	-1	-1	3	-1	1	1	0	0	0
2196	3	10395	1	5000	-1	-1	3	-1	1	1	0	0	0
2197	3	10397	1	5000	-1	-1	3	-1	1	1	0	0	0
2198	3	10398	1	5000	-1	-1	3	-1	1	1	0	0	0
2199	3	10399	1	5000	-1	-1	3	-1	1	1	0	0	0
2200	3	10400	1	5000	-1	-1	3	-1	1	1	0	0	0
2201	3	50007	1	500	-1	-1	3	-1	1	0	0	0	0
2202	3	50008	1	1000	-1	-1	3	-1	1	0	0	0	0
2203	3	50009	1	3000	-1	-1	3	-1	1	1	0	0	0
2204	3	50017	1	500	-1	-1	3	-1	1	0	0	0	0
2205	3	50018	1	1000	-1	-1	3	-1	1	0	0	0	0
2206	3	50019	1	3000	-1	-1	3	-1	1	1	0	0	0
2207	3	50027	1	500	-1	-1	3	-1	1	0	0	0	0
2208	3	50028	1	1000	-1	-1	3	-1	1	0	0	0	0
2209	3	50029	1	3000	-1	-1	3	-1	1	1	0	0	0
2210	3	50037	1	500	-1	-1	3	-1	1	0	0	0	0
2211	3	50038	1	1000	-1	-1	3	-1	1	0	0	0	0
2212	3	50039	1	3000	-1	-1	3	-1	1	1	0	0	0
2213	3	50047	1	500	-1	-1	3	-1	1	0	0	0	0
2214	3	50048	1	1000	-1	-1	3	-1	1	0	0	0	0
2215	3	50049	1	3000	-1	-1	3	-1	1	1	0	0	0
2216	3	50057	1	500	-1	-1	3	-1	1	0	0	0	0
2217	3	50058	1	1000	-1	-1	3	-1	1	0	0	0	0
2218	3	50059	1	3000	-1	-1	3	-1	1	1	0	0	0
