INT	INT	INT	INT	INT	INT	INT	INT	INT
83	3011	11359	2	12359	18	400	7	5083
84	3011	11360	2	12360	18	400	7	5084
85	3012	10281	2	11281	19	500	4	5085
86	3012	10286	2	11286	19	500	4	5086
87	3012	10291	2	11291	20	500	4	5087
88	3012	10296	2	11296	20	500	4	5088
89	3012	10301	2	11301	21	500	4	5089
90	3012	10306	2	11306	21	500	4	5090
91	3012	10362	2	11362	22	500	4	5091
92	3012	10363	2	11363	22	500	4	5092
93	3012	10364	2	11364	22	500	4	5093
94	3012	10365	2	11365	22	500	4	5094
95	3012	10367	2	11367	22	500	4	5095
96	3012	10368	2	11368	22	500	4	5096
97	3012	10369	2	11369	22	500	4	5097
98	3012	10370	2	11370	22	500	4	5098
99	3012	10372	2	11372	23	500	4	5099
100	3012	10373	2	11373	23	500	4	5100
101	3012	10374	2	11374	23	500	4	5101
102	3012	10375	2	11375	23	500	4	5102
103	3012	10377	2	11377	23	500	4	5103
104	3012	10378	2	11378	23	500	4	5104
105	3012	10379	2	11379	23	500	4	5105
106	3012	10380	2	11380	23	500	4	5106
107	3012	11281	2	12281	24	500	7	5107
108	3012	11286	2	12286	24	500	7	5108
109	3012	11291	2	12291	25	500	7	5109
110	3012	11296	2	12296	25	500	7	5110
111	3012	11301	2	12301	26	500	7	5111
112	3012	11306	2	12306	26	500	7	5112
113	3012	11362	2	12362	27	500	7	5113
114	3012	11363	2	12363	27	500	7	5114
115	3012	11364	2	12364	27	500	7	5115
116	3012	11365	2	12365	27	500	7	5116
117	3012	11367	2	12367	27	500	7	5117
118	3012	11368	2	12368	27	500	7	5118
119	3012	11369	2	12369	27	500	7	5119
120	3012	11370	2	12370	27	500	7	5120
121	3012	11372	2	12372	28	500	7	5121
122	3012	11373	2	12373	28	500	7	5122
123	3012	11374	2	12374	28	500	7	5123
124	3012	11375	2	12375	28	500	7	5124
125	3012	11377	2	12377	28	500	7	5125
126	3012	11378	2	12378	28	500	7	5126
127	3012	11379	2	12379	28	500	7	5127
128	3012	11380	2	12380	28	500	7	5128
129	3012	10311	2	11311	29	500	4	5129
130	3012	10316	2	11316	29	500	4	5130
131	3012	10321	2	11321	30	500	4	5131
132	3012	10326	2	11326	30	500	4	5132
133	3013	10331	2	11331	31	600	4	5133
134	3013	10336	2	11336	31	600	4	5134
135	3013	10341	2	11341	32	600	4	5135
136	3013	10346	2	11346	32	600	4	5136
137	3012	10382	2	11382	33	500	4	5137
138	3012	10383	2	11383	33	500	4	5138
139	3012	10384	2	11384	33	500	4	5139
140	3012	10385	2	11385	33	500	4	5140
141	3012	10387	2	11387	33	500	4	5141
142	3012	10388	2	11388	33	500	4	5142
143	3012	10389	2	11389	33	500	4	5143
144	3012	10390	2	11390	33	500	4	5144
145	3012	10392	2	11392	34	500	4	5145
146	3012	10393	2	11393	34	500	4	5146
147	3012	10394	2	11394	34	500	4	5147
148	3012	10395	2	11395	34	500	4	5148
149	3012	10397	2	11397	34	500	4	5149
150	3012	10398	2	11398	34	500	4	5150
151	3012	10399	2	11399	34	500	4	5151
152	3012	10400	2	11400	34	500	4	5152
153	3012	11311	2	12311	35	500	7	5153
154	3012	11316	2	12316	35	500	7	5154
155	3012	11321	2	12321	36	500	7	5155
156	3012	11326	2	12326	36	500	7	5156
157	3013	11331	2	12331	37	600	7	5157
158	3013	11336	2	12336	37	600	7	5158
159	3013	11341	2	12341	38	600	7	5159
160	3013	11346	2	12346	38	600	7	5160
161	3012	11382	2	12382	39	500	7	5161
162	3012	11383	2	12383	39	500	7	5162
163	3012	11384	2	12384	39	500	7	5163
164	3012	11385	2	12385	39	500	7	5164
165	3012	11387	2	12387	39	500	7	5165
166	3012	11388	2	12388	39	500	7	5166
167	3012	11389	2	12389	39	500	7	5167
168	3012	11390	2	12390	39	500	7	5168
169	3012	11392	2	12392	40	500	7	5169
170	3012	11393	2	12393	40	500	7	5170
171	3012	11394	2	12394	40	500	7	5171
172	3012	11395	2	12395	40	500	7	5172
173	3012	11397	2	12397	40	500	7	5173
174	3012	11398	2	12398	40	500	7	5174
175	3012	11399	2	12399	40	500	7	5175
176	3012	11400	2	12400	40	500	7	5176
177	3013	10402	2	11402	41	600	4	5177
178	3013	10403	2	11403	41	600	4	5178
179	3013	10404	2	11404	41	600	4	5179
180	3013	10405	2	11405	41	600	4	5180
181	3013	10407	2	11407	41	600	4	5181
182	3013	10408	2	11408	41	600	4	5182
183	3013	10409	2	11409	41	600	4	5183
184	3013	10410	2	11410	41	600	4	5184
185	3013	11402	2	12402	42	600	7	5185
186	3013	11403	2	12403	42	600	7	5186
187	3013	11404	2	12404	42	600	7	5187
188	3013	11405	2	12405	42	600	7	5188
189	3013	11407	2	12407	42	600	7	5189
190	3013	11408	2	12408	42	600	7	5190
191	3013	11409	2	12409	42	600	7	5191
192	3013	11410	2	12410	42	600	7	5192
