INT	INT	STRING	STRING	INT	STRING	STRING	INT	STRING	INT
17	50000	-1	47:64000|4:104|5:260|6:104|7:260|46:60	-1	2阶7星:圣妖天灵·乾元	2	102	2_1	0
18	50000	-1	47:66000|4:108|5:270|6:108|7:270|46:60	-1	2阶8星:圣妖天灵·乾元	2	102	2_1	0
19	50000	-1	47:68000|4:112|5:280|6:112|7:280|46:60	-1	2阶9星:圣妖天灵·乾元	2	102	2_1	0
20	50000	-1	47:70000|4:116|5:290|6:116|7:290|46:60	-1	2阶10星:圣妖天灵·乾元	2	102	2_1	0
21	70000	-1	47:74000|4:120|5:300|6:120|7:300|46:100	408	3阶1星:圣妖天灵·狂澜	3	103	3_1	0
22	70000	-1	47:78000|4:124|5:310|6:124|7:310|46:100	-1	3阶2星:圣妖天灵·狂澜	3	103	3_1	0
23	70000	-1	47:82000|4:128|5:320|6:128|7:320|46:100	-1	3阶3星:圣妖天灵·狂澜	3	103	3_1	0
24	70000	-1	47:86000|4:132|5:330|6:132|7:330|46:100	-1	3阶4星:圣妖天灵·狂澜	3	103	3_1	0
25	70000	-1	47:90000|4:136|5:340|6:136|7:340|46:100	-1	3阶5星:圣妖天灵·狂澜	3	103	3_1	0
26	70000	-1	47:94000|4:140|5:350|6:140|7:350|46:100	-1	3阶6星:圣妖天灵·狂澜	3	103	3_1	0
27	70000	-1	47:98000|4:144|5:360|6:144|7:360|46:100	-1	3阶7星:圣妖天灵·狂澜	3	103	3_1	0
28	70000	-1	47:102000|4:148|5:370|6:148|7:370|46:100	-1	3阶8星:圣妖天灵·狂澜	3	103	3_1	0
29	70000	-1	47:106000|4:152|5:380|6:152|7:380|46:100	-1	3阶9星:圣妖天灵·狂澜	3	103	3_1	0
30	70000	-1	47:110000|4:156|5:390|6:156|7:390|46:100	-1	3阶10星:圣妖天灵·狂澜	3	103	3_1	0
31	90000	-1	47:114000|4:160|5:400|6:160|7:400|46:150	408	4阶1星:圣妖天灵·雷霆	4	104	4_1	0
32	90000	-1	47:118000|4:164|5:410|6:164|7:410|46:150	-1	4阶2星:圣妖天灵·雷霆	4	104	4_1	0
33	90000	-1	47:122000|4:168|5:420|6:168|7:420|46:150	-1	4阶3星:圣妖天灵·雷霆	4	104	4_1	0
34	90000	-1	47:126000|4:172|5:430|6:172|7:430|46:150	-1	4阶4星:圣妖天灵·雷霆	4	104	4_1	0
35	90000	-1	47:130000|4:176|5:440|6:176|7:440|46:150	-1	4阶5星:圣妖天灵·雷霆	4	104	4_1	0
36	90000	-1	47:134000|4:180|5:450|6:180|7:450|46:150	-1	4阶6星:圣妖天灵·雷霆	4	104	4_1	0
37	90000	-1	47:138000|4:184|5:460|6:184|7:460|46:150	-1	4阶7星:圣妖天灵·雷霆	4	104	4_1	0
38	90000	-1	47:142000|4:188|5:470|6:188|7:470|46:150	-1	4阶8星:圣妖天灵·雷霆	4	104	4_1	0
39	90000	-1	47:146000|4:192|5:480|6:192|7:480|46:150	-1	4阶9星:圣妖天灵·雷霆	4	104	4_1	0
40	90000	-1	47:150000|4:196|5:490|6:196|7:490|46:150	-1	4阶10星:圣妖天灵·雷霆	4	104	4_1	0
41	120000	-1	47:155000|4:200|5:500|6:200|7:500|46:200	408	5阶1星:圣妖天灵·吞噬	5	105	5_1	0
42	120000	-1	47:160000|4:204|5:510|6:204|7:510|46:200	-1	5阶2星:圣妖天灵·吞噬	5	105	5_1	0
43	120000	-1	47:165000|4:208|5:520|6:208|7:520|46:200	-1	5阶3星:圣妖天灵·吞噬	5	105	5_1	0
44	120000	-1	47:170000|4:212|5:530|6:212|7:530|46:200	-1	5阶4星:圣妖天灵·吞噬	5	105	5_1	0
45	120000	-1	47:175000|4:216|5:540|6:216|7:540|46:200	-1	5阶5星:圣妖天灵·吞噬	5	105	5_1	0
46	120000	-1	47:180000|4:220|5:550|6:220|7:550|46:200	-1	5阶6星:圣妖天灵·吞噬	5	105	5_1	0
47	120000	-1	47:185000|4:224|5:560|6:224|7:560|46:200	-1	5阶7星:圣妖天灵·吞噬	5	105	5_1	0
48	120000	-1	47:190000|4:228|5:570|6:228|7:570|46:200	-1	5阶8星:圣妖天灵·吞噬	5	105	5_1	0
49	120000	-1	47:195000|4:232|5:580|6:232|7:580|46:200	-1	5阶9星:圣妖天灵·吞噬	5	105	5_1	0
50	120000	-1	47:200000|4:236|5:590|6:236|7:590|46:200	-1	5阶10星:圣妖天灵·吞噬	5	105	5_1	0
51	150000	-1	47:205000|4:240|5:600|6:240|7:600|46:250	408	6阶1星:圣妖天灵·羽化	6	106	6_1	0
52	150000	-1	47:210000|4:244|5:610|6:244|7:610|46:250	-1	6阶2星:圣妖天灵·羽化	6	106	6_1	0
53	150000	-1	47:215000|4:248|5:620|6:248|7:620|46:250	-1	6阶3星:圣妖天灵·羽化	6	106	6_1	0
54	150000	-1	47:220000|4:252|5:630|6:252|7:630|46:250	-1	6阶4星:圣妖天灵·羽化	6	106	6_1	0
55	150000	-1	47:225000|4:256|5:640|6:256|7:640|46:250	-1	6阶5星:圣妖天灵·羽化	6	106	6_1	0
56	150000	-1	47:230000|4:260|5:650|6:260|7:650|46:250	-1	6阶6星:圣妖天灵·羽化	6	106	6_1	0
57	150000	-1	47:235000|4:264|5:660|6:264|7:660|46:250	-1	6阶7星:圣妖天灵·羽化	6	106	6_1	0
58	150000	-1	47:240000|4:268|5:670|6:268|7:670|46:250	-1	6阶8星:圣妖天灵·羽化	6	106	6_1	0
59	150000	-1	47:245000|4:272|5:680|6:272|7:680|46:250	-1	6阶9星:圣妖天灵·羽化	6	106	6_1	0
60	150000	-1	47:250000|4:276|5:690|6:276|7:690|46:250	-1	6阶10星:圣妖天灵·羽化	6	106	6_1	0
61	180000	-1	47:255000|4:280|5:700|6:280|7:700|46:300	408	7阶1星:圣妖天灵·飞升	7	107	7_1	0
62	180000	-1	47:260000|4:284|5:710|6:284|7:710|46:300	-1	7阶2星:圣妖天灵·飞升	7	107	7_1	0
63	180000	-1	47:265000|4:288|5:720|6:288|7:720|46:300	-1	7阶3星:圣妖天灵·飞升	7	107	7_1	0
64	180000	-1	47:270000|4:292|5:730|6:292|7:730|46:300	-1	7阶4星:圣妖天灵·飞升	7	107	7_1	0
65	180000	-1	47:275000|4:296|5:740|6:296|7:740|46:300	-1	7阶5星:圣妖天灵·飞升	7	107	7_1	0
66	180000	-1	47:280000|4:300|5:750|6:300|7:750|46:300	-1	7阶6星:圣妖天灵·飞升	7	107	7_1	0
67	180000	-1	47:285000|4:304|5:760|6:304|7:760|46:300	-1	7阶7星:圣妖天灵·飞升	7	107	7_1	0
68	180000	-1	47:290000|4:308|5:770|6:308|7:770|46:300	-1	7阶8星:圣妖天灵·飞升	7	107	7_1	0
69	180000	-1	47:295000|4:312|5:780|6:312|7:780|46:300	-1	7阶9星:圣妖天灵·飞升	7	107	7_1	0
70	180000	-1	47:300000|4:316|5:790|6:316|7:790|46:300	-1	7阶10星:圣妖天灵·飞升	7	107	7_1	0
71	220000	-1	47:310000|4:320|5:800|6:320|7:800|46:350	408	8阶1星:圣妖天灵·皇极	8	108	8_1	0
72	220000	-1	47:320000|4:324|5:810|6:324|7:810|46:350	-1	8阶2星:圣妖天灵·皇极	8	108	8_1	0
73	220000	-1	47:330000|4:328|5:820|6:328|7:820|46:350	-1	8阶3星:圣妖天灵·皇极	8	108	8_1	0
74	220000	-1	47:340000|4:332|5:830|6:332|7:830|46:350	-1	8阶4星:圣妖天灵·皇极	8	108	8_1	0
75	220000	-1	47:350000|4:336|5:840|6:336|7:840|46:350	-1	8阶5星:圣妖天灵·皇极	8	108	8_1	0
76	220000	-1	47:360000|4:340|5:850|6:340|7:850|46:350	-1	8阶6星:圣妖天灵·皇极	8	108	8_1	0
77	220000	-1	47:370000|4:344|5:860|6:344|7:860|46:350	-1	8阶7星:圣妖天灵·皇极	8	108	8_1	0
78	220000	-1	47:380000|4:348|5:870|6:348|7:870|46:350	-1	8阶8星:圣妖天灵·皇极	8	108	8_1	0
79	220000	-1	47:390000|4:352|5:880|6:352|7:880|46:350	-1	8阶9星:圣妖天灵·皇极	8	108	8_1	0
80	220000	-1	47:400000|4:356|5:890|6:356|7:890|46:350	-1	8阶10星:圣妖天灵·皇极	8	108	8_1	0
81	280000	-1	47:410000|4:360|5:900|6:360|7:900|46:400	408	9阶1星:圣妖天灵·创世	9	109	9_1	0
82	280000	-1	47:420000|4:364|5:910|6:364|7:910|46:400	-1	9阶2星:圣妖天灵·创世	9	109	9_1	0
83	280000	-1	47:430000|4:368|5:920|6:368|7:920|46:400	-1	9阶3星:圣妖天灵·创世	9	109	9_1	0
84	280000	-1	47:440000|4:372|5:930|6:372|7:930|46:400	-1	9阶4星:圣妖天灵·创世	9	109	9_1	0
85	280000	-1	47:450000|4:376|5:940|6:376|7:940|46:400	-1	9阶5星:圣妖天灵·创世	9	109	9_1	0
86	280000	-1	47:460000|4:380|5:950|6:380|7:950|46:400	-1	9阶6星:圣妖天灵·创世	9	109	9_1	0
87	280000	-1	47:470000|4:384|5:960|6:384|7:960|46:400	-1	9阶7星:圣妖天灵·创世	9	109	9_1	0
88	280000	-1	47:480000|4:388|5:970|6:388|7:970|46:400	-1	9阶8星:圣妖天灵·创世	9	109	9_1	0
89	280000	-1	47:490000|4:392|5:980|6:392|7:980|46:400	-1	9阶9星:圣妖天灵·创世	9	109	9_1	0
90	280000	-1	47:500000|4:396|5:990|6:396|7:990|46:400	-1	9阶10星:圣妖天灵·创世	9	109	9_1	0
91	350000	-1	47:510000|4:400|5:1000|6:400|7:1000|46:430	408	10阶1星:圣妖天灵·开天	10	110	10_1	0
92	350000	-1	47:520000|4:404|5:1010|6:404|7:1010|46:460	-1	10阶2星:圣妖天灵·开天	10	110	10_1	0
93	350000	-1	47:530000|4:408|5:1020|6:408|7:1020|46:490	-1	10阶3星:圣妖天灵·开天	10	110	10_1	0
94	350000	-1	47:540000|4:412|5:1030|6:412|7:1030|46:520	-1	10阶4星:圣妖天灵·开天	10	110	10_1	0
95	350000	-1	47:550000|4:416|5:1040|6:416|7:1040|46:550	-1	10阶5星:圣妖天灵·开天	10	110	10_1	0
96	350000	-1	47:560000|4:420|5:1050|6:420|7:1050|46:580	-1	10阶6星:圣妖天灵·开天	10	110	10_1	0
97	350000	-1	47:570000|4:424|5:1060|6:424|7:1060|46:610	-1	10阶7星:圣妖天灵·开天	10	110	10_1	0
98	350000	-1	47:580000|4:428|5:1070|6:428|7:1070|46:640	-1	10阶8星:圣妖天灵·开天	10	110	10_1	0
99	350000	-1	47:600000|4:432|5:1080|6:432|7:1080|46:670	-1	10阶9星:圣妖天灵·开天	10	110	10_1	0
100	350000	-1	47:666666|4:440|5:1100|6:440|7:1100|46:700	408	10阶10星:圣妖天灵·开天	10	110	10_1	0
