INT	INT	INT	STRING	STRING	STRING	STRING	INT	STRING
41	3800000	1500	4:3986|5:9966|6:1793|7:4484|20:28|21:2	魔云战魂	105	5	0	0
42	4000000	3000	4:4225|5:10564|6:1901|7:4753|20:29|21:4	魔云战魂	105	5	0	0
43	4200000	4500	4:4474|5:11185|6:2013|7:5033|20:31|21:6	魔云战魂	105	5	0	0
44	4400000	6000	4:4732|5:11830|6:2129|7:5323|20:32|21:8	魔云战魂	105	5	0	0
45	4600000	7500	4:5000|5:12500|6:2250|7:5625|20:33|21:10	魔云战魂	105	5	0	0
46	4800000	9000	4:5277|5:13194|6:2374|7:5937|20:34|21:12	魔云战魂	105	5	0	0
47	5000000	10500	4:5565|5:13913|6:2504|7:6261|20:35|21:14	魔云战魂	105	5	0	0
48	5200000	12000	4:5863|5:14659|6:2638|7:6596|20:37|21:16	魔云战魂	105	5	0	0
49	5400000	13500	4:6172|5:15430|6:2777|7:6943|20:38|21:18	魔云战魂	105	5	0	0
50	5600000	15000	4:6491|5:16228|6:2921|7:7302|20:39|21:20	血域战魂 	106	6	0	0
51	5880000	16500	4:6821|5:17053|6:3069|7:7674|20:41|21:22	血域战魂 	106	6	0	0
52	6160000	18000	4:7162|5:17905|6:3223|7:8057|20:43|21:24	血域战魂 	106	6	0	0
53	6440000	19500	4:7514|5:18786|6:3381|7:8453|20:44|21:26	血域战魂 	106	6	0	0
54	6720000	21000	4:7878|5:19695|6:3545|7:8862|20:46|21:28	血域战魂 	106	6	0	0
55	7000000	22500	4:8253|5:20632|6:3713|7:9284|20:48|21:30	血域战魂 	106	6	0	0
56	7280000	24000	4:8640|5:21600|6:3888|7:9720|20:50|21:32	血域战魂 	106	6	0	0
57	7560000	25500	4:9038|5:22596|6:4067|7:10168|20:52|21:34	血域战魂 	106	6	0	0
58	7840000	27000	4:9449|5:23623|6:4252|7:10630|20:53|21:36	血域战魂 	106	6	0	0
59	8120000	28500	4:9872|5:24681|6:4442|7:11106|20:55|21:38	血域战魂 	106	6	0	0
60	8400000	30000	4:10308|5:25770|6:4638|7:11596|20:57|21:40	轩辕战魂	107	7	0	0
61	8780000	31500	4:10756|5:26890|6:4840|7:12100|20:60|21:42	轩辕战魂	107	7	0	0
62	9160000	33000	4:11217|5:28042|6:5047|7:12619|20:63|21:44	轩辕战魂	107	7	0	0
63	9540000	34500	4:11690|5:29227|6:5260|7:13152|20:66|21:46	轩辕战魂	107	7	0	0
64	9920000	36000	4:12178|5:30445|6:5480|7:13700|20:69|21:48	轩辕战魂	107	7	0	0
65	10300000	37500	4:12678|5:31696|6:5705|7:14263|20:72|21:50	轩辕战魂	107	7	0	0
66	10680000	39000	4:13192|5:32980|6:5936|7:14841|20:75|21:52	轩辕战魂	107	7	0	0
67	11060000	40500	4:13720|5:34300|6:6174|7:15435|20:78|21:54	轩辕战魂	107	7	0	0
68	11440000	42000	4:14261|5:35653|6:6417|7:16044|20:81|21:56	轩辕战魂	107	7	0	0
69	11820000	43500	4:14817|5:37042|6:6667|7:16669|20:84|21:58	轩辕战魂	107	7	0	0
70	12200000	45000	4:15386|5:38467|6:6924|7:17310|20:87|21:60	破天战魂	108	8	0	0
71	12700000	48000	4:15971|5:39927|6:7187|7:17967|20:90|21:64	破天战魂	108	8	0	0
72	13200000	51000	4:16570|5:41425|6:7456|7:18641|20:93|21:68	破天战魂	108	8	0	0
73	13700000	54000	4:17183|5:42959|6:7732|7:19331|20:96|21:72	破天战魂	108	8	0	0
74	14200000	57000	4:17812|5:44530|6:8015|7:20038|20:99|21:76	破天战魂	108	8	0	0
75	14700000	60000	4:18456|5:46140|6:8305|7:20763|20:102|21:80	破天战魂	108	8	0	0
76	15200000	63000	4:19115|5:47787|6:8601|7:21504|20:105|21:84	破天战魂	108	8	0	0
77	15700000	66000	4:19789|5:49474|6:8905|7:22263|20:108|21:88	破天战魂	108	8	0	0
78	16200000	69000	4:20480|5:51200|6:9216|7:23040|20:111|21:92	破天战魂	108	8	0	0
79	16700000	72000	4:21186|5:52965|6:9533|7:23834|20:114|21:96	破天战魂	108	8	0	0
80	17200000	75000	4:21908|5:54770|6:9858|7:24646|20:117|21:100	浴火战魂	109	9	0	0
81	17840000	81000	4:22646|5:56616|6:10191|7:25477|20:123|21:106	浴火战魂	109	9	0	0
82	18480000	87000	4:23401|5:58503|6:10530|7:26326|20:129|21:112	浴火战魂	109	9	0	0
83	19120000	93000	4:24173|5:60432|6:10877|7:27194|20:135|21:118	浴火战魂	109	9	0	0
84	19760000	99000	4:24961|5:62403|6:11232|7:28081|20:141|21:124	浴火战魂	109	9	0	0
85	20400000	105000	4:25766|5:64415|6:11594|7:28987|20:147|21:130	浴火战魂	109	9	0	0
86	21040000	111000	4:26588|5:66471|6:11964|7:29912|20:153|21:136	浴火战魂	109	9	0	0
87	21680000	117000	4:27428|5:68570|6:12342|7:30856|20:159|21:142	浴火战魂	109	9	0	0
88	22320000	123000	4:28285|5:70713|6:12728|7:31820|20:165|21:148	浴火战魂	109	9	0	0
89	22960000	129000	4:29160|5:72900|6:13122|7:32805|20:171|21:154	浴火战魂	109	9	0	0
90	23600000	135000	4:30052|5:75131|6:13523|7:33809|20:177|21:160	不灭战魂	110	10	0	0
91	24400000	150000	4:30963|5:77408|6:13933|7:34833|20:189|21:168	不灭战魂	110	10	0	0
92	25200000	165000	4:31892|5:79730|6:14351|7:35878|20:201|21:176	不灭战魂	110	10	0	0
93	26000000	180000	4:32839|5:82098|6:14777|7:36944|20:213|21:184	不灭战魂	110	10	0	0
94	26800000	195000	4:33805|5:84512|6:15212|7:38030|20:225|21:192	不灭战魂	110	10	0	0
95	27600000	210000	4:34789|5:86974|6:15655|7:39138|20:237|21:200	不灭战魂	110	10	0	0
96	28400000	225000	4:35793|5:89482|6:16106|7:40267|20:249|21:208	不灭战魂	110	10	0	0
97	29200000	240000	4:36815|5:92039|6:16567|7:41417|20:261|21:216	不灭战魂	110	10	0	0
98	30000000	255000	4:37857|5:94644|6:17035|7:42589|20:273|21:224	不灭战魂	110	10	0	0
99	30800000	270000	4:38918|5:97297|6:17513|7:43783|20:285|21:232	不灭战魂	110	10	0	0
100	31600000	285000	4:40000|5:100000|6:18000|7:45000|20:300|21:240	不灭战魂	110	10	0	0
