INT	INT	INT	INT	INT	STRING	STRING	INT
3	6	3007	30	3	#ff9c1c|前往挑战|#04ff31|异界时空30次	NPC|1116	3
3	7	3007	45	3	#ff9c1c|前往挑战|#04ff31|异界时空45次	NPC|1116	3
3	8	3007	55	3	#ff9c1c|前往挑战|#04ff31|异界时空55次	NPC|1116	3
3	9	3007	65	3	#ff9c1c|前往挑战|#04ff31|异界时空65次	NPC|1116	3
3	10	3007	80	3	#ff9c1c|前往挑战|#04ff31|异界时空80次	NPC|1116	3
4	1	2000	1	5	#ff9c1c|击杀2000级以上|#04ff31|星级BOSS1只	openPanel|killBossPanel	6
4	2	2000	5	5	#ff9c1c|击杀2000级以上|#04ff31|星级BOSS5只	openPanel|killBossPanel	6
4	3	2000	10	5	#ff9c1c|击杀2000级以上|#04ff31|星级BOSS10只	openPanel|killBossPanel	6
4	4	2000	15	5	#ff9c1c|击杀2000级以上|#04ff31|星级BOSS15只	openPanel|killBossPanel	6
4	5	2000	20	5	#ff9c1c|击杀2000级以上|#04ff31|星级BOSS20只	openPanel|killBossPanel	6
4	6	2000	25	5	#ff9c1c|击杀2000级以上|#04ff31|星级BOSS25只	openPanel|killBossPanel	6
4	7	2000	30	5	#ff9c1c|击杀2000级以上|#04ff31|星级BOSS30只	openPanel|killBossPanel	6
4	8	2000	40	5	#ff9c1c|击杀2000级以上|#04ff31|星级BOSS40只	openPanel|killBossPanel	6
4	9	2000	50	5	#ff9c1c|击杀2000级以上|#04ff31|星级BOSS50只	openPanel|killBossPanel	6
4	10	2000	60	5	#ff9c1c|击杀2000级以上|#04ff31|星级BOSS60只	openPanel|killBossPanel	6
5	1	-1	6	2	#ff9c1c|前往完成|#04ff31|藏宝图6次	openPanel|gameShopPanel|4	1
5	2	-1	12	2	#ff9c1c|前往完成|#04ff31|藏宝图12次	openPanel|gameShopPanel|4	1
5	3	-1	18	2	#ff9c1c|前往完成|#04ff31|藏宝图18次	openPanel|gameShopPanel|4	1
5	4	-1	24	2	#ff9c1c|前往完成|#04ff31|藏宝图24次	openPanel|gameShopPanel|4	1
5	5	-1	30	2	#ff9c1c|前往完成|#04ff31|藏宝图30次	openPanel|gameShopPanel|4	1
5	6	-1	36	2	#ff9c1c|前往完成|#04ff31|藏宝图36次	openPanel|gameShopPanel|4	1
5	7	-1	45	2	#ff9c1c|前往完成|#04ff31|藏宝图45次	openPanel|gameShopPanel|4	1
5	8	-1	55	2	#ff9c1c|前往完成|#04ff31|藏宝图55次	openPanel|gameShopPanel|4	1
5	9	-1	65	2	#ff9c1c|前往完成|#04ff31|藏宝图65次	openPanel|gameShopPanel|4	1
5	10	-1	80	2	#ff9c1c|前往完成|#04ff31|藏宝图80次	openPanel|gameShopPanel|4	1
6	1	-1	10	6	#ff9c1c|前往王之宝藏|#04ff31|寻宝10次	openPanel|choujiangPanel|1	4
6	2	-1	30	6	#ff9c1c|前往王之宝藏|#04ff31|寻宝30次	openPanel|choujiangPanel|1	4
6	3	-1	60	6	#ff9c1c|前往王之宝藏|#04ff31|寻宝60次	openPanel|choujiangPanel|1	4
6	4	-1	100	6	#ff9c1c|前往王之宝藏|#04ff31|寻宝100次	openPanel|choujiangPanel|1	4
6	5	-1	150	6	#ff9c1c|前往王之宝藏|#04ff31|寻宝150次	openPanel|choujiangPanel|1	4
6	6	-1	300	6	#ff9c1c|前往王之宝藏|#04ff31|寻宝300次	openPanel|choujiangPanel|1	4
6	7	-1	500	6	#ff9c1c|前往王之宝藏|#04ff31|寻宝500次	openPanel|choujiangPanel|1	4
6	8	-1	750	6	#ff9c1c|前往王之宝藏|#04ff31|寻宝750次	openPanel|choujiangPanel|1	4
6	9	-1	1000	6	#ff9c1c|前往王之宝藏|#04ff31|寻宝1000次	openPanel|choujiangPanel|1	4
6	10	-1	1200	6	#ff9c1c|前往王之宝藏|#04ff31|寻宝1200次	openPanel|choujiangPanel|1	4
7	1	-1	20	4	#ff9c1c|轮回塔累计层数|#04ff31|达到20层	NPC|3015	7
7	2	-1	40	4	#ff9c1c|轮回塔累计层数|#04ff31|达到40层	NPC|3015	7
7	3	-1	80	4	#ff9c1c|轮回塔累计层数|#04ff31|达到80层	NPC|3015	7
7	4	-1	120	4	#ff9c1c|轮回塔累计层数|#04ff31|达到120层	NPC|3015	7
7	5	-1	180	4	#ff9c1c|轮回塔累计层数|#04ff31|达到180层	NPC|3015	7
7	6	-1	240	4	#ff9c1c|轮回塔累计层数|#04ff31|达到240层	NPC|3015	7
7	7	-1	300	4	#ff9c1c|轮回塔累计层数|#04ff31|达到300层	NPC|3015	7
7	8	-1	360	4	#ff9c1c|轮回塔累计层数|#04ff31|达到360层	NPC|3015	7
7	9	-1	420	4	#ff9c1c|轮回塔累计层数|#04ff31|达到420层	NPC|3015	7
7	10	-1	480	4	#ff9c1c|轮回塔累计层数|#04ff31|达到480层	NPC|3015	7
8	1	-1	2	2	#ff9c1c|前往总镖头处完成押镖|#04ff31|2次	NPC|1060	8
8	2	-1	4	2	#ff9c1c|前往总镖头处完成押镖|#04ff31|4次	NPC|1060	8
8	3	-1	6	2	#ff9c1c|前往总镖头处完成押镖|#04ff31|6次	NPC|1060	8
8	4	-1	8	2	#ff9c1c|前往总镖头处完成押镖|#04ff31|8次	NPC|1060	8
8	5	-1	10	2	#ff9c1c|前往总镖头处完成押镖|#04ff31|10次	NPC|1060	8
8	6	-1	12	2	#ff9c1c|前往总镖头处完成押镖|#04ff31|12次	NPC|1060	8
8	7	-1	15	2	#ff9c1c|前往总镖头处完成押镖|#04ff31|15次	NPC|1060	8
8	8	-1	18	2	#ff9c1c|前往总镖头处完成押镖|#04ff31|18次	NPC|1060	8
8	9	-1	21	2	#ff9c1c|前往总镖头处完成押镖|#04ff31|21次	NPC|1060	8
8	10	-1	24	2	#ff9c1c|前往总镖头处完成押镖|#04ff31|24次	NPC|1060	8
