INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	INT	INT
21	方天画戟	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	146|146	#f7ab00|人中吕布，马中赤兔。大丈夫生于天地间，岂能郁郁久居人下！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	31	31	zhanshi237_nan	zhanshi237_nan	7	19
22	跨服·圣域霸主★屠龍	0	4	1288	5	2888	6	688	7	1288	15	30	-1	-1	-1	-1	201|201	#f7ab00|跨服·圣域的荣耀！霸主无上威严的体现！|n|n|#00afec|【跨服活动】|n不同的时装属性会叠加	2	2	zhanshi801_nan	zhanshi801_nan	7	0
23	执笔画心	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	151|151	#f7ab00|一剑飘飘，一生笑傲，浮世滔滔，人情渺渺。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	32	32	zhanshi238_nan	zhanshi238_nan	7	20
24	魔眼法杖	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	154|154	#f7ab00|像女巫骑着扫把，从夜晚到白天，享受星辰月亮和阳光|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	33	33	zhanshi239_nan	zhanshi239_nan	7	21
27	龙腾虎跃	0	1	39900	4	550	5	1380	6	210	7	420	-1	-1	-1	-1	163|163	#f7ab00|财源滚滚步步高，喜气洋洋乐逍遥|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	36	36	zhanshi242_nan	zhanshi242_nan	7	23
101	沙滩泳裤	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	35|35	#f7ab00|趁着这股清凉之风，沙滩阳光的渲染会让我们爱上沙滩上的美景。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	101	101	zhanshi201_nan	zhanshi201_nan	7	1
102	紫夜旗袍	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	102|102	#f7ab00|翻越无数高山，走过无数桥梁，不断的寻找、思念远方离去的人！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	102	102	zhanshi202_nan	zhanshi202_nan	7	2
103	海军上将(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	39|39	#f7ab00|你带上钱，我带上你，我们的征途是星辰大海。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	103	103	zhanshi203_nan	zhanshi203_nan	7	3
104	海军上将(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	38|38	#f7ab00|你带上钱，我带上你，我们的征途是星辰大海。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	104	104	zhanshi204_nan	zhanshi204_nan	7	3
105	熊猫时装(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	41|41	#f7ab00|黑与白，本着卖萌活跃于游戏。天与地，本着初心游戏于人间。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	105	105	zhanshi205_nan	zhanshi205_nan	7	4
106	熊猫时装(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	42|42	#f7ab00|黑与白，本着卖萌活跃于游戏。天与地，本着初心游戏于人间。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	106	106	zhanshi206_nan	zhanshi206_nan	7	4
107	疯狂足球(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	103|103	#f7ab00|我，灭神·强者，现在要开始征服世界。我不是天生强大，我只是天生要强！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	107	107	zhanshi207_nan	zhanshi207_nan	7	5
108	疯狂足球(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	104|104	#f7ab00|我，灭神·强者，现在要开始征服世界。我不是天生强大，我只是天生要强！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	108	108	zhanshi208_nan	zhanshi208_nan	7	5
109	光头强(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	106|106	#f7ab00|龙纹附身灭破万丈，撩妹裤衩绝代风华！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	109	109	zhanshi209_nan	zhanshi209_nan	7	6
110	光头妹(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	107|107	#f7ab00|性感蛮腰魅惑众生，古惑街头战破灭神！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	110	110	zhanshi210_nan	zhanshi210_nan	7	6
111	情意郎君	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	109|109	#f7ab00|纤云弄巧，飞星传恨，银汉迢迢暗渡。金风玉露一相逢，便胜却人间无数。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	111	111	zhanshi211_nan	zhanshi211_nan	7	7
112	仙女驾到	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	110|110	#f7ab00|柔情似水，佳期如梦，忍顾鹊桥归路！两情若是久长时，又岂在朝朝暮暮！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	112	112	zhanshi212_nan	zhanshi212_nan	7	7
113	学生(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	112|112	#f7ab00|在年轻的时候，如果你爱上了一个人，请你……请你一定要温柔地对待她。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	113	113	zhanshi213_nan	zhanshi213_nan	7	9
114	学生(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	113|113	#f7ab00|在年轻的时候，如果你爱上了一个人，请你……请你一定要温柔地对待他。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	114	114	zhanshi214_nan	zhanshi214_nan	7	9
115	九五至尊(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	118|118	#f7ab00|大风起兮云飞扬，威加海内兮归故乡，安得猛士兮守四方!|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	96	96	zhanshi215_nan	zhanshi215_nan	7	0
116	九五至尊(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	119|119	#f7ab00|大风起兮云飞扬，威加海内兮归故乡，安得猛士兮守四方!|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	97	97	zhanshi216_nan	zhanshi216_nan	7	0
117	踏雪无痕(男)	1	1	100000	4	500	5	1500	6	500	7	1500	15	30	16	30	114|114	#f7ab00|有一种人，已接近神的境界。因为他已无情。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	98	98	zhanshi217_nan	zhanshi217_nan	7	8
118	踏雪寻梅(女)	1	1	100000	4	500	5	1500	6	500	7	1500	15	30	16	30	115|115	#f7ab00|有一种寂寞，是无法描述的。因为它源自灵魂深处。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	99	99	zhanshi218_nan	zhanshi218_nan	7	8
119	圣诞时装(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	124|124	#f7ab00|在年轻的时候，如果你爱上了一个人，请你……请你一定要温柔地对待她。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	115	115	zhanshi219_nan	zhanshi219_nan	7	10
120	圣诞时装(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	125|125	#f7ab00|在年轻的时候，如果你爱上了一个人，请你……请你一定要温柔地对待他。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	116	116	zhanshi220_nan	zhanshi220_nan	7	10
121	帝皇★圣甲	1	4	2000	5	3000	6	2000	7	3000	16	50	21	50	-1	-1	117|117	#f7ab00|宁可我负天下人，不可天下人负我。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	95	95	zhanshi221_nan	zhanshi221_nan	7	11
122	天蝎圣甲(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	121|121	#f7ab00|穿上它就能司掌“审判”和“戒律”。让我来结束旧世界，消灭一切罪恶。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	118	119	zhanshi222_nan	zhanshi222_nan	7	12
123	天蝎圣衣(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	122|122	#f7ab00|穿上它就能司掌“审判”和“戒律”。让我来结束旧世界，消灭一切罪恶。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	119	120	zhanshi223_nan	zhanshi223_nan	7	12
124	舞动青春(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	130|130	#f7ab00|跟着音乐一起舞动起来，我们是年轻的DJ。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	120	120	zhanshi224_nan	zhanshi224_nan	7	14
125	舞动青春(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	131|131	#f7ab00|跟着音乐一起舞动起来，我们是年轻的DJ。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	121	121	zhanshi225_nan	zhanshi225_nan	7	14
126	吉祥如意(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	127|127	#f7ab00|我恭喜你发财，我恭喜你精采。最好的请过来，不好的请走开。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	122	122	zhanshi226_nan	zhanshi226_nan	7	13
127	吉祥如意(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	128|128	#f7ab00|我恭喜你发财，我恭喜你精采。最好的请过来，不好的请走开。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	123	123	zhanshi227_nan	zhanshi227_nan	7	13
128	暗黑★帝王甲	1	4	2000	5	3000	6	2000	7	3000	16	50	21	50	-1	-1	133|133	#f7ab00|暗黑之源，天地王道，万服始祖，助天下之主。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	124	122	zhanshi228_nan	zhanshi228_nan	7	15
129	未来战士(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	135|135	#f7ab00|机甲风暴已经出现，怎么能够停滞不前，穿越时空竭尽全力，微笑面对危险。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	125	125	zhanshi229_nan	zhanshi229_nan	7	16
130	未来战士(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	136|136	#f7ab00|机甲风暴已经出现，怎么能够停滞不前，穿越时空竭尽全力，微笑面对危险。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	126	126	zhanshi230_nan	zhanshi230_nan	7	16
131	西部牛仔(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	140|140	#f7ab00|跟随奔腾的马蹄，夕阳下美丽剪影，正义呼唤我，美女需要我，牛仔很忙的。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	127	127	zhanshi231_nan	zhanshi231_nan	7	17
132	西部牛仔(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	141|141	#f7ab00|跟随奔腾的马蹄，夕阳下美丽剪影，正义呼唤我，美男需要我，牛仔很忙的。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	128	128	zhanshi232_nan	zhanshi232_nan	7	17
133	海盗船长(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	143|143	#f7ab00|头巾缠绕着骄傲，泪藏在黑色眼罩，对着狂风咆哮。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	129	129	zhanshi233_nan	zhanshi233_nan	7	18
134	海盗船长(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	144|144	#f7ab00|头巾缠绕着骄傲，泪藏在黑色眼罩，对着狂风咆哮。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	130	130	zhanshi234_nan	zhanshi234_nan	7	18
135	吕布	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	147|147	#f7ab00|人中吕布，马中赤兔。大丈夫生于天地间，岂能郁郁久居人下！|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	131	131	zhanshi235_nan	zhanshi235_nan	7	19
136	貂蝉	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	148|148	#f7ab00|焚香一拜月羞藏,娇语三声百草香|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	132	132	zhanshi236_nan	zhanshi236_nan	7	19
137	笑傲江湖(男)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	149|149	#f7ab00|一剑飘飘，一生笑傲，浮世滔滔，人情渺渺。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	133	133	zhanshi237_nan	zhanshi237_nan	7	20
138	笑傲江湖(女)	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	150|150	#f7ab00|一剑飘飘，一生笑傲，浮世滔滔，人情渺渺。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	134	134	zhanshi238_nan	zhanshi238_nan	7	20
139	捣蛋女巫	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	152|152	#f7ab00|像女巫骑着扫把，从夜晚到白天，享受星辰月亮和阳光|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	135	135	zhanshi239_nan	zhanshi239_nan	7	21
140	捣蛋巫师	1	1	27000	4	150	5	370	6	140	7	290	-1	-1	-1	-1	153|153	#f7ab00|像女巫骑着扫把，从夜晚到白天，享受星辰月亮和阳光|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	136	136	zhanshi240_nan	zhanshi240_nan	7	21
201	赤炎流光	2	1	1000	4	100	5	100	-1	-1	-1	-1	-1	-1	-1	-1	30|31	#f5e8bf|当我燃烧这土地的时候，你们会知道我的征程才刚刚开始。|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	201	201	chiYanLiuGuang_Foot	chiYanLiuGuang_Foot	7	0
202	节日花火	2	1	18000	4	120	5	280	6	60	7	160	-1	-1	-1	-1	46|47	#f7ab00|无所谓短暂，无所谓永久，天空正绽放无数花火，只要一秒，精彩就能够隽永|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	202	202	Yanhua_Foot	Yanhua_Foot	7	0
203	万圣鬼迹	2	1	18000	4	120	5	280	6	60	7	160	-1	-1	-1	-1	48|49	#f7ab00|万圣惊魂夜，步步惊心|n|n|#00afec|【运营活动】|n不同的时装属性会叠加	203	203	guihun_Foot	guihun_Foot	7	0
