INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING
36	11	1	3	7	13	578:1:600:1	-1	466	1	-1	4	1	7	16	-1	0	-1
37	12	1	5	7	30	601:1:30:1	-1	467	500	-1	4	1	7	17	-1	0	-1
38	12	1	5	7	50	601:1:50:1	-1	467	150	-1	4	1	7	17	-1	0	-1
39	12	1	5	7	80	601:1:70:1	-1	467	50	-1	4	1	7	17	-1	0	-1
40	12	1	5	7	100	601:1:90:1	-1	467	15	-1	4	1	7	17	-1	0	-1
41	12	1	5	7	110	601:1:120:1	-1	467	3	-1	4	1	7	17	-1	0	-1
42	12	1	5	7	130	601:1:870:1	-1	467	1	-1	4	1	7	17	-1	0	-1
43	13	1	6	7	11	510:1:15:1	-1	468	500	-1	4	1	7	18	-1	0	-1
44	13	1	6	7	21	510:1:20:1	-1	468	150	-1	4	1	7	19	-1	0	-1
45	13	1	6	7	31	510:1:30:1	-1	468	50	-1	4	1	7	20	-1	0	-1
46	13	1	6	7	41	510:1:35:1	-1	468	15	-1	4	1	7	21	-1	0	-1
47	13	1	6	7	51	510:1:50:1	-1	468	3	-1	4	1	7	22	-1	0	-1
48	13	1	6	7	61	510:1:60:1	-1	468	1	-1	4	1	7	23	-1	0	-1
49	14	1	1	7	-1	655:1:1:0|4:1:1:0|1:1:1:0	-1	-1	-1	-1	9	1	7	14	enterActivity|13	0	-1
50	15	1	1	7	18888	5001:1:1:1	-1	-1	-1	-1	10	1	7	14	-1	28888	-1
51	15	1	1	7	8888	5101:1:1:1	-1	-1	-1	-1	10	1	7	14	-1	18888	-1
52	16	9999	1	1	888	13:1:1:1|502:1:15:1|151:1:1:1	-1	525	-1	-1	11	1	3	0	-1	888	-1
53	16	9999	2	2	2888	13:1:1:1|502:1:15:1|151:1:1:1	-1	526	-1	-1	11	1	3	0	-1	2888	-1
54	16	9999	3	3	6888	13:1:1:1|502:1:15:1|151:1:1:1	-1	527	-1	-1	11	1	3	0	-1	6888	-1
55	18	1	4	7	-1	-1	-1	-1	-1	-1	13	4	7	0	-1	0	-1
