INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
5017	flasheffect	0	0:0	3	0	20	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	10	2	0	0	0	0	0	0	0	0
5018	fashiCast1	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5019	fashiCast2	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5020	yinshen	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5021	avgHurt	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	0	1	5022	0	0	0	0	0	0	0
5022	avgHurtHuan	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5023	dulongzhuan	0	0:0	2	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5024	longqi_tielian	0	0:0	3	0	0	0	10:10	0	26:36:50|-130:-60:100|277:-22:150|10:158:200|-225:17:250|113:-142:300|-123:106:350|130:-33:400|192:122:450|-65:-143:500	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5025	longqi_liantuci	0	0:0	2	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5026	longqi_mieshi	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5027	Phoenix_cast	0	0:0	2	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5028	yunshi	0	0:0	1	0	0	0	10:10	0	26:36:50|130:-33:100|-225:17:150|277:-22:200|-91:-37:250|10:158:300|192:122:350|113:-142:400|-123:106:450|-70:-143:500	-1	-1	-1	-1	-1	0	1	5000	15	2	0	0	0	0	0	0	0	0
5029	xuanfeizhan	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	0	3100	-1	2	0	6	18	500	300	0	0	0
5030	youmingguihuo	0	0:0	3	0	7	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	12	2	0	0	0	0	0	0	0	0
5031	molongshouhu	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5032	molongdun	0	0:0	3	0	11	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5033	dadizhinu	0	0:0	3	0	0	0	8:8	0	50:50:50|170:140:150|170:-40:150|290:230:250|290:50:250|290:-130:250|410:320:400|410:140:400|410:-40:400|410:-220:400	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5034	buffClear	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5035	trap_du	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5036	trap_ice	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5037	trap_zuzou	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5038	nuyanzhili	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5039	nuyanzhiliHit	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5040	fashi_bingci_Hit	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5041	fengzhu_hit	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5042	petJinCast	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5043	petPuji	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5044	petZhongji	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5100	dadizhinu	0	0:0	1	0	0	0	8:8	0	0:0:50|120:90:250|120:-90:250|240:0:250|-120:90:250|-240:0:250|-120:-90:250	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5101	fashi_bingci_b	0	0:0	3	0	7	0	10:10	0	0:0:50|120:90:250|120:-90:250|240:0:250|-120:90:250|-240:0:250|-120:-90:250	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5102	yunshi	0	0:0	3	0	0	0	10:10	0	26:36:50|130:-33:100|-225:17:150|277:-22:200|-91:-37:250|10:158:300|192:122:350|113:-142:400|-123:106:450|-70:-143:500	-1	-1	-1	-1	-1	0	1	5000	15	2	0	0	0	0	0	0	0	0
5200	avgHurt	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5201	EquipEffect_3	0	0:0	3	0	0	0	10:10	0	0:0:0|-400:-200:100|-100:-100:200|-300:100:300	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5202	longqi_mieshi	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	12	2	0	0	0	0	0	0	0	0
5203	binlankuangwu	0	0:0	3	0	0	0	10:10	0	305:75:30|120:-5:60|-125:-5:90|-305:90:120|250:210:150|76:278:180|-190:250:210	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5204	zhuanshengEffect	0	0:0	3	0	0	0	10:10	0	305:75:30|120:-5:60|-125:-5:90|-305:90:120|250:210:150|76:278:180|-190:250:210	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5205	zhuanshengFly	0	0:0	2	0	7	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5206	spiderEffect	0	0:0	3	0	0	0	10:10	0	0:0:50|-80:40:50|-40:80:50|80:-40:50|40:-80:50|20:-60:150|-20:60:150|-60:20:150|60:-20:150|0:0:300|-80:40:300|-40:80:300|80:-40:300|40:-80:300	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5207	mushroomEffect	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
6000	anhei_yunshi2	0	0:0	1	0	6	0	10:10	0	160:-500:0|60:-640:0|280:-405:0|270:-595:0|0:-440:0|410:-500:0|220:-350:0|80:-490:0|60:-650:0	-1	-1	-1	-1	-1	0	0	500	0	4	6001	0	0	0	0	0	0	0
6001	anhei_yunshi2	3	160:-500:250	1	0	15	1	10:10	0	0:0:0|-100:-140:0|120:95:0|110:-95:0|-160:60:0|250:0:0|60:150:0|-80:10:0|-100:-150:0	-1	-1	-1	-1	-1	0	0	5000	-1	4	6002	0	0	0	0	1	0	0
6002	anhei_yunshi3	0	0:0	1	0	0	0	10:10	0	-10:0:0	-1	-1	-1	-1	-1	0	1	5000	2	2	0	0	0	0	0	0	0	0
6003	anhei_huoqiang	0	0:0	1	0	0	0	10:10	0	0:0:0|0:50:0|0:-50:0|50:0:0|-50:0:0	-1	-1	-1	-1	-1	0	0	5000	0	2	0	0	0	0	0	0	0	0
6005	anhei_huoqiang	0	0:0	1	0	20	0	10:10	0	0:50:0|0:-50:0|50:0:0|-50:0:0	-1	-1	-1	-1	-1	0	0	5000	0	2	0	0	0	0	0	0	0	0
6006	anhei_juduFeiXing	4	0:190:800|-90:183:800|-174:164:800|-247:134:800|-303:94:800|-338:49:800|-350:0:800|-338:-49:800|-303:-95:800|-247:-134:800|-175:-164:800|-90:-183:800|0:-190:800|90:-183:800|175:-164:800|247:-134:800|303:-95:800|338:-49:800|350:0:800|338:49:800|303:94:800|247:134:800|174:164:800|90:183:800	4	0	3	0	10:10	0	0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0	-1	-1	-1	-1	-1	0	0	5000	-1	4	6007	0	0	0	0	1	0	0
6007	anhei_juduBaoPo	0	0:0	4	0	0	0	10:10	0	0:0:0	-1	-1	-1	-1	-1	0	1	5000	1	2	0	0	0	0	0	0	0	0
6008	anhei_bingzhui	1	40:20:800	4	0	12	0	10:10	0	-1	-1	-1	-1	-1	-1	0	0	5000	-1	0	0	0	0	0	0	1	0	0
6009	anhei_baigu	1	40:20:600	4	0	6	0	10:10	0	-1	-1	-1	-1	-1	-1	0	0	5000	-1	0	0	0	0	0	0	1	0	0
6010	anhei_bishou	1	40:20:1100	4	0	6	0	8:8	0	-1	-1	-1	-1	-1	-1	0	0	5000	-1	0	0	0	0	0	0	1	0	0
6011	anhei_bingqiu	5	0:0	1	0	0	0	5:5	1	-1	0:75:0|-57:69:0|-106:53:0|-138:28:0|-150:0:0|-138:-28:0|-106:-53:0|-57:-69:0|0:-75:0|57:-69:0|106:-53:0|138:-28:0|150:0:0|138:28:0|106:53:0|57:69:0	0:75:0|-57:69:0|-106:53:0|-138:28:0|-150:0:0|-138:-28:0|-106:-53:0|-57:-69:0|0:-75:0|57:-69:0|106:-53:0|138:-28:0|150:0:0|138:28:0|106:53:0|57:69:0	0:75:0|-57:69:0|-106:53:0|-138:28:0|-150:0:0|-138:-28:0|-106:-53:0|-57:-69:0|0:-75:0|57:-69:0|106:-53:0|138:-28:0|150:0:0|138:28:0|106:53:0|57:69:0	0:75:0|-57:69:0|-106:53:0|-138:28:0|-150:0:0|-138:-28:0|-106:-53:0|-57:-69:0|0:-75:0|57:-69:0|106:-53:0|138:-28:0|150:0:0|138:28:0|106:53:0|57:69:0	0:75:0|-57:69:0|-106:53:0|-138:28:0|-150:0:0|-138:-28:0|-106:-53:0|-57:-69:0|0:-75:0|57:-69:0|106:-53:0|138:-28:0|150:0:0|138:28:0|106:53:0|57:69:0	0	0	500	-1	4	6012	0	0	0	0	0	0	0
6012	anhei_bingzhui	7	400	4	0	0	0	6:6	0	-1	-1	-1	-1	-1	-1	0	0	5000	-1	0	0	0	0	0	0	0	0	0
6013	anhei_qianRen	0	0:0	1	0	5	0	10:10	0	0:50:0	-1	-1	-1	-1	-1	0	1	1000	4	2	0	0	0	0	0	1	0	0
6014	anhei_bingqiu	0	0:0	1	0	0	0	5:5	0	0:150:0|-114:138:0|-212:106:0|-277:57:0|-300:0:0|-277:-57:0|-212:-106:0|-114:-138:0|0:-150:0|114:-138:0|212:-106:0|277:-57:0|300:0:0|277:57:0|212:106:0|114:138:0	-1	-1	-1	-1	-1	0	0	1000	30	1	6015	0	0	0	0	0	0	0
6015	anhei_bingzhui	7	400	4	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	0	5000	-1	0	0	0	0	0	0	0	0	0
6018	anhei_doupeng	0	0:0	1	0	0	0	10:10	0	0:20:0	-1	-1	-1	-1	-1	1	1	5000	0	0	0	0	0	0	0	0	0	0
6019	anhei_qianrenshouhu	4	0:300:600|-264:242:600|-427:92:600|-427:-92:600|-264:-242:600|0:-300:600|264:-242:600|427:-92:600|427:92:600|264:242:600	1	0	6	0	10:10	0	0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0	-1	-1	-1	-1	-1	0	0	5000	-1	4	6020	0	0	0	0	0	0	0
6020	anhei_qianrenshouhu	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	0	2000	0	0	0	0	0	0	0	0	0	0
6021	anhei_guangshu	0	0:0	4	0	2	0	10:10	1	-1	0:-90:0	100:-58:0	120:-12:0	100:24:0	0:90:0	2	0	500	3	2	0	0	0	0	0	1	0	0
6024	anhei_shuangzhixinxing1	0	0:0	1	1	0	0	10:10	0	0:0:0	-1	-1	-1	-1	-1	0	1	5000	0	1	6026	0	0	0	0	0	0	0
6025	anhei_shuangzhixinxing2	0	0:0	1	1	6	0	10:10	0	0:-1:0	-1	-1	-1	-1	-1	0	1	5000	7	1	6028	0	0	0	0	0	0	0
6026	anhei_shuangzhixinxing1	0	0:0	1	1	0	0	-10:10	0	0:0:0	-1	-1	-1	-1	-1	0	1	5000	4	2	0	0	0	0	0	0	0	0
6027	anhei_yanbaomoyan	0	0:0	1	0	6	0	10:10	0	-1	-1	-1	-1	-1	-1	1	0	5000	-1	0	0	0	0	0	0	0	0	0
6028	anhei_shuangzhixinxing4	0	0:0	1	1	2	0	10:10	0	0:-1:0	-1	-1	-1	-1	-1	0	1	5000	4	2	0	0	0	0	0	1	0	0
6031	anhei_huoyanxuanfeng	6	1:0|1:12|1:24|1:36|1:48	1	0	6	0	10:10	0	0:0:0|0:0:0|0:0:0|0:0:0|0:0:0	-1	-1	-1	-1	-1	0	0	3000	4	2	0	0	0	0	0	0	0	0
6032	anhei_zhufuzhichui2	6	1:0|1:24|1:48|1:72|1:96	1	0	2	0	10:10	0	0:0:0|0:0:0|0:0:0|0:0:0|0:0:0	-1	-1	-1	-1	-1	0	0	3000	4	2	0	0	0	0	0	1	0	0
6033	anhei_nuhoushang	0	0:0	1	0	0	0	10:10	0	0:60:0	-1	-1	-1	-1	-1	1	1	3000	4	2	0	0	0	0	0	0	0	0
6034	anhei_nuhouxia	0	0:0	1	0	0	0	10:10	0	0:-1:0	-1	-1	-1	-1	-1	0	1	3000	2	1	6033	0	0	0	0	0	0	0
6035	anhei_zhuangji	0	0:0	3	0	6	0	10:10	1	-1	0:-60:0	80:-60:0	100:0:0	60:30:0	0:30:0	1	1	3000	4	2	0	0	0	0	0	1	0	0
6036	anhei_jingshizhihou	0	0:0	1	0	0	0	10:10	0	0:60:0	-1	-1	-1	-1	-1	1	1	3000	4	2	0	0	0	0	0	0	0	0
6037	anhei_xuexingzhihou	0	0:0	1	0	0	0	10:10	0	0:60:0	-1	-1	-1	-1	-1	1	1	3000	4	2	0	0	0	0	0	0	0	0
6038	anhei_kuangbaozhinu	0	0:0	1	0	0	0	10:10	0	0:60:0	-1	-1	-1	-1	-1	1	1	3000	4	2	0	0	0	0	0	0	0	0
6039	anhei_shenguangzhan	1	40:20:600	4	0	2	0	10:10	0	-1	-1	-1	-1	-1	-1	0	0	5000	-1	0	0	0	0	0	0	1	0	0
6040	anhei_xisheng	0	0:0	1	0	6	0	10:10	0	0:60:0	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	1	0	0
6041	anhei_shengtangzhiquan_quantou	0	0:0	1	0	0	0	10:10	0	0:0:0	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	1	0	0
6042	anhei_shengtangzhiquan_baopo	0	0:0	1	0	0	0	10:10	0	0:0:0	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
6043	anhei_tiaozhandaoguang	0	0:0	2	1	0	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	-1	0	0	0	0	0	0	0	0	0
6044	anhei_yemanrendaoguan1	0	0:0	2	1	0	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	-1	0	0	0	0	0	0	0	1	0
6045	anhei_yemanrendaoguan2	0	0:0	2	1	0	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	-1	0	0	0	0	0	0	0	1	0
6046	anhei_yemanrendaoguan3	0	0:0	2	1	0	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	-1	0	0	0	0	0	0	0	1	0
6047	anhei_xiaoxuanfeng	9	0:160:1000|344:2:1000|-224:115:1000|119:-208:1000|-303:64:1000|344:-62:1000|-224:-175:1000|-344:2:1000|303:-125:1000|-119:-208:1000|224:-175:1000|303:64:1000|-119:148:1000|224:115:1000|-344:-62:1000|-303:-125:1000|0:-220:1000|119:148:1000	1	0	3	0	10:10	0	0:0:100|0:0:250|0:0:400|0:0:550|0:0:700|0:0:850|0:0:1000|0:0:1150|0:0:1300|0:0:1450|0:0:1600|0:0:1750|0:0:1900|0:0:2050|0:0:2200|0:0:2350	-1	-1	-1	-1	-1	0	0	5000	-1	0	0	0	0	0	0	0	0	0
6101	anhei_baofengxue	3	350:-500:400	1	0	0	0	10:10	0	0:0:0|100:100:50|180:40:100|110:-95:150|-160:80:200|80:40:250|200:0:300|-70:-40:350|160:-145:400|-120:90:450|80:90:500|160:10:550|-90:-30:600|50:-130:650|-120:-90:700|120:60:750|-10:10:800|0:-50:850|90:-110:900|-150:-20:950|100:80:1000|-80:20:1050|30:-150:1100|70:-60:1150|-120:-70:1200|-80:140:1250|50:120:1300|0:0:1350|100:100:1400|180:40:1450|110:-95:1500|-160:80:1550|80:40:1600|200:0:1650|-70:-40:1700|160:-145:1750|-120:90:1800|80:90:1850|160:10:1900|-90:-30:1950|50:-130:2000|-120:-90:2050|120:60:2100|-10:10:2150|0:-50:2200|90:-110:2250|-150:-20:2300|100:80:2350|-80:20:2400|30:-150:2450|70:-60:2500|-120:-70:2550|-80:140:2600|50:120:2650|0:0:2700|100:100:2750|180:40:2800|110:-95:2850|-160:80:2900|80:40:2950|200:0:3000|-70:-40:3050|160:-145:3100|-120:90:3150|80:90:3200|160:10:3250|-90:-30:3300|50:-130:3350|-120:-90:3400|120:60:3450|-10:10:3500|0:-50:3550|90:-110:3600|-150:-20:3650|100:80:3700|-80:20:3750|30:-150:3800|70:-60:3850|-120:-70:3900|-80:140:3950|50:120:4000|0:0:4050|100:100:4100|180:40:4150|110:-95:4200|-160:80:4250|80:40:4300|200:0:4350|-70:-40:4400|160:-145:4450|-120:90:4500|80:90:4550|160:10:4600|-90:-30:4650|50:-130:4700|-120:-90:4750|120:60:4800|-10:10:4850|0:-50:4900|90:-110:4950	-1	-1	-1	-1	-1	0	0	5000	-1	4	6102	0	0	0	0	0	0	0
6102	anhei_baofengbaopo	0	0:0	1	0	0	0	10:10	0	0:0:0	-1	-1	-1	-1	-1	0	1	5000	-1	2	0	0	0	0	0	0	0	0
6103	anhei_diyuhuoduqi	0	0:0	1	1	0	0	10:10	0	-5:-1:0	-1	-1	-1	-1	-1	0	0	1000	0	1	6105	0	0	0	0	0	0	0
6104	anhei_diyuhuoYunShi	3	220:-500:450	1	0	0	0	10:10	0	0:0:0	-1	-1	-1	-1	-1	0	0	5000	-1	4	6103	0	0	0	0	0	0	0
6105	anhei_diyuhuoBaoPo	0	0:0	1	1	0	0	10:10	0	-5:0:0	-1	-1	-1	-1	-1	0	1	5000	2	2	0	0	0	0	0	0	0	0
6106	anhei_wanglingdajun	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	2	2	0	0	0	0	0	0	0	0
6151	anhei_feilongzaitianxiaoshi	0	0:0	1	1	0	0	10:10	0	0:1:0	-1	-1	-1	-1	-1	0	1	5000	6	1	6152	0	0	0	0	0	0	0
6152	anhei_feilongzaitianchuxian	0	0:0	1	1	0	0	10:10	0	0:50:0	-1	-1	-1	-1	-1	1	1	5000	2	2	0	0	0	0	0	0	0	0
6153	anhei_fenghuanbing	0	0:0	2	1	1	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	2	2	0	0	0	0	0	1	0	0
6154	anhei_fenghuanlei	0	0:0	2	1	1	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	2	2	0	0	0	0	0	1	0	0
6155	anhei_fenghuang	0	0:0	2	1	1	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	2	2	0	0	0	0	0	1	0	0
6156	anhei_feilongzaitiangongji	0	0:0	2	1	3	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	2	2	0	0	0	0	0	1	1	0
6157	anhei_cikedaoguan1	0	0:0	2	1	0	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	-1	0	0	0	0	0	0	0	1	0
6158	anhei_cikedaoguan2	0	0:0	2	1	0	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	-1	0	0	0	0	0	0	0	1	0
6159	anhei_cikedaoguan3	0	0:0	2	1	0	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	-1	0	0	0	0	0	0	0	1	0
6160	anhei_zhaohuanyingzi	0	0:0	1	1	0	0	10:10	0	0:80:0	-1	-1	-1	-1	-1	1	1	5000	2	2	0	0	0	0	0	0	0	0
6161	anhei_zhaohuanyingzi_chuxian	0	0:0	1	1	0	0	10:10	0	0:0:0	-1	-1	-1	-1	-1	0	1	5000	2	2	0	0	0	0	0	0	0	0
6162	anhei_cikedaoguan2_1	0	0:0	2	1	0	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	-1	0	0	0	0	0	0	0	1	0
6163	anhei_cikedaoguan2_2	0	0:0	2	1	0	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	-1	0	0	0	0	0	0	0	1	0
6164	anhei_cikedaoguan2_3	0	0:0	2	1	0	0	10:10	0	0:-25:0	-1	-1	-1	-1	-1	3	1	5000	-1	0	0	0	0	0	0	0	1	0
6200	anhei_dushouji	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
6201	anhei_huoshouji	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
6202	anhei_bingshouji	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
6203	anhei_zhanshishouji	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
6204	anhei_anhanshouji	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
6205	anhei_shenshengshouji	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
6206	anhei_cikebaodian	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
6210	anhei_bingShiFa_shang	0	0:0	1	1	0	0	10:10	0	0:60:0	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
6211	anhei_bingShiFa_di	0	0:0	1	1	0	0	10:10	0	0:-1:0	-1	-1	-1	-1	-1	0	1	5000	4	1	6210	0	0	0	0	0	0	0
6212	anhei_huoShiFa	0	0:0	1	0	0	0	10:10	0	0:60:0	-1	-1	-1	-1	-1	1	1	5000	1	0	0	0	0	0	0	0	0	0
6213	anhei_du_cast1	0	0:0	1	1	0	0	10:10	0	0:60:0	-1	-1	-1	-1	-1	1	1	5000	4	2	0	0	0	0	0	0	0	0
6214	anhei_du_cast2	0	0:0	1	1	0	0	10:10	0	0:10:0	-1	-1	-1	-1	-1	0	1	5000	0	1	6213	0	0	0	0	0	0	0
