INT	INT	INT	STRING	INT	STRING	STRING
71	252120	1879	公会徽章效果提升187.9%	100	18:179	人物生命加成提升17.9%
72	262280	1914	公会徽章效果提升191.4%	100	18:183	人物生命加成提升18.3%
73	272880	1949	公会徽章效果提升194.9%	100	18:187	人物生命加成提升18.7%
74	283920	1984	公会徽章效果提升198.4%	100	18:191	人物生命加成提升19.1%
75	295360	2019	公会徽章效果提升201.9%	100	18:195	人物生命加成提升19.5%
76	307320	2055	公会徽章效果提升205.5%	100	18:199	人物生命加成提升19.9%
77	319720	2091	公会徽章效果提升209.1%	100	18:203	人物生命加成提升20.3%
78	332640	2127	公会徽章效果提升212.7%	100	18:207	人物生命加成提升20.7%
79	346080	2164	公会徽章效果提升216.4%	100	18:211	人物生命加成提升21.1%
80	453400	2201	公会徽章效果提升220.1%	100	18:215	人物生命加成提升21.5%
81	471720	2238	公会徽章效果提升223.8%	100	18:219	人物生命加成提升21.9%
82	490800	2275	公会徽章效果提升227.5%	100	18:223	人物生命加成提升22.3%
83	510600	2313	公会徽章效果提升231.3%	100	18:227	人物生命加成提升22.7%
84	531240	2351	公会徽章效果提升235.1%	100	18:231	人物生命加成提升23.1%
85	552680	2389	公会徽章效果提升238.9%	100	18:235	人物生命加成提升23.5%
86	575040	2428	公会徽章效果提升242.8%	100	18:239	人物生命加成提升23.9%
87	598240	2467	公会徽章效果提升246.7%	100	18:243	人物生命加成提升24.3%
88	622440	2506	公会徽章效果提升250.6%	100	18:247	人物生命加成提升24.7%
89	647560	2545	公会徽章效果提升254.5%	100	18:251	人物生命加成提升25.1%
90	848400	2585	公会徽章效果提升258.5%	100	18:255	人物生命加成提升25.5%
91	882680	2625	公会徽章效果提升262.5%	100	18:259	人物生命加成提升25.9%
92	918320	2665	公会徽章效果提升266.5%	100	18:263	人物生命加成提升26.3%
93	955440	2706	公会徽章效果提升270.6%	100	18:267	人物生命加成提升26.7%
94	994040	2747	公会徽章效果提升274.7%	100	18:271	人物生命加成提升27.1%
95	1034200	2788	公会徽章效果提升278.8%	100	18:275	人物生命加成提升27.5%
96	1075960	2830	公会徽章效果提升283%	100	18:280	人物生命加成提升28%
97	1119440	2872	公会徽章效果提升287.2%	100	18:285	人物生命加成提升28.5%
98	1164680	2914	公会徽章效果提升291.4%	100	18:290	人物生命加成提升29%
99	1211720	2957	公会徽章效果提升295.7%	100	18:295	人物生命加成提升29.5%
100	0	3000	公会徽章效果提升300%	100	18:300	人物生命加成提升30%
