INT	INT	STRING	INT	INT	INT	INT	INT	INT
8	26	648:1:7:1	3000	0	0	0	0	0
8	27	648:1:7:1	3200	0	0	0	0	0
8	28	648:1:7:1	3400	0	0	0	0	0
8	29	648:1:9:1	3600	0	0	0	0	0
8	30	648:1:10:1	3800	0	0	0	0	0
8	31	648:1:7:1	3000	0	0	0	0	0
8	32	648:1:7:1	3200	0	0	0	0	0
8	33	648:1:7:1	3400	0	0	0	0	0
8	34	648:1:9:1	3600	0	0	0	0	0
8	35	648:1:10:1	3800	0	0	0	0	0
8	41	648:1:10:1	6000	0	0	0	0	0
8	42	648:1:11:1	6400	0	0	0	0	0
8	43	648:1:12:1	6800	0	0	0	0	0
8	44	648:1:13:1	7200	0	0	0	0	0
8	45	648:1:15:1	7600	0	0	0	0	0
8	46	648:1:10:1	6000	0	0	0	0	0
8	47	648:1:11:1	6400	0	0	0	0	0
8	48	648:1:12:1	6800	0	0	0	0	0
8	49	648:1:13:1	7200	0	0	0	0	0
8	50	648:1:15:1	7600	0	0	0	0	0
8	51	648:1:10:1	6000	0	0	0	0	0
8	52	648:1:11:1	6400	0	0	0	0	0
8	53	648:1:12:1	6800	0	0	0	0	0
8	54	648:1:13:1	7200	0	0	0	0	0
8	55	648:1:15:1	7600	0	0	0	0	0
8	61	648:1:15:1	12000	0	0	0	0	0
8	62	648:1:16:1	12800	0	0	0	0	0
8	63	648:1:18:1	13600	0	0	0	0	0
8	64	648:1:19:1	14400	0	0	0	0	0
8	65	648:1:22:1	15200	0	0	0	0	0
8	66	648:1:15:1	12000	0	0	0	0	0
8	67	648:1:16:1	12800	0	0	0	0	0
8	68	648:1:18:1	13600	0	0	0	0	0
8	69	648:1:19:1	14400	0	0	0	0	0
8	70	648:1:22:1	15200	0	0	0	0	0
8	71	648:1:15:1	12000	0	0	0	0	0
8	72	648:1:16:1	12800	0	0	0	0	0
8	73	648:1:18:1	13600	0	0	0	0	0
8	74	648:1:19:1	14400	0	0	0	0	0
8	75	648:1:22:1	15200	0	0	0	0	0
8	81	648:1:21:1	24000	0	0	0	0	0
8	82	648:1:23:1	25600	0	0	0	0	0
8	83	648:1:25:1	27200	0	0	0	0	0
8	84	648:1:27:1	28800	0	0	0	0	0
8	85	648:1:31:1	30400	0	0	0	0	0
8	86	648:1:21:1	24000	0	0	0	0	0
8	87	648:1:23:1	25600	0	0	0	0	0
8	88	648:1:25:1	27200	0	0	0	0	0
8	89	648:1:27:1	28800	0	0	0	0	0
8	90	648:1:31:1	30400	0	0	0	0	0
8	91	648:1:21:1	24000	0	0	0	0	0
8	92	648:1:23:1	25600	0	0	0	0	0
8	93	648:1:25:1	27200	0	0	0	0	0
8	94	648:1:27:1	28800	0	0	0	0	0
8	95	648:1:31:1	30400	0	0	0	0	0
1	406	410:1:20:1	1000000	0	0	0	0	0
1	409	417:1:20:1	10000	0	0	0	0	0
2	30001	731:1:12:1	10000	1	30	15	0	0
2	30002	732:1:12:1	10000	1	30	15	0	0
2	30003	732:1:12:1	10000	1	30	15	0	0
2	30004	732:1:12:1	10000	1	30	15	0	0
2	30005	732:1:12:1	10000	1	30	15	0	0
2	30006	732:1:12:1	10000	1	30	15	0	0
2	30007	731:1:12:1	10000	1	30	15	0	0
2	30008	731:1:12:1	10000	1	30	15	0	0
2	30009	731:1:12:1	10000	1	30	15	0	0
2	30010	731:1:12:1	10000	1	30	15	0	0
2	30011	733:1:12:1	10000	1	30	15	0	0
2	30012	733:1:12:1	10000	1	30	15	0	0
2	30013	30001:2:3:1	50000	0	0	15	0	0
2	30014	30002:2:3:1	50000	0	0	15	0	0
2	30015	30003:2:3:1	50000	0	0	15	0	0
2	30016	30004:2:3:1	50000	0	0	15	0	0
2	30017	30005:2:3:1	50000	0	0	15	0	0
2	30018	30006:2:3:1	50000	0	0	15	0	0
2	30019	30007:2:3:1	50000	0	0	15	0	0
2	30020	30008:2:3:1	50000	0	0	15	0	0
2	30021	30009:2:3:1	50000	0	0	15	0	0
2	30022	30010:2:3:1	50000	0	0	15	0	0
2	30023	30011:2:3:1	50000	0	0	15	0	0
2	30024	30012:2:3:1	50000	0	0	15	0	0
2	30025	30013:2:3:1	100000	0	0	15	0	0
2	30026	30014:2:3:1	100000	0	0	15	0	0
2	30027	30015:2:3:1	100000	0	0	15	0	0
2	30028	30016:2:3:1	100000	0	0	15	0	0
2	30029	30017:2:3:1	100000	0	0	15	0	0
2	30030	30018:2:3:1	100000	0	0	15	0	0
2	30031	30019:2:3:1	100000	0	0	15	0	0
2	30032	30020:2:3:1	100000	0	0	15	0	0
2	30033	30021:2:3:1	100000	0	0	15	0	0
2	30034	30022:2:3:1	100000	0	0	15	0	0
2	30035	30023:2:3:1	100000	0	0	15	0	0
2	30036	30024:2:3:1	100000	0	0	15	0	0
2	30037	30025:2:3:1	200000	0	0	15	0	0
2	30038	30026:2:3:1	200000	0	0	15	0	0
2	30039	30027:2:3:1	200000	0	0	15	0	0
2	30040	30028:2:3:1	200000	0	0	15	0	0
2	30041	30029:2:3:1	200000	0	0	15	0	0
2	30042	30030:2:3:1	200000	0	0	15	0	0
2	30043	30031:2:3:1	200000	0	0	15	0	0
2	30044	30032:2:3:1	200000	0	0	15	0	0
2	30045	30033:2:3:1	200000	0	0	15	0	0
2	30046	30034:2:3:1	200000	0	0	15	0	0
2	30047	30035:2:3:1	200000	0	0	15	0	0
2	30048	30036:2:3:1	200000	0	0	15	0	0
2	30049	30037:2:3:1	300000	0	0	15	0	0
2	30050	30038:2:3:1	300000	0	0	15	0	0
2	30051	30039:2:3:1	300000	0	0	15	0	0
2	30052	30040:2:3:1	300000	0	0	15	0	0
2	30053	30041:2:3:1	300000	0	0	15	0	0
2	30054	30042:2:3:1	300000	0	0	15	0	0
2	30055	30043:2:3:1	300000	0	0	15	0	0
2	30056	30044:2:3:1	300000	0	0	15	0	0
2	30057	30045:2:3:1	300000	0	0	15	0	0
2	30058	30046:2:3:1	300000	0	0	15	0	0
2	30059	30047:2:3:1	300000	0	0	15	0	0
2	30060	30048:2:3:1	300000	0	0	15	0	0
2	10251	926:1:4:1	0	0	0	0	1	3017
2	10256	926:1:4:1	0	0	0	0	1	3017
2	10261	926:1:8:1	0	0	0	0	1	3017
2	10266	926:1:8:1	0	0	0	0	1	3017
2	10271	926:1:12:1	0	0	0	0	1	3017
2	10276	926:1:12:1	0	0	0	0	1	3017
2	10281	926:1:16:1	0	0	0	0	1	3017
2	10286	926:1:16:1	0	0	0	0	1	3017
2	10291	926:1:20:1	0	0	0	0	1	3017
2	10296	926:1:20:1	0	0	0	0	1	3017
2	10301	926:1:40:1	0	0	0	0	1	3017
2	10306	926:1:40:1	0	0	0	0	1	3017
2	10311	926:1:80:1	0	0	0	0	1	3017
2	10316	926:1:80:1	0	0	0	0	1	3017
2	10321	926:1:138:1	0	0	0	0	1	3017
2	10326	926:1:138:1	0	0	0	0	1	3017
2	10331	926:1:178:1	0	0	0	0	1	3017
2	10336	926:1:178:1	0	0	0	0	1	3017
2	10341	926:1:218:1	0	0	0	0	1	3017
2	10346	926:1:218:1	0	0	0	0	1	3017
2	10401	926:1:278:1	0	0	0	0	1	3017
2	10406	926:1:278:1	0	0	0	0	1	3017
2	10411	926:1:338:1	0	0	0	0	1	3017
2	10416	926:1:338:1	0	0	0	0	1	3017
2	10352	926:1:4:1	0	0	0	0	1	3017
2	10353	926:1:4:1	0	0	0	0	1	3017
2	10354	926:1:4:1	0	0	0	0	1	3017
2	10355	926:1:4:1	0	0	0	0	1	3017
2	10357	926:1:4:1	0	0	0	0	1	3017
2	10358	926:1:4:1	0	0	0	0	1	3017
2	10359	926:1:4:1	0	0	0	0	1	3017
2	10360	926:1:4:1	0	0	0	0	1	3017
2	10362	926:1:8:1	0	0	0	0	1	3017
2	10363	926:1:8:1	0	0	0	0	1	3017
2	10364	926:1:8:1	0	0	0	0	1	3017
2	10365	926:1:8:1	0	0	0	0	1	3017
2	10367	926:1:8:1	0	0	0	0	1	3017
2	10368	926:1:8:1	0	0	0	0	1	3017
2	10369	926:1:8:1	0	0	0	0	1	3017
2	10370	926:1:8:1	0	0	0	0	1	3017
2	10372	926:1:16:1	0	0	0	0	1	3017
2	10373	926:1:16:1	0	0	0	0	1	3017
2	10374	926:1:16:1	0	0	0	0	1	3017
2	10375	926:1:16:1	0	0	0	0	1	3017
2	10377	926:1:16:1	0	0	0	0	1	3017
2	10378	926:1:16:1	0	0	0	0	1	3017
2	10379	926:1:16:1	0	0	0	0	1	3017
2	10380	926:1:16:1	0	0	0	0	1	3017
2	10382	926:1:36:1	0	0	0	0	1	3017
2	10383	926:1:36:1	0	0	0	0	1	3017
2	10384	926:1:36:1	0	0	0	0	1	3017
2	10385	926:1:36:1	0	0	0	0	1	3017
2	10387	926:1:36:1	0	0	0	0	1	3017
2	10388	926:1:36:1	0	0	0	0	1	3017
2	10389	926:1:36:1	0	0	0	0	1	3017
2	10390	926:1:36:1	0	0	0	0	1	3017
2	10392	926:1:90:1	0	0	0	0	1	3017
2	10393	926:1:90:1	0	0	0	0	1	3017
2	10394	926:1:90:1	0	0	0	0	1	3017
2	10395	926:1:90:1	0	0	0	0	1	3017
2	10397	926:1:90:1	0	0	0	0	1	3017
2	10398	926:1:90:1	0	0	0	0	1	3017
2	10399	926:1:90:1	0	0	0	0	1	3017
2	10400	926:1:90:1	0	0	0	0	1	3017
2	10402	926:1:150:1	0	0	0	0	1	3017
2	10403	926:1:150:1	0	0	0	0	1	3017
2	10404	926:1:150:1	0	0	0	0	1	3017
2	10405	926:1:150:1	0	0	0	0	1	3017
2	10407	926:1:150:1	0	0	0	0	1	3017
2	10408	926:1:150:1	0	0	0	0	1	3017
2	10409	926:1:150:1	0	0	0	0	1	3017
2	10410	926:1:150:1	0	0	0	0	1	3017
2	10412	926:1:225:1	0	0	0	0	1	3017
2	10413	926:1:225:1	0	0	0	0	1	3017
2	10414	926:1:225:1	0	0	0	0	1	3017
2	10415	926:1:225:1	0	0	0	0	1	3017
2	10417	926:1:225:1	0	0	0	0	1	3017
2	10418	926:1:225:1	0	0	0	0	1	3017
2	10419	926:1:225:1	0	0	0	0	1	3017
2	10420	926:1:225:1	0	0	0	0	1	3017
2	11251	926:1:8:1	0	0	0	0	1	3017
2	11256	926:1:8:1	0	0	0	0	1	3017
2	11261	926:1:16:1	0	0	0	0	1	3017
2	11266	926:1:16:1	0	0	0	0	1	3017
2	11271	926:1:24:1	0	0	0	0	1	3017
2	11276	926:1:24:1	0	0	0	0	1	3017
2	11281	926:1:32:1	0	0	0	0	1	3017
2	11286	926:1:32:1	0	0	0	0	1	3017
2	11291	926:1:40:1	0	0	0	0	1	3017
2	11296	926:1:40:1	0	0	0	0	1	3017
2	11301	926:1:80:1	0	0	0	0	1	3017
2	11306	926:1:80:1	0	0	0	0	1	3017
2	11311	926:1:160:1	0	0	0	0	1	3017
2	11316	926:1:160:1	0	0	0	0	1	3017
2	11321	926:1:276:1	0	0	0	0	1	3017
2	11326	926:1:276:1	0	0	0	0	1	3017
2	11331	926:1:356:1	0	0	0	0	1	3017
2	11336	926:1:356:1	0	0	0	0	1	3017
2	11341	926:1:436:1	0	0	0	0	1	3017
2	11346	926:1:436:1	0	0	0	0	1	3017
2	11401	926:1:556:1	0	0	0	0	1	3017
2	11406	926:1:556:1	0	0	0	0	1	3017
2	11411	926:1:676:1	0	0	0	0	1	3017
2	11416	926:1:676:1	0	0	0	0	1	3017
2	11352	926:1:8:1	0	0	0	0	1	3017
2	11353	926:1:8:1	0	0	0	0	1	3017
2	11354	926:1:8:1	0	0	0	0	1	3017
2	11355	926:1:8:1	0	0	0	0	1	3017
2	11357	926:1:8:1	0	0	0	0	1	3017
2	11358	926:1:8:1	0	0	0	0	1	3017
2	11359	926:1:8:1	0	0	0	0	1	3017
2	11360	926:1:8:1	0	0	0	0	1	3017
2	11362	926:1:16:1	0	0	0	0	1	3017
2	11363	926:1:16:1	0	0	0	0	1	3017
2	11364	926:1:16:1	0	0	0	0	1	3017
2	11365	926:1:16:1	0	0	0	0	1	3017
2	11367	926:1:16:1	0	0	0	0	1	3017
2	11368	926:1:16:1	0	0	0	0	1	3017
2	11369	926:1:16:1	0	0	0	0	1	3017
2	11370	926:1:16:1	0	0	0	0	1	3017
2	11372	926:1:32:1	0	0	0	0	1	3017
2	11373	926:1:32:1	0	0	0	0	1	3017
2	11374	926:1:32:1	0	0	0	0	1	3017
2	11375	926:1:32:1	0	0	0	0	1	3017
2	11377	926:1:32:1	0	0	0	0	1	3017
2	11378	926:1:32:1	0	0	0	0	1	3017
2	11379	926:1:32:1	0	0	0	0	1	3017
2	11380	926:1:32:1	0	0	0	0	1	3017
2	11382	926:1:72:1	0	0	0	0	1	3017
2	11383	926:1:72:1	0	0	0	0	1	3017
2	11384	926:1:72:1	0	0	0	0	1	3017
2	11385	926:1:72:1	0	0	0	0	1	3017
2	11387	926:1:72:1	0	0	0	0	1	3017
2	11388	926:1:72:1	0	0	0	0	1	3017
2	11389	926:1:72:1	0	0	0	0	1	3017
2	11390	926:1:72:1	0	0	0	0	1	3017
2	11392	926:1:180:1	0	0	0	0	1	3017
2	11393	926:1:180:1	0	0	0	0	1	3017
2	11394	926:1:180:1	0	0	0	0	1	3017
2	11395	926:1:180:1	0	0	0	0	1	3017
2	11397	926:1:180:1	0	0	0	0	1	3017
2	11398	926:1:180:1	0	0	0	0	1	3017
2	11399	926:1:180:1	0	0	0	0	1	3017
2	11400	926:1:180:1	0	0	0	0	1	3017
2	11402	926:1:300:1	0	0	0	0	1	3017
2	11403	926:1:300:1	0	0	0	0	1	3017
2	11404	926:1:300:1	0	0	0	0	1	3017
2	11405	926:1:300:1	0	0	0	0	1	3017
2	11407	926:1:300:1	0	0	0	0	1	3017
2	11408	926:1:300:1	0	0	0	0	1	3017
2	11409	926:1:300:1	0	0	0	0	1	3017
2	11410	926:1:300:1	0	0	0	0	1	3017
2	11412	926:1:450:1	0	0	0	0	1	3017
2	11413	926:1:450:1	0	0	0	0	1	3017
2	11414	926:1:450:1	0	0	0	0	1	3017
2	11415	926:1:450:1	0	0	0	0	1	3017
2	11417	926:1:450:1	0	0	0	0	1	3017
2	11418	926:1:450:1	0	0	0	0	1	3017
2	11419	926:1:450:1	0	0	0	0	1	3017
2	11420	926:1:450:1	0	0	0	0	1	3017
2	12251	926:1:16:1	0	0	0	0	1	3017
2	12256	926:1:16:1	0	0	0	0	1	3017
2	12261	926:1:32:1	0	0	0	0	1	3017
2	12266	926:1:32:1	0	0	0	0	1	3017
2	12271	926:1:48:1	0	0	0	0	1	3017
2	12276	926:1:48:1	0	0	0	0	1	3017
2	12281	926:1:64:1	0	0	0	0	1	3017
2	12286	926:1:64:1	0	0	0	0	1	3017
2	12291	926:1:80:1	0	0	0	0	1	3017
2	12296	926:1:80:1	0	0	0	0	1	3017
2	12301	926:1:160:1	0	0	0	0	1	3017
2	12306	926:1:160:1	0	0	0	0	1	3017
2	12311	926:1:320:1	0	0	0	0	1	3017
2	12316	926:1:320:1	0	0	0	0	1	3017
2	12321	926:1:552:1	0	0	0	0	1	3017
2	12326	926:1:552:1	0	0	0	0	1	3017
2	12331	926:1:712:1	0	0	0	0	1	3017
2	12336	926:1:712:1	0	0	0	0	1	3017
2	12341	926:1:872:1	0	0	0	0	1	3017
2	12346	926:1:872:1	0	0	0	0	1	3017
2	12401	926:1:1112:1	0	0	0	0	1	3017
2	12406	926:1:1112:1	0	0	0	0	1	3017
2	12411	926:1:1352:1	0	0	0	0	1	3017
2	12416	926:1:1352:1	0	0	0	0	1	3017
2	12352	926:1:16:1	0	0	0	0	1	3017
2	12353	926:1:16:1	0	0	0	0	1	3017
2	12354	926:1:16:1	0	0	0	0	1	3017
2	12355	926:1:16:1	0	0	0	0	1	3017
2	12357	926:1:16:1	0	0	0	0	1	3017
2	12358	926:1:16:1	0	0	0	0	1	3017
2	12359	926:1:16:1	0	0	0	0	1	3017
2	12360	926:1:16:1	0	0	0	0	1	3017
2	12362	926:1:32:1	0	0	0	0	1	3017
2	12363	926:1:32:1	0	0	0	0	1	3017
2	12364	926:1:32:1	0	0	0	0	1	3017
2	12365	926:1:32:1	0	0	0	0	1	3017
2	12367	926:1:32:1	0	0	0	0	1	3017
2	12368	926:1:32:1	0	0	0	0	1	3017
2	12369	926:1:32:1	0	0	0	0	1	3017
2	12370	926:1:32:1	0	0	0	0	1	3017
2	12372	926:1:64:1	0	0	0	0	1	3017
2	12373	926:1:64:1	0	0	0	0	1	3017
2	12374	926:1:64:1	0	0	0	0	1	3017
2	12375	926:1:64:1	0	0	0	0	1	3017
2	12377	926:1:64:1	0	0	0	0	1	3017
2	12378	926:1:64:1	0	0	0	0	1	3017
2	12379	926:1:64:1	0	0	0	0	1	3017
2	12380	926:1:64:1	0	0	0	0	1	3017
2	12382	926:1:144:1	0	0	0	0	1	3017
2	12383	926:1:144:1	0	0	0	0	1	3017
2	12384	926:1:144:1	0	0	0	0	1	3017
2	12385	926:1:144:1	0	0	0	0	1	3017
2	12387	926:1:144:1	0	0	0	0	1	3017
2	12388	926:1:144:1	0	0	0	0	1	3017
2	12389	926:1:144:1	0	0	0	0	1	3017
2	12390	926:1:144:1	0	0	0	0	1	3017
2	12392	926:1:360:1	0	0	0	0	1	3017
2	12393	926:1:360:1	0	0	0	0	1	3017
2	12394	926:1:360:1	0	0	0	0	1	3017
2	12395	926:1:360:1	0	0	0	0	1	3017
2	12397	926:1:360:1	0	0	0	0	1	3017
2	12398	926:1:360:1	0	0	0	0	1	3017
2	12399	926:1:360:1	0	0	0	0	1	3017
2	12400	926:1:360:1	0	0	0	0	1	3017
2	12402	926:1:600:1	0	0	0	0	1	3017
2	12403	926:1:600:1	0	0	0	0	1	3017
2	12404	926:1:600:1	0	0	0	0	1	3017
2	12405	926:1:600:1	0	0	0	0	1	3017
2	12407	926:1:600:1	0	0	0	0	1	3017
2	12408	926:1:600:1	0	0	0	0	1	3017
2	12409	926:1:600:1	0	0	0	0	1	3017
2	12410	926:1:600:1	0	0	0	0	1	3017
2	12412	926:1:900:1	0	0	0	0	1	3017
2	12413	926:1:900:1	0	0	0	0	1	3017
2	12414	926:1:900:1	0	0	0	0	1	3017
2	12415	926:1:900:1	0	0	0	0	1	3017
2	12417	926:1:900:1	0	0	0	0	1	3017
2	12418	926:1:900:1	0	0	0	0	1	3017
2	12419	926:1:900:1	0	0	0	0	1	3017
2	12420	926:1:900:1	0	0	0	0	1	3017
2	63001	21:1:50:1	20000	0	0	0	0	0
2	63002	21:1:50:1	20000	0	0	0	0	0
2	63003	21:1:50:1	20000	0	0	0	0	0
2	63004	21:1:50:1	20000	0	0	0	0	0
2	63005	21:1:50:1	20000	0	0	0	0	0
2	63006	21:1:50:1	20000	0	0	0	0	0
1	5001	961:1:10:1	0	0	0	0	0	0
1	5002	961:1:10:1	0	0	0	0	0	0
1	5005	961:1:10:1	0	0	0	0	0	0
1	5006	961:1:10:1	0	0	0	0	0	0
1	5008	961:1:10:1	0	0	0	0	0	0
1	5009	961:1:10:1	0	0	0	0	0	0
1	5010	961:1:10:1	0	0	0	0	0	0
1	5011	961:1:10:1	0	0	0	0	0	0
1	5012	961:1:10:1	0	0	0	0	0	0
1	5013	961:1:10:1	0	0	0	0	0	0
1	5015	961:1:10:1	0	0	0	0	0	0
1	5018	961:1:10:1	0	0	0	0	0	0
1	5019	961:1:10:1	0	0	0	0	0	0
1	5021	961:1:10:1	0	0	0	0	0	0
1	5025	961:1:10:1	0	0	0	0	0	0
1	5026	961:1:10:1	0	0	0	0	0	0
1	5027	961:1:10:1	0	0	0	0	0	0
1	5029	961:1:10:1	0	0	0	0	0	0
1	5030	961:1:10:1	0	0	0	0	0	0
1	5031	961:1:10:1	0	0	0	0	0	0
1	5032	961:1:10:1	0	0	0	0	0	0
1	5033	961:1:10:1	0	0	0	0	0	0
1	5101	962:1:10:1	0	0	0	0	0	0
1	5102	962:1:10:1	0	0	0	0	0	0
1	5105	962:1:10:1	0	0	0	0	0	0
1	5106	962:1:10:1	0	0	0	0	0	0
1	5107	962:1:10:1	0	0	0	0	0	0
1	5108	962:1:10:1	0	0	0	0	0	0
1	5109	962:1:10:1	0	0	0	0	0	0
1	5110	962:1:10:1	0	0	0	0	0	0
1	5111	962:1:10:1	0	0	0	0	0	0
1	5112	962:1:10:1	0	0	0	0	0	0
1	5113	962:1:10:1	0	0	0	0	0	0
1	5114	962:1:10:1	0	0	0	0	0	0
1	5115	962:1:10:1	0	0	0	0	0	0
1	5116	962:1:10:1	0	0	0	0	0	0
1	5119	962:1:10:1	0	0	0	0	0	0
1	5120	962:1:10:1	0	0	0	0	0	0
1	5123	962:1:10:1	0	0	0	0	0	0
1	5124	962:1:10:1	0	0	0	0	0	0
1	5125	962:1:10:1	0	0	0	0	0	0
1	5127	962:1:10:1	0	0	0	0	0	0
1	5128	962:1:10:1	0	0	0	0	0	0
1	5129	962:1:10:1	0	0	0	0	0	0
1	5130	962:1:10:1	0	0	0	0	0	0
1	5135	962:1:10:1	0	0	0	0	0	0
1	5136	962:1:10:1	0	0	0	0	0	0
1	5137	962:1:10:1	0	0	0	0	0	0
1	5141	962:1:10:1	0	0	0	0	0	0
1	5142	962:1:10:1	0	0	0	0	0	0
1	5143	962:1:10:1	0	0	0	0	0	0
1	5144	962:1:10:1	0	0	0	0	0	0
1	5145	962:1:10:1	0	0	0	0	0	0
1	5146	962:1:10:1	0	0	0	0	0	0
1	5147	962:1:10:1	0	0	0	0	0	0
1	5148	962:1:10:1	0	0	0	0	0	0
1	5149	962:1:10:1	0	0	0	0	0	0
1	5150	962:1:10:1	0	0	0	0	0	0
1	5201	963:1:10:1	0	0	0	0	0	0
1	5202	963:1:10:1	0	0	0	0	0	0
1	5203	963:1:10:1	0	0	0	0	0	0
1	5151	962:1:10:1	0	0	0	0	0	0
1	5152	962:1:10:1	0	0	0	0	0	0
