INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
38	6	1	7	1	15	35	7101:1:1337:1:0:0|7533:1:1:1:0:0|7110:1:100:1:0:0	-1	1	1
39	7	1	7	1	16	7	7095:1:46:1:0:0|7041:1:5:1:0:4|7114:1:2:1:0:0	-1	0	-1
40	7	1	7	1	16	14	7095:1:136:1:0:0|7041:1:10:1:0:4|7114:1:6:1:0:0	-1	0	-1
41	7	1	7	1	16	21	7095:1:379:1:0:0|7041:1:20:1:0:4|7114:1:10:1:0:0	-1	0	-1
42	7	1	7	1	16	28	7095:1:805:0:0:0|7041:1:30:1:0:4|7114:1:14:1:0:0	-1	0	-1
43	7	1	7	1	16	35	7095:1:1408:0:0:0|7517:1:3:1:0:0|7114:1:20:1:0:0	-1	1	1
44	10	4	7	8	17		99:1:1:0:0:0|98:1:1:0:0:0|91:1:1:0:0:0|90:1:1:0:0:0	-1	0	-1
45	2	1	7	1	3	30000	7276:1:6:1:0:0|7041:1:30:1:0:4|7265:1:30:1:0:0	-1	0	-1
46	2	1	7	1	3	38000	29:5:1:1:0:0|7277:1:3:1:0:0|7265:1:40:1:0:0	-1	1	1
47	3	1	7	1	10	135	7007:1:120:1:0:0|7265:1:30:1:0:0|7114:1:22:1:0:0	-1	0	-1
48	3	1	7	1	10	155	7525:1:1:1:0:0|7265:1:40:1:0:0|7114:1:30:1:0:0	-1	1	1
49	5	1	7	1	14	22000	7535:1:6:1:0:0|7041:1:50:1:0:4|7114:1:22:1:0:0	-1	0	-1
50	5	1	7	1	14	30000	7527:1:1:1:0:0|7536:1:1:1:0:0|7114:1:30:1:0:0	-1	1	1
