INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
29	17	39	3998	636	1	1	1	535	44	52309	2	1	1	535	44	52709	2	1	1	535	403	30012	2	1	1	535	4997	8103	3	1	1	0
30	19	37	2001	720	1	2	1	535	7993	769	1	5	1	0	9990	575	1	10	1	0	9990	705	1	10	1	0	8	50029	2	1	1	535
31	21	35	19976	770	1	1	1	0	44	52409	2	1	1	535	2001	710	1	2	1	535	4997	8103	3	1	1	0	44	52109	2	1	1	535
32	23	33	13319	731	1	10	1	0	2001	710	1	2	1	535	3998	9	1	5	1	0	2001	16	1	10	1	0	9990	575	1	10	1	0
33	25	31	3998	734	1	1	1	535	7993	769	1	5	1	0	7993	769	1	5	1	0	9990	759	1	1	1	0	2001	13	1	20	1	0
34	27	29	403	710	1	10	1	535	19976	770	1	1	1	0	2001	710	1	2	1	535	2001	710	1	2	1	535	44	52209	2	1	1	535
35	29	27	2001	710	1	2	1	535	2001	16	1	10	1	0	44	52509	2	1	1	535	3333	601	1	30	1	0	9990	575	1	10	1	0
36	31	25	204	762	1	1	1	535	2001	720	1	2	1	535	3998	13	1	10	1	0	204	762	1	1	1	535	3333	733	1	4	1	0
37	33	23	9990	575	1	10	1	0	4997	8103	3	1	1	0	7993	769	1	5	1	0	4997	601	1	20	1	0	4997	758	1	4	1	0
38	35	21	9990	758	1	2	1	0	4997	8203	3	1	1	0	2001	511	1	1	1	535	9990	770	1	2	1	0	44	52409	2	1	1	535
39	37	19	3998	13	1	10	1	0	6661	625	1	1	1	0	3998	9	1	5	1	0	44	52109	2	1	1	535	9990	770	1	2	1	0
40	39	17	9990	705	1	10	1	0	13319	732	1	10	1	0	9990	709	1	10	1	0	3998	636	1	1	1	535	628	8206	3	1	1	535
41	20	42	2001	13	1	20	1	0	9990	759	1	1	1	0	2001	771	1	1	1	535	9990	575	1	10	1	0	13319	732	1	10	1	0
42	22	40	1335	13	1	30	1	0	9990	719	1	1	1	0	3998	720	1	1	1	535	19976	507	1	1	1	0	2001	511	1	1	1	535
43	24	38	2001	511	1	1	1	535	9990	758	1	2	1	0	403	710	1	10	1	535	3333	733	1	4	1	0	3333	759	1	3	1	0
44	26	36	4997	758	1	4	1	0	44	52509	2	1	1	535	8	50029	2	1	1	535	19976	575	1	5	1	0	13319	731	1	10	1	0
45	28	34	3998	9	1	5	1	0	44	52609	2	1	1	535	19976	770	1	1	1	0	3998	9	1	5	1	0	403	30012	2	1	1	535
46	30	32	9990	759	1	1	1	0	48	784	1	1	1	535	6661	568	1	1	1	0	8	50029	2	1	1	535	9990	759	1	1	1	0
47	32	30	9990	759	1	1	1	0	19976	507	1	1	1	0	44	52609	2	1	1	535	44	52809	2	1	1	535	2223	647	1	30	1	0
48	34	28	44	52809	2	1	1	535	44	52809	2	1	1	535	44	52309	2	1	1	535	3998	720	1	1	1	535	48	784	1	1	1	535
49	36	26	4997	8103	3	1	1	0	9990	770	1	2	1	0	6661	9	1	3	1	0	3333	759	1	3	1	0	6661	647	1	10	1	0
50	38	24	3998	9	1	5	1	0	3998	13	1	10	1	0	4997	758	1	4	1	0	403	30011	2	1	1	535	2001	16	1	10	1	0
51	40	22	2001	570	1	1	1	535	4997	578	1	1	1	0	6661	647	1	10	1	0	204	762	1	1	1	535	3998	9	1	5	1	0
52	42	20	44	52209	2	1	1	535	9990	708	1	10	1	0	2001	710	1	2	1	535	4997	758	1	4	1	0	2001	771	1	1	1	535
53	23	45	13319	732	1	10	1	0	204	762	1	1	1	535	44	52009	2	1	1	535	2223	647	1	30	1	0	628	8006	3	1	1	535
54	25	43	19976	575	1	5	1	0	3998	636	1	1	1	535	6661	647	1	10	1	0	13319	732	1	10	1	0	9990	705	1	10	1	0
55	27	41	4997	8103	3	1	1	0	19976	575	1	5	1	0	2001	570	1	1	1	535	6661	568	1	1	1	0	3998	718	1	5	1	0
56	29	39	9990	759	1	1	1	0	4997	8103	3	1	1	0	204	762	1	1	1	535	2001	410	1	1	1	535	3998	9	1	5	1	0
57	31	37	4997	601	1	20	1	0	4997	727	1	2	1	0	3998	636	1	1	1	535	9990	709	1	10	1	0	204	762	1	1	1	535
58	33	35	2001	771	1	1	1	535	628	8006	3	1	1	535	19976	507	1	1	1	0	1335	13	1	30	1	0	3998	13	1	10	1	0
59	35	33	44	52609	2	1	1	535	19976	575	1	5	1	0	3998	734	1	1	1	535	48	784	1	1	1	535	4997	8203	3	1	1	0
60	37	31	9082	619	1	1	1	0	4997	8203	3	1	1	0	403	30011	2	1	1	535	3998	720	1	1	1	535	4997	8203	3	1	1	0
61	39	29	6661	647	1	10	1	0	3998	16	1	5	1	0	3998	16	1	5	1	0	2001	710	1	2	1	535	9990	758	1	2	1	0
62	41	27	628	8106	3	1	1	535	19976	575	1	5	1	0	204	762	1	1	1	535	13319	731	1	10	1	0	19976	507	1	1	1	0
63	43	25	2500	578	1	2	1	0	9990	759	1	1	1	0	6661	601	1	15	1	0	3998	636	1	1	1	535	6661	601	1	15	1	0
64	45	23	2001	16	1	10	1	0	3998	734	1	1	1	535	44	52209	2	1	1	535	4997	8103	3	1	1	0	44	52709	2	1	1	535
65	26	48	19976	507	1	1	1	0	6661	601	1	15	1	0	403	710	1	10	1	535	3998	718	1	5	1	0	1335	13	1	30	1	0
66	28	46	3998	16	1	5	1	0	9082	619	1	1	1	0	9990	759	1	1	1	0	44	52509	2	1	1	535	44	52009	2	1	1	535
67	30	44	403	30012	2	1	1	535	44	52209	2	1	1	535	3998	720	1	1	1	535	19976	770	1	1	1	0	19976	575	1	5	1	0
68	32	42	4997	727	1	2	1	0	2001	771	1	1	1	535	9990	770	1	2	1	0	3998	13	1	10	1	0	2001	710	1	2	1	535
69	34	40	3998	718	1	5	1	0	6661	647	1	10	1	0	9990	575	1	10	1	0	3998	16	1	5	1	0	44	52809	2	1	1	535
70	36	38	2001	710	1	2	1	535	2001	710	1	2	1	535	2001	720	1	2	1	535	9990	708	1	10	1	0	6661	625	1	1	1	0
71	38	36	2001	410	1	1	1	535	3998	9	1	5	1	0	3998	13	1	10	1	0	9990	759	1	1	1	0	9990	759	1	1	1	0
72	40	34	4997	8203	3	1	1	0	2001	570	1	1	1	535	3998	9	1	5	1	0	44	52409	2	1	1	535	403	30011	2	1	1	535
73	42	32	6661	647	1	10	1	0	9990	759	1	1	1	0	4997	8103	3	1	1	0	2001	710	1	2	1	535	6661	9	1	3	1	0
74	44	30	3998	9	1	5	1	0	403	30011	2	1	1	535	19976	575	1	5	1	0	403	710	1	10	1	535	9990	719	1	1	1	0
75	46	28	44	52709	2	1	1	535	1335	13	1	30	1	0	13319	731	1	10	1	0	628	8106	3	1	1	535	2001	710	1	2	1	535
76	48	26	3333	601	1	30	1	0	44	52709	2	1	1	535	2500	578	1	2	1	0	628	8006	3	1	1	535	3998	13	1	10	1	0
77	31	49	204	762	1	1	1	535	3998	13	1	10	1	0	4997	8103	3	1	1	0	3998	9	1	5	1	0	4997	601	1	20	1	0
78	33	47	2001	710	1	2	1	535	3333	733	1	4	1	0	9990	705	1	10	1	0	3998	9	1	5	1	0	2001	720	1	2	1	535
79	35	45	6661	9	1	3	1	0	4997	8103	3	1	1	0	628	8206	3	1	1	535	4997	758	1	4	1	0	3998	720	1	1	1	535
80	37	43	2223	647	1	30	1	0	3998	9	1	5	1	0	403	30012	2	1	1	535	7993	13	1	5	1	0	3333	601	1	30	1	0
81	39	41	9990	770	1	2	1	0	3998	9	1	5	1	0	9990	758	1	2	1	0	9990	759	1	1	1	0	4997	758	1	4	1	0
82	41	39	3998	13	1	10	1	0	4997	758	1	4	1	0	4997	8103	3	1	1	0	2001	511	1	1	1	535	3998	636	1	1	1	535
83	43	37	9990	709	1	10	1	0	3998	718	1	5	1	0	2223	568	1	3	1	0	6661	9	1	3	1	0	19976	770	1	1	1	0
84	45	35	6661	601	1	15	1	0	6661	9	1	3	1	0	4997	8203	3	1	1	0	9990	758	1	2	1	0	19976	575	1	5	1	0
85	47	33	3998	9	1	5	1	0	2001	710	1	2	1	535	9990	759	1	1	1	0	6661	601	1	15	1	0	4997	8103	3	1	1	0
86	49	31	403	710	1	10	1	535	6661	568	1	1	1	0	7993	13	1	5	1	0	3998	734	1	1	1	535	3998	9	1	5	1	0
87	51	29	44	52509	2	1	1	535	2001	410	1	1	1	535	2001	410	1	1	1	535	6661	625	1	1	1	0	4997	578	1	1	1	0
88	38	48	4997	758	1	4	1	0	403	710	1	10	1	535	4997	601	1	20	1	0	19976	575	1	5	1	0	3998	9	1	5	1	0
89	40	46	7993	769	1	5	1	0	2223	647	1	30	1	0	2001	771	1	1	1	535	403	710	1	10	1	535	204	762	1	1	1	535
90	42	44	4997	578	1	1	1	0	2001	771	1	1	1	535	4997	758	1	4	1	0	44	52709	2	1	1	535	2001	570	1	1	1	535
91	44	42	3998	720	1	1	1	535	3333	759	1	3	1	0	44	52409	2	1	1	535	9990	719	1	1	1	0	2223	568	1	3	1	0
92	46	40	628	8006	3	1	1	535	3998	720	1	1	1	535	44	52809	2	1	1	535	2001	13	1	20	1	0	403	710	1	10	1	535
93	48	38	7993	13	1	5	1	0	628	8206	3	1	1	535	2223	647	1	30	1	0	3998	13	1	10	1	0	3998	720	1	1	1	535
94	50	36	48	784	1	1	1	535	4997	758	1	4	1	0	628	8106	3	1	1	535	44	52009	2	1	1	535	628	8106	3	1	1	535
95	52	34	3998	720	1	1	1	535	4997	601	1	20	1	0	44	52109	2	1	1	535	2001	720	1	2	1	535	6661	647	1	10	1	0
96	54	32	44	52309	2	1	1	535	2001	511	1	1	1	535	6661	625	1	1	1	0	3998	9	1	5	1	0	7993	769	1	5	1	0
97	4	28	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
98	13	18	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
99	15	21	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
100	23	13	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
101	21	27	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
102	17	30	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
103	29	29	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
104	26	17	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
105	34	10	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
106	45	19	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
107	19	23	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
108	25	23	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
109	14	26	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
110	13	33	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
111	18	34	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
112	23	31	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
113	29	25	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
114	30	22	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
115	30	18	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
116	34	14	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
117	38	15	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
118	36	17	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
119	34	20	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
120	41	16	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
121	22	24	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
122	21	33	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
123	17	37	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
124	14	38	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
125	11	36	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
126	9	32	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
127	22	38	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
128	27	33	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
129	24	34	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
130	17	42	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
131	22	43	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
132	21	43	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
133	37	22	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
134	33	25	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
135	35	23	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
136	39	20	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
137	43	18	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
138	42	22	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
139	40	25	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
140	36	28	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
141	46	22	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
142	52	24	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
143	27	38	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
144	32	32	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
145	30	35	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
146	24	41	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
147	37	41	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
148	35	36	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
149	32	39	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
150	33	37	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
151	29	41	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
152	35	49	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
153	28	50	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
154	25	47	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
155	27	44	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
156	32	44	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
157	38	33	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
158	35	31	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
159	42	29	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
160	40	31	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
161	45	26	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
162	48	22	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
163	47	19	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
164	38	27	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
165	57	27	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
166	53	27	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
167	50	29	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
168	45	32	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
169	42	33	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
170	39	37	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
171	43	39	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
172	55	36	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
173	59	36	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
174	55	30	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
175	30	47	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
176	34	42	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
177	39	44	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
178	41	42	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
179	46	37	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
180	50	34	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
181	52	38	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
182	46	43	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
183	42	47	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
184	37	46	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
185	36	52	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
186	50	26	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
187	7	26	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
188	4	31	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
189	21	20	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
190	23	18	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
191	25	15	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0	5000	0	0	0	0	0
