INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
20	九幽圣使	20	299	1	1500000	0	0	800	800	90	90	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2403	0	100:0:3209	0	2	0	0	gw147	2065	fj024	0	0	22	0	0	0	100	0	1	0	1	15	316	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	120:150	0	1	-1	-1	1	0	1200000	0	20	0	0	0	0	0	0	0	1		0	952:1:1:1	1
21	深渊领主	21	299	1	3000000	0	0	2000	2000	90	90	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	361	0	100:0:2407	0	2	0	0	gw147	2025	fj024	0	0	23	0	0	0	100	0	1	0	1	15	316	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	120:150	0	1	-1	-1	1	0	2500000	0	21	0	0	0	0	0	0	0	1		0	952:1:1:1	1
22	神刀灭魔★☆☆☆	22	99	3	1000000	0	0	1	1	100	100	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1000	2502	0	0	0	201	0	0	gw147	113	fj019	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	150:180	0	1	-1	-1	1	0	1500000	0	22	0	0	0	0	0	0	0	1		0	952:1:1:1	1
23	幽冥血刃★★☆☆	23	99	3	1000000	0	0	1	1	100	100	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1000	2502	0	0	0	201	0	0	gw147	124	fj020	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	150:180	0	1	-1	-1	1	0	1500000	0	23	0	0	0	0	0	0	0	1		0	952:1:1:1	1
24	诛仙修罗★★★☆	24	99	3	1000000	0	0	1	1	100	100	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1000	2502	0	0	0	201	0	0	gw147	123	fj021	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	150:180	0	1	-1	-1	1	0	1500000	0	24	0	0	0	0	0	0	0	1		0	952:1:1:1	1
25	九劫圣战★★★★	25	99	3	1000000	0	0	1	1	100	100	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1000	2502	0	0	0	201	0	0	gw147	119	fj019	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	150:180	0	1	-1	-1	1	0	1500000	0	25	0	0	0	0	0	0	0	1		0	952:1:1:1	1
26	魔殿妖尸[任务]	10001	50	1	500000	0	0	200	200	100	100	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1000	2502	0	0	0	201	0	0	gw147	2044	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	100:130	0	1	-1	-1	1	0	600000	0	10001	0	0	0	0	0	0	0	1		0	952:1:1:1	1
27	红魔卫士[任务]	10002	100	1	700000	0	0	300	300	100	100	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1000	2502	0	0	0	201	0	0	gw147	2048	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	100:130	0	1	-1	-1	1	0	800000	0	10002	0	0	0	0	0	0	0	1		0	952:1:1:1	1
28	魔风巨兽[任务]	10003	150	1	1000000	0	0	400	400	100	100	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1000	2502	0	0	0	201	0	0	gw147	110	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	100:130	0	1	-1	-1	1	0	1000000	0	10003	0	0	0	0	0	0	0	1		0	952:1:1:1	1
29	地狱咆哮[任务]	9996	200	1	1300000	0	0	500	500	100	100	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1000	2502	0	0	0	201	0	0	gw147	125	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	100:130	0	1	-1	-1	1	0	1500000	0	9996	0	0	0	0	0	0	0	1		0	952:1:1:1	1
30	蛮荒巨人[妖级BOSS]【任务】	10004	300	1	2000000	0	0	5000	5000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	2000	2502	0	0	0	209	0	0	gw147	121	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:150	0	1	-1	-1	1	0	2500000	0	10004	0	0	0	0	0	0	0	1		0	952:1:1:1	1
31	金刚僵尸[魔级BOSS]【任务】	10005	400	1	3000000	0	0	8000	8000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	2000	2502	0	0	0	209	0	0	gw147	114	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:150	0	1	-1	-1	1	0	5000000	0	10005	0	0	0	0	0	0	0	1		0	952:1:1:1	1
32	鬼魅老妖[妖级BOSS]【任务】	10004	300	1	2000000	0	0	5000	5000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	2000	2502	0	0	0	209	0	0	gw147	2038	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:180	0	1	-1	-1	1	0	2500000	0	11004	0	0	0	0	0	0	0	1		0	952:1:1:1	1
33	狂暴斧王[魔级BOSS]【任务】	10005	400	1	3000000	0	0	8000	8000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	2000	2502	0	0	0	209	0	0	gw147	502	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:180	0	1	-1	-1	1	0	5000000	0	11005	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1001	亡魂法师	1001	100	1	100000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	202	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	300000	0	1001	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1002	地下骷髅	1002	115	1	100000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	208	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	300000	0	1002	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1003	变异蛇人	1003	130	1	110000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	210	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	315000	0	1003	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1004	地下盗贼	1004	145	1	110000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	213	zjq11	0	0	-1	0	0	3	100	0	0	0	1	19	23	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	315000	0	1004	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1005	地下剑客	1005	160	1	120000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	214	zjq11	0	0	-1	0	0	3	100	0	0	0	1	19	23	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	330000	0	1005	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1006	宫殿斧兵	1006	175	1	120000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	217	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	330000	0	1006	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1007	宫殿战士	1007	190	1	130000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	212	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	345000	0	1007	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1008	亡魂法师	1008	200	1	200000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	202	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	450000	0	1008	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1009	地下骷髅	1009	215	1	200000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	208	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	450000	0	1009	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1010	变异蛇人	1010	230	1	210000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	210	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	465000	0	1010	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1011	地下盗贼	1011	245	1	210000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	213	zjq11	0	0	-1	0	0	3	100	0	0	0	1	19	23	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	465000	0	1011	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1012	地下剑客	1012	260	1	220000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	214	zjq11	0	0	-1	0	0	3	100	0	0	0	1	19	23	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	480000	0	1012	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1013	宫殿斧兵	1013	275	1	220000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	217	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	480000	0	1013	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1014	宫殿战士	1014	290	1	230000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	212	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	495000	0	1014	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1015	亡魂法师	1015	292	1	300000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	202	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	600000	0	1015	0	0	0	0	0	0	0	1		0	952:1:1:1	1
1016	地下骷髅	1016	292	1	300000	0	0	1	1	100	100	100000	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	500	2501	0	0	0	2	0	0	gw147	208	fj020	0	0	-1	0	0	3	100	0	0	0	1	20	170	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	600000	0	1016	0	0	0	0	0	0	0	1		0	952:1:1:1	1
