INT	INT	STRING	STRING	STRING	STRING	STRING
2005	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2006	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2007	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2011	3	1:5000|2:5000	1:1000|21:3000|601:6000	101:1000|121:3000|604:6000	-1	-1
2012	3	1:5000|2:5000	1:1000|21:3000|601:6000	101:1000|121:3000|604:6000	-1	-1
2013	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2014	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2015	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2016	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2017	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2021	3	1:5000|2:5000	1:1000|21:3000|601:6000	101:1000|121:3000|604:6000	-1	-1
2022	3	1:5000|2:5000	1:1000|21:3000|601:6000	101:1000|121:3000|604:6000	-1	-1
2023	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2024	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2025	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2026	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2027	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2001	4	1:3000|2:7000	1:3000|21:3000|601:4000	101:3000|121:3000|604:4000	-1	-1
2002	4	1:3000|2:7000	1:3000|21:3000|601:4000	101:3000|121:3000|604:4000	-1	-1
2003	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2004	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2005	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2006	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2007	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2011	4	1:3000|2:7000	1:3000|21:3000|601:4000	101:3000|121:3000|604:4000	-1	-1
2012	4	1:3000|2:7000	1:3000|21:3000|601:4000	101:3000|121:3000|604:4000	-1	-1
2013	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2014	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2015	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2016	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2017	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2021	4	1:3000|2:7000	1:3000|21:3000|601:4000	101:3000|121:3000|604:4000	-1	-1
2022	4	1:3000|2:7000	1:3000|21:3000|601:4000	101:3000|121:3000|604:4000	-1	-1
2023	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2024	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2025	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2026	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2027	4	1:3000|2:7000	201:3000|241:3000|601:4000	281:3000|321:3000|604:4000	-1	-1
2001	5	2:10000	1:5000|21:5000|601:0	101:5000|121:5000|604:0	-1	-1
2002	5	2:10000	1:5000|21:5000|601:0	101:5000|121:5000|604:0	-1	-1
2003	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2004	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2005	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2006	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2007	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2011	5	2:10000	1:5000|21:5000|601:0	101:5000|121:5000|604:0	-1	-1
2012	5	2:10000	1:5000|21:5000|601:0	101:5000|121:5000|604:0	-1	-1
2013	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2014	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2015	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2016	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2017	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2021	5	2:10000	1:5000|21:5000|601:0	101:5000|121:5000|604:0	-1	-1
2022	5	2:10000	1:5000|21:5000|601:0	101:5000|121:5000|604:0	-1	-1
2023	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2024	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2025	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2026	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
2027	5	2:10000	201:5000|241:5000|601:0	281:5000|321:5000|604:0	-1	-1
3001	1	3:10000	2:0|41:4000|602:6000	101:0|121:4000|604:6000	1021:10000	1001:10000
3002	1	3:10000	2:0|41:4000|602:6000	101:0|121:4000|604:6000	1021:10000	1001:10000
3003	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3004	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3005	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3006	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3007	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3011	1	3:10000	2:0|41:4000|602:6000	101:0|121:4000|604:6000	1021:10000	1001:10000
3012	1	3:10000	2:0|41:4000|602:6000	101:0|121:4000|604:6000	1021:10000	1001:10000
3013	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3014	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3015	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3016	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3017	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3021	1	3:10000	2:0|41:4000|602:6000	101:0|121:4000|604:6000	1021:10000	1001:10000
3022	1	3:10000	2:0|41:4000|602:6000	101:0|121:4000|604:6000	1021:10000	1001:10000
3023	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3024	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3025	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3026	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3027	1	3:10000	221:0|261:4000|602:6000	281:0|321:4000|604:6000	1161:10000	1141:10000
3001	2	3:10000	2:1000|41:5000|602:4000	101:1000|121:5000|604:4000	1021:10000	1001:10000
3002	2	3:10000	2:1000|41:5000|602:4000	101:1000|121:5000|604:4000	1021:10000	1001:10000
3003	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3004	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3005	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3006	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3007	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3011	2	3:10000	2:1000|41:5000|602:4000	101:1000|121:5000|604:4000	1021:10000	1001:10000
3012	2	3:10000	2:1000|41:5000|602:4000	101:1000|121:5000|604:4000	1021:10000	1001:10000
3013	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3014	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3015	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3016	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3017	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3021	2	3:10000	2:1000|41:5000|602:4000	101:1000|121:5000|604:4000	1021:10000	1001:10000
3022	2	3:10000	2:1000|41:5000|602:4000	101:1000|121:5000|604:4000	1021:10000	1001:10000
3023	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3024	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3025	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3026	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3027	2	3:10000	221:1000|261:5000|602:4000	281:1000|321:5000|604:4000	1161:10000	1141:10000
3001	3	3:10000	2:2000|41:6000|602:2000	101:2000|121:6000|604:2000	1021:10000	1001:10000
3002	3	3:10000	2:2000|41:6000|602:2000	101:2000|121:6000|604:2000	1021:10000	1001:10000
3003	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3004	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3005	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3006	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3007	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3011	3	3:10000	2:2000|41:6000|602:2000	101:2000|121:6000|604:2000	1021:10000	1001:10000
3012	3	3:10000	2:2000|41:6000|602:2000	101:2000|121:6000|604:2000	1021:10000	1001:10000
3013	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3014	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3015	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3016	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3017	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3021	3	3:10000	2:2000|41:6000|602:2000	101:2000|121:6000|604:2000	1021:10000	1001:10000
3022	3	3:10000	2:2000|41:6000|602:2000	101:2000|121:6000|604:2000	1021:10000	1001:10000
3023	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3024	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3025	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3026	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3027	3	3:10000	221:2000|261:6000|602:2000	281:2000|321:6000|604:2000	1161:10000	1141:10000
3001	4	3:10000	2:3000|41:7000|602:0	101:3000|121:7000|604:0	1021:10000	1001:10000
3002	4	3:10000	2:3000|41:7000|602:0	101:3000|121:7000|604:0	1021:10000	1001:10000
3003	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3004	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3005	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3006	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3007	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3011	4	3:10000	2:3000|41:7000|602:0	101:3000|121:7000|604:0	1021:10000	1001:10000
3012	4	3:10000	2:3000|41:7000|602:0	101:3000|121:7000|604:0	1021:10000	1001:10000
3013	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3014	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3015	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3016	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3017	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3021	4	3:10000	2:3000|41:7000|602:0	101:3000|121:7000|604:0	1021:10000	1001:10000
3022	4	3:10000	2:3000|41:7000|602:0	101:3000|121:7000|604:0	1021:10000	1001:10000
3023	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3024	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3025	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3026	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3027	4	3:10000	221:3000|261:7000|602:0	281:3000|321:7000|604:0	1161:10000	1141:10000
3001	5	4:10000	2:10000|41:0|602:0	101:10000|121:0|604:0	1021:10000	1001:10000
3002	5	4:10000	2:10000|41:0|602:0	101:10000|121:0|604:0	1021:10000	1001:10000
3003	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3004	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3005	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3006	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3007	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3011	5	4:10000	2:10000|41:0|602:0	101:10000|121:0|604:0	1021:10000	1001:10000
3012	5	4:10000	2:10000|41:0|602:0	101:10000|121:0|604:0	1021:10000	1001:10000
3013	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3014	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3015	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3016	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3017	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3021	5	4:10000	2:10000|41:0|602:0	101:10000|121:0|604:0	1021:10000	1001:10000
3022	5	4:10000	2:10000|41:0|602:0	101:10000|121:0|604:0	1021:10000	1001:10000
3023	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3024	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3025	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3026	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
3027	5	4:10000	221:10000|261:0|602:0	281:10000|321:0|604:0	1161:10000	1141:10000
2031	1	1:10000	1:0|22:0|601:10000	101:0|122:0|604:10000	-1	-1
2032	1	1:10000	1:0|22:0|601:10000	101:0|122:0|604:10000	-1	-1
2033	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2034	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2035	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2036	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2037	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2041	1	1:10000	1:0|22:0|601:10000	101:0|122:0|604:10000	-1	-1
2042	1	1:10000	1:0|22:0|601:10000	101:0|122:0|604:10000	-1	-1
2043	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2044	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2045	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2046	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2047	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2051	1	1:10000	1:0|22:0|601:10000	101:0|122:0|604:10000	-1	-1
2052	1	1:10000	1:0|22:0|601:10000	101:0|122:0|604:10000	-1	-1
2053	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2054	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2055	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2056	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2057	1	1:10000	201:0|242:0|601:10000	281:0|322:0|604:10000	-1	-1
2031	2	1:10000	1:0|22:10000|601:0	101:0|122:10000|604:0	-1	-1
2032	2	1:10000	1:0|22:10000|601:0	101:0|122:10000|604:0	-1	-1
2033	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2034	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2035	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2036	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2037	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2041	2	1:10000	1:0|22:10000|601:0	101:0|122:10000|604:0	-1	-1
2042	2	1:10000	1:0|22:10000|601:0	101:0|122:10000|604:0	-1	-1
2043	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2044	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2045	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2046	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2047	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2051	2	1:10000	1:0|22:10000|601:0	101:0|122:10000|604:0	-1	-1
2052	2	1:10000	1:0|22:10000|601:0	101:0|122:10000|604:0	-1	-1
2053	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2054	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2055	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2056	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2057	2	1:10000	201:0|242:10000|601:0	281:0|322:10000|604:0	-1	-1
2031	3	1:5000|2:5000	1:1000|22:3000|601:6000	101:1000|122:3000|604:6000	-1	-1
2032	3	1:5000|2:5000	1:1000|22:3000|601:6000	101:1000|122:3000|604:6000	-1	-1
2033	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2034	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2035	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2036	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2037	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2041	3	1:5000|2:5000	1:1000|22:3000|601:6000	101:1000|122:3000|604:6000	-1	-1
2042	3	1:5000|2:5000	1:1000|22:3000|601:6000	101:1000|122:3000|604:6000	-1	-1
2043	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2044	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2045	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2046	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2047	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2051	3	1:5000|2:5000	1:1000|22:3000|601:6000	101:1000|122:3000|604:6000	-1	-1
2052	3	1:5000|2:5000	1:1000|22:3000|601:6000	101:1000|122:3000|604:6000	-1	-1
2053	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2054	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2055	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2056	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2057	3	1:5000|2:5000	201:1000|242:3000|601:6000	281:1000|322:3000|604:6000	-1	-1
2031	4	1:5000|2:5000	1:3000|22:3000|601:4000	101:3000|122:3000|604:4000	-1	-1
2032	4	1:5000|2:5000	1:3000|22:3000|601:4000	101:3000|122:3000|604:4000	-1	-1
2033	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2034	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2035	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2036	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2037	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2041	4	1:5000|2:5000	1:3000|22:3000|601:4000	101:3000|122:3000|604:4000	-1	-1
2042	4	1:5000|2:5000	1:3000|22:3000|601:4000	101:3000|122:3000|604:4000	-1	-1
2043	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2044	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2045	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2046	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2047	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2051	4	1:5000|2:5000	1:3000|22:3000|601:4000	101:3000|122:3000|604:4000	-1	-1
2052	4	1:5000|2:5000	1:3000|22:3000|601:4000	101:3000|122:3000|604:4000	-1	-1
2053	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2054	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
