INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
21	击晕Lv1	2	21	1	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	-5	0	0	1	5000	0	100	205	350	0	-1	-1	-1	-1	-1	0	1	0	6035	6203	0	1	2	-1	2	3	2	5:0	0	1	0	0	0	0	0	0
22	击晕Lv2	2	21	1	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	-5	0	0	1	5500	0	100	205	350	0	-1	-1	-1	-1	-1	0	1	0	6035	6203	0	1	2	-1	2	3	2	5:0	0	1	0	0	0	0	0	0
23	击晕Lv3	2	21	1	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	-5	0	0	1	6000	0	100	205	350	0	-1	-1	-1	-1	-1	0	1	0	6035	6203	0	1	2	-1	2	3	2	5:0	0	1	0	0	0	0	0	0
24	击晕Lv4	2	21	1	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	-5	0	0	1	6500	0	100	205	350	0	-1	-1	-1	-1	-1	0	1	0	6035	6203	0	1	2	-1	2	3	2	5:0	0	1	0	0	0	0	0	0
25	击晕Lv5	2	21	1	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	-5	0	0	1	7000	0	100	205	350	0	-1	-1	-1	-1	-1	0	1	0	6035	6203	0	1	2	-1	2	3	2	5:0	0	1	0	0	0	0	0	0
26	击晕Lv6	2	21	1	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	-5	0	0	1	8000	0	100	206	350	0	-1	-1	-1	-1	-1	0	1	0	6035	6203	0	1	2	-1	2	3	2	5:0	0	1	0	0	0	0	0	0
27	击晕Lv7	2	21	1	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	-5	0	0	1	8500	0	100	205	350	0	-1	-1	-1	-1	-1	0	1	0	6035	6203	0	1	2	-1	2	3	2	5:0	0	1	0	0	0	0	0	0
28	击晕Lv8	2	21	1	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	-5	0	0	1	9000	0	100	205	350	0	-1	-1	-1	-1	-1	0	1	0	6035	6203	0	1	2	-1	2	3	2	5:0	0	1	0	0	0	0	0	0
29	击晕Lv9	2	21	1	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	-5	0	0	1	9500	0	100	205	350	0	-1	-1	-1	-1	-1	0	1	0	6035	6203	0	1	2	-1	2	3	2	5:0	0	1	0	0	0	0	0	0
30	击晕Lv10	2	21	1	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	-5	0	0	1	12000	0	100	207	350	0	-1	-1	-1	-1	-1	0	1	0	6035	6203	0	1	2	-1	2	3	2	5:0	0	1	0	0	0	0	0	0
41	十步一杀Lv1	3	41	1	0	9	3	4	0	6	0	22	-1	2000	-1	-1	1	30000	0	0	0	1	1	2000	0	0	0	400	0	-1	-1	-1	-1	-1	2	2	0	6507	6203	0	1	6	ShiBuYiSha	1	6	2	5:0	0	0	0	0	0	1	0	0
42	十步一杀Lv2	3	41	1	0	9	3	4	0	6	0	22	-1	2000	-1	-1	1	30000	0	0	0	1	1	2200	0	0	0	400	0	-1	-1	-1	-1	-1	2	2	0	6507	6203	0	1	6	ShiBuYiSha	1	6	2	5:0	0	0	0	0	0	1	0	0
43	十步一杀Lv3	3	41	1	0	9	3	4	0	6	0	22	-1	2000	-1	-1	1	30000	0	0	0	1	1	2400	0	0	0	400	0	-1	-1	-1	-1	-1	2	2	0	6507	6203	0	1	6	ShiBuYiSha	1	6	2	5:0	0	0	0	0	0	1	0	0
44	十步一杀Lv4	3	41	1	0	9	3	4	0	6	0	22	-1	2000	-1	-1	1	30000	0	0	0	1	1	2700	0	0	0	400	0	-1	-1	-1	-1	-1	2	2	0	6507	6203	0	1	6	ShiBuYiSha	1	6	2	5:0	0	0	0	0	0	1	0	0
45	十步一杀Lv5	3	41	1	0	9	3	4	0	6	0	22	-1	2000	-1	-1	1	30000	0	0	0	1	1	3000	0	0	0	400	0	-1	-1	-1	-1	-1	2	2	0	6507	6203	0	1	6	ShiBuYiSha	1	6	2	5:0	0	0	0	0	0	1	0	0
46	十步一杀Lv6	3	41	1	0	9	3	4	0	6	0	22	-1	2000	-1	-1	1	30000	0	0	0	1	1	3300	0	0	0	400	0	-1	-1	-1	-1	-1	2	2	0	6507	6203	0	1	6	ShiBuYiSha	1	7	2	5:0	0	0	0	0	0	1	0	0
47	十步一杀Lv7	3	41	1	0	9	3	4	0	6	0	22	-1	2000	-1	-1	1	30000	0	0	0	1	1	3700	0	0	0	400	0	-1	-1	-1	-1	-1	2	2	0	6507	6203	0	1	6	ShiBuYiSha	1	7	2	5:0	0	0	0	0	0	1	0	0
48	十步一杀Lv8	3	41	1	0	9	3	4	0	6	0	22	-1	2000	-1	-1	1	30000	0	0	0	1	1	4100	0	0	0	400	0	-1	-1	-1	-1	-1	2	2	0	6507	6203	0	1	6	ShiBuYiSha	1	7	2	5:0	0	0	0	0	0	1	0	0
49	十步一杀Lv9	3	41	1	0	9	3	4	0	6	0	22	-1	2000	-1	-1	1	30000	0	0	0	1	1	4500	0	0	0	400	0	-1	-1	-1	-1	-1	2	2	0	6507	6203	0	1	6	ShiBuYiSha	1	7	2	5:0	0	0	0	0	0	1	0	0
50	十步一杀Lv10	3	41	1	0	9	3	4	0	6	0	22	-1	2000	-1	-1	1	30000	0	0	0	1	1	5000	0	0	0	400	0	-1	-1	-1	-1	-1	2	2	0	6507	6203	0	1	6	ShiBuYiSha	1	8	2	5:0	0	0	0	0	0	1	0	0
61	旋风斩Lv1	4	61	1	0	3	0	4	3	1	1	22	1371	3000	-1	-1	5	1000	0	75	0	0	0	0	0	100	1001	350	0	-1	-1	-1	-1	-1	0	1	0	6047	6203	0	1	4	PuGong	2	3	2	-1	0	0	0	0	0	0	0	0
62	旋风斩Lv2	4	61	1	0	3	0	4	3	1	1	22	1372	3000	-1	-1	5	1000	0	75	0	0	0	0	0	100	1002	350	0	-1	-1	-1	-1	-1	0	1	0	6047	6203	0	1	4	PuGong	2	3	2	-1	0	0	0	0	0	0	0	0
63	旋风斩Lv3	4	61	1	0	3	0	4	3	1	1	22	1373	3000	-1	-1	5	1000	0	75	0	0	0	0	0	100	1003	350	0	-1	-1	-1	-1	-1	0	1	0	6047	6203	0	1	4	PuGong	2	3	2	-1	0	0	0	0	0	0	0	0
64	旋风斩Lv4	4	61	1	0	3	0	4	3	1	1	22	1374	3000	-1	-1	5	1000	0	75	0	0	0	0	0	100	1004	350	0	-1	-1	-1	-1	-1	0	1	0	6047	6203	0	1	4	PuGong	2	3	2	-1	0	0	0	0	0	0	0	0
65	旋风斩Lv5	4	61	1	0	3	0	4	3	1	1	22	1375	3000	-1	-1	5	1000	0	75	0	0	0	0	0	100	1005	350	0	-1	-1	-1	-1	-1	0	1	0	6047	6203	0	1	4	PuGong	2	3	2	-1	0	0	0	0	0	0	0	0
66	旋风斩Lv6	4	61	1	0	3	0	4	3	1	1	22	1376	3000	-1	-1	5	1000	0	75	0	0	0	0	0	100	1006	350	0	-1	-1	-1	-1	-1	0	1	0	6047	6203	0	1	4	PuGong	2	3	2	-1	0	0	0	0	0	0	0	0
67	旋风斩Lv7	4	61	1	0	3	0	4	3	1	1	22	1377	3000	-1	-1	5	1000	0	75	0	0	0	0	0	100	1007	350	0	-1	-1	-1	-1	-1	0	1	0	6047	6203	0	1	4	PuGong	2	3	2	-1	0	0	0	0	0	0	0	0
68	旋风斩Lv8	4	61	1	0	3	0	4	3	1	1	22	1378	3000	-1	-1	5	1000	0	75	0	0	0	0	0	100	1008	350	0	-1	-1	-1	-1	-1	0	1	0	6047	6203	0	1	4	PuGong	2	3	2	-1	0	0	0	0	0	0	0	0
69	旋风斩Lv9	4	61	1	0	3	0	4	3	1	1	22	1379	3000	-1	-1	5	1000	0	75	0	0	0	0	0	100	1009	350	0	-1	-1	-1	-1	-1	0	1	0	6047	6203	0	1	4	PuGong	2	3	2	-1	0	0	0	0	0	0	0	0
70	旋风斩Lv10	4	61	1	0	3	0	4	3	1	1	22	1380	3000	-1	-1	5	1000	0	75	0	0	0	0	0	100	1010	350	0	-1	-1	-1	-1	-1	0	1	0	6047	6203	0	1	4	PuGong	2	3	2	-1	0	0	0	0	0	0	0	0
71	加速陷阱	-1	3000	0	0	1	3	2	0	6	1	22	-1	100000	-1	-1	0	1000	0	0	0	0	0	0	0	100	903	0	0	-1	-1	-1	-1	-1	0	1	0	5037	5037	0	0	0	-1	1	3	2	-1	0	0	0	0	0	0	0	0
72	加防陷阱	-1	3000	0	0	1	3	2	0	6	1	22	-1	100000	-1	-1	0	1000	0	0	0	0	0	0	0	100	178	0	0	-1	-1	-1	-1	-1	0	1	0	5037	5037	0	0	0	-1	1	3	2	-1	0	0	0	0	0	0	0	0
73	加攻陷阱	-1	3000	0	0	1	3	2	0	6	1	22	-1	100000	-1	-1	0	1000	0	0	0	0	0	0	0	100	177	0	0	-1	-1	-1	-1	-1	0	1	0	5037	5037	0	0	0	-1	1	3	2	-1	0	0	0	0	0	0	0	0
74	自爆	-1	3000	0	0	3	1	2	0	6	0	22	-1	1000	-1	-1	0	1000	0	0	0	0	1	50000	0	100	197	0	0	-1	-1	-1	-1	-1	0	1	0	5037	5037	0	0	0	-1	1	3	2	-1	0	0	0	0	0	0	0	0
151	战斗之吼Lv1	11	151	1	0	3	3	4	3	4	0	22	-1	1000	-1	-1	1	5500	0	-5	0	0	1	8000	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6034	6204	0	1	2	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
152	战斗之吼Lv2	11	151	1	0	3	3	4	3	4	0	22	-1	1000	-1	-1	1	5500	0	-5	0	0	1	8500	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6034	6204	0	1	2	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
153	战斗之吼Lv3	11	151	1	0	3	3	4	3	4	0	22	-1	1000	-1	-1	1	5500	0	-5	0	0	1	9000	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6034	6204	0	1	2	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
154	战斗之吼Lv4	11	151	1	0	3	3	4	3	4	0	22	-1	1000	-1	-1	1	5500	0	-5	0	0	1	9500	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6034	6204	0	1	2	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
155	战斗之吼Lv5	11	151	1	0	3	3	4	3	4	0	22	-1	1000	-1	-1	1	5500	0	-5	0	0	1	10000	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6034	6204	0	1	2	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
156	战斗之吼Lv6	11	151	1	0	3	3	4	3	4	0	22	-1	1000	-1	-1	1	5500	0	-5	0	0	1	34680	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6034	6204	0	1	2	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
157	战斗之吼Lv7	11	151	1	0	3	3	4	3	4	0	22	-1	1000	-1	-1	1	5500	0	-5	0	0	1	38060	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6034	6204	0	1	2	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
158	战斗之吼Lv8	11	151	1	0	3	3	4	3	4	0	22	-1	1000	-1	-1	1	5500	0	-5	0	0	1	41440	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6034	6204	0	1	2	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
159	战斗之吼Lv9	11	151	1	0	3	3	4	3	4	0	22	-1	1000	-1	-1	1	5500	0	-5	0	0	1	44830	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6034	6204	0	1	2	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
160	战斗之吼Lv10	11	151	1	0	3	3	4	3	4	0	22	-1	1000	-1	-1	1	5500	0	-5	0	0	1	51590	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6034	6204	0	1	2	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
171	警示之吼Lv1	12	171	1	0	3	10	6	3	5	1	22	-1	2000	-1	-1	1	20000	0	0	0	0	0	0	0	100	1101	350	0	-1	-1	-1	-1	-1	0	2	0	6036	6204	0	1	5	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
172	警示之吼Lv2	12	171	1	0	3	10	6	3	5	1	22	-1	2000	-1	-1	1	20000	0	0	0	0	0	0	0	100	1102	350	0	-1	-1	-1	-1	-1	0	2	0	6036	6204	0	1	5	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
173	警示之吼Lv3	12	171	1	0	3	10	6	3	5	1	22	-1	2000	-1	-1	1	20000	0	0	0	0	0	0	0	100	1103	350	0	-1	-1	-1	-1	-1	0	2	0	6036	6204	0	1	5	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
174	警示之吼Lv4	12	171	1	0	3	10	6	3	5	1	22	-1	2000	-1	-1	1	20000	0	0	0	0	0	0	0	100	1104	350	0	-1	-1	-1	-1	-1	0	2	0	6036	6204	0	1	5	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
175	警示之吼Lv5	12	171	1	0	3	10	6	3	5	1	22	-1	2000	-1	-1	1	20000	0	0	0	0	0	0	0	100	1105	350	0	-1	-1	-1	-1	-1	0	2	0	6036	6204	0	1	5	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
176	警示之吼Lv6	12	171	1	0	3	10	6	3	5	1	22	-1	2000	-1	-1	1	20000	0	0	0	0	0	0	0	100	1106	350	0	-1	-1	-1	-1	-1	0	2	0	6036	6204	0	1	5	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
177	警示之吼Lv7	12	171	1	0	3	10	6	3	5	1	22	-1	2000	-1	-1	1	20000	0	0	0	0	0	0	0	100	1107	350	0	-1	-1	-1	-1	-1	0	2	0	6036	6204	0	1	5	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
178	警示之吼Lv8	12	171	1	0	3	10	6	3	5	1	22	-1	2000	-1	-1	1	20000	0	0	0	0	0	0	0	100	1108	350	0	-1	-1	-1	-1	-1	0	2	0	6036	6204	0	1	5	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
179	警示之吼Lv9	12	171	1	0	3	10	6	3	5	1	22	-1	2000	-1	-1	1	20000	0	0	0	0	0	0	0	100	1109	350	0	-1	-1	-1	-1	-1	0	2	0	6036	6204	0	1	5	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
180	警示之吼Lv10	12	171	1	0	3	10	6	3	5	1	22	-1	2000	-1	-1	1	20000	0	0	0	0	0	0	0	100	1110	350	0	-1	-1	-1	-1	-1	0	2	0	6036	6204	0	1	5	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
191	血性之吼Lv1	13	191	1	0	3	10	6	3	5	1	22	-1	1000	-1	-1	1	1500	0	-5	0	0	0	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6037	6204	0	1	3	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
192	血性之吼Lv2	13	191	1	0	3	10	6	3	5	1	22	-1	1000	-1	-1	1	1500	0	-5	0	0	0	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6037	6204	0	1	3	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
193	血性之吼Lv3	13	191	1	0	3	10	6	3	5	1	22	-1	1000	-1	-1	1	1500	0	-5	0	0	0	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6037	6204	0	1	3	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
194	血性之吼Lv4	13	191	1	0	3	10	6	3	5	1	22	-1	1000	-1	-1	1	1500	0	-5	0	0	0	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6037	6204	0	1	3	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
195	血性之吼Lv5	13	191	1	0	3	10	6	3	5	1	22	-1	1000	-1	-1	1	1500	0	-5	0	0	0	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6037	6204	0	1	3	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
196	血性之吼Lv6	13	191	1	0	3	10	6	3	5	1	22	-1	1000	-1	-1	1	1500	0	-5	0	0	0	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6037	6204	0	1	3	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
197	血性之吼Lv7	13	191	1	0	3	10	6	3	5	1	22	-1	1000	-1	-1	1	1500	0	-5	0	0	0	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6037	6204	0	1	3	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
198	血性之吼Lv8	13	191	1	0	3	10	6	3	5	1	22	-1	1000	-1	-1	1	1500	0	-5	0	0	0	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6037	6204	0	1	3	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
199	血性之吼Lv9	13	191	1	0	3	10	6	3	5	1	22	-1	1000	-1	-1	1	1500	0	-5	0	0	0	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6037	6204	0	1	3	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
200	血性之吼Lv10	13	191	1	0	3	10	6	3	5	1	22	-1	1000	-1	-1	1	1500	0	-5	0	0	0	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6037	6204	0	1	3	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
211	狂暴怒吼Lv1	14	211	1	0	3	3	5	3	6	0	22	-1	1000	-1	-1	1	1000	0	90	0	0	1	8000	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6038	6204	0	1	6	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
212	狂暴怒吼Lv2	14	211	1	0	3	3	5	3	6	0	22	-1	1000	-1	-1	1	1000	0	90	0	0	1	8500	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6038	6204	0	1	6	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
213	狂暴怒吼Lv3	14	211	1	0	3	3	5	3	6	0	22	-1	1000	-1	-1	1	1000	0	90	0	0	1	9000	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6038	6204	0	1	6	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
214	狂暴怒吼Lv4	14	211	1	0	3	3	5	3	6	0	22	-1	1000	-1	-1	1	1000	0	90	0	0	1	9500	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6038	6204	0	1	6	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
215	狂暴怒吼Lv5	14	211	1	0	3	3	5	3	6	0	22	-1	1000	-1	-1	1	1000	0	90	0	0	1	10000	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6038	6204	0	1	6	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
216	狂暴怒吼Lv6	14	211	1	0	3	3	5	3	6	0	22	-1	1000	-1	-1	1	1000	0	90	0	0	1	41800	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6038	6204	0	1	6	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
217	狂暴怒吼Lv7	14	211	1	0	3	3	5	3	6	0	22	-1	1000	-1	-1	1	1000	0	90	0	0	1	46200	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6038	6204	0	1	6	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
218	狂暴怒吼Lv8	14	211	1	0	3	3	5	3	6	0	22	-1	1000	-1	-1	1	1000	0	90	0	0	1	50600	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6038	6204	0	1	6	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
219	狂暴怒吼Lv9	14	211	1	0	3	3	5	3	6	0	22	-1	1000	-1	-1	1	1000	0	90	0	0	1	55100	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6038	6204	0	1	6	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
220	狂暴怒吼Lv10	14	211	1	0	3	3	5	3	6	0	22	-1	1000	-1	-1	1	1000	0	90	0	0	1	63900	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	6038	6204	0	1	6	ZhanDouZhiHou	1	3	2	5:0	0	1	300	0	0	0	0	0
301	圣光斩Lv1	21	301	1	0	8	1	0	0	1	0	0	-1	1000	-1	-1	1	350	300	-2	0	0	6	8000	0	0	0	350	0	-1	-1	-1	-1	-1	0	1	0	6039	6205	0	1	1	ShengGuangZhan	2	8	2	5:6044	1	1	300	0	0	0	0	0
302	圣光斩Lv2	21	301	1	0	8	1	0	0	1	0	0	-1	1000	-1	-1	1	350	300	-2	0	0	6	8500	0	0	0	350	0	-1	-1	-1	-1	-1	0	1	0	6039	6205	0	1	1	ShengGuangZhan	2	8	2	5:6044	1	1	300	0	0	0	0	0
303	圣光斩Lv3	21	301	1	0	8	1	0	0	1	0	0	-1	1000	-1	-1	1	350	300	-2	0	0	6	9000	0	0	0	350	0	-1	-1	-1	-1	-1	0	1	0	6039	6205	0	1	1	ShengGuangZhan	2	8	2	5:6044	1	1	300	0	0	0	0	0
304	圣光斩Lv4	21	301	1	0	8	1	0	0	1	0	0	-1	1000	-1	-1	1	350	300	-2	0	0	6	9500	0	0	0	350	0	-1	-1	-1	-1	-1	0	1	0	6039	6205	0	1	1	ShengGuangZhan	2	8	2	5:6044	1	1	300	0	0	0	0	0
305	圣光斩Lv5	21	301	1	0	8	1	0	0	1	0	0	-1	1000	-1	-1	1	350	300	-2	0	0	6	10000	0	0	0	350	0	-1	-1	-1	-1	-1	0	1	0	6039	6205	0	1	1	ShengGuangZhan	2	8	2	5:6044	1	1	300	0	0	0	0	0
306	圣光斩Lv6	21	301	1	0	8	1	0	0	1	0	0	-1	1000	-1	-1	1	350	300	-2	0	0	6	35600	0	0	0	350	0	-1	-1	-1	-1	-1	0	1	0	6039	6205	0	1	1	ShengGuangZhan	2	8	2	5:6044	1	1	300	0	0	0	0	0
307	圣光斩Lv7	21	301	1	0	8	1	0	0	1	0	0	-1	1000	-1	-1	1	350	300	-2	0	0	6	39100	0	0	0	350	0	-1	-1	-1	-1	-1	0	1	0	6039	6205	0	1	1	ShengGuangZhan	2	8	2	5:6044	1	1	300	0	0	0	0	0
308	圣光斩Lv8	21	301	1	0	8	1	0	0	1	0	0	-1	1000	-1	-1	1	350	300	-2	0	0	6	42600	0	0	0	350	0	-1	-1	-1	-1	-1	0	1	0	6039	6205	0	1	1	ShengGuangZhan	2	8	2	5:6044	1	1	300	0	0	0	0	0
309	圣光斩Lv9	21	301	1	0	8	1	0	0	1	0	0	-1	1000	-1	-1	1	350	300	-2	0	0	6	46100	0	0	0	350	0	-1	-1	-1	-1	-1	0	1	0	6039	6205	0	1	1	ShengGuangZhan	2	8	2	5:6044	1	1	300	0	0	0	0	0
310	圣光斩Lv10	21	301	1	0	8	1	0	0	1	0	0	-1	1000	-1	-1	1	350	300	-2	0	0	6	53200	0	0	0	350	0	-1	-1	-1	-1	-1	0	1	0	6039	6205	0	1	1	ShengGuangZhan	2	8	2	5:6044	1	1	300	0	0	0	0	0
