INT	INT	INT	INT	INT	STRING	INT	STRING	STRING
36	0	0	1000000	1	1:247400|41:6182|42:3709	0	XinMo	1:14900|41:373|42:223
37	0	0	1060000	1	1:263000|41:6571|42:3942	0	XinMo	1:15600|41:389|42:233
38	0	0	1123000	1	1:279200|41:6976|42:4186	0	XinMo	1:16200|41:405|42:244
39	0	0	1189000	1	1:296100|41:7399|42:4440	0	XinMo	1:16900|41:423|42:254
40	0	0	1258000	1	1:313700|41:7840|42:4704	545	XinMo	1:17600|41:441|42:264
41	0	0	1332000	2	1:332100|41:8299|42:4979	0	XinMo	1:18400|41:459|42:275
42	0	0	1408000	2	1:351200|41:8776|42:5266	0	XinMo	1:19100|41:477|42:287
43	0	0	1489000	2	1:371100|41:9273|42:5564	0	XinMo	1:19900|41:497|42:298
44	0	0	1575000	2	1:391800|41:9790|42:5874	0	XinMo	1:20700|41:517|42:310
45	0	0	1664000	2	1:413300|41:10328|42:6197	0	XinMo	1:21500|41:538|42:323
46	0	0	1758000	2	1:435600|41:10887|42:6532	0	XinMo	1:22300|41:559|42:335
47	0	0	1858000	2	1:458800|41:11467|42:6880	0	XinMo	1:23200|41:580|42:348
48	0	0	1962000	2	1:482900|41:12070|42:7242	0	XinMo	1:24100|41:603|42:362
49	0	0	2072000	2	1:507900|41:12696|42:7618	0	XinMo	1:25000|41:626|42:376
50	0	0	2188000	2	1:533900|41:13346|42:8008	545	XinMo	1:26000|41:650|42:390
51	0	0	2309000	3	1:560900|41:14021|42:8412	0	XinMo	1:27000|41:675|42:404
52	0	0	2437000	3	1:588900|41:14721|42:8832	0	XinMo	1:28000|41:700|42:420
53	0	0	2572000	3	1:617900|41:15446|42:9268	0	XinMo	1:29000|41:725|42:436
54	0	0	2713000	3	1:648000|41:16199|42:9719	0	XinMo	1:30100|41:753|42:451
55	0	0	2863000	3	1:679200|41:16979|42:10188	0	XinMo	1:31200|41:780|42:469
56	0	0	3019000	3	1:711600|41:17788|42:10673	0	XinMo	1:32400|41:809|42:485
57	0	0	3184000	3	1:745100|41:18626|42:11176	0	XinMo	1:33500|41:838|42:503
58	0	0	3358000	3	1:779800|41:19494|42:11697	0	XinMo	1:34700|41:868|42:521
59	0	0	3541000	3	1:815800|41:20394|42:12236	0	XinMo	1:36000|41:900|42:539
60	0	0	3733000	3	1:853100|41:21325|42:12795	545	XinMo	1:37300|41:931|42:559
61	0	0	3935000	4	1:891700|41:22290|42:13374	0	XinMo	1:38600|41:965|42:579
62	0	0	4148000	4	1:931600|41:23288|42:13973	0	XinMo	1:39900|41:998|42:599
63	0	0	4372000	4	1:972900|41:24321|42:14593	0	XinMo	1:41300|41:1033|42:620
64	0	0	4608000	4	1:1015700|41:25391|42:15234	0	XinMo	1:42800|41:1070|42:641
65	0	0	4856000	4	1:1060000|41:26497|42:15898	0	XinMo	1:44300|41:1106|42:664
66	0	0	5117000	4	1:1105800|41:27642|42:16585	0	XinMo	1:45800|41:1145|42:687
67	0	0	5391000	4	1:1153200|41:28826|42:17296	0	XinMo	1:47400|41:1184|42:711
68	0	0	5680000	4	1:1202200|41:30051|42:18031	0	XinMo	1:49000|41:1225|42:735
69	0	0	5984000	4	1:1252900|41:31318|42:18791	0	XinMo	1:50700|41:1267|42:760
70	0	0	6304000	4	1:1305300|41:32627|42:19576	545	XinMo	1:52400|41:1309|42:785
71	0	0	6640000	5	1:1359500|41:33981|42:20389	0	XinMo	1:54200|41:1354|42:813
72	0	0	6994000	5	1:1415500|41:35381|42:21228	0	XinMo	1:56000|41:1400|42:839
73	0	0	7367000	5	1:1473400|41:36827|42:22096	0	XinMo	1:57900|41:1446|42:868
74	0	0	7759000	5	1:1533200|41:38323|42:22994	0	XinMo	1:59800|41:1496|42:898
75	0	0	8171000	5	1:1595000|41:39868|42:23921	0	XinMo	1:61800|41:1545|42:927
76	0	0	8605000	5	1:1658900|41:41464|42:24878	0	XinMo	1:63900|41:1596|42:957
77	0	0	9062000	5	1:1724900|41:43113|42:25868	0	XinMo	1:66000|41:1649|42:990
78	0	0	9542000	5	1:1793100|41:44817|42:26890	0	XinMo	1:68200|41:1704|42:1022
79	0	0	10048000	5	1:1863500|41:46577|42:27946	0	XinMo	1:70400|41:1760|42:1056
80	0	0	10580000	5	1:1936200|41:48395|42:29037	545	XinMo	1:72700|41:1818|42:1091
81	0	0	11139000	6	1:2011300|41:50273|42:30164	0	XinMo	1:75100|41:1878|42:1127
82	0	0	11728000	6	1:2088900|41:52211|42:31327	0	XinMo	1:77600|41:1938|42:1163
83	0	0	12348000	6	1:2169000|41:54213|42:32528	0	XinMo	1:80100|41:2002|42:1201
84	0	0	13000000	6	1:2251700|41:56281|42:33768	0	XinMo	1:82700|41:2068|42:1240
85	0	0	13686000	6	1:2337100|41:58415|42:35049	0	XinMo	1:85400|41:2134|42:1281
86	0	0	14408000	6	1:2425200|41:60618|42:36371	0	XinMo	1:88100|41:2203|42:1322
87	0	0	15167000	6	1:2516200|41:62893|42:37736	0	XinMo	1:91000|41:2275|42:1365
88	0	0	15966000	6	1:2610100|41:65240|42:39144	0	XinMo	1:93900|41:2347|42:1408
89	0	0	16807000	6	1:2707000|41:67664|42:40598	0	XinMo	1:96900|41:2424|42:1454
90	0	0	17692000	6	1:2807000|41:70165|42:42099	545	XinMo	1:100000|41:2501|42:1501
91	0	0	18623000	7	1:2910200|41:72746|42:43647	0	XinMo	1:103200|41:2581|42:1548
92	0	0	19602000	7	1:3016700|41:75409|42:45246	0	XinMo	1:106500|41:2663|42:1599
93	0	0	20633000	7	1:3126600|41:78158|42:46895	0	XinMo	1:109900|41:2749|42:1649
94	0	0	21718000	7	1:3240000|41:80994|42:48596	0	XinMo	1:113400|41:2836|42:1701
95	0	0	22859000	7	1:3357000|41:83920|42:50352	0	XinMo	1:117000|41:2926|42:1756
96	0	0	24059000	7	1:3477800|41:86939|42:52163	0	XinMo	1:120800|41:3019|42:1811
97	0	0	25323000	7	1:3602400|41:90053|42:54032	0	XinMo	1:124600|41:3114|42:1869
98	0	0	26652000	7	1:3730900|41:93266|42:55960	0	XinMo	1:128500|41:3213|42:1928
99	0	0	28051000	7	1:3863500|41:96581|42:57949	0	XinMo	1:132600|41:3315|42:1989
100	0	0	30000000	7	1:4000000|41:100000|42:60000	545	XinMo	1:136800|41:3419|42:2051
