INT	INT	INT	INT	INT	INT
146	147	37600	40	50	178540
147	148	37700	40	50	178560
148	149	37800	40	50	178580
149	150	37900	40	50	178600
150	151	38000	40	50	178620
151	152	38100	40	50	178640
152	153	38200	40	50	178660
153	154	38300	40	50	178680
154	155	38400	40	50	178700
155	156	38500	40	50	178720
156	157	38600	40	50	178740
157	158	38700	40	50	178760
158	159	38800	40	50	178780
159	160	38900	40	50	178800
160	161	39000	40	50	178820
161	162	39100	40	50	178840
162	163	39200	40	50	178860
163	164	39300	40	50	178880
164	165	39400	40	50	178900
165	166	39500	40	50	178920
166	167	39600	40	50	178940
167	168	39700	40	50	178960
168	169	39800	40	50	178980
169	170	39900	40	50	179000
170	171	40000	40	50	179020
171	172	40100	40	50	179040
172	173	40200	40	50	179060
173	174	40300	40	50	179080
174	175	40400	40	50	179100
175	176	40500	40	50	179120
176	177	40600	40	50	179140
177	178	40700	40	50	179160
178	179	40800	40	50	179180
179	180	40900	40	50	179200
180	181	41000	40	50	179220
181	182	41100	40	50	179240
182	183	41200	40	50	179260
183	184	41300	40	50	179280
184	185	41400	40	50	179300
185	186	41500	40	50	179320
186	187	41600	40	50	179340
187	188	41700	40	50	179360
188	189	41800	40	50	179380
189	190	41900	40	50	179400
190	191	42000	40	50	179420
191	192	42100	40	50	179440
192	193	42200	40	50	179460
193	194	42300	40	50	179480
194	195	42400	40	50	179500
195	196	42500	40	50	179520
196	197	42600	40	50	179540
197	198	42700	40	50	179560
198	199	42800	40	50	179580
199	200	42900	40	50	179600
200	201	43000	40	50	179620
201	202	43100	40	50	179640
202	203	43200	40	50	179660
203	204	43300	40	50	179680
204	205	43400	40	50	179700
205	206	43500	40	50	179720
206	207	43600	40	50	179740
207	208	43700	40	50	179760
208	209	43800	40	50	179780
209	210	43900	40	50	179800
210	211	44000	40	50	179820
211	212	44100	40	50	179840
212	213	44200	40	50	179860
213	214	44300	40	50	179880
214	215	44400	40	50	179900
215	216	44500	40	50	179920
216	217	44600	40	50	179940
217	218	44700	40	50	179960
218	219	44800	40	50	179980
219	220	44900	40	50	180000
220	221	45000	40	50	180020
221	222	45100	40	50	180040
222	223	45200	40	50	180060
223	224	45300	40	50	180080
224	225	45400	40	50	180100
225	226	45500	40	50	180120
226	227	45600	40	50	180140
227	228	45700	40	50	180160
228	229	45800	40	50	180180
229	230	45900	40	50	180200
230	231	46000	40	50	180220
231	232	46100	40	50	180240
232	233	46200	40	50	180260
233	234	46300	40	50	180280
234	235	46400	40	50	180300
235	236	46500	40	50	180320
236	237	46600	40	50	180340
237	238	46700	40	50	180360
238	239	46800	40	50	180380
239	240	46900	40	50	180400
240	241	47000	40	50	180420
241	242	47100	40	50	180440
242	243	47200	40	50	180460
243	244	47300	40	50	180480
244	245	47400	40	50	180500
245	246	47500	40	50	180520
246	247	47600	40	50	180540
247	248	47700	40	50	180560
248	249	47800	40	50	180580
249	250	47900	40	50	180600
250	251	48000	40	50	180620
251	252	48100	40	50	180640
252	253	48200	40	50	180660
253	254	48300	40	50	180680
254	255	48400	40	50	180700
255	256	48500	40	50	180720
256	257	48600	40	50	180740
257	258	48700	40	50	180760
258	259	48800	40	50	180780
259	260	48900	40	50	180800
260	261	49000	40	50	180820
261	262	49100	40	50	180840
262	263	49200	40	50	180860
263	264	49300	40	50	180880
264	265	49400	40	50	180900
265	266	49500	40	50	180920
266	267	49600	40	50	180940
267	268	49700	40	50	180960
268	269	49800	40	50	180980
269	270	49900	40	50	181000
270	271	50000	40	50	181020
271	272	50100	40	50	181040
272	273	50200	40	50	181060
273	274	50300	40	50	181080
274	275	50400	40	50	181100
275	276	50500	40	50	181120
276	277	50600	40	50	181140
277	278	50700	40	50	181160
278	279	50800	40	50	181180
279	280	50900	40	50	181200
280	281	51000	40	50	181220
281	282	51100	40	50	181240
282	283	51200	40	50	181260
283	284	51300	40	50	181280
284	285	51400	40	50	181300
285	286	51500	40	50	181320
286	287	51600	40	50	181340
287	288	51700	40	50	181360
288	289	51800	40	50	181380
289	290	51900	40	50	181400
290	291	52000	40	50	181420
291	292	52100	40	50	181440
292	293	52200	40	50	181460
293	294	52300	40	50	181480
294	295	52400	40	50	181500
295	296	52500	40	50	181520
296	297	52600	40	50	181540
297	298	52700	40	50	181560
298	299	52800	40	50	181580
299	300	52900	40	50	181600
300	301	53000	40	50	181620
301	302	53100	40	50	181640
302	303	53200	40	50	181660
303	304	53300	40	50	181680
304	305	53400	40	50	181700
305	306	53500	40	50	181720
306	307	53600	40	50	181740
307	308	53700	40	50	181760
308	309	53800	40	50	181780
309	310	53900	40	50	181800
310	311	54000	40	50	181820
311	312	54100	40	50	181840
312	313	54200	40	50	181860
313	314	54300	40	50	181880
314	315	54400	40	50	181900
315	316	54500	40	50	181920
316	317	54600	40	50	181940
317	318	54700	40	50	181960
318	319	54800	40	50	181980
319	320	54900	40	50	182000
320	321	55000	40	50	182020
321	322	55100	40	50	182040
322	323	55200	40	50	182060
323	324	55300	40	50	182080
324	325	55400	40	50	182100
325	326	55500	40	50	182120
326	327	55600	40	50	182140
327	328	55700	40	50	182160
328	329	55800	40	50	182180
329	330	55900	40	50	182200
330	331	56000	40	50	182220
331	332	56100	40	50	182240
332	333	56200	40	50	182260
333	334	56300	40	50	182280
334	335	56400	40	50	182300
335	336	56500	40	50	182320
336	337	56600	40	50	182340
337	338	56700	40	50	182360
338	339	56800	40	50	182380
339	340	56900	40	50	182400
340	341	57000	40	50	182420
341	342	57100	40	50	182440
342	343	57200	40	50	182460
343	344	57300	40	50	182480
344	345	57400	40	50	182500
345	346	57500	40	50	182520
346	347	57600	40	50	182540
347	348	57700	40	50	182560
348	349	57800	40	50	182580
349	350	57900	40	50	182600
350	351	58000	40	50	182620
351	352	58100	40	50	182640
352	353	58200	40	50	182660
353	354	58300	40	50	182680
354	355	58400	40	50	182700
355	356	58500	40	50	182720
356	357	58600	40	50	182740
357	358	58700	40	50	182760
358	359	58800	40	50	182780
359	360	58900	40	50	182800
360	361	59000	40	50	182820
361	362	59100	40	50	182840
362	363	59200	40	50	182860
363	364	59300	40	50	182880
364	365	59400	40	50	182900
365	366	59500	40	50	182920
366	367	59600	40	50	182940
367	368	59700	40	50	182960
368	369	59800	40	50	182980
369	370	59900	40	50	183000
370	371	60000	40	50	183020
371	372	60100	40	50	183040
372	373	60200	40	50	183060
373	374	60300	40	50	183080
374	375	60400	40	50	183100
375	376	60500	40	50	183120
376	377	60600	40	50	183140
377	378	60700	40	50	183160
378	379	60800	40	50	183180
379	380	60900	40	50	183200
380	381	61000	40	50	183220
381	382	61100	40	50	183240
382	383	61200	40	50	183260
383	384	61300	40	50	183280
384	385	61400	40	50	183300
385	386	61500	40	50	183320
386	387	61600	40	50	183340
387	388	61700	40	50	183360
388	389	61800	40	50	183380
389	390	61900	40	50	183400
390	391	62000	40	50	183420
391	392	62100	40	50	183440
392	393	62200	40	50	183460
393	394	62300	40	50	183480
394	395	62400	40	50	183500
395	396	62500	40	50	183520
396	397	62600	40	50	183540
397	398	62700	40	50	183560
398	399	62800	40	50	183580
399	400	62900	40	50	183600
400	401	63000	40	50	183620
401	402	63100	40	50	183640
402	403	63200	40	50	183660
403	404	63300	40	50	183680
404	405	63400	40	50	183700
405	406	63500	40	50	183720
406	407	63600	40	50	183740
407	408	63700	40	50	183760
408	409	63800	40	50	183780
409	410	63900	40	50	183800
410	411	64000	40	50	183820
411	412	64100	40	50	183840
412	413	64200	40	50	183860
413	414	64300	40	50	183880
414	415	64400	40	50	183900
415	416	64500	40	50	183920
416	417	64600	40	50	183940
417	418	64700	40	50	183960
418	419	64800	40	50	183980
419	420	64900	40	50	184000
420	421	65000	40	50	184020
421	422	65100	40	50	184040
422	423	65200	40	50	184060
423	424	65300	40	50	184080
424	425	65400	40	50	184100
425	426	65500	40	50	184120
426	427	65600	40	50	184140
427	428	65700	40	50	184160
428	429	65800	40	50	184180
429	430	65900	40	50	184200
430	431	66000	40	50	184220
431	432	66100	40	50	184240
432	433	66200	40	50	184260
433	434	66300	40	50	184280
434	435	66400	40	50	184300
435	436	66500	40	50	184320
436	437	66600	40	50	184340
437	438	66700	40	50	184360
438	439	66800	40	50	184380
439	440	66900	40	50	184400
440	441	67000	40	50	184420
441	442	67100	40	50	184440
442	443	67200	40	50	184460
443	444	67300	40	50	184480
444	445	67400	40	50	184500
445	446	67500	40	50	184520
446	447	67600	40	50	184540
447	448	67700	40	50	184560
448	449	67800	40	50	184580
449	450	67900	40	50	184600
450	451	68000	40	50	184620
451	452	68100	40	50	184640
452	453	68200	40	50	184660
453	454	68300	40	50	184680
454	455	68400	40	50	184700
455	456	68500	40	50	184720
456	457	68600	40	50	184740
457	458	68700	40	50	184760
458	459	68800	40	50	184780
459	460	68900	40	50	184800
460	461	69000	40	50	184820
461	462	69100	40	50	184840
462	463	69200	40	50	184860
463	464	69300	40	50	184880
464	465	69400	40	50	184900
465	466	69500	40	50	184920
466	467	69600	40	50	184940
467	468	69700	40	50	184960
468	469	69800	40	50	184980
469	470	69900	40	50	185000
470	471	70000	40	50	185020
471	472	70100	40	50	185040
472	473	70200	40	50	185060
473	474	70300	40	50	185080
474	475	70400	40	50	185100
475	476	70500	40	50	185120
476	477	70600	40	50	185140
477	478	70700	40	50	185160
478	479	70800	40	50	185180
479	480	70900	40	50	185200
480	481	71000	40	50	185220
481	482	71100	40	50	185240
482	483	71200	40	50	185260
483	484	71300	40	50	185280
484	485	71400	40	50	185300
485	486	71500	40	50	185320
486	487	71600	40	50	185340
487	488	71700	40	50	185360
488	489	71800	40	50	185380
489	490	71900	40	50	185400
490	491	72000	40	50	185420
491	492	72100	40	50	185440
492	493	72200	40	50	185460
493	494	72300	40	50	185480
494	495	72400	40	50	185500
495	496	72500	40	50	185520
496	497	72600	40	50	185540
497	498	72700	40	50	185560
498	499	72800	40	50	185580
499	500	72900	40	50	185600
500	501	73000	40	50	185620
501	502	73100	40	50	185640
502	503	73200	40	50	185660
503	504	73300	40	50	185680
504	505	73400	40	50	185700
505	506	73500	40	50	185720
506	507	73600	40	50	185740
507	508	73700	40	50	185760
508	509	73800	40	50	185780
509	510	73900	40	50	185800
510	511	74000	40	50	185820
511	512	74100	40	50	185840
512	513	74200	40	50	185860
513	514	74300	40	50	185880
514	515	74400	40	50	185900
515	516	74500	40	50	185920
516	517	74600	40	50	185940
517	518	74700	40	50	185960
518	519	74800	40	50	185980
519	520	74900	40	50	186000
520	521	75000	40	50	186020
521	522	75100	40	50	186040
522	523	75200	40	50	186060
523	524	75300	40	50	186080
524	525	75400	40	50	186100
525	526	75500	40	50	186120
526	527	75600	40	50	186140
527	528	75700	40	50	186160
528	529	75800	40	50	186180
529	530	75900	40	50	186200
530	531	76000	40	50	186220
531	532	76100	40	50	186240
532	533	76200	40	50	186260
533	534	76300	40	50	186280
534	535	76400	40	50	186300
535	536	76500	40	50	186320
536	537	76600	40	50	186340
537	538	76700	40	50	186360
538	539	76800	40	50	186380
539	540	76900	40	50	186400
540	541	77000	40	50	186420
541	542	77100	40	50	186440
542	543	77200	40	50	186460
543	544	77300	40	50	186480
544	545	77400	40	50	186500
545	546	77500	40	50	186520
546	547	77600	40	50	186540
547	548	77700	40	50	186560
548	549	77800	40	50	186580
549	550	77900	40	50	186600
550	551	78000	40	50	186620
551	552	78100	40	50	186640
552	553	78200	40	50	186660
553	554	78300	40	50	186680
554	555	78400	40	50	186700
555	556	78500	40	50	186720
556	557	78600	40	50	186740
557	558	78700	40	50	186760
558	559	78800	40	50	186780
559	560	78900	40	50	186800
560	561	79000	40	50	186820
561	562	79100	40	50	186840
562	563	79200	40	50	186860
563	564	79300	40	50	186880
564	565	79400	40	50	186900
565	566	79500	40	50	186920
566	567	79600	40	50	186940
567	568	79700	40	50	186960
568	569	79800	40	50	186980
569	570	79900	40	50	187000
570	571	80000	40	50	187020
571	572	80100	40	50	187040
572	573	80200	40	50	187060
573	574	80300	40	50	187080
574	575	80400	40	50	187100
575	576	80500	40	50	187120
576	577	80600	40	50	187140
577	578	80700	40	50	187160
578	579	80800	40	50	187180
579	580	80900	40	50	187200
580	581	81000	40	50	187220
581	582	81100	40	50	187240
582	583	81200	40	50	187260
583	584	81300	40	50	187280
584	585	81400	40	50	187300
585	586	81500	40	50	187320
586	587	81600	40	50	187340
587	588	81700	40	50	187360
588	589	81800	40	50	187380
589	590	81900	40	50	187400
590	591	82000	40	50	187420
591	592	82100	40	50	187440
592	593	82200	40	50	187460
593	594	82300	40	50	187480
594	595	82400	40	50	187500
595	596	82500	40	50	187520
596	597	82600	40	50	187540
597	598	82700	40	50	187560
598	599	82800	40	50	187580
599	600	82900	40	50	187600
600	601	83000	40	50	187620
601	602	83100	40	50	187640
602	603	83200	40	50	187660
603	604	83300	40	50	187680
604	605	83400	40	50	187700
605	606	83500	40	50	187720
606	607	83600	40	50	187740
607	608	83700	40	50	187760
608	609	83800	40	50	187780
609	610	83900	40	50	187800
610	611	84000	40	50	187820
611	612	84100	40	50	187840
612	613	84200	40	50	187860
613	614	84300	40	50	187880
614	615	84400	40	50	187900
615	616	84500	40	50	187920
616	617	84600	40	50	187940
617	618	84700	40	50	187960
618	619	84800	40	50	187980
619	620	84900	40	50	188000
620	621	85000	40	50	188020
621	622	85100	40	50	188040
622	623	85200	40	50	188060
623	624	85300	40	50	188080
624	625	85400	40	50	188100
625	626	85500	40	50	188120
626	627	85600	40	50	188140
627	628	85700	40	50	188160
628	629	85800	40	50	188180
629	630	85900	40	50	188200
630	631	86000	40	50	188220
631	632	86100	40	50	188240
632	633	86200	40	50	188260
633	634	86300	40	50	188280
634	635	86400	40	50	188300
635	636	86500	40	50	188320
636	637	86600	40	50	188340
637	638	86700	40	50	188360
638	639	86800	40	50	188380
639	640	86900	40	50	188400
640	641	87000	40	50	188420
641	642	87100	40	50	188440
642	643	87200	40	50	188460
643	644	87300	40	50	188480
644	645	87400	40	50	188500
645	646	87500	40	50	188520
646	647	87600	40	50	188540
647	648	87700	40	50	188560
648	649	87800	40	50	188580
649	650	87900	40	50	188600
650	651	88000	40	50	188620
651	652	88100	40	50	188640
652	653	88200	40	50	188660
653	654	88300	40	50	188680
654	655	88400	40	50	188700
655	656	88500	40	50	188720
656	657	88600	40	50	188740
657	658	88700	40	50	188760
658	659	88800	40	50	188780
659	660	88900	40	50	188800
660	661	89000	40	50	188820
661	662	89100	40	50	188840
662	663	89200	40	50	188860
663	664	89300	40	50	188880
664	665	89400	40	50	188900
665	666	89500	40	50	188920
666	667	89600	40	50	188940
667	668	89700	40	50	188960
668	669	89800	40	50	188980
669	670	89900	40	50	189000
670	671	90000	40	50	189020
671	672	90100	40	50	189040
672	673	90200	40	50	189060
673	674	90300	40	50	189080
674	675	90400	40	50	189100
675	676	90500	40	50	189120
676	677	90600	40	50	189140
677	678	90700	40	50	189160
678	679	90800	40	50	189180
679	680	90900	40	50	189200
680	681	91000	40	50	189220
681	682	91100	40	50	189240
682	683	91200	40	50	189260
683	684	91300	40	50	189280
684	685	91400	40	50	189300
685	686	91500	40	50	189320
686	687	91600	40	50	189340
687	688	91700	40	50	189360
688	689	91800	40	50	189380
689	690	91900	40	50	189400
690	691	92000	40	50	189420
691	692	92100	40	50	189440
692	693	92200	40	50	189460
693	694	92300	40	50	189480
694	695	92400	40	50	189500
695	696	92500	40	50	189520
696	697	92600	40	50	189540
697	698	92700	40	50	189560
698	699	92800	40	50	189580
699	700	92900	40	50	189600
700	701	93000	40	50	189620
701	702	93100	40	50	189640
702	703	93200	40	50	189660
703	704	93300	40	50	189680
704	705	93400	40	50	189700
705	706	93500	40	50	189720
706	707	93600	40	50	189740
707	708	93700	40	50	189760
708	709	93800	40	50	189780
709	710	93900	40	50	189800
710	711	94000	40	50	189820
711	712	94100	40	50	189840
712	713	94200	40	50	189860
713	714	94300	40	50	189880
714	715	94400	40	50	189900
715	716	94500	40	50	189920
716	717	94600	40	50	189940
717	718	94700	40	50	189960
718	719	94800	40	50	189980
719	720	94900	40	50	190000
720	721	95000	40	50	190020
721	722	95100	40	50	190040
722	723	95200	40	50	190060
723	724	95300	40	50	190080
724	725	95400	40	50	190100
725	726	95500	40	50	190120
726	727	95600	40	50	190140
727	728	95700	40	50	190160
728	729	95800	40	50	190180
729	730	95900	40	50	190200
730	731	96000	40	50	190220
731	732	96100	40	50	190240
732	733	96200	40	50	190260
733	734	96300	40	50	190280
734	735	96400	40	50	190300
735	736	96500	40	50	190320
736	737	96600	40	50	190340
737	738	96700	40	50	190360
738	739	96800	40	50	190380
739	740	96900	40	50	190400
740	741	97000	40	50	190420
741	742	97100	40	50	190440
742	743	97200	40	50	190460
743	744	97300	40	50	190480
744	745	97400	40	50	190500
745	746	97500	40	50	190520
746	747	97600	40	50	190540
747	748	97700	40	50	190560
748	749	97800	40	50	190580
749	750	97900	40	50	190600
750	751	98000	40	50	190620
751	752	98100	40	50	190640
752	753	98200	40	50	190660
753	754	98300	40	50	190680
754	755	98400	40	50	190700
755	756	98500	40	50	190720
756	757	98600	40	50	190740
757	758	98700	40	50	190760
758	759	98800	40	50	190780
759	760	98900	40	50	190800
760	761	99000	40	50	190820
761	762	99100	40	50	190840
762	763	99200	40	50	190860
763	764	99300	40	50	190880
764	765	99400	40	50	190900
765	766	99500	40	50	190920
766	767	99600	40	50	190940
767	768	99700	40	50	190960
768	769	99800	40	50	190980
769	770	99900	40	50	191000
770	771	100000	40	50	191020
771	772	100100	40	50	191040
772	773	100200	40	50	191060
773	774	100300	40	50	191080
774	775	100400	40	50	191100
775	776	100500	40	50	191120
776	777	100600	40	50	191140
777	778	100700	40	50	191160
778	779	100800	40	50	191180
779	780	100900	40	50	191200
780	781	101000	40	50	191220
781	782	101100	40	50	191240
782	783	101200	40	50	191260
783	784	101300	40	50	191280
784	785	101400	40	50	191300
785	786	101500	40	50	191320
786	787	101600	40	50	191340
787	788	101700	40	50	191360
788	789	101800	40	50	191380
789	790	101900	40	50	191400
790	791	102000	40	50	191420
791	792	102100	40	50	191440
792	793	102200	40	50	191460
793	794	102300	40	50	191480
794	795	102400	40	50	191500
795	796	102500	40	50	191520
796	797	102600	40	50	191540
797	798	102700	40	50	191560
798	799	102800	40	50	191580
799	800	102900	40	50	191600
800	801	103000	40	50	191620
801	802	103100	40	50	191640
802	803	103200	40	50	191660
803	804	103300	40	50	191680
804	805	103400	40	50	191700
805	806	103500	40	50	191720
806	807	103600	40	50	191740
807	808	103700	40	50	191760
808	809	103800	40	50	191780
809	810	103900	40	50	191800
810	811	104000	40	50	191820
811	812	104100	40	50	191840
812	813	104200	40	50	191860
813	814	104300	40	50	191880
814	815	104400	40	50	191900
815	816	104500	40	50	191920
816	817	104600	40	50	191940
817	818	104700	40	50	191960
818	819	104800	40	50	191980
819	820	104900	40	50	192000
820	821	105000	40	50	192020
821	822	105100	40	50	192040
822	823	105200	40	50	192060
823	824	105300	40	50	192080
824	825	105400	40	50	192100
825	826	105500	40	50	192120
826	827	105600	40	50	192140
827	828	105700	40	50	192160
828	829	105800	40	50	192180
829	830	105900	40	50	192200
830	831	106000	40	50	192220
831	832	106100	40	50	192240
832	833	106200	40	50	192260
833	834	106300	40	50	192280
834	835	106400	40	50	192300
835	836	106500	40	50	192320
836	837	106600	40	50	192340
837	838	106700	40	50	192360
838	839	106800	40	50	192380
839	840	106900	40	50	192400
840	841	107000	40	50	192420
841	842	107100	40	50	192440
842	843	107200	40	50	192460
843	844	107300	40	50	192480
844	845	107400	40	50	192500
845	846	107500	40	50	192520
846	847	107600	40	50	192540
847	848	107700	40	50	192560
848	849	107800	40	50	192580
849	850	107900	40	50	192600
850	851	108000	40	50	192620
851	852	108100	40	50	192640
852	853	108200	40	50	192660
853	854	108300	40	50	192680
854	855	108400	40	50	192700
855	856	108500	40	50	192720
856	857	108600	40	50	192740
857	858	108700	40	50	192760
858	859	108800	40	50	192780
859	860	108900	40	50	192800
860	861	109000	40	50	192820
861	862	109100	40	50	192840
862	863	109200	40	50	192860
863	864	109300	40	50	192880
864	865	109400	40	50	192900
865	866	109500	40	50	192920
866	867	109600	40	50	192940
867	868	109700	40	50	192960
868	869	109800	40	50	192980
869	870	109900	40	50	193000
870	871	110000	40	50	193020
871	872	110100	40	50	193040
872	873	110200	40	50	193060
873	874	110300	40	50	193080
874	875	110400	40	50	193100
875	876	110500	40	50	193120
876	877	110600	40	50	193140
877	878	110700	40	50	193160
878	879	110800	40	50	193180
879	880	110900	40	50	193200
880	881	111000	40	50	193220
881	882	111100	40	50	193240
882	883	111200	40	50	193260
883	884	111300	40	50	193280
884	885	111400	40	50	193300
885	886	111500	40	50	193320
886	887	111600	40	50	193340
887	888	111700	40	50	193360
888	889	111800	40	50	193380
889	890	111900	40	50	193400
890	891	112000	40	50	193420
891	892	112100	40	50	193440
892	893	112200	40	50	193460
893	894	112300	40	50	193480
894	895	112400	40	50	193500
895	896	112500	40	50	193520
896	897	112600	40	50	193540
897	898	112700	40	50	193560
898	899	112800	40	50	193580
899	900	112900	40	50	193600
900	901	113000	40	50	193620
901	902	113100	40	50	193640
902	903	113200	40	50	193660
903	904	113300	40	50	193680
904	905	113400	40	50	193700
905	906	113500	40	50	193720
906	907	113600	40	50	193740
907	908	113700	40	50	193760
908	909	113800	40	50	193780
909	910	113900	40	50	193800
910	911	114000	40	50	193820
911	912	114100	40	50	193840
912	913	114200	40	50	193860
913	914	114300	40	50	193880
914	915	114400	40	50	193900
915	916	114500	40	50	193920
916	917	114600	40	50	193940
917	918	114700	40	50	193960
918	919	114800	40	50	193980
919	920	114900	40	50	194000
920	921	115000	40	50	194020
921	922	115100	40	50	194040
922	923	115200	40	50	194060
923	924	115300	40	50	194080
924	925	115400	40	50	194100
925	926	115500	40	50	194120
926	927	115600	40	50	194140
927	928	115700	40	50	194160
928	929	115800	40	50	194180
929	930	115900	40	50	194200
930	931	116000	40	50	194220
931	932	116100	40	50	194240
932	933	116200	40	50	194260
933	934	116300	40	50	194280
934	935	116400	40	50	194300
935	936	116500	40	50	194320
936	937	116600	40	50	194340
937	938	116700	40	50	194360
938	939	116800	40	50	194380
939	940	116900	40	50	194400
940	941	117000	40	50	194420
941	942	117100	40	50	194440
942	943	117200	40	50	194460
943	944	117300	40	50	194480
944	945	117400	40	50	194500
945	946	117500	40	50	194520
946	947	117600	40	50	194540
947	948	117700	40	50	194560
948	949	117800	40	50	194580
949	950	117900	40	50	194600
950	951	118000	40	50	194620
951	952	118100	40	50	194640
952	953	118200	40	50	194660
953	954	118300	40	50	194680
954	955	118400	40	50	194700
955	956	118500	40	50	194720
956	957	118600	40	50	194740
957	958	118700	40	50	194760
958	959	118800	40	50	194780
959	960	118900	40	50	194800
960	961	119000	40	50	194820
961	962	119100	40	50	194840
962	963	119200	40	50	194860
963	964	119300	40	50	194880
964	965	119400	40	50	194900
965	966	119500	40	50	194920
966	967	119600	40	50	194940
967	968	119700	40	50	194960
968	969	119800	40	50	194980
969	970	119900	40	50	195000
970	971	120000	40	50	195020
971	972	120100	40	50	195040
972	973	120200	40	50	195060
973	974	120300	40	50	195080
974	975	120400	40	50	195100
975	976	120500	40	50	195120
976	977	120600	40	50	195140
977	978	120700	40	50	195160
978	979	120800	40	50	195180
979	980	120900	40	50	195200
980	981	121000	40	50	195220
981	982	121100	40	50	195240
982	983	121200	40	50	195260
983	984	121300	40	50	195280
984	985	121400	40	50	195300
985	986	121500	40	50	195320
986	987	121600	40	50	195340
987	988	121700	40	50	195360
988	989	121800	40	50	195380
989	990	121900	40	50	195400
990	991	122000	40	50	195420
991	992	122100	40	50	195440
992	993	122200	40	50	195460
993	994	122300	40	50	195480
994	995	122400	40	50	195500
995	996	122500	40	50	195520
996	997	122600	40	50	195540
997	998	122700	40	50	195560
