INT	STRING	STRING	STRING	STRING
14	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
15	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
16	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
17	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
18	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
19	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
20	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
21	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
22	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
23	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
24	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
25	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
26	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
27	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
28	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
29	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
30	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
31	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
32	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
33	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
34	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
35	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
36	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
37	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
38	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
39	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
40	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
41	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
42	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
43	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
44	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
45	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
46	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
47	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
48	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
49	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
50	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
51	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
52	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
53	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
54	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
55	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
56	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
57	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
58	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
59	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
60	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
61	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
62	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
63	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
64	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
65	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
66	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
67	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
68	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
69	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
70	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
71	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
72	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
73	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
74	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
75	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
76	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
77	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
78	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
79	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
80	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
81	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
