INT	INT	INT	INT	STRING	INT	STRING	INT
33	6	90	9	九霄器灵	650	jiuxiao	708
33	7	105	9	九霄器灵	750	jiuxiao	708
33	8	120	9	九霄器灵	900	jiuxiao	708
33	9	135	9	九霄器灵	1100	jiuxiao	708
33	10	150	10	九霄器灵	1300	jiuxiao	708
33	11	195	10	九霄器灵	2050	jiuxiao	708
33	12	240	10	九霄器灵	2400	jiuxiao	708
33	13	285	10	九霄器灵	2900	jiuxiao	708
33	14	330	10	九霄器灵	3400	jiuxiao	708
33	15	375	11	九霄器灵	4050	jiuxiao	708
33	16	420	11	九霄器灵	4850	jiuxiao	708
33	17	465	11	九霄器灵	5750	jiuxiao	708
33	18	510	11	九霄器灵	6850	jiuxiao	708
33	19	555	11	九霄器灵	8150	jiuxiao	708
33	20	600	12	九霄器灵	9700	jiuxiao	708
33	21	690	12	九霄器灵	15900	jiuxiao	708
33	22	780	12	九霄器灵	18900	jiuxiao	708
33	23	870	12	九霄器灵	22500	jiuxiao	708
33	24	960	12	九霄器灵	26800	jiuxiao	708
33	25	1050	13	九霄器灵	31900	jiuxiao	708
33	26	1140	13	九霄器灵	37950	jiuxiao	708
33	27	1230	13	九霄器灵	45150	jiuxiao	708
33	28	1320	13	九霄器灵	53700	jiuxiao	708
33	29	1410	13	九霄器灵	63950	jiuxiao	708
33	30	1500	14	九霄器灵	76100	jiuxiao	708
33	31	1650	14	九霄器灵	123450	jiuxiao	708
33	32	1800	14	九霄器灵	146900	jiuxiao	708
33	33	1950	14	九霄器灵	174800	jiuxiao	708
33	34	2100	14	九霄器灵	208050	jiuxiao	708
33	35	2250	15	九霄器灵	247550	jiuxiao	708
33	36	2400	15	九霄器灵	294600	jiuxiao	708
33	37	2550	15	九霄器灵	350600	jiuxiao	708
33	38	2700	15	九霄器灵	417200	jiuxiao	708
33	39	2850	15	九霄器灵	496450	jiuxiao	708
33	40	3000	16	九霄器灵	590800	jiuxiao	708
34	1	15	0	救赎器灵	250	jiushu	709
34	2	30	0	救赎器灵	300	jiushu	709
34	3	45	0	救赎器灵	400	jiushu	709
34	4	60	0	救赎器灵	450	jiushu	709
34	5	75	9	救赎器灵	550	jiushu	709
34	6	90	9	救赎器灵	650	jiushu	709
34	7	105	9	救赎器灵	750	jiushu	709
34	8	120	9	救赎器灵	900	jiushu	709
34	9	135	9	救赎器灵	1100	jiushu	709
34	10	150	10	救赎器灵	1300	jiushu	709
34	11	195	10	救赎器灵	2050	jiushu	709
34	12	240	10	救赎器灵	2400	jiushu	709
34	13	285	10	救赎器灵	2900	jiushu	709
34	14	330	10	救赎器灵	3400	jiushu	709
34	15	375	11	救赎器灵	4050	jiushu	709
34	16	420	11	救赎器灵	4850	jiushu	709
34	17	465	11	救赎器灵	5750	jiushu	709
34	18	510	11	救赎器灵	6850	jiushu	709
34	19	555	11	救赎器灵	8150	jiushu	709
34	20	600	12	救赎器灵	9700	jiushu	709
34	21	690	12	救赎器灵	15900	jiushu	709
34	22	780	12	救赎器灵	18900	jiushu	709
34	23	870	12	救赎器灵	22500	jiushu	709
34	24	960	12	救赎器灵	26800	jiushu	709
34	25	1050	13	救赎器灵	31900	jiushu	709
34	26	1140	13	救赎器灵	37950	jiushu	709
34	27	1230	13	救赎器灵	45150	jiushu	709
34	28	1320	13	救赎器灵	53700	jiushu	709
34	29	1410	13	救赎器灵	63950	jiushu	709
34	30	1500	14	救赎器灵	76100	jiushu	709
34	31	1650	14	救赎器灵	123450	jiushu	709
34	32	1800	14	救赎器灵	146900	jiushu	709
34	33	1950	14	救赎器灵	174800	jiushu	709
34	34	2100	14	救赎器灵	208050	jiushu	709
34	35	2250	15	救赎器灵	247550	jiushu	709
34	36	2400	15	救赎器灵	294600	jiushu	709
34	37	2550	15	救赎器灵	350600	jiushu	709
34	38	2700	15	救赎器灵	417200	jiushu	709
34	39	2850	15	救赎器灵	496450	jiushu	709
34	40	3000	16	救赎器灵	590800	jiushu	709
