INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT
602	10	0	1	冰冻	|冰封|#00FF00|4||秒，冰封期间不能移动。	0	5	4000	0	0	16	1	0	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
603	11	0	1	冰冻	|冰封|#00FF00|5.4||秒，冰封期间不能移动。	0	5	5400	0	0	16	1	0	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
701	12	0	1	晕眩	|进入|#00FF00|3.6||秒眩晕状态，不可使用任何技能。	0	2	3600	0	0	17	1	0	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
702	13	0	1	晕眩	|进入|#00FF00|4||秒眩晕状态，不可使用任何技能。	0	2	4000	0	0	17	1	0	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
801	14	0	1	减速	|降低速度|#00FF00|50||%，持续|#00FF00|5||秒。	0	0	5000	0	15:-5000:0	20	1	0	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
802	15	0	1	加速	|加快速度|#00FF00|50||%，持续|#00FF00|3||秒。	0	0	3000	0	15:5000:0	20	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
803	16	0	1	减速90	|降低速度|#00FF00|90||%，持续|#00FF00|5||秒。	0	0	5000	0	15:-9000:0	20	1	0	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
901	17	0	1	钢铁汽水	|恢复	1	0	100	90	0	36	0	0	1	0	0	0	10	0	0	0	0	0	0	-1	-1	-1	-1	0
902	18	0	1	钢铁汽水	|铜墙铁壁	1	0	10000	10000	6:0:1000	37	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
903	19	0	1	橘子汽水	|恢复	1	0	100	90	0	38	0	0	1	0	0	5000	0	0	0	0	0	0	0	-1	-1	-1	-1	0
904	20	0	1	橘子汽水	|暴击气泡	1	0	10000	10000	21:0:100	39	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
905	905	0	1	半小时攻击药水	|使用后增加伤害20%	1	0	1800000	0	4:2000:0|5:2000:0	39	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
120	19	0	1	生命天赋	|增加|#00FF00|%SZ1||生命值	1	0	600000	0	1:0:0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
121	20	0	1	物攻天赋	|增加|#00FF00|%SZ1||最大物攻	1	0	600000	0	6:0:0	18	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
122	21	0	1	魔攻天赋	|增加|#00FF00|%SZ1||最大魔攻	1	0	600000	0	8:0:0	19	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
123	22	0	1	物防天赋	|增加|#00FF00|%SZ1||物防	1	0	600000	0	9:0:0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
124	23	0	1	魔防天赋	|增加|#00FF00|%SZ1||魔防	1	0	600000	0	10	13	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
125	24	0	1	战斗力天赋	|增加|#00FF00|%SZ1||战斗力	1	0	600000	0	20	13	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
126	25	0	1	军团复仇	|在军团战活动中极大增加生命和伤害加成	1	0	1800000	0	1:10000:0|17:0:3000	13	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
127	26	0	1	灵魂链接	|每只出战幻兽替主人承受10%伤害。	1	28	1800000	0	0	13	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
128	27	0	1	魔甲护体	|增加|#00FF00|%SZ1||防御，增加|#00FF00|%SZ2||魔防	1	0	1800000	0	9:0:0|10	88	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
129	28	0	1	无敌	|犹如霸王附体，解除自身一切不良状态。	1	3	100	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
130	29	0	1	加速	|加速|#00FF00|30||%，持续|#00FF00|5||秒。	1	26	5000	5000	19:3000:0	20	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
131	30	0	1	减速	|减速|#00FF00|60||%，持续|#00FF00|5||秒。	0	6	5000	5000	19:-6000:0	20	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
132	31	0	1	晕睡	|晕睡|#00FF00|4||秒，晕睡期间不能移动。	0	2	4000	0	0	16	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
133	32	0	1	眩晕	|进入|#00FF00|1||秒眩晕状态，不可使用任何技能。	0	2	1000	0	0	17	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
134	33	0	1	眩晕	|进入|#00FF00|2.1||秒眩晕状态，不可使用任何技能。	0	2	2100	0	0	17	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
135	34	0	1	军团烈酒	|军团之光经验加成|#00FF00|100||%，持续|#00FF00|10||分钟。	1	0	600000	600000	0	82	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
136	35	0	1	飞天神驹	人物速度降低30%	1	6	1800000	1800000	19:-3000:0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
137	36	0	1	PK保护中	当前不会受到其他玩家的攻击\n切换为非和平模式会取消PK保护效果	1	0	5400000	0	0	50	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
150	37	0	1	断筋	无法移动，持续5秒，冷却时间30秒	0	30	5000	0	19:-10000:0	50	1	0	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
151	38	0	1	冰封	移动速度降低60%，持续5秒，冷却时间20秒	0	0	5000	0	19:-6000:0	50	1	2	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
152	39	0	1	灼伤	每秒造成200000烧伤伤害，持续5秒，冷却时间30秒	0	9	5000	1000	31:0:-200000	50	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
153	40	0	1	保护	强力保护，受到的伤害大幅降低	1	0	10000	10000	18:0:10000000	51	1	6	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
154	41	0	1	石化	变成石头无法行动，持续6秒	0	2	6000	6000	0	52	1	5	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
155	42	0	1	巫毒	受到巫毒效果，物防降低80%，每2秒减少最大生命的2%，持续10秒	0	0	10000	2000	9:-8000:0|31:-200:0	53	1	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
156	43	0	1	剧毒	受到剧毒效果，每2秒减少最大生命的5%，持续10秒	0	0	10000	2000	31:-500:0	54	1	3	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
157	44	0	1	寒毒	受到寒毒效果，移动速度下降80%，每2秒减少最大生命的5%，持续10秒	0	0	10000	2000	19:-8000:0|31:-500:0	55	1	2	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
158	45	0	1	灼伤	受到灼伤效果，每2秒减少最大生命的3%，持续10秒	0	9	10000	2000	31:-300:0	56	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
159	46	0	1	伤害加成	鼓舞伤害加成	1	0	900000	0	17:0:0	13	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
160	47	0	1	躲避追踪	持续时间内别人用追踪令将无法追踪到你的精确位置。	1	0	1800000	1800000	0	13	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
161	48	0	1	生命药水(小)	增加20%生命上限	1	0	600000	600000	1:2000:0	63	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
162	48	0	1	生命药水(大)	增加50%生命上限	1	0	600000	600000	1:5000:0	64	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
163	50	0	1	攻击药水(小)	增加20%伤害加成	1	0	600000	600000	17:0:2000	65	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
164	50	0	1	攻击药水(大)	增加50%伤害加成	1	0	600000	600000	17:0:5000	66	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
165	52	0	1	战斗力药水(小)	增加200点战斗力	1	0	600000	600000	20	67	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
166	52	0	1	战斗力药水(大)	增加500点战斗力	1	0	600000	600000	20	68	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
167	54	0	1	物防药水(小)	增加20%物防	1	0	600000	600000	9:2000:0	69	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
168	54	0	1	物防药水(大)	增加50%物防	1	0	600000	600000	9:5000:0	70	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
169	56	0	1	扛旗BUFF	移动速度降低50%	0	6	500000	500000	19:-5000:0	29	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
170	57	0	1	复仇BUFF	|伤害减免|#00FF00|%SZ1||%，伤害加成|#00FF00|%SZ2||%	1	0	1800000	1800000	18:0:0|17:0:0	83	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
171	58	0	1	战士克星	对战士伤害加成50%，受到战士伤害减免50%	1	0	500000	500000	0	84	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
172	59	0	1	法师克星	对法师伤害加成50%，受到法师伤害减免50%	1	0	500000	500000	0	84	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
173	60	0	1	龙骑克星	对龙骑伤害加成50%，受到龙骑伤害减免50%	1	0	500000	500000	0	84	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
174	61	0	1	黑暗降临	视野大幅度降低，持续时间10秒	0	10	10000	0	0	57	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
175	62	0	1	魔防药水(小)	增加20%魔防	1	0	600000	600000	10:2000:0	71	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
176	63	0	1	魔防药水(大)	增加50%魔防	1	0	600000	600000	10:5000:0	72	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
177	64	0	1	血脉之力	增加50%伤害，持续时间10秒	1	0	10000	10000	15:0:500	206	1	4	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
178	65	0	1	金属皮肤	皮肤暂时变成金属，受到伤害大幅降低，持续时间10秒	1	0	10000	10000	16:0:900	211	1	6	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
179	66	0	1	石化	变成一块石头无法行动，但物理防御大幅提高，持续时间10秒	0	8	10000	10000	6:0:500000|7:0:500000	52	1	5	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
180	67	0	1	沉睡	吃了安眠药睡着，被攻击恢复，持续时间10秒	0	6	10000	10000	0	17	1	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
181	68	0	1	冻疮	被寒冷冻气冻伤，移动速度下降80%，持续5秒	0	0	5000	5000	12:-8000:0	87	1	2	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
182	182	0	1	愈合	每秒恢复10%的血量,持续5秒	1	0	5000	1000	0	54	1	3	1	0	0	0	10	0	0	0	0	0	0	-1	-1	-1	-1	0
183	70	0	1	善之灵	受到善之灵祝福，恢复大量生命，持续3秒	1	33	10000	1000	31:0:500000	62	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
184	71	0	1	狂暴	怒气大涨，造成伤害提升500%，移动速度降低80%，持续20秒	1	0	20000	0	6:50000:0|19:-8000:0	80	1	4	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
185	72	0	1	复仇之血	被复仇的意志所控制，造成伤害提升200%，伤害减免提升50%	1	116	1800000	0	6:20000:0|5:20000:0	81	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
186	73	0	1	晕眩	被雪球砸晕了，暂时无法移动。	0	2	5000	0	0	17	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
187	74	0	1	钝化诅咒	受到钝化诅咒影响，物理攻击降低80%，持续20秒	0	35	20000	0	5:-8000:0|6:-8000:0	73	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
188	75	0	1	痛苦加剧	受到痛苦加剧效果，被攻击受到更多伤害，持续20秒	0	37	20000	0	9:-10000:0	61	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
189	76	0	1	重生十字章	可立即抵消一次死亡效果，立即满血重生人物和死亡的幻兽。升级十字章可降低重生冷却时间。	0	0	864000000	864000000	0	74	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
190	77	0	1	狂暴	怒气大涨，造成伤害提升500%，移动速度降低80%，持续20秒	1	0	20000	0	8:50000:0|19:-8000:0	80	1	4	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
191	78	0	1	物攻抗性	可以对物理攻击产生50%的减伤	1	0	600000	600000	25:0:50	85	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
192	79	0	1	魔攻抗性	可以对魔法攻击产生50%的减伤	1	0	600000	600000	26:0:50	86	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
193	80	0	1	冰封万里	|并造成减速|#00FF00|30||%，持续|#00FF00|4||秒。	0	6	4000	4000	19:-3000:0	87	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
194	52	0	1	战斗力药水(大)	增加500点战斗力	1	0	86400000	86400000	20	68	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
195	87	0	1	畏惧	受到攻击，移动速度降低95%	0	0	3000	3000	19:-9500:0	59	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
196	88	0	1	无敌	无敌状态，伤害大幅提高	1	0	30000	30000	18:0:10000000|17:0:10000000	60	1	6	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
197	197	0	1	自爆	造成30%当前血量伤害	0	0	100	100	0	206	0	1	0	10000	0	0	50	0	0	0	0	0	0	-1	-1	-1	-1	0
202	202	0	1	暗影愈合	每秒恢复基础伤害50%的血量	1	0	5000	1000	0	85	1	1	1	5000	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
203	203	0	1	眩晕	|进入|#00FF00|0.5||秒眩晕状态，不可使用任何技能。	0	1	500	0	0	17	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
204	204	0	2	眩晕	|进入|#00FF00|0.75||秒眩晕状态，不可使用任何技能。	0	1	750	0	0	17	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
205	205	0	3	眩晕	|进入|#00FF00|1.0||秒眩晕状态，不可使用任何技能。	0	1	1000	0	0	17	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
206	206	0	4	眩晕	|进入|#00FF00|1.5||秒眩晕状态，不可使用任何技能。	0	1	1500	0	0	17	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
207	207	0	5	眩晕	|进入|#00FF00|2||秒眩晕状态，不可使用任何技能。	0	1	2000	0	0	17	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
208	208	0	1	冰霜	移动速度降低30%，持续3秒	0	100	3000	0	33:-3000:0	50	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
209	208	0	2	冰霜	移动速度降低40%，持续3秒	0	100	3000	0	33:-4000:0	50	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
210	208	0	3	冰霜	移动速度降低50%，持续3秒	0	100	3000	0	33:-5000:0	50	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
211	211	0	1	冰冻	|进入|#00FF00|3||秒冰冻状态，可以使用技能但无法移动。	0	3	3000	0	0	17	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
212	212	0	1	伤害封印	伤害降低	0	0	3600000	0	4:-5000:0|5:-5000:0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
213	213	0	1	防御封印	防御降低	0	0	3600000	0	8:-8000:0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
214	214	0	1	血量封印	血量上限减少	0	0	3600000	0	1:-9000:0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
215	215	0	1	攻速1	攻击速度提升100	1	0	600000	0	34:0:100	17	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
216	216	0	1	攻速2	攻击速度提升300	1	0	600000	0	34:0:300	17	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
217	217	0	1	鼓舞1级	生命伤害提高10%	1	0	1800000	0	1:1000:0|4:1000:0|5:1000:0	80	1	3	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
218	217	0	2	鼓舞2级	生命伤害提高20%	1	0	1800000	0	1:2000:0|4:2000:0|5:2000:0	80	1	3	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
219	217	0	3	鼓舞3级	生命伤害提高30%	1	0	1800000	0	1:3000:0|4:3000:0|5:3000:0	80	1	2	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
220	220	0	1	新手守护	受到伤害大幅降低，持续时间30秒	1	0	30000	0	16:0:950	211	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
232	232	0	1	狼图腾	增加50%生命上限	1	0	1800000	0	1:5000:0	209	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
233	233	0	1	狮图腾	增加30%伤害加成	1	0	1800000	0	15:0:300	206	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
234	234	0	1	虎图腾	增加30%伤害减免	1	0	1800000	0	16:0:300	212	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
235	235	0	1	风云碑	增加30%移动速度	1	0	1800000	0	12:3000:0	207	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
236	232	0	5	金币鼓舞1级	生命伤害提高50%	1	0	1800000	0	1:5000:0|4:5000:0|5:5000:0	80	1	2	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
237	237	0	1	折磨	生命伤害提高50%	1	0	1800000	0	1:5000:0|4:5000:0|5:5000:0	80	1	2	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
238	238	0	1	折磨X	生命伤害提高100%	1	0	1800000	0	1:10000:0|4:10000:0|5:10000:0	80	1	2	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
239	239	0	6	眩晕	|进入|#00FF00|2.5||秒眩晕状态，不可使用任何技能。	0	1	2500	0	0	17	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
240	240	0	7	眩晕	|进入|#00FF00|3||秒眩晕状态，不可使用任何技能。	0	1	3000	0	0	17	1	0	1	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
300	300	0	1	圣体盾Lv1	伤害减免+10%	1	115	120000	0	16:0:100	92	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	mofadunshifa	-1	-1	0
301	300	0	2	圣体盾Lv2	伤害减免+11%	1	115	130000	0	16:0:110	92	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	mofadunshifa	-1	-1	0
302	300	0	3	圣体盾Lv3	伤害减免+12%	1	115	140000	0	16:0:120	92	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	mofadunshifa	-1	-1	0
303	300	0	4	圣体盾Lv4	伤害减免+13%	1	115	150000	0	16:0:130	92	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	mofadunshifa	-1	-1	0
304	300	0	5	圣体盾Lv5	伤害减免+15%	1	115	170000	0	16:0:150	92	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	mofadunshifa	-1	-1	0
305	300	0	6	圣体盾Lv6	伤害减免+17%	1	115	190000	0	16:0:170	92	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	mofadunshifa	-1	-1	0
306	300	0	7	圣体盾Lv7	伤害减免+19%	1	115	210000	0	16:0:190	92	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	mofadunshifa	-1	-1	0
307	300	0	8	圣体盾Lv8	伤害减免+22%	1	115	240000	0	16:0:220	92	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	mofadunshifa	-1	-1	0
308	300	0	9	圣体盾Lv9	伤害减免+25%	1	115	270000	0	16:0:250	92	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	mofadunshifa	-1	-1	0
309	300	0	10	圣体盾Lv10	伤害减免+30%	1	115	300000	0	16:0:300	92	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	mofadunshifa	-1	-1	0
320	320	1	1	鬼影爪Lv1	#debc6a|每秒减少|#00ff00|攻击的10%|#debc6a|生命并降低对方|#00ff00|2%|#debc6a|防御，持续11秒。	0	114	11000	1000	6:-200:0|7:-200:0	75	1	3	1	1000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
321	320	1	2	鬼影爪Lv2	#debc6a|每秒减少|#00ff00|攻击的10.5%|#debc6a|生命并降低对方|#00ff00|4%|#debc6a|防御，持续12秒。	0	114	12000	1000	6:-400:0|7:-400:0	75	1	3	1	1050	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
322	320	1	3	鬼影爪Lv3	#debc6a|每秒减少|#00ff00|攻击的11%|#debc6a|生命并降低对方|#00ff00|6%|#debc6a|防御，持续13秒。	0	114	13000	1000	6:-600:0|7:-600:0	75	1	3	1	1100	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
323	320	1	4	鬼影爪Lv4	#debc6a|每秒减少|#00ff00|攻击的11.5%|#debc6a|生命并降低对方|#00ff00|8%|#debc6a|防御，持续14秒。	0	114	14000	1000	6:-800:0|7:-800:0	75	1	3	1	1150	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
324	320	1	5	鬼影爪Lv5	#debc6a|每秒减少|#00ff00|攻击的12%|#debc6a|生命并降低对方|#00ff00|10%|#debc6a|防御，持续15秒。	0	114	15000	1000	6:-1000:0|7:-1000:0	75	1	3	1	1200	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
325	320	1	6	鬼影爪Lv6	#debc6a|每秒减少|#00ff00|攻击的12.5%|#debc6a|生命并降低对方|#00ff00|12%|#debc6a|防御，持续16秒。	0	114	16000	1000	6:-1200:0|7:-1200:0	75	1	3	1	1250	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
326	320	1	7	鬼影爪Lv7	#debc6a|每秒减少|#00ff00|攻击的13%|#debc6a|生命并降低对方|#00ff00|14%|#debc6a|防御，持续17秒。	0	114	17000	1000	6:-1400:0|7:-1400:0	75	1	3	1	1300	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
327	320	1	8	鬼影爪Lv8	#debc6a|每秒减少|#00ff00|攻击的13.5%|#debc6a|生命并降低对方|#00ff00|16%|#debc6a|防御，持续18秒。	0	114	18000	1000	6:-1600:0|7:-1600:0	75	1	3	1	1350	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
328	320	1	9	鬼影爪Lv9	#debc6a|每秒减少|#00ff00|攻击的14%|#debc6a|生命并降低对方|#00ff00|18%|#debc6a|防御，持续19秒。	0	114	19000	1000	6:-1800:0|7:-1800:0	75	1	3	1	1400	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
329	320	1	10	鬼影爪Lv10	#debc6a|每秒减少|#00ff00|攻击的15%|#debc6a|生命并降低对方|#00ff00|20%|#debc6a|防御，持续20秒。	0	114	20000	1000	6:-2000:0|7:-2000:0	75	1	3	1	1500	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
901	901	0	1	生命药水	|每秒恢复生命值|#00FF00|5000||点	1	0	1000	1000	0	85	0	0	0	0	0	5000	0	0	0	0	0	0	0	-1	-1	-1	-1	0
902	902	0	1	跨服王者给你的温暖	增加50%伤害，持续时间10秒	1	0	604800000	10000	15:0:20	2	1	4	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
903	903	0	1	速度陷阱	增加30%移动速度	1	0	10000	0	12:3000:0	207	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
