INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	STRING	INT
234	30034:2:3|638:1:20	30046:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
235	30035:2:3|638:1:20	30047:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
236	30036:2:3|638:1:20	30048:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
237	30037:2:3|638:1:100	30049:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
238	30038:2:3|638:1:100	30050:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
239	30039:2:3|638:1:100	30051:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
240	30040:2:3|638:1:100	30052:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
241	30041:2:3|638:1:100	30053:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
242	30042:2:3|638:1:100	30054:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
243	30043:2:3|638:1:100	30055:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
244	30044:2:3|638:1:100	30056:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
245	30045:2:3|638:1:100	30057:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
246	30046:2:3|638:1:100	30058:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
247	30047:2:3|638:1:100	30059:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
248	30048:2:3|638:1:100	30060:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
301	569:1:3	568:1:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
302	571:1:3	570:1:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
303	700:1:2	701:1:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
304	701:1:2	702:1:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
305	647:1:16	301:1:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
306	647:1:67	302:1:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
307	647:1:369	303:1:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
308	647:1:1070	304:1:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
309	410:1:60	406:1:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
310	410:1:10	409:1:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
311	647:1:2140	305:1:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
401	50009:2:3	50060:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
402	50019:2:3	50063:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
403	50029:2:3	50066:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
404	50039:2:3	50069:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
405	50049:2:3	50072:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
406	50059:2:3	50075:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
407	50060:2:3	50061:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
408	50063:2:3	50064:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
409	50066:2:3	50067:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
410	50069:2:3	50070:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
411	50072:2:3	50073:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
412	50075:2:3	50076:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
413	50061:2:3	50062:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
414	50064:2:3	50065:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
415	50067:2:3	50068:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
416	50070:2:3	50071:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
417	50073:2:3	50074:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
418	50076:2:3	50077:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
419	50062:2:3	50078:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
420	50065:2:3	50079:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
421	50068:2:3	50080:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
422	50071:2:3	50081:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
423	50074:2:3	50082:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
424	50077:2:3	50083:2:1	10000	100	100	121	-1	-1	0	0	1	-1	-1	0	-1	0
501	8000:3:2	8001:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
502	8001:3:2	8002:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
503	8002:3:2	8003:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
504	8003:3:2	8004:3:1	50000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
505	8004:3:2	8005:3:1	50000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
506	8005:3:2	8006:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
507	8006:3:2|720:1:2	8007:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
508	8007:3:2|720:1:4	8008:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
509	8008:3:2|720:1:6	8009:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
510	8009:3:2|720:1:10	8010:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
511	8010:3:2|720:1:15	8011:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
512	8011:3:2|720:1:20	8012:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
513	8012:3:2|720:1:25	8013:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
514	8013:3:2|720:1:30	8014:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
521	8100:3:2	8101:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
522	8101:3:2	8102:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
523	8102:3:2	8103:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
524	8103:3:2	8104:3:1	50000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
525	8104:3:2	8105:3:1	50000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
526	8105:3:2	8106:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
527	8106:3:2|720:1:2	8107:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
528	8107:3:2|720:1:4	8108:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
529	8108:3:2|720:1:6	8109:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
530	8109:3:2|720:1:10	8110:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
531	8110:3:2|720:1:15	8111:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
532	8111:3:2|720:1:20	8112:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
533	8112:3:2|720:1:25	8113:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
534	8113:3:2|720:1:30	8114:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
541	8200:3:2	8201:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
542	8201:3:2	8202:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
543	8202:3:2	8203:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
544	8203:3:2	8204:3:1	50000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
545	8204:3:2	8205:3:1	50000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
546	8205:3:2	8206:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
547	8206:3:2|720:1:2	8207:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
548	8207:3:2|720:1:4	8208:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
549	8208:3:2|720:1:6	8209:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
550	8209:3:2|720:1:10	8210:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
551	8210:3:2|720:1:15	8211:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
552	8211:3:2|720:1:20	8212:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
553	8212:3:2|720:1:25	8213:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
554	8213:3:2|720:1:30	8214:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
561	8300:3:2	8301:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
562	8301:3:2	8302:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
563	8302:3:2	8303:3:1	30000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
564	8303:3:2	8304:3:1	50000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
565	8304:3:2	8305:3:1	50000	100	100	-1	-1	-1	0	0	99	-1	-1	0	-1	0
566	8305:3:2	8306:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
567	8306:3:2|720:1:2	8307:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
568	8307:3:2|720:1:4	8308:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
569	8308:3:2|720:1:6	8309:3:1	50000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
570	8309:3:2|720:1:10	8310:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
571	8310:3:2|720:1:15	8311:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
572	8311:3:2|720:1:20	8312:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
573	8312:3:2|720:1:25	8313:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
574	8313:3:2|720:1:30	8314:3:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
601	40010:2:3	40016:2:1	300000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
602	40011:2:3	40017:2:1	300000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
603	40012:2:3	40018:2:1	300000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
604	40013:2:3	40019:2:1	300000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
605	40014:2:3	40020:2:1	300000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
606	40015:2:3	40021:2:1	300000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
607	40016:2:3|759:1:5	40022:2:1	600000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
608	40017:2:3|759:1:5	40023:2:1	600000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
609	40018:2:3|759:1:5	40024:2:1	600000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
610	40019:2:3|759:1:5	40025:2:1	600000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
611	40020:2:3|759:1:5	40026:2:1	600000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
612	40021:2:3|759:1:5	40027:2:1	600000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
613	40022:2:3|759:1:20	40028:2:1	1200000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
614	40023:2:3|759:1:20	40029:2:1	1200000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
615	40024:2:3|759:1:20	40030:2:1	1200000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
616	40025:2:3|759:1:20	40031:2:1	1200000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
617	40026:2:3|759:1:20	40032:2:1	1200000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
618	40027:2:3|759:1:20	40033:2:1	1200000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
619	40028:2:3|759:1:100	40034:2:1	2400000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
620	40029:2:3|759:1:100	40035:2:1	2400000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
621	40030:2:3|759:1:100	40036:2:1	2400000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
622	40031:2:3|759:1:100	40037:2:1	2400000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
623	40032:2:3|759:1:100	40038:2:1	2400000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
624	40033:2:3|759:1:100	40039:2:1	2400000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
625	40034:2:3|759:1:200	40040:2:1	4800000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
626	40035:2:3|759:1:200	40041:2:1	4800000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
627	40036:2:3|759:1:200	40042:2:1	4800000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
628	40037:2:3|759:1:200	40043:2:1	4800000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
629	40038:2:3|759:1:200	40044:2:1	4800000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
630	40039:2:3|759:1:200	40045:2:1	4800000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
701	784:1:3	785:1:1	100000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
801	52010:2:3	52011:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
802	52110:2:3	52111:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
803	52210:2:3	52211:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
804	52310:2:3	52311:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
805	52410:2:3	52411:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
806	52510:2:3	52511:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
807	52610:2:3	52611:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
808	52710:2:3	52711:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
809	52810:2:3	52811:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
810	52011:2:3	52012:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
811	52111:2:3	52112:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
812	52211:2:3	52212:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
813	52311:2:3	52312:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
814	52411:2:3	52412:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
815	52511:2:3	52512:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
816	52611:2:3	52612:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
817	52711:2:3	52712:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
818	52811:2:3	52812:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
900	52012:2:3	52013:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
901	52112:2:3	52113:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
902	52212:2:3	52213:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
903	52312:2:3	52313:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
904	52412:2:3	52413:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
905	52512:2:3	52513:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
906	52612:2:3	52613:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
907	52712:2:3	52713:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
908	52812:2:3	52813:2:1	10000	100	100	121	-1	-1	0	0	99	-1	-1	0	-1	0
819	964:1:30	64011:2:1	100000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
820	964:1:30	64012:2:1	100000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
821	964:1:30	64013:2:1	100000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
822	964:1:30	64014:2:1	100000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
823	964:1:30	64015:2:1	100000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
824	964:1:30	64016:2:1	100000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
825	64011:2:3	64021:2:1	300000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
826	64012:2:3	64022:2:1	300000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
827	64013:2:3	64023:2:1	300000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
828	64014:2:3	64024:2:1	300000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
829	64015:2:3	64025:2:1	300000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
830	64016:2:3	64026:2:1	300000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
831	64021:2:3	64031:2:1	600000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
832	64022:2:3	64032:2:1	600000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
833	64023:2:3	64033:2:1	600000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
834	64024:2:3	64034:2:1	600000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
835	64025:2:3	64035:2:1	600000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
836	64026:2:3	64036:2:1	600000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
837	64031:2:3	64041:2:1	1200000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
838	64032:2:3	64042:2:1	1200000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
