STRING	INT	INT
31002	260	150
32000	260	150
32001	260	150
32002	260	150
33000	330	200
33001	330	200
33002	330	200
33003	330	200
33004	330	200
34001	250	250
34002	250	250
34003	250	250
34004	250	250
34005	370	370
34006	370	370
35001	220	150
35002	320	150
35003	220	150
35004	320	150
35005	220	150
35006	320	150
35007	280	150
35008	320	150
35009	320	150
35010	320	150
35011	260	260
35012	270	150
36001	150	150
36002	130	150
36003	180	150
36004	180	150
36005	150	150
36006	220	150
36007	160	150
36008	200	150
36009	130	150
36010	200	150
36011	220	150
36012	240	150
36013	220	150
36014	260	150
36015	220	150
36016	260	150
36017	220	150
36018	260	150
36019	260	150
36020	260	150
36021	270	150
36022	260	150
36023	260	150
36024	260	150
36025	260	150
36026	260	150
36027	270	150
36028	350	150
36029	350	150
36030	350	150
40001	115	115
40002	200	200
40003	110	110
40004	255	255
40005	75	75
40006	190	190
40007	120	120
40008	190	190
40009	115	115
40010	275	275
40011	80	80
40012	270	270
40013	120	120
40014	260	260
40015	120	120
40016	260	260
40017	110	110
40018	280	280
40019	130	130
40020	370	370
40021	130	130
40022	330	330
40023	380	380
40024	290	290
40025	260	260
40026	350	350
40027	290	290
40028	290	290
40029	365	365
40030	345	345
40031	175	175
40032	345	345
40033	345	345
40034	330	330
40035	380	380
40036	290	290
40037	260	260
40038	350	350
40039	290	290
40040	290	290
40041	365	365
40042	330	330
40043	380	380
40044	290	290
40045	260	260
40046	350	350
40047	290	290
40048	290	290
40049	365	365
50001	101	101
50000	260	260
50002	260	260
50003	260	260
50004	260	260
50005	260	260
50006	260	260
40100	130	130
2033	390	390
31003	400	400
32003	180	180
10028	220	220
10029	220	220
10030	220	220
10031	220	220
10032	260	260
10033	260	260
10034	260	260
10035	260	260
10036	280	320
10037	280	320
10038	280	320
10039	280	320
10040	280	320
10041	280	320
10042	280	320
10043	280	320
10044	260	260
10045	260	260
10046	260	260
10047	260	260
10048	220	220
10049	120	120
10050	120	120
10051	260	260
38001	310	310
38002	310	310
38003	310	310
38004	310	310
38005	310	310
60000	330	330
51001	220	220
51002	220	220
51003	220	220
51004	220	220
51005	220	220
52001	255	255
52002	255	255
52003	255	255
52004	255	255
52005	255	255
53001	260	260
53002	260	260
53003	260	260
53004	260	260
53005	260	260
54001	280	280
54002	280	280
54003	280	280
54004	280	280
54005	280	280
55001	320	320
55002	320	320
55003	320	320
55004	320	320
55005	320	320
56001	350	350
56002	350	350
56003	350	350
56004	350	350
56005	350	350
57001	320	320
57002	320	320
57003	320	320
57004	320	320
57005	320	320
37001	110	110
37002	110	110
37003	130	130
37004	120	120
37005	120	120
37006	130	130
37007	130	130
37008	110	110
37009	160	160
37010	160	160
37011	180	180
37012	130	130
37100	180	180
15001	170	170
15002	220	220
15003	130	130
15004	180	180
15005	220	220
15006	220	220
15007	220	220
15008	220	220
15009	220	220
15010	260	260
15011	260	260
15012	260	260
15013	260	260
15014	260	260
15015	220	220
15016	260	260
15017	260	260
15018	260	260
15019	260	260
15020	260	260
15021	260	260
15022	260	260
16001	220	220
16002	220	220
16003	220	220
16004	220	220
16005	220	220
16006	220	220
60001	220	220
60002	220	220
