INT	INT	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	INT	INT	STRING	INT	INT
10	1	2	5	0	4:121|5:305	-1	-1	一品·攻击武魂[完美]	632	632	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|106'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|一品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|一品·攻击武魂[完美]	7	200
11	1	3	1	0	6:27|7:55	-1	-1	一品·防御武魂[普通]	633	633	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|107'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|一品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|一品·防御武魂[普通]	3	200
12	1	3	2	0	6:41|7:83	-1	-1	一品·防御武魂[良好]	633	633	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|108'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|一品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|一品·防御武魂[良好]	4	200
13	1	3	3	0	6:62|7:125	-1	-1	一品·防御武魂[优秀]	633	633	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|109'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|一品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|一品·防御武魂[优秀]	5	200
14	1	3	4	0	6:93|7:187	-1	-1	一品·防御武魂[卓越]	633	633	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|110'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|一品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|一品·防御武魂[卓越]	6	200
15	1	3	5	0	6:139|7:281	-1	-1	一品·防御武魂[完美]	633	633	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|111'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|一品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|一品·防御武魂[完美]	7	200
16	1	4	1	1	1:6110|4:52|5:133|6:60|7:122	-1	1	一品·极品武魂[普通]	666	666	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|112'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|一品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#00afec|一品·极品武魂[普通]	3	200
17	1	4	2	2	1:9165|4:79|5:199|6:91|7:183	-1	-1	一品·极品武魂[良好]	666	666	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|113'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|一品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#a54bfa|一品·极品武魂[良好]	4	200
18	1	4	3	3	1:14665|4:126|5:318|6:145|7:292	-1	-1	一品·极品武魂[优秀]	666	666	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|114'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|一品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#f7ab00|一品·极品武魂[优秀]	5	200
19	1	4	4	4	1:23463|4:201|5:509|6:232|7:468	-1	-1	一品·极品武魂[卓越]	666	666	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|115'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|一品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#ff3399|一品·极品武魂[卓越]	6	200
20	1	4	5	5	1:37541|4:322|5:814|6:371|7:748	-1	-1	一品·极品武魂[完美]	666	666	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|116'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|一品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#e60012|一品·极品武魂[完美]	7	200
21	2	1	1	0	1:5793	-1	-1	二品·生命武魂[普通]	634	634	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|117'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|二品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|二品·生命武魂[普通]	3	300
22	2	1	2	0	1:8690	-1	-1	二品·生命武魂[良好]	634	634	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|118'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|二品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|二品·生命武魂[良好]	4	300
23	2	1	3	0	1:13035	-1	-1	二品·生命武魂[优秀]	634	634	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|119'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|二品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|二品·生命武魂[优秀]	5	300
24	2	1	4	0	1:19553	-1	-1	二品·生命武魂[卓越]	634	634	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|120'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|二品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|二品·生命武魂[卓越]	6	300
25	2	1	5	0	1:29329	-1	-1	二品·生命武魂[完美]	634	634	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|121'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|二品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|二品·生命武魂[完美]	7	300
26	2	2	1	0	4:48|5:121	-1	-1	二品·攻击武魂[普通]	635	635	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|122'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|二品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|二品·攻击武魂[普通]	3	300
27	2	2	2	0	4:72|5:181	-1	-1	二品·攻击武魂[良好]	635	635	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|123'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|二品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|二品·攻击武魂[良好]	4	300
28	2	2	3	0	4:107|5:271	-1	-1	二品·攻击武魂[优秀]	635	635	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|124'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|二品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|二品·攻击武魂[优秀]	5	300
29	2	2	4	0	4:161|5:407	-1	-1	二品·攻击武魂[卓越]	635	635	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|125'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|二品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|二品·攻击武魂[卓越]	6	300
30	2	2	5	0	4:241|5:611	-1	-1	二品·攻击武魂[完美]	635	635	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|126'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|二品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|二品·攻击武魂[完美]	7	300
31	2	3	1	0	6:55|7:111	-1	-1	二品·防御武魂[普通]	636	636	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|127'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|二品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|二品·防御武魂[普通]	3	300
32	2	3	2	0	6:82|7:166	-1	-1	二品·防御武魂[良好]	636	636	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|128'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|二品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|二品·防御武魂[良好]	4	300
33	2	3	3	0	6:124|7:249	-1	-1	二品·防御武魂[优秀]	636	636	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|129'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|二品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|二品·防御武魂[优秀]	5	300
34	2	3	4	0	6:186|7:374	-1	-1	二品·防御武魂[卓越]	636	636	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|130'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|二品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|二品·防御武魂[卓越]	6	300
35	2	3	5	0	6:278|7:561	-1	-1	二品·防御武魂[完美]	636	636	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|131'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|二品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|二品·防御武魂[完美]	7	300
36	2	4	1	1	1:12220|4:105|5:265|6:121|7:244	11030	1	二品·极品武魂[普通]	667	667	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|132'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|二品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#00afec|二品·极品武魂[普通]	3	300
37	2	4	2	2	1:18331|4:157|5:398|6:181|7:365	11030	2	二品·极品武魂[良好]	667	667	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|133'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|二品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#a54bfa|二品·极品武魂[良好]	4	300
38	2	4	3	3	1:29329|4:251|5:636|6:290|7:584	11030	3	二品·极品武魂[优秀]	667	667	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|134'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|二品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#f7ab00|二品·极品武魂[优秀]	5	300
39	2	4	4	4	1:46926|4:402|5:1018|6:464|7:935	11030	4	二品·极品武魂[卓越]	667	667	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|135'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|二品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#ff3399|二品·极品武魂[卓越]	6	300
