STRING	INT	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING
iwan4399	2	2	2	2	13:1:2:1|567:1:1:1|507:1:7:1	1185	9999	-1	4399_1	-1	使用微端登陆，连续登陆2天可领取	But2	BtnBg	-1	1	dt_6
iwan4399	3	2	3	3	13:1:3:1|567:1:2:1|153:1:2:1|16:1:1:1	1185	9999	-1	4399_1	-1	使用微端登陆，连续登陆3天可领取	But2	BtnBg	-1	1	dt_6
iwan4399	4	2	4	4	13:1:3:1|568:1:1:1|153:1:2:1|16:1:1:1	1185	9999	-1	4399_1	-1	使用微端登陆，连续登陆4天可领取	But2	BtnBg	-1	1	dt_6
iwan4399	5	2	5	5	13:1:5:1|568:1:1:1|153:1:3:1|505:1:3:1	1185	9999	-1	4399_1	-1	使用微端登陆，连续登陆5天可领取	But2	BtnBg	-1	1	dt_6
iwan4399	6	2	6	6	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	1185	9999	-1	4399_1	-1	使用微端登陆，连续登陆6天可领取	But2	BtnBg	-1	1	dt_6
iwan4399	7	2	7	7	13:1:10:1|570:1:1:1|505:1:10:1|647:1:30:1|16:1:3:1	1185	9999	-1	4399_1	-1	使用微端登陆，连续登陆7天可领取	But2	BtnBg	-1	1	dt_6
iwan4399	8	3	1	60	13:1:1:1|9:1:1:1|575:1:3:1	1185	700	-1	4399_1	-1	使用微端登陆，游戏角色达60级可领取	But3	BtnBg	-1	1	dt_6
iwan4399	9	3	2	160	13:1:2:1|9:1:2:1|575:1:5:1|16:1:1:1	1185	700	-1	4399_1	-1	使用微端登陆，游戏角色达160级可领取	But3	BtnBg	-1	1	dt_6
iwan4399	10	3	3	260	13:1:3:1|153:1:1:1|502:1:10:1|16:1:2:1	1185	700	-1	4399_1	-1	使用微端登陆，游戏角色达260级可领取	But3	BtnBg	-1	1	dt_6
iwan4399	11	3	4	360	13:1:4:1|158:1:1:1|502:1:40:1|16:1:2:1|601:1:5:1	1185	700	-1	4399_1	-1	使用微端登陆，游戏角色达360级可领取	But3	BtnBg	-1	1	dt_6
iwan4399	12	3	5	460	13:1:6:1|158:1:1:1|502:1:60:1|635:1:4:1|601:1:15:1	1185	700	-1	4399_1	-1	使用微端登陆，游戏角色达460级可领取	But3	BtnBg	-1	1	dt_6
