INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	STRING	
104	0	139	9999	无尽旅途	#00ff00|无尽旅途	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
105	0	140	250	翅膀	#00ff00|翅膀	231	0	250	翅膀可以大幅提升角色属性，可进行段位提升，大幅提高战斗力	1	1	1	0:08	2	0	0	0	1893513599	-1	0
107	0	142	9999	世界事件	世界事件	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
108	0	143	9999	庇护所	#00ff00|庇护所	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
112	0	147	9999	灵魂精通	#00ff00|灵魂精通	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
113	0	148	8888	护身符	#00ff00|护身符	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
114	0	149	305	宝石镶嵌	#00ff00|宝石镶嵌	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
120	0	155	9999	血灵回血	#00ff00|血灵回血	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
121	0	156	300	部位强化	#00ff00|强化	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
122	0	157	9999	卡牌背包	#00ff00|赫拉迪姆卡牌	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
123	0	158	9999	卡牌商人	#00ff00|商人卡达拉	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
124	0	159	9999	赫拉迪姆议会	#00ff00|赫拉迪姆议会	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
125	0	160	9999	天堂提案	#00ff00|天堂提案	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
126	0	161	9999	研究院	#00ff00|研究院	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
127	0	162	9999	时光裂隙	#00ff00|时光裂隙	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
128	0	163	9999	赫拉迪姆兄弟会	#00ff00|赫拉迪姆兄弟会	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
129	0	164	76	资源副本	#00ff00|资源副本	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
130	0	165	9999	符文圣殿	#00ff00|符文圣殿	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
131	0	166	9999	灵魂城堡	#00ff00|灵魂城堡	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
132	0	167	1	副本大厅	#00ff00|副本大厅	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
133	0	168	200	资源找回	#00ff00|资源找回	0	0	-1	资源找回可以帮你找回最近3天未做的任务资源	0	0	0	-1	1	0	0	0	1893513599	-1	0
134	0	169	9999	庇护大厅	#00ff00|庇护大厅	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
135	0	170	9999	收藏大厅	#00ff00|收藏大厅	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
136	0	171	9999	宏伟秘境	#00ff00|宏伟秘境	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
137	0	172	9999	无尽荒野	#00ff00|无尽荒野	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
138	0	173	150	你提我改	#00ff00|你提我改	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
139	0	174	230	星脉	#00ff00|星脉	201	0	230	星脉可以大幅提升角色属性，可进行段位提升，大幅提高攻击加成	1	1	1	0:14	2	0	0	0	1893513599	-1	0
140	0	175	15	切割	#00ff00|切割	10	0	15	切割可以提供切割固定伤害，并且可以冰冻boss，打boss更安心	1	1	1	0:13	2	0	0	0	1893513599	-1	0
141	0	176	140	守护	#00ff00|守护	131	0	140	守护可以大幅提升角色属性，可进行段位提升，大幅提高战斗力	0	1	1	0:12	2	0	0	0	1893513599	-1	0
142	0	177	150	王之宝库	#00ff00|王之宝库	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
143	10067	178	100	赏金任务	#00ff00|赏金任务	0	0	100	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
144	0	179	9999	平定八方	#00ff00|平定八方	0	0	100	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
145	0	180	200	回收任务	#00ff00|回收任务	0	0	200	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
146	0	181	32	神器	#00ff00|神器	16	0	32	神器可以大幅提升角色属性，可进行段位提升，大幅提高战斗力	1	1	1	0:10	1	0	0	0	1893513599	-1	0
147	0	182	160	押镖	#00ff00|押镖	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
148	0	183	200	分解	#00ff00|分解	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
149	0	184	180	诅咒	#00ff00|诅咒	171	0	180	诅咒可以大幅提升打怪速度，可进行段位提升，直接秒怪无压力	1	1	1	0:15	2	0	0	0	1893513599	-1	0
150	0	185	150	战神装备	#00ff00|战神装备	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
151	0	186	130	等级炼制	#00ff00|等级炼制	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
152	0	187	1	货币兑换	#00ff00|货币兑换	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
153	0	188	170	神威	#00ff00|神威	161	0	170	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
154	0	189	1	等级	#00ff00|等级	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
155	0	190	150	金币悬赏	#00ff00|金币悬赏	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
156	0	191	1	功能开启	#00ff00|功能开启	0	0	-1	0	0	0	0	-1	1	openPanel|toolOpenPanel	0	0	1893513599	-1	0
157	0	192	1	封测活动	#00ff01|封测活动	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
158	0	193	230	降妖除魔	#00ff00|降妖除魔	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
159	0	194	170	神威任务	#00ff00|神威任务	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
160	0	195	1	QQ群	#00ff00|QQ群	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
161	0	196	300	二品武魂	#00ff00|二品武魂	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
162	0	197	140	活跃度	#00ff01|活跃度	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
163	0	198	400	三品武魂	#00ff00|三品武魂	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
164	0	199	500	四品武魂	#00ff00|四品武魂	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
165	0	200	600	五品武魂	#00ff00|五品武魂	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
166	0	201	100	超值特惠	#00ff00|超值特惠	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
167	0	202	100	图鉴	#00ff00|图鉴	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
168	0	203	320	器灵培养	#00ff00|器灵培养	0	0	-1	提升器灵等级可大幅提升妖器属性，达成器灵共鸣可增加麻痹几率、重生血量	0	0	0	-1	0	0	0	0	1893513599	-1	0
169	0	204	320	魔灵幻狱	#00ff00|魔灵幻狱	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
170	0	205	1	夏日狂欢	#00ff00|夏日狂欢	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
171	0	206	150	时装	#00ff00|时装系统	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
172	0	210	1	福利转盘	#00ff00|福利转盘	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
173	0	211	1	多玩微信礼包	#00ff00|多玩微信礼包	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
174	0	212	1	多玩大厅特权	#00ff00|多玩大厅特权	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
175	0	213	1	YY会员特权	#00ff00|YY会员特权	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
176	0	214	305	轮回塔	#00ff00|轮回塔	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
177	0	215	230	星石升级	#00ff00|星石升级	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
178	0	218	400	装备融合	#00ff00|装备融合	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
179	0	219	1	小狗吸尘器	#00ff00|小狗吸尘器	0	0	-1	0	0	0	0	-1	0	0	0	1536768000	1537027199	w360	0
180	0	220	230	公会领地	#00ff00|公会领地	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
181	0	221	300	虚无之地	#00ff00|虚无之地	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
182	0	222	300	邀请码	#00ff00|邀请码	0	0	-1	0	0	0	0	-1	0	0	4	0	1893513599	-1	0
183	0	223	500	命格	#00ff00|命格	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
184	0	224	400	鲲灵	#00ff00|鲲灵	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
185	0	225	500	天工熔炉	#00ff00|天工熔炉	0	0	-1	0	0	0	0	-1	0	0	0	-1	1893513599	-1	0
186	0	226	350	魔符	#00ff00|魔符	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
187	0	227	500	鲲灵投食	#00ff00|鲲灵投食	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
188	0	228	400	共鸣	#00ff00|共鸣	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
189	0	229	400	兽神殿	#00ff00|兽神殿	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
190	0	230	500	圣装重铸	#00ff00|圣装重铸	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
191	0	231	400	通天池	#00ff00|通天池	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
192	0	232	400	翅膀装备精炼	#00ff00|翅膀装备精炼	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
193	0	233	400	心魔	#00ff00|心魔	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
194	0	234	400	装备净化	#00ff00|装备净化	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
195	0	235	350	战魂	#00ff00|战魂	341	0	350	战魂可以大幅提升角色属性，可进行段位提升，大幅提高战斗力	1	1	1	0:16	2	0	0	0	1893513599	-1	0
196	0	236	120	随宠	#00ff00|随宠	115	0	120	宠物可以帮你拾取物品，抗怪，打怪	1	1	1	0:20	2	openPanel|zeroBuyPetPanel	0	0	1893513599	-1	0
197	0	237	120	0元购宠	#00ff00|0元购宠	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
198	0	238	56	首充辅助	#00ff00|首充	56	0	56	获取首充大礼快人一步，各种触发几率大大提升，更有绝版20%永久装备爆率等着你	1	1	1	0:17	1	openPanel|firstChargePanel	0	0	1893513599	-1	0
199	0	239	70	贵族俱乐部	#00ff00|贵族俱乐部	66	0	70	成为VIP加入贵族俱乐部，每日赠送幸运爆率，更有强大的专属龙晶武装等你来抢	1	1	1	0:18	1	0	0	0	1893513599	-1	0
200	0	240	280	日月光辉	#00ff00|日月光辉	271	0	280	日月系统可以提供瞬间高倍率技能，挑战boss更轻松	1	1	1	0:19	2	0	0	0	1893513599	-1	0
205	0	241	400	咒魂·炼魂	#00ff00|炼魂	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
206	0	242	400	咒魂·升阶	#00ff00|咒魂	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
207	0	243	400	咒魂·九曜	#00ff00|九曜	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
203	0	245	350	跨服圣域争霸	#00ff00|跨服圣域争霸	0	0	-1	0	0	0	0	-1	0	0	0	0	1833513599	-1	0
204	0	244	400	装备融合	#00ff00|装备融合	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
205	0	245	400	圣徽装备	#00ff00|圣徽装备	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
206	0	246	400	圣徽熔炼	#00ff00|圣徽熔炼	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
207	0	247	400	圣兽山	#00ff00|圣兽山	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
208	0	248	400	圣兽秘境	#00ff00|圣兽秘境	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
209	0	249	350	大表情	#00ff00|大表情	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
210	0	250	550	飞升成神	#00ff00|飞升成神	0	0	-1	飞升化神，威震沧海	0	1	1	0:16	2	0	0	0	1893513599	-1	0
211	0	251	550	飞升战装	#00ff00|飞升战装	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
212	0	252	550	战装神铸	#00ff00|战装神铸	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
213	0	253	550	战神足迹	#00ff00|战神足迹	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
214	0	254	550	遗物解封	#00ff00|遗物解封	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
215	0	255	550	守护遗迹	#00ff00|守护遗迹	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
216	0	256	420	特戒铭纹	#00ff00|特戒铭纹	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
217	0	257	200	宠物幻灵	#00ff00|宠物幻灵	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
