INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
50041	极限挑战1层	4	5	8400	4182	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50041	50041	3	0	2	0	230	2	-1	1	1	0	1003	1:1	-1	1	1	1	1	50041	2	0	0	77	71	1002	20000	0	-1	0	0	1	-1	1	1	0	-1	50041	0	1	1	-1	-1	1	-1
50042	困惑魔殿1层	1	0	7200	4794	20001	0	0	0	0	1	100	9999	0	0	1	1	475	333	1002	50042	50042	3	0	2	0	230	1	-1	1	1	0	0	1:1	-1	0	1	1	1	50042	2	0	0	23	23	1002	10000	0	-1	0	0	1	71:80|86:104|123:79|119:45|91:27|57:24|20:54|39:103	1	1	0	-1	50042	0	1	1	-1	-1	1	71:80|86:104|123:79|119:45|91:27|57:24|20:54|39:103
50043	极限挑战2层	4	5	8400	4182	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50041	50041	3	0	2	0	230	2	-1	1	1	0	0	1:1	-1	1	1	1	1	50041	2	0	0	77	71	1002	20000	0	-1	0	0	1	-1	1	1	0	-1	50043	0	1	0	-1	-1	1	-1
50044	极限挑战3层	4	5	8400	4182	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50041	50041	3	0	2	0	230	2	-1	1	1	0	0	1:1	-1	1	1	1	1	50041	2	0	0	77	71	1002	20000	0	-1	0	0	1	-1	1	1	0	-1	50044	0	1	0	-1	-1	1	-1
50045	极限挑战4层	4	5	8400	4182	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50041	50041	3	0	2	0	230	2	-1	1	1	0	0	1:1	-1	1	1	1	1	50041	2	0	0	77	71	1002	20000	0	-1	0	0	1	-1	1	1	0	-1	50045	0	1	0	-1	-1	1	-1
50046	极限挑战5层	4	5	8400	4182	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50041	50041	3	0	2	0	230	2	-1	1	1	0	0	1:1	-1	1	1	1	1	50041	2	0	0	77	71	1002	20000	0	-1	0	0	1	-1	1	1	0	-1	50046	0	1	0	-1	-1	1	-1
50047	极限挑战6层	4	5	8400	4182	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50041	50041	3	0	2	0	230	2	-1	1	1	0	0	1:1	-1	1	1	1	1	50041	2	0	0	77	71	1002	20000	0	-1	0	0	1	-1	1	1	0	-1	50047	0	1	0	-1	-1	1	-1
50048	极限挑战7层	4	5	8400	4182	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50041	50041	3	0	2	0	230	2	-1	1	1	0	0	1:1	-1	1	1	1	1	50041	2	0	0	77	71	1002	20000	0	-1	0	0	1	-1	1	1	0	-1	50048	0	1	0	-1	-1	1	-1
50049	极限挑战8层	4	5	8400	4182	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50041	50041	3	0	2	0	230	2	-1	1	1	0	0	1:1	-1	1	1	1	1	50041	2	0	0	77	71	1002	20000	0	-1	0	0	1	-1	1	1	0	-1	50049	0	1	0	-1	-1	1	-1
50050	极限挑战9层	4	5	8400	4182	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50041	50041	3	0	2	0	230	2	-1	1	1	0	0	1:1	-1	1	1	1	1	50041	2	0	0	77	71	1002	20000	0	-1	0	0	1	-1	1	1	0	-1	50050	0	1	0	-1	-1	1	-1
50051	极限挑战10层	4	5	8400	4182	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50041	50041	3	0	2	0	230	2	-1	1	1	0	0	1:1	-1	1	1	1	1	50041	2	0	0	77	71	1002	20000	0	-1	0	0	1	-1	1	1	0	-1	50051	0	1	0	-1	-1	1	-1
50052	万毒鬼窟1层	1	0	6000	4488	20001	0	0	0	0	1	450	9999	0	0	1	1	475	333	1002	50052	50052	3	0	2	0	230	1	-1	1	1	0	0	1:1	-1	0	1	1	1	50052	2	0	0	78	68	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50052	0	1	0	-1	-1	1	78:68|14:110|114:94|118:38|74:11|10:74|10:16
50053	风云碑	4	8	5088	3298	20001	7	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50053	50053	3	0	2	0	230	2	-1	1	1	0	1003	1:1	10	1	1	1	1	50053	2	0	0	51	47	1002	10000	0	-1	0	0	0	-1	1	0	0	-1	50053	0	1	0	-1	-1	1	-1
50054	天下第一	4	9	5088	2992	20001	6	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50054	50054	3	0	2	0	230	2	-1	1	1	0	1003	1:1	10	1	1	1	1	50054	2	0	0	36	52	1002	10000	0	-1	0	0	0	-1	1	0	0	-1	50054	0	1	0	-1	-1	1	-1
50056	第四大陆	1	0	2400	2074	20001	1	0	0	0	1	500	9999	0	0	1	1	475	333	1002	50009	50009	3	0	2	0	230	3	-1	1	1	1	0	1:1	-1	0	1	1	1	50009	2	0	0	30	31	1002	10000	0	-1	0	0	0	-1	1	1	0	-1	50056	0	1	1	-1	-1	1	-1
50057	第五大陆	1	0	2400	2074	20001	1	0	0	0	1	600	9999	0	0	1	1	475	333	1002	50009	50009	3	0	2	0	230	3	-1	1	1	1	0	1:1	-1	0	1	1	1	50009	2	0	0	30	31	1002	10000	0	-1	0	0	0	-1	1	1	0	-1	50057	0	1	1	-1	-1	1	-1
50063	魔鬼沙漠2层	1	0	8064	5984	20001	0	0	0	0	1	430	9999	0	0	1	1	475	333	1002	50063	50063	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50063	2	0	0	67	51	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50063	0	1	0	-1	-1	1	-1
50066	500级地图	1	0	7200	5100	20001	0	0	0	0	1	500	9999	0	0	1	1	475	333	1002	50042	50042	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50042	2	0	0	73	80	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50066	0	1	0	-1	-1	1	-1
50067	530级地图	1	0	7200	5100	20001	0	0	0	0	1	530	9999	0	0	1	1	475	333	1002	50042	50042	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50042	2	0	0	73	80	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50067	0	1	0	-1	-1	1	-1
50068	流放之路1层	1	0	7200	5100	20001	0	0	0	0	1	550	9999	0	0	1	1	475	333	1002	50042	50042	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50042	2	0	0	73	80	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50068	0	1	0	-1	-1	1	-1
50069	流放之路2层	1	0	7200	5100	20001	0	0	0	0	1	580	9999	0	0	1	1	475	333	1002	50042	50042	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50042	2	0	0	73	80	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50069	0	1	0	-1	-1	1	-1
50070	雷霆广场1层	1	0	6864	5100	20001	0	0	0	0	1	600	9999	0	0	1	1	475	333	1002	50070	50070	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50070	2	0	0	64	77	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50070	0	1	0	-1	-1	1	27:40|99:107|81:43|110:64|28:91|56:117
50071	雷霆广场2层	1	0	6864	5100	20001	0	0	0	0	1	630	9999	0	0	1	1	475	333	1002	50071	50071	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50071	2	0	0	58	72	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50071	0	1	0	-1	-1	1	23:77|85:27|68:117|118:70|114:111|38:43
50072	炼狱回廊1层	1	0	6000	4182	20001	0	0	0	0	1	650	9999	0	0	1	1	475	333	1002	50072	50072	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50072	2	0	0	61	90	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50072	0	1	0	-1	-1	1	16:48|99:91|96:41|41:35
50073	炼狱回廊2层	1	0	6576	4794	20001	0	0	0	0	1	680	9999	0	0	1	1	475	333	1002	50073	50073	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50073	2	0	0	45	87	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50073	0	1	0	-1	-1	1	110:41|29:39|28:110|112:103
50074	力拔山河	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	1	0	1	-1	1	1	0	-1	50074	0	1	1	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50075	举世闻名	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	2	0	1	-1	1	1	0	-1	50075	0	1	1	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50076	傲视群雄	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	3	0	1	-1	1	1	0	-1	50076	0	1	1	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50077	纵横八方	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	4	0	1	-1	1	1	0	-1	50077	0	1	1	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50078	威震天下	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	5	0	1	-1	1	1	0	-1	50078	0	1	1	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50079	撼天动地	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	6	0	1	-1	1	1	0	-1	50079	0	1	1	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50080	龙腾九州	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	7	0	1	-1	1	1	0	-1	50080	0	1	1	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50081	天人合一	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	8	0	1	-1	1	1	0	-1	50081	0	1	1	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50082	出神入化	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	9	0	1	-1	1	1	0	-1	50082	0	1	1	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50083	君临天下·皇	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	10	0	1	-1	1	1	0	-1	50083	0	1	0	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50084	超凡入圣·仙	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	11	0	1	-1	1	1	0	-1	50084	0	1	0	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50085	摧星撼月·神	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	12	0	1	-1	1	1	0	-1	50085	0	1	0	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50086	星罗万象·天极	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	13	0	1	-1	1	1	0	-1	50086	0	1	0	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50087	风云化鳞·苍龙	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	14	0	1	-1	1	1	0	-1	50087	0	1	0	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50088	焚心淬骨·魔尊	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	15	0	1	-1	1	1	0	-1	50088	0	1	0	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50089	万劫不灭·斗神	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	16	0	1	-1	1	1	0	-1	50089	0	1	0	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50090	普度八荒·圣尊	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	17	0	1	-1	1	1	0	-1	50090	0	1	0	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50091	浩瀚擎天·虚祖	1	0	8976	5678	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50074	50074	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50074	2	0	0	93	80	1002	10000	0	-1	18	0	1	-1	1	1	0	-1	50091	0	1	0	-1	-1	1	93:80|33:36|155:38|160:123|42:123
50092	落日峡谷1层	1	0	6000	4488	20001	0	0	0	0	1	350	9999	0	0	1	1	475	333	1002	50092	50092	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50092	2	0	0	57	62	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50092	0	1	1	-1	-1	1	12:113|87:99|114:92|63:64|113:16|34:16
50093	万毒鬼窟2层	1	0	6000	4488	20001	0	0	0	0	1	480	9999	0	0	1	1	475	333	1002	50093	50093	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50093	2	0	0	67	53	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50093	0	1	0	-1	-1	1	67:53|104:30|26:31|107:83|11:96
50094	落日峡谷2层	1	0	6000	4488	20001	0	0	0	0	1	380	9999	0	0	1	1	475	333	1002	50094	50094	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50094	2	0	0	40	97	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50094	0	1	1	-1	-1	1	20:107|37:96|19:36|97:51|111:104|108:21|67:27
50095	地下宫殿一层	1	0	6000	4488	20001	1	0	0	0	1	100	9999	0	0	1	1	475	333	1002	50095	50095	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50095	2	0	0	73	67	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50095	0	1	1	-1	-1	1	-1
50096	第二大陆(落日)	1	0	3600	2380	20001	1	0	0	0	1	300	9999	0	0	1	1	475	333	1002	50096	50096	3	0	2	0	230	3	-1	1	1	1	0	1:1	-1	0	1	1	1	50096	2	0	0	40	24	1002	10000	0	-1	0	0	0	-1	1	1	0	-1	50096	1	1	1	-1	-1	1	-1
50097	第三大陆(沙漠)	1	0	3600	2380	20001	1	0	0	0	1	400	9999	0	0	1	1	475	333	1002	50097	50097	3	0	2	0	230	3	-1	1	1	1	0	1:1	-1	0	1	1	1	50097	2	0	0	41	37	1002	10000	0	-1	0	0	0	-1	1	1	0	-1	50097	1	1	1	-1	-1	1	-1
