INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT
20	头盔和项链	2	4:1500|5:3750|1:300000|45:1300	20|1020|2020	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：1500-3750\n生命：300000	-1:10292:-1:-1:-1:10297:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
21	头盔和项链	2	4:1800|5:4500|1:360000|45:1400	21|1021|2021	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.4 倍|#f5e8bf|\n攻击：1800-4500\n生命：360000	-1:10302:-1:-1:-1:10307:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
22	头盔和项链	2	4:2100|5:5250|1:420000|45:1500	22|1022|2022	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.5 倍|#f5e8bf|\n攻击：2100-5250\n生命：420000	-1:10312:-1:-1:-1:10317:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
23	头盔和项链	2	4:2400|5:6000|1:480000|45:1600	23|1023|2023	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.6 倍|#f5e8bf|\n攻击：2400-6000\n生命：480000	-1:10322:-1:-1:-1:10327:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
24	头盔和项链	2	4:2700|5:6750|1:540000|45:1700	24|1024|2024	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.7 倍|#f5e8bf|\n攻击：2700-6750\n生命：540000	-1:10332:-1:-1:-1:10337:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
25	头盔和项链	2	4:3000|5:7500|1:600000|45:1800	25|1025|2025	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.8 倍|#f5e8bf|\n攻击：3000-7500\n生命：600000	-1:10342:-1:-1:-1:10347:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
26	头盔和项链	2	4:3600|5:9000|1:720000|45:1900	26|1026|2026	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.9 倍|#f5e8bf|\n攻击：3600-9000\n生命：720000	-1:10352:-1:-1:-1:10357:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
27	头盔和项链	2	4:4200|5:10500|1:840000|45:2000	27|1027|2027	#ff66ff|神力倍攻：对怪物伤害倍率提高 2 倍|#f5e8bf|\n攻击：4200-10500\n生命：840000	-1:10362:-1:-1:-1:10367:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
28	头盔和项链	2	4:4800|5:12000|1:960000|45:2100	28|1028|2028	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.1 倍|#f5e8bf|\n攻击：4800-12000\n生命：960000	-1:10372:-1:-1:-1:10377:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
29	头盔和项链	2	4:5400|5:13500|1:1080000|45:2200	29|1029|2029	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.2 倍|#f5e8bf|\n攻击：5400-13500\n生命：1080000	-1:10382:-1:-1:-1:10387:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
30	头盔和项链	2	4:6000|5:15000|1:1200000|45:2300	30|1030|2030	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.3 倍|#f5e8bf|\n攻击：6000-15000\n生命：1200000	-1:10392:-1:-1:-1:10397:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
31	头盔和项链	2	4:6999|5:17499|1:1400000|45:2400	31|1031|2031	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.4 倍|#f5e8bf|\n攻击：6999-17499\n生命：1400000	-1:10402:-1:-1:-1:10407:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
32	头盔和项链	2	4:7999|5:19999|1:1600000|45:2500	32|1032|2032	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.5 倍|#f5e8bf|\n攻击：7999-19999\n生命：1600000	-1:10412:-1:-1:-1:10417:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
51	腰带和鞋子	2	6:80|7:200|1:8000|45:1000	51|1051|2051	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n防御：80-200\n生命：8000	-1:-1:-1:10105:-1:-1:-1:10110	2件套:获得先祖之魂技能	-1	0	0	0
52	腰带和鞋子	2	6:160|7:400|1:16000|45:1000	52|1052|2052	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n防御：160-400\n生命：16000	-1:-1:-1:10115:-1:-1:-1:10120	2件套:获得先祖之魂技能	-1	0	0	0
53	腰带和鞋子	2	6:240|7:600|1:24000|45:1000	53|1053|2053	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n防御：240-600\n生命：24000	-1:-1:-1:10125:-1:-1:-1:10130	2件套:获得先祖之魂技能	-1	0	0	0
54	腰带和鞋子	2	6:320|7:800|1:32000|45:1000	54|1054|2054	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n防御：320-800\n生命：32000	-1:-1:-1:10135:-1:-1:-1:10140	2件套:获得先祖之魂技能	-1	0	0	0
55	腰带和鞋子	2	6:400|7:1000|1:40000|45:1000	55|1055|2055	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n防御：400-1000\n生命：40000	-1:-1:-1:10145:-1:-1:-1:10150	2件套:获得先祖之魂技能	-1	0	0	0
56	腰带和鞋子	2	6:520|7:1300|1:52000|45:1100	56|1056|2056	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n防御：520-1300\n生命：52000	-1:-1:-1:10155:-1:-1:-1:10160	2件套:获得先祖之魂技能	-1	0	0	0
57	腰带和鞋子	2	6:640|7:1600|1:64000|45:1100	57|1057|2057	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n防御：640-1600\n生命：64000	-1:-1:-1:10165:-1:-1:-1:10170	2件套:获得先祖之魂技能	-1	0	0	0
58	腰带和鞋子	2	6:760|7:1900|1:76000|45:1100	58|1058|2058	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n防御：760-1900\n生命：76000	-1:-1:-1:10175:-1:-1:-1:10180	2件套:获得先祖之魂技能	-1	0	0	0
59	腰带和鞋子	2	6:880|7:2200|1:88000|45:1100	59|1059|2059	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n防御：880-2200\n生命：88000	-1:-1:-1:10185:-1:-1:-1:10190	2件套:获得先祖之魂技能	-1	0	0	0
60	腰带和鞋子	2	6:1000|7:2500|1:100000|45:1100	60|1060|2060	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n防御：1000-2500\n生命：100000	-1:-1:-1:10195:-1:-1:-1:10200	2件套:获得先祖之魂技能	-1	0	0	0
61	腰带和鞋子	2	6:1160|7:2900|1:116000|45:1200	61|1061|2061	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n防御：1160-2900\n生命：116000	-1:-1:-1:10205:-1:-1:-1:10210	2件套:获得先祖之魂技能	-1	0	0	0
62	腰带和鞋子	2	6:1320|7:3300|1:132000|45:1200	62|1062|2062	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n防御：1320-3300\n生命：132000	-1:-1:-1:10215:-1:-1:-1:10220	2件套:获得先祖之魂技能	-1	0	0	0
63	腰带和鞋子	2	6:1480|7:3700|1:148000|45:1200	63|1063|2063	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n防御：1480-3700\n生命：148000	-1:-1:-1:10225:-1:-1:-1:10230	2件套:获得先祖之魂技能	-1	0	0	0
64	腰带和鞋子	2	6:1640|7:4100|1:164000|45:1200	64|1064|2064	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n防御：1640-4100\n生命：164000	-1:-1:-1:10235:-1:-1:-1:10240	2件套:获得先祖之魂技能	-1	0	0	0
65	腰带和鞋子	2	6:1800|7:4500|1:180000|45:1200	65|1065|2065	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n防御：1800-4500\n生命：180000	-1:-1:-1:10245:-1:-1:-1:10250	2件套:获得先祖之魂技能	-1	0	0	0
66	腰带和鞋子	2	6:2040|7:5100|1:204000|45:1300	66|1066|2066	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n防御：2040-5100\n生命：204000	-1:-1:-1:10255:-1:-1:-1:10260	2件套:获得先祖之魂技能	-1	0	0	0
67	腰带和鞋子	2	6:2280|7:5700|1:228000|45:1300	67|1067|2067	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n防御：2280-5700\n生命：228000	-1:-1:-1:10265:-1:-1:-1:10270	2件套:获得先祖之魂技能	-1	0	0	0
68	腰带和鞋子	2	6:2520|7:6300|1:252000|45:1300	68|1068|2068	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n防御：2520-6300\n生命：252000	-1:-1:-1:10275:-1:-1:-1:10280	2件套:获得先祖之魂技能	-1	0	0	0
69	腰带和鞋子	2	6:2760|7:6900|1:276000|45:1300	69|1069|2069	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n防御：2760-6900\n生命：276000	-1:-1:-1:10285:-1:-1:-1:10290	2件套:获得先祖之魂技能	-1	0	0	0
70	腰带和鞋子	2	6:3000|7:7500|1:300000|45:1300	70|1070|2070	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n防御：3000-7500\n生命：300000	-1:-1:-1:10295:-1:-1:-1:10300	2件套:获得先祖之魂技能	-1	0	0	0
71	腰带和鞋子	2	6:3600|7:9000|1:360000|45:1400	71|1071|2071	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.4 倍|#f5e8bf|\n防御：3600-9000\n生命：360000	-1:-1:-1:10305:-1:-1:-1:10310	2件套:获得先祖之魂技能	-1	0	0	0
72	腰带和鞋子	2	6:4200|7:10500|1:420000|45:1500	72|1072|2072	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.5 倍|#f5e8bf|\n防御：4200-10500\n生命：420000	-1:-1:-1:10315:-1:-1:-1:10320	2件套:获得先祖之魂技能	-1	0	0	0
73	腰带和鞋子	2	6:4800|7:12000|1:480000|45:1600	73|1073|2073	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.6 倍|#f5e8bf|\n防御：4800-12000\n生命：480000	-1:-1:-1:10325:-1:-1:-1:10330	2件套:获得先祖之魂技能	-1	0	0	0
74	腰带和鞋子	2	6:5400|7:13500|1:540000|45:1700	74|1074|2074	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.7 倍|#f5e8bf|\n防御：5400-13500\n生命：540000	-1:-1:-1:10335:-1:-1:-1:10340	2件套:获得先祖之魂技能	-1	0	0	0
75	腰带和鞋子	2	6:6000|7:15000|1:600000|45:1800	75|1075|2075	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.8 倍|#f5e8bf|\n防御：6000-15000\n生命：600000	-1:-1:-1:10345:-1:-1:-1:10350	2件套:获得先祖之魂技能	-1	0	0	0
76	腰带和鞋子	2	6:7200|7:18000|1:720000|45:1900	76|1076|2076	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.9 倍|#f5e8bf|\n防御：7200-18000\n生命：720000	-1:-1:-1:10355:-1:-1:-1:10360	2件套:获得先祖之魂技能	-1	0	0	0
77	腰带和鞋子	2	6:8400|7:21000|1:840000|45:2000	77|1077|2077	#ff66ff|神力倍攻：对怪物伤害倍率提高 2 倍|#f5e8bf|\n防御：8400-21000\n生命：840000	-1:-1:-1:10365:-1:-1:-1:10370	2件套:获得先祖之魂技能	-1	0	0	0
78	腰带和鞋子	2	6:9600|7:24000|1:960000|45:2100	78|1078|2078	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.1 倍|#f5e8bf|\n防御：9600-24000\n生命：960000	-1:-1:-1:10375:-1:-1:-1:10380	2件套:获得先祖之魂技能	-1	0	0	0
79	腰带和鞋子	2	6:10800|7:27000|1:1080000|45:2200	79|1079|2079	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.2 倍|#f5e8bf|\n防御：10800-27000\n生命：1080000	-1:-1:-1:10385:-1:-1:-1:10390	2件套:获得先祖之魂技能	-1	0	0	0
80	腰带和鞋子	2	6:12000|7:30000|1:1200000|45:2300	80|1080|2080	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.3 倍|#f5e8bf|\n防御：12000-30000\n生命：1200000	-1:-1:-1:10395:-1:-1:-1:10400	2件套:获得先祖之魂技能	-1	0	0	0
81	腰带和鞋子	2	6:14000|7:35000|1:1400000|45:2400	81|1081|2081	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.4 倍|#f5e8bf|\n防御：14000-35000\n生命：1400000	-1:-1:-1:10405:-1:-1:-1:10410	2件套:获得先祖之魂技能	-1	0	0	0
82	腰带和鞋子	2	6:16000|7:40000|1:1600000|45:2500	82|1082|2082	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.5 倍|#f5e8bf|\n防御：16000-40000\n生命：1600000	-1:-1:-1:10415:-1:-1:-1:10420	2件套:获得先祖之魂技能	-1	0	0	0
1023	头盔和项链	2	4:2400|5:6000|1:480000|10:6000|45:1600	23|1023|2023	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.6 倍|#f5e8bf|\n攻击：2400-6000\n生命：480000\n|#00afec|暴伤：6000	-1:11322:-1:-1:-1:11327:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
1024	头盔和项链	2	4:2700|5:6750|1:540000|10:8000|45:1700	24|1024|2024	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.7 倍|#f5e8bf|\n攻击：2700-6750\n生命：540000\n|#00afec|暴伤：8000	-1:11332:-1:-1:-1:11337:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
1025	头盔和项链	2	4:3000|5:7500|1:600000|10:10000|45:1800	25|1025|2025	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.8 倍|#f5e8bf|\n攻击：3000-7500\n生命：600000\n|#00afec|暴伤：10000	-1:11342:-1:-1:-1:11347:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
1026	头盔和项链	2	4:3600|5:9000|1:720000|10:12000|45:1900	26|1026|2026	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.9 倍|#f5e8bf|\n攻击：3600-9000\n生命：720000\n|#00afec|暴伤：12000	-1:11352:-1:-1:-1:11357:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
1027	头盔和项链	2	4:4200|5:10500|1:840000|10:14000|45:2000	27|1027|2027	#ff66ff|神力倍攻：对怪物伤害倍率提高 2 倍|#f5e8bf|\n攻击：4200-10500\n生命：840000\n|#00afec|暴伤：14000	-1:11362:-1:-1:-1:11367:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
1028	头盔和项链	2	4:4800|5:12000|1:960000|10:16000|45:2100	28|1028|2028	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.1 倍|#f5e8bf|\n攻击：4800-12000\n生命：960000\n|#00afec|暴伤：16000	-1:11372:-1:-1:-1:11377:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
1029	头盔和项链	2	4:5400|5:13500|1:1080000|10:18000|45:2200	29|1029|2029	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.2 倍|#f5e8bf|\n攻击：5400-13500\n生命：1080000\n|#00afec|暴伤：18000	-1:11382:-1:-1:-1:11387:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
1030	头盔和项链	2	4:6000|5:15000|1:1200000|10:20000|45:2300	30|1030|2030	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.3 倍|#f5e8bf|\n攻击：6000-15000\n生命：1200000\n|#00afec|暴伤：20000	-1:11392:-1:-1:-1:11397:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
1031	头盔和项链	2	4:6999|5:17499|1:1400000|10:22000|45:2400	31|1031|2031	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.4 倍|#f5e8bf|\n攻击：6999-17499\n生命：1400000\n|#00afec|暴伤：22000	-1:11402:-1:-1:-1:11407:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
1032	头盔和项链	2	4:7999|5:19999|1:1600000|10:24000|45:2500	32|1032|2032	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.5 倍|#f5e8bf|\n攻击：7999-19999\n生命：1600000\n|#00afec|暴伤：24000	-1:11412:-1:-1:-1:11417:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
1073	腰带和鞋子	2	6:4800|7:12000|1:480000|10:8000|45:1600	73|1073|2073	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.6 倍|#f5e8bf|\n防御：4800-12000\n生命：480000|#00afec|\n暴伤：8000	-1:-1:-1:11325:-1:-1:-1:11330	2件套:获得先祖之魂技能	-1	0	0	0
1074	腰带和鞋子	2	6:5400|7:13500|1:540000|10:10000|45:1700	74|1074|2074	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.7 倍|#f5e8bf|\n防御：5400-13500\n生命：540000|#00afec|\n暴伤：10000	-1:-1:-1:11335:-1:-1:-1:11340	2件套:获得先祖之魂技能	-1	0	0	0
1075	腰带和鞋子	2	6:6000|7:15000|1:600000|10:12000|45:1800	75|1075|2075	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.8 倍|#f5e8bf|\n防御：6000-15000\n生命：600000|#00afec|\n暴伤：12000	-1:-1:-1:11345:-1:-1:-1:11350	2件套:获得先祖之魂技能	-1	0	0	0
1076	腰带和鞋子	2	6:7200|7:18000|1:720000|10:14000|45:1900	76|1076|2076	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.9 倍|#f5e8bf|\n防御：7200-18000\n生命：720000|#00afec|\n暴伤：14000	-1:-1:-1:11355:-1:-1:-1:11360	2件套:获得先祖之魂技能	-1	0	0	0
1077	腰带和鞋子	2	6:8400|7:21000|1:840000|10:16000|45:2000	77|1077|2077	#ff66ff|神力倍攻：对怪物伤害倍率提高 2 倍|#f5e8bf|\n防御：8400-21000\n生命：840000|#00afec|\n暴伤：16000	-1:-1:-1:11365:-1:-1:-1:11370	2件套:获得先祖之魂技能	-1	0	0	0
1078	腰带和鞋子	2	6:9600|7:24000|1:960000|10:18000|45:2100	78|1078|2078	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.1 倍|#f5e8bf|\n防御：9600-24000\n生命：960000|#00afec|\n暴伤：18000	-1:-1:-1:11375:-1:-1:-1:11380	2件套:获得先祖之魂技能	-1	0	0	0
1079	腰带和鞋子	2	6:10800|7:27000|1:1080000|10:20000|45:2200	79|1079|2079	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.2 倍|#f5e8bf|\n防御：10800-27000\n生命：1080000|#00afec|\n暴伤：20000	-1:-1:-1:11385:-1:-1:-1:11390	2件套:获得先祖之魂技能	-1	0	0	0
1080	腰带和鞋子	2	6:12000|7:30000|1:1200000|10:22000|45:2300	80|1080|2080	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.3 倍|#f5e8bf|\n防御：12000-30000\n生命：1200000|#00afec|\n暴伤：22000	-1:-1:-1:11395:-1:-1:-1:11400	2件套:获得先祖之魂技能	-1	0	0	0
1081	腰带和鞋子	2	6:14000|7:35000|1:1400000|10:24000|45:2400	81|1081|2081	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.4 倍|#f5e8bf|\n防御：14000-35000\n生命：1400000|#00afec|\n暴伤：24000	-1:-1:-1:11405:-1:-1:-1:11410	2件套:获得先祖之魂技能	-1	0	0	0
1082	腰带和鞋子	2	6:16000|7:40000|1:1600000|10:26000|45:2500	82|1082|2082	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.5 倍|#f5e8bf|\n防御：16000-40000\n生命：1600000|#00afec|\n暴伤：26000	-1:-1:-1:11415:-1:-1:-1:11420	2件套:获得先祖之魂技能	-1	0	0	0
2023	头盔和项链	2	4:2400|5:6000|1:480000|10:9600|3:60000|45:1600	23|1023|2023	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.6 倍|#f5e8bf|\n攻击：2400-6000\n生命：480000\n|#00afec|暴伤：9600\n生命恢复：60000	-1:12322:-1:-1:-1:12327:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
2024	头盔和项链	2	4:2700|5:6750|1:540000|10:12800|3:80000|45:1700	24|1024|2024	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.7 倍|#f5e8bf|\n攻击：2700-6750\n生命：540000\n|#00afec|暴伤：12800\n生命恢复：80000	-1:12332:-1:-1:-1:12337:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
2025	头盔和项链	2	4:3000|5:7500|1:600000|10:16000|3:100000|45:1800	25|1025|2025	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.8 倍|#f5e8bf|\n攻击：3000-7500\n生命：600000\n|#00afec|暴伤：16000\n生命恢复：100000	-1:12342:-1:-1:-1:12347:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
2026	头盔和项链	2	4:3600|5:9000|1:720000|10:19200|3:120000|45:1900	26|1026|2026	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.9 倍|#f5e8bf|\n攻击：3600-9000\n生命：720000\n|#00afec|暴伤：19200\n生命恢复：120000	-1:12352:-1:-1:-1:12357:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
2027	头盔和项链	2	4:4200|5:10500|1:840000|10:22400|3:140000|45:2000	27|1027|2027	#ff66ff|神力倍攻：对怪物伤害倍率提高 2 倍|#f5e8bf|\n攻击：4200-10500\n生命：840000\n|#00afec|暴伤：22400\n生命恢复：140000	-1:12362:-1:-1:-1:12367:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
