INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	STRING	INT	STRING
0	30	2500	0	4:6000|5:15000	450	300:7|350:10|400:13|450:15	601:1:45|769:1:30	115	#00ff00|强化成功率：25%	0	710:1:120
1	1	10000	0	4:12|5:30	300	300:7|350:10|400:13|450:15	601:1:2	-1	#00ff00|强化成功率：100%	0	0
1	2	9500	0	4:36|5:90	300	300:7|350:10|400:13|450:15	601:1:4	-1	#00ff00|强化成功率：95%	0	0
1	3	9000	0	4:72|5:180	300	300:7|350:10|400:13|450:15	601:1:6	-1	#00ff00|强化成功率：90%	0	0
1	4	8500	0	4:120|5:300	300	300:7|350:10|400:13|450:15	601:1:8	-1	#00ff00|强化成功率：85%	0	0
1	5	8000	0	4:180|5:450	300	300:7|350:10|400:13|450:15	601:1:10	-1	#00ff00|强化成功率：80%	0	0
1	6	7500	0	4:252|5:630	300	300:7|350:10|400:13|450:15	601:1:12	-1	#00ff00|强化成功率：75%	0	0
1	7	7000	0	4:336|5:840	300	300:7|350:10|400:13|450:15	601:1:14	115	#00ff00|强化成功率：70%	0	0
1	8	6500	0	4:432|5:1080	350	300:7|350:10|400:13|450:15	601:1:16	-1	#00ff00|强化成功率：65%	0	0
1	9	6000	0	4:552|5:1380	350	300:7|350:10|400:13|450:15	601:1:18	-1	#00ff00|强化成功率：60%	0	0
1	10	5000	0	4:720|5:1800	350	300:7|350:10|400:13|450:15	601:1:20	115	#00ff00|强化成功率：50%	0	0
1	11	4000	0	4:936|5:2340	400	300:7|350:10|400:13|450:15	601:1:22	-1	#00ff00|强化成功率：40%	0	710:1:2
1	12	4000	0	4:1200|5:3000	400	300:7|350:10|400:13|450:15	601:1:24	115	#00ff00|强化成功率：40%	0	710:1:4
1	13	3000	0	4:1512|5:3780	400	300:7|350:10|400:13|450:15	601:1:26	-1	#00ff00|强化成功率：30%	0	710:1:10
1	14	3000	0	4:1896|5:4740	450	300:7|350:10|400:13|450:15	601:1:28	115	#00ff00|强化成功率：30%	0	710:1:20
1	15	2500	0	4:2400|5:6000	450	300:7|350:10|400:13|450:15	601:1:30	115	#00ff00|强化成功率：25%	0	710:1:50
1	16	10000	0	4:2418|5:6045	300	300:7|350:10|400:13|450:15	601:1:3|769:1:2	-1	#00ff00|强化成功率：100%	0	0
1	17	7600	0	4:2454|5:6135	300	300:7|350:10|400:13|450:15	601:1:6|769:1:4	-1	#00ff00|强化成功率：76%	0	0
1	18	7200	0	4:2508|5:6270	300	300:7|350:10|400:13|450:15	601:1:9|769:1:6	-1	#00ff00|强化成功率：72%	0	0
1	19	6800	0	4:2580|5:6450	300	300:7|350:10|400:13|450:15	601:1:12|769:1:8	-1	#00ff00|强化成功率：68%	0	0
1	20	6500	0	4:2670|5:6675	300	300:7|350:10|400:13|450:15	601:1:15|769:1:10	-1	#00ff00|强化成功率：65%	0	0
1	21	6200	0	4:2778|5:6945	300	300:7|350:10|400:13|450:15	601:1:18|769:1:12	-1	#00ff00|强化成功率：62%	0	0
1	22	5900	0	4:2904|5:7260	300	300:7|350:10|400:13|450:15	601:1:21|769:1:14	115	#00ff00|强化成功率：59%	0	0
1	23	5600	0	4:3048|5:7620	350	300:7|350:10|400:13|450:15	601:1:24|769:1:16	-1	#00ff00|强化成功率：56%	0	0
1	24	5300	0	4:3228|5:8070	350	300:7|350:10|400:13|450:15	601:1:27|769:1:18	-1	#00ff00|强化成功率：53%	0	0
1	25	5000	0	4:3480|5:8700	350	300:7|350:10|400:13|450:15	601:1:30|769:1:20	115	#00ff00|强化成功率：50%	0	0
1	26	4000	0	4:3804|5:9510	400	300:7|350:10|400:13|450:15	601:1:33|769:1:22	-1	#00ff00|强化成功率：40%	0	710:1:4
1	27	4000	0	4:4200|5:10500	400	300:7|350:10|400:13|450:15	601:1:36|769:1:24	115	#00ff00|强化成功率：40%	0	710:1:10
1	28	3000	0	4:4668|5:11670	400	300:7|350:10|400:13|450:15	601:1:39|769:1:26	-1	#00ff00|强化成功率：30%	0	710:1:20
1	29	3000	0	4:5244|5:13110	450	300:7|350:10|400:13|450:15	601:1:42|769:1:28	115	#00ff00|强化成功率：30%	0	710:1:40
1	30	2500	0	4:6000|5:15000	450	300:7|350:10|400:13|450:15	601:1:45|769:1:30	115	#00ff00|强化成功率：25%	0	710:1:120
2	1	10000	0	4:6|5:15|6:7|7:19	300	300:7|350:10|400:13|450:15	601:1:2	-1	#00ff00|强化成功率：100%	0	0
2	2	9500	0	4:18|5:45|6:23|7:59	300	300:7|350:10|400:13|450:15	601:1:4	-1	#00ff00|强化成功率：95%	0	0
2	3	9000	0	4:36|5:90|6:47|7:118	300	300:7|350:10|400:13|450:15	601:1:6	-1	#00ff00|强化成功率：90%	0	0
2	4	8500	0	4:60|5:150|6:79|7:198	300	300:7|350:10|400:13|450:15	601:1:8	-1	#00ff00|强化成功率：85%	0	0
2	5	8000	0	4:90|5:225|6:118|7:297	300	300:7|350:10|400:13|450:15	601:1:10	-1	#00ff00|强化成功率：80%	0	0
2	6	7500	0	4:126|5:315|6:166|7:415	300	300:7|350:10|400:13|450:15	601:1:12	-1	#00ff00|强化成功率：75%	0	0
2	7	7000	0	4:168|5:420|6:221|7:554	300	300:7|350:10|400:13|450:15	601:1:14	115	#00ff00|强化成功率：70%	0	0
2	8	6500	0	4:216|5:540|6:284|7:712	350	300:7|350:10|400:13|450:15	601:1:16	-1	#00ff00|强化成功率：65%	0	0
2	9	6000	0	4:276|5:690|6:364|7:910	350	300:7|350:10|400:13|450:15	601:1:18	-1	#00ff00|强化成功率：60%	0	0
2	10	5000	0	4:360|5:900|6:475|7:1188	350	300:7|350:10|400:13|450:15	601:1:20	115	#00ff00|强化成功率：50%	0	0
2	11	4000	0	4:468|5:1170|6:617|7:1544	400	300:7|350:10|400:13|450:15	601:1:22	-1	#00ff00|强化成功率：40%	0	710:1:2
2	12	4000	0	4:600|5:1500|6:792|7:1980	400	300:7|350:10|400:13|450:15	601:1:24	115	#00ff00|强化成功率：40%	0	710:1:4
2	13	3000	0	4:756|5:1890|6:997|7:2494	400	300:7|350:10|400:13|450:15	601:1:26	-1	#00ff00|强化成功率：30%	0	710:1:10
2	14	3000	0	4:948|5:2370|6:1251|7:3128	450	300:7|350:10|400:13|450:15	601:1:28	115	#00ff00|强化成功率：30%	0	710:1:20
2	15	2500	0	4:1200|5:3000|6:1584|7:3960	450	300:7|350:10|400:13|450:15	601:1:30	115	#00ff00|强化成功率：25%	0	710:1:50
2	16	10000	0	4:1209|5:3022|6:1596|7:3990	300	300:7|350:10|400:13|450:15	601:1:3|769:1:2	-1	#00ff00|强化成功率：100%	0	0
2	17	7600	0	4:1227|5:3067|6:1620|7:4049	300	300:7|350:10|400:13|450:15	601:1:6|769:1:4	-1	#00ff00|强化成功率：76%	0	0
2	18	7200	0	4:1254|5:3135|6:1655|7:4138	300	300:7|350:10|400:13|450:15	601:1:9|769:1:6	-1	#00ff00|强化成功率：72%	0	0
2	19	6800	0	4:1290|5:3225|6:1703|7:4257	300	300:7|350:10|400:13|450:15	601:1:12|769:1:8	-1	#00ff00|强化成功率：68%	0	0
2	20	6500	0	4:1335|5:3337|6:1762|7:4406	300	300:7|350:10|400:13|450:15	601:1:15|769:1:10	-1	#00ff00|强化成功率：65%	0	0
2	21	6200	0	4:1389|5:3472|6:1833|7:4584	300	300:7|350:10|400:13|450:15	601:1:18|769:1:12	-1	#00ff00|强化成功率：62%	0	0
2	22	5900	0	4:1452|5:3630|6:1917|7:4792	300	300:7|350:10|400:13|450:15	601:1:21|769:1:14	115	#00ff00|强化成功率：59%	0	0
2	23	5600	0	4:1524|5:3810|6:2012|7:5029	350	300:7|350:10|400:13|450:15	601:1:24|769:1:16	-1	#00ff00|强化成功率：56%	0	0
2	24	5300	0	4:1614|5:4035|6:2130|7:5326	350	300:7|350:10|400:13|450:15	601:1:27|769:1:18	-1	#00ff00|强化成功率：53%	0	0
2	25	5000	0	4:1740|5:4350|6:2297|7:5742	350	300:7|350:10|400:13|450:15	601:1:30|769:1:20	115	#00ff00|强化成功率：50%	0	0
2	26	4000	0	4:1902|5:4755|6:2511|7:6277	400	300:7|350:10|400:13|450:15	601:1:33|769:1:22	-1	#00ff00|强化成功率：40%	0	710:1:4
2	27	4000	0	4:2100|5:5250|6:2772|7:6930	400	300:7|350:10|400:13|450:15	601:1:36|769:1:24	115	#00ff00|强化成功率：40%	0	710:1:10
2	28	3000	0	4:2334|5:5835|6:3081|7:7702	400	300:7|350:10|400:13|450:15	601:1:39|769:1:26	-1	#00ff00|强化成功率：30%	0	710:1:20
2	29	3000	0	4:2622|5:6555|6:3461|7:8653	450	300:7|350:10|400:13|450:15	601:1:42|769:1:28	115	#00ff00|强化成功率：30%	0	710:1:40
2	30	2500	0	4:3000|5:7500|6:3960|7:9900	450	300:7|350:10|400:13|450:15	601:1:45|769:1:30	115	#00ff00|强化成功率：25%	0	710:1:120
3	1	10000	0	4:12|5:30	300	300:7|350:10|400:13|450:15	601:1:2	-1	#00ff00|强化成功率：100%	0	0
3	2	9500	0	4:36|5:90	300	300:7|350:10|400:13|450:15	601:1:4	-1	#00ff00|强化成功率：95%	0	0
3	3	9000	0	4:72|5:180	300	300:7|350:10|400:13|450:15	601:1:6	-1	#00ff00|强化成功率：90%	0	0
3	4	8500	0	4:120|5:300	300	300:7|350:10|400:13|450:15	601:1:8	-1	#00ff00|强化成功率：85%	0	0
3	5	8000	0	4:180|5:450	300	300:7|350:10|400:13|450:15	601:1:10	-1	#00ff00|强化成功率：80%	0	0
3	6	7500	0	4:252|5:630	300	300:7|350:10|400:13|450:15	601:1:12	-1	#00ff00|强化成功率：75%	0	0
3	7	7000	0	4:336|5:840	300	300:7|350:10|400:13|450:15	601:1:14	115	#00ff00|强化成功率：70%	0	0
3	8	6500	0	4:432|5:1080	350	300:7|350:10|400:13|450:15	601:1:16	-1	#00ff00|强化成功率：65%	0	0
3	9	6000	0	4:552|5:1380	350	300:7|350:10|400:13|450:15	601:1:18	-1	#00ff00|强化成功率：60%	0	0
3	10	5000	0	4:720|5:1800	350	300:7|350:10|400:13|450:15	601:1:20	115	#00ff00|强化成功率：50%	0	0
3	11	4000	0	4:936|5:2340	400	300:7|350:10|400:13|450:15	601:1:22	-1	#00ff00|强化成功率：40%	0	710:1:2
3	12	4000	0	4:1200|5:3000	400	300:7|350:10|400:13|450:15	601:1:24	115	#00ff00|强化成功率：40%	0	710:1:4
3	13	3000	0	4:1512|5:3780	400	300:7|350:10|400:13|450:15	601:1:26	-1	#00ff00|强化成功率：30%	0	710:1:10
3	14	3000	0	4:1896|5:4740	450	300:7|350:10|400:13|450:15	601:1:28	115	#00ff00|强化成功率：30%	0	710:1:20
3	15	2500	0	4:2400|5:6000	450	300:7|350:10|400:13|450:15	601:1:30	115	#00ff00|强化成功率：25%	0	710:1:50
3	16	10000	0	4:2418|5:6045	300	300:7|350:10|400:13|450:15	601:1:3|769:1:2	-1	#00ff00|强化成功率：100%	0	0
3	17	7600	0	4:2454|5:6135	300	300:7|350:10|400:13|450:15	601:1:6|769:1:4	-1	#00ff00|强化成功率：76%	0	0
3	18	7200	0	4:2508|5:6270	300	300:7|350:10|400:13|450:15	601:1:9|769:1:6	-1	#00ff00|强化成功率：72%	0	0
3	19	6800	0	4:2580|5:6450	300	300:7|350:10|400:13|450:15	601:1:12|769:1:8	-1	#00ff00|强化成功率：68%	0	0
3	20	6500	0	4:2670|5:6675	300	300:7|350:10|400:13|450:15	601:1:15|769:1:10	-1	#00ff00|强化成功率：65%	0	0
3	21	6200	0	4:2778|5:6945	300	300:7|350:10|400:13|450:15	601:1:18|769:1:12	-1	#00ff00|强化成功率：62%	0	0
3	22	5900	0	4:2904|5:7260	300	300:7|350:10|400:13|450:15	601:1:21|769:1:14	115	#00ff00|强化成功率：59%	0	0
3	23	5600	0	4:3048|5:7620	350	300:7|350:10|400:13|450:15	601:1:24|769:1:16	-1	#00ff00|强化成功率：56%	0	0
3	24	5300	0	4:3228|5:8070	350	300:7|350:10|400:13|450:15	601:1:27|769:1:18	-1	#00ff00|强化成功率：53%	0	0
3	25	5000	0	4:3480|5:8700	350	300:7|350:10|400:13|450:15	601:1:30|769:1:20	115	#00ff00|强化成功率：50%	0	0
3	26	4000	0	4:3804|5:9510	400	300:7|350:10|400:13|450:15	601:1:33|769:1:22	-1	#00ff00|强化成功率：40%	0	710:1:4
3	27	4000	0	4:4200|5:10500	400	300:7|350:10|400:13|450:15	601:1:36|769:1:24	115	#00ff00|强化成功率：40%	0	710:1:10
3	28	3000	0	4:4668|5:11670	400	300:7|350:10|400:13|450:15	601:1:39|769:1:26	-1	#00ff00|强化成功率：30%	0	710:1:20
3	29	3000	0	4:5244|5:13110	450	300:7|350:10|400:13|450:15	601:1:42|769:1:28	115	#00ff00|强化成功率：30%	0	710:1:40
3	30	2500	0	4:6000|5:15000	450	300:7|350:10|400:13|450:15	601:1:45|769:1:30	115	#00ff00|强化成功率：25%	0	710:1:120
4	1	10000	0	4:6|5:15|6:7|7:19	300	300:7|350:10|400:13|450:15	601:1:2	-1	#00ff00|强化成功率：100%	0	0
4	2	9500	0	4:18|5:45|6:23|7:59	300	300:7|350:10|400:13|450:15	601:1:4	-1	#00ff00|强化成功率：95%	0	0
4	3	9000	0	4:36|5:90|6:47|7:118	300	300:7|350:10|400:13|450:15	601:1:6	-1	#00ff00|强化成功率：90%	0	0
4	4	8500	0	4:60|5:150|6:79|7:198	300	300:7|350:10|400:13|450:15	601:1:8	-1	#00ff00|强化成功率：85%	0	0
4	5	8000	0	4:90|5:225|6:118|7:297	300	300:7|350:10|400:13|450:15	601:1:10	-1	#00ff00|强化成功率：80%	0	0
4	6	7500	0	4:126|5:315|6:166|7:415	300	300:7|350:10|400:13|450:15	601:1:12	-1	#00ff00|强化成功率：75%	0	0
4	7	7000	0	4:168|5:420|6:221|7:554	300	300:7|350:10|400:13|450:15	601:1:14	115	#00ff00|强化成功率：70%	0	0
4	8	6500	0	4:216|5:540|6:284|7:712	350	300:7|350:10|400:13|450:15	601:1:16	-1	#00ff00|强化成功率：65%	0	0
4	9	6000	0	4:276|5:690|6:364|7:910	350	300:7|350:10|400:13|450:15	601:1:18	-1	#00ff00|强化成功率：60%	0	0
4	10	5000	0	4:360|5:900|6:475|7:1188	350	300:7|350:10|400:13|450:15	601:1:20	115	#00ff00|强化成功率：50%	0	0
4	11	4000	0	4:468|5:1170|6:617|7:1544	400	300:7|350:10|400:13|450:15	601:1:22	-1	#00ff00|强化成功率：40%	0	710:1:2
4	12	4000	0	4:600|5:1500|6:792|7:1980	400	300:7|350:10|400:13|450:15	601:1:24	115	#00ff00|强化成功率：40%	0	710:1:4
4	13	3000	0	4:756|5:1890|6:997|7:2494	400	300:7|350:10|400:13|450:15	601:1:26	-1	#00ff00|强化成功率：30%	0	710:1:10
4	14	3000	0	4:948|5:2370|6:1251|7:3128	450	300:7|350:10|400:13|450:15	601:1:28	115	#00ff00|强化成功率：30%	0	710:1:20
4	15	2500	0	4:1200|5:3000|6:1584|7:3960	450	300:7|350:10|400:13|450:15	601:1:30	115	#00ff00|强化成功率：25%	0	710:1:50
4	16	10000	0	4:1209|5:3022|6:1596|7:3990	300	300:7|350:10|400:13|450:15	601:1:3|769:1:2	-1	#00ff00|强化成功率：100%	0	0
4	17	7600	0	4:1227|5:3067|6:1620|7:4049	300	300:7|350:10|400:13|450:15	601:1:6|769:1:4	-1	#00ff00|强化成功率：76%	0	0
4	18	7200	0	4:1254|5:3135|6:1655|7:4138	300	300:7|350:10|400:13|450:15	601:1:9|769:1:6	-1	#00ff00|强化成功率：72%	0	0
4	19	6800	0	4:1290|5:3225|6:1703|7:4257	300	300:7|350:10|400:13|450:15	601:1:12|769:1:8	-1	#00ff00|强化成功率：68%	0	0
4	20	6500	0	4:1335|5:3337|6:1762|7:4406	300	300:7|350:10|400:13|450:15	601:1:15|769:1:10	-1	#00ff00|强化成功率：65%	0	0
4	21	6200	0	4:1389|5:3472|6:1833|7:4584	300	300:7|350:10|400:13|450:15	601:1:18|769:1:12	-1	#00ff00|强化成功率：62%	0	0
4	22	5900	0	4:1452|5:3630|6:1917|7:4792	300	300:7|350:10|400:13|450:15	601:1:21|769:1:14	115	#00ff00|强化成功率：59%	0	0
4	23	5600	0	4:1524|5:3810|6:2012|7:5029	350	300:7|350:10|400:13|450:15	601:1:24|769:1:16	-1	#00ff00|强化成功率：56%	0	0
4	24	5300	0	4:1614|5:4035|6:2130|7:5326	350	300:7|350:10|400:13|450:15	601:1:27|769:1:18	-1	#00ff00|强化成功率：53%	0	0
4	25	5000	0	4:1740|5:4350|6:2297|7:5742	350	300:7|350:10|400:13|450:15	601:1:30|769:1:20	115	#00ff00|强化成功率：50%	0	0
4	26	4000	0	4:1902|5:4755|6:2511|7:6277	400	300:7|350:10|400:13|450:15	601:1:33|769:1:22	-1	#00ff00|强化成功率：40%	0	710:1:4
4	27	4000	0	4:2100|5:5250|6:2772|7:6930	400	300:7|350:10|400:13|450:15	601:1:36|769:1:24	115	#00ff00|强化成功率：40%	0	710:1:10
4	28	3000	0	4:2334|5:5835|6:3081|7:7702	400	300:7|350:10|400:13|450:15	601:1:39|769:1:26	-1	#00ff00|强化成功率：30%	0	710:1:20
4	29	3000	0	4:2622|5:6555|6:3461|7:8653	450	300:7|350:10|400:13|450:15	601:1:42|769:1:28	115	#00ff00|强化成功率：30%	0	710:1:40
4	30	2500	0	4:3000|5:7500|6:3960|7:9900	450	300:7|350:10|400:13|450:15	601:1:45|769:1:30	115	#00ff00|强化成功率：25%	0	710:1:120
5	1	10000	0	6:7|7:19|4:6|5:15	300	300:7|350:10|400:13|450:15	601:1:2	-1	#00ff00|强化成功率：100%	0	0
5	2	9500	0	6:23|7:59|4:18|5:45	300	300:7|350:10|400:13|450:15	601:1:4	-1	#00ff00|强化成功率：95%	0	0
5	3	9000	0	6:47|7:118|4:36|5:90	300	300:7|350:10|400:13|450:15	601:1:6	-1	#00ff00|强化成功率：90%	0	0
5	4	8500	0	6:79|7:198|4:60|5:150	300	300:7|350:10|400:13|450:15	601:1:8	-1	#00ff00|强化成功率：85%	0	0
5	5	8000	0	6:118|7:297|4:90|5:225	300	300:7|350:10|400:13|450:15	601:1:10	-1	#00ff00|强化成功率：80%	0	0
5	6	7500	0	6:166|7:415|4:126|5:315	300	300:7|350:10|400:13|450:15	601:1:12	-1	#00ff00|强化成功率：75%	0	0
5	7	7000	0	6:221|7:554|4:168|5:420	300	300:7|350:10|400:13|450:15	601:1:14	115	#00ff00|强化成功率：70%	0	0
5	8	6500	0	6:284|7:712|4:216|5:540	350	300:7|350:10|400:13|450:15	601:1:16	-1	#00ff00|强化成功率：65%	0	0
5	9	6000	0	6:364|7:910|4:276|5:690	350	300:7|350:10|400:13|450:15	601:1:18	-1	#00ff00|强化成功率：60%	0	0
5	10	5000	0	6:475|7:1188|4:360|5:900	350	300:7|350:10|400:13|450:15	601:1:20	115	#00ff00|强化成功率：50%	0	0
5	11	4000	0	6:617|7:1544|4:468|5:1170	400	300:7|350:10|400:13|450:15	601:1:22	-1	#00ff00|强化成功率：40%	0	710:1:2
5	12	4000	0	6:792|7:1980|4:600|5:1500	400	300:7|350:10|400:13|450:15	601:1:24	115	#00ff00|强化成功率：40%	0	710:1:4
5	13	3000	0	6:997|7:2494|4:756|5:1890	400	300:7|350:10|400:13|450:15	601:1:26	-1	#00ff00|强化成功率：30%	0	710:1:10
5	14	3000	0	6:1251|7:3128|4:948|5:2370	450	300:7|350:10|400:13|450:15	601:1:28	115	#00ff00|强化成功率：30%	0	710:1:20
5	15	2500	0	6:1584|7:3960|4:1200|5:3000	450	300:7|350:10|400:13|450:15	601:1:30	115	#00ff00|强化成功率：25%	0	710:1:50
5	16	10000	0	6:1596|7:3990|4:1209|5:3022	300	300:7|350:10|400:13|450:15	601:1:3|769:1:2	-1	#00ff00|强化成功率：100%	0	0
5	17	7600	0	6:1620|7:4049|4:1227|5:3067	300	300:7|350:10|400:13|450:15	601:1:6|769:1:4	-1	#00ff00|强化成功率：76%	0	0
5	18	7200	0	6:1655|7:4138|4:1254|5:3135	300	300:7|350:10|400:13|450:15	601:1:9|769:1:6	-1	#00ff00|强化成功率：72%	0	0
5	19	6800	0	6:1703|7:4257|4:1290|5:3225	300	300:7|350:10|400:13|450:15	601:1:12|769:1:8	-1	#00ff00|强化成功率：68%	0	0
5	20	6500	0	6:1762|7:4406|4:1335|5:3337	300	300:7|350:10|400:13|450:15	601:1:15|769:1:10	-1	#00ff00|强化成功率：65%	0	0
5	21	6200	0	6:1833|7:4584|4:1389|5:3472	300	300:7|350:10|400:13|450:15	601:1:18|769:1:12	-1	#00ff00|强化成功率：62%	0	0
5	22	5900	0	6:1917|7:4792|4:1452|5:3630	300	300:7|350:10|400:13|450:15	601:1:21|769:1:14	115	#00ff00|强化成功率：59%	0	0
5	23	5600	0	6:2012|7:5029|4:1524|5:3810	350	300:7|350:10|400:13|450:15	601:1:24|769:1:16	-1	#00ff00|强化成功率：56%	0	0
5	24	5300	0	6:2130|7:5326|4:1614|5:4035	350	300:7|350:10|400:13|450:15	601:1:27|769:1:18	-1	#00ff00|强化成功率：53%	0	0
5	25	5000	0	6:2297|7:5742|4:1740|5:4350	350	300:7|350:10|400:13|450:15	601:1:30|769:1:20	115	#00ff00|强化成功率：50%	0	0
5	26	4000	0	6:2511|7:6277|4:1902|5:4755	400	300:7|350:10|400:13|450:15	601:1:33|769:1:22	-1	#00ff00|强化成功率：40%	0	710:1:4
5	27	4000	0	6:2772|7:6930|4:2100|5:5250	400	300:7|350:10|400:13|450:15	601:1:36|769:1:24	115	#00ff00|强化成功率：40%	0	710:1:10
5	28	3000	0	6:3081|7:7702|4:2334|5:5835	400	300:7|350:10|400:13|450:15	601:1:39|769:1:26	-1	#00ff00|强化成功率：30%	0	710:1:20
5	29	3000	0	6:3461|7:8653|4:2622|5:6555	450	300:7|350:10|400:13|450:15	601:1:42|769:1:28	115	#00ff00|强化成功率：30%	0	710:1:40
5	30	2500	0	6:3960|7:9900|4:3000|5:7500	450	300:7|350:10|400:13|450:15	601:1:45|769:1:30	115	#00ff00|强化成功率：25%	0	710:1:120
6	1	10000	0	4:12|5:30	300	300:7|350:10|400:13|450:15	601:1:2	-1	#00ff00|强化成功率：100%	0	0
6	2	9500	0	4:36|5:90	300	300:7|350:10|400:13|450:15	601:1:4	-1	#00ff00|强化成功率：95%	0	0
6	3	9000	0	4:72|5:180	300	300:7|350:10|400:13|450:15	601:1:6	-1	#00ff00|强化成功率：90%	0	0
6	4	8500	0	4:120|5:300	300	300:7|350:10|400:13|450:15	601:1:8	-1	#00ff00|强化成功率：85%	0	0
6	5	8000	0	4:180|5:450	300	300:7|350:10|400:13|450:15	601:1:10	-1	#00ff00|强化成功率：80%	0	0
6	6	7500	0	4:252|5:630	300	300:7|350:10|400:13|450:15	601:1:12	-1	#00ff00|强化成功率：75%	0	0
6	7	7000	0	4:336|5:840	300	300:7|350:10|400:13|450:15	601:1:14	115	#00ff00|强化成功率：70%	0	0
6	8	6500	0	4:432|5:1080	350	300:7|350:10|400:13|450:15	601:1:16	-1	#00ff00|强化成功率：65%	0	0
6	9	6000	0	4:552|5:1380	350	300:7|350:10|400:13|450:15	601:1:18	-1	#00ff00|强化成功率：60%	0	0
6	10	5000	0	4:720|5:1800	350	300:7|350:10|400:13|450:15	601:1:20	115	#00ff00|强化成功率：50%	0	0
6	11	4000	0	4:936|5:2340	400	300:7|350:10|400:13|450:15	601:1:22	-1	#00ff00|强化成功率：40%	0	710:1:2
