INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT
21	-1	4:432|5:1080|6:259|7:648|1:32400	15	3	424	3	3	3½×1ÐÇ¡¤Ê´Ñ×	1500000
22	-1	4:464|5:1160|6:278|7:696|1:34800	15	3	0	3	3	3½×2ÐÇ¡¤Ê´Ñ×	1500000
23	-1	4:496|5:1240|6:297|7:744|1:37200	15	3	0	3	3	3½×3ÐÇ¡¤Ê´Ñ×	1500000
24	-1	4:528|5:1320|6:316|7:792|1:39600	15	3	0	3	3	3½×4ÐÇ¡¤Ê´Ñ×	1500000
25	-1	4:560|5:1400|6:335|7:840|1:42000	15	3	0	3	3	3½×5ÐÇ¡¤Ê´Ñ×	1500000
26	-1	4:592|5:1480|6:354|7:888|1:44400	15	3	0	3	3	3½×6ÐÇ¡¤Ê´Ñ×	1500000
27	-1	4:624|5:1560|6:373|7:936|1:46800	15	3	0	3	3	3½×7ÐÇ¡¤Ê´Ñ×	1500000
28	-1	4:656|5:1640|6:392|7:984|1:49200	15	3	0	3	3	3½×8ÐÇ¡¤Ê´Ñ×	1500000
29	-1	4:688|5:1720|6:411|7:1032|1:51600	15	3	0	3	3	3½×9ÐÇ¡¤Ê´Ñ×	1500000
30	-1	4:720|5:1800|6:430|7:1080|1:54000	15	3	0	3	3	3½×10ÐÇ¡¤Ê´Ñ×	2000000
31	-1	4:768|5:1920|6:458|7:1152|1:57600	15	4	424	4	4	4½×1ÐÇ¡¤¿ñ±©	2000000
32	-1	4:816|5:2040|6:486|7:1224|1:61200	15	4	0	4	4	4½×2ÐÇ¡¤¿ñ±©	2000000
33	-1	4:864|5:2160|6:514|7:1296|1:64800	15	4	0	4	4	4½×3ÐÇ¡¤¿ñ±©	2000000
34	-1	4:912|5:2280|6:542|7:1368|1:68400	15	4	0	4	4	4½×4ÐÇ¡¤¿ñ±©	2000000
35	-1	4:960|5:2400|6:570|7:1440|1:72000	15	4	0	4	4	4½×5ÐÇ¡¤¿ñ±©	2000000
36	-1	4:1008|5:2520|6:598|7:1512|1:75600	15	4	0	4	4	4½×6ÐÇ¡¤¿ñ±©	2000000
37	-1	4:1056|5:2640|6:626|7:1584|1:79200	15	4	0	4	4	4½×7ÐÇ¡¤¿ñ±©	2000000
38	-1	4:1104|5:2760|6:654|7:1656|1:82800	15	4	0	4	4	4½×8ÐÇ¡¤¿ñ±©	2000000
39	-1	4:1152|5:2880|6:682|7:1728|1:86400	15	4	0	4	4	4½×9ÐÇ¡¤¿ñ±©	2000000
40	-1	4:1200|5:3000|6:710|7:1800|1:90000	15	4	0	4	4	4½×10ÐÇ¡¤¿ñ±©	3000000
41	-1	4:1268|5:3170|6:750|7:1902|1:95100	15	5	424	5	5	5½×1ÐÇ¡¤Ê·Ê«	3000000
42	-1	4:1336|5:3340|6:790|7:2004|1:100200	15	5	0	5	5	5½×2ÐÇ¡¤Ê·Ê«	3000000
43	-1	4:1404|5:3510|6:830|7:2106|1:105300	15	5	0	5	5	5½×3ÐÇ¡¤Ê·Ê«	3000000
44	-1	4:1472|5:3680|6:870|7:2208|1:110400	15	5	0	5	5	5½×4ÐÇ¡¤Ê·Ê«	3000000
45	-1	4:1540|5:3850|6:910|7:2310|1:115500	15	5	0	5	5	5½×5ÐÇ¡¤Ê·Ê«	3000000
46	-1	4:1608|5:4020|6:950|7:2412|1:120600	15	5	0	5	5	5½×6ÐÇ¡¤Ê·Ê«	3000000
47	-1	4:1676|5:4190|6:990|7:2514|1:125700	15	5	0	5	5	5½×7ÐÇ¡¤Ê·Ê«	3000000
48	-1	4:1744|5:4360|6:1030|7:2616|1:130800	15	5	0	5	5	5½×8ÐÇ¡¤Ê·Ê«	3000000
49	-1	4:1812|5:4530|6:1070|7:2718|1:135900	15	5	0	5	5	5½×9ÐÇ¡¤Ê·Ê«	3000000
50	-1	4:1880|5:4700|6:1110|7:2820|1:141000	15	5	0	5	5	5½×10ÐÇ¡¤Ê·Ê«	4000000
51	-1	4:1972|5:4930|6:1165|7:2958|1:147900	15	6	424	6	6	6½×1ÐÇ¡¤ÉñÊ¥	4000000
52	-1	4:2064|5:5160|6:1220|7:3096|1:154800	15	6	0	6	6	6½×2ÐÇ¡¤ÉñÊ¥	4000000
53	-1	4:2156|5:5390|6:1275|7:3234|1:161700	15	6	0	6	6	6½×3ÐÇ¡¤ÉñÊ¥	4000000
54	-1	4:2248|5:5620|6:1330|7:3372|1:168600	15	6	0	6	6	6½×4ÐÇ¡¤ÉñÊ¥	4000000
55	-1	4:2340|5:5850|6:1385|7:3510|1:175500	15	6	0	6	6	6½×5ÐÇ¡¤ÉñÊ¥	4000000
56	-1	4:2432|5:6080|6:1440|7:3648|1:182400	15	7	0	6	6	6½×6ÐÇ¡¤ÉñÊ¥	4000000
57	-1	4:2524|5:6310|6:1495|7:3786|1:189300	15	7	0	6	6	6½×7ÐÇ¡¤ÉñÊ¥	4000000
58	-1	4:2616|5:6540|6:1550|7:3924|1:196200	15	7	0	6	6	6½×8ÐÇ¡¤ÉñÊ¥	4000000
59	-1	4:2708|5:6770|6:1605|7:4062|1:203100	15	7	0	6	6	6½×9ÐÇ¡¤ÉñÊ¥	4000000
60	-1	4:2800|5:7000|6:1660|7:4200|1:210000	15	7	0	6	6	6½×10ÐÇ¡¤ÉñÊ¥	5000000
61	-1	4:2920|5:7300|6:1732|7:4380|1:219000	15	8	424	7	7	7½×1ÐÇ¡¤ºé»Ä	5000000
62	-1	4:3040|5:7600|6:1804|7:4560|1:228000	15	8	0	7	7	7½×2ÐÇ¡¤ºé»Ä	5000000
63	-1	4:3160|5:7900|6:1876|7:4740|1:237000	15	8	0	7	7	7½×3ÐÇ¡¤ºé»Ä	5000000
64	-1	4:3280|5:8200|6:1948|7:4920|1:246000	15	8	0	7	7	7½×4ÐÇ¡¤ºé»Ä	5000000
65	-1	4:3400|5:8500|6:2020|7:5100|1:255000	15	8	0	7	7	7½×5ÐÇ¡¤ºé»Ä	5000000
66	-1	4:3520|5:8800|6:2092|7:5280|1:264000	15	9	0	7	7	7½×6ÐÇ¡¤ºé»Ä	5000000
67	-1	4:3640|5:9100|6:2164|7:5460|1:273000	15	9	0	7	7	7½×7ÐÇ¡¤ºé»Ä	5000000
68	-1	4:3760|5:9400|6:2236|7:5640|1:282000	15	9	0	7	7	7½×8ÐÇ¡¤ºé»Ä	5000000
69	-1	4:3880|5:9700|6:2308|7:5820|1:291000	15	9	0	7	7	7½×9ÐÇ¡¤ºé»Ä	5000000
70	-1	4:4000|5:10000|6:2380|7:6000|1:300000	15	10	424	7	7	7½×10ÐÇ¡¤ºé»Ä	5000000
