INT	INT	INT	INT	INT	STRING	INT	STRING	STRING
38	4001	3	0	5	10131	1	10132	罪恶之王神选者已经出现了，击败他！
38	4001	4	0	5	10132	1	10133	你们击败了罪恶之王神选者！！罪恶之王化身已经降临到了这个空间，让他后悔来到这个世界吧！
39	4001	1	0	1	0	1	10134	恐惧之王亵渎者已经出现了，击败他！
39	4001	2	0	1	0	1	10018:10019:10020:10021:10022:10023:10024:10025:10026:10027:10028:10029:10030:10031:10032:10033:10034:10035:10036:10037:10038:10039:10040:10041:10042:10043:10044:10045:10046:10047:10048:10049:10050:10051:10052:10053:10054:10019:10055:10056:10057:10058:10059:10060:10061:10062:10063:10064:10065:10066:10067:10068:10069:10070:10071:10072:10073:10074:10075:10076:10077:10078:10079:10080:10081:10082:10083:10084:10085:10086:10087:10088:10089:10090:10091:10092:10093:10094:10095:10096:10097:10098:10099:10100:10101:10102:10103:10104:10105:10106:10107:10108:10109:10110:10111:10112:10113:10114:10115:10116:10117:10118:10119:10120:10121:10122:10123:10124	-1
39	4001	3	0	5	10134	1	10135	恐惧之王神选者已经出现了，击败他！
39	4001	4	0	5	10135	1	10136	你们击败了恐惧之王神选者！！恐惧之王化身已经降临到了这个空间，让他后悔来到这个世界吧！
40	4001	1	0	1	0	1	10137	破坏之王亵渎者已经出现了，击败他！
40	4001	2	0	1	0	1	10018:10019:10020:10021:10022:10023:10024:10025:10026:10027:10028:10029:10030:10031:10032:10033:10034:10035:10036:10037:10038:10039:10040:10041:10042:10043:10044:10045:10046:10047:10048:10049:10050:10051:10052:10053:10054:10019:10055:10056:10057:10058:10059:10060:10061:10062:10063:10064:10065:10066:10067:10068:10069:10070:10071:10072:10073:10074:10075:10076:10077:10078:10079:10080:10081:10082:10083:10084:10085:10086:10087:10088:10089:10090:10091:10092:10093:10094:10095:10096:10097:10098:10099:10100:10101:10102:10103:10104:10105:10106:10107:10108:10109:10110:10111:10112:10113:10114:10115:10116:10117:10118:10119:10120:10121:10122:10123:10124	-1
40	4001	3	0	5	10137	1	10138	破坏之王神选者已经出现了，击败他！
40	4001	4	0	5	10138	1	10139	你们击败了破坏之王神选者！！破坏之王化身已经降临到了这个空间，让他后悔来到这个世界吧！
41	4001	1	0	1	0	1	10140	死亡天使亵渎者已经出现了，击败他！
41	4001	2	0	1	0	1	10018:10019:10020:10021:10022:10023:10024:10025:10026:10027:10028:10029:10030:10031:10032:10033:10034:10035:10036:10037:10038:10039:10040:10041:10042:10043:10044:10045:10046:10047:10048:10049:10050:10051:10052:10053:10054:10019:10055:10056:10057:10058:10059:10060:10061:10062:10063:10064:10065:10066:10067:10068:10069:10070:10071:10072:10073:10074:10075:10076:10077:10078:10079:10080:10081:10082:10083:10084:10085:10086:10087:10088:10089:10090:10091:10092:10093:10094:10095:10096:10097:10098:10099:10100:10101:10102:10103:10104:10105:10106:10107:10108:10109:10110:10111:10112:10113:10114:10115:10116:10117:10118:10119:10120:10121:10122:10123:10124	-1
41	4001	3	0	5	10140	1	10141	死亡天使神选者已经出现了，击败他！
41	4001	4	0	5	10141	1	10142	你们击败了死亡天使神选者！！死亡天使化身已经降临到了这个空间，让他后悔来到这个世界吧！
2	7001	1	0	1	0	1	10010	杀怪吧，小朋友
2	7001	2	0	1	600	2	1000	2层传送门开启啦！！！
2	7002	1	0	1	0	1	10011	杀怪吧，小朋友
2	7002	2	0	1	1200	2	1001	3层传送门开启啦！！！
2	7003	1	0	1	0	1	10012	打BOSS吧，小朋友
3	7004	1	0	1	0	2	10013	杀怪吧，小朋友
3	7004	2	0	1	0	1	1002	集满庇护所符文石才能通过传送门！
3	7005	1	0	1	0	2	10014	杀怪吧，小朋友
3	7005	2	0	1	0	1	1003	集满庇护所符文石才能通过传送门！
3	7006	1	0	1	0	2	10015	杀怪吧，小朋友
3	7006	2	0	1	0	1	1004	集满庇护所符文石才能通过传送门！
3	7007	1	0	1	0	2	10016	杀怪吧，小朋友
3	7007	2	0	1	0	1	1005	集满庇护所符文石才能通过传送门！
3	7008	1	0	1	0	1	10017	打BOSS吧，小朋友
4	7009	1	0	1	0	1	20001:20002:20003:20004:20005:20006:20007:20008:20009:20010:20011:20012:20013:20014:20015:20016:20017:20018:20019:20020:20021:20022:20023:20024:20025:20026:20027:20028:20029:20030:20031:20032:20033:20034:20035:20036:20037:20038:20039:20040:20041:20042:20043:20044:20045:20046:20047:20048:20049:20050:20051:20052:20053:20054:20055:20056:20057:20058:20059:20060:20061:20062:20063:20064:20065:20066:20067:20068:20069:20070:20071:20072:20073:20074:20075:20076:20077:20078:20079:20080:20081:20082:20083:20084:20085:20086:20087:20088:20089:20090:20091:20092:20093:20094:20095:20096:20097:20098:20099:20100:20101:20102:20103:20104:20105:20106:20107:20108:20109:20110:20111:20112:20113:20114:20115:20116:20117:20118:20119:20120:20121:20122:20123:20124:20125:20126:20127:20128:20129:20130:20131:20132:20133:20134:20135:20136:20137:20138:20139:20140:20141:20142:20143:20144:20145:20146:20147:20148:20149:20150:20151:20152:20153:20154:20155:20156:20157:20158:20159:20160:20161:20162:20163:20164:20165:20166:20167:20168:20169:20170:20171:20172:20173:20174:20175:20176:20177:20178:20179:20180:20181:20182:20183:20184:20185:20186:20187:20188:20189:20190:20191:20192:20193:20194:20195:20196:20197:20198:20199:20200:20201:20202:20203:20204:20205:20206:20207:20208:20209:20210:20211:20212:20213:20214:20215:20216:20217:20218:20219:20220:20221:20222:20223:20224:20225:20226:20227:20228:20229:20230:20231:20232:20233:20234:20235:20236:20237:20238:20239:20240:20241:20242:20243:20244:20245:20246:20247:20248:20249:20250:20251:20252:20253:20254:20255:20256:20257:20258:20259:20260:20261:20262:20263:20264:20265:20266:20267:20268:20269:20270:20271:20272:20273:20274:20275:20276:20277:20278:20279:20280:20281:20282:20283:20284:20285:20286:20287:20288:20289:20290:20291:20292:20293:20294:20295:20296:20297:20298:20299:20300:20301:20302:20303:20304:20305:20306:20307:20308:20309:20310:20311:20312:20313:20314:20315:20316:20317:20318:20319:20320:20321:20322:20323:20324:20325:20326:20327:20328:20329:20330:20331:20332	获得灵魂精髓来激活远古列王之柱，就能发现远古志高王存放他王冠的墓室
4	7010	1	0	1	0	1	20333	杀了这怪拿王冠
4	7011	1	0	1	0	1	20334	杀了最后BOSS拿奖励
42	8001	1	0	1	1	1	1000001	刷出雕像
42	8001	2	0	1	1	1	1000002	刷出城门
42	8001	3	0	1	1	6	102:158|102:157|103:156|103:155|104:154|104:153|105:152|105:151|106:150|106:149|107:148|107:147	刷出障碍点
42	8001	4	0	5	1000002	7	102:158|102:157|103:156|103:155|104:154|104:153|105:152|105:151|106:150|106:149|107:148|107:147	障碍点移除
42	8001	5	0	5	1000001	3	13	刷出城主印
42	8001	6	0	5	1000002	8	333	城门被击破
42	8001	7	0	5	1000001	8	336	雕像被击破
42	8001	8	0	1	1	3	12	刷出战车
4	50041	1	0	1	0	1	10001:10002:10003:10004:10005:10006:10007:10008:10009:10010:10011:10012:10013:10014:10015:10016:10017:10018:10019:10020	杀怪吧，小朋友
4	50043	1	0	1	0	1	10021:10022:10023:10024:10025:10026:10027:10028:10029:10030:10031:10032:10033:10034:10035:10036:10037:10038:10039:10040	杀怪吧，小朋友
4	50044	1	0	1	0	1	10041:10042:10043:10044:10045:10046:10047:10048:10049:10050:10051:10052:10053:10054:10055:10056:10057:10058:10059:10060	杀怪吧，小朋友
4	50045	1	0	1	0	1	10061:10062:10063:10064:10065:10066:10067:10068:10069:10070:10071:10072:10073:10074:10075:10076:10077:10078:10079:10080	杀怪吧，小朋友
4	50046	1	0	1	0	1	10081:10082:10083:10084:10085:10086:10087:10088:10089:10090:10091:10092:10093:10094:10095:10096:10097:10098:10099:10100	杀怪吧，小朋友
4	50047	1	0	1	0	1	10101:10102:10103:10104:10105:10106:10107:10108:10109:10110:10111:10112:10113:10114:10115:10116:10117:10118:10119:10120	杀怪吧，小朋友
4	50048	1	0	1	0	1	10121:10122:10123:10124:10125:10126:10127:10128:10129:10130:10131:10132:10133:10134:10135:10136:10137:10138:10139:10140	杀怪吧，小朋友
4	50049	1	0	1	0	1	10141:10142:10143:10144:10145:10146:10147:10148:10149:10150:10151:10152:10153:10154:10155:10156:10157:10158:10159:10160	杀怪吧，小朋友
4	50050	1	0	1	0	1	10161:10162:10163:10164:10165:10166:10167:10168:10169:10170:10171:10172:10173:10174:10175:10176:10177:10178:10179:10180	杀怪吧，小朋友
4	50051	1	0	1	0	1	10181:10182:10183:10184:10185:10186:10187:10188:10189:10190:10191:10192:10193:10194:10195:10196:10197:10198:10199:10200	杀怪吧，小朋友
4	50135	1	0	1	0	1	10201:10202:10203:10204:10205:10206:10207:10208:10209:10210:10211:10212:10213:10214:10215:10216:10217:10218:10219:10220	杀怪吧，小朋友
4	50136	1	0	1	0	1	10221:10222:10223:10224:10225:10226:10227:10228:10229:10230:10231:10232:10233:10234:10235:10236:10237:10238:10239:10240	杀怪吧，小朋友
4	50137	1	0	1	0	1	10241:10242:10243:10244:10245:10246:10247:10248:10249:10250:10251:10252:10253:10254:10255:10256:10257:10258:10259:10260	杀怪吧，小朋友
4	50041	2	0	1	0	1	10261:10262:10263:10264	守护我的通天塔
4	50043	2	0	1	0	1	10265:10266:10267:10268	守护我的通天塔
4	50044	2	0	1	0	1	10269:10270:10271:10272	守护我的通天塔
4	50045	2	0	1	0	1	10273:10274:10275:10276	守护我的通天塔
4	50046	2	0	1	0	1	10277:10278:10279:10280	守护我的通天塔
4	50047	2	0	1	0	1	10281:10282:10283:10284	守护我的通天塔
4	50048	2	0	1	0	1	10285:10286:10287:10288	守护我的通天塔
4	50049	2	0	1	0	1	10289:10290:10291:10292	守护我的通天塔
4	50050	2	0	1	0	1	10293:10294:10295:10296	守护我的通天塔
4	50051	2	0	1	0	1	10297:10298:10299:10300	守护我的通天塔
4	50135	2	0	1	0	1	10301:10302:10303:10304	守护我的通天塔
4	50136	2	0	1	0	1	10305:10306:10307:10308	守护我的通天塔
4	50137	2	0	1	0	1	10309:10310:10311:10312	守护我的通天塔
5	50053	1	0	1	0	3	1:2:3:4	风云碑采集物
5	50053	2	0	1	0	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
5	50053	3	0	1	115	5	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	移除上一波怪物
5	50053	4	0	1	120	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
5	50053	5	0	1	295	5	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	移除上一波怪物
5	50053	6	0	1	300	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
5	50053	7	0	1	475	5	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	移除上一波怪物
5	50053	8	0	1	480	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
5	50053	9	0	1	655	5	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	移除上一波怪物
5	50053	10	0	1	660	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
5	50053	11	0	1	835	5	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	移除上一波怪物
5	50053	12	0	1	840	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
5	50053	13	0	1	1015	5	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	移除上一波怪物
5	50053	14	0	1	1020	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
5	50053	15	0	1	1195	5	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	移除上一波怪物
5	50053	16	0	1	1200	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
5	50053	17	0	1	1375	5	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	移除上一波怪物
5	50053	18	0	1	1380	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
5	50053	19	0	1	1555	5	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	移除上一波怪物
5	50053	20	0	1	1560	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
5	50053	21	0	1	1735	5	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	移除上一波怪物
5	50053	22	0	1	1740	1	12001:12002:12003:12004:12005:12006:12007:12008:12009:12010	风云碑刷怪
6	50054	1	0	1	60	3	5	出现博士的实验箱
6	50054	2	0	1	180	3	5	出现博士的实验箱
6	50054	3	0	1	480	3	5	出现博士的实验箱
6	50054	4	0	1	780	3	6	出现博士的实验箱
6	50054	5	0	1	1080	3	6	出现博士的实验箱
7	50129	1	0	1	0	1	11001	圣域争霸正式开始，逐鹿天下，谁主沉浮！
8	50041	1	0	1	0	1	10001:10002:10003:10004:10005:10006:10007:10008:10009:10010:10011:10012:10013:10014:10015:10016:10017:10018:10019:10020	杀怪吧，小朋友
8	50043	1	0	1	0	1	10021:10022:10023:10024:10025:10026:10027:10028:10029:10030:10031:10032:10033:10034:10035:10036:10037:10038:10039:10040	杀怪吧，小朋友
8	50044	1	0	1	0	1	10041:10042:10043:10044:10045:10046:10047:10048:10049:10050:10051:10052:10053:10054:10055:10056:10057:10058:10059:10060	杀怪吧，小朋友
8	50045	1	0	1	0	1	10061:10062:10063:10064:10065:10066:10067:10068:10069:10070:10071:10072:10073:10074:10075:10076:10077:10078:10079:10080	杀怪吧，小朋友
8	50046	1	0	1	0	1	10081:10082:10083:10084:10085:10086:10087:10088:10089:10090:10091:10092:10093:10094:10095:10096:10097:10098:10099:10100	杀怪吧，小朋友
8	50047	1	0	1	0	1	10101:10102:10103:10104:10105:10106:10107:10108:10109:10110:10111:10112:10113:10114:10115:10116:10117:10118:10119:10120	杀怪吧，小朋友
8	50048	1	0	1	0	1	10121:10122:10123:10124:10125:10126:10127:10128:10129:10130:10131:10132:10133:10134:10135:10136:10137:10138:10139:10140	杀怪吧，小朋友
8	50049	1	0	1	0	1	10141:10142:10143:10144:10145:10146:10147:10148:10149:10150:10151:10152:10153:10154:10155:10156:10157:10158:10159:10160	杀怪吧，小朋友
8	50050	1	0	1	0	1	10161:10162:10163:10164:10165:10166:10167:10168:10169:10170:10171:10172:10173:10174:10175:10176:10177:10178:10179:10180	杀怪吧，小朋友
8	50051	1	0	1	0	1	10181:10182:10183:10184:10185:10186:10187:10188:10189:10190:10191:10192:10193:10194:10195:10196:10197:10198:10199:10200	杀怪吧，小朋友
8	50135	1	0	1	0	1	10201:10202:10203:10204:10205:10206:10207:10208:10209:10210:10211:10212:10213:10214:10215:10216:10217:10218:10219:10220	杀怪吧，小朋友
8	50136	1	0	1	0	1	10221:10222:10223:10224:10225:10226:10227:10228:10229:10230:10231:10232:10233:10234:10235:10236:10237:10238:10239:10240	杀怪吧，小朋友
8	50137	1	0	1	0	1	10241:10242:10243:10244:10245:10246:10247:10248:10249:10250:10251:10252:10253:10254:10255:10256:10257:10258:10259:10260	杀怪吧，小朋友
8	50041	2	0	1	0	1	10261:10262:10263:10264	守护我的通天塔
8	50043	2	0	1	0	1	10265:10266:10267:10268	守护我的通天塔
8	50044	2	0	1	0	1	10269:10270:10271:10272	守护我的通天塔
8	50045	2	0	1	0	1	10273:10274:10275:10276	守护我的通天塔
8	50046	2	0	1	0	1	10277:10278:10279:10280	守护我的通天塔
8	50047	2	0	1	0	1	10281:10282:10283:10284	守护我的通天塔
8	50048	2	0	1	0	1	10285:10286:10287:10288	守护我的通天塔
8	50049	2	0	1	0	1	10289:10290:10291:10292	守护我的通天塔
8	50050	2	0	1	0	1	10293:10294:10295:10296	守护我的通天塔
8	50051	2	0	1	0	1	10297:10298:10299:10300	守护我的通天塔
8	50135	2	0	1	0	1	10301:10302:10303:10304	守护我的通天塔
8	50136	2	0	1	0	1	10305:10306:10307:10308	守护我的通天塔
8	50137	2	0	1	0	1	10309:10310:10311:10312	守护我的通天塔
13	50161	1	0	1	0	9	13001:13002:13003:13004:13005:13006:13007	银翅夜叉重生了
14	60018	1	0	1	0	12	14001:1500000|14060:2500000|14068:30000000	-1
14	60018	2	0	1	0	12	14002:1500000|14061:2500000|14069:30000000	-1
14	60018	3	0	1	0	12	14003:1500000|14062:2500000|14070:30000000	-1
14	60018	4	0	1	0	12	14004:1500000|14063:2500000|14071:30000000	-1
14	60018	5	0	1	0	12	14005:1500000|14064:2500000|14072:30000000	-1
14	60018	6	0	1	0	12	14006:1500000|14065:2500000|14073:30000000	-1
14	60018	7	0	1	0	12	14007:1500000|14066:2500000|14074:30000000	-1
14	60018	8	0	1	0	12	14008:1500000|14067:2500000|14075:30000000	-1
14	60018	9	0	1	0	1	14010:14011:14012:14013:14014:14015:14016:14017:14018:14019:14020:14021:14022:14023:14024:14025:14026:14027:14028:14029:14030:14031:14032:14033:14034:14035:14036:14037:14038:14039:14040:14041:14042:14043:14044:14045:14046:14047:14048:14049:14050:14051:14052:14053:14054:14055:14056:14057	-1
14	60018	10	1	1	180	11	14009:2000000|14058:3000000|14059:30000000	火焰领主出现了！
14	60018	11	0	2	1	4	10	-1
14	60018	12	0	2	1	10	494	-1
14	60018	13	0	1	300	3	7	大量秘境宝箱出现了！
14	60018	14	0	1	300	10	495	-1
14	60018	15	0	1	900	3	7	大量秘境宝箱出现了！
14	60018	16	0	1	900	10	495	-1
14	60018	17	0	1	1800	3	7	大量秘境宝箱出现了！
14	60018	18	0	1	1800	10	495	-1
14	60018	19	0	1	2700	3	7	大量秘境宝箱出现了！
14	60018	20	0	1	2700	10	495	-1
14	60018	21	0	1	3300	3	7	大量秘境宝箱出现了！
14	60018	22	0	1	3300	10	495	-1
14	60018	23	0	1	3480	10	493	-1
15	60021	1	0	1	0	1	15000	-1
15	60021	1	0	1	60	10	516	-1
15	60021	2	0	1	300	1	15001:15002:15003:15004:15005:15006:15007	-1
15	60022	2	0	1	300	1	15001:15002:15003:15004:15005:15006:15007	-1
15	60023	2	0	1	300	1	15001:15002:15003:15004:15005:15006:15007	-1
15	60024	2	0	1	300	1	15001:15002:15003:15004:15005:15006:15007	-1
15	60025	2	0	1	300	1	15008:15009:15010:15011:15012:15013:15014	-1
15	60025	3	0	1	300	3	8	-1
15	60026	3	0	1	300	3	8	-1
15	60027	3	0	1	300	3	8	-1
15	60028	3	0	1	300	3	8	-1
15	60029	3	0	1	300	3	9	-1
15	60021	4	0	1	300	1	15015:15016:15017	-1
15	60022	4	0	1	300	1	15015:15016:15017	-1
15	60023	4	0	1	300	1	15015:15016:15017	-1
15	60024	4	0	1	300	1	15015:15016:15017	-1
15	60025	4	0	1	300	1	15018:15019:15020	-1
15	60026	4	0	1	300	1	15018:15019:15020	-1
15	60027	4	0	1	300	1	15018:15019:15020	-1
15	60028	4	0	1	300	1	15018:15019:15020	-1
15	60029	4	0	1	300	1	15021:15022:15023	-1
15	60028	5	0	1	3000	10	515	-1
15	60028	6	0	1	3300	10	517	-1
17	50174	1	0	1	0	12	16001:1000000|16002:1500000|16003:2500000|16004:3000000|16005:30000000	-1
17	50174	2	0	1	120	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
17	50174	3	0	1	180	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
17	50174	4	0	1	240	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
17	50174	5	0	1	300	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
17	50174	6	0	1	360	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
17	50174	7	0	1	420	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
17	50174	8	0	1	480	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
17	50174	9	0	1	540	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
17	50174	10	0	1	600	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
18	50174	1	0	1	0	12	16001:1000000|16002:1500000|16003:2500000|16004:3000000|16005:30000000	-1
18	50174	2	0	1	120	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
18	50174	3	0	1	180	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
18	50174	4	0	1	240	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
18	50174	5	0	1	300	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
18	50174	6	0	1	360	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
18	50174	7	0	1	420	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
18	50174	8	0	1	480	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
18	50174	9	0	1	540	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
18	50174	10	0	1	600	1	16006:16007:16008:16009:16010:16011:16012:16013:16014:16015:16016:16017:16018:16019:16020:16021:16022:16023	自爆僵尸出现了！
