STRING	INT	INT	INT	INT	INT
1_1_4_16	2	3	1	4	0
1_1_4_17	2	3	1	4	0
1_1_4_18	2	3	1	4	0
1_1_4_19	2	3	1	4	0
1_1_4_20	2	3	1	4	0
1_1_5_1	2	3	1	4	0
1_1_5_2	2	3	1	4	0
1_1_5_3	2	3	1	4	0
1_1_5_4	2	3	1	4	0
1_1_5_5	2	3	1	4	0
1_1_5_6	2	3	1	4	0
1_1_5_7	2	3	1	4	0
1_1_5_8	2	3	1	4	0
1_1_5_9	2	3	1	4	0
1_1_5_10	2	3	1	4	0
1_1_5_11	2	3	1	4	0
1_1_5_12	2	3	1	4	0
1_1_5_13	2	3	1	4	0
1_1_5_14	2	3	1	4	0
1_1_5_15	2	3	1	4	0
1_1_5_16	2	3	1	4	0
1_1_5_17	2	3	1	4	0
1_1_5_18	2	3	1	4	0
1_1_5_19	2	3	1	4	0
1_1_5_20	2	3	1	4	0
1_1_6_1	3	2	1	4	0
1_1_6_2	3	2	1	4	0
1_1_6_3	3	2	1	4	0
1_1_6_4	3	2	1	4	0
1_1_6_5	3	2	1	4	0
1_1_6_6	3	2	1	4	0
1_1_6_7	3	2	1	4	0
1_1_6_8	3	2	1	4	0
1_1_6_9	3	2	1	4	0
1_1_6_10	3	2	1	4	0
1_1_6_11	3	2	1	4	0
1_1_6_12	3	2	1	4	0
1_1_6_13	3	2	1	4	0
1_1_6_14	3	2	1	4	0
1_1_6_15	3	2	1	4	0
1_1_6_16	3	2	1	4	0
1_1_6_17	3	2	1	4	0
1_1_6_18	3	2	1	4	0
1_1_6_19	3	2	1	4	0
1_1_6_20	3	2	1	4	0
1_1_7_1	3	2	1	4	0
1_1_7_2	3	2	1	4	0
1_1_7_3	3	2	1	4	0
1_1_7_4	3	2	1	4	0
1_1_7_5	3	2	1	4	0
1_1_7_6	3	2	1	4	0
1_1_7_7	3	2	1	4	0
1_1_7_8	3	2	1	4	0
1_1_7_9	3	2	1	4	0
1_1_7_10	3	2	1	4	0
1_1_7_11	3	2	1	4	0
1_1_7_12	3	2	1	4	0
1_1_7_13	3	2	1	4	0
1_1_7_14	3	2	1	4	0
1_1_7_15	3	2	1	4	0
1_1_7_16	3	2	1	4	0
1_1_7_17	3	2	1	4	0
1_1_7_18	3	2	1	4	0
1_1_7_19	3	2	1	4	0
1_1_7_20	3	2	1	4	0
1_1_8_1	4	2	1	3	0
1_1_8_2	4	2	1	3	0
1_1_8_3	4	2	1	3	0
1_1_8_4	4	2	1	3	0
1_1_8_5	4	2	1	3	0
1_1_8_6	4	2	1	3	0
1_1_8_7	4	2	1	3	0
1_1_8_8	4	2	1	3	0
1_1_8_9	4	2	1	3	0
1_1_8_10	4	2	1	3	0
1_1_8_11	4	2	1	3	0
1_1_8_12	4	2	1	3	0
1_1_8_13	4	2	1	3	0
1_1_8_14	4	2	1	3	0
1_1_8_15	4	2	1	3	0
1_1_8_16	4	2	1	3	0
1_1_8_17	4	2	1	3	0
1_1_8_18	4	2	1	3	0
1_1_8_19	4	2	1	3	0
1_1_8_20	4	2	1	3	0
1_2_1_1	2	3	4	1	0
1_2_1_2	2	3	4	1	0
1_2_1_3	2	3	4	1	0
1_2_1_4	2	3	4	1	0
1_2_1_5	2	3	4	1	0
1_2_1_6	2	3	4	1	0
1_2_1_7	2	3	4	1	0
1_2_1_8	2	3	4	1	0
1_2_1_9	2	3	4	1	0
1_2_1_10	2	3	4	1	0
1_2_1_11	2	3	4	1	0
1_2_1_12	2	3	4	1	0
1_2_1_13	2	3	4	1	0
1_2_1_14	2	3	4	1	0
1_2_1_15	2	3	4	1	0
1_2_1_16	2	3	4	1	0
1_2_1_17	2	3	4	1	0
1_2_1_18	2	3	4	1	0
1_2_1_19	2	3	4	1	0
1_2_1_20	2	3	4	1	0
1_2_2_1	2	3	4	1	0
1_2_2_2	2	3	4	1	0
1_2_2_3	2	3	4	1	0
1_2_2_4	2	3	4	1	0
1_2_2_5	2	3	4	1	0
1_2_2_6	2	3	4	1	0
1_2_2_7	2	3	4	1	0
1_2_2_8	2	3	4	1	0
1_2_2_9	2	3	4	1	0
1_2_2_10	2	3	4	1	0
1_2_2_11	2	3	4	1	0
1_2_2_12	2	3	4	1	0
1_2_2_13	2	3	4	1	0
1_2_2_14	2	3	4	1	0
1_2_2_15	2	3	4	1	0
1_2_2_16	2	3	4	1	0
1_2_2_17	2	3	4	1	0
1_2_2_18	2	3	4	1	0
1_2_2_19	2	3	4	1	0
1_2_2_20	2	3	4	1	0
1_2_3_1	0	3	4	2	1
1_2_3_2	0	3	4	2	1
1_2_3_3	0	3	4	2	1
1_2_3_4	0	3	4	2	1
1_2_3_5	0	3	4	2	1
1_2_3_6	0	3	4	2	1
1_2_3_7	0	3	4	2	1
1_2_3_8	0	3	4	2	1
1_2_3_9	0	3	4	2	1
1_2_3_10	0	3	4	2	1
1_2_3_11	0	3	4	2	1
1_2_3_12	0	3	4	2	1
1_2_3_13	0	3	4	2	1
1_2_3_14	0	3	4	2	1
1_2_3_15	0	3	4	2	1
1_2_3_16	0	3	4	2	1
1_2_3_17	0	3	4	2	1
1_2_3_18	0	3	4	2	1
1_2_3_19	0	3	4	2	1
1_2_3_20	0	3	4	2	1
1_2_4_1	1	2	0	3	4
1_2_4_2	1	2	0	3	4
1_2_4_3	1	2	0	3	4
1_2_4_4	1	2	0	3	4
1_2_4_5	1	2	0	3	4
1_2_4_6	1	2	0	3	4
1_2_4_7	1	2	0	3	4
1_2_4_8	1	2	0	3	4
1_2_4_9	1	2	0	3	4
1_2_4_10	1	2	0	3	4
1_2_4_11	1	2	0	3	4
1_2_4_12	1	2	0	3	4
1_2_4_13	1	2	0	3	4
1_2_4_14	1	2	0	3	4
1_2_4_15	1	2	0	3	4
1_2_4_16	1	2	0	3	4
1_2_4_17	1	2	0	3	4
1_2_4_18	1	2	0	3	4
1_2_4_19	1	2	0	3	4
1_2_4_20	1	2	0	3	4
1_2_5_1	2	1	0	3	4
1_2_5_2	2	1	0	3	4
1_2_5_3	2	1	0	3	4
1_2_5_4	2	1	0	3	4
1_2_5_5	2	1	0	3	4
1_2_5_6	2	1	0	3	4
1_2_5_7	2	1	0	3	4
1_2_5_8	2	1	0	3	4
1_2_5_9	2	1	0	3	4
1_2_5_10	2	1	0	3	4
1_2_5_11	2	1	0	3	4
1_2_5_12	2	1	0	3	4
1_2_5_13	2	1	0	3	4
1_2_5_14	2	1	0	3	4
1_2_5_15	2	1	0	3	4
1_2_5_16	2	1	0	3	4
1_2_5_17	2	1	0	3	4
1_2_5_18	2	1	0	3	4
1_2_5_19	2	1	0	3	4
1_2_5_20	2	1	0	3	4
1_2_6_1	2	1	0	3	4
1_2_6_2	2	1	0	3	4
1_2_6_3	2	1	0	3	4
1_2_6_4	2	1	0	3	4
1_2_6_5	2	1	0	3	4
1_2_6_6	2	1	0	3	4
1_2_6_7	2	1	0	3	4
1_2_6_8	2	1	0	3	4
1_2_6_9	2	1	0	3	4
1_2_6_10	2	1	0	3	4
1_2_6_11	2	1	0	3	4
1_2_6_12	2	1	0	3	4
1_2_6_13	2	1	0	3	4
1_2_6_14	2	1	0	3	4
1_2_6_15	2	1	0	3	4
1_2_6_16	2	1	0	3	4
1_2_6_17	2	1	0	3	4
1_2_6_18	2	1	0	3	4
1_2_6_19	2	1	0	3	4
1_2_6_20	2	1	0	3	4
1_2_7_1	2	1	0	3	4
1_2_7_2	2	1	0	3	4
1_2_7_3	2	1	0	3	4
1_2_7_4	2	1	0	3	4
1_2_7_5	2	1	0	3	4
1_2_7_6	2	1	0	3	4
1_2_7_7	2	1	0	3	4
1_2_7_8	2	1	0	3	4
1_2_7_9	2	1	0	3	4
1_2_7_10	2	1	0	3	4
1_2_7_11	2	1	0	3	4
1_2_7_12	2	1	0	3	4
1_2_7_13	2	1	0	3	4
1_2_7_14	2	1	0	3	4
1_2_7_15	2	1	0	3	4
1_2_7_16	2	1	0	3	4
1_2_7_17	2	1	0	3	4
1_2_7_18	2	1	0	3	4
1_2_7_19	2	1	0	3	4
1_2_7_20	2	1	0	3	4
1_2_8_1	3	4	1	2	0
1_2_8_2	3	4	1	2	0
1_2_8_3	3	4	1	2	0
1_2_8_4	4	2	1	3	0
1_2_8_5	4	2	1	3	0
1_2_8_6	4	2	1	3	0
1_2_8_7	4	2	1	3	0
1_2_8_8	4	2	1	3	0
1_2_8_9	4	2	1	3	0
1_2_8_10	4	2	1	3	0
1_2_8_11	4	2	1	3	0
1_2_8_12	4	2	1	3	0
1_2_8_13	4	2	1	3	0
1_2_8_14	4	2	1	3	0
1_2_8_15	4	2	1	3	0
1_2_8_16	4	2	1	3	0
1_2_8_17	4	2	1	3	0
1_2_8_18	4	2	1	3	0
1_2_8_19	4	2	1	3	0
1_2_8_20	4	2	1	3	0
1_4_1_1	3	1	4	1	0
1_4_1_2	3	1	4	1	0
1_4_1_3	3	1	4	1	0
1_4_1_4	3	1	4	1	0
1_4_1_5	3	1	4	1	0
1_4_1_6	3	1	4	1	0
1_4_1_7	3	1	4	1	0
1_4_1_8	3	1	1	4	0
1_4_1_9	3	1	1	4	0
1_4_1_10	3	1	1	4	0
1_4_1_11	3	1	1	4	0
1_4_1_12	3	1	1	4	0
1_4_1_13	3	1	1	4	0
1_4_1_14	3	1	1	4	0
1_4_1_15	3	1	1	4	0
1_4_1_16	3	1	1	4	0
1_4_1_17	3	1	1	4	0
1_4_1_18	3	1	1	4	0
1_4_1_19	3	1	1	4	0
1_4_1_20	3	2	1	4	0
1_4_2_1	2	3	4	1	0
1_4_2_2	2	3	4	1	0
1_4_2_3	2	3	4	1	0
1_4_2_4	2	3	4	1	0
1_4_2_5	2	3	4	1	0
1_4_2_6	3	2	4	1	0
1_4_2_7	3	2	4	1	0
1_4_2_8	3	2	1	4	0
1_4_2_9	3	2	1	4	0
1_4_2_10	3	2	1	4	0
1_4_2_11	3	2	1	4	0
1_4_2_12	3	2	1	4	0
1_4_2_13	3	2	1	4	0
1_4_2_14	3	2	1	4	0
1_4_2_15	3	2	1	4	0
1_4_2_16	3	2	1	4	0
1_4_2_17	3	2	1	4	0
1_4_2_18	3	2	1	4	0
1_4_2_19	3	2	1	4	0
1_4_2_20	3	2	1	4	0
1_4_3_1	2	3	4	1	0
1_4_3_2	2	3	4	1	0
1_4_3_3	2	3	4	1	0
1_4_3_4	2	3	4	1	0
1_4_3_5	2	3	4	1	0
1_4_3_6	3	2	4	1	0
1_4_3_7	3	2	1	4	0
1_4_3_8	3	2	1	4	0
1_4_3_9	3	2	1	4	0
1_4_3_10	3	2	1	4	0
1_4_3_11	3	2	1	4	0
1_4_3_12	3	2	1	4	0
1_4_3_13	3	2	1	4	0
1_4_3_14	3	2	1	4	0
1_4_3_15	3	2	1	4	0
1_4_3_16	3	2	1	4	0
1_4_3_17	3	2	1	4	0
1_4_3_18	3	2	1	4	0
1_4_3_19	3	2	1	4	0
1_4_3_20	3	2	1	4	0
1_4_4_1	2	3	1	4	0
1_4_4_2	2	3	1	4	0
1_4_4_3	2	3	1	4	0
1_4_4_4	2	3	1	4	0
1_4_4_5	2	3	1	4	0
1_4_4_6	3	2	1	4	0
1_4_4_7	3	2	1	4	0
1_4_4_8	3	2	1	4	0
1_4_4_9	3	2	1	4	0
1_4_4_10	3	2	1	4	0
1_4_4_11	3	2	1	4	0
1_4_4_12	3	2	1	4	0
1_4_4_13	3	2	1	4	0
1_4_4_14	3	2	1	4	0
1_4_4_15	3	2	1	4	0
1_4_4_16	3	2	1	4	0
1_4_4_17	3	2	1	4	0
1_4_4_18	3	2	1	4	0
1_4_4_19	3	2	1	4	0
1_4_4_20	3	2	1	4	0
1_4_5_1	2	3	1	4	0
1_4_5_2	2	3	1	4	0
1_4_5_3	2	3	1	4	0
1_4_5_4	2	3	1	4	0
1_4_5_5	2	3	1	4	0
1_4_5_6	3	2	1	4	0
1_4_5_7	3	2	1	4	0
1_4_5_8	3	2	1	4	0
1_4_5_9	3	2	1	4	0
1_4_5_10	3	2	1	4	0
1_4_5_11	3	2	1	4	0
1_4_5_12	3	2	1	4	0
1_4_5_13	3	2	1	4	0
1_4_5_14	3	2	1	4	0
1_4_5_15	3	2	1	4	0
1_4_5_16	3	2	1	4	0
1_4_5_17	3	2	1	4	0
1_4_5_18	3	2	1	4	0
1_4_5_19	3	2	1	4	0
1_4_5_20	3	2	1	4	0
1_4_5_1	2	3	1	4	0
1_4_5_2	2	3	1	4	0
1_4_5_3	2	3	1	4	0
1_4_5_4	2	3	1	4	0
1_4_5_5	2	3	1	4	0
1_4_5_6	3	2	1	4	0
1_4_5_7	3	2	1	4	0
1_4_5_8	3	2	1	4	0
1_4_5_9	3	2	1	4	0
1_4_5_10	3	2	1	4	0
1_4_5_11	3	2	1	4	0
1_4_5_12	3	2	1	4	0
1_4_5_13	3	2	1	4	0
1_4_5_14	3	2	1	4	0
1_4_5_15	3	2	1	4	0
1_4_5_16	3	2	1	4	0
1_4_5_17	3	2	1	4	0
1_4_5_18	3	2	1	4	0
1_4_5_19	3	2	1	4	0
1_4_5_20	3	2	1	4	0
1_4_6_1	3	2	1	4	0
1_4_6_2	3	2	1	4	0
1_4_6_3	3	2	1	4	0
1_4_6_4	3	2	1	4	0
1_4_6_5	3	2	1	4	0
1_4_6_6	3	2	1	4	0
1_4_6_7	3	2	1	4	0
1_4_6_8	3	2	1	4	0
1_4_6_9	3	2	1	4	0
1_4_6_10	3	2	1	4	0
1_4_6_11	3	2	1	4	0
1_4_6_12	3	2	1	4	0
1_4_6_13	3	2	1	4	0
1_4_6_14	3	2	1	4	0
1_4_6_15	3	2	1	4	0
1_4_6_16	3	2	1	4	0
1_4_6_17	3	2	1	4	0
1_4_6_18	3	2	1	4	0
1_4_6_19	3	2	1	4	0
1_4_6_20	3	2	1	4	0
1_4_7_1	3	2	1	4	0
1_4_7_2	3	2	1	4	0
1_4_7_3	3	2	1	4	0
1_4_7_4	3	2	1	4	0
1_4_7_5	3	2	1	4	0
1_4_7_6	3	2	1	4	0
1_4_7_7	3	2	1	4	0
1_4_7_8	3	2	1	4	0
1_4_7_9	3	2	1	4	0
1_4_7_10	3	2	1	4	0
1_4_7_11	3	2	1	4	0
1_4_7_12	3	2	1	4	0
1_4_7_13	3	2	1	4	0
1_4_7_14	3	2	1	4	0
1_4_7_15	3	2	1	4	0
1_4_7_16	3	2	1	4	0
1_4_7_17	3	2	1	4	0
1_4_7_18	3	2	1	4	0
1_4_7_19	3	2	1	4	0
1_4_7_20	3	2	1	4	0
1_4_8_1	3	2	1	1	0
1_4_8_2	3	2	1	1	0
1_4_8_3	3	2	1	1	0
1_4_8_4	3	2	1	1	0
1_4_8_5	3	2	1	1	0
1_4_8_6	3	2	1	1	0
1_4_8_7	3	2	1	1	0
1_4_8_8	3	2	1	4	0
1_4_8_9	3	2	1	4	0
1_4_8_10	3	2	1	4	0
1_4_8_11	3	2	1	4	0
1_4_8_12	3	2	1	4	0
1_4_8_13	3	2	1	4	0
1_4_8_14	3	2	1	4	0
1_4_8_15	3	2	1	4	0
1_4_8_16	3	2	1	4	0
1_4_8_17	3	2	1	4	0
1_4_8_18	3	2	1	4	0
1_4_8_19	3	2	1	4	0
1_4_8_20	3	2	1	4	0
1_5_1_1	3	2	4	1	0
1_5_1_2	3	2	4	1	0
1_5_1_3	3	2	4	1	0
1_5_1_4	3	2	4	1	0
1_5_1_5	3	2	4	1	0
1_5_1_6	3	2	4	1	0
1_5_1_7	2	3	4	1	0
1_5_1_8	2	3	4	1	0
1_5_1_9	2	3	4	1	0
1_5_1_10	2	3	4	4	0
1_5_1_11	2	3	4	4	0
1_5_1_12	2	3	4	4	0
1_5_1_13	2	3	1	4	0
1_5_1_14	2	3	1	4	0
1_5_1_15	2	3	1	4	0
1_5_1_16	2	3	1	1	0
1_5_1_17	2	3	1	1	0
1_5_1_18	2	3	1	1	0
1_5_1_19	2	3	1	1	0
1_5_1_20	2	3	1	1	0
1_5_2_1	3	2	4	1	0
1_5_2_2	3	2	4	1	0
1_5_2_3	3	2	4	1	0
1_5_2_4	3	2	4	1	0
1_5_2_5	3	2	4	1	0
1_5_2_6	3	2	4	1	0
1_5_2_7	2	3	4	1	0
1_5_2_8	2	3	4	1	0
1_5_2_9	2	3	4	1	0
1_5_2_10	2	3	4	4	0
1_5_2_11	2	3	4	4	0
1_5_2_12	2	3	4	4	0
1_5_2_13	2	3	4	4	0
1_5_2_14	2	3	4	4	0
1_5_2_15	2	3	4	4	0
1_5_2_16	2	3	1	1	0
1_5_2_17	2	3	1	1	0
1_5_2_18	2	3	1	1	0
1_5_2_19	2	3	1	1	0
1_5_2_20	2	3	1	1	0
1_5_3_1	2	3	4	1	0
1_5_3_2	2	3	1	1	0
1_5_3_3	2	3	1	1	0
1_5_3_4	2	3	1	1	0
1_5_3_5	2	3	1	1	0
1_5_3_6	2	3	1	1	0
1_5_3_7	2	3	1	1	0
1_5_3_8	2	4	1	3	0
1_5_3_9	2	4	1	3	0
1_5_3_10	2	3	4	4	0
1_5_3_11	2	3	4	4	0
1_5_3_12	2	3	4	4	0
1_5_3_13	2	3	4	4	0
1_5_3_14	2	3	4	4	0
1_5_3_15	2	3	4	4	0
1_5_3_16	2	3	4	4	0
1_5_3_17	2	3	4	4	0
1_5_3_18	2	3	4	4	0
1_5_3_19	2	3	4	4	0
1_5_3_20	2	3	4	4	0
1_5_4_1	2	3	1	1	0
1_5_4_2	2	3	1	1	0
1_5_4_3	2	3	1	1	0
1_5_4_4	2	3	1	1	0
1_5_4_5	2	3	1	1	0
1_5_4_6	2	4	1	3	0
1_5_4_7	2	4	1	3	0
1_5_4_8	2	4	1	3	0
1_5_4_9	2	4	1	3	0
1_5_4_10	2	3	1	4	0
1_5_4_11	2	3	1	4	0
1_5_4_12	2	3	4	4	0
1_5_4_13	2	3	4	4	0
1_5_4_14	2	3	4	4	0
1_5_4_15	2	3	4	4	0
1_5_4_16	2	3	4	4	0
1_5_4_17	2	3	4	4	0
1_5_4_18	2	3	4	4	0
1_5_4_19	2	3	4	4	0
1_5_4_20	2	3	4	4	0
1_5_5_1	2	4	1	3	0
1_5_5_2	2	4	1	3	0
1_5_5_3	2	4	1	3	0
1_5_5_4	2	4	1	3	0
1_5_5_5	2	4	1	3	0
1_5_5_6	2	4	1	3	0
1_5_5_7	2	4	1	3	0
1_5_5_8	2	4	1	3	0
1_5_5_9	3	2	1	4	0
1_5_5_10	3	2	1	4	0
1_5_5_11	3	2	1	4	0
1_5_5_12	3	2	1	4	0
1_5_5_13	3	2	1	4	0
1_5_5_14	3	2	1	4	0
1_5_5_15	3	2	1	4	0
1_5_5_16	3	2	1	4	0
1_5_5_17	3	2	1	4	0
1_5_5_18	3	2	1	4	0
1_5_5_19	3	2	1	4	0
1_5_5_20	3	2	1	4	0
1_5_6_1	2	4	1	3	0
1_5_6_2	2	4	1	3	0
1_5_6_3	2	4	1	3	0
1_5_6_4	2	4	1	3	0
1_5_6_5	2	4	1	3	0
1_5_6_6	2	4	1	3	0
1_5_6_7	2	4	1	3	0
1_5_6_8	2	4	1	3	0
1_5_6_9	3	2	1	4	0
1_5_6_10	3	2	1	4	0
1_5_6_11	3	2	1	4	0
1_5_6_12	3	2	1	4	0
1_5_6_13	3	2	1	4	0
1_5_6_14	3	2	1	4	0
1_5_6_15	3	2	1	4	0
1_5_6_16	3	2	1	4	0
1_5_6_17	3	2	1	4	0
1_5_6_18	3	2	1	4	0
1_5_6_19	3	2	1	4	0
1_5_6_20	3	2	1	4	0
1_5_7_1	3	2	1	4	0
1_5_7_2	3	2	1	4	0
1_5_7_3	3	2	1	4	0
1_5_7_4	3	2	1	4	0
1_5_7_5	3	2	1	4	0
1_5_7_6	3	2	1	4	0
1_5_7_7	3	2	1	4	0
1_5_7_8	3	2	1	4	0
1_5_7_9	2	3	1	4	0
1_5_7_10	2	3	1	4	0
1_5_7_11	2	3	1	4	0
1_5_7_12	2	3	1	4	0
1_5_7_13	2	3	1	4	0
1_5_7_14	2	3	1	4	0
1_5_7_15	3	2	1	4	0
1_5_7_16	3	2	1	4	0
1_5_7_17	3	2	1	4	0
1_5_7_18	3	2	1	4	0
1_5_7_19	3	2	1	4	0
1_5_7_20	3	2	1	4	0
1_5_8_1	3	2	1	4	0
1_5_8_2	3	2	1	4	0
1_5_8_3	3	4	1	2	0
1_5_8_4	3	4	1	2	0
1_5_8_5	3	4	1	2	0
1_5_8_6	3	4	1	2	0
1_5_8_7	3	4	1	2	0
1_5_8_8	3	4	1	2	0
1_5_8_9	3	4	1	2	0
1_5_8_10	3	4	1	2	0
1_5_8_11	3	4	1	2	0
1_5_8_12	3	4	1	2	0
1_5_8_13	3	4	1	2	0
1_5_8_14	3	4	1	2	0
1_5_8_15	3	4	1	2	0
1_5_8_16	3	4	1	2	0
1_5_8_17	3	4	1	2	0
1_5_8_18	3	4	1	2	0
1_5_8_19	3	4	1	2	0
1_5_8_20	3	4	1	2	0
1_6_1_1	4	2	1	3	0
1_6_1_2	4	2	1	3	0
1_6_1_3	4	2	1	3	0
1_6_1_4	4	2	4	3	0
1_6_1_5	4	2	4	3	0
1_6_1_6	4	2	1	3	0
1_6_1_7	4	2	1	3	0
1_6_1_8	4	2	1	3	0
1_6_1_9	3	4	1	2	0
1_6_1_10	3	4	1	2	0
1_6_1_11	3	2	1	4	0
1_6_1_12	3	2	1	4	0
1_6_1_13	3	2	1	4	0
1_6_1_14	3	2	1	4	0
1_6_1_15	3	2	1	4	0
1_6_1_16	3	2	1	4	0
1_6_1_17	3	2	1	4	0
1_6_1_18	3	4	1	2	0
1_6_1_19	3	4	1	2	0
1_6_1_20	3	4	1	2	0
1_6_2_1	2	4	4	1	0
1_6_2_2	2	4	4	1	0
1_6_2_3	2	4	4	1	0
1_6_2_4	2	4	4	1	0
1_6_2_5	2	4	4	1	0
1_6_2_6	2	4	1	1	0
1_6_2_7	2	4	1	1	0
1_6_2_8	2	4	1	1	0
1_6_2_9	2	4	1	1	0
1_6_2_10	3	2	1	4	0
1_6_2_11	3	2	1	4	0
1_6_2_12	3	2	1	4	0
1_6_2_13	3	2	1	4	0
1_6_2_14	3	2	1	4	0
1_6_2_15	3	2	1	4	0
1_6_2_16	3	2	1	4	0
1_6_2_17	3	2	1	4	0
1_6_2_18	2	3	1	1	0
1_6_2_19	2	3	1	1	0
1_6_2_20	2	3	1	1	0
1_6_3_1	3	4	4	2	0
1_6_3_2	3	4	4	2	0
1_6_3_3	3	4	4	2	0
1_6_3_4	3	4	4	2	0
1_6_3_5	3	4	1	2	0
1_6_3_6	3	4	1	2	0
1_6_3_7	3	4	1	2	0
1_6_3_8	3	4	1	2	0
1_6_3_9	3	2	1	4	0
1_6_3_10	3	2	1	4	0
1_6_3_11	3	2	1	4	0
1_6_3_12	3	2	1	4	0
1_6_3_13	3	2	1	4	0
1_6_3_14	3	2	1	4	0
1_6_3_15	3	2	1	4	0
1_6_3_16	3	2	1	4	0
1_6_3_17	3	2	1	4	0
1_6_3_18	2	3	1	4	0
1_6_3_19	2	3	1	4	0
1_6_3_20	2	3	1	4	0
1_6_4_1	3	4	4	2	0
1_6_4_2	3	4	4	2	0
1_6_4_3	3	4	4	2	0
1_6_4_4	3	4	1	2	0
1_6_4_5	3	4	1	2	0
1_6_4_6	3	4	1	2	0
1_6_4_7	3	4	1	2	0
1_6_4_8	2	3	1	4	0
1_6_4_9	2	3	1	4	0
1_6_4_10	2	3	1	4	0
1_6_4_11	2	3	1	4	0
1_6_4_12	2	3	1	4	0
1_6_4_13	2	3	1	4	0
1_6_4_14	2	3	1	4	0
1_6_4_15	2	3	1	4	0
1_6_4_16	2	3	1	4	0
1_6_4_17	2	3	1	4	0
1_6_4_18	2	3	1	4	0
1_6_4_19	2	3	1	4	0
1_6_4_20	2	3	1	4	0
1_6_5_1	2	3	1	4	0
1_6_5_2	2	3	1	4	0
1_6_5_3	2	3	1	4	0
1_6_5_4	2	3	1	4	0
1_6_5_5	2	3	1	4	0
1_6_5_6	2	3	1	4	0
1_6_5_7	2	3	1	4	0
1_6_5_8	3	2	1	4	0
1_6_5_9	3	2	1	4	0
1_6_5_10	3	2	1	4	0
1_6_5_11	3	2	1	4	0
1_6_5_12	3	2	1	4	0
1_6_5_13	3	2	1	4	0
1_6_5_14	3	2	1	4	0
1_6_5_15	3	2	1	4	0
1_6_5_16	3	2	1	4	0
1_6_5_17	3	2	1	4	0
1_6_5_18	3	2	1	4	0
1_6_5_19	3	2	1	4	0
1_6_5_20	3	2	1	4	0
1_6_6_1	3	2	1	4	0
1_6_6_2	3	2	1	4	0
1_6_6_3	3	2	1	4	0
1_6_6_4	3	3	1	4	0
1_6_6_5	3	3	1	4	0
1_6_6_6	3	3	1	4	0
1_6_6_7	3	2	1	4	0
1_6_6_8	3	2	1	4	0
1_6_6_9	3	2	1	4	0
1_6_6_10	3	2	1	4	0
1_6_6_11	3	2	1	4	0
1_6_6_12	2	3	1	4	0
1_6_6_13	2	3	1	4	0
1_6_6_14	2	3	1	4	0
